,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,allergens,generic_name,palm_ingredients,link,producer_info,origin_detail
1572,Sauce aneth et citron - Christian potier,3302762203093,,,['Christian potier'],,,,,,,['France'],[],[],?,,139,,"12,6",,"5,3",,"0,8",,,,,,,,,,,,,,,,,,582 kj(139 kcal),,"7,6",,"1,1",,"1,3",,"0,52",,,,,,,,,,,,,
1573,Crémée aux poireaux Christian Potier maître saucier - 150g,3302762203208,150 g,['3 x 50 g'],['Christian Potier'],"['Epicerie', 'Sauces', 'Sauces pour poissons']",['en:gluten-free'],,,,,['France'],[],[],?,,174,+12%,"16,2",+7%,"4,6",+6%,"2,2",+42%,,,,,,,,,16.2 g,en quantité modérée,9.8 g,en quantité élevée,3 g,en faible quantité,0.6 g,en quantité modérée,728 kj(174 kcal),+5%,"9,8",+9%,3,+99%,"0,6",-52%,"0,24",-52%,13,+2%,D,+2%,,,,,,,,
1574,Pesto Rouge Poivron Rouge pecorino Romano noix de pecan - Andros,3302768000443,,,['Andros'],['Boissons'],['Sans conservateurs'],,,,,['France'],"[""o SANS sucres ajoutés' o SANS colorant SANS conservateur conformément la réglementation"", ' contient des sucres naturellement dans les fruits', ' pasteurisé après ouverture 5 jours au I Biars sur Cère -']",[],?,,249,+345%,23,+6528%,"5,6",-50%,"3,7",+646%,,,,,,,,,23 g,en quantité élevée,3.6 g,en quantité élevée,4.2 g,en quantité modérée,1.4 g,en quantité élevée,1042 kj(249 kcal),+332%,"3,6",+2951%,"4,2",-56%,"1,4",+3273%,"0,56",+3273%,22,+187%,E,+187%,,,['Aucun'],,,,,
1575,Sauce au poivre vert - Christian Potier - 190g,3302769000053,190 g,['Conserve'],['Christian Potier'],"['Epicerie', 'Sauces', 'Sauces au poivre']",,,,"['FR 84.080.013 CE', 'Monteux (Vaucluse, France)']",,['France'],[],[],267,-74%,?,,"4,5",-84%,"4,8",-46%,"1,1",-40%,B,51.5%,31.1%,7.1%,5.2%,3.0%,2.1%,76,4.5 g,en quantité modérée,,,,,,,267 kj(64 kcal),-79%,,,,,,,,,,,,,,,,,,,,
1576,Betteraves rouges épluchées - Kultive - 500g,3302823100057,500 g,"['Plastique', 'Sous vide']",['Kultive'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves']",['Sans conservateurs'],,,,['Carrefour'],['France'],['Betterave'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,43.4,-4%,"0,1",-69%,"7,17",-6%,"2,3",+39%,B,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,0.1 g,en faible quantité,0.0223 g,en faible quantité,6.68 g,en quantité modérée,0.05 g,en faible quantité,182 kj(43 kcal),-3%,"0,022",-60%,"6,68",-2%,"0,05",-82%,"0,02",-82%,-7,,A,,,1,,,,,,
1577,Fromage Frais Le Delicieux  au lait frais pasteurisé - Fromagerie Mauron - 350g,3302921812562,350g,"['Papier', 'Frais']","['Fromagerie Mauron', 'Mauron']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,"['FR 70.280.001 CE', 'Gray-la-Ville (Haute-Saône, France)']",,['France'],"['lait,ferment lactique', 'présure', 'conservateur E202']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",338,-73%,?,,6,-77%,3,+148%,"3,5",-83%,C,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,6 g,en quantité modérée,4 g,en quantité modérée,3 g,en faible quantité,,,338 kj(81 kcal),-75%,4,-78%,3,+304%,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",3,['Lait'],,,,,
1578,Vinaigre Pulpe De Framboise - Marcel recorbet,3302950101194,,,['Marcel recorbet'],,['Fabriqué en France'],,,,,['France'],"['so i es stabilisant ', ' E de potassiut!!']",[],?,,131,,"0,2",,"27,2",,"0,4",,,,,,,,,,,,,,,,,,548 kj(131 kcal),,"0,1",,"23,2",,"0,02",,"0,008",,,,,,,,,,,,,
1579,Sauce poivre vert 90g - La cuisine d autrefois,3302957003033,,,['La cuisine d autrefois'],"['Epicerie', 'Sauces', 'Sauces au poivre', 'Sauces au poivre vert']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', ""À l'huile de tournesol""]",,,,,['France'],"['Sunflower oil*', 'Dijon mustardt salt', 'water', 'egg yolk*', 'vinegar*', 'green pepper']",[],?,,674,+249%,"73,5",+457%,"1,2",-91%,"1,5",-56%,B,40.2%,32.8%,11.0%,7.9%,4.7%,3.3%,90,73.5 g,en quantité élevée,8.2 g,en quantité élevée,1 g,en faible quantité,2.5 g,en quantité élevée,2820 kj(674 kcal),+222%,"8,2",+120%,1,-64%,"2,5",-7%,1,-7%,26,+141%,E,+141%,,,['Œufs'],,,,,
1580,acras de morue - Sar'Ocean - 1kg,3302980010343,1 kg,,"[""Sar'Ocean""]","['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Acras de morue', 'en:preparations-made-from-fish-meat']",,,,"['FR 33.039.007 CE', 'Bègles (Gironde, France)']",,['France'],"['morue dessalée eau', 'farine de blé', 'flocons de pomme de terre', 'huile de tournesol', 'poivrons', 'levure', 'sel', 'échalote', 'ail', 'oignons', 'persil piment', 'poivre', "" À congrver entre +01 et+6'C A consommer jusquiau : voir sur l'étiquette"", ' Conditionné sous atmosphère votectricee Contient du gluten et du poisson', ' Peut contenirdescrustacés']",[],?,,206,-6%,"6,6",-29%,22,+7%,13,+24%,E,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,6.6 g,en quantité modérée,0.8 g,en faible quantité,3.3 g,en faible quantité,1.7 g,en quantité élevée,862 kj(206 kcal),-6%,"0,8",-39%,"3,3",+34%,"1,7",-6%,"0,68",-6%,2,-71%,B,-71%,,3,"['Poisson', 'Gluten']",,,,,
1581,Brandade de morue parmentière à l'huile d'olive - Sar'Océan - 400g,3302980040043,400 g,"['Plastique', 'Frais']","[""Sar'Océan""]","['Produits de la mer', 'Poissons', 'Plats préparés', 'Plats préparés au poisson', 'Morues', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']",,,,"['FR 33.039.007 CE', 'Bègles (Gironde, France)']",,['France'],"['eau', 'morue dessalée 32%', 'flocons de pommes de terre 9%', 'huile de tournesol', 'huile d""olive 1%', 'oeufs', 'crème en poudre', 'ail', 'sucre', 'poivre', 'persil']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,93.8,-36%,"3,92",-54%,"8,34",-12%,"6,3",-7%,E,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,3.92 g,en quantité modérée,,,,,,,392 kj(93 kcal),-36%,,,,,,,,,,,,,,3,"['Œufs', 'Poisson', 'Lait']",,,,,
1582,Bte 3 / 4 Litchis Au Sirop Leger Kody - 567g,3303159861216,567 g,,['Kody'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop']",,,,,,['France'],"['Litchis Dénoyautés', 'Eau', 'Sucre', 'Acidifiant : Acide Citrique ', 'E-330']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,75,+3%,"0,1",-48%,"17,7",+15%,"0,5",+29%,,,,,,,,,0.1 g,en faible quantité,0 g,en faible quantité,16.1 g,en quantité élevée,0.005 g,en faible quantité,314 kj(75 kcal),+6%,0,-100%,"16,1",+15%,"0,005",-72%,"0,002",-72%,-2,,A,,['E330 - Acide citrique'],3,,,,,,
1583,Marie Amelie Soupe Langoustine Chablis 780G,3303640000292,,,['Marie-Amelie'],,,,,,,['France'],"['Eau', 'poissons entiers 35%', 'langoustines 5%', 'carotte', 'poireau', 'concentré de tomates', 'chablis 1,6%', 'sel de Guérande', 'oignon', ""huile d'olive vierge extra"", 'épaississants : gomme guaret xanthane', 'épices ', 'dont safran', 'ail', 'Traces possibles de gluten et de mollusques']","['Non végétalien', 'Non végétarien']",?,,57,,"3,6",,"0,5",,"6,1",,,,,,,,,,,,,,,,,,238 kj(57 kcal),,"0,9",,"0,5",,"0,97",,"0,388",,,,,,,4,['Crustacés'],,,,,
1584,Rillettes de Thon Aubergines et Tomates Marinées - Marie-Amélie - 120g,3303640000513,120 g,"['Bocal', 'Verre', 'métal']",['Marie-Amélie'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de thon', 'en:preparations-made-from-fish-meat']",,,,,,"['Belgique', 'France']","['Thon 30 %', 'filets de merlu', 'huile de colza', 'tomates marinées 10 % ', 'tomates', 'huile de colza', 'sel', 'aromates', 'aubergines préfrites 10 % ', 'aubergines', 'huile de tournesol', 'oignons tomates concassées ', 'tomates', 'jus de tomates', ""huile d'olive vierae extra"", 'vinaigre', 'sel', 'amidon de maïs modifié', 'thym', 'romarin', 'épaississant : carraghénanes', 'poivre']","['Non végétalien', 'Non végétarien']",?,,259,+22%,22,+39%,"3,5",+66%,11,-28%,D,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,22 g,en quantité élevée,1.9 g,en quantité modérée,1.2 g,en faible quantité,1.2 g,en quantité modérée,1084 kj(259 kcal),+21%,"1,9",-50%,"1,2",+26%,"1,2",+15%,"0,48",+15%,4,-36%,C,-36%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,['Poisson'],,,http://www.soupe-marieamelie.fr/30_2.cfm?i=134-rillettes-de-thon&f=55,,
1585,Rillettes de saumon thym et citron confit - Marie amelie,3303640000520,,,['Marie amelie'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']",,,,,,['France'],[],[],?,,270,+23%,25,+45%,"0,5",-77%,11,-19%,E,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,25 g,en quantité élevée,2.6 g,en quantité modérée,0.1 g,en faible quantité,1.4 g,en quantité modérée,1130 kj(270 kcal),+23%,"2,6",-46%,"0,1",-89%,"1,4",+23%,"0,56",+23%,11,+25%,D,+25%,,,,,,,,
1586,Croûton - Marie-Amélie - 100g,3303640001411,100 g,"['Sachet', 'Plastique']",['Marie-Amélie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']","['Fabriqué en France', 'en:palm-oil-free']",,['France'],,,['France'],"['Farine de blé', 'huile de tournesol', 'levure', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,552,+17%,"28,8",+40%,"55,1",-6%,"8,3",-12%,D,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,28.8 g,en quantité élevée,3 g,en quantité modérée,4 g,en faible quantité,2 g,en quantité élevée,2310 kj(552 kcal),+17%,3,-0%,4,+8%,2,+3%,"0,8",+3%,16,+10%,D,+10%,,3,['Gluten'],,,,,
1587,Bisque De Homard Marie Amelie 380G,3303640002326,,,,"['Produits de la mer', 'Bisques de homard']",,,,,,['France'],[],[],?,,34,-38%,"1,4",-47%,"1,2",-66%,"4,6",+50%,,,,,,,,,1.4 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.76 g,en quantité modérée,142 kj(34 kcal),-39%,"0,5",-41%,"0,5",-50%,"0,76",-32%,"0,304",-32%,1,-71%,B,-71%,,,,,,,,
1588,Soupe De Poissons Duurzaam - Marie-Amelie - 780g,3303640002494,780 g,,['Marie-Amelie'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,,,['France'],"['matte-ahélie o soupe de poissons pêche durable MSC 30%', 'légumes ', 'carotte huile de colza', 'sel', 'épaississants: gomme de guar et gommexante non', 'ail', 'poivre', 'fenouil', 'piment doux', ' Traces possibles decrustacee ÇQNSERVATEUR']",[],?,,41,-15%,2,+5%,"1,5",-18%,4,-23%,E,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,2 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,0.62 g,en quantité modérée,172 kj(41 kcal),-14%,"0,2",-55%,"0,2",-69%,"0,62",-30%,"0,248",-30%,0,-100%,B,-100%,['E412 - Gomme de guar'],4,,,,,,
1589,"Julhes, Petits tripoux d'Auvergne, le bocal de 4 400 g",3303700000026,,,['Julhes'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au mouton', 'Tripoux']",,,,,,['France'],"[""Pansette d'agneau 57,4%"", 'eau', 'estomac de porc 4%', 'vin blanc', 'couenne de porc', 'panse de veau 1,8%', 'sel', ' purée de tomate 0,9%', 'amidon modifié de maïs', 'oignon déshydraté', 'poireau', 'épices', ' Traces éventuelles de : lait', 'gluten', 'oeufs', 'poissons', 'crustacés', 'soja', 'céleri', 'fruits à coques', 'moutarde', 'mollusques']","['Non végétalien', 'Non végétarien']",?,,85,-27%,"4,2",-3%,"1,2",+90%,11,-28%,,,,,,,,,4.2 g,en quantité modérée,0.5 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,356 kj(85 kcal),-27%,"0,5",-57%,0,-100%,"1,1",+6%,"0,44",+6%,0,-100%,B,-100%,['E14XX - Amidons modifiés'],4,,,,,,
1590,Terrine à l ail rose,3303700004482,,,,,,,,,,['France'],[],[],?,,400,,38,,"2,5",,13,,,,,,,,,,,,,,,,,,1674 kj(400 kcal),,13,,0,,"1,8",,"0,72",,,,,,,,,,,,,
1591,Saucisson sec,3303820003105,,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,,,['France'],[],[],?,,417,+3%,"33,5",+6%,"0,9",-60%,"27,9",+1%,D,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,33.5 g,en quantité élevée,13.8 g,en quantité élevée,0.1 g,en faible quantité,5.2 g,en quantité élevée,1745 kj(417 kcal),+3%,"13,8",+12%,"0,1",-93%,"5,2",+11%,"2,08",+11%,25,+4%,E,+4%,,,,,,,,
1592,Saucisse sèche Pur Porc - Le Sechoir Des Alpes,3303820299911,,,['Le Sechoir Des Alpes'],,,,,,,['France'],"['Viande de porc ', 'origine France', 'sucres ', 'LACTOSE', 'sirop de glucose', 'dextrose', 'sel', 'épices', 'planteamatique', 'conservateur: nitrate de ferments lactiques', ' PRÉSENCE ÉVENTUELLE DE FRUITS À COQUE']","['Non végétalien', 'Non végétarien']",?,,417,,"33,5",,"0,9",,"27,9",,,,,,,,,,,,,,,,,,1745 kj(417 kcal),,"13,8",,"0,1",,"5,125",,"2,05",,,,,,,4,['Lait'],,,,,
1593,Saucisson pur porc - Sechoir Des Alpes,3303820299935,,,['Sechoir Des Alpes'],,"['Viande Française', 'Viande Porcine Française']",,,"['FR 04.112.004 CE', 'Manosque (Alpes-de-Haute-Provence, France)']",,['France'],"['viande de porc ', 'origine France', 'sel', 'sucres ', 'LACTOSE', 'sirop de glucose', 'dextrose', 'épices', 'plante aromatique', 'conservateur : nitrate de potassium', 'ferments lactiques', ' Produit sujet à dessiccation']","['Non végétalien', 'Non végétarien']",?,,417,,"33,5",,"0,9",,"27,9",,,,,,,,,,,,,,,,,,1745 kj(417 kcal),,"13,8",,"0,1",,"5,2",,"2,08",,,,,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,['Lait'],,,,,
1594,Saucisson campagnard VPF Séchoir des Alpes 800G - 800g,3303820299980,800 g,,['Sechoir des alpes'],"['Viandes', 'Charcuteries', 'Saucissons']",,,,,,['France'],['1 SANS COIORANT'],[],?,,417,+8%,"33,5",+9%,"0,9",-58%,"27,9",+11%,,,,,,,,,33.5 g,en quantité élevée,13.8 g,en quantité élevée,0.1 g,en faible quantité,5.2 g,en quantité élevée,1745 kj(417 kcal),+8%,"13,8",+16%,"0,1",-92%,"5,2",+24%,"2,08",+24%,25,+7%,E,+7%,,,,,,,,
1595,Gelée de piments,3304189000668,,,,,,,,,,['France'],[],[],?,,252,,"0,5",,61,,"0,5",,,,,,,,,,,,,,,,,,1054 kj(252 kcal),,"0,1",,60,,"0,05",,"0,02",,,,,,,,,,,,,
1596,Fougasse d'aigues mortes - 450g,3304216000012,450 g,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses']",,,,,,['France'],[],[],?,,410,+37%,28,+157%,62,+65%,12,+12%,B,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,28 g,en quantité élevée,16 g,en quantité élevée,25 g,en quantité élevée,0.26 g,en faible quantité,1715 kj(410 kcal),+36%,16,+231%,25,+1138%,"0,26",-82%,"0,104",-82%,21,+56%,E,+56%,,,,,,,,
1597,Crème de munster - Haxaire,3304420009917,,['Frais'],['Haxaire'],['Produits laitiers'],,,,,,['France'],[],[],?,,221,-11%,18,0%,"1,5",-70%,"13,4",+8%,,,,,,,,,18 g,en quantité modérée,12.4 g,en quantité élevée,0.4 g,en faible quantité,2.47 g,en quantité élevée,925 kj(221 kcal),-8%,"12,4",+4%,"0,4",-90%,"2,47",+222%,"0,988",+222%,22,+116%,E,+116%,,,,,,,,
1598,Darnes de Saumon argenté du Pacifique sauvage congelées - Alaska Seafood - 500g,3304630010277,500 g,"['Sachet', 'Plastique', 'surgelé']",['Alaska Seafood'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Fruits de mer surgelés', 'Poissons surgelés', 'Saumons']",['Pêché au filet maillant'],"['États-Unis', 'Océan Pacifique']",['France'],"['FR 62.667.121 CE', 'Portel (Pas-de-Calais, France)', 'EMB 62160', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",['Auchan'],['France'],['Saumon argenté'],[],?,,?,,?,,?,,?,,E,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,['Poisson'],,,,,
1599,6 gros oeufs extra frais - Le Petit Poucet - 6oeufs,3304790106032,6 oeufs,['Barquette carton'],['Le Petit Poucet'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en cage']",,,,"['FR 34.284.001 CE', 'Saint-Pons-de-Thomières (Hérault, France)']",['Hyper U'],['France'],[],[],?,,?,,?,,?,,?,,C,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,,Oeufs frais,,,,
1600,Œufs gros,3304790806079,,,,"[""Produits d'élevages"", 'Œufs']",,,,"['FR 34.284.001 CE', 'Saint-Pons-de-Thomières (Hérault, France)']",,['France'],[],[],?,,0,-100%,0,-100%,0,-100%,0,-100%,D,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,0 kj(0 kcal),-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,
1601,Crème de Bresse - Le Coq d'Or - 50cl,3304820205032,50 cl,"['Pot', 'Plastique', 'Frais']","[""Le Coq d'Or""]","['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crème de Bresse', 'Crèmes fraîches']","['Point Vert', 'Sans colorants', 'Sans conservateurs', 'Sans épaississant', 'AOP', 'Triman']",,"['Bresse', 'France']","['FR 01.163.002 CE', 'Foissiat (Ain, France)']",,['France'],"['Crème pasteurisée', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1373,+24%,?,,35,+18%,"2,7",-17%,"2,2",-7%,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,35 g,en quantité élevée,24 g,en quantité élevée,2.7 g,en faible quantité,0.06 g,en faible quantité,1373 kj(328 kcal),+14%,24,+21%,"2,7",-6%,"0,06",-29%,"0,024",-29%,14,+8%,D,+8%,,3,['Lait'],,,,,
1602,Kouign Amann au Beurre Fin - Crêperie du Vieux Moulin - 600g,3304910000806,600 g,"['Barquette', 'Atmosphère protectrice', 'Blister', 'Plastique', 'Papier sulfurisé']",['Crêperie du Vieux Moulin'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",['Point Vert'],,,,,['France'],"['Farine de blé', 'beurre fin', 'sucre semoule', 'eau', 'arôme naturel', 'sel']",[],?,,451,+0%,"25,2",-0%,"50,5",-4%,5,+26%,B,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,25.2 g,en quantité élevée,16.1 g,en quantité élevée,27.4 g,en quantité élevée,1.35 g,en quantité modérée,1887 kj(451 kcal),+0%,"16,1",-2%,"27,4",+1%,"1,35",+67%,"0,54",+67%,26,+13%,E,+13%,,4,"['Gluten', 'Lait']",,,,,
1603,Crêpes Divines - Crêperie Henri SOUN - 270g,3305012200507,270 g,"['Sachet', 'Plastique', 'Atmosphère protectrice']","['Crêperie Henri SOUN', 'Les Délices de Landeleau']","['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",['Fabriqué en France'],,"['France', 'Bretagne', 'Landeleau']","['FR 29.102.600 CE', 'Landeleau (Finistère, France)']",,['France'],"['Lait frais entier', 'farine de froment ', 'blé', 'sucre', 'œufs entiers pasteurisés', 'beurre concentré', 'sel', 'colorant : E160a']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,,350,+20%,11,+42%,55,+18%,"7,7",+1%,B,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,11 g,en quantité modérée,7.2 g,en quantité élevée,30 g,en quantité élevée,1.1 g,en quantité modérée,1464 kj(350 kcal),+20%,"7,2",+147%,30,+47%,"1,1",+40%,"0,44",+40%,21,+100%,E,+100%,['E160a - Carotènes mélangés'],4,"['Œufs', 'Gluten', 'Lait']",,,http://www.delices-landeleau.com/,,
1604,Savoureuses X6 240G,3305018888860,,,,,,,,,,['France'],[],[],?,,376,,12,,58,,"9,4",,,,,,,,,,,,,,,,,,1573 kj(376 kcal),,"7,7",,26,,"1,1",,"0,44",,,,,,,,,,,,,
1605,Sel moulu de Guérande,3305041106337,,,,,,,,,,['France'],[],[],?,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,0,,0,,39,,"15,6",,,,,,,,,,,,,
1606,Fleur de Sel de Guérande - La Salorge de Guérande - 125g,3305044000700,125 g,"['Boîte', 'Carton', 'Couvercle', 'Plastique']",['La Salorge de Guérande'],"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']","['Fabriqué en France', 'Nature & Progrès']",,['France'],,,['France'],[],[],?,,0,-100%,0,-100%,0,-100%,0,-100%,A,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,
1607,20 Bouchons Poulet Combava,3305070000422,,,,,,,,,,['France'],[],[],?,,204,,"9,9",,"19,6",,"10,1",,,,,,,,,,,,,,,,,,854 kj(204 kcal),,"5,4",,"2,3",,"1,43",,"0,572",,,,,,,,,,,,,
1608,20 Bouchons Porc - Asia Food,3305070001535,,,['Asia Food'],,,,,,,['France'],"['FARCE viande de porc 5170', 'protéine de soja 09%', 'oignons réhydratés 16%', 'fécule de manioc ou de pomme de terre 890', 'eau 3%', 'sel', 'fibre de azrnbou', 'poivre exhausteur de goût : monoglutamate de sodium E621 arôme de viande ', 'contient du lactose et du blé', 'bicarbonate de sodium E500 PATE farine de blé 599% ', 'contient du gluten', 'eau 3970', 'levure désactivée 2% \\llergènes soja', 'blé', 'gluten', 'lactose']",['Non végétalien'],?,,213,,"10,4",,"19,6",,"10,9",,,,,,,,,,,,,,,,,,891 kj(213 kcal),,"6,6",,"2,8",,"1,46",,"0,584",,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']",4,"['Gluten', 'Lait']",,,,,
1609,Miel de lavande Api Velay - Miellerie Ardéchoise - 500g,3305111042114,500 g,"['Bocal', 'Verre']",['Miellerie Ardéchoise'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande', 'Miels crémeux']",,['France'],['France'],,['Auchan'],['France'],['Miel de lavande crémeux'],[],?,,?,,?,,?,,?,,A,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Miel d'acacia - Miellerie Ardéchoise - 500g,3305111062112,500 g,"['Bocal', 'Verre']",['Miellerie Ardéchoise'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', ""Miels d'acacia""]",['Miel de France'],['France'],,,['Carrefour market'],['France'],"[""miel d'acacia""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,?,,?,,?,,?,,A,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1611,"Crevettes cuites  - Krustanord - 0,500kg",3306080039754,"0,500 kg","['Barquette', 'Plastique']",['Krustanord'],"['Produits de la mer', 'Crustacés', 'Crevettes']",['Pêché au chalut'],"['Atlantique Centre-Est', 'FAO 34']",['France'],"['FR 62.160.121 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",['Cora'],['France'],"['Crevettes', 'sel', 'antioxydant : bisulfite de sodium et disulfite de sodium', 'acidifiant : acide citrique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",380,-5%,?,,"0,7",-68%,"< 0,5",-54%,"22,3",+23%,D,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,0.7 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,380 kj(91 kcal),-13%,"< 0,5",+9%,"< 0,5",+43%,"1,8",+22%,"0,72",+22%,3,+20%,C,+20%,"['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",3,"['Crustacés', 'Anhydride sulfureux et sulfites']",Crevettes entières cuites réfrigérées,,,,
