,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,generic_name,categories,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,link,palm_ingredients,ingredients_origins,traceability_code,brand_owner,origin_detail
836,Arrabbiata,8017596007216,,,"['France', 'Italie']",[],[],?,59,247 kj(59 kcal),"3,3","0,6","5,7","4,8","1,1","1,3","0,52",,,B,,"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate', 'Sauces Arrabiata']",,,,,,3.3 g,en quantité modérée,0.6 g,en faible quantité,4.8 g,en faible quantité,1.3 g,en quantité modérée,,-45%,-42%,-49%,-27%,-11%,-9%,-31%,+19%,+19%,6,+52%,C,+52%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,
837,Grissini - Tre Mulini,8017596010506,['Tre Mulini'],,"['France', 'Italie']",[],[],?,468,1958 kj(468 kcal),20,"3,5",56,"2,1",14,"1,1","0,44",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,,,20 g,en quantité modérée,3.5 g,en quantité modérée,2.1 g,en faible quantité,1.1 g,en quantité modérée,,+11%,+11%,+85%,+55%,-16%,-16%,+23%,-42%,-42%,12,-6%,D,-6%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,
838,Tropicale,8017596011466,,,"['France', 'Italie']",[],[],?,46,192 kj(46 kcal),"0,1",0,"9,9","9,9","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Grissini torinesi - Tre Mulini,8017596018212,['Tre Mulini'],,"['France', 'Italie']",[],[],?,401,1678 kj(401 kcal),"5,6","0,7",74,"3,1",12,"2,1","0,84",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,,,5.6 g,en quantité modérée,0.7 g,en faible quantité,3.1 g,en faible quantité,2.1 g,en quantité élevée,,-5%,-5%,-48%,-69%,+11%,+24%,+5%,+11%,+11%,14,+9%,D,+9%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,
840,Sorbetto fresco al caffè - Dolciando,8017596075147,['Dolciando'],"['en:gluten-free', 'Sans colorants']","['France', 'Italie']",[],[],?,173,724 kj(173 kcal),"4,7",4,28,14,"3,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Schiacciatine gusto rosmarino - Tre Mulini,8017596079954,['Tre Mulini'],['en:palm-oil-free'],"['France', 'Italie']",[],['Sans huile de palme'],?,414,1732 kj(414 kcal),"9,2",1,70,"2,7",11,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Gressin,8017716003050,,,"['France', 'Italie']",[],[],?,440,1841 kj(440 kcal),"11,4","1,8","71,3","1,2","13,2","1,9","0,76",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,,,11.4 g,en quantité modérée,1.8 g,en quantité modérée,1.2 g,en faible quantité,1.9 g,en quantité élevée,,+5%,+5%,+6%,-20%,+7%,-52%,+16%,0%,0%,14,+9%,D,+9%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,
843,Macarrones Centeno 100% Bio 500G La Fin,8017977012181,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']","['France', 'Italie']",[],[],?,294,1230 kj(294 kcal),"1,81","1,81","58,8",0,"10,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Dinkel Couscous Probios - 500g,8018699010172,['Probios'],"['Bio', 'Bio européen', 'IT-BIO-009']",['France'],"['ground wholemeal', 'wheat spelt']",[],?,344,1439 kj(344 kcal),"2,8","0,6",62,"2,3",13,"0,01","0,004",500g,['Carton'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Plats préparés', 'Céréales en grains', 'Couscous']",,,,,,2.8 g,en faible quantité,0.6 g,en faible quantité,2.3 g,en faible quantité,0.01 g,en faible quantité,,+17%,+15%,+10%,+14%,+17%,-15%,+23%,-95%,-95%,-6,,A,,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,,['Italie'],['C075018'],,
845,Epicerie / Boissons Et Vins / Boissons Végétales - Probios,8018699010899,['Probios'],"['Bio', 'Bio européen', 'Sans gluten']",['France'],"['eau', '*riz 14%', 'cacao 2,8%', '*huile de tournesol', '*sucre de canne', '*beurre de cacao 0,6%', 'sel marin', 'stabilisant: gomme de guar et carraghénanes', ' *biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,70,293 kj(70 kcal),2,"0,7",11,8,1,"0,1","0,04",,,C,,"['Produits laitiers', 'Laits']",,,"['E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,4,2 g,en faible quantité,0.7 g,en faible quantité,8 g,en quantité modérée,0.1 g,en faible quantité,,+6%,+7%,-3%,-41%,+83%,+47%,-72%,-19%,-19%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,
846,"Epicerie / Condiments, Aides Culinaires / Sauces - Laselva",8018759000785,['Laselva'],"['Bio', 'Bio européen', 'IT-BIO-006']",['France'],"['tomates* 97 %', 'légumes* ', 'en proportions variables : carottes*', 'oignons', ' 1 %', 'jus de raisins*', 'basilic*', 'sel marin', "" l'agriculture biologique contrôlée"", ' Laselva', 'S', 'R 81 Osa', 'n', '7', 'Orbetello ', 'GR', 'Italia', ' 8 018759 000785']",[],?,22,92 kj(22 kcal),"0,5","0,1","2,9","2,9","1,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Huiles D'olive Bio - Laselva,8018759001270,['Laselva'],['Bio'],['France'],"[""Huile d'olive vierge extra 100% italienne Huile d'olive de première qualité"", 'obtenue directement des olives par extraction exclusivement mécanique', ' Issus de ', ""l'agriculture biologique contrôlée""]",[],?,800,3347 kj(800 kcal),"93,3","13,3","0,1",0,0,0,0,,,,,['Matières grasses'],,,,,,93.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-0%,-0%,+5%,-42%,-55%,-100%,-100%,-100%,-100%,10,-12%,C,-12%,,,,,,,,,,,,,
848,"La Selva Crema Di Balsamico Aus Modena I. g. p. , 250 ML Flasche - LaSelva",8018759001294,['LaSelva'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']","['Autriche', 'France']",[],"['Végétalien', 'Végétarien']",?,242,1013 kj(242 kcal),0,0,58,54,"1,1","0,01","0,004",,['Produkt'],,,"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,,,,,0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0.01 g,en faible quantité,,+14%,+14%,-100%,-100%,+16%,+29%,+65%,-92%,-92%,13,+19%,D,+19%,,,,,,,,,,,,,
849,Risotto ai funghi porcini - Laselva,8018759004059,['Laselva'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",['France'],"['riz decarnaroli*', '91 %', 'cèpes* ', 'Boletus edulis', ' 3,2 %', 'sel de mer', 'farine de riz*', ""oignons'"", ""céleri'"", 'carottes*', 'persill poireau*', ""huiledolive vierge extra'"", ""ail'"", 'amidon de mdis*', 'misoi ', 'soja?', 'riz*', 'eau', 'sel,kojl', 'extrait de levure', 'épices*', ' T', ""e l'agriculture biologique"", ""'""]","['Végétalien', 'Végétarien']",?,335,1402 kj(335 kcal),"1,1","0,2",73,"0,6","9,3","1,9","0,76",,,B,,"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons']",,,,"['Céleri', 'Soja']",3,1.1 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en faible quantité,1.9 g,en quantité élevée,,+36%,+41%,-65%,-85%,+69%,-55%,+60%,+116%,+116%,12,+173%,D,+173%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,,,,,
850,5 Cereali crocanti - Ecor - 300g,8019010239296,"['Ecor', 'Naturasì']","['Bio', 'Bio européen', 'IT-BIO-013']","['France', 'Italie']","['Boules de céréales extrudées avec du chocolat * [farine de blé * ', 'contient du gluten', ' *', 'sucre de canne *', 'farine de riz *', 'farine de maïs *', 'sirop de riz *', 'cacao *', 'sel]', ""flocons d'épeautre extrudés * [ farine intégrale d'épeautre * "", 'contient du gluten', 'sucre de canne *', 'extrait de malt de maïs *', 'sel]', ' Boules de céréales extrudées avec du miel * [farine de maïs *', 'farine de blé * ', 'contient du gluten', 'sucre de canne *', ""farine d'avoine *"", 'sirop de riz *', 'amidon de maïs *', 'miel *', 'sel', 'vanille bourbon *', 'acide citrique', 'poudre à lever : tartrate mono-potassique', 'colorants : poudre de betterave rouge *', 'concentré de jus de citron *]', ' Pétales de céréales extrudées * [farine de riz *', 'farine de blé * ', 'contient du gluten', ' *', 'farine de maïs *', 'sucre de canne *', 'sirop de riz *', 'sel] // * Ingrédients issus de l’Agriculture Biologique']",['Non végétalien'],?,361,1510 kj(361 kcal),"2,4","1,2",74,15,"8,3","0,8","0,32",300 g,['Sachet'],B,Céréales extrudées pour le petit déjeuner,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",['Castelbello'],['Naturasi'],"['E330 - Acide citrique', 'E336i - Tartrate monopotassique']","['Gluten', 'Avoine']",4,2.4 g,en faible quantité,1.2 g,en faible quantité,15 g,en quantité élevée,0.8 g,en quantité modérée,,-10%,-10%,-72%,-45%,+11%,-10%,-11%,+124%,+124%,6,+11%,C,+11%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,http://www.ecor.it/it/prodotti/confezionati/cereali-per-la-colazione/corn-flakes-e-cereali-per-la-colazione/5-cereali-croccanti/0023929,,['Union européenne'],,,
851,Cantuccini alle mandorle,8019730031514,,,['France'],[],[],?,438,1833 kj(438 kcal),14,2,"66,7","30,5","9,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Miele millefiori - Www.rucherbeletang.com - 400gr,8019730053332,['Www.rucherbeletang.com'],,['France'],[],[],?,314,1314 kj(314 kcal),0,0,78,78,"0,4",0,0,400gr,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,0 g,en faible quantité,0 g,en faible quantité,78 g,en quantité élevée,0 g,en faible quantité,,+6%,+5%,-100%,-100%,+1%,+12%,+18%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,
853,Panna cucina - 200ml,80123354,,,['France'],[],[],?,206,862 kj(206 kcal),20,14,4,4,"2,5","0,1","0,04",200 ml,['Tetra Pak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,"Panna Da Cucina (granarolo), Sahne",80146643,['Granarolo'],,['France'],[],[],?,211,883 kj(211 kcal),21,14,4,4,"2,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,Formaggino Dinki X8 GR 140 - Prealpi,80179122,['Prealpi'],['en:gluten-free'],['France'],"['Energy Grassi I Grasas / Fats di wi acidi grassi saturi / de wales los éddos of which saturated fatty acids Carboidrati / Hidratos de carbono / Carbohydl di cui zuccheri / de los cuales azücares / of whi Proteine / Proteinas / Proteins Sale / Sal / Salt Calcio / Calcio / Calcium FORMAGGIO FUSO Ingredienti: tQŒmag', 'gjg', 'acqua', 'siero di latte in polvere', 'burro', 'proteine del latte', 'sali di fusione ', 'E331', 'i', ' correttore di acidità', 'E330', 'stabilizzante ', 'E407', 'Conservare in luogo fresco e asciutto']",[],?,237,992 kj(237 kcal),17,12,10,"7,1",11,"2,3","0,92",,,,,,,,"['E331 - Citrates de sodium', 'E330 - Acide citrique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Jus de citron - LIMMI,8020542110212,['LIMMI'],,['France'],[],[],?,28,117 kj(28 kcal),"0,5",0,"6,7",2,"0,5",12,"4,8",,,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,,,,,0.5 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,12 g,en quantité élevée,,+4%,+4%,+252%,-100%,+88%,+20%,+48%,+133679%,+133679%,6,,D,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,
857,Bresaola 70g Bio - PrimaVera,8020819008518,['PrimaVera'],"['Bio', 'en:gluten-free']",['France'],"['BRESAOLA BIO Ingtpdien fesa ç/iXyito', 'Ro•', 'sale marino', 'vino rosso•', 'zucchero di canna*', 'Sneure bo agents de conse vine set marin', 'vin rouge* s ', 'sea sait', 'red wine canul suogü\\', 'spices*', ' preservaûve: sodrurn nith Rotwein Zuckerrohr*', ""Gewürze*'"", 'Konservierungsmite{: Incrediênten: plattebÎvan rund*', 'zeezout', 'rode win* bruine suiker specenjen•', ' tonsercen smiddel: natriumnltnet', ' * Biologisch roduct']",[],?,149,623 kj(149 kcal),"2,1","1,1","0,1","0,1","32,6","3,8","1,52",,,E,,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Bresaola']",,,,,,2.1 g,en faible quantité,1.1 g,en faible quantité,0.1 g,en faible quantité,3.8 g,en quantité élevée,,-8%,-8%,-34%,-16%,-77%,-70%,-1%,-3%,-3%,12,-2%,D,-2%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,
858,Arrosto di pollo - 70g,8020819009928,,"['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-009']",['France'],[],[],?,96,402 kj(96 kcal),"2,2","0,7",0,0,19,"1,52","0,608",70 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Purée De Tomates - Le Delizie Di Mamma Puggia,8021115290263,['Le Delizie Di Mamma Puggia'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Bio-dynamie', 'Demeter']",['France'],[],[],?,33,138 kj(33 kcal),0,0,"3,7","3,7","1,7","0,04","0,016",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",,,,,,0 g,en faible quantité,0 g,en faible quantité,3.7 g,en faible quantité,0.04 g,en faible quantité,,-37%,-32%,-100%,-100%,-36%,-18%,+8%,-91%,-91%,-6,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,
860,Tortellini prosciutto crudo - Armando De Angelis - 250g,8021228110007,['Armando De Angelis'],,"['France', 'Allemagne', 'Suisse']","['Semoule de blé dur', 'farine de blé', 'oeufs ', ""d'élevage au sol"", ' 14%', 'préparation de viande 12% ', 'viande de boeuf et viande de porc [Italie]', 'oignons', 'carottes', 'ail', 'romarin', 'noix de muscade', 'sel de cuisine', 'vin rouge', 'chapelure ', 'farine de blé', 'levure', 'sel de cuisine', 'fromage à pâte dure ', ""avec conservateur: E 1105 à base d'oeufs"", 'mortadelle ', 'viande de porc [Italie]', 'sel de cuisine', 'dextrose', 'arômes', 'jambon cru 1', '2% ', 'viande de porc [Italie]', 'sel de cuisine', 'conservateur: E 252', 'noix de muscade', 'arômes', 'sel de cuisine', 'sucre', 'sirop de glucose', 'saindoux', 'maltodextrine', 'épaississant: E 1450', 'émulsifiant: E 471']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,307,1284 kj(307 kcal),"6,7","2,5","49,5","2,1","11,1","1,3","0,52",250 g,['Plastique'],,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Tortellini', 'Tortellini à la viande']",,,"['E1105 - Lysozyme', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', ""E1450 - Octényle succinate d'amidon sodique"", ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten']",4,6.7 g,en quantité modérée,2.5 g,en quantité modérée,2.1 g,en faible quantité,1.3 g,en quantité modérée,,+10%,+13%,-6%,-8%,+23%,-8%,+1%,+5%,+5%,3,-53%,C,-53%,,,,,,,,,,,,,
861,Avena bio,8021581180716,,['Bio'],['France'],[],[],?,42,176 kj(42 kcal),"1,1","0,2",7,6,"0,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Creme de balsamique - 250ml,8022422017512,,,['France'],[],[],?,210,879 kj(210 kcal),0,0,49,47,"0,8",0,0,250 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,"Aceto Balsamico Di Modena Riserva 0,125L - Bio - 125ml",8022734111625,,"['Bio', 'Bio européen', 'IT-BIO-006']",['France'],[],[],?,316,1322 kj(316 kcal),0,0,78,78,"1,27","0,04","0,016",125 ml,,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,0 g,en faible quantité,0 g,en faible quantité,78 g,en quantité élevée,0.04 g,en faible quantité,,+115%,+115%,-100%,-100%,+145%,+167%,+91%,-44%,-44%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,
864,Soja chocolat - Isola Bio,8023678261421,['Isola Bio'],"['Bio', 'Bio européen', 'Sans gluten', 'IT-BIO-006', 'Fabriqué en Italie']",['France'],[],[],?,73,305 kj(73 kcal),2,"0,5",10,"9,5",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Créme Gratin riz - Isola bio,8023678727248,['Isola bio'],"['Bio', 'Bio européen', 'Sans gluten', 'Sans sucre ajouté', 'Sans lactose', 'AB Agriculture Biologique']",['France'],[],[],?,102,427 kj(102 kcal),"3,7","0,4",17,"0,5","0,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Tortelloni Ricotta épinards Pâtes Fraîches - Pasta Giancarlo - 500g,8024324003341,['Pasta Giancarlo'],,['France'],"['TORTEBEONI RICOTTA ÉFINAR 4 RSQNNES TORTELLONI RICOTTA EPINARDS Ingrédients de la pâte 65%: Semoule de blé dur', 'farine de blé tendre ""00""', 'oeuf 16', '7%', 'eau', ' Ingrédient la fare 35%: ricotta 40% ', 'sérum de hit', 'lat', 'sel', "" Correcteur d'acidité: acide citrique"", 'flocons de pomme de terre', 'fafae tens,te', 'margarine végétale ', 'huile de tournesol', 'huile de palme', 'eau', ""émulsifiant: mono et dig!ycérides d'acide E47t,y eni„ards 7"", '5%', 'huile de tournesol', 'sérum de lait', 'sel', 'arômes', 'extrait de levure', 'épices', "" CONSEIL D'UTILISAT! 1 litre d'eau pour 125 gr de tortelloni"", ' Ajouter une petite cuillère de sel et verser les tortelloni', ' Faire INFORMATiONS NUTRITIONELLES réchauffer pendant 4/5 min', ' environ et égoutter', ' Pour accommoder votre plat', ""ajouter de moyennes pour 100 g l'huile d'olive et saupoudrer de parmesan ou de grana"", ' Produit conditionné sous atmosphère Ener ie protectrice', ' A conserver entre 0 et +40C', ' A consommer rapideren$ aptes ouverture de Li ides']","['Huile de palme', 'Non végétalien']",?,279,1167 kj(279 kcal),"3,7","0,8",53,"7,3","7,5","1,1","0,44",500 g,,,,,,,['E330 - Acide citrique'],['Œufs'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,
867,Ket-chup,8024336001977,,"['Bio', 'Bio européen', 'IT-BIO-008']",['France'],[],[],?,119,498 kj(119 kcal),"0,2","0,07","26,7","21,46","2,5","1,49","0,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Huile D Olive Vierge Agriculture Biologique,8024550000251,,['Bio'],['France'],[],[],?,824,3448 kj(824 kcal),92,13,0,0,0,0,0,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,
869,Grissini biologici,8024555012396,,"['Bio', 'Bio européen', 'IT-BIO-014']",['France'],[],[],?,409,1711 kj(409 kcal),12,2,67,2,12,2,"0,8",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,,,12 g,en quantité modérée,2 g,en quantité modérée,2 g,en faible quantité,2 g,en quantité élevée,,-3%,-3%,+11%,-12%,+0%,-20%,+5%,+5%,+5%,14,+9%,D,+9%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,
870,Antichi dolci di siena,8024724001077,,['en:gluten-free'],['France'],[],[],?,466,1950 kj(466 kcal),"24,5","2,1","50,8","34,5",9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Tomates Pelées entières - Il Nutrimento,8024749001526,['Il Nutrimento'],"['Bio', 'Bio européen', 'IT-BIO-007']",['France'],"['tomates', 'sauce tomate']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,21,88 kj(21 kcal),"0,1","0,1","3,5",3,"1,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Polpa di fruta,8024985000062,,['Sans conservateurs'],['France'],[],[],?,59,247 kj(59 kcal),"0,2",0,13,13,"0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Tomate entière pelées - Romabella - 400g (égoutté : 240g),8024991010017,['Romabella'],,['France'],"['Tomates pelées', 'jus de tomates', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",86,21,86 kj(21 kcal),"0,2",0,"3,2","3,2","1,2","0,2","0,08",400 g (égoutté : 240 g),"['Conserve', 'Métal']",A,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées']",,,,,3,0.2 g,en faible quantité,0 g,en faible quantité,3.2 g,en faible quantité,0.2 g,en faible quantité,-17%,-16%,-16%,-29%,-100%,-14%,-1%,+3%,-3%,-3%,-5,,A,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,,,,,
874,"Salsa Tartufata,Trüffel Sauce - 180g",8025386000019,,,['France'],[],[],?,319,1335 kj(319 kcal),33,10,"0,2",0,"2,5","1,53","0,612",180 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Pop corn,8025579240031,,"['en:gluten-free', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,470,1966 kj(470 kcal),22,"3,6",50,"0,39",11,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Mascarpone - Bravo Bis,8026160003813,['Bravo Bis'],,['France'],"['Crème de lait pasteurisé', 'lait pasteurisé', ""correcteur d'acidité : acide citrique "", 'lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,411,1720 kj(411 kcal),42,30,"4,6","4,6","3,6","0,11","0,044",,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']",['Italie'],,['E330 - Acide citrique'],['Lait'],3,42 g,en quantité élevée,30 g,en quantité élevée,4.6 g,en faible quantité,0.11 g,en faible quantité,,+8%,+8%,+8%,+11%,+47%,+52%,-28%,+17%,+17%,14,+18%,D,+18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['Union européenne'],['IT 41 4 CE'],,
877,Parmesan Reggiano Rape - Bio Hombre - 45g,8027703000368,['Bio Hombre'],"['Bio', 'AOP']",['France'],"['Lait', 'sel', 'presure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,392,1640 kj(392 kcal),"0,9","0,21",13,0,33,"1,6","0,64",45g,['Plastique'],D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,,['Lait'],3,0.9 g,en faible quantité,0.21 g,en faible quantité,0 g,en faible quantité,1.6 g,en quantité élevée,,-2%,-2%,-97%,-99%,+1140251%,,+2%,0%,0%,6,-64%,C,-64%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,
878,Negroni Prosciutto Cotto Stella - 110g,8028257011497,['Negroni'],"['en:gluten-free', 'Qualité supérieure']","['France', 'Italie']","['Jambon de porc', 'sel', 'arômes', 'antioxydants : ascorbate de sodium', 'conservateurs : nitrite de sodium,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,136,569 kj(136 kcal),"5,8","1,9",0,0,21,"1,9","0,76",110 g,"['Barquette', 'Plastique']",E,Jambon cuit supérieur,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Italie'],['Magasins U'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,5.8 g,en quantité modérée,1.9 g,en quantité modérée,0 g,en faible quantité,1.9 g,en quantité élevée,,+3%,+4%,+21%,+3%,-100%,-100%,-0%,+2%,+2%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,['IT 302 L CE'],,
