,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,allergens,nova_score,generic_name,packaging,markets,traceability_code,ingredients_origins,labels,palm_ingredients,manufacturing,link,brand_owner,origin_detail,producer_info
1737,Galets dorés - Pointe de cannelle - Carrefour - 125g,3560070617807,['France'],"['Farine de blé', 'vergeoise', 'graisse et huile végétales ', 'palme', 'tournesol', 'émulsifiant : lécithine de soja', 'sucre', 'noix de coco', ""sirop de sucre inverti,poudre à lever : carbonate acide d'ammonium - carbonate acide de sodium - diphosphate disodique"", 'cannelle en poudre 0,8% sel', 'poudre de lait écrémé']","['Huile de palme', 'Non végétalien']",1997,?,1997 kj(477 kcal),19,"7,2",69,30,"5,7","1,016","0,406",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",19 g,en quantité modérée,7.2 g,en quantité élevée,30 g,en quantité élevée,1.02 g,en quantité modérée,-0%,,+0%,-9%,-29%,+8%,+2%,-12%,+72%,+72%,19,-4%,E,-4%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,125 g,['Carrefour'],"['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",['Gluten'],4,,,['Carrefour'],"['EMB 49281', 'Saint-Georges-des-Gardes (Maine-et-Loire, France)']",,,,,,,,
1738,Madeleines Longues - Grand Jury - 220g e,3560070617814,['France'],"['Farine de blé sucre', ' huile de colza', 'œufs frais 14 %', 'sirop de glucose fructose', 'stabilisant : sorbitols', 'lait demi écrémé', 'amidon de maïs', 'poudres a lever diphosphates et carbonates de sodium ', 'contient blé', 'sel', 'conservateur sorbate de potassium', 'arome', 'émulsifiant lécithines ', 'soia']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,468,1958 kj(468 kcal),25,"2,2",55,29,"5,1","0,69","0,276",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines longues']",25 g,en quantité élevée,2.2 g,en quantité modérée,29 g,en quantité élevée,0.69 g,en quantité modérée,,+6%,+7%,+18%,-37%,+0%,+3%,-9%,-18%,-18%,16,-1%,D,-1%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,220 g e,['Grand Jury'],"['E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,16 madeleines longues aux œufs frais.,"['Sachet', 'Plastique']","['Proxi', '8 à Huit']","['EMB 41059A', 'Contres (Loir-et-Cher, France)']",,"['Point Vert', 'Fabriqué en France']",,['France'],,,,
1739,Galets dorés - Parfumé au thé Earl Grey - Carrefour - 125g,3560070617838,['France'],"['Farine de blé', 'sucre', 'graisse et huiles végétales ', 'palme', 'tournesol', 'émulsifiant : lécithine de soja', 'noix de coco', 'sirop de sucre inverti', ""poudre à lever : carbonate acide d'ammonium - carbonate acide de sodium - diphosphate disodique"", 'thé noir 1,1%', 'sel', 'arôme Earl Grey', 'poudre de lait écrémé']","['Huile de palme', 'Non végétalien']",1988,?,1988 kj(475 kcal),19,"7,1",68,31,"5,9","0,889","0,356",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",19 g,en quantité modérée,7.1 g,en quantité élevée,31 g,en quantité élevée,0.889 g,en quantité modérée,-1%,,-0%,-9%,-30%,+6%,+5%,-9%,+51%,+51%,18,-9%,D,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,125 g,['Carrefour'],"['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",['Gluten'],4,,,['Carrefour'],"['EMB 49281', 'Saint-Georges-des-Gardes (Maine-et-Loire, France)']",,,,,,,,
1740,Le petit croquant - Carrefour - 300g (2x 150g),3560070617869,['France'],"['Farine de blé 72 %', 'sucre', 'graisse de palme', 'sirop de glucose de blé', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', 'diphosphate disodique', 'sel', 'arôme', 'poudre de lait écrémé', 'lactosérum en poudre', 'protéines de lait']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",1806,?,1806 kj(432 kcal),10,"4,8",76,25,7,"0,864","0,345",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Petits beurres']",10 g,en quantité modérée,4.8 g,en quantité modérée,25 g,en quantité élevée,0.864 g,en quantité modérée,-9%,,-9%,-46%,-59%,+12%,-12%,-1%,+11%,+11%,14,-35%,D,-35%,75.0%,14.2%,4.8%,3.0%,2.9%,0.0%,71,300 g (2 x 150 g),['Carrefour'],"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']","['Gluten', 'Lait']",4,,"['Plastique', 'Carton']","['Carrefour Market', 'Carrefour']","['EMB 49281', 'Saint-Georges-des-Gardes (Maine-et-Loire, France)']",,"['Labels de distributeurs', 'Qualité Carrefour']",['Huile de palme'],,,,,
1741,Crackers goût pizza - Carrefour,3560070618644,['France'],"['Farine de blé', 'fromages 18%', 'huiles végétales ', 'tournesol', 'colza', 'huiles végétales totalement hydrogénées ', 'tournesol', 'coprah', 'œufs entiers pasteurisés', 'sucre', 'poudres à lever : diphosphates et carbonates de sodium', 'arômes ', 'contient blé', 'sel de mer', 'amidon modifié de pomme de terre', 'plantes aromatiques déshydratées ', 'persil', 'romarin', 'sarriette', 'thym', ' 0,7%', 'oignon en poudre 0,4%', 'poivre noir', 'colorants : extrait de paprika et rocou', 'antioxydant : extraits de romarin', ""émulsifiant : mono - et diglycérides d'acides gras"", 'ail', ' acidifiant : acide lactique', 'sel', 'levure', ' Peut contenir des traces de noix']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,506,2117 kj(506 kcal),27,14,49,"3,7",15,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],"['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E160b - Rocou', 'E392 - Extrait de romarin', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E270 - Acide lactique']","['Gluten', 'Lait']",4,,,['Carrefour'],,,,,,,,,
1742,Biscuits salés Parmigiano Reggiano et Grana Padano - Carrefour,3560070618675,['France'],"['Farine de blé', 'beurre 18%', 'Grana Padano AOP 18% ', 'contient du lait', 'sirop de glucose', 'Parmigiano Reggiano AOP 5% ', 'contient du lait', 'sel de mer', 'lait en poudre partiellement écrémé', 'oeufs entiers pasteurisés', ""jaunes d'oeufs pasteurisés"", 'arôme ', 'contient du lait', 'poudres à lever : diphosphates et carbonates de sodium', 'poivre noir', 'amidon de pomme de terre', 'antioxidant : extrait riche en tocophérols', ' Peut contenir des traces de noix']",['Non végétalien'],?,483,2021 kj(483 kcal),22,15,56,"3,6",15,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],"['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait']",4,,,['Carrefour'],,,,,,,,,
1743,Pain de mie spécial croque monsieur - Carrefour - 1000g,3560070619580,['France'],"['Farine de blé 63,5%', 'eau', 'sucre', 'levure', 'sel', 'arôme naturel ', 'contient alcool', 'huile de colza', 'farine de fèves', ""émulsifiants : mono - et diglycérides d'acides gras et stéaroyl-2 - lactylate de sodium"", 'gluten de blé', 'conservateur : propionate de calcium', ""correcteur d'acidité : glucono-delta-lactone"", 'gélifiant : gomme guar', 'agent de traitement de la farine : acide ascorbique', 'Peut contenir des traces de soja', 'œufs et lait']","[""Pourrait contenir de l'huile de palme""]",?,261,1092 kj(261 kcal),"1,6","0,4",53,"5,8","7,4","1,3","0,52",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",1.6 g,en faible quantité,0.4 g,en faible quantité,5.8 g,en quantité modérée,1.3 g,en quantité modérée,,-2%,-2%,-64%,-38%,+16%,+11%,-12%,+14%,+14%,5,+245%,C,+245%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,1000 g,['Carrefour'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium', 'E575 - Glucono-delta-lactone', 'E412 - Gomme de guar', 'E300 - Acide ascorbique']",['Gluten'],4,Pain de mie nature tranché longue conservation,,['Carrefour'],"['EMB 76018A', 'Val-de-Saâne (Seine-Maritime, France)', 'EMB 85223B', 'Sainte-Hermine (Vendée, France)', 'EMB 76018', 'Val-de-Saâne (Seine-Maritime, France)']",,['Fabriqué en France'],,,,,,Fabriqué en France par N : EMB 76018A ou V : EMB 85223B pour Interdis
1744,Miel Numberz - Carrefour Kids,3560070620081,"['France', 'Espagne']","['Semoule de riz 29 %', 'farine complète de blé 27%', 'sucre', ""farine d'avoine 8,1%"", 'semoule de maïs 5,4%', 'miel 4,7%', 'huile de tournesol', 'son de blé', 'inuline', ""extrait de malt d'orge"", 'sel', 'mélasse', 'caramel ', 'sucre', 'eau', "" Peut contenir des traces d'arachides"", 'de soja', 'de lait', 'de fruits à coque et de graines de sésame']","['Sans huile de palme', 'Non végétalien']",?,511,2138 kj(511 kcal),"4,5","0,4",80,27,"6,7","0,4","0,16",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",4.5 g,en quantité modérée,0.4 g,en faible quantité,27 g,en quantité élevée,0.4 g,en quantité modérée,,+28%,+28%,-48%,-82%,+20%,+62%,-28%,+12%,+12%,7,+30%,C,+30%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Carrefour Kids'],,['Gluten'],3,,,['Carrefour'],,,"['Huile de palme durable', 'en:palm-oil-free', ""À l'huile de tournesol""]",,,,,,
1745,Choco Numbers - Carrefour Kids - 375g,3560070620135,['France'],"['Céréales 69 % [semoule de maïs', 'farine complète de blé 24 %', ""farine d'avoine]"", 'sucre', 'chocolat en poudre 9 % [sucre', 'cacao en poudre 2,8 %]', 'cacao maigre en poudre', 'sel', 'arôme']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1645,?,1645 kj(393 kcal),"2,6","0,9",80,31,"8,3","0,41","0,164",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",2.6 g,en faible quantité,0.9 g,en faible quantité,31 g,en quantité élevée,0.41 g,en quantité modérée,-3%,,-1%,-70%,-59%,+20%,+86%,-11%,+15%,+15%,6,+11%,C,+11%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,375 g,['Carrefour Kids'],,"['Gluten', 'Avoine']",4,Céréales au chocolat en forme de chiffres,"['Carton', 'Plastique', 'Sachet']",['Carrefour'],"['EMB 80302A', 'Faverolles (Somme, France)']",,,,['France'],,,,
1746,Madeleines longues aux oeufs - Grand Jury - 220g,3560070620814,['France'],[],[],?,468,1958 kj(468 kcal),25,"2,2",55,29,"5,1","0,695","0,278",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines longues']",25 g,en quantité élevée,2.2 g,en quantité modérée,29 g,en quantité élevée,0.695 g,en quantité modérée,,+6%,+7%,+18%,-37%,+0%,+3%,-9%,-17%,-17%,15,-7%,D,-7%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,220 g,['Grand Jury'],,,,,"['Sachet', 'Barquette', 'Plastique']","['Proxi', '8 à Huit']",,,,,,,,,
1747,Madeleines Coquilles - Grand Jury - 500g,3560070620876,['France'],"['Farine de blé', 'sucre', 'huile de colza', 'œufs frais 18%', 'sirop de glucose - fructose', 'lait demi-écrémé', 'poudres à lever : diphosphates et carbonates de sodium ', 'contient blé', 'sel', 'arôme', 'émulsifiant : lécithines ', 'soja']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,452,1891 kj(452 kcal),21,2,59,29,"5,9","0,31","0,124",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",21 g,en quantité élevée,2 g,en quantité modérée,29 g,en quantité élevée,0.31 g,en quantité modérée,,+2%,+3%,-8%,-71%,+12%,+5%,+4%,-62%,-62%,12,-35%,D,-35%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,500 g,['Grand Jury'],"['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E322 - Lécithines']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,,"['Sachet', 'Plastique']","['Proxi', '8 à Huit']",,,,,,,,,
1748,Madeleines Coquilles - Grand Jury,3560070620906,['France'],[],[],?,452,1891 kj(452 kcal),21,2,59,29,"5,9","0,3","0,12",B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",21 g,en quantité élevée,2 g,en quantité modérée,29 g,en quantité élevée,0.3 g,en quantité modérée,,+2%,+3%,-8%,-71%,+12%,+5%,+4%,-63%,-63%,13,-29%,D,-29%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,['Grand Jury'],,,,,,,,,,,,,,,
1749,Hyperprotéiné Torsades à la bolognaise - AGIR Carrefour nutrition - 150g,3560070636594,['France'],[],[],?,?,,?,,?,,?,,,E,"['Epicerie', 'Produits à la viande', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauce tomate à la viande', 'Sauces bolognaises']",,,,,,,,,,,,,,,,,,,,,,,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,150 g,['AGIR Carrefour nutrition'],,,,"Préparation à base de protéines végétales et de semoule de blé dur à la bolognaise, hyperprotidique",['Sachet plastique'],['Carrefour'],"['FR 28.280.028 CE', 'Nogent-le-Rotrou (Eure-et-Loir, France)']",,,,"['Nogent-le-Rotrou', 'France']",http://www.cookinov.fr/,,,
1750,"Trio printemps été, mirabelles-pêches de vigne-abricots - Carrefour - 270g",3560070636723,['France'],"['Fruits ', 'mirabelles', 'pêches de vigne', 'abricots', 'sucre de canne', 'gélifiant : pectines de fruits', 'acidifiant : acide citrique']",[],?,?,,?,,?,,?,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,270 g,"['Carrefour', 'Carrefour Sélection']","['E440 - Pectines', 'E330 - Acide citrique']",,4,"préparation de fruits : mirabelles, pêches de vigne, abricots","['Bocal', 'Verre']",['Carrefour'],"['EMB 78015', 'Andrésy (Yvelines, France)']",,,,,,,,
1751,Torsade aux légumes - Carrefour - 500g,3560070636877,['France'],"['Semoule de blé dur de qualité supérieure', 'épinards déshydratés 4 %*', 'carottes déshydratées 4 %**', 'haricots verts déshydratés 4 %***', 'double concentré de tomate 3 %**', '\r *    pourcentage exprimé sur les torsades vertes foncées', '\r**   pourcentage exprimé sur les torsades rouges', '\r***  pourcentage exprimé sur les torsades vertes']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1464,?,1464 kj(350 kcal),"1,5","0,3",68,"4,6","12,5","1,27","0,508",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes sèches aromatisées et colorées', 'Torsades']",1.5 g,en faible quantité,0.3 g,en faible quantité,4.6 g,en faible quantité,1.27 g,en quantité modérée,-3%,,-2%,-10%,-17%,-4%,+32%,+3%,+2540%,+2540%,0,,B,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,500 g,['Carrefour'],,,1,"Pâtes alimentaires au blé dur de qualité supérieure, aux légumes",['Sachet plastique'],['Carrefour'],,,"['Labels de distributeurs', 'Qualité Carrefour', 'Point Vert', 'Fabriqué en Espagne', 'Eco-Emballages']",,"['Productos Alimenticios Gallo-SL - PAGSL - Avenida Diagonal 468-8°C - 08006 Barcelone', 'Province de Barcelone', 'Catalogne', 'Espagne']",,,,
1752,Condiments Câpres,3560070646470,['France'],[],[],?,29,121 kj(29 kcal),"0,9",0,"1,4",0,"2,4","6,4","2,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Ratatouille - Carrefour,3560070648887,['France'],[],[],?,391,1636 kj(391 kcal),"1,5","0,1","4,3",3,"1,3","0,9","0,36",B,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",1.5 g,en faible quantité,0.1 g,en faible quantité,3 g,en faible quantité,0.9 g,en quantité modérée,,+475%,+486%,-60%,-81%,-16%,-23%,+10%,+26%,+26%,7,+616%,C,+616%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,['Carrefour'],,,,,,['Carrefour'],,,,,,,,,
1754,Petits permis blancs 5-10 pièces - Carrefour,3560070649402,['France'],"['Merlu blanc ', 'Merlucius gayigay/', ' Peut traces de mollusques et crustacés']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,73,305 kj(73 kcal),"0,5","0,2","0,01","0,01",17,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,['Carrefour'],,,,,,,,,
1755,Couscous grains moyen - Carrefour,3560070649990,['France'],"['COmposition Samenstelling @ Semoule de couscous grains moyens', ' Ingrédient : Semoule de blé dur de qualité supérieure', ' @ Couscousgries middelgrote korrel', ' Ingrediënt: Gries van harde tarwe van superieure kwaliteit']",[],?,341,1427 kj(341 kcal),1,"0,3",70,3,11,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,['Carrefour'],,,,,,,,,
1756,Torsades champignons poulet creme Family - Carrefour,3560070655472,['France'],[],[],?,119,498 kj(119 kcal),"3,9","2,4",14,"1,7","6,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,['Carrefour'],,,,,,,,,
1757,Penne et Boulettes de viande à la Bolognaise - Carrefour,3560070655564,['France'],[],[],?,125,523 kj(125 kcal),"4,3","1,5",15,"2,2","6,2","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,['Carrefour'],,,,,,,,,
1758,Spaghetti a la bolognaise Family,3560070655656,['France'],[],[],?,120,502 kj(120 kcal),4,"1,1",14,"2,2","6,1","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,3560070655724,3560070655724,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Cake aux légumes - Carrefour,3560070657209,['France'],[],[],?,286,1197 kj(286 kcal),"20,5","3,5","15,5","4,4","7,3","1,4","0,56",,"['Snacks', 'Snacks salés', 'Cake aux legumes']",20.5 g,en quantité élevée,3.5 g,en quantité modérée,4.4 g,en faible quantité,1.4 g,en quantité modérée,,+6%,+7%,+13%,-19%,-5%,+28%,-17%,+2%,+2%,12,+10%,D,+10%,,,,,,,,,['Carrefour'],,,,,,['Carrefour'],,,,,,,,,
1761,Fromage Fondue 24 Portions - Carrefour Discount,3560070657339,['France'],[],[],?,240,1004 kj(240 kcal),?,14,?,"8,5","7,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour Discount'],,,,,,['Carrefour'],,,,,,,,,
1762,6 bulles aperitives 3 parfums differents - Carrefour,3560070658442,['France'],"['2 Bulles tartare de saumon', 'citron', 'pavot : 45', '1% ', 'Salm salar', 'stabdtsant carraohònanes', ' jus de c,ltroo 67% ', 'eau', ' jus de vierge extra', ""blanc d'Auf"", 'aneth', 'graines de pavot 0,5%', 'sel', 'amidon modflé de nais', 'arôme', 'epajssjssant gomme xanthane ', '% expomôs sur ia bulle tartare saumon', ' C', 'itrm', '2 Bulles légumes confits', 'parmesan', 'pesto : poivron rouge préfnt 29,3% ', 'gnvron rouge', 'huile de tCRJrnesol', ' stabilisant carraqhénatw?s', 'courgette 11', '4%', ' 10,7 % ', 'aubergine', 'huile de tournesol', 'puree de tomate', 'pesto 5% ', 'huile douve werge extra', 'basilic', 'grana padano', ' ptgnons de Pin', 'ail', ' sel', ""conservateur huile d'olive vierge extra"", 'sucre', 'ail', 'coriandre', 'sel', 'basilic', 'cumin', 'poivre gns', ' ', '% expnmés sur la bulle de legumes c', 'MÌflts', 'parmesan', 'gxsto', 'u 2 Bulles chèvre', 'poivron', 'pistache : fromage de chèvre 40,7%', ' préparation à base de cx', 'ivron 40% ', 'potv?rtX', ' tru séd', 'é 232%', 'huile de touroosd', 'c', 'YY', '0fttré do mate', 'acidifiant acide citrique', 'eau', 'pusuch_e 3,3%', 'en poudre', 'émulsifiant Sthne de sua', 'amidon rnodffié de mais', ' ', '% expnmés sur la bulle cmvret cnvron', 'ptstyhe']",['Non végétalien'],?,213,891 kj(213 kcal),17,"7,1","6,2","4,8","7,5","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['E330 - Acide citrique'],['Lait'],4,,,['Carrefour'],,,,,,,,,
1763,Infusions 100% plaisir Cranberry - Framboise - Carrefour - 40g,3560070659579,['France'],"['Hibiscus 35%', 'pomme 33%', 'cynorrhodon 20%', 'arômes 11%', 'cranberry 0,1%', 'framboise 0,1%']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,A,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Boissons sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,40 g,['Carrefour'],,,4,Préparation aromatisée pour infusions aux cranberry et framboise,"['Carton', 'Sachets']",['Carrefour'],"['EMB 43089A', 'Espaly-Saint-Marcel (Haute-Loire, France)']",,"['Labels de distributeurs', 'Qualité Carrefour', 'Fabriqué en France']",,,,,,
1764,Chips Maxi Crok Classic - Carrefour - 350g,3560070660544,['France'],"['Pommes de terre 64%', 'huile de tournesol 34%', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2242,?,2242 kj(536 kcal),34,"3,1",50,"0,5","5,5","1,27","0,508",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",34 g,en quantité élevée,3.1 g,en quantité modérée,0.5 g,en faible quantité,1.27 g,en quantité modérée,+1%,,+0%,+2%,+4%,-2%,-61%,-7%,-4%,-4%,9,-17%,C,-17%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,350 g,['Carrefour'],,,3,Chips de pommes de terre ondulées,['Sachet'],['Carrefour'],,,"['Sans exhausteur de goût', 'Sans glutamate']",,,,,,
1765,Pasta Sauce Italiana - Carrefour - 380g,3560070661138,['France'],"['Purée de tomate mi—réduite 60%', ' viande de bœuf 14%', 'eau', 'carottes 5', '5%', 'oignons 2', '4%', 'sucre', 'huile de tournesol', 'sel', 'vin blanc', 'amidon modifié de maïs', ""blanc d'œuf"", 'épices et aromates ', 'dont céleri', 'protéines de lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",419,?,419 kj(100 kcal),"5,5",2,"7,9","5,5","3,9","1,3","0,52",,"['Epicerie', 'Sauces', 'Sauces pour pâtes']",5.5 g,en quantité modérée,2 g,en quantité modérée,5.5 g,en quantité modérée,1.3 g,en quantité modérée,-24%,,-25%,-40%,+16%,+20%,+17%,+16%,+2%,+2%,3,-41%,C,-41%,,,,,,,,380g,['Carrefour'],['E14XX - Amidons modifiés'],"['Œufs', 'Lait']",4,,['Conserve'],['Carrefour'],"['EMB 84029', 'Camaret-sur-Aigues (Vaucluse, France)']",,['Fabriqué en France'],,,,,,
1766,Crème liquide légère (12% Mat. Gr.) - Grand Jury - 3 * 20cl,3560070674466,['France'],[],[],?,140,586 kj(140 kcal),12,"7,7","5,3","4,1","2,6","0,11","0,044",B,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes légères', 'Crèmes liquides']",12 g,en quantité modérée,7.7 g,en quantité élevée,4.1 g,en faible quantité,0.11 g,en faible quantité,,-13%,-12%,-15%,-18%,-2%,+5%,-6%,+2%,+2%,7,-29%,C,-29%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,3 * 20 cl,['Grand Jury'],,,,,"['Brique', 'Carton']","['Proxi', '8 à Huit']",,,"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Moins 30% de matière grasse']",,,,,,
1767,Pasta sauce Bolognaise - Grand Jury - 420g,3560070674497,['France'],[],[],?,93,389 kj(93 kcal),"4,6","1,6","6,6","5,8","5,2",1,"0,4",E,"['Epicerie', 'Produits à la viande', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauce tomate à la viande', 'Sauces bolognaises']",4.6 g,en quantité modérée,1.6 g,en quantité modérée,5.8 g,en quantité modérée,1 g,en quantité modérée,,+7%,+8%,+12%,+31%,+1%,+22%,+16%,-9%,-9%,2,-12%,B,-12%,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,420 g,['Grand Jury'],,,,Sauce bolognaise aux 2 viandes,['Bocal'],"['Proxi', '8 à Huit']","['FR 84.029.002 CE', 'Camaret-sur-Aigues (Vaucluse, France)', 'EMB 84029A', 'Camaret-sur-Aigues (Vaucluse, France)']",,['Fabriqué en France'],,,,,,
