,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,markets,palm_ingredients,allergens,ingredients_origins,link,brand_owner
34,Thé english breakfast - Terre d'Oc,3700324429132,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,"[""Terre d'Oc""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Crème fraiche de Normandie,3324976110400,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Gelatina sabor limón - Royal,7622210479839,,['France'],"['Agua', 'azúcar', 'gelatina ', '1,5 %', 'correctores de acidez ', 'ácido fumárico', 'citrato trisodico', 'antioxidante ', 'ácido ascórbico', 'colorante ', 'E-100', 'aromas']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,61,255 kj(61 kcal),"0,1","0,1","13,5","13,5","1,4","0,12","0,048",,,,"['Desserts', 'Desserts gélifiés']",,+17%,+183%,+30%,+19%,,,,,,,,['Royal'],,"['E428 - Gélatine', 'E297 - Acide fumarique', 'E331iii - Citrate trisodique', 'E300 - Acide ascorbique', 'E100 - Curcumine']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,13.5 g,en quantité élevée,0.12 g,en faible quantité,+15%,+277%,+50%,-15%,-15%,2,+89%,B,+89%,Postre acuoso con gelatina sabor limón.,,,,,,,
37,Miel crémeux - Rochambeau,3439495208429,['Fabriqué en France'],['France'],[],[],?,320,1339 kj(320 kcal),0,0,80,80,0,0,0,,,,,,,,,,,,,,,,,['Rochambeau'],"['EMB 64230B', 'Gan (Pyrénées-Atlantiques, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2 pavés marinés,0210735021915,,['France'],[],[],?,95,397 kj(95 kcal),"1,3","0,6","0,7","0,5",20,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Spaghetti al bero di seppia,8013070611870,,['France'],[],[],?,363,1519 kj(363 kcal),"1,5","0,6",74,"2,1",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Galette des rois Frangipane 6 parts,3700462031877,,['France'],[],[],?,444,1858 kj(444 kcal),32,17,31,11,"7,1","0,6","0,24",,D,,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,+5%,+21%,-20%,+12%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,32 g,en quantité élevée,17 g,en quantité élevée,11 g,en quantité modérée,0.6 g,en quantité modérée,+6%,+15%,-15%,-14%,-14%,19,-1%,E,-1%,,,,,,,,
41,Pistaches grilllees a l'ancienne sans sel,3700650906642,,['France'],[],[],?,688,2879 kj(688 kcal),"46,4","5,66",12,"5,4","24,9",0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches sans sel']",,+13%,-5%,-23%,+12%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,46.4 g,en quantité élevée,5.66 g,en quantité élevée,5.4 g,en quantité modérée,0 g,en faible quantité,+13%,-11%,-22%,-100%,-100%,4,-33%,C,-33%,,,,,,,,
42,Sweet Korean Pancake Mix Green Tea,8801007231884,,['France'],[],[],?,390,1632 kj(390 kcal),"4,2","0,8","80,9",25,7,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Parmegiano Regiano,2135081001924,['Bio'],['France'],[],[],?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
