,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,markets,palm_ingredients,allergens,ingredients_origins,link,brand_owner
1598,Handseife Nachfüll,8714789510309,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,['Produkt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Croissants,0260140009183,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants']",,,,,,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Cuisse de poulet rôti traité en salaison,0211792030964,,['France'],[],[],?,186,778 kj(186 kcal),"11,9","3,3","0,7","0,7","18,9","1,53","0,612",,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,-3%,-4%,+120%,+3%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,11.9 g,en quantité modérée,3.3 g,en quantité modérée,0.7 g,en faible quantité,1.53 g,en quantité élevée,-3%,-1%,+352%,+101%,+101%,11,+212%,D,+212%,,,,,,,,
1601,Crème liquide entière,59565956,['Bio'],['France'],[],[],?,294,1230 kj(294 kcal),30,20,"3,5","3,5","2,4","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Muesli,6365639356565,,['France'],[],[],?,483,2021 kj(483 kcal),"22,8","5,1",58,"12,9",8,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Lin brun,3760196730217,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,528,2209 kj(528 kcal),44,"4,3","7,89","1,9",20,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Mangue du Perou,3760034600825,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,4013228353946,4013228353946,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Miel de montagne,3110775500081,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Mandarine Bio,3661030081260,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-002-AN']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Jambon cuit choix,0207661030708,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Blackbrod,0204339006560,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Ma pate a tartiner,3760009652712,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Chocolat noir amande 70% - Antton,3514962711104,,['France'],[],[],?,581,2431 kj(581 kcal),44,22,31,25,"9,8","0,01","0,004",,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux amandes', 'Chocolats noirs aux amandes']",,+4%,+15%,-23%,+17%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Antton'],,,,44 g,en quantité élevée,22 g,en quantité élevée,25 g,en quantité élevée,0.01 g,en faible quantité,+5%,+13%,-29%,-84%,-84%,22,+3%,E,+3%,,,,,,,,
1612,Jus d'orange 100% naturel,2090000244618,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Pain complet,0206223006892,,['France'],[],[],?,181,757 kj(181 kcal),"0,1",0,43,"1,1",0,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,Emmental de Savoie igp,2489447013916,,['France'],[],[],?,399,1669 kj(399 kcal),31,21,1,"0,5",29,"0,33","0,132",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Emmentals de Savoie']",,+1%,0%,+79%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,31 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.33 g,en quantité modérée,+1%,+3%,+45%,+7%,+7%,10,0%,C,0%,,,,,,,,
1615,Andouillette au canard et poivre vert,2977360003829,,['France'],[],[],?,236,987 kj(236 kcal),15,"5,1",4,"0,49",21,"1,1","0,44",,,,,,,,,,,,,,,,,,"['FR 69.211.001 CE', ""Saint-Jean-d'Ardières (Rhône, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Saucisses fromage - 360g,5410620105392,,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,,,360 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Brioche tranchee,0205780005782,,['France'],[],[],?,366,1531 kj(366 kcal),"15,1","5,7","48,4","15,1","7,4","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Oignon rouges,3700444405382,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Triskel rouge - Le Bois Jumel,3176630020149,,['France'],[],[],?,200,837 kj(200 kcal),0,0,48,48,"0,9","0,03","0,012",,,,,,,,,,,,,,,,,['Le Bois Jumel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Andouillette de porc tirée à la ficelle,2368501009464,,['France'],[],[],?,200,837 kj(200 kcal),13,"6,1",1,"0,49","19,8","1,1","0,44",,,,,,,,,,,,,,,,,,"['FR 69.211.001 CE', ""Saint-Jean-d'Ardières (Rhône, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,M / Light Ras & Cran 175g,4025500157432,,['France'],[],[],?,52,218 kj(52 kcal),"0,1","0,1","7,8","7,2","4,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,Amandes Blanchies,5400219530704,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,2677607021257,2677607021257,"['Viande Française', 'en:gluten-free', 'Viande Porcine Française']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,"['EMB 49239A', 'Pin-en-Mauges (Maine-et-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Choco drink,3700308361151,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Yaourt,8712275101116,,['France'],[],[],?,86,360 kj(86 kcal),"0,6","0,37","17,3","13,9","2,7","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,0771098005894,0771098005894,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,Saucisse blanche de volaille,8711659074947,['Halal'],['France'],[],[],?,244,1021 kj(244 kcal),19,"6,16",0,0,"10,5",3,"1,2",,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,+36%,+61%,-100%,-36%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,19 g,en quantité modérée,6.16 g,en quantité élevée,0 g,en faible quantité,3 g,en quantité élevée,+34%,+70%,-100%,+69%,+69%,19,+94%,E,+94%,,,,,,,,
1628,"Pavés de truite nourris sans OGM (<0,9%)",3579600003010,,['France'],[],[],?,?,,?,,?,,?,,,,E,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,,,,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,"['FR 40.075.002 CE', 'Castets (Landes, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Kassler sale fumé supérieur,0286063054314,,['France'],[],[],?,111,464 kj(111 kcal),"3,3","1,3","0,5","0,5","20,3","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,0885909770540,0885909770540,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Gateau a saveur d ananas,5602974006122,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Rotgarnelen,8410547957774,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Saumon frais mariné,0224329045591,,['France'],[],[],?,158,661 kj(158 kcal),"7,99","1,4","0,1",0,"21,44","1,89","0,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Beignets parfum chocolat noisette,0203511023616,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,385,1611 kj(385 kcal),18,2,47,19,"6,5","0,71","0,284",,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,+8%,+14%,+4%,+3%,,,,,,,,,,,,18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.71 g,en quantité modérée,+8%,-42%,+17%,-4%,-4%,12,0%,D,0%,,,,,,,,
1635,Heidelbeeren,7804650870241,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,roulade poulet nature,5425027601804,['Halal'],['France'],[],[],?,97,406 kj(97 kcal),"4,2","1,1",5,"0,7","13,9",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Choucroute garnie,3022822510113,,['France'],[],[],?,89,372 kj(89 kcal),7,"2,8","0,9","0,7","4,8","1,3","0,52",,C,,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",,-22%,-17%,-59%,-12%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,7 g,en quantité modérée,2.8 g,en quantité modérée,0.7 g,en faible quantité,1.3 g,en quantité modérée,-21%,-12%,+20%,-2%,-2%,6,+6%,C,+6%,,,,,,,,
1638,Emmental francais,2238470013710,['Fabriqué en France'],['France'],[],[],?,369,1544 kj(369 kcal),29,19,"0,5","0,5",27,"0,5","0,2",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,-3%,-2%,-18%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.5 g,en quantité modérée,-2%,-4%,+6%,-15%,-15%,11,-2%,D,-2%,,,,,,,,
1639,Bolas,8422114302160,,['France'],[],[],?,499,2088 kj(499 kcal),24,"2,6",0,0,"6,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Rôti de porc,2209820005747,,['France'],[],[],?,122,510 kj(122 kcal),"3,2","1,2","0,5","0,5",23,"0,2","0,08",,E,,"['Viandes', 'Porc', 'Rôtis de porc']",,-15%,-36%,-39%,+3%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,"['EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",,,3.2 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,-14%,-43%,-20%,-88%,-88%,-3,-142%,A,-142%,,,,,,,,
1641,Tourteaux pasteurise,5099394003181,,['France'],[],[],?,0,0 kj(0 kcal),"7,14","1,52","3,65","0,1","21,59","0,797","0,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Rotkohl - Hainich - 680g,4028286431529,,"['France', 'Allemagne']",[],[],?,43,180 kj(43 kcal),"0,1",0,"8,3","8,3",1,"1,1","0,44",,,680g,,,,,,,,,,,,,,['Hainich'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Cheddar,2441805028604,,['France'],[],[],?,427,1787 kj(427 kcal),37,25,1,"0,1",23,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Eccles Cakes,5026420320332,,['France'],[],[],?,394,1648 kj(394 kcal),"20,4","10,8","48,7","30,7","2,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Sel fin de guerande,6264661650163,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande', 'Sels fins']",,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,
1646,Jambon à l ancienne,2252505015746,,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,-19%,-50%,+1%,+3%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,-19%,-42%,+3%,+3%,+3%,5,-49%,C,-49%,,,,,,,,
1647,Saucisson pur porc allégé en gras,2244768071836,,['France'],[],[],?,237,992 kj(237 kcal),"10,4","3,29","1,47","1,47","34,4","5,14","2,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Infusion relax,3286010047885,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Raisin Flame Jumbo Chili 16 X 500 GR Arev,3700066100382,,['France'],[],[],?,317,1326 kj(317 kcal),"0,5","0,5","76,2","65,8","1,9","0,465","0,186",,,,,,,,,,,,,,,,,['Arev'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Berg-raclette - Oma - 300g,4026913172241,"['Bio', 'Bio européen', 'DE-ÖKO-006']",['France'],[],[],?,370,1548 kj(370 kcal),28,17,"0,1","0,1",28,"1,7","0,68",,C,300 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes']",,+7%,+2%,-86%,+18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Oma'],['DE BY-70576 EG'],,,28 g,en quantité élevée,17 g,en quantité élevée,0.1 g,en faible quantité,1.7 g,en quantité élevée,+8%,-8%,-77%,+1%,+1%,16,+2%,D,+2%,,,,,,,,
1651,Cannelle,7311311014253,,"['Belgique', 'France']",[],[],?,?,,?,,?,,?,,,['Flacon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,
1652,Steak haché - Leader Price,3265980127179,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],?,?,,?,,?,,?,,,,E,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']",,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,
1653,Nouilles séchées,0079763111636,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Crackers quinoa fleur de sel,9782011356895,,['France'],[],[],?,417,1745 kj(417 kcal),7,"1,7","78,7","0,2","8,1","0,8","0,32",,B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Non alimentaire', 'Biscuits apéritifs']",,+96%,-36%,+247%,+15%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,7 g,en quantité modérée,1.7 g,en quantité modérée,0.2 g,en faible quantité,0.8 g,en quantité modérée,+96%,-51%,-98%,-11%,-11%,,,,,,,,,,,,
1655,Terrine de Faisan aux chanterelles,4545630470725,,['France'],[],[],?,271,1134 kj(271 kcal),22,"6,6","1,9","1,6",16,"1,6","0,64",,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de faisan']",,-11%,-11%,+3%,+4%,,,,,,,,,,,,22 g,en quantité élevée,6.6 g,en quantité élevée,1.6 g,en faible quantité,1.6 g,en quantité élevée,-11%,-22%,+114%,+10%,+10%,16,-6%,D,-6%,,,,,,,,
1656,Phytohustill,00425478,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Crevettes sauce piquante - Lechef,3760094448733,,['France'],[],[],?,58,243 kj(58 kcal),"1,8","0,3",4,"2,5","5,7","0,89","0,356",,,,,,,,,,,,,,,,,['Lechef'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Escalope de Dinde l'extra Tendre,2431638025451,,['France'],[],[],?,101,423 kj(101 kcal),1,"0,23","0,1",0,23,"1,1","0,44",,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,-17%,-24%,-97%,+0%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,1 g,en faible quantité,0.23 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,-16%,-43%,-100%,+99%,+99%,0,,B,,,,,,,,,
1659,Saucisse seche,2403681040019,,['France'],[],[],?,332,1389 kj(332 kcal),24,"8,4","0,5","0,5",29,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Escalope de dinde extra-fine - Carrefour,0289054036214,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,
1661,Escalopes De Dinde,3230890757686,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Skrei Winterkabeljau followfish - 200g,4250073454644,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,Lait nourrisson liquide naissance-6 mois,17568744,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Sandwich tradition emmental,0208018024289,,['France'],[],[],?,214,895 kj(214 kcal),7,"4,2",25,1,12,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,"Cocktail Pétillant à Base De Vodka Smirnoff Ice, 5°,",5410316987479,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,['Smirnoff'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Salade savoyarde - Maison Chapuis - 800g,3300842240648,,['France'],"['Ingredients Pâtes ""crozet 50% ', 'semoule de BLE dur', ' farine de BLE', 'OEUF frais', 'sel', ' sauce vinaigrette ', 'huile de colza', 'eau', 'vinaigra de vin ', 'conservateur bisulfite de sodium E222', ' MOUTARDE ', 'eau granes de MOUTARDE', ""vinaigre d' alcool sel"", 'antioxydant disul fite de potassium E224', 'acidifiant: E330', 'sel', 'sucre', 'epaississants E415', 'E412', 'conservateur E202', 'Lardons fumés cuits 11% ', 'poitrine de porc Origine UE', 'eau', 'sel dextrose', 'arôme de fumée', ' conservateurs : E316', 'E250', 'Fumage au bois de hêtre', 'poivron rouge', 'échalote', 'EMMENTAL 2 % ', 'persil', ' 0', ' Traces possibles Céleri', ' poisson', 'crustace', ' mollusque', 'soja', 'épeautre']","['Non végétalien', 'Non végétarien']",?,196,820 kj(196 kcal),"12,1","2,4","15,7",1,"5,4","0,7","0,28",['Plastique'],,800 g,"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées']",,+29%,+35%,+55%,-2%,,,,,,,,['Maison Chapuis'],,"['E330 - Acide citrique', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,12.1 g,en quantité modérée,2.4 g,en quantité modérée,1 g,en faible quantité,0.7 g,en quantité modérée,+30%,+78%,-56%,-20%,-20%,4,+163%,C,+163%,,,,,"['Œufs', 'Gluten', 'Lait', 'Moutarde']",,,
1667,Les Milanaises - Le Gaulois,2225017033065,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Le Gaulois'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Filet de poulet,0217507021524,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Wake up,0779998559271,"['Sans additifs', 'Sans conservateurs']",['France'],[],[],?,5,21 kj(5 kcal),"0,1",0,"0,5","0,5","0,1","0,015","0,006",,,,,,,,,,,,,,,,,,"['EMB 62582K', 'Monchy-le-Preux (Pas-de-Calais, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,La Confiture Duchâteau,3770009027007,,['France'],[],[],?,312,1305 kj(312 kcal),31,9,31,31,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Saucisson,5410620156110,['en:gluten-free'],['France'],[],[],?,429,1795 kj(429 kcal),32,13,"3,2","3,2",32,"4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,Pink Citron Lemonade,5707527000227,,['France'],[],[],?,42,176 kj(42 kcal),"0,5",0,"10,5","10,5","0,5","0,01","0,004",,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",,+35%,+514%,+40%,+390%,,,,,,,,,,,,0.5 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0.01 g,en faible quantité,+40%,-100%,+44%,-25%,-25%,13,+27%,E,+27%,,,,,,,,
1673,Amandes en poudre,3172242058129,,['France'],[],[],?,613,2565 kj(613 kcal),53,4,8,4,21,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,-2%,-1%,-8%,-9%,,,,,,,,,,,,53 g,en quantité élevée,4 g,en quantité modérée,4 g,en faible quantité,0 g,en faible quantité,-1%,-5%,-5%,-100%,-100%,5,-10%,C,-10%,,,,,,,,
1674,Nouille instantanée au boeuf,9555048300007,,['France'],[],[],?,90,377 kj(90 kcal),"3,7","2,2","12,2","0,7",2,"1,2","0,48",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,-70%,-68%,-70%,-69%,,,,,,,,,,,,,,,,,,,,-70%,-58%,-71%,-54%,-54%,,,,,,,,,,,,
1675,Romanisch-Röschen,0015869017298,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Tropische Obstmischung,4334011173849,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['Tüte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Frühlingsrollen mit Huhn,5741200317660,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['stück'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Chips gout sel-vinaigre,6191517600396,,['France'],[],[],?,540,2259 kj(540 kcal),"34,8","3,2",54,"3,2","6,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Frühlingsrollen China-Art,5741200317639,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['stück'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Bihunsuppe,01287,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['Dose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Melange vitalite,2609933056085,,['France'],[],[],?,328,1372 kj(328 kcal),"2,4","0,3","67,8","59,4","4,2","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
