,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,allergens,brand_owner,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,producer_info
772,Taquitos de chorizo -  - 150g,8413098080380,,['France'],[],[],?,332,1389 kj(332 kcal),26,"9,9","2,5","1,5",22,"3,8","1,52",,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Huile d'olive bio,3760286980546,,['France'],[],[],?,899,3761 kj(899 kcal),"99,9","13,8",0,0,0,0,0,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Crepes nature,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Joghurt dressing - REWE Beste Wahl,4388860234091,['REWE Beste Wahl'],['France'],[],[],?,216,904 kj(216 kcal),"19,6",2,"7,8","6,9",2,"1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Reber Mozart-kugeln Beutel 160G,4101730002732,,['France'],[],[],?,509,2130 kj(509 kcal),"28,4",10,"54,1","48,1",8,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Chips sans sel - Émile Noël,3291960015914,['Émile Noël'],['France'],[],['Sans huile de palme'],?,591,2473 kj(591 kcal),"43,7","3,5","43,1","0,2","6,3",0,0,"['Bio', 'en:palm-oil-free']",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",,+11%,+32%,-15%,+7%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,43.7 g,en quantité élevée,3.5 g,en quantité modérée,0.2 g,en faible quantité,0 g,en faible quantité,+10%,+18%,-84%,-100%,-100%,7,-36%,C,-36%,,,,,,,,
778,Queso bleu de france - Cantorel,3492843766002,['Cantorel'],"['France', 'Espagne']",[],[],?,342,1431 kj(342 kcal),28,20,"1,5","0,5",21,"2,6","1,04",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,+4%,+5%,+24%,+3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['FR 15.196.001 CE', 'Saint-Mamet-la-Salvetat (Cantal, France)']",,,,28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,+4%,+12%,-33%,+100%,+100%,19,+39%,E,+39%,,,,,,,,
779,L'espresso tradizione numéro 7 - Legal,3227540503113,['Legal'],['France'],[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Kiwi - Zespri - 4,3608429907527,['Zespri'],['France'],['Kiwi'],[],?,?,,?,,?,,?,,,,B,4,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Kiwis', 'Kiwis frais']",,,,,,75.1%,0.0%,0.0%,11.4%,10.2%,3.4%,96,"['Plastique', 'Papier']",,,,,,,,,,,,,,,,,,,,,,,,,,Kiwi,,,
781,Sauce salade colona,5410803510333,['Colona'],['France'],[],[],?,185,774 kj(185 kcal),"18,8","1,3","3,7","2,1","0,3","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
