,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,allergens,additives,link,palm_ingredients,brand_owner
1651,Pimentos rellenos de carne,2500026004900,,,,,,,,,['France'],[],[],,?,,188,,"8,62",,"12,94",,"6,93",,,,,,,,,787 kj(188 kcal),"2,75","1,52","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,
1652,Croûtons Safran à l'huile d'olive,3502790457431,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,,,['France'],[],[],,?,,392,-17%,"6,2",-70%,"70,6",+20%,"11,9",+26%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,1640 kj(392 kcal),"0,9","4,4","2,07","0,828",,6.2 g,en quantité modérée,0.9 g,en faible quantité,4.4 g,en faible quantité,2.07 g,en quantité élevée,-17%,-70%,+19%,+6%,+6%,13,-11%,D,-11%,,,,,,,
1653,Aigulettes de poulet - Monoprix Bio,0200310060743,C,,,['Monoprix Bio'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,['France'],[],[],,?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,
1654,Madeleines aux œufs frais - Bdg - 350g,3413910093197,B,350g,,['Bdg'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,['France'],[],[],,?,,?,,?,,?,,?,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,"Banana BBQ Sauce,the Original",0757306006891,B,,,,"['Epicerie', 'Sauces', 'Sauces barbecue']",,,,['France'],[],[],,?,,99,-37%,"0,1",-90%,"26,5",-15%,"0,6",-33%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,414 kj(99 kcal),"0,1",23,"1,8","0,72",,0.1 g,en faible quantité,0.1 g,en faible quantité,23 g,en quantité élevée,1.8 g,en quantité élevée,-37%,-26%,-12%,-11%,-11%,13,-10%,D,-10%,,,,,,,
1656,Crème glacée yaourt,3760039983220,,,,,,,,,['France'],[],[],,?,,144,,"4,1",,22,,"2,6",,,,,,,,,602 kj(144 kcal),"2,6",20,"0,09","0,036",,,,,,,,,,,,,,,,,,,"['FR 17.164.003 CE', 'Fontcouverte (Charente-Maritime, France)']",,,,,,
1657,0249419028674,0249419028674,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Biere - Mangus - 33CL,7090008099253,,33 CL,,['Mangus'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Mini bastoncini - Snatt's,8413164012123,,,,"[""Snatt's""]",,,,,['France'],[],"['Végétalien', 'Végétarien']",,?,,467,,18,,64,,10,,,,,,,,,1954 kj(467 kcal),"1,9","2,6","2,1","0,84","['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,
1660,Gingembre moulu - ARO - 500g,3439495110548,,500g,"['Sachet plastique refermable', 'Conditionné en France']",['ARO'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aides culinaires', 'Epices', 'Aides à la pâtisserie']",,,['Metro'],['France'],"['Gingembre moulu', ' Ingrédients : gingembre ', 'sulfites']",[],1,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 26193', 'Montbrun-les-Bains (Drôme, France)']",Gingembre en poudre,['Anhydride sulfureux et sulfites'],,,,
1661,Poivre vert - 100g,27073841,,100 g,,,,,,,['France'],[],[],,?,,49,,"1,7",,"2,6",,"1,8",,,,,,,,,205 kj(49 kcal),"1,2",0,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,
1662,Pizza bolognaise et fromage,4601724014319,,,,,,,,,['France'],[],[],,?,,220,,"9,8",,23,,"9,3",,,,,,,,,920 kj(220 kcal),"2,9","3,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,
