,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
30,Manchons de canard confits,2151929014277,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,220,,920 kj(220 kcal),,12,,"3,7",,"3,7",,0,,27,,"0,64",,"0,256",,,,,,,,,,,,,,,,,,
31,Paupiette de dinde sans porc,2152436002801,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,203,,849 kj(203 kcal),,14,,"4,7",,1,,1,,20,,"0,96",,"0,384",,,,,,,,,,"['FR 56.257.001 CE', 'Trinité-Porhoët (Morbihan, France)']",,,,,,,,
32,Mockli de boeuf - Migros,2153391005456,,,['Migros'],,['Bio'],,,['France'],[],,,[],,,,,,,,,,?,,169,,707 kj(169 kcal),,"2,5",,1,,"1,5",,1,,35,,"4,5",,"1,8",,,,,,,,,,,,,,,,,,
33,Ciabatta brot,2155588001494,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,251,,1050 kj(251 kcal),,1,,"0,2",,"51,6",,"0,5",,"7,3",,"1,52",,"0,608",,,,,,,,,,,,,,,,,,
34,2158706858307,2158706858307,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
35,Etablissements Faget,2159643002600,,,['Etablissements Faget'],['Viandes'],"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,"['Lamayou', '64460']",,,,,,,,,,,
36,Prosciutto extrafin,2159931004859,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,118,,494 kj(118 kcal),,4,,"1,5",,1,,"0,5",,20,,2,,"0,8",,,,,,,,,,,,,,,,,,
37,Gouda (31% MG) - Molenland - 538g (14à 18portions),2165244002857,538 g (14 à 18 portions),"['Sous-vide', 'Frais', 'Plastique']",['Molenland'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Fromages pasteurisés', 'Goudas', 'Fromages industriels', ""Fromages de vache Prim'Holstein""]","['Point Vert', 'Eco-Emballages', 'Holland']",,,['France'],"['Lait de vache pasteurisé', 'sel', 'Ferments lactiques', 'Coagulant', 'Conservateur : Nitrate de sodium ', 'E251', 'Colorant : Annatto ', 'E160b']","['E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,30.3 g,en quantité élevée,20.6 g,en quantité élevée,0 g,en faible quantité,2.13 g,en quantité élevée,1514,+1%,?,,1514 kj(362 kcal),+2%,"30,3",+3%,"20,6",+2%,0,-100%,0,-100%,"23,1",-0%,"2,134",+13%,"0,853",+13%,18,+8%,D,+8%,"Fromage industriel des Pays-Bas, à pâte pressée non cuite, au lait pasteurisé de vache",['Pays-Bas'],,D,['NL Z 0356 EG'],82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
38,Saint nectaire laitier -  - 298g,2165500002386,298 g,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,,['Aldi'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
39,Saint nectaire laitier -  - 310g,2165503002482,310 g,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
40,Saint nectaire laitier -  - 276g,2165504002214,276 g,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",['AOP'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
41,Saint nectaire laitier -  - 296g,2165507002372,296 g,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
