,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
1840,Tropéziennes a la framboise,26054650,,,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,,,['France'],[],,,[],,7.1 g,en quantité modérée,4.6 g,en quantité modérée,14 g,en quantité élevée,0.51 g,en quantité modérée,?,,204,-26%,854 kj(204 kcal),-26%,"7,1",-30%,"4,6",-33%,30,-23%,14,-31%,"3,9",-8%,"0,51",+2%,"0,204",+2%,11,-27%,D,-27%,,,,,,,,,,,,,
1841,Pousse de haricots mungo -,26054773,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes secs', 'Pousses', 'Pousses en conserve', 'Pousses de légumineuses en conserve', 'Haricots mungos germés', 'Pousses de haricot mungo en conserve']","['Bio', 'Bio européen', 'FR-BIO-01']",,,['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,22,-4%,92 kj(22 kcal),-5%,"0,1",-56%,"0,1",+48%,"2,8",0%,"0,5",-72%,"1,5",-9%,"0,7",+39%,"0,28",+39%,3,+1513%,C,+1513%,,,,B,,48.2%,26.5%,12.1%,6.3%,3.3%,3.6%,78,
1842,Saucisson sec aux figues,26055244,,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['Fabriqué en France'],,,['France'],[],,,[],,30 g,en quantité élevée,12 g,en quantité élevée,5.6 g,en quantité modérée,5 g,en quantité élevée,?,,394,-2%,1648 kj(394 kcal),-2%,30,-5%,12,-2%,"7,1",+218%,"5,6",+309%,24,-13%,5,+7%,2,+7%,25,+4%,E,+4%,,,,D,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,
1843,Jus d'orange - Fruima,26055497,,,['Fruima'],"['Boissons', 'Boissons avec sucre ajouté']",['Sans conservateurs'],,,['France'],"['eau', 'jus de fruits à base { de concentrés ', 'orange 10%', 'pomme 2%', 'sucre', 'acidifiants : acide citrique et acide malique', ""arôme naturel d'orange"", 'arôme naturel', 'antioxydant : acide ascorbique', 'colorant : extrait de paprika', ' FSANS CONSERVATEUR']","['E330 - Acide citrique', 'E296 - Acide malique', 'E300 - Acide ascorbique', 'E160c - Extrait de paprika']",,[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,7.9 g,en quantité élevée,0.03 g,en faible quantité,?,,35,-59%,146 kj(35 kcal),-61%,"0,5",+33%,"0,1",-40%,"8,8",-56%,"7,9",-57%,"0,5",-7%,"0,03",-20%,"0,012",-20%,11,-8%,E,-8%,,,,,,,,,,,,,
1844,Terrine de porc au Maroilles - Les Terrines Du Bocage,26055633,,,['Les Terrines Du Bocage'],,,,,['France'],"['Terrine de porc au Maroilles ', 'porc 78%', ' Ingrédieàts: foie de porc', 'gorge de porc ', 'origine : couenne de porc oignons', 'blanc d Œuf', 'dont lait', 'sel', 'plante aromatique', 'éventuelles de moutarde', 'céleri', "" Conseil d'utilisati:n "", 'ervir frais', ' Conservation : avant ouverture à ?ndroit sec et tempéré']",,"['Céleri', 'Œufs', 'Moutarde']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,291,,1218 kj(291 kcal),,25,,"9,6",,"3,5",,"0,6",,13,,"1,6",,"0,64",,,,,,,,,,"['FR 22.225.001 CE', ""Ploumagoar (Côtes-d'Armor, France)""]",,,,,,,,
1845,Pina Colada,26055961,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,48,,201 kj(48 kcal),,0,,0,,12,,12,,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
1846,Gaufrettes fourrées - Crack Hour - 125g,26059464,125 g,,['Crack Hour'],,,,,['France'],"['farine de blé', 'huiles végétales et huiles végétales hydrogénées ', 'coco', 'palme', 'lactosérum en poudre ', 'lait', 'fromage fondus en poudre ', 'lait', ' 12,5%', 'amidon de blé', 'dextrose', 'sel', 'gluten de blé', 'émulsifiant : E322 ', 'soja', 'poudre à lever : E500', 'antioxydant : E306', 'colorant : El 60b', ' Traces éventuelles de noix et poisson']","['E322 - Lécithines', 'E500 - Carbonates de sodium', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,556,,2326 kj(556 kcal),,37,,33,,44,,15,,11,,"1,8",,"0,72",,,,,,,,['Huile de palme'],,,,,,,,,,
1847,Aubergines filet -  - 1kg,26061696,1 kg,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1848,Bigarreaux - Baccara - 680g,26061801,680 g,"['Pot', 'Verre', 'Couvercle', 'Aluminium']",['Baccara'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop']",['Fabriqué en Allemagne'],,,['France'],"['cerise', 'eau', 'sucre', 'colorant E127']",['E127 - Érythrosine'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,16.1 g,en quantité élevée,0.01 g,en faible quantité,?,,76,+4%,318 kj(76 kcal),+7%,"0,1",-48%,"< 0,1",+196%,"17,4",+13%,"16,1",+15%,"0,6",+54%,"< 0,01",-44%,"0,004",-44%,-2,,A,,Bigarreaux dénoyautés au sirop,['Allemagne'],,,,,,,,,,,['Union européenne']
1849,Radis rouges -  - 400g,26061870,400 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Radis', 'Radis rouges', 'Radis roses frais']",,,,['France'],[],,,[],,8.1 g,en quantité modérée,3.6 g,en quantité modérée,0.9 g,en faible quantité,0.68 g,en quantité modérée,?,,158,+1029%,661 kj(158 kcal),+984%,"8,1",+800%,"3,6",+828%,15,+297%,"0,9",-40%,6,+404%,"0,68",+2642%,"0,272",+2642%,-1,,A,,,,,B,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,
1850,Betteraves rouges (Cuites à la vapeur) - Fleurs des Champs - 500g,26062129,500 g,"['Plastique', 'Sous-vide']",['Fleurs des Champs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves', 'Betterave rouge']","['Point Vert', 'Eco-Emballages']",,['Aldi'],['France'],['Betteraves rouges'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.1 g,en faible quantité,0 g,en faible quantité,6.7 g,en quantité modérée,0.14 g,en faible quantité,183,,?,,183 kj(44 kcal),-3%,"0,1",-47%,0,-100%,"7,2",-10%,"6,7",-6%,"2,3",+42%,"0,14",+48%,"0,056",+48%,-5,,A,,Betteraves rouges,"['45460 Saint-Aignan-des-Gués', 'Loiret', 'Centre-Val de Loire', 'France']",,B,"['EMB 45267', 'Saint-Aignan-des-Gués (Loiret, France)']",65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,
1851,Pommes de Terre - Fleurs des Champs  - 500g,26062136,500g,,['Fleurs des Champs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",,,,['France'],[],,,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.03 g,en faible quantité,?,,66,-33%,276 kj(66 kcal),-33%,"0,3",-86%,"0,1",-71%,15,-15%,"0,9",+64%,"1,4",-31%,"0,03",-86%,"0,012",-86%,-5,,A,,,,,B,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,
1852,"Oignons Jaunes (Cat.1, Cal. 50/70) - La ferme d erquinvillers - 1kg",26062334,1 kg,['Filet'],['La ferme d erquinvillers'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Oignons et dérivés', 'Légumes frais', 'Oignons', 'Oignons frais', 'Oignons jaunes']",,,['Aldi'],['France'],['Oignons jaunes'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,5.68 g,en quantité modérée,1.8 g,en quantité modérée,1.57 g,en faible quantité,,,?,,31,+29%,130 kj(31 kcal),+27%,"5,68",+164%,"1,8",+626%,"5,7",+30%,"1,57",+43%,"1,35",-54%,,,,,,,,,Oignon jaune,"[""La Ferme d'Erquinvillers - 57 Rue des Tirailleurs Sénégalais - 61130 Erquinvillers"", 'Oise', 'Picardie', 'France']",,A,"['EMB 60216', 'Erquinvillers (Oise, France)']",63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,['France']
1853,Figue de barbarie - Seggio Fruit - 500g,26063164,500 g,"['Barquette', 'Plastique']",['Seggio Fruit'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Figues de barbarie']",['Catégorie I'],,['Aldi'],['France'],['Figue de barbarie'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['Italie']
1854,Poulet basquaise au piment d'Espelette - Les Délices d'Augustin - 600g,26063591,600 g,['Bocal'],"[""Les Délices d'Augustin""]",,['Fabriqué en France'],,,['France'],"['UE', 'Poulet ', '35%', ' ', 'Origine poivrons', 'courgettes', 'oignons', 'tomates', 'aubergines', 'concentré de tomate', 'huile vé étale ', 'colza et tournesol', 'fond de voaille ', 'dextrose', 'sel', 'graisse de poulet', 'arômes naturels', 'poulet déshydraté', 'sel', 'sucre', 'ail', ""piment d'Espelette AOP "", '0,08%', 'poivre', ' Conseils de ré aration : x altes récnautter à teu doux', ' Energie 393 kd Pour en savoir plus: m', ' uefairedemesdechets', 'fr Senüce cons?mmateur : VIGNES ET GASTRONOMIE - 24500 - France']",,,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,118,,494 kj(118 kcal),,7,,"1,4",,"4,7",,"3,5",,"8,9",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,
1855,"Echalotes demi-longues (Cat. 1, Cal. 30/50 mm) - La Ferme d'Erquinvillers - 250g",26063669,250 g,['Filet et étiquette plastique à jeter'],"[""La Ferme d'Erquinvillers""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Échalotes']","['Point Vert', 'Origine France', 'Eco-Emballages']",,['Aldi'],['France'],['Echalotes demi-longues'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,Echalote demi-longue issue de semis,"[""La Ferme d'Erquinvillers - 57 Rue des Tirailleurs Sénégalais - 61130 Erquinvillers"", 'Oise', 'Picardie', 'France']",,A,,63.3%,0.0%,0.0%,18.1%,12.8%,5.8%,98,['France']
1856,Clémentine de Corse - OPAC - 1kg,26063775,1 kg,"['Bois', 'Sachet', 'Plastique']",['OPAC'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Mandarines', 'Clémentines', 'Fruits français', 'Clémentines fraîches', 'Clémentine de Corse']","['Certifié par Certipaq', 'Catégorie I', 'IGP']",,['Aldi'],['France'],"['Clémentine de Corse', 'catégorie 1', 'calibre 5', '\r', 'Enrobage à base de cires', ' Cire de Carnauba / Shellac']","['E903 - Cire de carnauba', 'E904 - Gomme-laque']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['France'],,,,,,,,,,,"['France', 'Corse']"
1857,"Flan au caramel - P'TIT URSI - 1,2kg",26064505,"1,2 kg",['Carton'],"[""P'TIT URSI""]","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Flans gélifiés']",['Point Vert'],,,['France'],"['lait entier 76%', 'sucre', 'caramel  ', 'sucre', 'sirop de glucose-fructose', 'eau', ' 6%', 'amidon', 'amidon modifié', 'gélifiants: carraghénanes', 'pectines', 'gomme xanthane', 'arômes', 'colorants: caroténoïdes', ""correcteur d'acidité : citrates de  sodium""]","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E415 - Gomme xanthane', 'E160 - Caroténoïdes', 'E331 - Citrates de sodium']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,3 g,en quantité modérée,2 g,en quantité modérée,17.2 g,en quantité élevée,0.1 g,en faible quantité,466,-16%,111,-29%,466 kj(111 kcal),-26%,3,-21%,2,-11%,"18,6",-20%,"17,2",+1%,"2,3",-29%,"0,1",-42%,"0,04",-42%,4,-28%,C,-28%,Dessert lacté goût vanille nappé de caramel,,,,"['FR 89.209.001 CE', 'Jouy (Yonne, France)', 'EMB 89209', 'Jouy (Yonne, France)']",,,,,,,,
1858,Citron vert - Caïpirinha - 500g,26064765,500g,,['Caïpirinha'],,,,,['France'],[],,,[],,,,,,,,,,?,,32,,134 kj(32 kcal),,"0,2",,"0,023",,"2,02",,"1,69",,"0,66",,0,,0,,,,,,,,,,,,,,,,,,
1859,Vin Plan de Dieu - 75cl,26064956,75 cl,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,['France'],[],,,[],,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,
1860,Emmental 10 tranches - Le cavalier - 10 * 20g (200g),26065014,10 * 20 g (200 g),"['Barquette', 'Plastique']",['Le cavalier'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages des Pays-Bas', 'Fromages pasteurisés', 'Fromages en tranches']",,,['Aldi'],['France'],"['Lait pasteurisé de vache', 'sel', 'ferments lactiques', 'coagulant']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,29 g,en quantité élevée,19 g,en quantité élevée,0.1 g,en faible quantité,1.2 g,en quantité modérée,?,,373,+10%,1561 kj(373 kcal),+10%,29,+8%,19,+4%,"0,1",-90%,"0,1",-85%,28,+21%,"1,2",-30%,"0,48",-30%,14,-11%,D,-11%,,['Pays-Bas'],,D,"['NL Z 0160 EG', 'EMB 13105F', 'Sénas (Bouches-du-Rhône, France)']",82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
1861,Coeur Fondant Au Chocolat - Milsa,26065021,,,['Milsa'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Fondants au chocolat']",,,,['France'],[],,,[],,,,12 g,en quantité élevée,33 g,en quantité élevée,0.12 g,en faible quantité,?,,430,+8%,1799 kj(430 kcal),+7%,?,,12,0%,?,,33,+4%,"5,2",-12%,"0,12",-26%,"0,048",-26%,,,,,,,,D,,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,
1862,Liégeois au Café - Ursi - 460g (4x 115g),26065298,460 g (4 x 115 g),"['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']","['Ursi', 'Aldi Einkauf GmbH & Compagnie-oHG']","['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Desserts au café', 'Liégeois', 'Desserts lactés au café', 'Liégeois au café']",,,['Aldi'],['France'],"['Lait écrémé', 'crème fraîche', 'sucre', 'amidons modifiés', 'arôme naturel de café 2,4 %', ' lactose', 'gélifiants ', 'E407', 'E415', 'colorant ', 'E150b', 'protéines de lait', 'émulsifiant ', 'E472b', 'arôme vanille']","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E150b - Caramel de sulfite caustique', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras""]",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,4.3 g,en quantité modérée,2.9 g,en quantité modérée,16.3 g,en quantité élevée,0.178 g,en faible quantité,528,-13%,?,,528 kj(126 kcal),-18%,"4,3",-40%,"2,9",-39%,"18,7",+1%,"16,3",0%,"2,9",+7%,"0,178",+27%,"0,071",+27%,5,-36%,C,-36%,Dessert lacté au café,"['Novandie (Filiale Groupe Andros) - 11 Rue du Centre - 62240 Vieil-Moutier', 'Pas-de-Calais', 'Nord-Pas-de-Calais', 'France']",,C,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",72.9%,16.3%,3.6%,4.6%,2.0%,0.5%,58,
1863,Yaourts Et Fruits 0% Mat.gr. - Milsa,26065304,,,['Milsa'],,,,,['France'],[],,,[],,,,,,,,,,?,,48,,201 kj(48 kcal),,?,,"0,1",,?,,"5,9",,"4,5",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,
1864,Fromage d'abbaye - Conquerant - 500g,26065359,500 g,['Papier'],['Conquerant'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés', ""Fromages d'abbaye""]",['Fabriqué en France'],,['Aldi'],['France'],"['lait pasteurisé', 'protéines de lait', 'sel', 'ferments lactiques', 'enzyme coagulante microbienne', 'rocou', 'natamycine']","['E160b - Rocou', 'E235 - Natamycine']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,323,-4%,1351 kj(323 kcal),-4%,27,-1%,18,+1%,"0,5",+88%,"0,5",+663%,30,+32%,2,+21%,"0,8",+21%,17,+8%,D,+8%,,"['France', 'Belgique']",,C,['BE FR 282 EC'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,
1865,Cabochon d'Anjou - CLOVIS LEFRANC - 160g e,26065403,160 g e,"['Plastique', 'Papier']",['CLOVIS LEFRANC'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages pasteurisés']",['Point Vert'],,['Aldi'],['France'],"['Lait de vache pasteurisé*', 'crème de vache pasteurisée*', 'sel', 'ferments', 'présure', ' * Origine France']",,['Lait'],['Non végétalien'],3,30 g,en quantité élevée,21.8 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,331,+6%,1385 kj(331 kcal),+6%,30,+15%,"21,8",+22%,"0,5",-55%,"0,5",-34%,"15,3",-18%,"1,3",-10%,"0,52",-10%,14,-2%,D,-2%,Fromage à la crème et au lait de vache pasteurisé,['France'],,B,"['FR 49.107.001 CE', 'Cornillé-les-Caves (Maine-et-Loire, France)']",84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['France']
1866,yaourt nature - milsa - 12,26065564,12,,['Milsa'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,B,,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,
1867,Gouda mi vieux - 250g,26065670,250 g,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas mi-vieux']",,,,['France'],[],,,[],,32 g,en quantité élevée,32 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,?,,156,-58%,653 kj(156 kcal),-58%,32,+5%,32,+55%,0,-100%,0,-100%,25,+4%,2,+6%,"0,8",+6%,14,-17%,D,-17%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
1868,405g,26066609,405 g,,,,['Fabriqué en France'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1869,Pâte à pizza - Toques & Tartes - 280g,26066646,280 g,"['Plastique', 'Carton', 'Frais']",['Toques & Tartes'],['Pâtes à pizza'],"['Sans conservateur artificiel', 'Sans colorants', 'Sans matière grasse hydrogénée']",,['ALDI'],['France'],"['farine de blé', 'eau', 'huile de colza', 'levure boulangère réhydratée 2,7%', 'gluten de blé', 'poudres à lever : dis phosphates et carbonates de sodium', 'alcool', 'sel', 'épaississant : gomme guar', 'émulsifiant : E471', 'antioxydant : acide ascorbique']","['E500 - Carbonates de sodium', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']",['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,5.6 g,en quantité modérée,0.9 g,en faible quantité,2.1 g,en faible quantité,0.93 g,en quantité modérée,1152,-5%,?,,1152 kj(275 kcal),-2%,"5,6",-0%,"0,9",-18%,"45,9",-2%,"2,1",+30%,"8,8",+22%,"0,93",-40%,"0,372",-40%,2,-72%,B,-72%,Pâte à pizza,"['62800 Liévin', 'France']",,B,,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,
1870,Jambon cuit supérieur au torchon - 4 tranches - Le Marsigny - 200g (4tranches de 50g),26067155,200 g (4 tranches de 50 g),['Barquette plastique'],['Le Marsigny'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],,['Aldi'],['France'],"['jambon de porc', 'couenne et gras de porc', 'eau', 'sel', 'épices et aromates', 'dextrose', 'conservateurs : érythorbate', 'nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,9 g,en quantité modérée,4.3 g,en quantité modérée,0.8 g,en faible quantité,1.8 g,en quantité élevée,687,+36%,?,,687 kj(164 kcal),+26%,9,+88%,"4,3",+134%,"0,8",+20%,"0,8",+34%,20,-5%,"1,801",-4%,"0,72",-4%,14,+99%,D,+99%,Jambon cuit supérieur au torchon,,,E,"['FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,
1871,Dés de jambon sans polyphosphate ajouté - Le Marsigny - 200g,26067346,200 g,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['Le Marsigny', 'Aldi']","['Viandes', 'Charcuteries', 'Frais', 'Jambons', 'Porc', 'Charcuteries cuites', 'Dés de jambon']","['Viande-francaise', 'Sans polyphosphates', 'Viande Porcine Française', 'Point Vert', 'Viande-porcine-francaise', 'Eco-Emballages']",,['Aldi'],['France'],"['Jambon de porc 86 %', 'eau', 'sel', 'sirop de glucose', 'acidifiant : lactate de sodium ', ' bouillon de porc ', 'viande et os de porc', 'arômes naturels', 'antioxydant : érythorbate de sodium ', ' conservateur : nitrite de sodium']","['E325 - Lactate de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,5 g,en quantité modérée,1.9 g,en quantité modérée,2 g,en faible quantité,1.9 g,en quantité élevée,510,-7%,122,-9%,510 kj(122 kcal),-7%,5,-3%,"1,9",-4%,2,+50%,2,+67%,"18,5",-2%,"1,9",-9%,"0,76",-9%,5,-38%,C,-38%,Dés de jambon cuit choix sans polyphosphate ajouté,"[""Société Aubret (Filiale Groupe d'aucy) - ZI Route de Maumusson - 44540 Saint-Mars-la-Jaille"", 'Loire-Atlantique', 'Pays de la Loire', 'France']",,C,"['FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)', 'EMB 44180C', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['France', 'Porc']"
1872,Jambon Supérieur Découenné Dégraissé (4 tranches) - le marsigny - 200g,26067506,200 g,"['Barquette', 'Plastique', 'Frais', 'Sous atmosphère protectrice']",['le marsigny'],"['Viandes', 'Charcuteries', 'Frais', 'Jambons', 'Jambons blancs']","['Point Vert', 'Qualité supérieure', 'Viande-francaise', 'Viande-porcine-francaise', 'Eco-Emballages']",,"['Aldi', 'ALDI']",['France'],"['jambon de porc', 'eau', 'sel', 'dextrose', 'sirop de glucose', 'conservateurs : érythorbate de sodium', 'nitrite de sodium', 'arômes']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,1.4 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,?,,120,-9%,502 kj(120 kcal),-8%,4,-17%,"1,4",-24%,1,+49%,"0,7",+18%,20,-5%,"1,8",-4%,"0,72",-4%,4,-43%,C,-43%,Jambon cuit supérieur découenné dégraissé,,,C,"['FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)"", 'EMB 95280', ""Goussainville (Val-d'Oise, France)"", 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)', 'EMB 14752B', 'Villers-Bocage (Calvados, France)', 'EMB 29097B', 'Lampaul-Guimiliau (Finistère, France)', 'EMB 41018A', 'Blois (Loir-et-Cher, France)']",80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France']
