,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,packaging,generic_name,ingredients_origins,manufacturing,allergens,nova_score,link,brand_owner,additives
1416,Pain espagne,2562661000594,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,Tradition Arbois,3760232310069,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,Feine Pilzmischung - Valenzi - 400g,4100240110326,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,['Valenzi'],A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve']",,,,,,,,,,,,,,,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,400 g,,,['Dose(n)'],,,,,,,,
1419,FORT DE CAFE,3701043800714,['France'],[],[],?,522,2184 kj(522 kcal),35,21,45,38,19,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,Crêpes fraiches,0206300016400,['France'],[],[],?,230,962 kj(230 kcal),"6,2","3,4",37,17,"6,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,PRALINE ROSE,3701043800653,['France'],[],[],?,475,1987 kj(475 kcal),"19,4","1,52",69,"56,2","7,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,Jambon,0200111037913,['France'],[],[],?,518,2167 kj(518 kcal),"5,1","1,7",9,"0,8",19,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,Crème dessert chocolat,00001663,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']",,,,,,,,,,,,,,,,,,,,,,,72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,,,,,,,,,,,
1424,Sang-Mêlé,3272591540426,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,Noix du Brésil 250g bio,3398240063280,['France'],[],[],?,687,2874 kj(687 kcal),"66,3","15,1","4,8","2,3","14,2",4,"1,6",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,Dégeler nour de Tunisie,2018001192462,['France'],[],[],?,153,640 kj(153 kcal),"0,1","0,1",45,35,"1,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,Bonbons au miel et à l'eucalyptus - 100g,3770001160191,['France'],[],[],?,382,1598 kj(382 kcal),"0,5","0,01","95,5","89,6","0,5","0,01","0,004","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,
1428,Vin,3397380003040,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,Morgadio Da Torre 2015 Alvarinho Wine - 750ml,5601012225501,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 ml,,,,,,,,,,,
1430,Rhumance,3770009401012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,Vino Tinto Egiarte 75CL. Lezaun,8437002008208,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,Colorant Gel Noir 20G - Scrapcooking,3700392471347,['France'],[],[],?,230,962 kj(230 kcal),0,0,"56,6","49,2",0,"1,75","0,7",,['Scrapcooking'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,Lanson Gold Label Brut Milliesime 2008 Champagne 75cl,3029440000521,['France'],[],[],?,75,314 kj(75 kcal),"1,4","0,33","1,4","0,38","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,Salsa ligera sin gluten - Aliada,8433329089401,['France'],[],[],?,294,1230 kj(294 kcal),28,"3,3","5,3","2,5",0,"1,6","0,64",,['Aliada'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,Wraps apero,2416350054385,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436,Mussu,8437013038720,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,Clou de girofle,3700457101677,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",,,,,,,,,,,,,,,,,,,,,,,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,,,,['Flacon'],,,,,,,,
1438,Salsa habanera Chimay,7503004205042,['France'],[],[],?,0,0 kj(0 kcal),"0,1","0,001","0,01","0,01","0,06","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Sortilege - Maple Cream,0057496522400,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,Bananes,0205411014893,['France'],[],[],?,?,,?,,?,,?,,,"['Commerce équitable', 'Max Havelaar']",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,
1441,Barahonda Tinto Roble 2008,8437006931106,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,Ponche,7462324240648,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,Mary & Juana,8594018432097,['France'],[],[],?,556,2326 kj(556 kcal),19,2,50,50,4,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,Paddy Bear Flavoured - 120g,5390711529095,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,,,,,,,,,,,
1445,Earl grey n. 33 Black tea with flavouring loose leaf tea - Whittard - 40g,5022032113010,['France'],[],[],?,?,,?,,?,,?,,,,['Whittard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 g,,,,,,,,,,,
1446,Specific Cat Weight Reduction - 7x 100g,5701170823448,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 x 100 g,,,,,,,,,,,
1447,Gusto,5941868200513,['France'],[],[],?,620,2594 kj(620 kcal),50,11,14,"3,4",25,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,?ubrówka Bia?a 200ML 40%,5900343001854,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,Gingembre moulu Bio,3390120009227,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre', 'en:Gingembre moulu']",,,,,,,,,,,,,,,,,,,,,,,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,,,,,,,,,,,,
1450,Graines fenouil,3700457101493,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Verre'],,,,,,,,
1451,Vegetarian pork with pickled vegetables - 200g,6920110106956,['France'],[],"['Végétalien', 'Végétarien']",?,226,946 kj(226 kcal),"18,2",2,"6,6",1,"9,4","0,986","0,394","['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
1452,Vegetarian minced meat,4710382019571,['France'],[],[],?,176,736 kj(176 kcal),"11,1","1,8","13,6",4,"5,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,Pralines aux amandes,3393400004301,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Sucre bio aromatisé chocolat,3760182170119,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,Vegan ailoi,9421001302565,['France'],[],"['Végétalien', 'Végétarien']",?,459,1920 kj(459 kcal),"41,5","4,6","3,2",1,"2,1","0,56","0,224","['Végétarien', 'Végétalien', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,Dattes naturelles,6191453400074,['France'],[],[],?,298,1247 kj(298 kcal),1,1,"66,4",35,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,Thé bleu-vert à la violette,3760148532180,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Turron frutas - superSol,8430803034148,['France'],[],[],?,424,1774 kj(424 kcal),18,1,56,55,8,"0,03","0,012",['en:gluten-free'],['superSol'],E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón aux fruits']",18 g,en quantité modérée,1 g,en faible quantité,55 g,en quantité élevée,0.03 g,en faible quantité,,-2%,-3%,-2%,-39%,-1%,+2%,+4%,-44%,-44%,12,-20%,D,-20%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1459,6291009090183,6291009090183,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Stuck de viande bovine au comté - Colruyt,0203117016463,['France'],[],[],?,?,,?,,?,,?,,,,['Colruyt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colruyt'],,,,,,,,,,
1461,Oli Rupestre del Cogul,8437012000193,['France'],[],[],?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,Miel de Corse,3683080462363,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Aiguillettes de poulet,2444671028402,['France'],[],[],?,154,644 kj(154 kcal),"1,8","0,5",0,0,23,"0,13","0,052","['Nutriscore', 'Nutriscore A']",,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,+22%,+23%,-3%,+5%,-100%,-100%,+1%,-70%,-70%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1464,Vin aromatisé à l'absinthe,3700195130397,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Tentation the vert,3760011130123,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Magret deCanard,2499108053533,['France'],[],[],?,302,1264 kj(302 kcal),27,"9,1","0,6","0,5",16,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 32.079.030 CE', ""Castelnau-d'Auzan (Gers, France)""]",,,,,,,,,
1467,"Lait Concentré Sucré Nestlé 1 KG, 1 Boîte",3033710051120,['France'],[],[],?,322,1347 kj(322 kcal),8,0,55,55,"7,5",0,0,,['Nestlé'],B,"['Produits laitiers', 'Laits concentrés']",8 g,en quantité modérée,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,,+29%,+30%,+7%,-100%,+49%,+52%,+6%,-100%,-100%,14,+9%,D,+9%,80.3%,6.9%,7.8%,3.3%,1.7%,0.0%,83,,,,,,,,,,,,
1468,Miel de Forêt,3770012785079,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de forêt']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
1469,Infusion verveine menthe,3061435003599,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,Risotto Funghi - Wonnemeyer - 365g,4061458144025,"['France', 'Allemagne']",[],[],?,128,536 kj(128 kcal),"5,9","2,3","14,8","0,8","3,7","1,1","0,44",,['Wonnemeyer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365 g,,,,,,,,,,,
1471,Pain d'épices pur miel orange - Bahadourian - 250g,3500680033390,['France'],[],[],?,325,1360 kj(325 kcal),"2,2","0,3","72,3","43,4","3,7","0,119","0,048",,['Bahadourian'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
1472,Gingerbread house,0629014015369,['France'],[],[],?,387,1619 kj(387 kcal),"9,9","4,9",70,45,"3,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Coviran,8422823100422,['France'],[],[],?,?,,?,,?,,?,,,,['Coviran'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Criollo longaniza fresca - Martinez,2302863002800,['France'],[],[],?,?,,?,,?,,?,,,"['en:gluten-free', 'Sans lactose']",['Martinez'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,magere kwark yoghurt aardbei - Albert Heijn,8710400614647,['France'],[],[],?,42,176 kj(42 kcal),0,0,"4,5",3,"5,5","0,1","0,04",,['Albert Heijn'],,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",0 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,,-54%,-54%,-100%,-100%,-59%,-70%,+46%,-13%,-13%,-3,-198%,A,-198%,,,,,,,,,,,,,,,,,,,
1476,Roscas de alfajor,8424397200041,['France'],[],[],?,376,1573 kj(376 kcal),"16,7",2,"50,8","23,6","4,7","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Escalopes de d'inde,2614154018040,['France'],[],[],?,108,452 kj(108 kcal),"1,3","0,4",24,0,24,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Confiture Extra Myrtilles-Mures des bois,5452004899138,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Organic Fat Free Style Natural Yogurt,5014067375037,['France'],[],[],?,54,226 kj(54 kcal),"0,2","0,1","5,4","5,4","7,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Protéines en poudre goût chocolat,4099200191614,['France'],[],[],?,370,1548 kj(370 kcal),"3,2","2,1",4,"2,13",80,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Cheddar,2974411025502,['France'],[],[],?,410,1715 kj(410 kcal),"34,4","21,7","0,1","0,1",25,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Olives façon Grèce - 220g,3760171282342,['France'],[],[],?,130,544 kj(130 kcal),14,"1,42","0,54","0,54","0,92","0,886","0,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 g,,,,,,,,,,,
1483,Snack de fuet extra - Bonarea,00892129600619001969,['France'],[],[],?,459,1920 kj(459 kcal),37,15,"5,5",5,26,"4,5","1,8",,['Bonarea'],,['ca:Fuet'],37 g,en quantité élevée,15 g,en quantité élevée,5 g,en quantité modérée,4.5 g,en quantité élevée,,+3%,+3%,+5%,+15%,+32%,+116%,-3%,+13%,+13%,26,+5%,E,+5%,,,,,,,,,,,,,,,,,,,
1484,Magret de canard du sud-ouest,2851344098592,['France'],[],[],?,?,,?,,?,,?,,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,,,,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,
1485,Muffin chocolat,3700175001853,['France'],[],[],?,380,1590 kj(380 kcal),"17,7","2,86","49,73","26,9","5,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Makro Chef,8414892319591,['France'],[],[],?,?,,?,,?,,?,,,,['Makro Chef'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Thé vert Jasmin,3770003138167,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Cookies avoine aux canneberges,18096804,['France'],[],[],?,430,1799 kj(430 kcal),18,"9,6",53,24,"6,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Brioche de Vendrenne,3506910000095,['France'],[],[],?,336,1406 kj(336 kcal),10,5,53,13,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Arbequina Olives,8414668141449,['France'],[],[],?,254,1063 kj(254 kcal),26,"5,2","0,5","0,5","1,8","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,90g,8410575600840,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 g,,,,,,,,,,,
1492,Musli Cranberry & Apple Crunchy,8595564505709,['France'],[],[],?,454,1900 kj(454 kcal),15,"6,9",70,24,7,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Beurre de cacao mycryo,3664141031469,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Tagliatelle - 500g,8548170350232,['France'],[],[],?,291,1218 kj(291 kcal),"1,5","0,5","58,3","1,6","10,9","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
1495,Confiture fraise poivre de tasmanie - 130g,3760252200128,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,130 g,,,,,,,,,,,
1496,Arroz bomba paquete 1 kg - Illa de Buda,8437016561010,['France'],[],[],?,333,1393 kj(333 kcal),"0,5","0,1","75,3","0,1","7,1",0,0,,['Illa de Buda'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Bulk powder bowl cake,000079202,['France'],[],[],?,358,1498 kj(358 kcal),"6,31","1,3","46,8","1,2","28,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Filet de poulet - La Nouvelle Agriculture,0213400038249,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,['La Nouvelle Agriculture'],D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,,,
1499,Vinaigre blanc,8025640000595,['France'],[],[],?,199,833 kj(199 kcal),0,0,"46,4",0,"0,2","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Haricots blancs - Jean Nicolas,3156250272159,['France'],"['Eau', 'haricots blancs secs trempés', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",379,?,379 kj(91 kcal),"0,6","0,1",12,"0,3",6,"0,6","0,24",,['Jean Nicolas'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs']",0.6 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,0.6 g,en quantité modérée,-25%,,-36%,-42%,-59%,-31%,-75%,-34%,-0%,-0%,-5,,A,,,,,,,,,,,,,,,,,3,,,
1501,Caramel vanille,000000000436,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Escaloppes panees,0217217027885,['France'],[],[],?,121,506 kj(121 kcal),"0,8","0,8","5,8","1,9",22,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,La pâte à tartiner au bon lait d'ânesse,3760269131064,['France'],[],[],?,393,1644 kj(393 kcal),22,"7,9",42,40,5,"0,26","0,104","['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Sable au chocolat au lait mickey,7014350170132,['France'],[],[],?,503,2105 kj(503 kcal),23,14,66,32,7,"0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,8 mini beignet chocolat noisettes,0216263016331,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288","['Sans arômes artificiels', 'Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Sauce tomate aux cèpes - 340g,8032680410086,['France'],[],[],?,59,247 kj(59 kcal),"3,4","0,4","4,5","3,5","1,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,
1507,Saint Emilion Grand Cru,3192040497104,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Flacon 70G Melange Epices Grillees Pour Tajine Ducros,3166291511100,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,,,,,,,,,,,,,,,,,,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,,,,,,,,,,,
1509,Oignons rouges - 500g,3326505704340,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
1510,Perles à la figue,3770009409858,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Cairanne,3760090791390,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Poulet blanc sans abat - La Nouvelle Agriculture,0213320029983,['France'],[],[],?,179,749 kj(179 kcal),11,"2,8",0,0,20,"0,15","0,06",,['La Nouvelle Agriculture'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Escalope de poulet,2231045094923,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,saucisson à cuire PP,2415084032089,['France'],[],[],?,359,1502 kj(359 kcal),27,11,"1,4","1,3",18,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 01.053.015 CE', 'Bourg-en-Bresse (Ain, France)']",,,,,,,,,
1515,Paupiettes Escalope de Poulet - Maître Coq,0215603065275,['France'],[],[],?,198,828 kj(198 kcal),14,"6,1","0,5",0,18,"0,89","0,356",,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Mirka cacao - 200g,3760270051337,['France'],[],[],?,499,2088 kj(499 kcal),"23,9",0,59,"5,44","10,5","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
1517,Saumon auchan,3254560347694,['France'],[],[],?,?,,?,,?,,?,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,
1518,Prefou au fromage de chèvre,3254566505180,['France'],[],[],?,320,1339 kj(320 kcal),17,11,33,"2,5","7,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
