,name,bar_code,packaging,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,manufacturing,traceability_code,labels,markets,generic_name,brand_owner,palm_ingredients,link
304,Sweet heat Skittles,4009900529617,,['Skittles'],['France'],[],,,[],,?,399,1669 kj(399 kcal),"4,2","2,4","89,8","88,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,7 Day Diet Shake Chocolate food supplement,0799475632037,,,['France'],[],,,[],,?,95,397 kj(95 kcal),"18,5","1,5","1,5","1,3","19,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,perle de chocolat fonbelle - bon,3546530003267,['en verre'],['Fonbelle'],['France'],"['Sucre,chocolat ', 'cacao 60%min', 'pate de cacao', 's de cacao', 'emulsifiant:lecithin aróme vanilline', 'céréales ', 'fari |GLUTEN de blé', 'malt de blé', 'sac dextrose', 'colorants:E171', ""E17 Agents d'enrobage:gomme géatine de POISSON"", 'Shellac', ' Produit pouvant contenir des trace M de fruits à coques Pour 100g de produit: Valer energetique:1819 kJ/432 kca gass:14g dont acides gras sature n uades 1g dont sucre 63Protein M 58:0,9MADE IN FRANCE O3']","['E322i - Lécithine', 'E171 - Oxyde de titane', 'E904 - Gomme-laque']","['Poisson', 'Gluten']","['Non végétalien', 'Non végétarien']",4,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon,,,,"['Fabriqué en France', 'Fonbelle']",,,,,
307,Pain chocolat x6,3308841047619,,,['France'],[],,,[],,?,522,2184 kj(522 kcal),30,20,54,16,"9,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Vinaigre de vin rouge,3158697781515,,,['France'],[],,,[],,?,?,,?,,?,,?,,,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,
309,Brioche Nanterre,0260174021656,,,['France'],[],,,[],,?,337,1410 kj(337 kcal),16,"10,6","37,7","4,4","8,8","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Peanut Butter,3051106600219,,,['France'],[],,,[],,?,619,2590 kj(619 kcal),"49,9","14,3","14,6","9,5","24,2","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Gaufres Gourmandes - Brioches & Viennoiseries Thomas - 280g,3173310015570,['Plastique'],['Brioches & Viennoiseries Thomas'],['France'],"['Farine de froment', 'sucre', 'beurre concentré 25 % ', 'colorant : béta-carotène', 'œufs frais entiers', 'lait', 'sel']",['E160ai - Bêta-carotène'],"['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,1996,?,1996 kj(477 kcal),"27,9","17,6","50,4","28,9",6,"0,75","0,3",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",27.9 g,en quantité élevée,17.6 g,en quantité élevée,28.9 g,en quantité élevée,0.75 g,en quantité modérée,+6%,,+6%,+30%,+69%,-12%,-5%,-0%,+6%,+6%,24,+10%,E,+10%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,280 g,,,,"['Sans conservateurs', 'Pur beurre']",,8 Gaufres - Gaufres Gourmandes,,,https://www.malinethomas.com/b-v/produits/gaufres.html
312,Viennoises,3760050061372,,,['France'],[],,,[],,?,323,1351 kj(323 kcal),30,11,"1,2","0,7",12,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 68.040.001 CE', 'Bitschwiller-lès-Thann (Haut-Rhin, France)']",,,,,,
313,MADELEINES - Collection petits biscuits,3561860013106,,['Collection petits biscuits'],['France'],[],,,[],,?,?,,?,,?,,?,,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,,,,,,,,,,,,,,,,,,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,
314,Tapioca hot chips,5060094161396,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Poulet cuit fumé,0210596038312,,,['France'],[],,,[],,?,163,682 kj(163 kcal),"9,1","2,7","1,2","0,8",19,"1,59","0,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Galettes au miel d'oranger,3335440264604,,,['France'],[],,,[],,?,436,1824 kj(436 kcal),20,14,56,24,"6,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Thé noir Bio au café Bio,3554740200819,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,
318,Belle à croquer,3346390005049,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Marrons de Périgord,3250392495237,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,"Pâté de foie de porc supérieur -  - 0,150kg",3384110002961,,,['France'],[],,,[],,?,398,1665 kj(398 kcal),39,16,"3,6","2,7","8,4","1,7","0,68",,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']",39 g,en quantité élevée,16 g,en quantité élevée,2.7 g,en faible quantité,1.7 g,en quantité élevée,,+12%,+13%,+20%,+30%,+76%,+234%,-26%,+4%,+4%,21,+4%,E,+4%,,,,,,,,"0,150 kg",,,,,,,,,
321,Cannabis chips of mind,8594018433087,,,['France'],[],,,[],,?,383,1602 kj(383 kcal),"18,5","1,79",39,8,"16,9","2,24","0,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Alpejskie mleczko - Milka,7622210282897,,['Milka'],['France'],[],,,[],,?,426,1782 kj(426 kcal),21,11,54,44,"3,8","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,White cannabis chocolate,8594018432059,,,['France'],[],,,[],,?,559,2339 kj(559 kcal),35,19,54,54,"6,8","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Pur jus de pommes,3770000335125,,,['France'],[],,,[],,?,45,188 kj(45 kcal),"0,2",0,"10,2",10,"0,3",0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",0.2 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,+11%,-100%,-7%,-4%,+37%,-100%,-100%,4,-4%,C,-4%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,
325,Le batonnet moelleux - Fleury Michon - 480g,3302749339029,,['Fleury Michon'],['France'],[],,,[],,?,111,464 kj(111 kcal),"4,5","0,5","9,5","3,5","8,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480 g,,,,"['Nutriscore', 'Nutriscore B']",,,,,
326,Hauts de cuisse de poulet - La Nouvelle Agriculture,0213323021915,,['La Nouvelle Agriculture'],['France'],[],,,[],,?,881,3686 kj(881 kcal),16,"4,3",0,0,17,"0,18","0,072",D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",16 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+361%,+360%,+29%,+28%,-100%,-100%,-8%,-76%,-76%,14,+297%,D,+297%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
327,Vermicelles de riz dongguan,3364699041025,,,['France'],[],,,[],,?,352,1473 kj(352 kcal),"1,1","0,5","79,8","0,2","5,9",0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']",1.1 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,,+5%,+6%,+72%,+95%,+16%,-52%,+21%,-100%,-100%,1,-49%,B,-49%,,,,,,,,,,,,,,,,,
328,4 muffins fruit du jardin,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,KOUIGN AMANN CHOCOLAT,3353630000764,,,['France'],[],,,[],,?,482,2017 kj(482 kcal),"31,3","22,8","45,5",2,"3,7","0,7","0,28",B,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",31.3 g,en quantité élevée,22.8 g,en quantité élevée,2 g,en faible quantité,0.7 g,en quantité modérée,,+7%,+7%,+24%,+38%,-13%,-93%,-7%,-13%,-13%,19,-18%,E,-18%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,,,,,,,,,
330,Riz Rond,8410657902114,,,['France'],[],,,[],,?,347,1452 kj(347 kcal),"0,53","0,1","77,9","0,28","6,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,
331,Bonbon,2600280021450,,,['France'],[],,,[],,?,?,,?,,?,,?,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,
332,Conté Rivoire,2460609023226,,,['France'],[],,,[],,?,418,1749 kj(418 kcal),35,23,"0,5","0,5",27,"0,86","0,344",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.86 g,en quantité modérée,,+5%,+6%,+7%,+6%,+8%,+80%,+7%,-12%,-12%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,,,,
333,pilze - Holoco - 530g,8710431031314,,['Holoco'],"['France', 'Allemagne']",[],,,[],,?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons']",,,,,,,,,,,,,,,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,530g,,,,,,,,,
334,Paleron de bœuf fondant et son jus à la vigneronne - Bigard,2222602023883,,['Bigard'],['France'],[],,,[],,?,164,686 kj(164 kcal),8,"3,4",2,"0,7",21,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Poitrine fumée au bois de hêtre,0211499019293,,,['France'],[],,,[],,?,296,1238 kj(296 kcal),"25,1","9,4",0,0,17,"1,88","0,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,
336,Turrón Chocolat aux amandes - Casa Ramon - 200g,8411755763027,,['Casa Ramon'],['France'],"['Chocolat', 'sucre', 'beurre de cacao', 'LAIT EN POUDRE 19%', 'pâte de cacao', 'émulsifiants ', 'lécithine de SOJA et E492', 'arômes ', 'vanille', 'cacao 32% minimum', ' et AMANDES']","['E322i - Lécithine', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition']","['Fruits à coque', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,569,2381 kj(569 kcal),"42,6","25,7","33,4","31,9","12,8","0,07","0,028",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón de chocolat', 'Turrón de chocolat aux amandes']",42.6 g,en quantité élevée,25.7 g,en quantité élevée,31.9 g,en quantité élevée,0.07 g,en faible quantité,,+2%,+2%,+8%,+89%,-14%,-0%,+11%,-26%,-26%,24,+13%,E,+13%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,200 g,,,['ES 23.00250/BA CE'],,,,,,
337,trofie al limon,8015744000812,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Petits flocons d'avoine vrac,0201167008469,,,['France'],[],,,[],,?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",,,,,,,,,,,,,,,,,,,,,,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,
339,Jambon sec - Oberti,3349010003821,,['Oberti'],['France'],[],,,[],,?,169,707 kj(169 kcal),"4,9","1,4","0,4","0,4","31,2","5,2","2,08",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",4.9 g,en quantité modérée,1.4 g,en faible quantité,0.4 g,en faible quantité,5.2 g,en quantité élevée,,-28%,-28%,-62%,-71%,-32%,+7%,+8%,+4%,+4%,13,-22%,D,-22%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,
340,Bonbon bouteille cola - Moulin des Moines,3347430020411,,['Moulin des Moines'],['France'],[],,,[],,?,334,1397 kj(334 kcal),"0,5","0,1",75,55,6,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Pumpkin crisps with Chia seeds and wild honey,0850210006343,,,['France'],[],,,[],,?,352,1473 kj(352 kcal),"23,9",5,"28,2","1,8","5,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Sweet cranberries,5706779063950,,,['France'],[],,,[],,?,347,1452 kj(347 kcal),"0,3","0,1",82,71,"0,2","0,02","0,008",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",0.3 g,en faible quantité,0.1 g,en faible quantité,71 g,en quantité élevée,0.02 g,en faible quantité,,+3%,+3%,-58%,-60%,+3%,+8%,-29%,-13%,-13%,9,+25%,C,+25%,,,,,,,,,,,,,,,,,
343,Risotto chips - crushed black pepper,0850210006152,,,['France'],[],,,[],,?,372,1556 kj(372 kcal),3,"0,7",75,1,7,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Croissants tournesol,0201469014434,,,['France'],[],,,[],,?,468,1958 kj(468 kcal),28,13,48,"7,3","9,3","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Mejillones en escabeche - Cabo de Peñas,8411555100442,"['Caja', 'Cartón', 'Lata', 'En conserva']",['Cabo de Peñas'],['France'],[],,,[],,?,160,669 kj(160 kcal),"7,5","1,1",5,0,"18,1",2,"0,8",D,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve']",7.5 g,en quantité modérée,1.1 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,,-15%,-15%,-39%,-42%,+62%,-100%,+15%,+50%,+50%,5,+4%,C,+4%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,,,,
346,Ananas Smoothie,4260461690059,,,"['France', 'Allemagne']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,
347,Hachis parmentier - 900g,5450100013212,,,['France'],[],,,[],,?,115,481 kj(115 kcal),"5,7",2,11,"1,2","4,5","0,8","0,32",E,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']",5.7 g,en quantité modérée,2 g,en quantité modérée,1.2 g,en faible quantité,0.8 g,en quantité modérée,,-9%,-7%,-7%,-31%,+10%,-25%,-27%,+10%,+10%,3,+4%,C,+4%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,900 g,,,,,,,,,
348,Fried split black grams,7232462909116,,,['France'],[],,,[],,?,406,1699 kj(406 kcal),"26,6",10,"16,6","3,3","23,33","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Gingerbread biscuit with sugar icing (19%),5060096691495,,,['France'],[],,,[],,?,382,1598 kj(382 kcal),8,5,78,47,"3,5","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Entenbrust,4388860002751,,,"['France', 'Allemagne']",[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Minees Sandwich cookies banana creme - Treff - 6,8904006291047,,['Treff'],['France'],[],,,[],,?,164,686 kj(164 kcal),"5,4","2,5","26,6","12,7","1,9","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
352,Escape,8690562004909,,,['France'],[],,,[],,?,405,1695 kj(405 kcal),"7,34","0,82",76,"1,55",0,"0,694","0,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Baiona séché 1/2 - Montagnel - 450g,8426572954022,"['sous vide', 'Salaison', 'Frais']",['Montagnel'],"['France', 'Espagne']","['Carne de cerdo', 'sal', 'antioxidante ', 'E326', 'E301', 'dextrosa', 'conservante ', 'E252', 'E250', 'Tripa natural de cerdo']","['E326 - Lactate de potassium', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,226,946 kj(226 kcal),"10,03","3,51",1,1,"33,89","4,88","1,952",,"['Viandes', 'Charcuteries']",10 g,en quantité modérée,3.51 g,en quantité modérée,1 g,en faible quantité,4.88 g,en quantité élevée,,-13%,-12%,-48%,-52%,-32%,+26%,+81%,+105%,+105%,15,-6%,D,-6%,,,,,,,,450 g,['Espagne'],['Espagne'],['ES 10.01898/GE CE'],,,,,,
354,Coulis de tomates,0766881212177,,,['France'],[],,,[],,?,50,209 kj(50 kcal),"0,2","0,08","8,5","7,4","2,1","0,89","0,356",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Coulis de tomates']",0.2 g,en faible quantité,0.08 g,en faible quantité,7.4 g,en quantité modérée,0.89 g,en quantité modérée,,+32%,+36%,-18%,+135%,+39%,+45%,+32%,+131%,+131%,-2,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,,,,,
355,Carpaccio de boeuf parmesan/olives,2434432024736,,,['France'],[],,,[],,?,211,883 kj(211 kcal),15,"2,9",0,0,19,"0,7","0,28",,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Carpaccio de boeuf']",15 g,en quantité modérée,2.9 g,en quantité modérée,0 g,en faible quantité,0.7 g,en quantité modérée,,+3%,+4%,+6%,+15%,-100%,-100%,-1%,-3%,-3%,2,+9%,B,+9%,,,,,,,,,,,,,,,,,
356,Vitamin well Antioxidant - 500ml,7350042710638,"['Bouteille', 'Plastique']",['Vitamin Well'],['France'],"['Eau de source', 'fructose', ""correcteurs d'acidité "", 'acide citrique', 'citrates de sodium', 'extrait de thé vert', 'extrait de sureau', 'extrait de peau de raisin', 'extrait de grenade', 'vitamines ', 'E', 'C', 'minéraux ', 'zinc', 'manganèse', 'sélénium', 'arôme pêche']","['E330 - Acide citrique', 'E331 - Citrates de sodium']",,[],4,71,17,71 kj(17 kcal),0,0,"4,2","4,2",0,"0,025","0,01",,"['Boissons', 'Boisson vitaminée']",0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.025 g,en faible quantité,-75%,-70%,-71%,-100%,-100%,-63%,-56%,-100%,-40%,-40%,6,-22%,D,-22%,,,,,,,,500ml,,,,['Sans conservateurs'],,,,,
357,Envie de fruit 100% fruit,0084990988845,,,['France'],[],,,"['Végétalien', 'Végétarien']",,?,357,1494 kj(357 kcal),"0,7","0,2",80,69,"4,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Sans lactose']",,,,,
358,3760055666374,3760055666374,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Graines de Chia,3760238824072,,,['France'],[],,,[],,?,486,2033 kj(486 kcal),31,"3,3",42,0,17,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",31 g,en quantité élevée,3.3 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,+8%,+9%,+1%,+6%,+250%,-100%,-15%,-100%,-100%,4,+343%,C,+343%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,,,,,,,
360,Bananes bio village,2860144009714,,['Bio Village'],['France'],[],,,[],,?,97,406 kj(97 kcal),"0,2","0,1",21,16,"1,2","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",0.2 g,en faible quantité,0.1 g,en faible quantité,16 g,en quantité élevée,0.01 g,en faible quantité,,-1%,-1%,-6%,+14%,-3%,+7%,0%,-41%,-41%,-1,,A,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,"['Bio', 'Commerce équitable', 'Max Havelaar']",['Leclerc'],,,,
361,Purée de marrons - Verfeuille,3527860000379,,['Verfeuille'],['France'],[],,,[],,?,104,435 kj(104 kcal),"0,8","0,2","39,6","18,2",27,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Maggi Arôme,3033754583090,,,['France'],[],,,[],,?,92,385 kj(92 kcal),"0,4","0,09","7,3","4,9",15,"19,3","7,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Crêpes géantes - Gineys,3267180069075,,['Gineys'],['France'],[],,,[],,?,170,711 kj(170 kcal),"6,7","1,9","21,4","4,9","5,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Comte De Talem,3662312011968,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Arachides sucrees,3760091573018,,,['France'],[],,,[],,?,517,2163 kj(517 kcal),26,3,57,43,15,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,"Salade de carottes, noisettes et raisons au persil -  - 150",3700009268780,['Coupelle plastique'],,['France'],[],,,[],,?,212,887 kj(212 kcal),17,"1,9","9,6","9,6","2,3","0,8","0,32",,"['Plats préparés', 'Salades', 'Salades composées', 'Entrée Veggie']",17 g,en quantité modérée,1.9 g,en quantité modérée,9.6 g,en quantité modérée,0.8 g,en quantité modérée,,+39%,+40%,+90%,+41%,-5%,+325%,-58%,-9%,-9%,7,+361%,C,+361%,,,,,,,,150,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,
367,Confiture de Lait - Tante Léa,3448550006054,,['Tante Léa'],['France'],"['Ingrédients lait', 'sucre', 'vanille arôme', ' Préparé avec 70g de lait pour 100g']",,,[],,?,292,1222 kj(292 kcal),"3,8","2,07","57,3","56,3","7,4","0,35","0,14",B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",3.8 g,en quantité modérée,2.07 g,en quantité modérée,56.3 g,en quantité élevée,0.35 g,en quantité modérée,,-2%,-1%,-31%,-36%,+4%,+11%,+14%,+4%,+4%,16,-4%,D,-4%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,,,,,,,,
368,Poitrine fumée,0209993015552,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,
369,Cookies,8697826445539,,,['France'],[],,,[],,?,528,2209 kj(528 kcal),"32,4","31,53","49,3","0,37","0,37","1,71","0,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Miel Toutes Fleurs,3111111100071,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Cheddar en tranches - Les Croisés - 8tranches,3564700368459,"['Barquette', 'Plastique']","['Les Croisés', 'Marque Repère']",['France'],"['Lait de vache pasteurisé ', 'origine : UE', 'sel', 'ferments lactiques', 'coagulant', 'colorant : rocou']",['E160b - Rocou'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,?,419,1753 kj(419 kcal),35,22,"0,5","0,5",26,"1,9","0,76",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Fromages pasteurisés', 'Fromages en tranches', 'Cheddars', 'Cheddar en tranches']",35 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+14%,+13%,+14%,+11%,-74%,-47%,+16%,+4%,+4%,18,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,8 tranches,['Union européenne'],['Irlande'],,,['Leclerc'],,,,
