,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,markets,ingredients_origins,traceability_code,packaging,additives,allergens,nova_score,generic_name,manufacturing,brand_owner,link,palm_ingredients,producer_info
73,Céréales croquante au miel - 400g,3701007502104,['France'],[],"['Végétalien', 'Végétarien']",?,344,1439 kj(344 kcal),"2,2","0,4","73,6",18,"7,6","0,5","0,2",,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,,
74,Escalope milanaise,2255103081991,['France'],[],[],?,121,506 kj(121 kcal),"0,8",0,"5,8","1,9",22,"0,7","0,28",D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise', 'Escalopes', 'Escalopes pânées']",,0.8 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.7 g,en quantité modérée,,-9%,-9%,-57%,-100%,-21%,+12%,+5%,-25%,-25%,-1,-261%,A,-261%,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,,,,,,,,,,,,,,,
75,Flan,0209304015097,['France'],[],[],?,229,958 kj(229 kcal),"8,2","4,9",36,24,"3,8","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4441438006077,4441438006077,['France'],[],[],?,?,,?,,?,,?,,,,,['Sans additifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Munsbit,1003405420946,['France'],[],[],?,?,,?,,?,,?,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'SE-EKO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Touche Fruitée citron-limette sans sucres - Volvic,3057640406683,['France'],[],[],?,10,42 kj(10 kcal),0,0,"2,3","2,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Volvic'],,,,,,,,,,,,,
79,Sour Candy - 10g,5038104639081,['France'],"['Glucose', 'Glucose Syrup', 'Rice', 'Acid ', 'Citric Acid', 'Artificial Flavourings', 'Colours ', 'E129', 'E133', 'E110', 'E102', ' Contains E129', 'E110', 'E102']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,270,1130 kj(270 kcal),"1,6",0,61,30,"1,9","0,14","0,056",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,1.6 g,en faible quantité,0 g,en faible quantité,30 g,en quantité élevée,0.14 g,en faible quantité,,-24%,-25%,-14%,-100%,-27%,-48%,-10%,+16%,+16%,8,-44%,C,-44%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,10g,,,,,,"['E330 - Acide citrique', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E110 - Jaune orangé S', 'E102 - Tartrazine']",,4,,,,,,
80,Apéritif Gouda affiné - Holland Master - 100g,3613290000901,['France'],"['LAIT de vache pasteurisé', 'Sel', 'Ferments lactiques', 'Présure', 'colorant: bêta carotène', ' \rCroûte non consommable contenant un conservateur de surface : Natamycine']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,425,1778 kj(425 kcal),35,24,0,0,27,2,"0,8",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Fromages pasteurisés', 'Goudas']",['IGP'],35 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,+14%,+15%,+15%,+17%,-100%,-100%,+12%,+6%,+6%,18,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,100 g,"['Holland Master', 'Savencia']",['Carrefour'],,,"['Plastic', 'Sous atmosphère protectrice']","['E160ai - Bêta-carotène', 'E235 - Natamycine']",['Lait'],4,Gouda Fromage au lait de vache apéritif,"['Holland', 'Netherlands']",,,,
81,Caraibos cranberry,3287121025397,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Caraibos'],,,,,,,,,,,,,
82,Dragee amande - Motta - 500g,3700125800833,['France'],[],[],?,481,2013 kj(481 kcal),"20,1","1,5",61,"58,9","9,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,['Motta'],,,,,,,,,,,,,
83,Bush De Noël Amber 75 CL Fles,5411551300016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Velouté lentilles corail,2007350015553,['France'],[],[],?,51,213 kj(51 kcal),"0,5","0,1","5,4","1,5","4,4","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Pain,0290008009253,['France'],[],[],?,209,874 kj(209 kcal),"1,3","0,2",41,0,7,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,500G Spaghetti integral,8009004120013,['France'],[],[],?,350,1464 kj(350 kcal),"1,6","0,3",67,3,14,"0,003","0,001",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,1.6 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.003 g,en faible quantité,,-0%,-1%,-9%,-19%,-3%,+1%,+19%,-88%,-88%,-1,,A,,,,,,,,,,,,,,,,,,,,,,,
87,Bloc de foie gras de canard,3800224141131,['France'],[],[],?,420,1757 kj(420 kcal),41,17,2,1,10,1,"0,4",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,41 g,en quantité élevée,17 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,,-14%,-14%,-19%,-21%,-6%,-25%,+63%,-18%,-18%,19,-7%,E,-7%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,,
88,Saucisses de veau,2219554019354,['France'],[],[],?,323,1351 kj(323 kcal),31,13,"1,8",0,"9,2",2,"0,8",,"['Viandes', 'Charcuteries', 'Saucisses', 'Viandes de veau', 'Saucisses de veau']","['Viande-francaise', 'Viande-porcine-francaise']",31 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,+36%,+36%,+58%,+64%,+23%,-100%,-31%,+14%,+14%,22,+33%,E,+33%,,,,,,,,,,,,"['FR 74.042.001 CE', 'Bonneville (Haute-Savoie, France)']",,,,,,,,,,
89,Ifri agrumes,6130093063140,['France'],[],[],?,27,113 kj(27 kcal),0,0,"6,6","6,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ifri'],,,,,,,,,,,,,
90,Pro crunch spread,5060537842684,['France'],[],[],?,567,2372 kj(567 kcal),39,9,33,"2,1",29,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Miel et épices Destination du soleil levant,02586519,['France'],[],[],?,327,1368 kj(327 kcal),"0,06",0,"81,1","79,1","0,4","0,01","0,004",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Nuts and driver fruits,3800050300764,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
