,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,eco_score,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,ingredients_origins,link
1702,Mini filets de harengs -  - 200g,3377460014562,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Filets de harengs']",,['France'],[],[],10.2 g,en quantité modérée,1.25 g,en faible quantité,0 g,en faible quantité,1.69 g,en quantité élevée,?,,157,-17%,657 kj(157 kcal),-17%,"10,2",-22%,"1,25",-57%,0,-100%,0,-100%,"16,4",+4%,"1,69",-47%,"0,676",-47%,4,-69%,C,-69%,200 g,,,,,,,,,,,,,,,,,,,
1703,Mini filets de harengs aux olives - Jibel - 200g (150g égouttés),3377460015231,['Jibel'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Filets de harengs']",,['France'],[],[],13.7 g,en quantité modérée,1.52 g,en quantité modérée,0 g,en faible quantité,1.63 g,en quantité élevée,?,,176,-7%,736 kj(176 kcal),-7%,"13,71",+5%,"1,52",-48%,"0,9",-11%,0,-100%,"12,7",-20%,"1,63",-49%,"0,652",-49%,5,-61%,C,-61%,200 g (150 g égouttés),['PL 30221802 WE'],,,,,,,,,,,"['Plastique', 'boîte']",,,,['Pologne'],,['Mer Baltique'],
1704,"Petit saucisson apéritif fumé, cuit et séché - Starski - 120g",3377460015552,['Starski'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'pl:Kabanos']",,['France'],[],[],41 g,en quantité élevée,16 g,en quantité élevée,0.9 g,en faible quantité,3.1 g,en quantité élevée,2236,+29%,487,+21%,2236 kj(487 kcal),+32%,41,+30%,16,+30%,"4,4",+97%,"0,9",-34%,25,-9%,"3,1",-34%,"1,24",-34%,26,+8%,E,+8%,120 g,['PL 02200303 WE'],D,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,"['Carton', 'Plastique', 'Sachet']",,,,['Pologne'],,['Union européenne'],
1705,Goulash de boeuf - Polonia - 400g,3377460016078,['Polonia'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes', 'Goulash']",,['France'],"['Viande de bœuf 40%', 'eau', 'champignons de Paris ', 'agaricus bisporus', 'concentré de tomates', 'farine de blé', 'oignon séché', 'saindoux', 'sel', 'cornichons ', 'cornichon', 'sucre', 'vinaigre', 'sel', 'moutarde', 'épices', 'persil séché', 'céleri séché', 'colorant : caramel E150c ', 'contient gluten', 'poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4.5 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,434,-19%,104,-24%,434 kj(104 kcal),-23%,"4,5",-25%,"2,2",+1%,"6,4",-32%,"0,5",-72%,9,+2%,"1,1",+29%,"0,44",+29%,2,-13%,B,-13%,400 g,['PL 18040201 WE'],,4,,,,,,,,,"['Barquette', 'Carton', 'Plastique']",['Auchan'],"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']","['Céleri', 'Gluten', 'Moutarde']",['Pologne'],,,
1706,Rolade de boeuf en sauce - Polonia - 400g,3377460016085,['Polonia'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes']",,['France'],[],[],6 g,en quantité modérée,2.4 g,en quantité modérée,1.3 g,en faible quantité,1.2 g,en quantité modérée,?,,116,-15%,485 kj(116 kcal),-14%,6,+0%,"2,4",+10%,"6,3",-33%,"1,3",-28%,9,+2%,"1,2",+41%,"0,48",+41%,3,+31%,C,+31%,400 g,['PL 18040201 WE'],,,,,,,,,,,"['Plastique', 'Barquette', 'Carton']",,,,['Pologne'],,,
1707,Caramels au lait - Polonia - 500g,3377460147161,['Polonia'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Caramels']",,['France'],"['Sucre', 'crème ', 'lait', 'sirop de glucose', 'lait 14% dont en poudre', 'arôme']",['Non végétalien'],6.3 g,en quantité modérée,4.2 g,en quantité modérée,70.2 g,en quantité élevée,0.23 g,en faible quantité,1617,-1%,?,,1617 kj(386 kcal),+1%,"6,3",-35%,"4,2",-32%,"76,4",+5%,"70,2",+37%,5,+172%,"0,23",-65%,"0,092",-65%,19,-10%,E,-10%,500 g,,E,4,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,"['Carton', 'Plastique', 'Papier']",['Carrefour Market'],,['Lait'],['Pologne'],,,
1708,Miel de savoie - meilleure du prieuré - 500gr,3377517316946,['meilleure du prieuré'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500gr,,B,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['pot plastique'],,,,['saint jeoire-prieuré'],,['France'],
1709,Miel de Savoie - Miellerie Du Prieure - 250g,3377517500017,['Miellerie Du Prieure'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français']",,['France'],['Miel de fleurs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,304,+4%,1272 kj(304 kcal),+3%,0,-100%,0,-100%,"82,4",+4%,0,-100%,"0,3",+7%,0,-100%,0,-100%,,,,,250g,,B,2,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1710,Mon Sorbet aux Fruits fraise moulinée - Au Frisson Normand - 500ml,3377791111121,['Au Frisson Normand'],,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,0,,0,,30,,30,,"0,3",,"0,1",,"0,04",,,,,,500 ml,"['FR 14.697.015 CE', 'Oudon (Calvados, France)']",,,,,,,,,,,,,,,,,,
1711,Fruit de la Passion - Au Frisson Normand - 430g,3377791111152,['Au Frisson Normand'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au fruit de la passion']",['Sans colorants'],['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,29 g,en quantité élevée,0.1 g,en faible quantité,?,,120,-2%,502 kj(120 kcal),-3%,"0,1",-60%,"0,1",+18%,30,-2%,29,+12%,"0,3",-51%,"0,1",+179%,"0,04",+179%,7,+23%,C,+23%,430 g,,C,,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,,
1712,Mon Sorbet aux fruits Rhubarbe rouge - Au Frisson Normand - 500ml,3377791111190,['Au Frisson Normand'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la rhubarbe']",['Sans colorants'],['France'],"['sirop de sucre', 'rhubarbe rouge', 'jus de citron auxquels nous avons ajouté des stabilisants ', '0', '6%', ' indispensables au maintien de la qualité dans le temps : sirop de glucose', 'épaississant: gomme de caroube', 'gélifiants alginate de sodium et carraghénane', ""émulsifiants: mono et diglycérides d'acides gras "", ""100 % d'origine végétale""]","[""Pourrait contenir de l'huile de palme""]",0 g,en faible quantité,0.1 g,en faible quantité,30 g,en quantité élevée,0.13 g,en faible quantité,?,,120,-2%,502 kj(120 kcal),-2%,0,-100%,"0,1",+8%,29,+2%,30,+24%,"0,3",-34%,"< 0,13",+333%,"0,052",+333%,7,+33%,C,+33%,500 ml,,C,4,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,"['E410 - Gomme de caroube', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,
1713,Ma glace au lait noix de coco grillée,3377792222109,,,['Sans colorants'],['France'],[],[],,,,,,,,,?,,204,,854 kj(204 kcal),,10,,"6,2",,24,,20,,"4,1",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
1714,230G Raffin Pomme / Calvados Fruits Normands - 230g,3377793100000,,,,['France'],[],[],,,,,,,,,?,,973,,4071 kj(973 kcal),,"0,2",,"0,2",,56,,55,,"0,4",,"0,13",,"0,052",,,,,,230 g,,,,,,,,,,,,,,,,,,,
1715,230G Confiture Fraise Fruits Normands - 230g,3377793300004,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0.1 g,en faible quantité,?,,229,+6%,958 kj(229 kcal),+5%,"0,2",-17%,0,-100%,56,+5%,55,+8%,"0,4",-10%,"0,1",+341%,"0,04",+341%,7,-20%,C,-20%,230 g,,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
1716,Onctueux de caramel beurre sale,3377795000001,,,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,4,,"2,4",,53,,53,,"4,7",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
1717,La Noirmoutier pomme de terre  primeur,3377860000011,,,,['France'],[],[],,,,,,,,,?,,72,,301 kj(72 kcal),,"0,2",,"0,16",,"15,2",,0,,"2,1",,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,
1718,Chips - La Noirmoutier - 100g,3377860100100,['La Noirmoutier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]","['Sans conservateurs', 'AgriConfiance']",['France'],"['Pomme de terre', 'huile de tournesol', 'sel marin de Noirmoutier']","['Sans huile de palme', 'Végétalien', 'Végétarien']",37.6 g,en quantité élevée,3.4 g,en quantité modérée,0.1 g,en faible quantité,0.4 g,en quantité modérée,?,,567,+6%,2372 kj(567 kcal),+6%,"37,6",+13%,"3,4",+14%,"52,8",+4%,"0,1",-92%,"4,3",-27%,"0,4",-70%,"0,16",-70%,11,+1%,D,+1%,100 g,,B,3,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,"['Sachet', 'Plastique']",['Magasins U'],,,['France'],,,
1719,Sancerre - Domaine Carlin Pinson - 75cl,3378012605009,['Domaine Carlin Pinson'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Sancerre']",['Vigneron indépendant'],['France'],['Vin rouge issu du cépage Pinot noir'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75 cl,,B,3,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,"['Bouteille', 'Verre']",,,,,,['France'],
1720,Comté - Rivoire - 200g,3378108311012,['Rivoire'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],['France'],['Fromage'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",32 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.86 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,32,-2%,23,+6%,?,,"0,5",+80%,27,+7%,"0,86",-12%,"0,344",-12%,13,-3%,D,-3%,200 g,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",D,3,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"['Sachet', 'Plastique']",['Franprix'],,['Lait'],,,,
1721,Navettes Provençales spécialité artisanale - Pat'Boul de Provence,3378490014782,"[""Pat'Boul de Provence""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Point Vert'],['France'],"['ln rédients : fame blé', 'sucre', 'beurre', 'œufs', 'sucre inverti', 'lait en poudre', 'are', 'sel', ""arôme fleur d'oranger"", 'traces de fruits à coques', 'arachides et soja']",['Non végétalien'],16 g,en quantité modérée,9.6 g,en quantité élevée,25 g,en quantité élevée,0.6 g,en quantité modérée,?,,460,-3%,1925 kj(460 kcal),-3%,16,-23%,"9,6",-5%,69,+8%,25,-15%,"8,8",+35%,"0,6",+2%,"0,24",+2%,21,+6%,E,+6%,,,C,4,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,"['Œufs', 'Lait']",,,,
1722,Kouign Amann - Biscuiterie de la Baie du Mont Saint Michel - 350g e,3378535000077,['Biscuiterie de la Baie du Mont Saint Michel'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",['Point Vert'],['France'],"['Farine de blé', 'beurre pâtissier 29 % ', 'dont colorant : beta-carotène', 'sucre', 'eau', 'levure', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",28.8 g,en quantité élevée,20 g,en quantité élevée,27.4 g,en quantité élevée,0.68 g,en quantité modérée,?,,502,+12%,2100 kj(502 kcal),+12%,"28,8",+14%,20,+21%,"55,2",+5%,"27,4",+1%,"5,1",+28%,"0,68",-16%,"0,272",-16%,25,+8%,E,+8%,350 g e,"['EMB 29206B', 'Plounévez-Lochrist (Finistère, France)']",B,4,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,Kouign Amann,"['Plastique', 'Carton']",,['E160ai - Bêta-carotène'],"['Gluten', 'Lait']",,,,
1723,Pâtes de Fruits Abbaye de Landévennec - Monastic - 300g,3378670153003,['Monastic'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits', 'Pâtes de fruits multifruits']","['Point Vert', 'Fabriqué en France']",['France'],"['Composition : Purée de pomme ', '46%', ' sucre de canne ', '42%', ' glucose ', '10%', ' pectine ', '1%', ' extrait naturel de fruits : citron', 'orange', 'abricot', 'cassis ', '1%', ' acide tartrique ', '0', '3%', ' colorant végétal rouge ', '0', '02 %']",[],0.6 g,en faible quantité,0.001 g,en faible quantité,67 g,en quantité élevée,0.1 g,en faible quantité,?,,335,+0%,1402 kj(335 kcal),+0%,"0,6",+48%,"0,001",-99%,81,+0%,67,-3%,"0,001",-100%,"0,1",-29%,"0,04",-29%,7,-20%,C,-20%,300 g,,C,4,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,"['Boite', 'Carton', 'Barquette', 'Plastique', 'Blister']",,"['E440 - Pectines', 'E334 - Acide L-tartrique']",,,,,
1724,Pâtes de fruits,3378670156004,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,['France'],[],[],0.6 g,en faible quantité,0 g,en faible quantité,67 g,en quantité élevée,0.1 g,en faible quantité,?,,335,+6%,1402 kj(335 kcal),+6%,"0,6",+76%,0,-100%,81,+7%,67,+1%,0,-100%,"0,1",-17%,"0,04",-17%,9,+9%,C,+9%,,,C,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,
1725,Pâtes de fruits - Abbaye De Landevennec - 250g,3378677002458,['Abbaye De Landevennec'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits', 'Pâtes de fruits multifruits']",['Monastic'],['France'],"['Purée de pomme ', '46 0%', ' sucre de canne ', '42 %', ' glucose 10%', ""'"", 'extrait naturel de fruits : citron', 'orange', 'abricot', 'cassis ', '1%', 'acide tartrique ', '0,3 %', ' colorant végétal rouge ', '0,02%', ',']",[],0.6 g,en faible quantité,0.001 g,en faible quantité,67 g,en quantité élevée,0.1 g,en faible quantité,?,,335,+0%,1402 kj(335 kcal),+0%,"0,6",+48%,"0,001",-99%,81,+0%,67,-3%,"0,001",-100%,"0,1",-29%,"0,04",-29%,7,-20%,C,-20%,250 g,,C,4,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,"['Sachet', 'Plastique']",,['E334 - Acide L-tartrique'],,,,,
1726,Caramel au beurre salé - Abbaye De Landevennec - 210g,3378678200013,"['Abbaye De Landevennec', 'Abbaye Saint Guénolé']","['Snacks', 'Produits à tartiner', 'Snacks sucrés', 'Petit-déjeuners', 'Confiseries', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Caramels', 'Caramels au beurre salé']",,['France'],"['sucre de canne', 'beurre demi sel', 'crème fraîche']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",30 g,en quantité élevée,21 g,en quantité élevée,44 g,en quantité élevée,1 g,en quantité modérée,?,,481,+14%,2013 kj(481 kcal),+14%,30,+55%,21,+76%,51,-13%,44,-7%,1,-45%,1,+64%,"0,4",+64%,29,+18%,E,+18%,210 g,,,3,,,,,,,,,"['Pot', 'Verre', 'Couvercle', 'Métal']",,,['Lait'],,,,
1727,Raisin sultanine - Vijaya - 1kg,3378730101036,['Vijaya'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']","['Bio', 'Bio européen', 'FR-BIO-10', 'Sans sulfites', 'Good food fondation']",['France'],"['raisin sultanine', 'anti-agglomérant : huile de tournesol désodorisée <0', '5%']",[],0.6 g,en faible quantité,0.2 g,en faible quantité,59 g,en quantité élevée,0.05 g,en faible quantité,?,,303,-2%,1268 kj(303 kcal),-2%,"0,6",+8%,"0,2",+52%,66,-8%,59,-7%,3,+7%,"0,05",-13%,"0,02",-13%,7,+35%,C,+35%,1 kg,,C,,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,['Plastique'],['Biocoop'],,,['France'],,['Turquie'],
1728,"Abricots Bruns ""Calibre 2"" - 250g",3378730102156,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'Agriculture non UE', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,250 g,,,,,,,,,,,,,,,,,,,
1729,Pruneaux denoyautés bio,3378730112049,,,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],,,,,,,,,?,,244,,1021 kj(244 kcal),,"0,7",,"0,1",,52,,38,,"2,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1730,Sucre Complet de Canne - 400g,3378730351059,,,,['France'],[],[],,,,,,,,,?,,384,,1607 kj(384 kcal),,0,,0,,96,,96,,0,,,,,,,,,,400 g,,,,,,,,,,,,,,,,,,,
1731,Cordons bleus de volaille cuits - Celvia,3378740100982,['Celvia'],"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus', 'Cordons bleus de volaille']",,['France'],"['Viande de volaille traitée en salaison fourrée au jambon de dinde et au fromage fondu', 'panée et cuite', ' Ingrédients à la mise en oeuvre: Viande de volaille traitée en salaison 55% ', 'viande de dinde ', 'origine France', ' 57%', 'peaux de volaille', 'eau', 'fibres de bambou', 'dextrose', 'sel', ' Panure 25% ', 'farine de BLE', 'eau', 'sel', 'levures', 'épices ', 'curcuma et paprika', 'Jambon de dinde cuit goût fumé 10% ', 'viande rouge de dinde ', 'origine France', ' 66% eau', 'amidon de mais', 'dextrose', 'sel', 'arôme de fumée', 'stabilisants : E450 et E451', 'conservateur E250', 'FROMAGE fondu 10% ', 'FROMAGE', 'beurré', 'eau', 'Protéines de LAIT', 'poudre de écrémé', 'sels de Fonte E452', 'E450', 'E341ii et E339ii', 'poudre de IACTOSERUM', 'sel', 'épaississant : E407', 'amidon modifié de pomme de terre et de mais', 'acidifiant : E330', ' Fabriqué dans un atelier utilisant du soja']","['Non végétalien', 'Non végétarien']",17 g,en quantité modérée,4.5 g,en quantité modérée,1.6 g,en faible quantité,1.29 g,en quantité modérée,?,,261,+2%,1092 kj(261 kcal),+2%,17,+4%,"4,5",+5%,14,-1%,"1,6",+7%,12,-1%,"1,29",-1%,"0,516",-1%,11,-4%,D,-4%,,,D,4,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E341ii - Phosphate dicalcique', 'E339ii - Phosphate disodique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Gluten', 'Lait']",,,,
1732,Cordon Bleu de volaille - Id halal,3378740103525,['Id halal'],"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus', 'Cordons bleus de volaille']",['Halal'],['France'],"['Viande de dinde traitée on salaison 55% ', 'viande de dinde ', 'origine  France', ' 57%', 'peau do volaille', 'eau', 'fibres de bambou', 'dextrose', ' sel', ' Panure 25%   ', 'farine de BLE', 'eau', 'sel', 'levures', ' Epices ', 'curcuma et paprika', ' Jambon de dinde  cuit gout fume 10% ', 'viande rouge et dinde ', 'origine France', ' 66%', ' eau', ' amidon de mais', ' dextrose', 'sel', 'arôme de fumée', ' stabilisants: E450 et E451', ' conservateur: E250', ' FROMAGE fondu 10% ', 'FROMAGE', ' BEURRE', ' eau', ' protéines de LAIT', ' poudre de LAIT écrémé', 'sels de fonte: E452', 'E450', 'E331', 'E341ii et E339ii', 'poudre de LACTOSERUM sel', ' épaississant: E407', ' amidon modifié de pomme de terre et de maïs', 'acidifiant : E330', ' Huile de tournesol', '\r Fabriqué dans un atelier utilisant du soja']","['Non végétalien', 'Non végétarien']",15 g,en quantité modérée,3.8 g,en quantité modérée,1.7 g,en faible quantité,1.3 g,en quantité modérée,?,,241,-6%,1008 kj(241 kcal),-6%,15,-9%,"3,8",-11%,13,-8%,"1,7",+13%,12,-1%,"1,3",0%,"0,52",0%,11,-4%,D,-4%,,,D,4,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E341ii - Phosphate dicalcique', 'E339ii - Phosphate disodique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Gluten', 'Lait']",,,,
1733,Nuggets de dinde panes cuits - Id halal - 0.800kg,3378740104508,"['Id halal', ""id'halal""]","['Viandes', 'Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Produits panés', 'Plats à la volaille', 'Dindes', 'Nuggets de volaille', 'Plats à la dinde', 'Préparations à la dinde', 'Dindes panées', 'Nuggets de dinde', 'Nuggets']","['Halal', ""ID'Halal""]",['France'],"['Viande de volaille traitée salaison 70 % ', 'viande de dinde et viande de poulet 50 %', 'eau', 'peau de volaille', 'fibres de bambou', 'amidon de maïs', ' arômes', 'stabilisants E450', 'E451', '\rPanure 30% ', 'eau', 'farine de BLE', 'sel levures', 'épices: curcuma et paprika', ' Huile de tournesol']","['Non végétalien', 'Non végétarien']",17 g,en quantité modérée,3.5 g,en quantité modérée,1 g,en faible quantité,0.88 g,en quantité modérée,?,,268,+12%,1121 kj(268 kcal),+11%,17,+23%,"3,5",+21%,15,-4%,1,-5%,13,+6%,"0,88",-23%,"0,352",-23%,0,-100%,B,-100%,0.800 kg,"['FR 56.222.002 CE', 'Saint-Jean-Brévelay (Morbihan, France)']",D,4,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,"Préparation panée forrnée de viande de volaille traitée en salaison, panée et cuite.","['Sachet', 'Plastique', 'surgelé']",,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition']",['Gluten'],,,,
1734,Le filet de poulet - Le Gaulois,3378740208466,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],"['BLANC DE POULET TRAITÉ EN SALAISON ET QUALITÉ SUPÉRIEURE', ' Ingrédients ', 'à la mise en œuvre', ' : Filet de poulet origine France : x 42g S6&4 eau sel dextrose', 'arômes naturels', 'géffd:carraghénanes', 'antioxydants : lactate de et acide citrique', 'conservateurs : et sulfite de sodium', 'colorants & vfxe : caramel de sulfite caustique et rxr', 'J &xtnhe de maïs', ""correcteur d'acidité "", ' de sodium', ' Fabriqué dans un atelier']",[],1 g,en faible quantité,0.3 g,en faible quantité,1.1 g,en faible quantité,2.4 g,en quantité élevée,?,,97,-26%,406 kj(97 kcal),-25%,1,-65%,"0,3",-60%,"1,3",+171%,"1,1",+353%,21,-8%,"2,4",+220%,"0,96",+220%,11,,D,,,,D,4,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E330 - Acide citrique', 'E150b - Caramel de sulfite caustique']",,,,,
1735,Cordons bleu de poulet (surgelé) - Le Gaulois,3378740208497,['Le Gaulois'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Cordons bleus', 'Cordons bleus de poulet']",,['France'],[],[],13 g,en quantité modérée,3.2 g,en quantité modérée,1.1 g,en faible quantité,1.31 g,en quantité modérée,?,,217,+3%,908 kj(217 kcal),+2%,13,+18%,"3,2",+13%,11,-21%,"1,1",-34%,14,+2%,"1,31",+1%,"0,524",+1%,5,-3%,C,-3%,,"['FR 56.222.002 CE', 'Saint-Jean-Brévelay (Morbihan, France)']",D,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,
