,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,brand,labels,quantity,packaging,additives,allergens,ingredients_origins,traceability_code,markets,generic_name,manufacturing,brand_owner,link
1097,Foie gras de canard entier,3760026192116,['France'],[],[],?,579,60,2,6,2423 kj(579 kcal),28,2,"1,2","0,48","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",60 g,en quantité élevée,28 g,en quantité élevée,2 g,en faible quantité,1.2 g,en quantité modérée,22,E,B,,+9%,+10%,+10%,+21%,-16%,+52%,-20%,0%,0%,+6%,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,,
1098,Pain croustillant fromage et graines de courge,2099408801027,['France'],[],[],?,456,"20,9","41,1","19,6",1908 kj(456 kcal),"5,5","1,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Ailes de poulet,2208747029850,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Cornet à la glace fabriquée à la ferme,9909471150003,['France'],[],[],?,200,8,66,2,837 kj(200 kcal),2,8,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Soupe de poulet avec nouilles,8694587110553,['France'],[],[],?,84,"0,12",4,"0,6",351 kj(84 kcal),"0,08","0,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Beignets aux pommes - Carrefour,3276556270335,['France'],[],[],?,?,?,?,?,,,,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,['Carrefour'],Beignets fourrés à la purée de pomme,,,
1103,Raspberry active O2,4005906404149,['France'],[],[],?,38,"0,1","9,3","0,5",159 kj(38 kcal),0,"9,2","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Cantal entre 2 AOP Lait cru,2096333017059,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Bananes chips,0207180012735,['France'],[],[],?,537,27,57,0,2247 kj(537 kcal),27,33,"0,02","0,008","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",27 g,en quantité élevée,27 g,en quantité élevée,33 g,en quantité élevée,0.02 g,en faible quantité,18,D,E,,+10%,+11%,+7%,+40%,-6%,+59%,-100%,-84%,-84%,+53%,+53%,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,,,,,,,,,,,,,
1106,Gelée agrumi,8003100869364,['France'],[],[],?,334,0,"82,4",0,1397 kj(334 kcal),0,73,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Eau du robinet,4042269210611,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Spiruline Lavicenne - 150g,,"['France', 'Maroc']",[],[],?,?,?,?,?,,,,,,"['Compléments alimentaires', 'Spiruline']",,,,,,,,,,,E,,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,['Lavicenne'],['Bio'],150g,['Boite en carton recyclable et sticks en papiers'],,,"[""Cultivée au pied de l'Atlas""]",,"['Ayaso', 'Amazon']",Sticks de Spiruline 30*5g,['France'],,https://lavicenne.com
1109,Coeur de saumon sans peau sans aretes,0244954096959,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,5010314350000,5010314350000,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Tomme noire pyren.igp past.28%,2823344016203,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,7501418668866,7501418668866,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,CURCUMA,5412360013524,['France'],[],"['Végétalien', 'Végétarien']",?,286,"1,7",53,"5,6",1197 kj(286 kcal),"0,6","3,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'en:The Vegan Society']",,,,,,,,,,,
1114,Mini Bûchette Cendrée,3369170000126,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Borde garniture de champignons pour volaille bocalook 90grs,3112306195971,['France'],[],[],?,202,"5,21","17,34","21,43",845 kj(202 kcal),"0,56","2,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Borde'],,,,,,,,,,,,
1116,Tarte Framboise,3760268140005,['France'],[],[],?,318,21,50,"5,6",1331 kj(318 kcal),"13,4","27,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Nectar d'abricot - Pressoirs de Provence,3397510000260,['France'],[],[],?,58,"0,1","13,4","0,4",243 kj(58 kcal),0,"13,4",0,0,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",0.1 g,en faible quantité,0 g,en faible quantité,13.4 g,en quantité élevée,0 g,en faible quantité,16,E,D,,+9%,+9%,-48%,-100%,+8%,+14%,+7%,-100%,-100%,+5%,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Pressoirs de Provence'],,,,,,,,,,,,
1118,Esther (faux Dragibus),5430000204019,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Gelées de fruits enrobées de chocolat coloré,3760164860731,['France'],[],[],?,477,19,63,"5,1",1996 kj(477 kcal),12,63,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
