,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,additives,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,ingredients_origins,allergens,generic_name,packaging,manufacturing,markets,brand_owner,link,palm_ingredients
266,Eau vittel - 33cl,0422122734838,['France'],[],[],?,?,,?,,?,,?,,,['Vittel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33cl,,,,,,,,,,
267,0422144887383,0422144887383,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,0422212722677,0422212722677,['France'],[],['Sans huile de palme'],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:palm-oil-free']",,,,,,,,,
269,Muesli Noisettes - Terres et cereales - 1kg,0422557501142,['France'],[],[],?,351,1469 kj(351 kcal),6,"0,9",60,14,9,"0,02","0,008",['Terres et cereales'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE']",,,,,,,,,
270,Muesli croustillant duo pepites,0422557501975,['France'],[],[],?,410,1715 kj(410 kcal),11,"3,2",64,26,"8,7","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
271,La buche,0426692029707,['France'],[],[],?,265,1109 kj(265 kcal),21,15,3,"0,5",19,"1,2","0,48",,"['FR 47.185.035 CE', 'Montayral (Lot-et-Garonne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2000000035894,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Somolive - Rapunzel,04240297,['France'],[],[],?,720,3012 kj(720 kcal),80,31,0,0,0,"0,2","0,08",['Rapunzel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agriculture UE/Non UE'],,,,,,,,,
274,Jus de pommes a la cannelle,0430884731590,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,11,0,0,0,,"['EMB 79049', 'Bressuire (Deux-Sèvres, France)']",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-100%,-100%,+1%,+7%,-100%,-100%,-100%,5,+21%,C,+21%,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,['Sans colorants'],,,,,,,,,
275,Wild Strawberry,04352301,['France'],[],[],?,312,1305 kj(312 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Hero sanos - 100g,04386957,['France'],[],[],?,?,,?,,?,,?,,,['Hero'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100g,,,,,,,,,,
