,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,link,markets,allergens,nova_score,additives,palm_ingredients,ingredients_origins
1675,Coquille Speculoos au Chocolat,5412746005563,['France'],[],[],?,489,27,56,"5,4",,2046 kj(489 kcal),15,27,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Maître coq le poulet nourri aux graines de lin,0215694029194,['France'],[],[],?,180,12,0,18,,753 kj(180 kcal),"2,9",0,"0,24","0,096","['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,,,,,,,,,,,,,,
1677,Creme de fourme d'Ambert,3376960009528,['France'],[],[],?,261,21,2,11,,1092 kj(261 kcal),14,"0,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Sauce chocolat blanc,0612511053132,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Découpe de poulet fermier,0262014029587,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,
1680,Miel de châtaignes -,3770002516027,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1681,Mentos white,2579705,['France'],[],[],?,170,0,67,0,,711 kj(170 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Oeufs de mouette caramel - 150g,3351400010036,['France'],[],[],?,?,?,?,?,150 g,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Risotto Aromatisé Truffe - Monoprix Gourmet - 250g,3350033750289,['France'],[],[],?,348,"0,8",77,7,250 g,1456 kj(348 kcal),"0,1","3,6","1,3","0,52",,['Monoprix Gourmet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,
1684,Jambon cuit au sel de l'ile de ré,2204784029525,['France'],[],[],?,176,"9,7",0,23,,736 kj(176 kcal),"3,8",0,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Cornichons au vinaigre,3700116100324,['France'],[],[],?,64,"0,3","2,8","1,3",,268 kj(64 kcal),"0,1","0,1","3,6","1,44",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons au vinaigre']",0.3 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,3.6 g,en quantité élevée,,+220%,+239%,+2%,+78%,+43%,-92%,+19%,+100%,+100%,5,+145%,C,+145%,,,,,,,,,,,,,,,,,,,
1686,Grillade de porc . Saveur provençale,3245415455268,['France'],[],[],?,319,29,"0,5",14,,1335 kj(319 kcal),"9,7","0,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,sucre châtaigne bio,3760176992154,['France'],[],[],?,?,?,?,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,25 Fonds de tartes ronds pour flammekueches - 25x 120g,3464011000218,['France'],[],[],?,294,"4,9","53,4","7,6",25 x 120 g,1230 kj(294 kcal),"0,59","3,4","1,59","0,636","['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Mélange lentilles rouges pois chiche,46853950,['France'],[],[],?,350,"3,5",52,23,,1464 kj(350 kcal),"0,7",2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Galettes de Bretagne,3437340069287,['France'],[],[],?,463,20,63,"6,7",,1937 kj(463 kcal),12,23,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Gorgonzola,2803945024074,['France'],[],[],?,319,27,0,19,,1335 kj(319 kcal),16,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Poudre d'amande blanche,3700056707355,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Donuts noirs fourres,0203305019689,['France'],[],[],?,484,32,43,"6,2",,2025 kj(484 kcal),15,20,"0,8","0,32",,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",32 g,en quantité élevée,15 g,en quantité élevée,20 g,en quantité élevée,0.8 g,en quantité modérée,,+18%,+18%,+40%,+42%,-4%,+19%,+5%,-16%,-16%,23,+18%,E,+18%,,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,
1694,Fraises rondes,3354774733488,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Radis,3182670109546,['France'],[],[],?,23,32,25,14,,96 kj(23 kcal),23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Organic virgin coconot oil,0850010353005,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Nectar Litchi,3556009996310,['France'],[],[],?,80,0,"11,1","0,3",,335 kj(80 kcal),0,"10,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Poulet blanc,0217004098265,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Pot de crème façon tarte Citron - 2x 400g,3506170016775,['France'],[],[],?,202,13,18,"1,3",2 x 400 g,845 kj(202 kcal),8,16,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Pot de crème façon tarte Citron - 2x 400g,3506170016775,['France'],[],[],?,202,13,18,"1,3",2 x 400 g,845 kj(202 kcal),8,16,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,Gauffre de bruxelles,0268377019685,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Viande bovine,2480552038443,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Noix de coco,2868520011221,['France'],[],[],?,369,"36,8",5,"3,6",,1544 kj(369 kcal),"33,3","0,9",,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Mini muffins tout chocolat - Dietbon,3700569023232,['France'],[],[],?,407,22,"44,9",6,,1703 kj(407 kcal),"3,7","28,4","0,28","0,112",,['Dietbon'],"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",22 g,en quantité élevée,3.7 g,en quantité modérée,28.4 g,en quantité élevée,0.28 g,en faible quantité,,+3%,+3%,+9%,-1%,-8%,+6%,+16%,-62%,-62%,15,-3%,D,-3%,,,,,,,,,,,,,,,,,,,
1705,Gruyère,0206488057530,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Moelleux chocolat BIO,0263824032149,['France'],[],[],?,432,26,42,"7,1",,1807 kj(432 kcal),16,27,"0,22","0,088","['Bio', 'Bio européen', 'FR-BIO-01']",,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",26 g,en quantité élevée,16 g,en quantité élevée,27 g,en quantité élevée,0.22 g,en faible quantité,,+1%,+2%,+6%,+64%,-3%,-14%,+17%,-39%,-39%,20,+4%,E,+4%,,D,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,,
1707,Choco Confetti - Hema,8718537536665,['France'],[],[],?,474,18,73,"3,6",,1983 kj(474 kcal),11,70,"0,1","0,04","['Agriculture durable', 'en:UTZ Certified']",['Hema'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Pruneaux moelleux mi-cuits,3560000220077,['France'],[],[],?,339,"0,73","89,07","3,7",,1418 kj(339 kcal),"0,06","89,07",0,0,"['Bio', 'Bio européen', 'FR-BIO-07']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Gocce di Cioccolato al latte - Coop - 125g,8001120831507,['France'],[],[],?,534,30,58,"7,4",125 g,2234 kj(534 kcal),18,57,"0,25","0,1",,['Coop'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Purée de mangue - Metro - 1kg,3439496620831,['France'],[],[],?,69,"0,5",15,"0,8",1 kg,289 kj(69 kcal),0,15,,,,"['Metro', 'Metro Chef']",,,,,,,,,,,,,,,,,,,,,,,,"['EMB 19153', 'Objat (Corrèze, France)']",,,,,,,,,,,,,,,,,,
1711,Rouyer,3770015013193,['France'],[],[],?,1,0,"0,3","0,2",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Beignet,2020002187729,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Leffe bière blonde sans alcool - 3cl,5410228261063,['France'],[],[],?,?,?,?,?,3 cl,,,,"0,1","0,04",,['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,+529%,+529%,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,
1714,Mousse sabor chocolate,36304356,['France'],[],[],?,122,"3,7",18,"3,6",,510 kj(122 kcal),"2,8",14,"0,35","0,14",,,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",3.7 g,en quantité modérée,2.8 g,en quantité modérée,14 g,en quantité élevée,0.35 g,en quantité modérée,,-55%,-55%,-78%,-72%,-18%,-30%,-39%,+60%,+60%,5,-62%,C,-62%,,D,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,,,,
1715,Brochettes de crevettes citron & persil - 180g,3760070016208,['France'],[],[],?,154,"9,9","1,1",15,180 g,644 kj(154 kcal),"1,1",0,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 44.143.005 CE', 'Rezé (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,,
1716,Pain de nos villes,0202729008538,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,L'Extra Tendre de Poulet,0215787068482,['France'],[],[],?,108,"2,2",0,22,,452 kj(108 kcal),"0,7",0,1,"0,4",['Nutriscore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Blueberry Madeleine,3178530416862,['France'],[],[],?,382,17,50,"5,9",,1598 kj(382 kcal),"6,8",30,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,Sirop de fruit pêche,3094318625298,['France'],[],[],?,321,0,79,0,,1343 kj(321 kcal),0,78,0,0,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,Coulis de mirabelle,3760125980829,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Beignets Framboise x4 décongelé,0203039012468,['France'],[],[],?,308,12,42,"5,9",,1289 kj(308 kcal),"2,3",13,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Glace citron meringuée - Erhard - 285g,3428420021134,['France'],[],[],?,213,8,32,"2,8",285 g,891 kj(213 kcal),"5,3",24,"0,16","0,064",,['Erhard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Ras El Hanout rouge - Espig,3102870015997,['France'],[],[],?,?,?,?,?,,,,,,,,['Espig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,,,,,,,
1724,Sauce crudités fines herbes - Bouton d'Or,3250391644445,['France'],[],[],?,243,"24,8","4,5","0,5",,1017 kj(243 kcal),"1,9","1,4","1,75","0,7",,"[""Bouton d'Or""]","['Epicerie', 'Sauces', 'Sauces crudités']",24.8 g,en quantité élevée,1.9 g,en quantité modérée,1.4 g,en faible quantité,1.75 g,en quantité élevée,,-14%,-15%,-10%,-18%,-25%,-63%,-42%,-18%,-18%,11,-21%,D,-21%,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,
1725,Olive à l'ail,2609810028679,['France'],[],[],?,220,"21,8","4,4","1,5",,920 kj(220 kcal),"2,8","0,5","3,44","1,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Filets mingnons de porc,2871947047827,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Tesco Wholegrain rice with haricots beans & quinoa,5057008024397,['France'],[],[],?,181,"2,9",29,6,,757 kj(181 kcal),"0,3","0,5",0,0,,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tesco'],,,,,
1728,Gauffette Everest,3800008622276,['France'],[],[],?,537,30,60,"5,7",,2247 kj(537 kcal),15,21,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Framboises - Fruits Rouges & Co - 250g,3385630102421,['France'],[],[],?,?,?,?,?,250 g,,,,,,,['Fruits Rouges & Co'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,6 oeufs frais,3760174200008,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,Oats & Whey - Prozis,5600499522431,['France'],[],[],?,412,"5,3",51,33,,1724 kj(412 kcal),"1,9",2,"0,25","0,1",,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,Emmental Français,3412290028362,['France'],[],[],?,377,29,2,27,,1577 kj(377 kcal),20,2,0,0,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",29 g,en quantité élevée,20 g,en quantité élevée,2 g,en faible quantité,0 g,en faible quantité,,-1%,-0%,-2%,+1%,+229%,+323%,-3%,-100%,-100%,9,-20%,C,-20%,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1733,Trancetto Al cacao magro,8813933595343,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Pâté de campagne supérieur pauvre en sel,2998571006225,['France'],[],[],?,292,24,"1,4","17,7",,1222 kj(292 kcal),"8,6","1,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.132.002 CE', 'Ferté-Bernard (Sarthe, France)', 'EMB 72132A', 'Ferté-Bernard (Sarthe, France)']",,,,,,,,,,,,,,,,,,
1735,Pomme de terre princesse amandine,3000177048178,['France'],[],[],?,75,"0,22","15,8",2,,314 kj(75 kcal),"0,03","0,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Croc de poulet tomate mozzarella,5413458090502,['France'],[],[],?,156,8,10,11,,653 kj(156 kcal),"1,9","0,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Banane et son cœur fondant de pâte à tartiner noisette,3770008444805,['France'],[],[],?,295,"13,8",39,"3,8",,1234 kj(295 kcal),"5,6","37,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Dinde fermière,0217291036933,['France'],[],[],?,137,"5,9",0,20,,573 kj(137 kcal),"1,4",0,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,jekeokek,9782035851055,['France'],[],[],?,?,?,?,?,,,,,,,,,['Non alimentaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,Escarelle,3760234100286,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Vosgienne,3300842270348,['France'],[],[],?,181,14,"9,9","3,4",,757 kj(181 kcal),"3,1","1,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Fromage blanc au lait entiet,3760237880055,['France'],[],[],?,?,82,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.042.091 CE', 'Crozon (Finistère, France)']",,,,,,,,,,,,,,,,,,
1743,Les Rocs de plaisance,3429671741352,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,Eau de Rose 500ML,5285001401482,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,Papaye lamelle déshydratée,2600432019557,['France'],[],[],?,342,0,85,0,,1431 kj(342 kcal),0,76,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Emmental de savoie igp,0219743023096,['France'],[],[],?,396,31,"0,5",29,,1657 kj(396 kcal),20,"0,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 35068J', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,
1747,Vin bourgogne,3701117105806,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,4002302114108,4002302114108,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Filet de truite,0209664016468,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Chips ognion - Pringles,5053990156658,['France'],[],[],?,536,32,56,"4,6",,2243 kj(536 kcal),3,"2,4",32,"12,8",,['Pringles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Tarillini au piment - 250g,8029454001090,['France'],[],[],?,472,"20,57","63,45","8,47",250 g,1975 kj(472 kcal),"0,03","1,81","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Nava latte,5407006370048,['France'],[],[],?,47,22,"5,6","0,6",,197 kj(47 kcal),"1,9","1,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Creamy milk chocolate,0099900721269,['France'],[],[],?,160,8,21,2,,669 kj(160 kcal),5,18,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Nutri Dermo logie,3443321018472,['France'],[],[],?,1,0,"0,2","0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Le Lozère bio - 200g,3760168576041,['France'],[],[],?,291,23,"1,8","19,2",200 g,1218 kj(291 kcal),18,"0,5","1,3","0,52","['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,"['FR 48.042.011 CE', 'Chastel-Nouvel (Lozère, France)']",,,,,,,,,,,,,,,,,,
1756,Beignets gourmands saveur framboise - 280g,0260190016407,['France'],[],[],?,296,11,43,"5,2",280 g,1238 kj(296 kcal),"1,3",13,"0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Abondance,2251665027811,['France'],[],[],?,419,35,"0,8",25,,1753 kj(419 kcal),24,"0,5","1,6","0,64",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+4%,+4%,+6%,+11%,+25%,+78%,-0%,+1%,+1%,17,+8%,D,+8%,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1758,4 croissants et 4 pains choco Bio,0248885025910,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Assortiment de croissants et pains au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Gressins Rubata' avec romarin,3664678112433,['France'],[],[],?,423,11,68,11,,1770 kj(423 kcal),"1,5","2,2",2,"0,8",['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,The Vert Citron Bio 100G,3554740200581,['France'],[],[],?,0,0,"0,2","0,1",,0 kj(0 kcal),0,0,0,0,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Ravioli Brasato E Barolo D.O.P. - 250g,8021228410596,['France'],[],[],?,297,"9,8","37,9","12,1",250 g,1243 kj(297 kcal),"4,6","3,6","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Domaine de Terra vecchia,3661935802113,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,Pastèque,0206226010605,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Rotie de veau à mijoter,2457063066197,['France'],[],[],?,194,"13,1","0,1",19,,812 kj(194 kcal),"5,1",0,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 36.068.002 CE', 'Dun-le-Poëlier (Indre, France)']",,,,,,,,,,,,,,,,,,
1765,Gingerbread ice creamwith brownie cake pieces,4740188018690,['France'],[],[],?,213,"10,2","27,3","2,9",,891 kj(213 kcal),"5,6","26,1","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,Mangue - 227g,2868531018639,['France'],[],[],?,67,"0,5","15,3","0,7",227 g,280 kj(67 kcal),"0,01","12,9",,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Petits Cabrotons - 300g,3358604410006,['France'],[],[],?,336,25,1,24,300 g,1406 kj(336 kcal),14,"0,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Göktürk - 100g,4017979049004,['France'],[],[],?,344,"28,3","3,2","19,1",100 g,1439 kj(344 kcal),"14,4","0,6","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,Marguerite aux fruits,0230614079370,['France'],[],[],?,303,11,47,"3,7",,1268 kj(303 kcal),"4,7",21,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Compagnie coloniale,3760166260157,['France'],[],[],?,1,0,"0,2","0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Sparkling,7021930010092,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,Saindoux - 250g,3180050140370,['France'],[],[],?,?,?,?,?,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Pasta de cilantro,8437002786403,['France'],[],[],?,36,"1,1","5,8","2,7",,151 kj(36 kcal),0,0,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Ruffles chips,7892840814410,['France'],[],[],?,231,16,0,"2,6",,967 kj(231 kcal),"6,2",0,"20,2","8,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Thé holly menthe,6044000080284,['France'],[],[],?,1,0,"0,3","0,1",,4 kj(1 kcal),0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,Olives mûres très grosses dénoyautées - Sans nom,0060383680794,['France'],[],[],?,200,15,10,2,,837 kj(200 kcal),2,0,"0,95","0,38",,['Sans nom'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Osso bucco de dinde,0227011028018,['France'],[],[],?,183,"11,8","0,7",13,,766 kj(183 kcal),3,"0,1","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
