,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,link,markets,allergens,nova_score,additives,palm_ingredients,ingredients_origins
61,Morcilla de burgos rodajas,8420889000823,['France'],[],[],?,212,"14,2","17,2","5,9",,887 kj(212 kcal),"6,4","1,03","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Saucisson sec - Frédéric Buchinger,2407553088499,['France'],[],[],?,375,"29,8","1,2","31,1",,1569 kj(375 kcal),"13,4","0,5","4,4","1,76",,['Frédéric Buchinger'],,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.447.004 CE', 'Schiltigheim (Bas-Rhin, France)']",,,,,,,,,,,,,,,,,,
63,Noix de cajou salees,6128888130061,['France'],[],[],?,616,"49,6","20,3","19,8",,2577 kj(616 kcal),"10,1","5,3","0,7","0,28",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",49.6 g,en quantité élevée,10.1 g,en quantité élevée,5.3 g,en quantité modérée,0.7 g,en quantité modérée,,+3%,+3%,+8%,+19%,-21%,-18%,+6%,+12%,+12%,11,+45%,D,+45%,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,
64,Tapenades olivades noire et verte,2600199012860,['France'],[],[],?,240,25,"1,8","1,4",,1004 kj(240 kcal),"2,7","0,2","3,29","1,316",,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",25 g,en quantité élevée,2.7 g,en quantité modérée,0.2 g,en faible quantité,3.29 g,en quantité élevée,,+9%,+9%,+15%,-16%,-19%,-48%,-14%,+15%,+15%,14,+3%,D,+3%,,C,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,
65,Little cristal - Dammann Frères - 48g,3259920056421,['France'],[],[],?,1,0,"0,2","0,1",48 g,4 kj(1 kcal),0,0,0,0,,['Dammann Frères'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fraiser,0255804163929,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Mes céréales bio - Modilac - 250g,3572731202383,['France'],[],[],?,386,"1,5","81,1","10,7",250 g,1615 kj(386 kcal),"0,3",23,,,['Bio'],['Modilac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Kaskad,3119070053469,['France'],[],[],?,30,0,7,0,,126 kj(30 kcal),0,7,1,"0,4","['Bio', 'Bio européen', 'FR-BIO-12']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Eclairs assortis x4 ( décongelé),0209516020995,['France'],[],[],?,242,11,31,"4,7",,1013 kj(242 kcal),"5,8",19,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Harina de Maiz,7501586301190,['France'],[],[],?,348,"4,9",70,0,,1456 kj(348 kcal),"0,9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
