,name,bar_code,eco_score,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,quantity,packaging,additives,nova_score,ingredients_origins,markets,generic_name,manufacturing,allergens,link,palm_ingredients,origin_detail
1667,Self heating beef tripe,5060786250308,,,,['France'],[],[],,,,,,,,,?,,92,,385 kj(92 kcal),,"6,4",,"1,1",,"5,2",,1,,"2,7",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Galettes bretonnes,3250391749768,,,,['France'],[],[],,,,,,,,,?,,482,,2017 kj(482 kcal),,"19,9",,"13,3",,"66,9",,"26,5",,"7,3",,"0,7",,"0,28",,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,
1669,Melange choux carotte,2862622013589,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Vin et Noix - Etienne MANZONI,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Etienne MANZONI'],,,,,,,,,,,,,
1671,Poêlée 5 légumes - Monoprix bio - 600g,3350033780965,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Champignons et produits dérivés', 'Légumes surgelés', 'Champignons', ""Mélanges d'aliments à base de plantes surgelés"", 'Champignons de Paris', 'Mélanges de légumes surgelés', 'Poêlée de légumes assaisonnés aux champignons surgelée']","['EMB 22136U', ""Loudéac (Côtes-d'Armor, France)""]",['France'],"['Haricots verts* 24% - carottes* 21% - choux brocolis* 21% - courges butternut 20 % - champignon de paris* 10% - huile de tournesol* - coriandre 0,4% - sel - ail* en poudre', "" * ingrédients issus de l'agriculture biologique"", ' Trace de gluten', 'crustacés', 'oeufs', 'poissons', 'soja ', 'fruits à coque', 'céleri', 'moutarde ', 'graine de sésame et lait']",[],2.2 g,en faible quantité,0.3 g,en faible quantité,1.8 g,en faible quantité,0.52 g,en quantité modérée,192,-9%,46,-16%,192 kj(46 kcal),-15%,"2,2",+48%,"0,3",+1%,"3,9",-32%,"1,8",-31%,"1,4",-31%,"0,52",+146%,"0,208",+146%,-5,,A,,60.9%,12.2%,7.8%,7.5%,6.3%,5.2%,83,['Monoprix bio'],"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",600 g,['sachet plastique'],,3,['France'],['Monoprix'],,,,,,
1672,Cakes fruits,3547569100071,,,,['France'],[],[],,,,,,,,,?,,411,,1720 kj(411 kcal),,16,,"4,91",,"61,8",,"35,5",,5,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
1673,Graines de soja grillées,39236456,,,,['France'],[],[],,,,,,,,,?,,489,,2046 kj(489 kcal),,28,,"4,6",,11,,"4,4",,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,Napolitain,7622201810917,,,,['France'],[],[],,,,,,,,,?,,426,,1782 kj(426 kcal),,23,,13,,49,,26,,"5,8",,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Petales de ble complet et de rie,03311615,,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"1,9",,"0,3",,75,,11,,11,,"0,81",,"0,324",,,,,,,,,,,,,,,,,,,,,,,,,,
1676,5900352012605,5900352012605,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Filet de Poulet - LDC - 900g,2448090039957,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['FR 33.036.001 CE', 'Bazas (Gironde, France)']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['LDC'],"['Viande Française', 'Volaille Française']",900g,"['Frais', 'Sous vide']",,,['France'],,,['France'],,,,
1678,The imperial,6907197100138,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Riz basmati,19297217,,,,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,"0,8",,"0,4",,77,,"0,1",,"8,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Pelure d’oignon rosé,3264066203639,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,0,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Croissant,0201803013789,,,,['France'],[],[],,,,,,,,,?,,5,,21 kj(5 kcal),,10,,5,,10,,3,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,20 oeufs frais Val Frais,3276570020121,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Maccaroni Bio Artisanales aux œufs frais,3760086030090,,,,['France'],[],[],,,,,,,,,?,,284,,1188 kj(284 kcal),,"1,87",,"0,49",,"53,8",,"2,54",,"11,1",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,,
