,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,generic_name,link,origin_detail,palm_ingredients
847,Lardons paysans,3240650087373,,,['France'],[],[],?,313,1310 kj(313 kcal),28,11,"0,9","0,7",15,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Figues sèches - Rapunzel,8697418144345,,['Rapunzel'],['France'],[],[],?,275,1151 kj(275 kcal),"1,3","0,2",55,55,"3,5","0,1","0,04",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,1.3 g,en faible quantité,0.2 g,en faible quantité,55 g,en quantité élevée,0.1 g,en faible quantité,,-0%,+0%,-14%,-29%,-4%,+17%,+7%,-27%,-27%,6,+102%,C,+102%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,,,,,
849,VERGEER HOLLAND,8710866079691,,,['France'],[],[],?,423,1770 kj(423 kcal),"33,5","20,4","2,6",0,"27,8","2,23","0,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Curly cashews,5017174943502,,,['France'],[],[],?,553,2314 kj(553 kcal),44,8,30,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Les petites sardines (huile d'olive 27%  et piment - Ronde des Mers,3564706606463,,"['Ronde des Mers', 'Marque Repère']",['France'],[],[],?,203,849 kj(203 kcal),14,3,"1,2",1,18,"1,4","0,56",D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]","['Nutriscore', 'Pêche durable', 'Pêche durable MSC']",,,['Leclerc'],,,14 g,en quantité modérée,3 g,en quantité modérée,1 g,en faible quantité,1.4 g,en quantité modérée,,-18%,-18%,-21%,-22%,+274%,+376%,-15%,+55%,+55%,5,-11%,C,-11%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,['MSC-C-56918'],,,,,
852,LAIT UHT 1/2 ECREME AGRILAIT X6 BOUT,3271820014028,,,['France'],[],[],?,46,192 kj(46 kcal),"1,6",1,"4,8","4,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Huile d'olive,3760053000132,,,['France'],[],[],?,823,3443 kj(823 kcal),92,12,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,92 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-14%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,
854,Caffè Nocciola e stracciatella - Conad,8003170011762,,['Conad'],['France'],[],[],?,214,895 kj(214 kcal),11,"8,6",26,24,"2,9","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,Céréales et lentilles Mélange Gourmand - Belle France,3258561100500,,['Belle France'],['France'],[],[],?,350,1464 kj(350 kcal),"5,7","1,2",51,"2,8","18,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Confit de foin bio,7112037187883,,,['France'],[],[],?,980,4100 kj(980 kcal),0,0,"57,8","57,8",0,0,0,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,0059749880947,0059749880947,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Crème dessert,3551101423405,,,['France'],[],[],?,180,753 kj(180 kcal),9,"0,8","13,2","0,5",10,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,"Poulet fermier jaune - Intermarché - 1,4kg",3250392910280,"1,4 kg",['Intermarché'],['France'],[],[],?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Poulets']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['FR 53.048.002 CE', 'Chailland (Mayenne, France)']",,,,,
860,Big 2 Maionese & Ketchup,8002470029996,,,['France'],[],[],?,401,1678 kj(401 kcal),37,"3,7",37,"3,7",1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Cauliflower et lentils - Betty Bossi,7613413749232,,"['Betty Bossi', 'Karma', 'Coop']",['France'],[],[],?,119,498 kj(119 kcal),5,"1,6",11,"2,9","5,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Fuzetea,5449000281708,,['Fuzetea'],['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,3","4,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Saucisse poulet,8711659079140,,,['France'],[],[],?,244,1021 kj(244 kcal),19,"6,2","7,7",0,"10,5",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Poulet cuit fumé,3254560148550,,,['France'],[],[],?,168,703 kj(168 kcal),"9,6","2,8",1,"0,9",20,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Muesli etudiant,3273120028446,,,['France'],[],[],?,375,1569 kj(375 kcal),"5,9","0,8",68,"14,9","8,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Huile de grignons d’Olive,8423243009906,,,['France'],[],[],?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,"Savennières Moulin de Chauvigné, Cuvée Intemporelles - 750ml",3570550000432,750 ml,['Moulin de chauvigné'],['France'],[],[],?,?,,?,,?,,?,,,B,['Verre'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs']",,['France'],"['Moulin de Chauvigné - 49190 Rochefort-sur-Loire', 'France']",['Super U'],,,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,http://www.moulindechauvigne.com,,
868,test philou,3297830066313,,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Non alimentaire', 'en:Tests']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,test Philly 2,3297830066314,,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Non alimentaire', 'en:Tests']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Le petit pastre,3760206290168,,,['France'],[],[],?,381,1594 kj(381 kcal),"32,8","21,6",0,0,"21,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 07.071.003 CE', 'Coucouron (Ardèche, France)']",,,,,
871,Lentilles vertes du berry,3491720007221,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Mousse passion,3567741001811,,,['France'],[],[],?,262,1096 kj(262 kcal),"8,4","6,1",43,29,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Pipas,8680569001421,,,['France'],[],[],?,831,3477 kj(831 kcal),"53,2",8,"2,7","2,7","30,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Biscuit,9002859109768,,,['France'],[],[],?,501,2096 kj(501 kcal),24,15,64,27,"5,6","0,24","0,096",,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Le petit beure,3286631380002,,,['France'],[],[],?,324,1356 kj(324 kcal),"12,6","10,8","73,1","27,6","6,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Honey,3560180000513,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Canneloni,1959527057563,,,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,2",71,"3,4",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Poelees pomme de terre champignons - Auchan,3596710474769,,['Auchan'],['France'],[],[],?,111,464 kj(111 kcal),"4,6","0,6",14,"0,7","2,4","0,45","0,18",,,,"['Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A']",,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Gingembretranche,2600121025913,,,['France'],[],[],?,374,1565 kj(374 kcal),0,0,93,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Pate à pizza,7613033665165,,,['France'],[],[],?,273,1142 kj(273 kcal),"6,6","2,3",2,2,"6,6","1,78","0,712",B,,['Pâtes à pizza'],,,,,,,6.6 g,en quantité modérée,2.3 g,en quantité modérée,2 g,en faible quantité,1.78 g,en quantité élevée,,-2%,-3%,+17%,+109%,-96%,+23%,-9%,+16%,+16%,12,+67%,D,+67%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,,,,,,
881,Foka Bounce Nikon SB900 Wit Geel Blauw,1000000001938,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Bûches ardennaises,27012130,,,['France'],[],[],?,2,8 kj(2 kcal),22,"8,8","4,9","1,5",16,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Pain de campagne,2644523007870,,,['France'],[],[],?,257,1075 kj(257 kcal),1,"0,2",51,"2,9","8,7","1,48","0,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Bière française blonde,5425033040109,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Gingembre tranché,2600121023292,,,['France'],[],[],?,374,1565 kj(374 kcal),0,0,93,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Ice tea manga,5601009969401,,,['France'],[],[],?,20,84 kj(20 kcal),0,0,5,"4,7","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Madeleines,3259426040573,,,['France'],[],[],?,459,1920 kj(459 kcal),26,"2,8",51,27,"4,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Rhum NEISSON l’esprit - 1,3287480000196,1,['NEISSON'],['France'],[],[],?,?,,?,,?,,?,,,,['Bouteille'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Jambon superieur fumé sans couenne - Auchan - 160g,3596710484379,160 g,['Auchan'],['France'],[],[],?,111,464 kj(111 kcal),3,"1,5",1,1,20,"1,8","0,72",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Nutriscore', 'Nutriscore C']",,,['Auchan'],,,3 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en faible quantité,1.8 g,en quantité élevée,,-16%,-15%,-38%,-18%,+49%,+68%,-5%,-4%,-4%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,
890,Côté chardonnay & sauvignon,3359880110093,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Haribo soft hearts,4001686118894,,['Haribo'],['France'],[],[],?,366,1531 kj(366 kcal),"0,5","0,1",88,74,"2,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,"KNÅDA, preparado para hornear crackers",1504376880000,,,['France'],[],[],?,463,1937 kj(463 kcal),27,"3,5",34,"1,4",16,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Valeriane BIO,3373020051381,,,['France'],[],[],?,?,,?,,?,,?,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Bonbons tendres goût fruits,3018270081107,,,['France'],[],[],?,395,1653 kj(395 kcal),4,2,"89,2","74,5","0,3",0,0,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,4 g,en quantité modérée,2 g,en quantité modérée,74.5 g,en quantité élevée,0 g,en faible quantité,,+11%,+10%,+115%,+89%,+7%,+28%,-86%,-100%,-100%,15,+4%,D,+4%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,
895,Pesto végétal,8029065003605,,,['France'],[],[],?,652,2728 kj(652 kcal),"64,3","9,9","11,8","0,4","5,6","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,8713442554148,8713442554148,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Filets de sardines sans arêtes grillés herbes de Provence - Saupiquet,3165950221732,,['Saupiquet'],['France'],[],[],?,188,787 kj(188 kcal),10,"1,8","0,5","0,5",24,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Pavé de thon albacore,2869602040474,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Le Gruyère - Coop - 690g,2413582010059,690g,['Coop'],['France'],[],[],?,396,1657 kj(396 kcal),33,,0,,27,"1,5","0,6",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de Suisse', 'Gruyères suisses']",,,,,,,33 g,en quantité élevée,,,,,1.5 g,en quantité modérée,,-1%,-1%,+2%,,-100%,,+0%,+3%,+3%,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
900,Chicles de hierbabuena sin azúcar,4009900018722,,,['France'],[],[],?,152,636 kj(152 kcal),0,0,"63,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,"Confiture châtaigne, poire, fève de tonka - La Cezarenque - 360g",3760315980073,360 g,['La Cezarenque'],['France'],"['Châtaignes', 'poires', 'sucre', 'fève de tonka']",[],?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de poires']",,,,,,3,,,,,,,,,,,,,,,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,
902,Nectarine blanche,4056489156833,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Feta - Milbona,20146061,,['Milbona'],['France'],[],[],?,276,1155 kj(276 kcal),23,"16,1","0,7","0,7","16,5","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,creme glacée coquelicot,3760169276827,,,['France'],[],[],?,170,711 kj(170 kcal),"7,4","3,2","20,6","16,4","2,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Flocons de aveia,5601254015359,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Bêtises de Cambrai,3382032003134,,,['France'],[],[],?,393,1644 kj(393 kcal),1,1,"95,6","95,6","0,3",0,0,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons français', 'Bêtises de Cambrai']",,,,,,,1 g,en faible quantité,1 g,en faible quantité,95.6 g,en quantité élevée,0 g,en faible quantité,,+2%,+2%,+158%,+3645%,-1%,+29%,-12%,-100%,-100%,14,0%,D,0%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,
907,Glace fermière bio - La ferme BOBON - 500ml,3760247300161,500 ml,['La ferme BOBON'],['France'],[],[],?,?,,?,,?,,?,,,B,['pot carton'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,
908,Haricots verts,2006050011063,,,['France'],[],[],?,23,96 kj(23 kcal),"0,5","0,2","2,1","0,5","1,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Jus ACE,8001440127496,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Bláber,5690527530200,,,['France'],[],[],?,85,356 kj(85 kcal),"1,5","0,9","7,8","7,5",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Capri-Sun,4000177024959,,['Capri-Sun'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Jus de pomme cassis,3411900712608,,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,
913,Saumon fumé Patagonie,3379141204255,,,['France'],[],[],?,160,669 kj(160 kcal),10,6,0,0,17,20,8,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,10 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,20 g,en quantité élevée,,-14%,-13%,-5%,+191%,-100%,-100%,-23%,+609%,+609%,16,+22%,D,+22%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,
914,Eucalyptus sweets,3360102280012,,,['France'],[],[],?,398,1665 kj(398 kcal),0,0,0,0,0,0,0,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Chips bio - Léa Nature,3456300013412,,['Léa Nature'],['France'],[],[],?,365,1527 kj(365 kcal),7,"1,5","67,1","1,4","6,4","1,5","0,6",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",['Bio'],,,,,,7 g,en quantité modérée,1.5 g,en quantité modérée,1.4 g,en faible quantité,1.5 g,en quantité modérée,,-32%,-32%,-79%,-49%,+32%,+9%,+9%,+14%,+14%,11,+1%,D,+1%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,
916,"Limonade - Lorina - 1,5L",5186020627733,"1,5L",['Lorina'],['France'],"['eau gazéifiée', 'sucre', 'acidifiant :  acide citrique', 'arômes naturels de citron-citron vert et agrumes']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,30,126 kj(30 kcal),0,0,"7,4","7,4","< 0,5",< 5,2,,['Plastique'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",['Fabriqué en France'],,,['Auchan'],,4,0 g,en faible quantité,0 g,en faible quantité,7.4 g,en quantité élevée,5 g,en quantité élevée,,-3%,0%,-100%,-100%,-1%,+1%,+390%,+37494%,+37494%,20,+96%,E,+96%,,,,,,,,,['E330 - Acide citrique'],,,,
917,Noix de pecan grillees huilees salees,2006050010707,,,['France'],[],[],?,724,3029 kj(724 kcal),72,8,5,"3,6","9,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Terrine aux morilles,3760159910007,,,['France'],[],[],?,314,1314 kj(314 kcal),"27,6",13,1,0,"14,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,6 crepes tradition,3701002404007,,,['France'],[],[],?,196,820 kj(196 kcal),"7,4","2,1","27,5","12,5","4,5","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22158B', ""Mûr-de-Bretagne (Côtes-d'Armor, France)""]",,,,,
920,Pomme de terre,3760120450105,,,['France'],[],[],?,?,,?,,?,,?,0,0,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",,,,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,"['EMB 10006A', 'Arcis-sur-Aube (Aube, France)']",,,,,
921,Chifferini - Baronìa - 3kg,8005709330283,3 kg,['Baronìa'],"['France', 'États-Unis']","['Durum wheat semolina', ' Pâtes alimentaires de semoule de blé dur', ' Ingrédients: semoule de blé dur', ' Teigwaren aus Hartweizengrieß', ' Zutaten: Hartweizengrieß', ' Pastas alimenticias de calidad superior', ' Ingredientes: sémola de trigo duro', ' Massa de sémola de trigo duro', ' Ingredientes: sêmola de trigo duro', ' Deegwaren van harde tarwe', ' Ingrediënten: harde tarwe griesmeel']",[],?,354,1481 kj(354 kcal),"1,3","0,3","70,8","3,2","13,5","0,004","0,002",,['Sachet Plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Coquillettes']","['EAC', 'Halal', '100\xa0% Grano Italiano']",['Italie'],['Italie'],,,,1.3 g,en faible quantité,0.3 g,en faible quantité,3.2 g,en faible quantité,0.0045 g,en faible quantité,,-1%,-1%,-30%,-22%,0%,+3%,+13%,-78%,-78%,-3,,A,,,,,,,,,,,,,,
922,Gerblé sésame,16727724,,['Gerblé'],['France'],[],[],?,484,2025 kj(484 kcal),22,"2,2",58,19,11,"0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Kellogg's choco wheat - 480g,5059319002750,480 g,"[""Kellogg's""]",['France'],[],[],?,392,1640 kj(392 kcal),8,"4,5",65,19,10,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,,,,8 g,en quantité modérée,4.5 g,en quantité modérée,19 g,en quantité élevée,,,,-2%,-2%,-8%,+105%,-3%,+14%,+7%,,,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,
924,Pesto rouge a la truffe d’ete,8031026603403,,,['France'],[],[],?,593,2481 kj(593 kcal),"60,3","7,9","4,1","4,1","8,2","1,18","0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Glorius Guava - Star,6291010902932,,['Star'],['France'],[],[],?,50,209 kj(50 kcal),0,0,"12,6","12,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Thermo pro - The Protein Works,5060385442074,,['The Protein Works'],['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Rillettes De St Jacques 130 ML,3288370004515,,,['France'],[],[],?,270,1130 kj(270 kcal),"21,24","5,24","2,89","0,36","16,3","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Miel de lavande,3770000242010,,,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,
929,Fabriquant artisanal La confiture alpine - Confiserie alpine - 300g,3760193727081,300g,['Confiserie alpine'],['France'],[],[],?,?,,?,,?,80,?,,,D,['Pot'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,,,,,,,,80 g,en quantité élevée,,,,,,,,,+56%,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
930,Muesli Croustillant Double Chocolat,3421557920882,,,['France'],[],[],?,434,1816 kj(434 kcal),13,4,67,24,"8,7",,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Blossom - La Débauche - 440ml,3760055362221,440 ml,['La Débauche'],['France'],[],[],?,?,,?,,?,,?,,,C,['Aluminium'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises']",,,['Angoulême'],['V&B'],,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,
932,Arachidi tostate salare,8003100805829,,,['France'],[],[],?,612,2561 kj(612 kcal),49,"8,7",13,"4,2",25,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Meringues,3286790114104,,,['France'],[],[],?,396,1657 kj(396 kcal),"0,5","0,1",95,95,"4,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
