,name,bar_code,quantity,packaging,brand,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,allergens,ingredients_origins,brand_owner,palm_ingredients,link,producer_info
44,Panettone - Delhaize,5400111042510,,,['Delhaize'],,['Delhaize'],"['Belgique', 'France']",[],,[],,?,364,1523 kj(364 kcal),13,"8,5",54,25,"6,5","0,4","0,16",,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,-3%,-13%,+5%,-5%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,13 g,en quantité modérée,8.5 g,en quantité élevée,25 g,en quantité élevée,0.4 g,en quantité modérée,-2%,-5%,-3%,-9%,-9%,18,-3%,D,-3%,,,,,,,,
45,Lot d'huiles de colza pour pâtisserie - Albona,26088327,,,['Albona'],,,['France'],[],,[],,?,828,3464 kj(828 kcal),92,"6,8",0,0,0,0,0,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",,-5%,-5%,-100%,-100%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,92 g,en quantité élevée,6.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-5%,-4%,-100%,-100%,-100%,5,-1%,C,-1%,,,,,,,,
46,Steak à griller,0201030095183,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Perrier Lemon Sparkling Water,7613035837850,,,['Perrier'],,,['France'],[],,[],,?,2,8 kj(2 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Infusion gourmande melon & papaye - Palais des Thés,3700256714641,,,['Palais des Thés'],,,['France'],[],,[],,?,?,,?,,?,,?,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sodiporc gros grillons charentais,3497800100172,,,,,,['France'],[],,[],,?,382,1598 kj(382 kcal),34,13,0,0,19,"0,5","0,2",['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,filets de lieu noir frais - 200g,3700375741160,200 g,['Barquette'],,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,"['Produits de la mer', 'Poissons', 'Lieu noir', 'Filets de lieu noir']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Nougat,3760129541101,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pomme purée de provence,3566146600087,,,,,,['France'],[],,[],,?,51,213 kj(51 kcal),"0,1",0,"11,6",11,"0,4","0,009","0,004","['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Mini burger,2030500209519,,,,,,['France'],[],,[],,?,372,1556 kj(372 kcal),17,6,45,"9,1",9,"1,01","0,404",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Crackers d'epeautre, sésame et algues",8437002393359,,,,,,['France'],[],,[],,?,491,2054 kj(491 kcal),"28,8","4,7","45,5",2,"8,5","1,9","0,76",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Rooibos de Noël - Dammann Frères,3259920056797,,,['Dammann Frères'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Brownies,00400169,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Assortiment bonbon,3215690806130,,,,,,['France'],[],,[],,?,894,3740 kj(894 kcal),"5,9","3,9",84,58,"1,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Framboises,3000186033530,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Safran en filaments - Bedros - 0,2g",3580283040643,"0,2 g","['Flacon', 'Verre']",['Bedros'],,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Safran']",,-100%,-100%,-100%,-100%,70.8%,0.0%,20.1%,5.4%,3.7%,0.0%,83,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,
60,A Bicyclette,,,,,,,['France'],[],,[],,?,96,402 kj(96 kcal),"1,7","0,7",18,10,"1,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sucre saveur citron,3760226460398,,,,,,['France'],[],,[],,?,391,1636 kj(391 kcal),0,0,"97,9","97,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
