,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,allergens,nova_score,ingredients_origins,manufacturing,markets,additives,traceability_code,palm_ingredients,link
1467,Tendrement moelleux,3662669000011,,['France'],[],[],?,212,887 kj(212 kcal),15,"6,5","0,7","0,4","18,5","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,
1468,Kombucha - Hanabi,3662676000639,['Hanabi'],['France'],[],[],?,27,113 kj(27 kcal),"0,5","0,1","6,4","6,4","0,3",0,0,['Bio'],,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons au thé', 'Kombuchas']",,,,,,,,,,+50%,+51%,+942%,+258%,+68%,+87%,+312%,-100%,-100%,9,+57%,D,+57%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,
1469,Soy Sauce,3662676000783,,['France'],[],[],?,55,230 kj(55 kcal),0,0,4,0,"9,8","16,5","6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,Pommes Gala -,3662739049834,,['France'],[],[],?,?,,?,,?,,?,,,['Catégorie I'],,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes gala']",,,,,,,,,,,,,,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,['Chili'],,,,,,
1471,Gregorian HX,3662782015909,,['France'],[],[],?,374,1565 kj(374 kcal),"0,3","0,3",62,"5,7","30,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Pain de Seigle - Mémé Georgette - 500g,3662790000379,['Mémé Georgette'],['France'],"['Farine complète de Seigle*', 'eau', 'grain de seigle*', 'sel', 'levure', ""\r* = ingrédients issus de l'agriculture biologique""]",[],877,?,877 kj(210 kcal),"1,1","0,1",39,1,"6,8","1,9","0,76","['Bio', 'Bio européen', 'DE-ÖKO-039']",500 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",1.1 g,en faible quantité,0.1 g,en faible quantité,1 g,en faible quantité,1.9 g,en quantité élevée,-5%,,-9%,-44%,-71%,-6%,-66%,-2%,+67%,+67%,1,-9%,B,-9%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,Pain de Seigle bio,"['Sachet', 'Plastique']",['Gluten'],3,,['Allemagne'],['E.LECLERC'],,,,http://memegeorgette.com/pains/
1473,Biscuit au fromage (gouda) - 75g,3662790000461,,['France'],[],['Sans huile de palme'],?,520,2176 kj(520 kcal),"26,2","17,7",50,"0,9","19,9","2,3","0,92","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01', 'en:palm-oil-free']",75 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Coeurs au beurre - Mémé Georgette,3662790000546,['Mémé Georgette'],['France'],"['Farine de froment* 47 %', 'beurre *', 'lait', '* 30 % sucre* 22 %', 'sel 0,5 %', 'poudre à lever : E500 0,2 0%', ""* = ingrédients issus de l'agriculture biologique"", "" E ?Additif approuvé par l'UE Peut contenir des traces d'œuf"", 'de cacahuètes', 'de soja et de fruits à coque']",['Non végétalien'],?,470,1966 kj(470 kcal),"25,1","17,4","55,5",22,5,"0,6","0,24","['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Allégé en sucre', 'Moins 30% de sucre', 'Agriculture UE/Non UE', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,['E500 - Carbonates de sodium'],,,
1475,Cranberry bio XL - Mémé Georgette,3662790000768,['Mémé Georgette'],['France'],"['Baies de cranberry séchées ', 'sucre']",[],?,356,1490 kj(356 kcal),"1,6",0,"83,4","71,1",0,0,0,"['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",1.6 g,en faible quantité,0 g,en faible quantité,71.1 g,en quantité élevée,0.0003 g,en faible quantité,,+6%,+6%,+127%,-100%,+5%,+8%,-100%,-99%,-99%,5,-31%,C,-31%,,,,,,,,,,,3,,,,,,,
1476,BONBONS DE COOKIES - Mémé Georgette,3662790000775,['Mémé Georgette'],['France'],"['Bonb01k de cookies Chocolat : Farine 11% ', 'pâte de cacao 6%', 'sucre de canne roux', 'beurre c cacao* ', 'noix de coco râpée*2%', ""jus d'orange*"", ""extrait d ingrédients issus de l'agriculture biologique"", ' dee traces de lait', ""d'œuf"", 'de cecahuète']",[],?,481,2013 kj(481 kcal),23,"5,5",63,27,"6,3","0,12","0,048",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Creme de betterave,3662790001352,,['France'],[],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,290,1213 kj(290 kcal),"25,5","2,9","7,2","6,3","6,5","1,4","0,56","['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Cornichons au vinaigre BIO - Mémé Georgette - 330g,3662790001765,['Mémé Georgette'],['France'],"['cornichons*', 'eau', 'vinaigre d’alcool*', 'sel de mer', 'aneth*', 'oignons*', 'paprika*', 'graines de_moutarde_*', 'extraits d’épices', "" \r* = ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",50,?,50 kj(12 kcal),"0,1","< 0,1","1,2","1,2","0,4","0,7","0,28","['Bio', 'Bio européen', 'DE-ÖKO-001', 'Agriculture UE/Non UE']",330g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Conserves', 'Condiments', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Condiments bio', 'Légumes bio']",0.1 g,en faible quantité,0.1 g,en faible quantité,1.2 g,en faible quantité,0.7 g,en quantité modérée,,,-68%,-62%,+100%,-84%,-43%,-79%,+20%,+20%,-2,,A,,,,,,,,,,"['Conserve', 'Verre', 'Bocal']",['Moutarde'],3,,['Allemagne'],['Carrefour'],,,,http://memegeorgette.com/les-condiments/
1479,Seitan aux herbes -,3662790001956,,['France'],[],[],?,95,397 kj(95 kcal),"0,6",0,"3,9","0,4","18,4","1,87","0,748",['Bio'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']",0.6 g,en faible quantité,0 g,en faible quantité,0.4 g,en faible quantité,1.87 g,en quantité élevée,,-43%,-43%,-88%,-100%,-51%,-63%,-7%,+68%,+68%,4,+208%,C,+208%,,,,,,,,,,,,,,,,,,
1480,Epinards bio - Mémé Georgette - 590g,3662790002083,['Mémé Georgette'],['France'],"['Epinards*', 'eau', 'sel marin', ""\r* = ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",104,?,104 kj(25 kcal),"0,4","0,1","3,6","0,4","2,8","0,9","0,36","['Bio', 'Bio européen', 'NL-BIO-01']",590g,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes-feuilles', 'Épinards', 'Épinards en conserve']",0.4 g,en faible quantité,0.1 g,en faible quantité,0.4 g,en faible quantité,0.9 g,en quantité modérée,-20%,,-22%,-30%,+28%,+100%,-20%,-15%,+104%,+104%,-5,,A,,13.8%,38.4%,18.3%,9.2%,12.9%,7.5%,91,,"['Conserve', 'Verre', 'Bocal']",,3,,['Pays-Bas'],['Carrefour'],,,,http://memegeorgette.com/legumes/
1481,Compote poire - Mémé Georgette,3662790002670,['Mémé Georgette'],['France'],['Poires'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,57,238 kj(57 kcal),"0,1","0,1","12,1","9,8","0,4",0,0,"['Bio', 'Bio européen', 'Agriculture UE', 'Sans sucre ajouté']",,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de poire']",0.1 g,en faible quantité,0.1 g,en faible quantité,9.8 g,en quantité modérée,0 g,en faible quantité,,-11%,-11%,-58%,+203%,-17%,-24%,-4%,-100%,-100%,-3,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,Purée de fruits,"['Pot', 'Verre']",,1,,,,,,,
1482,Coeurs aux amandes - Mémé Georgette,3662790003295,['Mémé Georgette'],['France'],"['Farine de froment* 43 %', 'sucre* 26 %', 'beurre *', 'lait', '* 19 %', ""copeaux d'amande* 8 %"", 'œuf* 3 %', 'poudre à lever : E500 0,6 %', 'sel 0,4 %', "" * = ingrédients issus de l'agriculture biologique"", "" E = Additif approuvé par I'UE peut contenir des traces de cacahuètes"", 'de soja et autres fruiS à coq']",['Non végétalien'],?,438,1833 kj(438 kcal),"20,1","11,2","57,2","25,8","6,5","0,9","0,36","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Arachides']",,,,,['E500 - Carbonates de sodium'],,,
1483,Gouda et oignons - Mémé Georgette - 75g,3662790003332,['Mémé Georgette'],['France'],"[""Farine de BLÉ* BEURRE'"", 'FROMAGE gouda séché* 13%', 'oignon seché 4,4%', 'gluten de BLÉ*levure', 'sel de mers concentré de tomate*', 'LAIT en poudre entier* poudre* 1,1%} arôme naturel ', 'contient LAIT', 'extrait de levure*', 'poivre blanc*', ""ail en poudre* - *biologique Peut contenir des traces de noix et d'œufs""]",['Sans huile de palme'],?,515,2155 kj(515 kcal),"31,1","21,4","48,1","2,4","9,6",2,"0,8","['Bio', 'en:palm-oil-free']",75 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque']",,,,,,,,
1484,Biscuits au fromage chevre - Mémé Georgette - 75g,3662790003349,['Mémé Georgette'],['France'],"['Farine de BLÉ*', 'FROMAGE de Chèvre* 23%', 'BEURRE*', 'chapelure* ', 'contient BLÉ', 'gluten de BLÉ* ', 'levure', 'sel de mer', 'LAIT en poudre entier* ', 'amidon de pomme de terre* ', 'arôme naturel ', 'contient LAIT', 'oignon en poudre* ', 'extrait de levure* ', 'poivre noir* ', 'huile de tournesol*', "" *biologique Peut contenir des traces de noix et d'oeufs""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,526,2201 kj(526 kcal),"27,2","18,9","49,3","0,2","20,1","1,9","0,76","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01', 'en:palm-oil-free']",75 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,
1485,Bonbon de Cookie Vanille,3662790004131,,['France'],[],[],?,488,2042 kj(488 kcal),22,"3,5",65,25,"6,2","0,2","0,08",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Bonbons de cookies - Mémé Georgette,3662790004148,['Mémé Georgette'],['France'],"['Bonbons de cookies Citron : Farine de blé* 58%', 'sucre de canne*', 'huile de tournesol*', 'huile essentielle de citron* 0,2%', 'sel de mer', "" * = ingrédients issus de l'agriculture biologique"", ' Peut contenir des traces de lait', ""d'œuf"", 'de cacahuètes', 'de sésame', 'de soja', 'de noix et lus dérivée']",[],?,493,2063 kj(493 kcal),22,"2,6",66,22,"6,4","0,17","0,068","['Bio', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Bonbons de cookies,3662790004155,,['France'],[],[],?,512,2142 kj(512 kcal),27,"9,6",59,23,"5,9","0,15","0,06",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Feuilletés Persillade - 60g,3662790004216,,['France'],[],[],?,506,2117 kj(506 kcal),27,17,53,"1,9",11,"2,7","1,08","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",60 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Crackers aperitifs - Mémé Georgette,3662790004223,['Mémé Georgette'],['France'],"['Farine complète de BLE*', 'farine de BLE*', 'GRAINES DE graines de sucre*', 'sel de Guérande', ""bicarbonate d'ammonium"", 'poudre de LAIT*', 'poivre noir*', 'bicarbonate de sodium', "" *ingrédients issus de l'agriculture biologique"", 'Peut contenir des traces de soja', 'noisette', 'amande et oeuf']",['Non végétalien'],?,437,1828 kj(437 kcal),21,"7,9",48,"6,8",14,"2,8","1,12","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait']",,,,,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']",,,
1490,Calendrier de l'avent de l'ASSE,3662888002360,,['France'],[],[],?,578,2418 kj(578 kcal),"39,7","24,9","46,3","45,7","8,2","0,1","0,04",,,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",39.7 g,en quantité élevée,24.9 g,en quantité élevée,45.7 g,en quantité élevée,0.1 g,en faible quantité,,+14%,+12%,+35%,+42%,-18%,-11%,+38%,-48%,-48%,27,+8%,E,+8%,,,,,,,,,,,,,,,,,,
1491,Sauce Al Tonno - Aldi,3662902000020,['Aldi'],['France'],[],[],?,90,377 kj(90 kcal),5,"0,5",6,5,4,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poisson'],,,,['Aldi'],,,,
1492,Il puro,3662902000136,,['France'],[],[],?,22,92 kj(22 kcal),"0,2",0,4,3,"10,4","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,"Sauce Tomate, Boulettes De Viandes, Ragù All'italiana",3662902000228,,['France'],[],[],?,69,289 kj(69 kcal),"4,4","1,3","2,8","2,8","4,4","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Sauce Tomate à L'espadon Fumé - Al Dente La Salsa,3662902000235,['Al Dente La Salsa'],['France'],"[""SANS COLORANTS/SANSCONSERVATEURS/ 2/3 GRASSES'3,8g • PLUS CE pers"", ' SUCRES']",[],?,57,238 kj(57 kcal),"3,8","0,7","2,8","2,8",3,"0,02","0,008","['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Huile D'olive Extra Vierge Biologique - Al Dente La Salsa,3662902000273,['Al Dente La Salsa'],['France'],[],[],?,828,3464 kj(828 kcal),92,10,0,0,0,0,0,"['Bio', 'Bio européen', 'IT-BIO-004']",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-4%,-29%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
1496,"Pâtes De Semoule De Blé Dur Bio, Pâtes Spaghetti",3662902000358,,['France'],[],[],?,352,1473 kj(352 kcal),1,0,72,5,12,,,['Bio'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",1 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,,,,+1%,+1%,-82%,-100%,+22%,-12%,+27%,,,,,,,,,,,,,,,,,,,,,,,,
1497,"Pâtes Semoule De Blé Dur Bio, Pâtes Paccheri",3662902000365,,['France'],[],[],?,352,1473 kj(352 kcal),1,"0,2",72,"4,5",12,"0,05","0,02",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,"Pâtes De Semoule De Blé Dur Bio, Pâtes Linguine",3662902000372,,['France'],[],[],?,352,1473 kj(352 kcal),1,"0,2",72,"4,5",12,"0,05","0,02",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Petit reblochon,3662925002131,,['France'],[],[],?,328,1372 kj(328 kcal),"27,4","18,8","0,5","0,5","19,9","1,2","0,48",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",27.4 g,en quantité élevée,18.8 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,+1%,+2%,+2%,0%,+36%,+121%,-1%,-10%,-10%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,"['FR 74.280.420 CE', 'Thônes (Haute-Savoie, France)']",,
1500,Petit reblochon,3662925002131,,['France'],[],[],?,328,1372 kj(328 kcal),"27,4","18,8","0,5","0,5","19,9","1,2","0,48",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",27.4 g,en quantité élevée,18.8 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,+1%,+2%,+2%,0%,+36%,+121%,-1%,-10%,-10%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,"['FR 74.280.420 CE', 'Thônes (Haute-Savoie, France)']",,
1501,Dragées amandes,3663044856179,,['France'],[],[],?,431,1803 kj(431 kcal),8,"5,6","88,4","78,8","1,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,corbeille chantilly - sas paniers terdis - 1,3663154002411,['sas paniers terdis'],['France'],[],[],?,?,,?,,?,,?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Crêpes caramel au beurre salé DANIEL DESSAINT x6,3663219001403,['Dessaint'],['France'],[],[],?,260,1088 kj(260 kcal),?,3,?,20,5,"1,07","0,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Mini nems au porc,3663219001830,,['France'],[],[],?,243,1017 kj(243 kcal),"12,3","3,4","25,1","1,9","6,7","1,32","0,528",,,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Nems', 'Nems au porc']",12.3 g,en quantité modérée,3.4 g,en quantité modérée,1.9 g,en faible quantité,1.32 g,en quantité modérée,,+10%,+9%,+8%,+27%,+16%,-41%,-5%,-4%,-4%,11,+54%,D,+54%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,
1505,Mini Samoussas,3663219001861,,['France'],[],[],?,295,1234 kj(295 kcal),"17,2","3,7","23,9","3,3","9,7","1,18","0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Fajitas poulet cheddar - Dessaint Traiteur - 2 (280g),3663219002189,['Dessaint Traiteur'],['France'],"['Garniture 64% : purée de tomates 18,5%', 'tomates fraîches 12,5%', 'poulet rôti traité en salaison 8% ', 'viande de poulet', 'saumure ', 'eau', 'fécule de pomme de terre', 'stabilisants ', 'diphosphates', 'triphosphates', 'dextrose ', 'gluten', 'arôme', 'sel', 'acidifiants : lactate de potassium', 'acétate de sodium', 'oignons', 'maïs', 'eau', 'cheddar 3,5% ', 'lait', 'arôme naturel', 'amidon modifié', 'sel', 'jus de citron vert', 'paprika', 'stabilisant ', 'farine de graine de caroube', 'méthylcellulose', 'poivre', 'ail', 'Galette 36% : eau', 'farine de blé ', 'gluten', 'farine de maïs 3%', 'œufs entiers frais', 'huile de colza', 'dextrose', 'poudre à lever ', 'diphosphates', 'carbonates de sodium', 'sel', 'colorant ', 'curcumine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,160,669 kj(160 kcal),"6,4","1,7",18,"3,4",6,"1,4","0,56",,2 (280g),C,"['Plats préparés', 'Frais', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés frais', 'Plats à la volaille', 'Plats au poulet', 'Fajitas']",6.4 g,en quantité modérée,1.7 g,en quantité modérée,3.4 g,en faible quantité,1.4 g,en quantité modérée,,,-0%,+47%,+52%,-15%,+16%,-3%,0%,0%,5,+125%,C,+125%,63.7%,14.4%,4.4%,5.6%,2.5%,9.4%,68,,"['Frais', 'Plastique']","['Œufs', 'Gluten', 'Lait']",4,,['France'],['Carrefour City'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E461 - Méthylcellulose', 'E500 - Carbonates de sodium', 'E100 - Curcumine']",,,
1507,Mini-samoussa ananas passion,3663219002219,,['France'],[],['Sans huile de palme'],?,244,1021 kj(244 kcal),"9,7","2,7","35,1","11,6","3,4","0,5","0,2",['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Crabes Farcis Antillais - Dessaint - 200g,3663219002226,['Dessaint'],['France'],[],['Sans huile de palme'],?,99,414 kj(99 kcal),4,"2,6","7,4","3,3","7,3",1,"0,4",['en:palm-oil-free'],200 g,,"['Produits de la mer', 'Plats préparés', 'Crustacés', 'Plats préparés au poisson', 'Crabes', 'Préparations à base de crabes']",4 g,en quantité modérée,2.6 g,en quantité modérée,3.3 g,en faible quantité,1 g,en quantité modérée,,-27%,-22%,-25%,+55%,-34%,+57%,-25%,-23%,-23%,1,-67%,B,-67%,,,,,,,,,,,,,,,,,,
1509,Cake au chocolat - Eismann - 300g,3663219002837,['Eismann'],['France'],[],[],?,?,,?,,?,,?,,,,300 g,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,,,,,,,,,,,,,,,,,,,,,,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,,,,,,,,,,
1510,Les crêpes Poulet-Pesto : poulet - mozzarella - pesto vert - Dessaint,3663219002912,['Dessaint'],['France'],[],[],590,?,590 kj(141 kcal),5,"1,9","15,8","1,6","7,2","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dessaint traiteur,['Sous atmosphère protectrice'],,,,['France'],,,,,
1511,Crêpes chorizo emmental légumes - Dessaint Traiteur - 280g (2x 140g),3663219002929,['Dessaint Traiteur'],['France'],"['garniture 64% ', 'eau', 'chorizo 10,5% ', 'viande de porc', 'épices et aromates', 'sirop de glucose', 'Sel', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'poivrons 6,5%', 'emmental 6% ', 'lait', 'tomates', 'amidon modifié', 'crème fraîche ', 'lait', 'épices et plante aromatique', 'arômes naturels', 'graine de pavot bleu', 'huile de tournesol', 'sel', 'poivre', ' Crêpe 36% ', 'eau', 'farine de blé', ""jaune d'œufs"", 'lait écrémé en poudre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,171,715 kj(171 kcal),8,"3,7","16,5","1,8","7,6","0,76","0,304",['Cuisiné en France'],280 g (2 x 140 g),B,"['Crêpes et galettes', 'Crêpes']",8 g,en quantité modérée,3.7 g,en quantité modérée,1.8 g,en faible quantité,0.76 g,en quantité modérée,,-44%,-45%,-19%,+2%,-64%,-92%,+6%,-6%,-6%,4,-67%,C,-67%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,Crêpes chorizo emmental légumes,"['Frais', 'Plastique', 'Sous-vide']","['Œufs', 'Gluten', 'Lait']",4,,,['ID STOCK'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",,,
1512,Plateau mexicain - Dessaint,3663219003315,['Dessaint'],['France'],[],[],?,204,854 kj(204 kcal),"7,6","1,2","23,7",4,"8,4","1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
