,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,traceability_code,quantity,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,additives,allergens,nova_score,manufacturing,ingredients_origins,generic_name,link,origin_detail,brand_owner,palm_ingredients
1806,Petits cakes - Hema,2044476199996,,['France'],"['sucre', 'poule élevée au sol', 'graisse de palme partiellement hydrogénée', 'Tisse de pctm hydrogénée', 'huile de colza partiellement hydrogénée', 'huile de nc: de coco panée hydrogénée', 'fécule de pommes de terre', 'beurre poudres à lever E EO E500', 'pâte ce ca: - o', 'de cacao', 'amidon de mais', 'colorants EIOO E120 E171 E160a', 'E412 E414 E415', 'cor ent carthame', 'concentré de spiruline', 'émulsifiants lécithine de soja E47i a75 EZ76', 'arômes', ""d'enrobage E901 E903 E904"", 'dextrose', 'stabilisant E420i', 'sel', 'conservateurs E200 E282', 'de : zeste de citron', 'acidifiant E270', 'amidon de blé', ' Peut contenir des fruits à coque', ' Valeur nutrit:T pour 100g: énergie']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,410,1715 kj(410 kcal),"18,7","6,3","55,9",40,"4,3","1,18","0,472",,,,,,,,,,,,,,,,,,,['Hema'],,,,,,,,,['Hema'],"['E171 - Oxyde de titane', 'E412 - Gomme de guar', ""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba', 'E420i - D-glucitol', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E270 - Acide lactique']",,4,,,,,,,['Huile de palme']
1807,Ananas surgelé - Lidl - 300g,20412128,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Fruits et produits dérivés', 'Aliments à base de plantes surgelés', 'Fruits', 'Fruits tropicaux', 'Fruits surgelés', 'Fruits tropicaux surgelés', 'Ananas', 'Ananas surgelés']","['France', 'Espagne']",['Piña'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0.1 g,en faible quantité,7.3 g,en quantité modérée,0.01 g,en faible quantité,?,42,176 kj(42 kcal),"0,1","0,1",8,"7,3","0,4","0,01","0,004",-4,A,,300 g,"['Végétarien', 'Végétalien']",,-40%,-48%,-97%,-90%,-12%,-7%,-44%,-80%,-80%,,,B,['Lidl'],37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,"['Caja de cartón', 'Ultracongelado']",['Lidl'],,,1,['Alemania'],,Piña congelada,,,,
1808,Westernpfanne - Gustoria - 750g,20426903,"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Plats préparés surgelés']","['France', 'Allemagne']",[],[],5.4 g,en quantité modérée,1.2 g,en faible quantité,2 g,en faible quantité,0.9 g,en quantité modérée,530,127,530 kj(127 kcal),"5,4","1,2","13,1",2,"4,7","0,9","0,36",3,C,['DE NI-11022 EG'],750 g,,-29%,-30%,-31%,-40%,-60%,-11%,+6%,-44%,-22%,-22%,-49%,-49%,,"['Gustoria', 'Penny']",,,,,,,,"['Packung(en)', 'Plastic']",,,,,,,,,,,
1809,"Cuscinetti Croccanti Sardi, Klassik - Italiamo - 200g",20469924,"['Snacks', 'Snacks salés']","['France', 'Espagne']",[],[],10 g,en quantité modérée,1.4 g,en faible quantité,1.3 g,en faible quantité,2.4 g,en quantité élevée,?,423,1770 kj(423 kcal),10,"1,4",68,"1,3",13,"2,4","0,96",16,D,,200 g,['Fabriqué en Italie'],,-8%,-8%,-59%,-67%,+43%,-60%,+53%,+56%,+56%,+31%,+31%,,['Italiamo'],,,,,,,,,['Lidl'],,,,,,,,,,
1810,Torroncini Nougat - Italiamo - 160g,20489090,,"['France', 'Suisse']","['25% amandes', 'sucre', 'sirop de glucose', 'miel', ""blanc d'œuf* "", 'arôme naturel', '*issu de Poules élevées en plein air', "" Traces éventuelles d'autres fruits à coque"", 'de soja et de tait']",['Non végétalien'],,,,,,,,,1887,448,1887 kj(448 kcal),"13,6","1,3","72,3","66,4",0,"0,06","0,024",,,,160 g,['Fabriqué en Italie'],,,,,,,,,,,,,,['Italiamo'],,,,,,,,,['Lidl'],,['Œufs'],4,,,,,,,
1811,Oh So Easy OATS,20511791,,['France'],"['sweetened instant porridge oats with golden syrup flavour ngredients 62% wholegrain oat flakes', 'skimmed milk powder', 'sugar', 'natural flavouring', 'allergy advio']",['Non végétalien'],,,,,,,,,?,368,1540 kj(368 kcal),"4,3","0,7",65,32,15,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
1812,"Fritessaus Halfvol, Fritessaus Halfvol - Vita D'or - 1000ml",20520908,"['Epicerie', 'Sauces', 'Mayonnaises', 'nl:Fritessauzen']","['France', 'Pays-Bas']",[],[],13.2 g,en quantité modérée,1 g,en faible quantité,8.5 g,en quantité modérée,1.6 g,en quantité élevée,?,178,745 kj(178 kcal),"13,2",1,"13,9","8,5","0,4","1,6","0,64",10,C,,1000 ml,,,-71%,-71%,-80%,-84%,+417%,+482%,-67%,+20%,+20%,-44%,-44%,D,"[""Vita D'or"", 'Lidl']",80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Plastic'],,,,,,,,,,,
1813,Double concentred tomate purée - Lidl - 200g,20522612,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,394,93,394 kj(93 kcal),"0,4","0,1","15,6","14,5","4,6","0,1","0,04",,,,200 g,,,,,,,,,,,,,,,"['Lidl', 'Freshona']",,,,,,,,"['Metal', 'Tube']",['Lidl'],,,,,,,,,,
1814,Melmelada de frambuesa - Boulé - 350g,20555863,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']","['France', 'Espagne']","['55% Frambuesa ', 'ecoligico', 'azzucar,', 'espesante: pectina', 'acidulante: acido citrico']",[],0 g,en faible quantité,0 g,en faible quantité,44.2 g,en quantité élevée,0 g,en faible quantité,?,202,845 kj(202 kcal),0,0,48,"44,2","0,5",0,0,6,C,,350 g,"['Bio', 'Bio européen', 'ES-ECO-016-CL']",,-10%,-10%,-100%,-100%,-10%,-14%,-26%,-100%,-100%,-32%,-32%,B,['Boulé'],65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,"['E440 - Pectines', 'E330 - Acide citrique']",,4,,,,,,,
1815,Filet de poulet à l'orientale,20563509,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],2.3 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,115,481 kj(115 kcal),"2,3","0,4","0,5","0,5",23,"0,8","0,32",-1,A,,,,,-12%,-11%,-20%,-46%,+4%,+106%,+1%,+7%,+7%,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
