,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,brand,categories,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,ingredients_origins,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,labels,palm_ingredients
1085,Amandes decortiques,0200061020201,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Banane - Bonarea,00036612731032558204,['France'],[],[],?,?,,?,,?,,?,,,,,,['Bonarea'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,['FSC-C130714'],,,
1087,Canestrellini del sassello,8007590000023,['France'],[],[],?,496,2075 kj(496 kcal),26,16,59,23,"5,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Confiture de rhubarbe des Hauts de France - Les Sens du Terroir,3437340069232,['France'],"['Rhubarbe des Hauts-de-France - sucre de canne - gélifiant : pectines - acidifiant: jus de concentre', ' Pour 100 g de produit fini: préparée avec 57g de fruits']",[],?,227,950 kj(227 kcal),0,0,55,55,"0,5",0,0,,,,['Les Sens du Terroir'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe']",,,,,4,0 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,,+3%,+2%,-100%,-100%,+2%,+5%,+8%,-100%,-100%,9,-3%,C,-3%,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['E440 - Pectines'],,
1089,Sprite Refresco De Lima Limón,5449000205667,['France'],[],[],?,10,42 kj(10 kcal),0,0,"2,1","2,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Tarti tomates bio,3664959003528,['France'],[],[],?,181,757 kj(181 kcal),31,"20,2",27,"20,2",8,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",
1091,Pain au chocolat caraibe price,0200005019612,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Bi limone menta,8003430500135,['France'],[],[],?,43,180 kj(43 kcal),0,0,"10,8","10,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Paris Brest,,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,,,,
1094,Fiomelles de blé dur oignon piment - Rimon & Saveurs - 500g,3770004412150,['France'],"['Blé Dur Biologique ', '94 %', ' Oignon Biologique ', '4 %', ' Piment Biologique ', '2 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,Pâtes alimentaires de semoule de blé dur aromatisées à l'oignon et au piment bio,500 g,"['Plastique', 'Sec']",['Rimon & Saveurs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits artisanaux', 'Pâtes sèches', 'Pâtes de blé dur', 'Pâtes sèches aromatisées']","['FRance', 'Drôme']",http://www.rimon-saveurs.fr/nos-produits/produit.html?produit=me-ssounelles-dentelles,['Biocoop'],['Gluten'],1,,,,,,,,,,,,,,,,,,,,,,,B,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Produit artisanal']",
1095,Country,4008200280921,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Worcestershire sauce,5000111046435,['France'],[],[],?,173,724 kj(173 kcal),"0,3",0,"40,7","30,9","1,5","0,3","0,12",,,,,"['Epicerie', 'Sauces', 'Sauces Worcestershire']",,,,,,0.3 g,en faible quantité,0 g,en faible quantité,30.9 g,en quantité élevée,0.3 g,en quantité modérée,,+59%,+60%,-26%,-100%,+91%,+64%,+95%,-91%,-91%,9,-37%,C,-37%,,,,,,,,,,,,,
1097,Spinkles mini hearts,8718531934597,['France'],[],[],?,422,1766 kj(422 kcal),"5,2","1,1","93,2","85,7","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Choup,3770003987017,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,2224658053395,2224658053395,['France'],[],[],?,?,,?,,?,,?,,,,,['Etui en carton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Luscombre Apple Juice,5029212001518,['France'],[],[],?,49,205 kj(49 kcal),"0,1",0,"11,7","11,7","0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
