,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,traceability_code,eco_score,packaging,ingredients_origins,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,generic_name,palm_ingredients,origin_detail,producer_info,brand_owner
653,L'onctueuse panna cotta - Casino,3222477312722,,['France'],[],[],?,227,11,27,3,,950 kj(227 kcal),"7,9",18,"0,13","0,052",['Casino'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Panna cottas']",,+4%,-11%,+32%,+10%,,C,,,,,['Casino'],,11 g,en quantité modérée,7.9 g,en quantité élevée,18 g,en quantité élevée,0.13 g,en faible quantité,+6%,-7%,+5%,+8%,+8%,12,-2%,D,-2%,62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,,,,,,,
654,Confiture Reine Mère Rhubarbe Et Eau De Rose - Confiture Parisienne,3770005999094,,['France'],[],[],?,?,?,?,?,,,0,,,,['Confiture Parisienne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe']",,,,,,,D,,,,,,,,,0 g,en faible quantité,,,,,,-100%,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
655,Snack avellanas - Nestlé,7613036328760,,['France'],[],[],?,552,"33,1","57,1","5,6",,2310 kj(552 kcal),"16,5","42,7","0,29","0,116",['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Les célèbres crêpes dentelles - Casino,3222477241503,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,497,22,67,"6,8",,2079 kj(497 kcal),13,48,"0,5","0,2","['Casino', 'Casino Délices']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Crêpes dentelle', 'Crêpes dentelle au chocolat']",,+1%,+3%,0%,+15%,,D,,,,,['Casino'],,22 g,en quantité élevée,13 g,en quantité élevée,48 g,en quantité élevée,0.5 g,en quantité modérée,+1%,+2%,+4%,-17%,-17%,27,+2%,E,+2%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,,,,,,,
657,Poivre sauvage - Ethiquable - 45g,3760091728630,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Symbole des Producteurs Paysans']",['France'],[],[],?,?,?,?,?,45 g,,,,,,['Ethiquable'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre']",,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,
658,3271470753414,3271470753414,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Vanilla ice cream goat,17012683,,['France'],[],[],?,?,?,?,?,,,,,,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,
660,LePatatine - Conad,8003170059375,,['France'],[],[],?,480,23,59,8,,2008 kj(480 kcal),2,"0,5",1,"0,4",['Conad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Collection 1902 ananas Victoria de la Réunion - Thiriet - 500mL(390g),3292590516260,"['Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"[""Purée d'ananas Victoria de l'île de la Réunion 60%"", 'eau', 'sucre', 'sirop de glucose', 'jus de citron', 'épaississants : farine de caroube - gomme guar']",[],?,88,~ 0,22,~ 0,500mL(390g),368 kj(88 kcal),~ 0,20,~ 0,0,['Thiriet'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', ""Sorbets à l'ananas""]",,-29%,-100%,-21%,-100%,,C,"['Bac plastique', 'Fourreau carton', 'Surgelé']","[""Ananas de l'Ile de la Réunion""]",,,['Thiriet'],4,0 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0 g,en faible quantité,-29%,-100%,-7%,-100%,-100%,4,-20%,C,-20%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,"['E410 - Gomme de caroube', 'E412 - Gomme de guar']",,Sorbet à l'ananas,,,,
662,Biere trois chariots blanche,3770004616039,,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
