,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,labels,traceability_code,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,additives,allergens,nova_score,markets,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail
1485,Kombucha lime et ginger,6000000000001,['France'],[],[],?,18,75 kj(18 kcal),"0,5","0,1","4,3","4,3","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Moelleux au chocolat essaada,6191433001239,['France'],[],[],?,?,,?,,?,,?,,,,,['Essaada'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",,,,,,,,D,,,,,,,,,,,,,,,,,,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,,,
1487,Pack café presto,6191429100212,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,2481114014172,2481114014172,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Paleo bar,8436539323204,['France'],[],[],?,360,1506 kj(360 kcal),11,"0,6",53,41,"6,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Thon à la sauce tomate pimenté,6111162002734,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Popohm,,['France'],[],[],?,980,4100 kj(980 kcal),2,1,26,9,1,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Saucisse Montbéliard IGP,0200326030242,['France'],[],[],?,268,1121 kj(268 kcal),"21,4",8,"0,4","0,4",18,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Moutarde fine à la pomme,3770012244248,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Yaourt brassé à la main banane - Quidarré,3760140940266,['France'],[],[],?,?,,?,,?,,?,0,0,,,['Quidarré'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Lune de miel,84846266,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,JOLIS CŒUR DE FAVARGER,7610296812206,['France'],[],[],?,498,2084 kj(498 kcal),35,16,40,38,5,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,saucisson foie gras,3468373601014,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Crousty Breizh tandoori,3770006152450,['France'],[],[],?,542,2268 kj(542 kcal),"34,2","3,7","46,2","0,08","9,4","2,43","0,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,"SAO TOME 31% au caramel, amandes et cannelle",0210000063848,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,"SAO TOME 31% au caramel, amandes et cannelle",0210000063848,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Le sfogliette dorate,8002333018877,['France'],[],[],?,451,1887 kj(451 kcal),15,"1,6",69,1,"8,6","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,FrIPA Bière sans gluten,7310070003669,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,"Linguine, sauce tomate crémée & grana padano - Seazon",3701456304427,['France'],[],[],?,131,548 kj(131 kcal),5,2,17,1,4,1,"0,4",,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Arachides wasabi,2451785006301,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Veau,2299156040864,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Babu,5603802400532,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Saucisse catalane,2411222030313,['France'],[],[],?,225,941 kj(225 kcal),18,"6,5","0,6",0,16,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Poids cassés,3276350022529,['France'],[],[],?,394,1648 kj(394 kcal),"2,4","0,2","58,2","1,9","22,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Caramel de Normandie,3374605210919,['France'],[],[],?,429,1795 kj(429 kcal),"12,4","8,1","76,3","53,5","3,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Queso tierno mezcla madurado graso elaborado,8433329043731,['France'],[],[],?,366,1531 kj(366 kcal),21,"0,8",30,0,23,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Chili ol,8719200174832,['France'],[],[],?,828,3464 kj(828 kcal),92,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Montlait,5547332339972,['France'],[],[],?,46,192 kj(46 kcal),"1,6",1,"4,8","4,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Multi vitamines,0637913630514,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Terrine de pintade (fois gras),3393190036544,['France'],[],[],?,225,941 kj(225 kcal),17,7,"1,3","0,5",17,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Tourte de papi,0201016019356,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Grattons lyonnais,2628451025151,['France'],[],[],?,675,2824 kj(675 kcal),59,25,"2,9","0,5",33,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,"Saint-Jacques, cèpes, poivre de Penja",3760007090516,['France'],[],[],?,144.3,604 kj(144 kcal),"10,2","6,5","1,6","1,1","11,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Aromatisation,03755853,['France'],[],[],?,396,1657 kj(396 kcal),"0,5","0,1","92,5","91,1","5,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Conf . visciolata Agrimontana,8013999061961,['France'],[],[],?,258,1079 kj(258 kcal),0,0,62,60,"0,9",0,0,,,['Agrimontana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,+16%,-100%,+15%,+40%,,,D,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,+16%,-100%,+16%,-100%,-100%,12,+22%,D,+22%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,,,,
1520,Verrines a la truite et fromage fouetté  au saumon,3760105177164,['France'],[],[],?,192,803 kj(192 kcal),15,"7,6",23,22,12,"1,06","0,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Les Amandines,3275179245096,['France'],[],[],?,548,2293 kj(548 kcal),37,12,39,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Tisane de plantes aromatiques des Pyrénées (Thym),3770004427888,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Big Time Cup Drink Bubblegum,50595358,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,Tortelloni avec ricotta et épinards,8000562350515,['France'],[],[],?,291,1218 kj(291 kcal),"1,5","1,5",50,"2,1","12,1","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Chateau Roc de Perruchon -,3306380132506,['France'],[],[],?,?,,?,0,?,0,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,D,,,,,,,,,,-100%,-100%,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,
1526,Boquerones,8414982009258,['France'],[],[],?,135,565 kj(135 kcal),"3,9","1,2","0,5","0,5","24,6","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Protéine vegan,0669203324155,['France'],[],[],?,?,,?,,?,,?,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Chips de pomme,937679,['France'],[],[],?,365,1527 kj(365 kcal),"0,5","0,1",79,72,"2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Gambas peladas gigantes,8433329090087,['France'],[],[],?,53,222 kj(53 kcal),"0,8","0,3",0,0,11,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Pocket Ananas Passion Gingembre,3451790016752,['France'],[],[],?,59,247 kj(59 kcal),"0,01",0,"10,8","10,5",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Sour yutty,8697436529209,['France'],[],[],?,11,46 kj(11 kcal),11,"0,8",62,62,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Assortiment de chocolats crunchy,3588400262411,['France'],[],[],?,533,2230 kj(533 kcal),30,"13,8","60,8",57,"4,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Napolitan wafers,5310115009399,['France'],[],[],?,529,2213 kj(529 kcal),"28,52","14,13","61,66","37,15","5,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Amnesia,3770019344002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Cabernet Sauvignon,3760053360823,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Defesa do esporão,5601989979476,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Confiseries & chocolats,3102621013364,['France'],[],[],?,466,1950 kj(466 kcal),22,"5,7",58,48,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Holy fruits,3325352055001,['France'],[],[],?,1176,4920 kj(1176 kcal),"0,32","0,08","67,3","55,7","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Barbe à papa,0200030285938,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Mixto Asturiano,8413719005044,['France'],[],[],?,456,1908 kj(456 kcal),"38,7",14,"10,7","0,97","16,23","3,46","1,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Strawberry Surprise Jelly,9300619501129,['France'],[],[],?,84,351 kj(84 kcal),1,1,"15,4","15,2","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Salade piémontaise a l'epaule - 4,3345100005355,['France'],[],[],?,?,,?,,?,,?,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,0038000249891,0038000249891,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Foie gras d'Alsace,3760237750037,['France'],[],[],?,581.88,2435 kj(581 kcal),"61,24","27,14","1,53","1,21","5,75","1,61","0,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,02761510,02761510,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Cuisse de dinde,2860071024736,['France'],[],[],?,151,632 kj(151 kcal),"7,4","2,2",0,0,21,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Confiture Figue pomme canelle,3760323680002,['France'],[],[],?,223,933 kj(223 kcal),"0,5","0,1",53,52,1,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Il pane Carasau Guttuiau,8006287002876,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Belvita - Framboos en Chiazaad,7622201406134,['France'],[],[],?,441,1845 kj(441 kcal),14,"1,6",67,23,"8,2","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Papaye cube déshydratée,2600127021520,['France'],[],[],?,342,1431 kj(342 kcal),0,0,85,76,0,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Comte AOP 16 mois,2030316003189,['France'],[],[],?,412,1724 kj(412 kcal),34,22,"0,5","0,5",27,"0,69","0,276",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,-2%,-2%,+8%,+0%,,,D,34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.69 g,en quantité modérée,-1%,-3%,+87%,-18%,-18%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
1552,Jus de clémentines,3760186971378,['France'],[],[],?,47,197 kj(47 kcal),"0,1",0,11,10,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Thé,3325331003610,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Gel douche dove shea,8712561804356,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,"Yaourt sucré, aux fruits aromatisé - Yoplait - 2080g",3329770064010,['France'],"['Yaourt ', 'LAIT écrémé à base de poudre de LAIT - LAIT écrémé - CREME - Poudre de LAIT écrémé - Ferments LACTIQUES ', 'LAIT', ' - Fruits : Fraise 10', '8% ou Cerise 8% ou Mûre 8% ou Framboise 8% - Sucre 9', '1% - Eau - Amidon transformé de maïs - Jus de carotte - Epaississant : Carraghénanes - Arômes naturels - Concentré des minéraux du LAIT', ""LAIT d'origine France""]",['Non végétalien'],391,93,391 kj(93 kcal),"2,5","1,6","13,3","12,8","3,3","0,12","0,048",2080 g,['16 yaourts'],"['Yoplait', 'Panier recette classique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourt aromatisé aux fruits non allégé en matières grasses']",-4%,-7%,-20%,-1%,-10%,,,B,2.5 g,en faible quantité,1.6 g,en quantité modérée,12.8 g,en quantité élevée,0.12 g,en faible quantité,-6%,-19%,+3%,+5%,+5%,2,-28%,B,-28%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"Yaourt sucré, aux fruits aromatisé","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,,['France'],,,,,
1556,Raw crunch granola,0628504873038,['France'],[],[],?,500,2092 kj(500 kcal),"43,3","23,3",20,"3,3",10,"0,283","0,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Plaque en sucre Baby Shower,5026281715476,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Filet de bacon fumé,3250392967734,['France'],[],[],?,130,544 kj(130 kcal),4,"1,7","0,7","0,7","22,9","3,16","1,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Magred de cannard,2167997005796,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Crema al pistacchio,8388776588840,['France'],[],[],?,596,2494 kj(596 kcal),"43,8","11,4","40,6","40,6","2,7","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Rhubarbe aux amandes,3470410025073,['France'],[],[],?,243,1017 kj(243 kcal),"1,3","0,1",56,55,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Les deux béliers - Ce pas co - 500g,3102870019858,['France'],[],[],?,?,,?,,?,,?,,,500 g,['papiers et plastique'],['Ce pas co'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés de ceylan']",,,,,,,,B,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,['Sri Lanka'],,,,,
1563,Jambon à l’ancienne,0255382031818,['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,purée de pommes bio - domaine Saint ange peyrins - 700g,3760238640092,['France'],['100 % puree de pommes bio'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,700 g,['Verre'],['domaine Saint ange peyrins'],,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Jus d’orange,3770004173648,['France'],[],[],?,46,192 kj(46 kcal),0,0,11,11,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Suisse pepites de chocolat,0295066017714,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Olive nere al forno,3076820005126,['France'],[],[],?,311,1301 kj(311 kcal),30,"3,9","4,5",1,"2,1","7,25","2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Confiture extra mûres et groseilles,3123456203836,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Sesamo semi,8003240267099,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Gougères camembert,0600753815779,['France'],[],[],?,250,1046 kj(250 kcal),18,12,"7,9",0,14,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Maquereaux coeurs d'artichauts et carottes,3660088145931,['France'],[],[],?,204,854 kj(204 kcal),16,"2,5",2,0,12,"0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,3443551900080,3443551900080,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Filet de Haddock dans colorant,2869722020400,['France'],[],[],?,79,331 kj(79 kcal),"0,6","0,1","0,5","0,1",18,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,Jambon  sec,2447404069536,['France'],[],[],?,169,707 kj(169 kcal),"4,3","1,44","0,4","0,4","31,2","5,18","2,072",,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,-28%,-66%,-32%,+8%,,,E,4.3 g,en quantité modérée,1.44 g,en faible quantité,0.4 g,en faible quantité,5.18 g,en quantité élevée,-28%,-70%,+7%,+3%,+3%,13,-22%,D,-22%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,
1575,Nems aux lentins de chêne,2216028045468,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,Figues protoben séchées,3398240121225,['France'],[],[],?,217,908 kj(217 kcal),4,0,55,0,"6,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,BEIGNETS AUX FRAMBOISES  X 12,,['France'],[],[],?,318,1331 kj(318 kcal),"9,7","1,5",50,20,20,"0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Pains au chocolat,0298011019023,['France'],[],[],?,380,1590 kj(380 kcal),22,14,39,12,"6,6","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,REBLOCHON DE SAVOIE,2297703037466,['France'],[],[],?,325,1360 kj(325 kcal),27,19,0,0,20,13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Paris-Brest,3511243110007,['France'],[],[],?,281,1176 kj(281 kcal),17,9,27,19,13,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Tassimo,0011555445536,['France'],[],[],?,28,117 kj(28 kcal),"1,3","0,9","3,6","3,6","0,2","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Galette frangipane,0220269025587,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Cuisse de dinde,2124891002672,['France'],[],[],?,164,686 kj(164 kcal),10,"3,6","0,5","0,5",18,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Galette Nutella,3404144444541,['France'],[],[],?,416,1741 kj(416 kcal),23,15,47,41,"3,2","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,Caffeine+taurine,5999076234196,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,beurre moule bio - le hameau,3278310007,['France'],[],[],?,?,,?,,?,,?,,,,,['le hameau'],,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,12 oeufs frais bio,3493011053733,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Whey protein,3003302,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Craquants aux amandes,3247221185001,['France'],[],[],?,431,1803 kj(431 kcal),0,0,71,0,11,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,Tartelette orange jelly,8719992179527,['France'],[],[],?,527,2205 kj(527 kcal),32,2,62,58,3,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,Escalope de dinde,2227489023421,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,D,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,
1592,L Sauce bolognaise végétale au soja Bio,3329489901651,['France'],[],[],?,66,276 kj(66 kcal),3,"1,2","3,8","3,4","4,9",1,"0,4",,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,Aiguillettes végétales au piment d’Espelette - Les nouveaux fermiers - 1kg,3770016162265,['France'],"['Eau', 'concentré de protéine de SOJA', ""huile d'olive"", 'arôme naturel', 'épices', 'sel', 'poudre de tomate', ""Piment d'Espelette A"", 'O', 'P', ' ', '0,5%', 'herbes', 'fibres végétales', ' Ce produit peut contenir des traces de: Gluten', 'Fruits à coque', 'Céleri et Moutarde']",[],?,?,,?,,?,,?,,,1kg,['Carton'],['Les nouveaux fermiers'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Steaks végétaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Soja']",4,,,,,,,
1594,nirvana noir - Rapunzel,4006040105251,['France'],[],[],?,567,2372 kj(567 kcal),38,17,47,5,5,"6,1","2,44",,,['Rapunzel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
