,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,packaging,traceability_code,ingredients_origins,quantity,generic_name,additives,allergens,nova_score,manufacturing,markets,link,palm_ingredients
311,Cuisses de poulet rôties,0217618033652,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],[],10.3 g,en quantité modérée,2.8 g,en quantité modérée,0.8 g,en faible quantité,1.5 g,en quantité modérée,?,,173,-9%,724 kj(173 kcal),-10%,"10,3",-17%,"2,8",-16%,"0,8",+152%,"0,8",+416%,"19,2",+4%,"1,5",+97%,"0,6",+97%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,
312,Échine de porc marinade Kentucky,2418822045525,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
313,Tapenade d'olives noires,3760322650006,C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,['France'],[],[],22.1 g,en quantité élevée,3.1 g,en quantité modérée,1.4 g,en faible quantité,3.3 g,en quantité élevée,?,,228,-17%,954 kj(228 kcal),-17%,"22,1",-18%,"3,1",-12%,"2,3",-27%,"1,4",+200%,"2,3",+31%,"3,3",+5%,"1,32",+5%,15,+1%,D,+1%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,
314,Caviar d'aubergines au cumin,3760322650129,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",,['France'],[],[],29.7 g,en quantité élevée,3.6 g,en quantité modérée,3.4 g,en faible quantité,0.6 g,en quantité modérée,?,,295,+59%,1234 kj(295 kcal),+60%,"29,7",+78%,"3,6",+73%,"3,4",-36%,"3,4",+14%,"1,6",+3%,"0,6",-47%,"0,24",-47%,8,+21%,C,+21%,,,,,,,,,,,,,,,,,,,,
315,Cassoulet a la basquaise et piment d’espelette,7141047201654,,,,['France'],[],[],,,,,,,,,?,,124,,519 kj(124 kcal),,"5,4",,"1,8",,"7,1",,"0,5",,"9,1",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
316,Panna cotta - Delhaize,5400119540971,,,,['France'],[],[],,,,,,,,,?,,241,,1008 kj(241 kcal),,12,,"7,9",,27,,19,,"3,2",,"0,12",,"0,048",,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,
317,Hardouin Jambon Persillé,2234844002625,,,,['France'],[],[],,,,,,,,,?,,140,,586 kj(140 kcal),,"7,2",,"2,6",,"0,7",,"0,5",,18,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
318,Dulce de Leche,8014397003218,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,['France'],[],[],5.9 g,en quantité modérée,4.3 g,en quantité modérée,43 g,en quantité élevée,0.36 g,en quantité modérée,?,,310,+4%,1297 kj(310 kcal),+5%,"5,9",+6%,"4,3",+33%,"56,7",+3%,43,-15%,"5,5",-15%,"0,36",+7%,"0,144",+7%,17,+2%,D,+2%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,,,,,,,,,,,,,
319,Galettes fines,3760269153622,,,,['France'],[],[],,,,,,,,,?,,482,,2017 kj(482 kcal),,"19,9",,"13,8",,"70,3",,"27,1",,"6,2",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
320,Mojito ball,3116740034858,,,,['France'],[],[],,,,,,,,,?,,99,,414 kj(99 kcal),,"0,1",,0,,95,,59,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
321,Marques De Arienzo Crianza Tinto,8410869452001,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,['Botella'],,,,,,,,,,,
322,Filets de poulet,0211994048743,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 24.547.003 CE', 'Terrasson-Lavilledieu (Dordogne, France)']",,,,,,,,,,
323,Merguez,2271992032012,,,,['France'],[],[],,,,,,,,,?,,233,,975 kj(233 kcal),,19,,"8,2",,"0,5",,"0,5",,15,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
324,Le pétillant,2020100004164,,,,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,"0,8",,"0,1",,11,,"10,9",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Pasima,9789403207803,,['Non alimentaire'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Coco Cube Moelleux,0204341020479,,,,['France'],[],[],,,,,,,,,?,,374,,1565 kj(374 kcal),,1,,1,,5,,3,,3,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,
327,"Ebly bio couscous, quinoa & graines de lin",2487464303157,,,['Bio'],['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"1,3",,"0,2",,23,,"0,8",,"3,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Base de pizza napolitana,8437016518397,,,,['France'],[],[],,,,,,,,,?,,233,,975 kj(233 kcal),,"5,4",,"0,9",,41,,"0,9",,"5,2",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
329,Preparation muffins choco - Patisdecor,3700105285049,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,384,,1607 kj(384 kcal),,"4,5",,"1,6",,"73,3",,"45,6",,"9,5",,"1,13",,"0,452",,,,,,,,,,,,,['Patisdecor'],,,,,,,,,,,,
330,Saint Genix,2030000025701,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
