,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,packaging,traceability_code,ingredients_origins,quantity,generic_name,additives,allergens,nova_score,manufacturing,markets,link,palm_ingredients
95,Fruit-tella au jus de fruit,87278521,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ROAR plant based ice cream,3274664142063,,,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],,,,,,,,,?,,217,,908 kj(217 kcal),,"8,2",,"6,6",,34,,20,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Manger pour poisson,3180198067447,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Longuets pepites de chocolat,3178530420128,,,,['France'],[],[],,,,,,,,,?,,541,,2264 kj(541 kcal),,31,,15,,55,,33,,"9,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
99,Pate a sucre,3700392472818,,,,['France'],[],[],,,,,,,,,?,,399,,1669 kj(399 kcal),,7,,"3,5",,82,,76,,"0,1",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,
100,Creme sterilisee UHT,3279753701824,,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,35,,"24,5",,3,,3,,23,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
101,Amande poudre blanche,3700194070052,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,['France'],[],[],49 g,en quantité élevée,3.7 g,en quantité modérée,3.8 g,en faible quantité,,,?,,575,-8%,2406 kj(575 kcal),-7%,49,-8%,"3,7",-12%,"5,3",-39%,"3,8",-10%,21,-9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,GUIMAUVES CRICKS,2600687011412,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",,['France'],[],[],19 g,en quantité modérée,13 g,en quantité élevée,51 g,en quantité élevée,0.14 g,en faible quantité,?,,433,+23%,1812 kj(433 kcal),+22%,19,+485%,13,+577%,61,-20%,51,-20%,4,+10%,"0,14",+146%,"0,056",+146%,25,+58%,E,+58%,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,,,,,,,,,,,,,
103,Mimolette,2240318021917,,,,['France'],[],[],,,,,,,,,?,,998,,4176 kj(998 kcal),,30,,21,,0,,0,,32,,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,
104,Arachides grillées enrobées de sucre,2600117029857,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Tartinades de Framboises - World of Chia - 255mL,0862709000237,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,"3,33",,,,"66,7",,"53,3",,?,,,,,,,,,,,,,,,,,['World of Chia'],,,,255 mL,,,,,,,,
106,Lait cru - Ferme de la Tour de Franque - 1l,3760213330116,D,"['Produits laitiers', 'Laits', 'Laits non-homogénéisés', 'Laits cru']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Ferme de la Tour de Franque'],"['Plastique', 'Frais']",,,1 l,,,,,,,,
107,Spiruline,3770006129087,E,"['Compléments alimentaires', 'Spiruline']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,
108,Merguez,2434674044158,,,,['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,21,,10,,"2,4",,"1,3",,14,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
109,Tonic,8056736060087,,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,"8,6",,"8,6",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
110,Gaufres de Liège,3770014543066,,,,['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,19,,"18,3",,51,,24,,7,,"1,12",,"0,448",,,,,,,,,,,,,,,,,,,,,,,,,
111,Saucisse à griller au fromage,2683718034444,,,,['France'],[],[],,,,,,,,,?,,244,,1021 kj(244 kcal),,19,,"8,7",,3,,1,,15,,"1,36",,"0,544",,,,,,,,,,,,,,,"['FR 54.061.001 CE', 'Bénaménil (Meurthe-et-Moselle, France)']",,,,,,,,,,
112,Rosette,2422643035757,,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"29,8",,"13,4",,"1,2",,"0,5",,"31,1",,"4,4",,"1,76",,,,,,,,,,,,,,,,,,,,,,,,,
113,Pastèque cube,2641015012596,,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,0,,0,,"7,3",,"6,7",,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
114,Guarana,3578835500653,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Gnocchi Sardi,3760084011046,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,"1,1",,"0,2",,78,,"0,3",,"8,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
116,Chocolat noir dégustation - Mes Trésors Bio - 100g,3760239184861,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Végétarien', 'Bio européen', 'Commerce équitable', 'Agriculture non UE', 'Végétalien', 'AB Agriculture Biologique', 'BE-BIO-03', 'Max Havelaar']",['France'],[],"['Végétalien', 'Végétarien']",38 g,en quantité élevée,13 g,en quantité élevée,35 g,en quantité élevée,0 g,en faible quantité,?,,541,-3%,2264 kj(541 kcal),-2%,38,-4%,13,-44%,42,+9%,35,+10%,7,-9%,0,-100%,0,-100%,18,-15%,D,-15%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Mes Trésors Bio'],,,,100 g,,,,,,,,
117,Merguez,2422615045265,,,,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,"24,4",,"10,1",,"2,7",,"0,6",,"12,1",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,
118,BRESAOLA,2296564057729,,,,['France'],[],[],,,,,,,,,?,,173,,724 kj(173 kcal),,"5,7",,2,,"0,4",,"0,4",,"31,8",,"5,6",,"2,24",,,,,,,,,,,,,,,,,,,,,,,,,
119,Frippons,0203432017718,,,,['France'],[],[],,,,,,,,,?,,465,,1946 kj(465 kcal),,25,,12,,51,,23,,"7,5",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,,
120,Super et pur miel naturel,04073,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Gums,2099995694552,,,,['France'],[],[],,,,,,,,,?,,362.20001220703,,1515 kj(362 kcal),,0,,0,,"91,5",,"74,5",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
122,All Activity Drink,87222050,,,,['France'],[],[],,,,,,,,,?,,59,,247 kj(59 kcal),,0,,0,,"14,8",,"14,5",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Filet de poulet,0213400036474,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
124,Tarre pomme,0269129019618,,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,"8,1",,"5,5",,32,,17,,"1,6",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,,
125,Infusion vata - Herbesan,3428883691509,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,8,,33 kj(8 kcal),,"0,5",,"0,1",,0,,0,,"0,5",,,,,,,,,,,,,,,,,['Herbesan'],,,,,,,,,,,,
126,Prime whey,5404017400788,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Escalope de Poulet,2447040024739,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Bio kitchen,8719153032746,,,['Bio'],['France'],[],[],,,,,,,,,?,,233,,975 kj(233 kcal),,"0,4",,0,,56,,55,,"1,4",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,
129,Biscuit le tegolette,8002963230458,,,,['France'],[],[],,,,,,,,,?,,514,,2151 kj(514 kcal),,27,,"13,1",,"60,4",,"29,7",,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,VSLMN,5021821000012,,,,['France'],[],[],,,,,,,,,?,,144,,602 kj(144 kcal),,11,,"1,7",,"8,6",,"0,5",,"2,7",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
131,Biere barley wine,7141214530884,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Barres bio good goût kids,53233592,,,['Bio'],['France'],[],[],,,,,,,,,?,,517,,2163 kj(517 kcal),,"34,5",,"2,5",,"36,1",,"29,6",,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Saint Médard,0206172108234,,,,['France'],[],[],,,,,,,,,?,,275,,1151 kj(275 kcal),,20,,12,,21,,8,,3,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,
134,Trompettes sèches,3700140801051,,,,['France'],[],[],,,,,,,,,?,,255,,1067 kj(255 kcal),,5,,2,,"14,5",,"10,5",,18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
135,Escalope de dinde,2600281007156,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],[],0.8 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,109,-10%,456 kj(109 kcal),-10%,"0,8",-39%,"0,4",-1%,"0,5",-83%,"0,5",-35%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
136,Ail coupe surgele,3060731015800,,,,['France'],[],[],,,,,,,,,?,,154,,644 kj(154 kcal),,"4,5",,"0,7",,"20,8",,"1,2",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,aliment complet spesial betta,7001025046113,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Maroilles en tranchettes,2287770004089,,,,['France'],[],[],,,,,,,,,?,,318,,1331 kj(318 kcal),,21,,0,,0,,0,,21,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,
139,Poulet naturel,8718347232290,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Bananes séchées biologique,3398240084551,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,384,,1607 kj(384 kcal),,"1,8",,"0,7",,82,,"47,3",,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Chorizo Frais - Hiruak,2474756036411,,,,['France'],[],[],,,,,,,,,?,,305,,1276 kj(305 kcal),,25,,"8,8",,"4,3",,"1,8",,16,,"1,9",,"0,76",,,,,,,,,,,,,['Hiruak'],,,,,,,,,,,,
142,Soupe de poissons,3193840053323,E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,['France'],[],[],1.2 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en faible quantité,1.3 g,en quantité modérée,?,,40,-17%,167 kj(40 kcal),-16%,"1,2",-37%,"0,2",-55%,"0,9",-51%,"0,6",-8%,"6,1",+18%,"1,3",+47%,"0,52",+47%,2,+129%,B,+129%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,
143,Pate de foie,2889752013326,,,,['France'],[],[],,,,,,,,,?,,1110,,4644 kj(1110 kcal),,24,,0,,"1,8",,"1,8",,18,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
144,Lamelles séchées d'ananas Victoria,3760281370267,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Ribs de boeuf marinade barbecue,2660499077730,,,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,20,,"9,1",,"5,1",,"4,1",,16,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
146,Confiture fruits du Portugal Beirabaga,5602132656978,,,,['France'],[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,0,,0,,75,,72,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
147,Gesiers d'oies confits,3276341120265,,,,['France'],[],[],,,,,,,,,?,,152,,636 kj(152 kcal),,"2,5",,"0,9",,0,,0,,"32,4",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,
148,Comté,2860060024808,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.93 g,en quantité modérée,?,,427,+2%,1787 kj(427 kcal),+2%,35,+1%,24,+6%,"0,5",+8%,"0,5",+87%,28,+4%,"0,93",+11%,"0,372",+11%,14,+8%,D,+8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
149,Crozets,3760218500095,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Crozets']",,['France'],[],[],2.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,333,-5%,1393 kj(333 kcal),-5%,"2,2",-5%,0,-100%,"65,9",-4%,0,-100%,"11,5",-7%,0,-100%,0,-100%,-1,,A,,,,,,,,,,,,,,,,,,,,,
150,Chorizo frais - Hiruak,2474756036602,,,,['France'],[],[],,,,,,,,,?,,305,,1276 kj(305 kcal),,25,,"8,8",,"4,3",,"1,8",,16,,"1,9",,"0,76",,,,,,,,,,,,,['Hiruak'],,,,,,,,,,,,
151,Gratins de crabe - Tipiak,3282740218410,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Tipiak'],,,,,,,,,,,,
152,Roulade de volaille,3760114534477,,,['Fabriqué en France'],['France'],[],[],,,,,,,,,?,,107,,448 kj(107 kcal),,"3,4",,1,,"6,8",,"2,2",,12,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,
153,Friandise,7613036335041,,,,['France'],[],[],,,,,,,,,?,,0.40000000596046,,2 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
154,Donuts,2644846017389,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,['France'],[],[],17 g,en quantité modérée,8.9 g,en quantité élevée,2.2 g,en faible quantité,1.2 g,en quantité modérée,?,,368,-10%,1540 kj(368 kcal),-10%,17,-25%,"8,9",-16%,47,+5%,"2,2",-87%,"5,5",-7%,"1,2",+26%,"0,48",+26%,17,-13%,D,-13%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,
155,Ganchitos,8414397972123,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,JP Chenet Ice Sparkling Non Vintage Rose Wine 20 CL,3500610096655,,,,['France'],[],[],,,,,,,,,?,,11,,46 kj(11 kcal),,20,,12,,10,,3,,1,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
157,Fruit and nuit mix,5400606993198,,,,['France'],[],[],,,,,,,,,?,,414,,1732 kj(414 kcal),,"20,5",,"1,7",,"45,3",,"38,5",,"8,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
158,Mapîvos,5200109640205,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
159,Rosé prestige,3221580062920,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Basak Pumpkinsoup,8690906006163,,,,['France'],[],[],,,,,,,,,?,,20.299999237061,,85 kj(20 kcal),,"0,2",,"0,05",,"4,1",,"0,6",,"0,45",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
161,Tenders de filet de poulet,3456846314554,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],14.8 g,en quantité modérée,3.4 g,en quantité modérée,1.8 g,en faible quantité,1.2 g,en quantité modérée,?,,248,+89%,1038 kj(248 kcal),+91%,"14,8",+414%,"3,4",+356%,"14,8",+2990%,"1,8",+641%,"13,3",-42%,"1,2",+60%,"0,48",+60%,11,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
162,Escalopes de poulet jaune,3250392914943,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Sorbet fraise,3760316040080,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Euro Truck Simulator 2,3700664521879,,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,6,,6,,4,,3,,8,,9,,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,
165,Mousse pur canard,0295907014827,,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,36,,12,,4,,4,,9,,2,,"0,8",,,,,,,,,,,,,,,"['EMB 22272F', ""Saint-Agathon (Côtes-d'Armor, France)"", 'FR 22.272.020 CE', ""Saint-Agathon (Côtes-d'Armor, France)""]",,,,,,,,,,
166,Terrine Campagnarde,3193840055143,,,,['France'],[],[],,,,,,,,,?,,251.89999389648,,1054 kj(251 kcal),,21,,"7,2",,"1,3",,0,,15,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
167,Coulis extra fruits exotiques,3385630111621,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,121,,506 kj(121 kcal),,"0,5",,0,,28,,26,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,4045251003017,4045251003017,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Frutti fel cappero,8032615271089,,,,['France'],[],[],,,,,,,,,?,,31.799999237061,,133 kj(31 kcal),,"0,4",,"0,1",,4,,"3,5",,"2,2",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,,,
170,Coctail de la mer,3426430001573,,,,['France'],[],[],,,,,,,,,?,,118,,494 kj(118 kcal),,"4,2",,"0,8",,"1,5",,0,,"18,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,
171,Foie gras entier de canard - Guyader,3016740107371,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,['France'],[],[],57 g,en quantité élevée,23 g,en quantité élevée,1.8 g,en faible quantité,1.1 g,en quantité modérée,?,,547,+3%,2289 kj(547 kcal),+4%,57,+5%,23,-1%,"1,8",-24%,"1,8",+36%,"6,6",-12%,"1,1",-8%,"0,44",-8%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Guyader'],,,,,,,,,,,,
172,Samossas végétariens surgelés,3507983300037,E,"['Plats préparés', 'Samoussas']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,,['Sachet en plastique'],,,,,,,,,,,
173,Abricot sec,2600110017196,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,
174,Chouquettes,0204755015092,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"9,5",,"5,6",,37,,27,,"5,1",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,,,
175,Céleri rémoulade - Bonduelle,13862954,B,"['Plats préparés', 'Légumes préparés', 'Céleris Rémoulade']",,['France'],[],[],13 g,en quantité modérée,1 g,en faible quantité,2 g,en faible quantité,0.5 g,en quantité modérée,?,,145,+12%,607 kj(145 kcal),+12%,13,+12%,1,+1%,"3,5",+7%,2,+15%,2,+65%,"0,5",-50%,"0,2",-50%,2,-42%,B,-42%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,['Bonduelle'],,,,,,,,,,,,
176,Jus mangue orange,5391151354452,,,,['France'],[],[],,,,,,,,,?,,18,,75 kj(18 kcal),,"0,5",,"0,1",,44,,"3,9",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Emmental GD PAVOIS,0207303025451,,,,['France'],[],[],,,,,,,,,?,,396,,1657 kj(396 kcal),,32,,20,,0,,0,,27,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
178,Brillant savarin affiné,0211212031168,,,,['France'],[],[],,,,,,,,,?,,355,,1485 kj(355 kcal),,36,,26,,"1,9",,0,,"8,1",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
179,agar agar - samia - 4g,01334449,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', ""Produits à base d'algues"", 'Agar-agar']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,['Samia'],,,,4g,,,,,,,,
180,Gateau breton du pays de douarnez,3760068440077,,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,"20,8",,"13,8",,"57,9",,"28,4",,"4,5",,"0,93",,"0,372",,,,,,,,,,,,,,,,,,,,,,,,,
181,Livarot Aoc Aoc Pyrogravé 20 %,3254550034337,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Livarot']",,['France'],[],[],22 g,en quantité élevée,0 g,en faible quantité,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,294,+1%,1230 kj(294 kcal),+2%,22,+1%,0,-100%,"0,5",+26%,"0,5",+26%,24,+1%,"1,6",-2%,"0,64",-2%,5,-67%,C,-67%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
182,Yaourts,2062788240007,,,,['France'],[],[],,,,,,,,,?,,83,,347 kj(83 kcal),,"2,7",,"1,8",,12,,10,,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Citron,2800639004077,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Beignet chocolat,0204514012799,,,,['France'],[],[],,,,,,,,,?,,404,,1690 kj(404 kcal),,20,,"2,4",,35,,"1,5",,"5,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
185,Mozarella cossettes cora,3257986760191,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,['France'],[],[],22 g,en quantité élevée,15 g,en quantité élevée,0.6 g,en faible quantité,1.1 g,en quantité modérée,?,,312,+20%,1305 kj(312 kcal),+21%,22,+6%,15,+7%,"2,6",+152%,"0,6",-20%,26,+55%,"1,1",+63%,"0,44",+63%,12,+18%,D,+18%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Cora'],,,,,,,,,,,,
186,Sésame blanc,8425842401198,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"82,1",,"49,8",,"0,6",,"0,6",,"0,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
187,3665092007459,3665092007459,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Crunchy marshmallow,0200030245376,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Comté,2481234027038,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,35,+1%,23,+1%,0,-100%,0,-100%,27,+0%,"0,9",+7%,"0,36",+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
190,Confiture Fraise,3760302930098,,,,['France'],[],[],,,,,,,,,?,,211,,883 kj(211 kcal),,"0,5",,"0,1",,51,,50,,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Les gourmandises de Sophie,3700345906155,,,,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,14,,14,,"8,2",,2,,63,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
