,name,bar_code,eco_score,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,brand_owner,ingredients_origins,markets,generic_name,link,palm_ingredients,producer_info,origin_detail
836,Tutti Free,5256052205,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Petites bouteilles saveur cola - Leader Price - 110g,3263852323018,E,110g,['Leader Price'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['Bio'],['France'],"['Sirop de glucose*-sucre*-amidon de mais* - gélifiant : carraghénanes acidifiants : acid citrique', ""acide lactique - correcteur d'acidite citrates de sodium arôme naturel sirop de sucre caramélisé*"", ' Amidon de blé', "" *Ingrédients issús de l'agriculture biologique"", ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']",[],4,0 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0.37 g,en quantité modérée,?,,345,+0%,1443 kj(345 kcal),+0%,0,-100%,0,-100%,85,+6%,62,+8%,0,-100%,"0,37",+222%,"0,148",+222%,15,+6%,D,+6%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['sachet individuel'],,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique']",,,,['Leader Price'],,,,,
838,Doigt sesame - Maayane,3700029206076,,,['Maayane'],,,['France'],[],[],,,,,,,,,,?,,494,,2067 kj(494 kcal),,"21,5",,"14,3",,"64,5",,23,,"9,7",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,
839,"Foie gras entier, recette à l'ancienne - Maison Montfort - 160g",3104544071353,A,160g,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']","['Fabriqué en France', 'IGP', 'IGP Sud-Ouest']",['France'],"['foie gras de canard ', 'origine France', 'sel', 'poivres 0,3%', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,54 g,en quantité élevée,23 g,en quantité élevée,0.9 g,en faible quantité,1.2 g,en quantité modérée,?,,528,-0%,2209 kj(528 kcal),-0%,54,-1%,23,-0%,"2,7",+12%,"0,9",-33%,"7,6",+1%,"1,2",0%,"0,48",0%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Bocal verre'],"['Mauboourguet', 'France']",,,,,['Origine France'],,,,,,
840,Choucroute Garnie Supérieure PREMIUM,3252832603318,C,,,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",,['France'],[],[],,11 g,en quantité modérée,4.4 g,en quantité modérée,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,129,+13%,540 kj(129 kcal),+15%,11,+30%,"4,4",+38%,"0,9",-59%,"0,9",+55%,"6,4",+17%,"1,8",+36%,"0,72",+36%,12,+112%,D,+112%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,,,,,,
841,Pizza aux 5 fromages - Franprix - 380g,3263858079315,C,380 g,['Franprix'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux cinq fromages']",,['France'],"['Pâte cuite 43,1% ', ""farine de blé eau semoule de blé dur - huile d'olive vierge - sel - levure"", ' - mozzarella 16,8% - purée de tomates mi-réduite 11,7% - eau Gorgonzola décongelé 5,8% - emmental 4,2% - tomates cerise semi-déshydratées et marinées décongelées 3,9% ', 'tomates cerise - huile de colza sel', ' olives noires confites avec noyau 2,4 % ', 'olives eau sel stabilisant: gluconate ferreux', ' farine de blé Parmigiano Reggiano 1,2% - Grana Padano 1,2% ', ""lait de vache - sel - présure conservateur: lysozyme d'oeuf"", "" origan déshydraté basilic déshydraté - purée d'ail - sel - huile d'olive vierge"", ' Traces de crustacés', 'mollusques', 'moutarde', 'poisson et fruits à coque']","['Non végétalien', 'Non végétarien']",3,7.3 g,en quantité modérée,4 g,en quantité modérée,3 g,en faible quantité,1 g,en quantité modérée,?,,238,-2%,996 kj(238 kcal),-2%,"7,3",-23%,4,-19%,31,+14%,3,+6%,11,-1%,1,-19%,"0,4",-19%,4,-60%,C,-60%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,,,"['E579 - Gluconate de fer', 'E1105 - Lysozyme']",['Lait'],,,['Franprix'],,,,,
842,Gratin dauphinois - Delhaize,5400112297209,B,,['Delhaize'],"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",,"['Belgique', 'France']",[],[],,7.1 g,en quantité modérée,4.1 g,en quantité modérée,1.6 g,en faible quantité,0.8 g,en quantité modérée,?,,121,+2%,506 kj(121 kcal),+3%,"7,1",+23%,"4,1",+14%,"11,6",+4%,"1,6",-1%,"2,1",-38%,"0,8",+13%,"0,32",+13%,7,+49%,C,+49%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,['Delhaize'],,,,,
843,Alpen Frischkase - Rapunzel - 175g,4006040412120,,175 g,['Rapunzel'],,"['Bio', 'Bio européen', 'AT-BIO-902']",['France'],"['Frischkäse', 'Meersalz']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,,?,,245,,1025 kj(245 kcal),,24,,15,,"2,3",,"2,3",,5,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,
844,Mozzarella,8032668580466,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,['France'],[],[],,18 g,en quantité modérée,12 g,en quantité élevée,2 g,en faible quantité,0.76 g,en quantité modérée,?,,256,-2%,1071 kj(256 kcal),-1%,18,-13%,12,-14%,2,+94%,2,+166%,"21,5",+28%,"0,76",+13%,"0,304",+13%,11,+8%,D,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
845,Dahl de lentilles corail -,3770007763518,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale""]",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,4 portions de Filet de cabillaud - Thiriet - 400g,3292590843496,,400 g,['Thiriet'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']","['Sans arête', 'Sans peau']",['France'],[],[],,0.2 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.27 g,en faible quantité,?,,72,-38%,301 kj(72 kcal),-36%,"0,2",-93%,"0,1",-75%,"0,1",-98%,"0,1",-80%,17,+9%,"0,27",-43%,"0,108",-43%,-4,,A,,,,,,,,,"['Carton', 'Surgelé']",,,,,,,['Thiriet'],,,,,
847,Palette de porc cuite,2211322060285,,,,,,['France'],[],[],,,,,,,,,,?,,186,,778 kj(186 kcal),,14,,"4,8",,0,,0,,15,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,
848,Deluxe Dessert Milchschokolade - 60g,20434748,,60 g,,['Desserts'],"['Agriculture durable', 'Fabriqué en Belgique', 'en:UTZ Certified']",['France'],[],[],,24.3 g,en quantité élevée,16.7 g,en quantité élevée,24.9 g,en quantité élevée,0.26 g,en faible quantité,?,,344,+94%,1439 kj(344 kcal),+95%,"24,3",+258%,"16,7",+363%,"27,1",+14%,"24,9",+35%,"3,3",+4%,"0,26",+95%,"0,104",+95%,20,+195%,E,+195%,,,,,,,,,,,,,,,,,,,,
849,Saucisses de Strasbourg fumée BIO - Herta,7613036695091,E,,['Herta'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",['Bio'],"['Belgique', 'France']",[],[],,24 g,en quantité élevée,8.2 g,en quantité élevée,0.9 g,en faible quantité,1.9 g,en quantité élevée,?,,275,+0%,1151 kj(275 kcal),+0%,24,-1%,"8,2",-11%,"1,3",-9%,"0,9",-20%,"13,5",+7%,"1,9",-2%,"0,76",-2%,19,-1%,E,-1%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,,['Delhaize'],,,,,
850,3760172577829,3760172577829,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Soup asparagus - Fountain,5425005964013,,,['Fountain'],,,['France'],[],[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,12,,"1,3",,"65,4",,12,,"1,8",,"11,4",,"4,56",,,,,,,,,,,,,,,,,,,,,,,,,
852,Oignons Rosés De Bretagne,3327189999961,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Cuisses de canard - Duc De Pressac,3432770043456,D,,['Duc De Pressac'],"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,
854,Soupe Joséphine,3770005485054,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans colorants']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,Sandwitch Poulet Bacon Grillé,5425016572535,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Filippo Berio,8002210127302,,,['Filippo Berio'],,,['France'],[],[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,46,,"4,1",,"5,5",,"2,4",,"5,3",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
857,Tripes à la mode de Caen - Paul & Louise,3379670014868,E,,['Paul & Louise'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés en conserve', 'Spécialités à base de tripes', 'Tripes à la mode de Caen']",['Bio'],['France'],[],[],,2.9 g,en faible quantité,1.4 g,en faible quantité,0.2 g,en faible quantité,1 g,en quantité modérée,?,,367,+194%,1536 kj(367 kcal),+218%,"2,9",-11%,"1,4",-7%,"0,6",+17%,"0,2",-41%,"14,7",-17%,1,-15%,"0,4",-15%,4,+158%,C,+158%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,['Conserve'],,,,,,,,,,,,
858,Pain au seigle 500 g moulé,3760042681212,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,,,,,,,
859,Thé vert en filaments au jasmin - Sultan,6111069000314,,,['Sultan'],,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
860,Jus de mandarine -,4316268503907,D,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de mandarine', 'Jus de mandarine pur jus']",,"['France', 'Allemagne']",[],[],,0.1 g,en faible quantité,0.1 g,en faible quantité,10.7 g,en quantité élevée,0.01 g,en faible quantité,?,,49,+4%,205 kj(49 kcal),+5%,"0,1",-39%,"0,1",+107%,"10,7",-2%,"10,7",+9%,"0,7",+11%,"0,01",+167%,"0,004",+167%,5,+43%,C,+43%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
861,Pizza végétarienne sapresti,3287390079961,,,['Sapresti'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas végétariennes']",,['France'],[],[],,5.2 g,en quantité modérée,2.3 g,en quantité modérée,2.8 g,en faible quantité,1 g,en quantité modérée,?,,160,-30%,669 kj(160 kcal),-30%,"5,2",-38%,"2,3",-41%,20,-26%,"2,8",-5%,"7,2",-30%,1,-20%,"0,4",-20%,3,-61%,C,-61%,,,,,,,,,,,,,,,,,,,,
862,Miel de chataignier BIO - Les ruchers du Luberon - 370g,3760009390225,A,370g,['Les ruchers du Luberon'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-16', 'AB Agriculture Biologique']",['France'],['100% miel BIO de châtaignier'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Pot en verre'],"['Produit et récolté en Italie', 'Mis en pot en Provence']",,,['Aucun'],,['Italie'],,Miel de chataignier BIO,,,,
863,Santal envie de riz - 1litre,3155251208655,,1 litre,['Santal'],,['Sans gluten'],['France'],"['eau', 'riz ', '12%', ' maltodextrine', 'huile de tournesol', 'phosphate tricalcique', 'stabilisant : gomme gellane', 'vitamines : C', 'E', 'D2', 'B12', 'acide folique', 'sel de mer', 'arôme naturel', 'sans gluten']",['Sans huile de palme'],4,,,,,,,,,?,,52,,218 kj(52 kcal),,"0,9",,0,,11,,"3,5",,"0,5",,"0,08",,"0,032",,,,,,,,,,,,,['bouteille plastique'],,,['E418 - Gomme gellane'],,,,['Intermarché'],,,,,
864,Bolitas de Coco - La Estepeña,8410282205048,,,['La Estepeña'],,,['France'],[],[],,,,,,,,,,?,,447,,1870 kj(447 kcal),,"21,47",,"16,87",,"59,99",,"55,42",,3,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,
865,Shortbread,5011038136291,C,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",,['France'],[],[],,28.6 g,en quantité élevée,17.1 g,en quantité élevée,18 g,en quantité élevée,0.9 g,en quantité modérée,?,,519,+0%,2171 kj(519 kcal),+0%,"28,6",+2%,"17,1",+2%,57,-6%,18,-6%,"7,7",+39%,"0,9",+36%,"0,36",+36%,22,+4%,E,+4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,
866,Sauté de légumes au poulet - Auchan - 400g,3596710464128,D,400 g,['Auchan'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats à la volaille', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']","['Nutriscore', 'Nutriscore B']",['France'],"['Riz Basmati cuit 39,6% ', 'eau', 'riz 17,6 % ', 'filet de poulet 19,2%', 'oignons 5,5%', 'mini épis de mais 3,2%', 'pois mange tout 3,2%', 'poivrons rouges 3,2%', 'pousses de bambous 3,2% sauce soja 3,2% ', 'eau', 'graines de soja', 'sel', 'sucre', 'farine de blé', 'huile de soja', 'champignons de Paris 1,8%', 'champignons oreilles de judas 1,7%', 'sucre', 'oeufs', 'pâte de piments rouges haches 1,4%', 'fécule de pommes de terre', 'ail', 'gingembre', ' stabilisants : gomme guar', 'gomme xanthane', ' dextrose', 'huile de tournesol', 'sel', 'graines de sésame 0,3%', 'colorant: caroténoides', ' Traces éventuelles de crustacés', 'poissons', 'arachides', 'lait', 'fruits à coque', 'céleri', 'moutarde et mollusques', ' Pourcentages exprimés sur le total de la recette', ' Élaboré à partir de poulet origine UE']","['Non végétalien', 'Non végétarien']",4,4.9 g,en quantité modérée,0.8 g,en faible quantité,3.9 g,en faible quantité,0.8 g,en quantité modérée,?,,138,-11%,577 kj(138 kcal),-9%,"4,9",+7%,"0,8",-48%,17,-11%,"3,9",+164%,"5,5",-15%,"0,8",+0%,"0,32",+0%,1,-42%,B,-42%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,"['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160 - Caroténoïdes']","['Œufs', 'Gluten', 'Graines de sésame', 'Soja']",,,['Auchan'],,,,,
867,Velouté d'asperge,3700238314166,,,,,,['France'],[],[],,,,,,,,,,?,,472,,1975 kj(472 kcal),,"2,3",,"1,6",,5,,"0,4",,"1,2",,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,,,,,,,
868,Courge butternut,3700617201056,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Patum Peperium the Gentleman's Relish,50967506,,,,,,['France'],[],[],,,,,,,,,,?,,255,,1067 kj(255 kcal),,19,,13,,"6,4",,"1,4",,13,,"18,6",,"7,44",,,,,,,,,,,,,,,,,,,,,,,,,
870,Sopa pollo con arroz - Kania,20760236,,,['Kania'],"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées']",,"['France', 'Espagne']",[],[],,,,,,,,,,?,,25,-81%,105 kj(25 kcal),-82%,"0,1",-96%,0,-100%,"5,3",-76%,"0,1",-97%,"0,6",-84%,"0,57",-81%,"0,228",-81%,,,,,,,,,,,,,,,,,,,,,,,,
871,Sirop violette - Monin,3052910034573,A,,['Monin'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de violette']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,"['Bouteille', 'Verre']",,,,,,,,,,,,
872,tomates concasséesla valle,8004854099038,,,,,,['France'],[],[],,,,,,,,,,?,,20,,84 kj(20 kcal),,"0,2",,0,,3,,3,,"0,9",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
873,Chocolat corse dessert 64% - Auchan,3596710727315,E,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['France'],[],[],,40 g,en quantité élevée,25 g,en quantité élevée,37 g,en quantité élevée,0.01 g,en faible quantité,?,,566,+2%,2368 kj(566 kcal),+2%,40,+2%,25,+8%,40,+4%,37,+17%,"7,1",-7%,"0,01",-79%,"0,004",-79%,25,+18%,E,+18%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,['Auchan'],,,,,
874,Bloc foie gras de canard - Maison Montfort - 160g,3104544070523,A,160g,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",['Origine France'],['France'],"['foie gras de canard ', 'origine France', 'eau', 'Sauternes 1,8%', 'sel', 'poivres ', 'dont poivre de Timut 0,04%', 'sucre', 'curcuma', 'antioxydant : ascorbate de sodium', 'gingembre', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,485,-5%,2029 kj(485 kcal),-5%,50,-5%,21,-7%,"2,3",-1%,"0,9",-33%,6,-14%,"1,1",-9%,"0,44",-9%,20,-3%,E,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Barquette'],['France'],,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
875,Crackers aux Olives,3502904576911,,,,,,['France'],[],[],,,,,,,,,,?,,440,,1841 kj(440 kcal),,14,,"4,5",,68,,2,,9,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
876,Paillettes chocolat,3543020090585,,,,,,['France'],[],[],,,,,,,,,,?,,454,,1900 kj(454 kcal),,"15,19",,"9,44",,"69,25",,"65,48",,"5,3",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
877,Nopal - 200g,3373020051275,,200 g,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Gingembre citron bio - 100g,3665206103817,,100 g,,,['Bio'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Paupiette de veau farcie,2232535038052,,,,,,['France'],[],[],,,,,,,,,,?,,218,,912 kj(218 kcal),,"15,6",,"6,5",,"3,1",,"0,4",,"16,2",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
880,Appenzeller surchoix,2488035028998,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de Suisse', 'Appenzeller']",,['France'],[],[],,31 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,422,+13%,1766 kj(422 kcal),+13%,31,+2%,21,+21%,1,+6%,0,-100%,28,+12%,"1,7",+11%,"0,68",+11%,17,+16%,D,+16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
881,thé de noël - Dammann Frères - 100g,3259920056957,A,100g,['Dammann Frères'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,['France'],"['Thé noir', 'écorces d’orange', 'arômes ', 'marasquin', 'caramel', 'ananas', ' et huile essentielle d’orange douce']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Boîte métal'],,,,,,,,,,,,
882,Palette de porc demi sel,3266110069307,,,,,,['France'],[],[],,,,,,,,,,?,,144,,602 kj(144 kcal),,"8,3",,"3,4",,"0,4",,"0,4",,17,,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,
883,Panettone Glacé aux Amandes -,8006073278874,C,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['France'],"['Farine de blé', 'raisins secs*', 'beurre*', 'glacage* ', 'sucre de canne*', 'amandes*', 'sucre en grains*', ""albumen d'œuf*"", ""farine d'amande*"", 'farine de riz*', 'farine de blé', 'sucre de canne*', ""Jaune d'œuf*"", 'levain naturel* ', 'farine de blé*', 'eau', 'œuf* ', 'émulsifiant: lécithine de tournesol', ""malt d'orge*"", 'sel marin', ""huile essentielle d'agrumes*"", 'extraits de gousse de vanille*', "" * Issu de l'agriculture biologique""]",['Non végétalien'],4,17 g,en quantité modérée,9.6 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en quantité modérée,?,,397,+6%,1661 kj(397 kcal),+6%,17,+13%,"9,6",+7%,52,+1%,19,-27%,"7,7",+13%,"0,5",+13%,"0,2",+13%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['Sachet', 'Plastique']",,,['E322i - Lécithine'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,Produit sucré au levain naturel - Panettone Glacé aux Amandes,,,,
884,Effiloché de Dinde,3770011093120,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,,?,,203,,849 kj(203 kcal),,"11,21",,"4,11",,"3,01",,"1,9",,"22,46",,"2,36",,"0,944",,,,,,,,,,,,,,,,,,,,,,,,,
885,Solan De Cabras Naranja - 330ml,8411547000927,,330 ml,['SOLAN DE CABRAS'],,,['France'],[],[],,,,,,,,,,?,,18,,75 kj(18 kcal),,0,,0,,"4,1",,"3,3",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
886,Pickwick Rooibos Original,8711000264607,,,,,"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Kiwi deshydraté -  - 300g,3590281230755,,300 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,67 g,en quantité élevée,0.6 g,en quantité modérée,?,,374,+11%,1565 kj(374 kcal),+11%,0,-100%,0,-100%,92,+58%,67,+55%,1,-76%,"0,6",+584%,"0,24",+584%,11,+130%,D,+130%,,,,,,,,,,,,,,,,,,,,
888,Biscuits façon petits beurre,3701145650217,,,,,,['France'],[],[],,,,,,,,,,?,,426,,1782 kj(426 kcal),,16,,"7,7",,38,,"9,1",,31,,"0,86",,"0,344",,,,,,,,,,,,,,,,,,,,,,,,,
889,Mélange Fruits sec grillés salés - 200g,3700650901364,,200 g,,,,['France'],[],[],,,,,,,,,,?,,636,,2661 kj(636 kcal),,"54,6",,"8,8",,"8,4",,"5,9",,"24,2",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
890,Biscuits morceaux d'Orange,0660989030674,C,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,['France'],[],[],,21.6 g,en quantité élevée,10.3 g,en quantité élevée,17.4 g,en quantité élevée,1.04 g,en quantité modérée,?,,477,+1%,1996 kj(477 kcal),+0%,"21,6",+4%,"10,3",+2%,"40,8",-36%,"17,4",-41%,29,+346%,"1,04",+77%,"0,416",+77%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,
891,Thee Vanilla Flav Rooibos TD,3700324412998,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Café soluble - Cora,3257983527735,E,,['Cora'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,['France'],[],[],,,,,,,,,,?,,479,+274%,2004 kj(479 kcal),+227%,20,+567%,14,+511%,65,+181%,20,+40%,"7,3",+58%,0,-100%,0,-100%,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,,['Cora'],,,,,
893,Thym Laurier,3363299235537,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,VEAU A LA TOMATE ET RIZ - Nutrisens - 290g,3701052004349,,290 g,['Nutrisens'],,"['en:gluten-free', 'Sans colorants', 'Sans lactose', 'Sans conservateurs']",['France'],[],[],,,,,,,,,,?,,69,,289 kj(69 kcal),,"1,9",,"0,6",,"8,4",,"1,6",,"4,1",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
