,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,generic_name,packaging,ingredients_origins,nova_score,manufacturing,additives,allergens,brand_owner,link,palm_ingredients
565,Saucisson de viande maigre fumé,5604925003181,['France'],[],[],?,139,582 kj(139 kcal),4,"1,4","0,6","0,5",25,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,"Éclats de fêtes, thé noir, roses et bleuets",3700111078734,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Piperade - 750g,3760059621461,['France'],[],[],?,51,213 kj(51 kcal),"2,9","0,4","5,1","3,9","1,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 g,,,,,,,,,,,,
568,Fromage P'tit Basque,0299678068294,['France'],[],[],?,413,1728 kj(413 kcal),"35,9","25,5","0,2","0,2","22,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 64.314.100 CE', 'Larceveau-Arros-Cibits (Pyrénées-Atlantiques, France)']",,,,,,,,,,,
569,Olives à la romaine,2609806016994,['France'],[],[],?,175,732 kj(175 kcal),18,"3,2","1,8","0,6","1,4","4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Ball's emmental - 1kg,3701004805147,['France'],[],[],?,327,1368 kj(327 kcal),16,6,33,30,12,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,
571,Lupins en vrac,2600165029120,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Mimolette croute naturelle,2480087012994,['France'],[],[],?,336,1406 kj(336 kcal),24,"16,3","1,5","0,5",29,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Petit cake,0850007535032,['France'],[],[],?,130,544 kj(130 kcal),7,2,15,9,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Vin rosé domaine Chabbert,3512871614424,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,
575,Vinaigre,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Bananes -,2250140001155,['France'],[],[],?,?,,?,,?,,?,,,,A,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,['Sachet'],,,,,,,,
577,Vitalis,15533609,['France'],[],[],?,436,1824 kj(436 kcal),16,"1,8",55,"5,9",13,"0,17","0,068",,,['Vitalis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Interstellar,5051889529828,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Aiguillette de Canard Gers,2604194045465,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Canards', 'Aiguillettes de canard']",,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,
580,Melange pour chili bio cambresis,3388550000846,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Cretan extra virgin olive oil,5200118280232,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-9%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
582,Sigur köfte,9120054460825,['France'],[],[],?,272,1138 kj(272 kcal),"21,8","8,2","7,5","0,6","11,6","1,6","0,64",['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Mini pizza,8008443100020,['France'],[],[],?,275,1151 kj(275 kcal),10,4,34,"4,4",11,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Tapenade d'olives noires,6191404300170,['France'],[],[],?,0,0 kj(0 kcal),0,0,13,0,0,"2,7","1,08",,C,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.7 g,en quantité élevée,,-100%,-100%,-100%,-100%,+315%,-100%,-100%,-14%,-14%,10,-32%,C,-32%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,
585,Jambon à l'ancienne,2252505027428,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,5,-49%,C,-49%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['FR 80.798.003 CE', 'Villers-Bocage (Somme, France)']",,,,,,,,,,,
586,Quaker Old Fashioned Oatmeal 510G,0038527590308,['France'],[],[],?,371,1552 kj(371 kcal),7,1,68,"1,4","13,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Taralli à l'oeuf,8017377004427,['France'],[],[],?,410,1715 kj(410 kcal),9,3,68,13,12,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Paleta de bellota ibérica raza ibérica cortada a mano lonchas,8436045400062,['France'],[],[],?,335,1402 kj(335 kcal),"22,2","6,53","0,5",0,"32,2","3,48","1,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Comté,3378101852109,['France'],[],[],?,836,3498 kj(836 kcal),70,46,0,0,27,1,"0,4",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",70 g,en quantité élevée,46 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+100%,+100%,+102%,+103%,-100%,-100%,+0%,+19%,+19%,19,+46%,E,+46%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
590,NutriNoisette,3306419128586,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Mustard mayonnaise - Lidl,20846466,['France'],[],[],?,277,1159 kj(277 kcal),"26,8","2,3","7,1","2,6","1,6","1,09","0,436",,D,['Lidl'],"['Epicerie', 'Sauces', 'Mayonnaises']",26.8 g,en quantité élevée,2.3 g,en quantité modérée,2.6 g,en faible quantité,1.09 g,en quantité modérée,,-55%,-55%,-60%,-63%,+164%,+78%,+30%,-18%,-18%,9,-50%,C,-50%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,
592,Jules'originals - Jules Destrooper - 150g,5410471914136,['France'],[],[],?,463,1937 kj(463 kcal),16,"8,8",73,39,"6,4","0,8","0,32",,,['Jules Destrooper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,,
