,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,generic_name,packaging,ingredients_origins,nova_score,manufacturing,additives,allergens,brand_owner,link,palm_ingredients
1582,poulet nourri aux graines de lin - Maître Coq,0215187041139,['France'],[],[],?,180,753 kj(180 kcal),12,"3,2",0,0,18,"0,21","0,084",,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Capsules de Café Arabica - Bonpreu,8422410107599,['France'],[],[],?,?,,?,,?,,?,,,,,['Bonpreu'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Purée thaï,3701303900468,['France'],[],[],?,131,548 kj(131 kcal),10,"1,5",7,3,0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,Pita chips,0074203991014,"['France', 'États-Unis']","['Enriched wheat flour ', 'wheat flour', 'malted barley flour', 'niacin', 'reduced iron', 'thiamine mononitrate', 'riboflavin', 'folic acid', 'water', 'high oleic sunflower oil', 'contains 2% or less of each of the following: natural flavor', 'ascorbic acid', 'sea salt', 'yeast']",[],?,464,1941 kj(464 kcal),"12,5",0,"71,43",0,"10,71","1,608","0,643",,,,['Snacks'],12.5 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.61 g,en quantité élevée,,+3%,+3%,-40%,-100%,+27%,-100%,+70%,+206%,+206%,9,-50%,C,-50%,,,,,,,,,,,,,,3,,,['Gluten'],BAKED IN BROOKLYN,,
1586,Andouillette de troyes,2661421071703,['France'],[],[],?,222,929 kj(222 kcal),"16,3","8,1","0,5",0,"18,8","1,5","0,6",,E,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de Troyes']",16.3 g,en quantité modérée,8.1 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-6%,-5%,-7%,-1%,+15%,-100%,+2%,-17%,-17%,16,-8%,D,-8%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,,,,
1587,pâté de campagne aux cèpes,3417460101845,['France'],[],[],?,327,1368 kj(327 kcal),29,10,"2,4","0,8",14,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Pain au chocolat,3477320002651,['France'],[],[],?,393,1644 kj(393 kcal),"18,5","7,4","50,1","50,1","6,5","1,76","0,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Saucisson,3303820500192,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,Atún en aceite de oliva,24005623,['France'],[],[],?,226,946 kj(226 kcal),16,"1,6","0,5",0,20,"1,5","0,6",,E,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", ""Thons pales à l'huile d'olive""]",16 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,,-18%,-18%,-21%,-49%,+48%,,-10%,+65%,+65%,4,-33%,C,-33%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,,,,,,
1591,Soupe de poissons Grisaille de l'île de Groix - Groix & Nature,3760056418002,['France'],[],[],?,32,134 kj(32 kcal),"1,1",0,"0,9","0,6","4,6","0,7","0,28",,E,['Groix & Nature'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",1.1 g,en faible quantité,0 g,en faible quantité,0.6 g,en faible quantité,0.7 g,en quantité modérée,,-33%,-33%,-42%,-100%,-51%,-8%,-11%,-21%,-21%,1,+15%,B,+15%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,
1592,Jus de Bouleau -,4260007245729,['France'],[],[],?,23,96 kj(23 kcal),0,0,"6,33","6,3",0,"0,01","0,004",,,,['Jus de bouleau'],0 g,en faible quantité,0 g,en faible quantité,6.3 g,en quantité modérée,0.01 g,en faible quantité,,,,,,,,,,,1,,B,,,,,,,,,,,,,,,,,,,,,
1593,Yummy - Prozis,5600499504987,['France'],[],[],?,216,904 kj(216 kcal),0,0,54,"4,6",0,"0,07","0,028",,,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Saint Emilion,3192040473085,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,Magdalenas artesanas sin gluten - 250g,8436541921214,['France'],[],[],?,396,1657 kj(396 kcal),"19,1","2,5","50,4","27,4","4,2","0,97","0,388","['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
1596,Jambon traditionnel - Saint Alby,2205887002637,['France'],[],[],?,125,523 kj(125 kcal),"4,5","1,5",1,"0,5",20,"1,9","0,76",,,['Saint Alby'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Cuisses de poulet rôti - Le Gaulois,0217637035958,['France'],[],[],?,168,703 kj(168 kcal),10,"2,6",0,0,19,"1,4","0,56",,D,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,,-12%,-12%,-19%,-22%,-100%,-100%,+3%,+84%,+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1598,Nestlé,7613035194168,['France'],[],[],?,?,,?,,?,,?,,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Mini tropezienne praliné,0204266019619,['France'],[],[],?,311,1301 kj(311 kcal),14,6,41,23,"4,7","0,6","0,24",,,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",14 g,en quantité modérée,6 g,en quantité élevée,23 g,en quantité élevée,0.6 g,en quantité modérée,,+13%,+13%,+37%,-12%,+5%,+14%,+10%,+20%,+20%,15,-1%,D,-1%,,,,,,,,,,,,,,,,,,,,
1600,Palets Gianduja Extra-Fin,0012868536720,['France'],[],[],?,601,2515 kj(601 kcal),44,20,40,39,"8,8","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Dos de lieu,0222043022560,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Brownies CHOCOLAT NOIR,0201592023617,['France'],[],[],?,470,1966 kj(470 kcal),29,11,45,36,"5,8","0,06","0,024",,D,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",29 g,en quantité élevée,11 g,en quantité élevée,36 g,en quantité élevée,0.06 g,en faible quantité,,+4%,+3%,+13%,+34%,-6%,+5%,-2%,-84%,-84%,22,+15%,E,+15%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,
1603,Pour.tomme noire igp,0204750012867,['France'],[],[],?,346,1448 kj(346 kcal),28,20,"1,5",0,22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Confiture extra de figue menthe douce,3245310069041,['France'],[],[],?,0,0 kj(0 kcal),0,0,56,55,"0,7",0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",0 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,,-100%,-100%,-100%,-100%,+1%,+4%,-5%,-100%,-100%,9,-5%,C,-5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
1605,Loc'Ale,3770009728089,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Pâte à tartiner noisette - Maison Perrotte,3701090800521,['France'],[],[],?,583,2439 kj(583 kcal),40,"8,3",45,45,"9,4","0,05","0,02",,,['Maison Perrotte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 49364B', 'Vaudelnay (Maine-et-Loire, France)']",,,,,,,,,,,
1607,Chocolate Milk - 2%,0034000830060,['France'],[],[],?,84,351 kj(84 kcal),"2,2","1,4","12,7","12,3","3,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Soleil Gascon,3270040354174,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Bio Möckli de boeuf - Migros,2153391006101,['France'],[],[],?,169,707 kj(169 kcal),"2,5",1,"1,5",1,35,"4,5","1,8",['Bio'],,['Migros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Migros'],,,,,,,,,,
1610,Lukum Haci Baba,6135303000588,['France'],[],[],?,356,1490 kj(356 kcal),"4,6",0,"86,01",0,"1,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Sorbet au cassis,8717524102340,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Comté,2093763047625,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1613,Saint Nectaire fermier au lait cru,2444495038113,['France'],[],[],?,332,1389 kj(332 kcal),27,18,"1,1","0,4",21,"1,5","0,6",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-Nectaire fermier']",27 g,en quantité élevée,18 g,en quantité élevée,0.4 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+1%,-5%,-9%,+5%,+22%,-4%,+28%,+28%,15,+12%,D,+12%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1614,Tariquet Premières Grives,3018970554543,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Cassoulet,3348800530134,['France'],[],[],?,95,397 kj(95 kcal),"4,05","1,45","3,31","0,41","10,78","1,37","0,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Amàdes  caramelisees sesame - Meyva - 250g,3418659880060,['France'],[],[],?,558,2335 kj(558 kcal),37,5,39,38,14,4,"1,6",,,['Meyva'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,"['EMB 94065Q', 'Rungis (Val-de-Marne, France)']",,,,,,,,,,,
1617,Segments d'orange au sirop - 950g,3700785002776,['France'],[],[],?,80,335 kj(80 kcal),"0,2",0,"17,8","17,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950 g,,,,,,,,,,,,
1618,Galettes Charentaises,3380790001683,['France'],[],[],?,332,1389 kj(332 kcal),13,"8,6",57,21,"7,9","0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Viande bovine bourguignon a mijoter - Auchan,0205590067895,['France'],[],[],?,5,21 kj(5 kcal),5,3,1,0,35,2,"0,8",,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,
1620,Shaun Le Mouton,5053083045586,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Pure Rosé - Igp Vins De La Méditerranée - 2014 - Rosé,3455090021829,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,
1622,Abricot nectar - Del Monte,0024000101710,['France'],[],[],?,61,255 kj(61 kcal),0,0,15,15,0,"0,02","0,008",,D,['Del Monte'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",0 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0.02 g,en faible quantité,,+15%,+15%,-100%,-100%,+21%,+27%,-100%,+89%,+89%,19,+25%,E,+25%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
1623,Aceite de oliva virgen extra,8437002687793,['France'],[],[],?,900,3766 kj(900 kcal),100,17,0,0,0,0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+21%,,,,-100%,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
1624,Pop corn sucré -,5002808048463,['France'],[],[],?,397,1661 kj(397 kcal),"3,6","0,6",84,26,"7,1","0,01","0,004",,B,,"['Snacks', 'Snacks sucrés', 'Popcorn', 'Popcorn sucré']",3.6 g,en quantité modérée,0.6 g,en faible quantité,26 g,en quantité élevée,0.01 g,en faible quantité,,-12%,-11%,-77%,-84%,+24%,-14%,+24%,-96%,-96%,5,-62%,C,-62%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,,,,,,,,
1625,Ma cabane au canada,3760286890081,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,beignets chocolat - 300g,2009000028937,['France'],[],['Sans huile de palme'],?,305,1276 kj(305 kcal),19,2,47,19,"6,6","0,71","0,284",['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
1627,Le Perussier,3770006426131,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Mini muffins Nature - Montes Lara,8410387015238,['France'],[],[],?,430,1799 kj(430 kcal),21,3,55,29,"4,9","0,81","0,324",,,['Montes Lara'],"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",21 g,en quantité élevée,3 g,en quantité modérée,29 g,en quantité élevée,0.81 g,en quantité modérée,,+9%,+8%,+4%,-20%,+13%,+8%,-6%,+9%,+9%,16,+4%,D,+4%,,,,,,,,,,,,,,,,,,,,
1629,Hummus (7 Poivres),0770333022207,['France'],[],[],?,?,,?,,?,,?,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Carton 30 Soupes Nouilles Vejia Boeuf 85G,3379147500801,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Confiture papaye - Royal Bourbon,3559509444268,['France'],[],[],?,55,230 kj(55 kcal),"0,5","0,1",55,55,"0,5","0,02","0,008",,,['Royal Bourbon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Navettes anis,3760068760304,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Pye´s HONEY,6009880322046,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Jus de Pomme Framboise,3760080520047,['France'],[],[],?,46,192 kj(46 kcal),0,0,12,11,0,0,0,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Cannelle biologique,9001604373560,['France'],[],"['Végétalien', 'Végétarien']",?,272,1138 kj(272 kcal),"3,2","0,9",56,33,0,"0,066","0,026","['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,Café a  boire,3700490891986,['France'],[],[],?,2,8 kj(2 kcal),"0,1","0,1","0,3",0,0,0,0,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Dejeunette x4 marque U,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Miel de Printemps,3520059914617,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
1639,Huus-Tee - Ramseier,7610057210388,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,['Ramseier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Caramel à tartiner,3760074040124,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Elixir Energétique N°07 Yang Du Metal - 50 ML -,3760103750079,['France'],[],[],?,3,13 kj(3 kcal),0,0,"0,8",0,"0,005",0,0,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Le Bon Paris à l'étouffée - 210g,7633035969566,['France'],[],[],?,105,439 kj(105 kcal),"2,5",1,"0,5","0,5",20,"1,8","0,72",,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",2.5 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-20%,-20%,-48%,-46%,-25%,-16%,-5%,-4%,-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,210 g,,,,,,,,,,,,
1643,Galette de maïs - Castelfood,8052742252003,['France'],[],[],?,401,1678 kj(401 kcal),"5,4","0,7",78,"0,7","8,4","0,5","0,2",['Sans gluten'],B,['Castelfood'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de maïs soufflé']",5.4 g,en quantité modérée,0.7 g,en faible quantité,0.7 g,en faible quantité,0.5 g,en quantité modérée,,+2%,+1%,+33%,-13%,-2%,-60%,+9%,+17%,+17%,-1,-167%,A,-167%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,,,,,,
1644,Croissants - Leclerc,,['France'],[],[],?,423,1770 kj(423 kcal),26,19,36,"6,4","8,9","0,89","0,356",['Point Vert'],B,['Leclerc'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants']",26 g,en quantité élevée,19 g,en quantité élevée,6.4 g,en quantité modérée,0.89 g,en quantité modérée,,+10%,+9%,+20%,+43%,-15%,-19%,+20%,-7%,-7%,19,+2%,E,+2%,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,,,,,,,,,,,,
1645,Maïs à popcorn - JusteBio,3700146208243,['France'],[],[],?,340,1423 kj(340 kcal),"3,4","0,6",62,"1,7","9,3","0,01","0,004","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,['JusteBio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Pain choco - Les-3-meuniers - 300g,0203178024605,['France'],[],[],?,436,1824 kj(436 kcal),27,18,40,12,"7,9","0,82","0,328",['AOP'],D,['Les-3-meuniers'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",27 g,en quantité élevée,18 g,en quantité élevée,12 g,en quantité modérée,0.82 g,en quantité modérée,,+10%,+10%,+23%,+35%,-5%,0%,+10%,-9%,-9%,20,+2%,E,+2%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,300 g,,,pains au chocolat,,,,,,,,,
1647,Poulet - Maître Coq,0215231059431,['France'],[],[],?,?,,?,,?,,?,,,,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Confiture de citrouille - Prisca - 250g,5605466919252,['France'],[],[],?,224,937 kj(224 kcal),"0,1","0,1",55,35,"0,5",0,0,,D,['Prisca'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits de la plante de courge', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Courges et dérivés', 'Confitures de citrouille']",0.1 g,en faible quantité,0.1 g,en faible quantité,35 g,en quantité élevée,0 g,en faible quantité,,+167%,+170%,-81%,-47%,+193%,+163%,-53%,-100%,-100%,7,,C,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,250 g,['PT I-343 CE'],,,,,,,,,,,
1649,Frouta yemista,5201004041180,['France'],[],[],?,487,2038 kj(487 kcal),21,11,68,33,"5,2","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,crevettes entieres cuites refrigerees,3306080004424,['France'],[],[],?,89,372 kj(89 kcal),"0,7","0,5","0,5","0,5","22,3","1,8","0,72",,D,,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes cuites', 'Crevettes entières', 'Crevettes entières cuites', 'Crevettes entières cuites réfrigérées']",0.7 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-30%,-30%,+8%,+14%,+16%,+155%,+1%,-7%,-7%,3,-40%,C,-40%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,,,,,
1651,Mirokumai,7730900890021,['France'],[],[],?,300,1255 kj(300 kcal),"0,3","0,05",80,"0,3",8,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Palette de porc fume,0238168045599,['France'],[],[],?,127,531 kj(127 kcal),"5,6","2,1","0,5","0,5","18,63","3,87","1,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,Corazones dulces de lechuga,8424134000095,['France'],[],[],?,14,59 kj(14 kcal),"0,3","0,1","1,3","1,3","1,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Filet mignon de porc - Picard,0201556037063,['France'],[],[],?,120,502 kj(120 kcal),"3,6","1,5",0,0,22,"0,11","0,044","['Viande Française', 'Viande Porcine Française']",,['Picard'],"['Viandes', 'Porc', 'Filets mignons de porc']",3.6 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,0.11 g,en faible quantité,,-5%,-5%,-4%,0%,-100%,-100%,+1%,-72%,-72%,-3,,A,,,,,,,,,,,['Picard'],,,,,,,,,,
1655,Pâte de Biryani - 175g,3265960410208,['France'],[],[],?,249,1042 kj(249 kcal),"20,9","1,7","9,3","1,9","2,8","9,6","3,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175 g,"['EMB 76377', 'Isneauville (Seine-Maritime, France)']",,,,,,,,,,,
1656,Nos soupes repas godaille du pêcheur.,3660088138537,['France'],[],[],?,46,192 kj(46 kcal),"1,8","0,37","3,2","0,8","4,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Brioche houlmoise,0238026012794,['France'],[],[],?,271,1134 kj(271 kcal),"9,2","4,7",34,"6,7",11,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Emmental bloc,2227421022048,['France'],[],[],?,369,1544 kj(369 kcal),29,19,0,0,27,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Melon déshydraté aromatisé,2600103020332,['France'],[],[],?,354,1481 kj(354 kcal),0,0,87,72,0,75,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Melon déshydraté'],,,,,,,,
1660,Vinaigre de vin rouge,3104180623015,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,
1661,Milton's Quality Baked Goods Healthy - Whole Grain Bread - 24oz,0606541920731,['France'],[],[],?,0,0 kj(0 kcal),"0,5",0,18,4,5,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 oz,,,,,,,,,,,,
1662,Sésame cookie - 115g,4710126010079,['France'],[],[],?,454,1900 kj(454 kcal),"12,5","6,4","76,8",29,"7,7","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 g,,,,,,,,,,,,
1663,Crème de marron,2027413070985,['France'],[],[],?,270,1130 kj(270 kcal),"0,8","0,2","63,6","50,2","1,3",0,0,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
