,name,bar_code,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_sugars_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,generic_name,nova_score,additives,brand_owner,origin_detail,producer_info,palm_ingredients
37,Feuilleté de lapin,3534255512430,,,,,,,,,['France'],[],,[],?,267,1117 kj(267 kcal),"17,1","8,1","18,7","9,2","1,2","0,48","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pomme d'Alsace - Fraisal - 6pièces,3541600000184,6 pièces,"['Sachet', 'Plastique']",['Fraisal'],"['France', 'Alsace']",,,,['Monoprix'],['France'],"['Pommes biologiques origine Alsace', 'France']",,[],?,?,,?,,?,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes fraîches']",,,,,,,,,,,,,,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Fabriqué en France']",,1,,,,,
39,viande hachée,9274763935614,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,
40,Tomates pelées concassées au jus (en cubes),3574980024259,,,,,,,,,['France'],[],,[],?,20,84 kj(20 kcal),"0,5","0,02","3,3","0,8","0,335","0,134","2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,
41,Petits choux de bruxelles - Priméale - 250g,3663362007055,250 g,,['Priméale'],,,,,,['France'],[],,[],?,38,159 kj(38 kcal),"0,5","0,1","4,5","2,55","0,1","0,04","1,74",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Choux de Bruxelles', 'Choux de Bruxelles frais']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.74 g,en faible quantité,0.1 g,en faible quantité,,-5%,-3%,-4%,-20%,+8%,-20%,-6%,-69%,-69%,-6,,A,,64.5%,0.0%,0.0%,15.9%,18.9%,0.8%,98,,,,,,,,
42,Poire Guyot 1KG - 1kg,3605265014914,1 kg,,,,,,,,['France'],[],,[],?,3,13 kj(3 kcal),26,23,62,15,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pierrot gourmand,3608580831945,,,['Pierrot Gourmand'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Bio prune Mix rouge/jaune - Bio'rigine - 5pièces,3661030086975,5 pièces,"['Barquette', 'Carton', 'Sachet', 'Plastique']","[""Bio'rigine"", 'Agribio']",['Espagne'],,,,['Monoprix'],['France'],['Prunes bio origine Espagne'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Prunes', 'Prunes fraîches']",,,,,,,,,,,,,,,,,,,,,,,92.5%,0.0%,0.0%,3.3%,3.2%,1.0%,63,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE']",,1,,,,,
45,Pastèque - Brio - 1pièce,3661949020237,1 pièce,,['Brio'],['Espagne'],,,,,['France'],[],,[],?,?,,?,,?,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Melons et pastèques', 'Pastèques']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",,,,,,,
46,Gatosport Bio Noisette 400G - 400g,3700153150610,400 g,,,,,,,,['France'],[],,[],?,410,1715 kj(410 kcal),"12,1","0,8",66,"7,2","0,28","0,112","35,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
