,name,bar_code,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_sugars_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,generic_name,nova_score,additives,brand_owner,origin_detail,producer_info,palm_ingredients
1595,Queues de crevettes cuites semi decortiquées marinées ail,2869643056816,,,,,,,,,['France'],[],,[],?,116,485 kj(116 kcal),"5,8","0,85","0,6","15,4","1,761","0,704","0,5",D,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Queues de crevettes', 'Crevettes décortiquées']",5.8 g,en quantité modérée,0.85 g,en faible quantité,0.5 g,en faible quantité,1.76 g,en quantité élevée,,+18%,+18%,+193%,+76%,+11%,+123%,-17%,+2%,+2%,3,-9%,C,-9%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,
1596,Filet de cabillaud -  - 2,2869802055896,2,,,,,"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,E,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",,,,,,,,,,,,,,,,,,,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,
1597,Queues de crevettes décortiquées cuites - Grand Frais,2869864038318,,['Plastique'],['Grand Frais'],['Inde'],['France'],"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,['Grand Frais'],['France'],"['ingredients CREVETTES', 'sel', 'antioxydant :E223', 'acidifiant E330']",['Crustacés'],[],?,95,397 kj(95 kcal),"0,5","0,5","0,5",22,"2,1","0,84",0,D,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Queues de crevettes']",0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,2.1 g,en quantité élevée,,-3%,-3%,-71%,+19%,-3%,-100%,+16%,+42%,+42%,5,+122%,C,+122%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Sans colorants'],,3,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,
1598,Noix de St Jacques blanches - Gfm - 180grammes,2869872047104,180grammes,,['Gfm'],,,"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,2869992034831,2869992034831,,,,,,"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,2869992034831,2869992034831,,,,,,"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Chiffonnade de jambon sec vpf de montagne - U - 0.102kg,2871722015942,0.102kg,,['U'],,,"['EMB 12063C', 'Cavalerie (Aveyron, France)', 'FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",,,['France'],[],,[],?,205,858 kj(205 kcal),10,"3,5","0,2",28,"6,8","2,72","0,1",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",10 g,en quantité modérée,3.5 g,en quantité modérée,0.1 g,en faible quantité,6.8 g,en quantité élevée,,-12%,-13%,-22%,-28%,-66%,-73%,-3%,+35%,+35%,15,-10%,D,-10%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,"['Viande Française', 'Viande Porcine Française']",,,,,,,
1602,Emmental francais - Biocoop,2871820020336,,,['Biocoop'],,,,,,['France'],[],,[],?,377,1577 kj(377 kcal),29,"17,5","0,5",29,"0,75","0,3","0,5",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",29 g,en quantité élevée,17.5 g,en quantité élevée,0.5 g,en faible quantité,0.75 g,en quantité modérée,,-1%,-0%,-2%,-12%,-18%,+6%,+5%,+27%,+27%,12,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Bio'],,,,,,,
1603,Reblochon,2873981026110,,,,,,"['FR 74.145.050 CE', 'Juvigny (Haute-Savoie, France)']",,,['France'],[],,[],?,334,1397 kj(334 kcal),28,20,"0,5",20,"1,4","0,56","0,5",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+3%,+3%,+4%,+6%,+36%,+121%,0%,+4%,+4%,15,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Point Vert'],,,,,,,
1604,2883923237887,2883923237887,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,2884758000004,2884758000004,,,,,,"['FR 35.054.001 CE', 'Chanteloup (Ille-et-Vilaine, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,2887534011355,2887534011355,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,2890584021069,2890584021069,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,2890734027620,2890734027620,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2890777021456,2890777021456,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,2890856033523,2890856033523,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Fourme d'ambert AOP,2891026010368,,,,,,,,,['France'],[],,[],?,336,1406 kj(336 kcal),28,"18,5","0,5",18,"1,2","0,48","0,5",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",28 g,en quantité élevée,18.5 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,-2%,-2%,-1%,-7%,-49%,+44%,-11%,-46%,-46%,14,-22%,D,-22%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
1612,Lammrücken - 1g,2891376021342,1 g,,,,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Hitschrücken - 1.4kg,2897822014388,1.4 kg,,,,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2904002013359,2904002013359,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Escalopes de poulet jaune - Grupo Sada halal - Poids au kilo 7€29,2906143006122,Poids au kilo 7€29,,['Grupo Sada halal'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,
1616,beignets moelleux à la framboise - carrefour city - 4,0202783017712,4,"['Barquette', 'film plastique']",['carrefour city'],,,,,"['carrefour city', 'Carrefour']",['France'],"['Pate 69% ', 'farine de BLE,OEUFS,huiles de colza et de tournesol,eau,sucre', ""levure jaunes d'OEUFS"", 'sel', ""émulsifiants mono et diglycerides d'acides gras et esters diacetyl-tartriques de monoglycérides d'acides gras "", 'colorant ', 'caroténoides,gluten de BLE', ' Fourrage 31 %:', 'purée de framboises 12,4%,sucre,purée de pom ne concentrée,conservateur', 'sorbate de potassium', ' \r', 'Traces éventuelles de : Soja,fruits à coque et lait', ' ']","['Œufs', 'Gluten']",['Non végétalien'],1254,?,1254 kj(300 kcal),11,"1,6",43,"5,5","0,65","0,26",16,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignet fourré aux fruits', 'Beignets sucrés', 'Beignets fourrés à la framboise', 'Beignets-decongeles']",11 g,en quantité modérée,1.6 g,en quantité modérée,16 g,en quantité élevée,0.65 g,en quantité modérée,,,+1%,+8%,-15%,-1%,+13%,-9%,-8%,-8%,5,-38%,C,-38%,,,,,,,,,Beignets fourrés à la purée de framboise,4,"['E160 - Caroténoïdes', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,
1617,Maiskolben - 2pcs,29046317,2pcs,,,,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2919813132070,2919813132070,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Magrets canard marinés tomate,2943870012309,,,,,,,,,['France'],[],,[],?,307,1284 kj(307 kcal),26,"8,6","3,3",15,"0,96","0,384",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Coeur de laitue - Florette - 200g,2957789373514,200 g,['Sachet plastique'],['Florette'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Aubergines à la provençale - Cassegrain - 100g,2958781282792,100g,,['Cassegrain'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Aubergines', 'Légumes préparés', 'Aubergines préparées', ""Ristes d'aubergines"", 'Aubergines à la provençale']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,"Brie - Cantorel - 1,094",2974154010940,"1,094",,['Cantorel'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
1623,Chorizo culât iberico xtra - Guijelo - 460,2984894005502,460,,['Guijelo'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Saucisson a l ail -,2989036008304,,,,,,,,,['France'],[],,[],?,279,1167 kj(279 kcal),21,10,1,22,4,"1,6",0,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",21 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,4 g,en quantité élevée,,+2%,+1%,-6%,+17%,-9%,-100%,+38%,+90%,+90%,22,+14%,E,+14%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,
1625,bavettes d aloyau - charal - 2,2992475002291,2,,['Charal'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,Corsica - 0.510g,2995020005105,0.510 g,,,['France'],,['2B-148-008'],,,['France'],[],,[],?,332,1389 kj(332 kcal),28,"19,9",0,20,"1,9","0,76",0,,['Produits laitiers'],28 g,en quantité élevée,19.9 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,,+34%,+38%,+56%,+67%,-100%,-100%,+61%,+147%,+147%,22,+116%,E,+116%,,,,,,,,,,,,,,,
1627,oignons rouges bio - 500gr,3000008042030,500 gr,,,,,,,,['France'],['oignons rouges bio cat 2 _ cal 40/60'],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01']",,,,,,,
1628,Citrons Eureka Calibre 4/5 -  - 1Kg,3000010032685,1 Kg,,,['Argentine'],['69960 Corbas'],['SOLY IMPORT'],,,['France'],"['citrons', 'Imazalil thiabendazole']",,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Champignons de Paris -  - 500g,3000048048658,500 g,,,['France'],,"['EMB 14200E', 'Creully (Calvados, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Légumes frais', 'Champignons de Paris', 'Champignons frais']",,,,,,,,,,,,,,,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,
1630,Yaourt a la banane - 125g,3001001700002,125 g,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la banane']",,,,,,,,,,,,,,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,
1631,ruol champignons de Paris - 250g,3009422047669,250g,['Barquette'],['Ruol'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Kellogg's coco pops - 510g,3013892175951,510 g,['sachet plastique'],"[""Kellogg's""]",,,['K154633040'],,['super U'],['France'],[],,[],1638,?,1638 kj(391 kcal),"2,5",1,84,"5,5","0,75","0,3",30,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",2.5 g,en faible quantité,1 g,en faible quantité,30 g,en quantité élevée,0.75 g,en quantité modérée,+12%,,+12%,-56%,-37%,+43%,+427%,-42%,+149%,+149%,10,+513%,C,+513%,,,,,,,,,,,,,,,
1633,café soluble - MAXWELL Qualité filtre décaféiné - 100g,3014680041793,100g,['Verre'],['MAXWELL Qualité filtre décaféiné'],,,,,,['France'],['inconnu'],,[],?,?,,?,,?,?,,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,,,,,,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,,
1634,Terrine de canard aux herbes fines,3018253234100,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,,,,,,,,,,,,,,,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,
1635,Pom'potes - Materne,3021760400005,,,"['Materne', 'Pom Potes']",,,,,,['France'],[],,[],?,61,255 kj(61 kcal),"0,6","0,5","14,8","0,5","0,01","0,004","13,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
1636,Assortiment mini viennoiserie - Cora - 15,3021990124542,15,['par 15'],['Cora'],,,,,['Cora'],['France'],[],,[],?,?,,?,,?,?,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Sardines à L'huile D'olive Aromatisées Aux Truffes - rodel - 115g,3022655102028,115 g,['boite de conserve'],['Rodel'],,,,,['au bon marché'],['France'],['Valeurs nu no'],,[],?,348,1456 kj(348 kcal),30,"5,3","0,1",18,"0,7","0,28","0,1",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",30 g,en quantité élevée,5.3 g,en quantité élevée,0.1 g,en faible quantité,0.7 g,en quantité modérée,,+41%,+41%,+69%,+38%,-69%,-52%,-15%,-23%,-23%,12,+113%,D,+113%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,
1638,3023284122005,3023284122005,,,,,,,,,['France'],"['he peuvent être vendus séparément', ' lait entier ', '83,1%', 'crème ', '12,0%', ' ', 'lait', 'poudre de lait écrémé', 'ferments lactiques', ' France avec du lait français', ' FR 42', '005', '001 Fabriqué pour LNUF Marques 2', 'rue du Centre']",['Lait'],['Non végétalien'],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Actimel,3033491380693,,,"['Actimel', 'Danone']",,,,,,['France'],[],,[],?,76,318 kj(76 kcal),"1,5",1,12,"2,8","0,1","0,04","11,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Ptit gouter - Nestle - 2*250ml,3033710064007,2*250ml,,['Nestle'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,
1641,bâtard 400g - U,3034002075749,400g,,['U'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Crunchy Délices à La Forestière Single - Royco,3036812030178,,,['Royco'],,,,,,['France'],[],,[],?,106,444 kj(106 kcal),"5,3","3,3",13,"1,3","1,4","0,56","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,le Basmati du Penjab - Taureau Ailé - 1kg,3038359017124,1kg,['sachet souple'],['Taureau Ailé'],"['Pakistan', 'Penjab inde']",,,,['Leclerc'],['France'],[],,[],1490,?,1490 kj(356 kcal),"0,8","0,4",77,"8,7","0,01","0,004","0,1",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",0.8 g,en faible quantité,0.4 g,en faible quantité,0.1 g,en faible quantité,0.01 g,en faible quantité,+6%,,+7%,-23%,+67%,+8%,-59%,+15%,-72%,-72%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,
1644,Beurre de Bretagne - Envia - 500g,30300941,500g,,['Envia'],,,,,['Lidl'],['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Fruits du verger - Bledina - 4pots de 100g,3041090779909,4 pots de 100g,,['Bledina'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,
1646,Lait coeur praliné noisettes et amandes - Lindt - 300g (3x100g),3046920014526,300 g (3x100g),,['Lindt'],,,,,,['France'],[],,[],?,562,2351 kj(562 kcal),35,18,53,"6,6","0,16","0,064",49,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",35 g,en quantité élevée,18 g,en quantité élevée,49 g,en quantité élevée,0.16 g,en faible quantité,,+1%,+1%,-2%,+5%,+6%,+4%,-6%,+25%,+25%,27,+9%,E,+9%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,
1647,Farine de blé - sauvin - 1kg,3064311051011,1 kg,['Papier'],['Sauvin'],,,"['EMB 39408', 'Patornay (Jura, France)']",,,['France'],[],,[],?,350,1464 kj(350 kcal),"1,2",0,75,"9,4",0,0,0,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",1.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+2%,+2%,-10%,-100%,+8%,-100%,-14%,-100%,-100%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,
1648,3064665705417,3064665705417,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Rillettes pur canard au foie de canard,3067163622095,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,,,,,,,,,,,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
1650,Bloc de foie gras de canard - Delpeyrat - 190g,3067163631929,190g,,['Delpeyrat'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Bloc de foie gras']",,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,
1651,Foie gras de canard - Sarrade - 500g,3067163633879,500 g,,['Sarrade'],['France'],,,,,['France'],"['Foie gras de canard assaisonné origine France 82%* ', 'sel', 'poivre', 'conservateur: nitrite de sodium', 'gelée {figues 4% ', 'figues sèches', 'dextrose', 'eau', 'Sauternes 2', '3%', 'noisettes 2%', 'gélatine', 'sucre', 'sel', 'poivres', ' *Issu de canards nés', 'élevés', 'abattus et transformés en France']",['Fruits à coque'],"['Non végétalien', 'Non végétarien']",?,476,1992 kj(476 kcal),50,20,"5,6","8,4","1,1","0,44","3,1",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",50 g,en quantité élevée,20 g,en quantité élevée,3.1 g,en faible quantité,1.1 g,en quantité modérée,,-7%,-7%,-5%,-11%,+140%,+130%,+21%,-9%,-9%,19,-8%,E,-8%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Sans nitrite de sodium'],,4,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine']",,,,
1652,Salade de fruits aux 7 fruits - Cora - 600g,3257984565026,600 g,,['Cora'],,,,,['Cora'],['France'],"['ananas 20%', 'papayes 20%', 'raisins rouges 12%', 'mangues 11%', 'mandarines 11%', 'melons verts 9%', 'melons oranges 9%', 'eau', 'fructore', 'jus de fruits de la passion concentré 1,2%']",,[],?,46,192 kj(46 kcal),0,0,"10,4","0,6",0,0,"9,8",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Salades de fruits']",0 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité modérée,0 g,en faible quantité,,-22%,-21%,-100%,-100%,-16%,-10%,+12%,-100%,-100%,-3,,A,,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,,"Mélange de fruits en moreaux enrobés avec un jus à base de fruits de la passion concentré, surgelé",1,,,,,
1653,L original,30618268,,,,,,,,,['France'],[],,[],?,530,2218 kj(530 kcal),"29,5","18,5",56,"5,1","0,01","0,004","53,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,praline amandes marcona - cacao barry - 1kg,3073418220473,1kg,,['cacao barry'],,,,,,['France'],"[""Ingrédients : pâte d'amandes 50%""]",,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Huile de sésame,3077311758095,,,,,,,,,['France'],[],,[],?,828,3464 kj(828 kcal),92,"14,4",0,3,1,"0,4",0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",92 g,en quantité élevée,14.4 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,-4%,-4%,-4%,-2%,-100%,-100%,+11900%,+62793%,+62793%,15,+30%,D,+30%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,
1656,miel noisette - le miel de vos reves - 100g,3079821111124,100g,['Bocal'],['le miel de vos reves'],['France'],['saint savin (86)'],,,['inter marché'],['France'],"['miel 80%', 'noisette 20%']",['Fruits à coque'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,?,,,,A,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Préparations à base de miel']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Fabrique', 'Et création francaise']",,2,,,,,
1657,Raisins et noisettes - Côte d'Or,30726895,,,"[""Côte d'Or""]",,,,,,['France'],[],,[],?,510,2134 kj(510 kcal),29,13,51,8,"0,24","0,096",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,ossau_iraty au lait pasteurisé -  - 200g,3080652114277,200g,,,,['France'],"['EMB 64314', 'Larceveau-Arros-Cibits (Pyrénées-Atlantiques, France)']",,,['France'],"['lait pasteurisé de brebis_sel_présure animale _chlorure de calcium_ferments lactiques et d affinage ', 'contient lait']",['Lait'],[],?,416,1741 kj(416 kcal),36,25,0,23,"1,8","0,72",0,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",36 g,en quantité élevée,25 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,-1%,-1%,+0%,+1%,-100%,-100%,-2%,+2%,+2%,22,+25%,E,+25%,,,,,,,,,,,,,,,
1659,Compote les pommes d'amour parfum barbe à papa - St Mamet,3080920980269,,,['St Mamet'],,,,,,['France'],[],,[],?,66,276 kj(66 kcal),0,0,"15,5","0,3",0,0,"14,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,
