,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,brand_owner,nova_score,generic_name,link,additives,allergens,ingredients_origins,manufacturing,origin_detail
1538,Cacao reishi & ashwagandha,3770014883056,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Huile vierge de tournesol au piment d'Espelette Bio,3760276300040,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['Bio'],['France'],[],[],92 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-5%,3464 kj(828 kcal),-5%,92,-5%,10,-6%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,0%,D,0%,,,D,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,
1540,Chair à saucisse 100% naturelle,2443905024661,,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",,['France'],[],[],27 g,en quantité élevée,12 g,en quantité élevée,3.6 g,en faible quantité,2.9 g,en quantité élevée,?,,306,+16%,1280 kj(306 kcal),+16%,27,+19%,12,+39%,"5,9",+413%,"3,6",+459%,10,-25%,"2,9",+74%,"1,16",+74%,23,+30%,E,+30%,,,E,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,
1541,Saucisse a griller au fromage - Charculor,3327512641796,['Charculor'],,['Point Vert'],['France'],[],[],,,,,,,,,?,,269,,1125 kj(269 kcal),,23,,"9,1",,"1,5",,"1,5",,14,,"1,7",,"0,68",,,,,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,,,,,,,,,,,,
1542,Chifles Sabor sal prieta,7861006761349,,,,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,12,,5,,1,,1,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Luscious Vanilla yaourt - Rachel's Organic,5021638001073,"[""Rachel's Organic""]",,,['France'],[],[],,,,,,,,,?,,109,,456 kj(109 kcal),,"5,4",,"3,3",,"11,8",,"11,2",,"3,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Pain faluche,2070198000005,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Phasertech N3U50 - Neuro Boost 60 caps,1381740391764,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Pâtes,8007066210314,,,,['France'],[],[],,,,,,,,,?,,355,,1485 kj(355 kcal),,"1,4",,"0,3",,73,,3,,11,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Mini Muffins,8410368001076,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,['France'],[],[],21 g,en quantité élevée,3.5 g,en quantité modérée,28 g,en quantité élevée,0.74 g,en quantité modérée,?,,8.4,-98%,35 kj(8 kcal),-98%,21,+4%,"3,5",-7%,55,+13%,28,+4%,"4,3",-17%,"0,74",-0%,"0,296",-0%,12,-22%,D,-22%,,,,,,,,,,,,,,,,,,,,,
1548,Pain au lait,0218614010500,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Filet de poulet maître coq,0215703028477,['Maître Coq'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,?,,114,-13%,477 kj(114 kcal),-12%,2,-31%,"0,2",-73%,0,-100%,0,-100%,24,+5%,"0,15",-80%,"0,06",-80%,-4,,A,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
1550,Diet Meal Replacement - Butterscotch Ripple,0150119113303,,,,['France'],[],[],,,,,,,,,?,,379,,1586 kj(379 kcal),,"6,8",,5,,"11,4",,"10,3",,0,,"0,77",,"0,308",,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Friture chocolat lait Bio - Auchan,3596710481965,"['Auchan', 'Vendome']",,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Max Havelaar']",['France'],[],[],,,,,,,,,?,,573,,2397 kj(573 kcal),,38,,23,,50,,49,,"6,7",,"0,21",,"0,084",,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
1552,Tisane foie,3580258151954,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Instant JOSHANDA,0855434010893,,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,100,,80,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Comté fruité AOP,0208080021254,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,35,+1%,23,+1%,0,-100%,0,-100%,27,+0%,"0,82",-2%,"0,328",-2%,13,0%,D,0%,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
1555,6 macarons vanille,3760126978566,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,['France'],[],[],26 g,en quantité élevée,9.3 g,en quantité élevée,45 g,en quantité élevée,0.08 g,en faible quantité,?,,471,+11%,1971 kj(471 kcal),+11%,26,+46%,"9,3",+106%,48,-14%,45,-11%,"9,5",+11%,"0,08",-44%,"0,032",-44%,23,+31%,E,+31%,,,D,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,
1556,Mangue fraîche,3760036570041,,,,['France'],[],[],,,,,,,,,?,,404,,1690 kj(404 kcal),,"3,62",,"0,52",,"94,09",,"92,74",,"6,95",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Miel - 12oz,0858901000472,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,12 oz,,,,,,,,,,
1558,Pomme de terre vitelotte,3760168880155,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Miel de Bretagne,3760272960002,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miel de Bretagne']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
1560,Energy iso carb - Prozis,5600380899031,['Prozis'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Palette sans os fumée,2225687038704,,,,['France'],[],[],,,,,,,,,?,,103,,431 kj(103 kcal),,"2,6",,"0,9",,2,,"0,5",,18,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Moelleux halloween,3523680431645,,"[""Aliments et boissons d'Halloween""]",,['France'],[],[],27 g,en quantité élevée,2.5 g,en quantité modérée,25 g,en quantité élevée,0.57 g,en quantité modérée,?,,447,+11%,1870 kj(447 kcal),+11%,27,+176%,"2,5",-49%,44,-39%,25,-55%,"6,2",+64%,"0,57",+136%,"0,228",+136%,14,-20%,D,-20%,,,,,,,,,,,,,,,,,,,,,
1563,STEAK VEGETAL CHANVRE LIN PAVOT,3483463200182,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,282,,1180 kj(282 kcal),,18,,"1,8",,13,,"2,3",,20,,"1,4",,"0,56",,,,,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,,,,,,,,,,,,
1564,Crème citron à tartiner,3457221000833,,,,['France'],[],[],,,,,,,,,?,,416,,1741 kj(416 kcal),,13,,"8,5",,73,,56,,"1,7",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Cafe,3700809361940,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,"Purée de tomates bio ""al basilico"" - Salamita",8025093140244,['Salamita'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']","['Bio', 'Bio-dynamie', 'Demeter']",['France'],[],[],2 g,en faible quantité,0.2 g,en faible quantité,6.6 g,en quantité modérée,1.2 g,en quantité modérée,?,,61,+17%,255 kj(61 kcal),+25%,2,+83%,"0,2",+45%,"9,4",+63%,"6,6",+47%,"1,3",-18%,"1,2",+170%,"0,48",+170%,1,,B,,,,B,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,,,,,,
1567,Poulet fermié,0217247042513,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,138,,577 kj(138 kcal),,"5,9",,"1,7",,0,,0,,20,,"0,15",,"0,06",,,,,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,,,,,,,,,,,,
1568,Poulet - 1372g,0217013069270,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,1372 g,,,,,,,,,,
1569,Filet mignon de porc,3273625828350,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Noix de veau - 774g,2051771075894,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,774 g,,,,,,,,,,
1571,Rumsteck - 150g,2050635018633,,,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,150 g,['Migros'],,,,,,,,,
1572,Grana padano aop,2655517007844,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",,['France'],[],[],29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,398,+1%,1665 kj(398 kcal),+0%,29,+0%,18,0%,0,-100%,0,-100%,33,0%,"1,5",-1%,"0,6",-1%,15,-1%,D,-1%,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
1573,Heringsfilets Barbecue-Sauche - Larsen - 110g,4018344563354,['Larsen'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Harengs', 'Harengs en conserve']","['Pêche durable', 'Pêche durable MSC']","['France', 'Allemagne']",[],[],8.7 g,en quantité modérée,,,11 g,en quantité modérée,,,?,,?,,173 kj(41 kcal),-79%,"8,7",-39%,,,13,+424%,11,+511%,11,-21%,,,,,,,,,['MSC-C-50330'],['Konserve'],B,65.1%,0.0%,5.9%,25.1%,3.0%,0.8%,77,110g,,,,,,,,,,
1574,Lotus,8436032151809,,,,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,0,,0,,84,,10,,8,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Infusion aromatisée cerise framboise rose,4876415434343,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,Coffret mojito addict - Quai Sud,3662051009448,['Quai Sud'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,Mélange duo gourmand,2600271034186,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,P'tit Basque pur brebis,0243900039033,,,,['France'],[],[],,,,,,,,,?,,413,,1728 kj(413 kcal),,36,,25,,0,,0,,22,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Heringsfilets Senf-Dill-Sauce - 110g,4018344563361,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Becher'],,,,,,,,,110 g,,,,,,,,,,
1580,Diced chicken breast - Tesco,5057753914028,['Tesco'],,,['France'],[],[],,,,,,,,,?,,106,,444 kj(106 kcal),,"1,1",,"0,3",,0,,0,,24,,"0,2",,"0,08",,,,,,,,,,,,,,,,,['Tesco'],,,,,,,,,
1581,Yaourt fermier au huiles essentielles - 100g,3770007294227,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,
1582,Artichaut tisane,3770001862514,,,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Jumbo,8908003050942,,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,0,,0,,36,,0,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Bricelet comté,3760135238972,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+3%,1799 kj(430 kcal),+3%,35,+1%,23,+1%,1,+116%,1,+273%,27,+0%,"0,8",-5%,"0,32",-5%,13,0%,D,0%,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
1585,"Aubergines cuisinées, Imam Bayaldi",4850014431088,,,,['France'],[],[],,,,,,,,,?,,105,,439 kj(105 kcal),,7,,"0,75",,9,,7,,"1,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1586,Palets Breton,77041128,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,['France'],[],[],25.2 g,en quantité élevée,15.2 g,en quantité élevée,25.2 g,en quantité élevée,0.0153 g,en faible quantité,?,,506.45161290323,+2%,2119 kj(506 kcal),+2%,"25,161",-1%,"15,161",-8%,"64,516",+7%,"25,161",-3%,"6,129",+4%,"0,015",-98%,"0,006",-98%,21,-13%,E,-13%,,,C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,
1587,Baeckaoffa,3760004030089,,,,['France'],[],[],,,,,,,,,?,,89,,372 kj(89 kcal),,"2,6",,1,,"4,4",,"0,6",,"10,7",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Roti de porc cuit - Carrefour,2254593025843,['Carrefour'],"['Viandes', 'Porc', 'Rôtis de porc']","['Viande Française', 'Viande Porcine Française']",['France'],[],[],3.9 g,en quantité modérée,1.6 g,en quantité modérée,0.7 g,en faible quantité,2.1 g,en quantité élevée,?,,125,-13%,523 kj(125 kcal),-12%,"3,9",-22%,"1,6",-23%,"0,7",-14%,"0,7",+12%,22,-2%,"2,1",+22%,"0,84",+22%,11,+54%,D,+54%,"['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)"", 'FR 22.136.007 CE', ""Loudéac (Côtes-d'Armor, France)""]",,E,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,['Carrefour'],,,,,,,,,
1589,Once again organic unsweetened & roasted creamy almond butter,0044082534411,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales']",,"['France', 'États-Unis']",['Dry roasted unblanched organic almonds'],[],53.3 g,en quantité élevée,5 g,en quantité modérée,3.33 g,en faible quantité,0 g,en faible quantité,?,,667,-20%,2791 kj(667 kcal),-20%,"53,33",-42%,5,-67%,"16,67",+42210%,"3,33",+11383%,"23,33",+80072%,0,-100%,0,-100%,-2,-124%,A,-124%,,,,,,,,,,,,,ONCE AGAIN,,,,,,,,
1590,Reblochon,0301301000004,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",,['France'],[],[],25 g,en quantité élevée,20 g,en quantité élevée,0.2 g,en faible quantité,1.4 g,en quantité modérée,?,,299,-8%,1251 kj(299 kcal),-7%,25,-7%,20,+6%,"0,4",+9%,"0,2",-12%,18,-10%,"1,4",+4%,"0,56",+4%,14,-2%,D,-2%,"['FR 74.053.001 CE', 'Cervens (Haute-Savoie, France)']",['Film en plastique'],C,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
1591,Truite bio fumée,2369438001385,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']","['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],4.1 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,?,,131,-20%,548 kj(131 kcal),-20%,"4,1",-48%,"0,7",-57%,"1,5",+261%,"0,5",+70%,"22,1",-2%,0,-100%,0,-100%,-4,-134%,A,-134%,"['EMB 73179', 'Motte-Servolex (Savoie, France)']",,D,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,,
1592,"Ajvar, ACI Scharf Spicy",8680419597050,,,,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,"5,2",,"0,1",,"6,3",,"6,2",,"1,4",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1593,Piémontaise jambon supérieur,2253048011547,,,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],,,,,,,,,?,,733,,3067 kj(733 kcal),,14,,"1,3",,"7,9",,"0,8",,"4,1",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Arbois rose -,3305490022318,,['Arbois'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,Myrtilles,8718226442338,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,Vinaigre balsamique de Modène,8032706290395,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,69 g,en quantité élevée,0.07 g,en faible quantité,?,,298,+103%,1247 kj(298 kcal),+103%,0,-100%,0,-100%,69,+117%,69,+136%,"1,1",+65%,"0,07",-1%,"0,028",-1%,,,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,['Italie'],,
1597,Confiture extra tomate verte vanille,3770008356429,,,['Fabriqué en France'],['France'],[],[],,,,,,,,,?,,238,,996 kj(238 kcal),,"0,3",,"0,1",,"57,3",,"56,3",,"0,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Aiguillettes de poulet,2276455030048,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']","['Nutriscore', 'Nutriscore A']",['France'],[],[],1.8 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,0.13 g,en faible quantité,?,,108,-14%,452 kj(108 kcal),-14%,"1,8",-3%,"0,5",+5%,1,+11%,"0,1",-67%,23,+1%,"0,13",-70%,"0,052",-70%,-4,,A,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']","['Film en plastique', 'Barquette en plastique']",D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
1599,Coconut Dream bio organic vegan,46189387,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']","['Bio', 'Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,B,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,,,,,,,,,,
1600,Noix de cajou curry,2600299032997,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,['France'],[],[],44.2 g,en quantité élevée,8.6 g,en quantité élevée,8.6 g,en quantité modérée,1.96 g,en quantité élevée,?,,580,-3%,2427 kj(580 kcal),-3%,"44,2",-4%,"8,6",+1%,"25,9",+1%,"8,6",+33%,"18,2",-3%,"1,96",+213%,"0,784",+213%,14,+85%,D,+85%,,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,
1601,Pinda's Wasabi Cacahuetes,6128888130023,,,,['France'],[],[],,,,,,,,,?,,444,,1858 kj(444 kcal),,16,,3,,61,,17,,13,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Dinde fermière élevée en plein air,0217714034379,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,137,,573 kj(137 kcal),,"5,9",,"1,4",,0,,0,,20,,"0,19",,"0,076",,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,,,,,,,,,,,,
1603,Pain au chocolat carrefour aop,0202118018698,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,['Carrefour'],,,,,,,,,
1604,Sirop de Grenade,3770012144418,,,,['France'],[],[],,,,,,,,,?,,1121,,4690 kj(1121 kcal),,"0,3",,"0,3",,67,,45,,"0,95",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Laurier,3434410013041,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Le Gin Drouin,3297364270027,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Sirop spécial pour demi pêche - Teisseire,15975610,['Teisseire'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Mini croûtons nature - 75g,3273670003795,,,['Fabriqué en France'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,75 g,,,,,,,,,,
1609,Donuts leclerc,0205088017388,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,['France'],[],[],32 g,en quantité élevée,15 g,en quantité élevée,20 g,en quantité élevée,0.52 g,en quantité modérée,?,,483,+18%,2021 kj(483 kcal),+18%,32,+40%,15,+42%,44,-2%,20,+19%,"5,7",-4%,"0,52",-45%,"0,208",-45%,22,+13%,E,+13%,,,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,
1610,Haddock,0240609072484,,,,['France'],[],[],,,,,,,,,?,,101,,423 kj(101 kcal),,"0,7",,"0,1",,0,,0,,24,,"4,6",,"1,84",,,,,,"['FR 62.160.109 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,,,,,,,,,,,,,,,,,,,
1611,Olives de Kalamata,5203286823041,,,,['France'],[],[],,,,,,,,,?,,204,,854 kj(204 kcal),,"21,9",,"2,45",,"0,2",,"0,05",,"1,5",,"1,44",,"0,576",,,,,,,,,,,,,,,,,,,,,,,,,,
1612,"Protein Cookie, Oatmeal Und Raisin, 12 X 75G - 12x 75g",5055936815469,,,,['France'],[],[],,,,,,,,,?,,421,,1761 kj(421 kcal),,12,,"4,6",,28,,6,,50,,"0,7",,"0,28",,,,,,,,,,,,,,,,12 x 75 g,,,,,,,,,,
1613,Graine des tournesols salé,2810622018042,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,C,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,,,
1614,8 macarons,3760197636556,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,['France'],[],[],12 g,en quantité modérée,2.3 g,en quantité modérée,44 g,en quantité élevée,0.13 g,en faible quantité,?,,393,-8%,1644 kj(393 kcal),-8%,12,-33%,"2,3",-49%,63,+13%,44,-13%,"6,8",-21%,"0,13",-9%,"0,052",-9%,15,-15%,D,-15%,,,D,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,
1615,Mon bocal a gateau choco praliné - Légendes Gourmandes,3760155986044,['Légendes Gourmandes'],,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,"9,8",,"4,8",,73,,52,,"5,9",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Ketchup,5410853039334,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"0,1",,"0,1",,1,,1,,"0,3",,"0,559",,"0,224",,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Poulet,0217253022769,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,SAUCISSE FUMEE SUPERIEURE,2463756111327,,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,"34,5",,"13,8",,"0,1",,"0,1",,"14,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
