,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,allergens,generic_name,packaging,categories,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,traceability_code,palm_ingredients,brand_owner
30,Riz spécial salades Gallo - 500g,8001420003437,['Gallo'],['France'],['Riz long italien étuvé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,356,1490 kj(356 kcal),1,"0,23",78,"0,7","6,9",0,0,500 g,,,Riz spécial salades,"['Carton', 'Sous-vide']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz spécial salades']",,,"['Carrefour', 'Magasins U']",1,1 g,en faible quantité,0.23 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,,+6%,+5%,-17%,-14%,+7%,+102%,-5%,-100%,-100%,0,,B,,A,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,['Italie'],,,
31,Risotto - Riso gallo,8001420003949,['Riso gallo'],['France'],[],[],?,210,879 kj(210 kcal),"3,7","0,8","39,1","0,9","4,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Gallo 3 Grains Rice Express Pouch,8001420004137,['Gallo'],['France'],[],[],?,212,887 kj(212 kcal),"2,2","0,3",42,"0,6","4,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Risotto Alla Milanese Gallo 175 G.,8001420005806,,['France'],[],[],?,344,1439 kj(344 kcal),"0,9","0,3","76,6","1,2","6,8","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Riz Jasmin - Gallo - 500g,8001420006599,['Gallo'],['France'],['Riz Jasmin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1507,355,1507 kj(355 kcal),1,"0,3",79,"0,3",7,"0,001","0,001",500 g,,,Riz Thaï Jasmin,['Carton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",,,['Carrefour'],1,1 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.00127 g,en faible quantité,+2%,+1%,+3%,-5%,+17%,+5%,+18%,-5%,-89%,-89%,-1,,A,,B,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,
35,3 Cereali - Gallo,8001420007589,['Gallo'],['France'],[],[],?,353,1477 kj(353 kcal),"3,1","0,9","68,8","0,9",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Gallo Il Mio Risottino Zucchine E Spinaci GR 175,8001420007978,['Gallo'],['France'],[],[],?,358,1498 kj(358 kcal),"0,9","0,3","79,5","1,8","7,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Risottino (juste du riz, des carottes et des tomates) - Gallo - 175g",8001420008081,['Gallo'],['France'],"['Riz étuvé', 'purée de carottes 15%', 'semi-concentré de tomates 15%']",[],1501,354,1501 kj(354 kcal),"0,7","0,2","79,1","3,3","7,1",0,0,175 g,"['Peu ou pas de sel', 'Peu de sel']",,Préparation déshydratée à base de riz partiellement précuit pour risotto avec carottes et tomates,['Carton'],"['Plats préparés', 'Plats à base de riz', 'Risottos']",,,['Cora'],3,0.7 g,en faible quantité,0.2 g,en faible quantité,3.3 g,en faible quantité,0 g,en faible quantité,+117%,+57%,+65%,-83%,-89%,+117%,+116%,+19%,-100%,-100%,-1,-122%,A,-122%,,,,,,,,,,,,,
38,Bio Riso & Quinoa 500 GR. - Gallo,8001420008487,['Gallo'],['France'],"['Riz bio', 'quinoa blanc bio', 'quinoa rouge bio']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,353,1477 kj(353 kcal),"2,2","0,3","73,7","2,6",8,0,0,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3 Cereali Con Riso Integrale - Gallo,8001420009088,['Gallo'],['France'],[],[],?,363,1519 kj(363 kcal),"3,2","1,1","74,1","0,7","7,8",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
