,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,packaging,categories,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,labels,palm_ingredients,manufacturing,traceability_code,ingredients_origins,link,brand_owner
728,Kambly Chocolait,7614800496005,,['Kambly'],,['France'],[],[],,?,522,2184 kj(522 kcal),27,18,62,34,"6,7","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,etoile à la cannelle  - kambly - 175grammes,7614800624088,175 grammes,['Kambly'],,['France'],[],[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Petits plaisirs - Kambly,7614800634001,,['Kambly'],,['France'],"['chocolat 37 % ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'beurre concentré', 'émulsifiant [lécithines de soja]', 'arôme naturel de vanille', ' Cacao: 50% min', 'sucre', 'graisse de palme', 'farine de blé', 'noisettes 8%', 'sirop de sucre inverti', 'lait écrémé en poudre', 'beurre concentré', 'dextrose', ""concentré d'œufs entiers"", 'sirop de glucose', 'lait entier en poudre', 'cacao maigre en poudre', 'sel', 'émulsifiant ', 'lécithines [contient blé]', 'arôme', "" Peut contenir des traces d'autres fruits à coque"", "" Tenir au sec et à l'abri de la chaleur""]","['Huile de palme', 'Non végétalien']",4,?,550,2301 kj(550 kcal),35,18,49,41,"6,8","0,2","0,08",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,['Huile de palme'],,,,,
731,Petits plaisirs cappucino- chovolat au lait - kambly,7614800635008,,['Kambly'],,['France'],"['chocolat au lait 33% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant ', 'lécithines de soja', 'arôme naturel de vanille', ' Cacao: 30% min', 'sucre', 'graisse de palme', 'farine de blé', 'lait entier en poudre 6%', 'sirop de sucre inverti', 'beurre concentré', 'chocolat 3% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'beurre concentré', 'émulsifiant [lécithines de soja', 'arôme naturel de vanille', ' Cacao: 50% min', 'noisettes', ""concentré d'œufs entiers"", 'sirop de glucose', 'cacao maigre en poudre 0', '4%/ café en poudre 0', '4%', ""jaune d'œuf en poudre"", 'sel', 'émulsifiant ', 'lécithines [contient blé', 'arômes', "" Peut contenir des traces d'autres fruits à coque"", "" Tenir au sec et à l'abri de la chaleur"", ',uino ', '3326', ' con cuore di crema al cioccolato ', '10%', ' e Pasticcini ripieni di crema al']","['Huile de palme', 'Non végétalien']",4,?,559,2339 kj(559 kcal),36,20,52,45,"5,6","0,21","0,084",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,['Huile de palme'],,,,,
732,"Lipton Mango Ice Tea - 1,5L e",7615200514023,"1,5 L e",['Lipton'],,"['France', 'Suisse']","['Eau', 'sucres ', 'sucre', 'fructose', 'acidifiant ', 'acide citrique', 'extrait de thé noir ', '1,2 g/l', ""correcteur d'acidité "", 'E331', 'jus de mangue à base de concentré ', '0,1 %', 'arôme antioxydant ', 'acide ascorbique', 'édulcorant ', 'glycosides de stéviol']",[],4,120,19,120 kj(19 kcal),"< 0,5","< 0,5","4,6","4,5","< 0,5","0,07","0,028",C,Thé froid à l'arôme de mangue,"['Bouteille', 'Plastique', 'PET']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons édulcorées', 'Boissons au thé', 'Thés glacés', 'Thés glacés saveur mangue', 'Boissons avec sucre ajouté']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",0.5 g,en faible quantité,0.5 g,en faible quantité,4.5 g,en quantité modérée,0.07 g,en faible quantité,+32%,-5%,+41%,+395%,+1941%,-2%,+0%,+331%,+177%,+177%,7,+5%,D,+5%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,['Avec édulcorants'],,,,,,
733,Malaysian Extra Hot Chilli Sauce - Maggi,7616100055562,,['Maggi'],,"['France', 'Royaume-Uni']",[],[],,?,107,448 kj(107 kcal),0,0,"25,3","17,8","0,7","2,51","1,004",,,"['Glass', 'Bottle']","['Epicerie', 'Sauces', 'en:Chilli Sauce']",,0 g,en faible quantité,0 g,en faible quantité,17.8 g,en quantité élevée,2.51 g,en quantité élevée,,-55%,-55%,-100%,-100%,+155%,+176%,-74%,+4%,+4%,14,+21%,D,+21%,,,,,,,,,['Halal'],,['Malaysia'],,,,
734,Fondue chalet - Emmi - 400g,7616300331008,400 g,['Emmi'],['Delhaize'],"['Belgique', 'France']",[],[],,?,246,1029 kj(246 kcal),17,10,3,"0,7",15,"1,5","0,6",,,['boîte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Rubaba - Frey - 100g e,7616500012042,100 g e,"['Frey', 'Migros']",['Migros'],"['France', 'Suisse']","['Sucre', 'raisins secs 18 %', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'Rhum 1', '4 %', 'noisettes moulues', 'beurre fondu', 'émulsifiant : lécithine de soja', 'arômes naturels']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2150,?,2150 kj(514 kcal),27,16,56,53,6,"0,15","0,06",E,Chocolat fin au lait avec raisins secs macérés dans du rhum.,"['Papier', 'métal']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats suisses']",['E322i - Lécithine'],27 g,en quantité élevée,16 g,en quantité élevée,53 g,en quantité élevée,0.15 g,en faible quantité,-5%,,-7%,-24%,-20%,+15%,+16%,-10%,+26%,+26%,23,-3%,E,-3%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Lait', 'Fruits à coque', 'Soja']","['Agriculture durable', 'en:FSC', 'en:UTZ Certified', 'FSC Mix', 'Fabriqué en Suisse', 'en:utz-certified-cacao', 'en:FSC-C017205', 'Déconseillé aux enfants']",,['Suisse'],,,,
736,TOURIST - FREY - 400g,7616500013131,400 g,['FREY'],,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'raisins secs 11 %', 'lait écrémé en poudre', 'pâte de cacao', 'lait entier en poudre', 'noisettes 5', '0 %', 'amandes 5', '0 %', 'beurre fondu', 'émulsifiant: lécithine de soja', 'arôme', "" Peut contenir des traces d'autres fruits à coque "", 'noix', 'Cacao: 31 % minimum dans le chocolat']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2230,538,2230 kj(538 kcal),32,16,54,51,7,"0,17","0,068",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],"['Agriculture durable', 'en:UTZ Certified']",,,,,,
737,Mahony Lait - Frey - 400g,7616500013216,400 g,['Frey'],,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'miel 3', '0 %', 'amandes 1', '5 %', 'beurre fondu ', 'lait', 'émulsifiant: lécithine de soja', ""blanc d'œuf en poudre "", ""d' élevage en liberté"", 'arômes', "" Peut contenir des noisettes et traces d'autres fruits à coque "", 'noix', ' Cacao: 34 % minimum dans le chocolat Nougat: 9 %']",['Non végétalien'],4,2240,?,2240 kj(535 kcal),31,19,57,56,6,"0,17","0,068",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Fruits à coque']",,,,,,,
738,Swiss Chocolate Milk Chocolate - Frey - 115g,7616500015111,115 g,['Frey'],,"['France', 'Suisse']","['sugar', 'dried milks cocoa butter', 'cocoa ground hazelnuts', 'etnulsifier: soya lecjthin NIilk solids']",[],,2310,?,2310 kj(552 kcal),35,20,51,49,8,"0,25","0,1",E,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,35 g,en quantité élevée,20 g,en quantité élevée,49 g,en quantité élevée,0.25 g,en faible quantité,+1%,,0%,+1%,+2%,-2%,0%,+12%,+7%,+7%,25,-2%,E,-2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,
739,Les Adorables Truffes Au Lait - Frey - 100g,7616500020368,100 g,['Frey'],,"['France', 'Suisse']","['sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'beurre fondu ', 'lait', 'sirop de sucre inverti', 'humectants: sirop de sorbitol et invertase', 'Kirsch 1', '3%', 'émulsifiant: lécithine de soja', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2230,527,2230 kj(527 kcal),33,20,49,47,6,"0,16","0,064",E,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']","['E420ii - Sirop de sorbitol', 'E1103 - Invertase', 'E322i - Lécithine']",33 g,en quantité élevée,20 g,en quantité élevée,47 g,en quantité élevée,0.16 g,en faible quantité,-2%,-5%,-3%,-4%,+10%,-6%,-5%,-7%,-18%,-18%,24,-6%,E,-6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Lait'],"['Agriculture durable', 'en:UTZ Certified']",,,,,,
740,"Osterhase, Weisse, Schockolade - Chocolat Frey AG",7616500050143,,['Chocolat Frey AG'],,['France'],[],[],,?,592,2477 kj(592 kcal),40,24,52,52,6,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,bugsy - Frey,7616500050433,,['Frey'],,['France'],[],[],,?,592,2477 kj(592 kcal),40,24,52,52,6,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Chocolat au lait extra fin - Frey,7616500063303,,['Frey'],,"['France', 'Suisse']","['sucre', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'noisettes                 \rmoulues', 'émulsifiant: lécithine de soja', 'arôme', "" Peut contenir des amandes et traces d'autres fruits à coque "", 'noix', ' Cacao: 31% minimum']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2310,?,2310 kj(552 kcal),35,20,51,49,8,"0,25","0,1",E,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au lait extra fin']",['E322i - Lécithine'],35 g,en quantité élevée,20 g,en quantité élevée,49 g,en quantité élevée,0.25 g,en faible quantité,+1%,,+1%,+4%,0%,-5%,-6%,+19%,+15%,+15%,25,-4%,E,-4%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,
743,Massepain - Frey,7616500150621,,['Frey'],,"['France', 'Suisse']","['sucre', 'amandes 30%', 'eau', 'sirop de sucre', 'inverti', 'beurre de cacao', 'lalit entier en poudre', 'päte de cacao', 'émulsifiant: lecithine de soja', 'arôme']",[],4,2010,?,2010 kj(480 kcal),26,7,51,51,9,"0,04","0,016",,,,['Massepain'],['E322i - Lécithine'],26 g,en quantité élevée,7 g,en quantité élevée,51 g,en quantité élevée,0.04 g,en faible quantité,+7%,,+8%,+47%,+221%,-19%,-13%,+37%,+8%,+8%,17,+8%,D,+8%,,,,,,,,['Fruits à coque'],"['Agriculture durable', 'en:UTZ Certified']",,,,,,
744,"Kisss party dark - Mousse au sucre, chocolat et gaufrette - Frey - 138g",7616500151437,138g,"['Frey', 'Migros']",['Migros'],"['France', 'Suisse']","['Sucre', 'pâte de cacao', 'eau', 'sirop de glucose', 'sirop de sucre inverti', 'beurre de cacao', 'gaufrette ', 'farine de froment', 'sucre', ""jaune d'œuf en poudre "", 'de ponte au sol', 'huile de palme', 'lait en poudre riche en matière grasse', 'émulsifiant : lécithine de soja', 'poudre à lever : E 500 ii', 'sirop de sucre caramel', 'sel de cuisine iodé', 'humectant : sirop de sorbitol', ""blanc d'œuf en poudre "", 'de ponte au sol', 'amidon de riz', 'épaississants : pectine et E406', 'émulsifiant : lécithine de soja', 'arômes', 'acidifiant : acide citrique']","['Huile de palme', 'Non végétalien']",4,1669,398,1669 kj(398 kcal),14,9,64,54,3,"0,05","0,02",,,"['Carton', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E420ii - Sirop de sorbitol', 'E440 - Pectines', 'E406 - Agar-agar', 'E330 - Acide citrique']",14 g,en quantité modérée,9 g,en quantité élevée,54 g,en quantité élevée,0.05 g,en faible quantité,-25%,-25%,-24%,-56%,-48%,+22%,+14%,-49%,-67%,-67%,19,-22%,E,-22%,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Soja']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['Huile de palme'],['Suisse'],,,,
745,Morenköpfe - Migros - 536g,7616500152304,536 g,['Migros'],,"['France', 'Suisse']",[],[],,?,402,1682 kj(402 kcal),14,"8,6",66,58,"2,9","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,
746,Branches Classic - Frey - 135g e (5 *27g),7616500155879,135 g e (5 *27 g),"['Frey', 'Migros']",['Migros'],"['France', 'Suisse']","['Sucre', 'éclats de NOISETTES et NOISETTES moulues 13 %', 'beurre de cacao', 'pâte de cacao', 'LAIT entier en poudre', 'LAIT écrémé en poudre', 'cacao en poudre', 'huile de coco', 'huile de palme et de palmiste ', 'en proportion variable', 'AMANDES moulues', 'émulsifiant: lécithine de SOJA', 'arômes', 'PISTACHES', 'NOIX']","['Huile de palme', 'Non végétalien']",4,2270,542,2270 kj(542 kcal),32,16,55,53,7,"0,15","0,06",,,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",['E322i - Lécithine'],32 g,en quantité élevée,16 g,en quantité élevée,53 g,en quantité élevée,0.15 g,en faible quantité,+5%,+8%,+8%,+17%,+6%,-1%,+18%,+3%,-54%,-54%,23,-6%,E,-6%,,,,,,,,"['Lait', 'Fruits à coque', 'Soja']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['Huile de palme'],['Suisse'],,,,
747,Classic Branches - Frey - 810g,7616500172647,810 g,['Frey'],,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'éclats de noisettes et noisettes moulues 10 %', 'lait entier en poudre', 'pâte de cacao', 'lait écrémé en poudre', 'huile de palme', 'cacao en poudre', 'huile de coco', 'émulsifiant: lécithine de soja', 'amandes moulues', 'arômes naturels', 'noix', 'pistaches']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2258,?,2258 kj(540 kcal),32,16,55,54,"6,7","0,16","0,064",,,"['Carton', 'boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Aliments et boissons de Noël', 'Barres chocolatées']",['E322i - Lécithine'],32 g,en quantité élevée,16 g,en quantité élevée,54 g,en quantité élevée,0.16 g,en faible quantité,+5%,,+7%,+17%,+6%,-1%,+20%,-2%,-50%,-50%,23,-6%,E,-6%,,,,,,,,"['Lait', 'Fruits à coque', 'Soja']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['Huile de palme'],,,,,
748,Freylini Mix - Frey - 1kg e,7616500178229,1 kg e,"['Frey', 'Migros']",['Migros'],"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'NOISETTES pâte de cacao', 'LAIT entier en poudre', 'LAIT écrémé en poudre', 'huile de coco', 'AMANDES', 'BEURRE fondu', 'café torréfié moulu', 'huile de tournesol', 'cacao en poudre', 'émulsifiant: lécithine de SOJA', 'sucre', 'caramel', 'arômes naturels']",['Non végétalien'],4,2430,584,2430 kj(584 kcal),40,20,47,45,7,"0,12","0,048",,Assortiment de bonbons de chocolat au lait fourré assorti.,"['Sachet', 'Plastique', 'Métal', 'Aluminium']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['E322i - Lécithine'],40 g,en quantité élevée,20 g,en quantité élevée,45 g,en quantité élevée,0.12 g,en faible quantité,+9%,+10%,+10%,+25%,+15%,-10%,-5%,+19%,-22%,-22%,21,-14%,E,-14%,,,,,,,,"['Lait', 'Fruits à coque', 'Soja']","['Agriculture durable', 'en:UTZ Certified', 'Fabriqué en Suisse', 'en:utz-certified-cacao']",,['Suisse'],,,,
749,Suprême Vanille Bourbon - Frey - 100g,7616500605763,100 g,['Frey'],,"['France', 'Suisse']","['pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'arôme de vanille 0', '05 %', 'arôma', ' Peut contenir des fruits à coque et du lait', ' Cacao: 55 % minimum dans le chocolat']",[],4,?,541,2264 kj(541 kcal),34,20,48,44,"6,3",0,0,,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Suprême Crema Catalana - Chocolat blanc avec délicieux caramel - Frey - 100g,7616500631243,100 g,['Frey'],,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'lait entier en poudre', 'granulé au caramel 9 % ', 'sucre', 'sucre caramel 20 %', 'fructose', 'lait écrémé en poudre', 'arômes', 'émulsifiant: lécithine de soja', ' Peut contenir des noisettes', ""des amandes et traces d'autres fruits à coque "", 'noix']",['Non végétalien'],4,2380,572,2380 kj(572 kcal),36,22,56,56,6,"0,22","0,088",E,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs', 'Chocolats blancs au caramel']",['E322i - Lécithine'],36 g,en quantité élevée,22 g,en quantité élevée,56 g,en quantité élevée,0.22 g,en faible quantité,+1%,+1%,+1%,-0%,+2%,+5%,+11%,-10%,-14%,-14%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,
751,Baby Bunny - Frey - 150g,7616500632301,150 g,"['Frey', 'Migros']",['Migros'],"['France', 'Suisse']",[],[],,?,?,,?,,?,,?,,,,,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Pasqualino,7616500636439,,,,['France'],[],[],,?,585,2448 kj(585 kcal),39,24,52,52,6,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Lapin En Chocolat Kids 300g,7616500636453,,,,['France'],[],[],,?,559,2339 kj(559 kcal),35,21,53,52,7,"0,2","0,08",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,35 g,en quantité élevée,21 g,en quantité élevée,52 g,en quantité élevée,0.2 g,en faible quantité,,+1%,+1%,+2%,+1%,-1%,-0%,+7%,+3%,+3%,26,-1%,E,-1%,,,,,,,,,,,,,,,
754,Prestige - Frey - 250g,7616500639805,250g,['Frey'],,"['France', 'Suisse']","['Sucre', 'beurre e cacao', 'pâte de cacao', 'lait entier en poudre', 'noisettes', 'amandes', 'huile de coco', 'huile de palme', 'lait écrémé en poudre', 'sirop de sucre inverti', 'beurre fondu', 'huile de tournesol', 'noix de macadamia', 'pistaches', 'crème', 'sirop de sucre caramel', 'humectant: sirop de sorbitol', 'sirop de glucose', 'émulsifiant: lécithine de soja', 'cacao en grains', 'noix', 'Cointreau', 'miel', 'café torréfié moulu', 'arômes', 'farine de riz', 'semoule de mais', 'beurre', 'épaississant: gomme arabique', 'farine de sarrasin', 'farine de riz complet', 'sel de cuisine', ""blanc d'œuf en poudre "", ""d'élevage en liberté"", 'extrait de carthame', 'concetré de spirulina', ""Peut contenir du gluten et des traces d'autres fruits à coque "", 'noix', 'Cacao: 33% minimum dans le chocolat au lait', 'Cacao: 44% minimum dans le chocolat noir']","['Huile de palme', 'Non végétalien']",4,2400,?,2400 kj(574 kcal),39,21,49,47,6,"0,12","0,048",,,,,"['E420ii - Sirop de sorbitol', 'E322i - Lécithine', ""E414 - Gomme d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Fruits à coque']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['Huile de palme'],,,,,
755,Les Délices Brownie - Frey - 100g,7616500645479,100 g,['Frey'],,"['France', 'Suisse']","['Sucre', 'pâte de cacao', 'huile de palme et de palmiste ', 'en proportion variable', 'beurre de cacao', 'cacao maigre en poudre', 'lait entier en poudre', 'amandes effilées 3', '5 %', 'lait écrémé en poudre', 'brisures de biscuits 1', '7 % ', 'sucre', 'noisettes', 'amandes', 'farine de froment', 'amidon de froment', ""blanc d'œuf en poudre "", ""d'élevage en liberté"", 'beurre fondu ', 'lait', 'émulsifiant: lécithine de soja', 'arômes', "" Peut contenir des traces d'autres fruits à coque "", 'noix', ' Cacao: 34 % minimum dans le chocolat']","['Huile de palme', 'Non végétalien']",4,2240,535,2240 kj(535 kcal),32,20,54,52,6,"0,1","0,04",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque']","['Agriculture durable', 'en:UTZ Certified']",['Huile de palme'],,,,,
756,Napolitains - Frey - 300g,7616500656192,300 g,['Frey'],,"['France', 'Suisse']","['Sucre', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'éclats de noisettes et noisettes moulues', 'lait écrémé en poudre', 'cacao en poudre', 'amandes moulues', 'beurre fondu', 'sucre caramel', 'huile de coco', 'petit-lait en poudre', 'émulsifiant: lécithine de soja', 'arômes', ""Peut contenir d'autres fruits à coque et des œufs"", 'Cacao: 31% minimum dans le chocolat au lait', 'Cacao: 44% minimum dans le chocolat noir']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2410,?,2410 kj(576 kcal),39,22,48,46,7,"0,17","0,068",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']",['E322i - Lécithine'],39 g,en quantité élevée,22 g,en quantité élevée,46 g,en quantité élevée,0.17 g,en faible quantité,+6%,,+4%,+7%,+4%,+4%,+11%,-2%,+26%,+26%,24,-2%,E,-2%,,,,,,,,,,,,,,,
757,Tartufi - FREY - 200g,7616500656970,200 g,['FREY'],,"['France', 'Suisse']","['Éclats de noisettes et noisettes moulues 39 %', 'sucre', 'beurre de cacao', 'cacao maigre en poudre 12 %', 'émulsifiant: lécithine de soja', ' Peut du lait', ""des amandes et des traces d'autres fruits à coque "", 'noix']",[],4,2410,?,2410 kj(576 kcal),42,12,39,34,8,"0,02","0,008",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Fruits à coque']","['Agriculture durable', 'en:UTZ Certified']",,,,,,
758,Chocolat au lait fin aux canneberges aromatiques - Frey,7616500659971,,['Frey'],,['France'],"['Zucker', 'Kakaobutter', 'Kakaomasse', 'Vollmilchpulver', 'Magermilchpulver', 'Cranberrygranulat 3', '5% ', 'Zucker', 'Cranberrysaft', 'Fructose', 'Aromen', 'Butterreinfett', 'Emulgator: Sojalecithin', 'Aromen', ' Kann Haselnüsse', 'Mandeln und Spuren anderer Schalenfrüchte ', 'Nüsse', ' enthalten', ' Kakao: 34 % mindestens in der Schokolade']",[],,?,541,2264 kj(541 kcal),32,19,56,55,6,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,
759,Barre chocolatée - swiss,7616500660281,,['Swiss'],,"['France', 'Espagne']","['Azúcar', 'manteca de cacao', 'leche en polvo', 'pasta de cacao', 'emulgente: lecitina de soja', 'aroma']",[],,?,561,2347 kj(561 kcal),34,20,58,57,5,"0,14","0,056",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,34 g,en quantité élevée,20 g,en quantité élevée,57 g,en quantité élevée,0.14 g,en faible quantité,,+2%,+2%,-7%,-5%,+26%,+39%,-31%,+1%,+1%,27,+15%,E,+15%,,,,,,,,,,,,,,,
760,Mahony Milk - Frey,7616500660465,,['Frey'],,['France'],[],[],,?,540,2259 kj(540 kcal),31,18,58,57,6,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Frey Collection - 420g,7616500660731,420 g,['Frey'],,"['France', 'Suisse']","['sucre', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'huile de amandes', 'huile de coco', 'huile de tournesol', 'lait écrémé en poudre', 'cacao maigre en poudr Yde glucose', 'cacao en poudre', 'émulsifiant: lécithine de soja', 'cacao en grains', 'café torréfié cre Inverti', 'arômes', ' Peut contenir du gluten', ""des oeufs et des traces d' autres fruits coqu< minimum dans le chocolat au lait minimum dans le chocolat noir rtite ? Ingredienti: zucchero"", 'burro di cacao', 'pasta di cacao', 'latte intero in po\\vere', 'ndorle', 'olio di cocco', 'olio di girasole', 'latte magro in polvere', 'cacao magro in po\\ve rosio', 'cacao in polvere', 'emulsionante: lecitina di soia', 'semi di cacao', 'caffè torrefa :chero invertito', 'aromi', ' Può contenere glutine', ""uova e tracce d'altra frutta con gu inimo nel cioccolato al latte inimo nel cioccolato amaro""]",['Non végétalien'],4,2410,?,2410 kj(576 kcal),39,22,49,48,6,"0,11","0,044",,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Classic Branches midi - Frey - 650g,7616500661554,650 g,['Frey'],,"['France', 'Suisse']",[],[],,2260,?,2260 kj(540 kcal),32,17,56,54,6,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
