,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,ingredients_origins,manufacturing,markets,allergens,nova_score,quantity,packaging,brand_owner,additives,link,palm_ingredients
820,Saucisses cocktail fumées au bois de hêtre - 300g,1348360068261,,['France'],[],[],?,284,26,"0,5",12,2,"0,8",,,,,,,,,,,,,,1188 kj(284 kcal),,,10,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,
821,comté,0205050046057,,['France'],[],[],?,?,?,?,?,0,0,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
822,Couronne des rois briochée à la fleur d'oranger - 400g,0260483036082,,['France'],[],[],?,?,?,?,?,0,0,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,400 g,,,,,
823,Cailles farcies pommes et raisins,0215691042370,,['France'],[],[],?,201,13,"4,5",16,"0,62","0,248",,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,841 kj(201 kcal),,,"3,4",,,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Foie gras de canard entier du perigord,3515816001181,,['France'],[],[],?,543,"55,6","2,4",8,"1,3","0,52",,,,,,,,,,,,,,2272 kj(543 kcal),,,"20,3",,,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Buche creme au beurre - Auchan,2030505425211,['Auchan'],['France'],[],[],?,394,"24,2","39,5","0,7","0,2","0,08",,,,,,,,,,,,,,1648 kj(394 kcal),,,15,,,"35,1",,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,
826,Onion & Garlic - Tesco,10066966,['Tesco'],['France'],[],[],?,243,"23,4","6,3","1,7","0,9","0,36",,,,,,,,,,,,,,1017 kj(243 kcal),,,"5,1",,,"2,7",,,,,,,,,,,,,,,,,,,,['Tesco'],,,,,,,,
827,32 canapés de Noël,3450350032126,,['France'],[],[],?,246,15,19,"9,2","1,1","0,44",,,,,,,,,,,,,,1029 kj(246 kcal),,,9,,,"4,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Oveja Curado,2350267013335,,['France'],[],[],?,440,38,"1,6",23,"1,6","0,64",,,['en:gluten-free'],,,,,,,,,,,1841 kj(440 kcal),,,28,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Pralines - 138g,0200030196456,,['France'],[],[],?,556,34,55,"7,2","0,22","0,088",,,,,,,,,,,,,,2326 kj(556 kcal),,,20,,,55,,,,,,,,,,,,,,,,,,,,,,,138 g,,,,,
830,Prince pompom,3564980370005,,['France'],[],[],?,49.5,"0,1",12,"0,2","0,1","0,04",,,,,,,,,,,,,,207 kj(49 kcal),,,0,,,"10,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,"Pain au seigle ""vieux Riga""",4250239113859,,['France'],[],[],?,288,"6,83","44,49","8,7","0,98","0,392",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,6.83 g,en quantité modérée,0.58 g,en faible quantité,1.32 g,en faible quantité,0.98 g,en quantité modérée,,+25%,1205 kj(288 kcal),+25%,+247%,"0,58",+70%,+7%,"1,32",-55%,+26%,-14%,-14%,2,+82%,B,+82%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,,,,,,,
832,Vins,3760086203401,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Saucisse Francfort bio,2443810035035,,['France'],[],[],?,187,13,"0,6",17,"1,7","0,68",,,['Bio'],,,,,,,,,,,782 kj(187 kcal),,,"5,2",,,"0,6",,,,,,,,,,,,,,,,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,,,,,,
834,Yakisoba poulet,3760278203257,,['France'],[],[],?,137,"3,3",16,10,"1,2","0,48",,,,,,,,,,,,,,573 kj(137 kcal),,,"0,24",,,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,L'apéro d'Achille,3760278131796,,['France'],[],[],?,282,14,26,13,"1,3","0,52",,,['Fabriqué en Italie'],,,,,,,,,,,1180 kj(282 kcal),,,"6,8",,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Yakisoba Crevette,3760278203356,,['France'],[],[],?,121,"2,9",17,"6,4","1,6","0,64",,,,,,,,,,,,,,506 kj(121 kcal),,,"0,3",,,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Vin de bordeau,3660989220218,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,Buche chocolat - Auchan - 385g,2030506476557,['Auchan'],['France'],[],[],?,338,22,27,"6,4","0,3","0,12",,,,,,,,,,,,,,1414 kj(338 kcal),,,14,,,22,,,,,,,,,,,,,,,,,,,,['Auchan'],,,385 g,,,,,
839,Boneless & skinless tilapia - The Kroger Co.,0011110860033,['The Kroger Co.'],['France'],[],[],?,97.345132743363,"1,77",0,"20,354","0,841","0,336",,"['Produits de la mer', 'Poissons', 'Tilapia']",,1.77 g,en faible quantité,0.442 g,en faible quantité,0 g,en faible quantité,0.841 g,en quantité modérée,,-49%,407 kj(97 kcal),-49%,-84%,"0,442",-81%,-100%,0,-100%,+11%,-45%,-45%,-1,-115%,A,-115%,,,,,,,,,,,,,,,,,,,,
840,Thé les deux mouflons,0304358425257,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,Le chocolat - Alain Ducasse,3700829007293,['Alain Ducasse'],['France'],[],[],?,547,37,37,12,"0,34","0,136",,,,,,,,,,,,,,2289 kj(547 kcal),,,11,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Huîtres fines Bretagne - 3kg,3000129268647,,['France'],[],[],?,42,"1,5","0,8","6,36","1,45","0,58",,,,,,,,,,,,,,176 kj(42 kcal),,,"0,34",,,0,,,,,,,,,,,,,,,,,,,,,,,3 kg,,,,,
843,fumet de poisson,7090046520108,,['France'],[],[],?,0,0,"0,3","3,5","0,4","0,16",,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Fumets de poisson']",,,,,,,,,,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-99%,"0,3",-94%,-58%,-97%,-97%,,,,,,,,,,,,,,,,,,,,,,,,
844,6 mini fondants,3498844202013,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Figues farcies au foie gras - Lafitte,3410840018078,['Lafitte'],['France'],[],[],?,417,"31,5","25,5","5,2","0,2","0,08",,,,,,,,,,,,,,1745 kj(417 kcal),,,"13,5",,,"23,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Cidre rosé - Casino,3222476928320,['Casino'],['France'],[],[],?,?,?,?,?,0,0,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,['Casino'],,,,,,,,
847,Mini éclairs,0045035082591,,['France'],[],[],?,100,15,12,2,"0,65","0,26",,,,,,,,,,,,,,418 kj(100 kcal),,,3,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,"Bel Normande - Traubensecco Weiss 0,75l",3104935391282,,['France'],[],[],?,140,0,35,0,"0,05","0,02",,,,,,,,,,,,,,586 kj(140 kcal),,,0,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,SOSSISKI,0293165050380,,['France'],[],[],?,258,21,"1,2",16,"2,1","0,84",,,,,,,,,,,,,,1079 kj(258 kcal),,,"8,1",,,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Sorbet Genepi,3576370721144,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Dinde farcie aux marrons et aux cèpes,0208833130271,,['France'],[],[],?,157,"7,5","2,7",20,"0,5","0,2",,,,,,,,,,,,,,657 kj(157 kcal),,,"2,9",,,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Cafe arabica Magie Noire,3351124000023,,['France'],[],[],?,0,?,?,?,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,-100%,0 kj(0 kcal),-100%,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,
853,Karukera Gold Rum,3760159470242,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Vin rouge,3495050000334,,['France'],[],[],?,?,?,?,?,0,0,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,
855,Alidrom X Ail Désodorisé - 30 Gélules - Orthonat,5425005541320,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Sorbet Pêche,3760244100351,,['France'],[],[],?,128.24,0,"31,43","0,42",0,0,,,,,,,,,,,,,,537 kj(128 kcal),,,0,,,"15,04",,,,,,,,,,,,,,,,"['FR 05.040.186 CE', 'Chorges (Hautes-Alpes, France)']",,,,,,,,,,,,
857,Chocolate chip biscuits,5017162005250,,['France'],[],[],?,515,"25,8","66,9","5,1","0,87","0,348",,,,,,,,,,,,,,2155 kj(515 kcal),,,10,,,"32,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,MANDARINE CLEMENVILLA,8425174002131,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Vin rouge,3303292702803,,['France'],[],[],?,?,?,?,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,
860,Rotella Confiserie a la reglisse,2608116020936,,['France'],[],[],?,310,"0,7","70,8","3,7","1,7","0,68",,,['Fabriqué en France'],,,,,,,,,,,1297 kj(310 kcal),,,"0,1",,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Gosset Grand Millesime,3353210058253,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Calissons de Provence - 340g,3465170902009,,['France'],[],[],?,409,16,62,"6,6","0,05","0,02",B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', 'Calissons de provence']",['Fabriqué en France'],16 g,en quantité modérée,0 g,en faible quantité,58 g,en quantité élevée,0.05 g,en faible quantité,,-7%,1711 kj(409 kcal),-8%,-11%,0,-100%,+2%,58,+17%,-14%,-2%,-2%,15,+3%,D,+3%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,340 g,,,,,
863,Rillette au sapin,3760267057267,,['France'],[],[],?,510,41,"2,5",17,"1,5","0,6",,,,,,,,,,,,,,2134 kj(510 kcal),,,15,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Hierbas Morey,8411139100387,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Pavés d'autruche,2212130061273,,['France'],[],[],?,103,"1,5","1,2",21,"1,2","0,48",,"['Viandes', 'Autruche', ""Pavés d'autruche""]",,1.5 g,en faible quantité,0.6 g,en faible quantité,0.6 g,en faible quantité,1.2 g,en quantité modérée,,,431 kj(103 kcal),-12%,-18%,"0,6",0%,+82%,"0,6",+175%,-12%,+24%,+24%,1,,B,,,,,,,,,,,,,,,,,,,,,
866,Vacherin glacé - Erhard,3428420021165,['Erhard'],['France'],[],[],?,267,12,37,"2,4","0,17","0,068",,['Desserts'],,12 g,en quantité modérée,7.9 g,en quantité élevée,32 g,en quantité élevée,0.17 g,en faible quantité,,+51%,1117 kj(267 kcal),+52%,+77%,"7,9",+119%,+56%,32,+74%,-24%,+28%,+28%,17,+151%,D,+151%,,,,,,,,,,,,,,,,,,,,
867,Sorbet poire - Otantic,3760244100412,['Otantic'],['France'],[],[],?,159.93,0,"39,04","0,04",0,0,,,,,,,,,,,,,,669 kj(159 kcal),,,0,,,"13,51",,,,,,,,,,,,,,,,"['FR 05.040.186 CE', 'Chorges (Hautes-Alpes, France)']",,,,,,,,,,,,
868,Surtido De Navidad Sin Azucares Añadidos E. Moreno,8410536003758,,['France'],[],[],?,503,"28,5",55,"4,2","0,2","0,08",,,,,,,,,,,,,,2105 kj(503 kcal),,,"11,2",,,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,E. Guigal Saint-joseph Rouge Lieu-dit,3536650911009,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Magret de canard,0245510027479,,['France'],[],[],?,?,?,?,?,0,0,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,
871,Galette Frangipane,0209534058383,,['France'],[],[],?,415,29,31,"6,7","0,59","0,236",D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,29 g,en quantité élevée,16 g,en quantité élevée,8.1 g,en quantité modérée,0.59 g,en quantité modérée,,-2%,1736 kj(415 kcal),-1%,+10%,16,+8%,-20%,"8,1",-37%,+6%,-15%,-15%,18,-6%,D,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,
872,Parmesan grated cheese,0060383076856,,['France'],[],[],?,0,"26,6",0,40,"1,6","0,64",,,,,,,,,,,,,,0 kj(0 kcal),,,"16,6",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Macarons - 462g,0202634058710,,['France'],[],[],?,421,18,54,0,"0,18","0,072",D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['Sans conservateurs'],18 g,en quantité modérée,3.9 g,en quantité modérée,53 g,en quantité élevée,0.18 g,en faible quantité,,-1%,1761 kj(421 kcal),-1%,+1%,"3,9",-14%,-3%,53,+5%,-100%,+26%,+26%,18,+2%,D,+2%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,462 g,,,,,
874,Boule de pain blanc,0200093005580,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Pessac leognan,3760145420664,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Organic sea salt beet chips,0829739500137,,"['France', 'États-Unis']","['Organic beets', 'organic high oleic sunflower oil', 'sea salt', 'organic rosemary extract ', 'to preserve freshness']",[],?,400,"7,5","72,5",10,2,"0,8",,['Snacks'],['Bio'],7.5 g,en quantité modérée,2.5 g,en quantité modérée,42.5 g,en quantité élevée,2 g,en quantité élevée,,-11%,1674 kj(400 kcal),-11%,-64%,"2,5",-72%,+29%,"42,5",+41%,+59%,+280%,+280%,18,+1%,D,+1%,,,,,,,,,,,,,,3,,,"Rhythm Superfoods, LLC",,,
877,batonnets glacés - 65g,3760271910305,,['France'],[],[],?,92,0,20,0,0,0,,,,,,,,,,,,,,385 kj(92 kcal),,,0,,,19,,,,,,,,,,,,,,,,,,,,,,,65 g,,,,,
878,Ifruit,6130649000230,,['France'],[],[],?,50,0,"12,5",0,"0,01","0,004",,,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,209 kj(50 kcal),,,0,,,"11,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Petit bois - Daco Bello,3270720013773,['Daco Bello'],['France'],[],[],?,330,"3,3",69,"3,3","0,03","0,012",,,,,,,,,,,,,,1381 kj(330 kcal),,,"0,5",,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Filets de crocodile au curry vert,2699199055564,,['France'],[],[],?,151,"7,3","1,9",20,"0,71","0,284",,,,,,,,,,,,,,632 kj(151 kcal),,,"1,5",,,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Eau de vie poire williams,3275570430701,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Spécial ref berries cereal bar - Kellogg's,6001306001368,"[""Kellogg's""]",['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Turrón Agramunt De Chocolate En Bolsa,8410495080845,,['France'],[],[],?,485,31,43,9,"0,1","0,04",,,,,,,,,,,,,,2029 kj(485 kcal),,,"4,5",,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Caramel au beurre salé,3555080049618,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Sencha à la rose - Monoprix - 125g,3350031766534,['Monoprix'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 78466', 'Orgeval (Yvelines, France)']",,,,['Monoprix'],,,125 g,,,,,
886,Mini croquants fruits confits - Castellane - 125g,3307484001347,['Castellane'],['France'],"['Farine de blé ', '40%', 'sucre ', '19%', 'cubes de pastèques confits ', '13%', ' ', 'pastèque', 'sirop de glucose-fructose', 'saccharose', 'conservateur : sorbate de potassium et anhydride sulfureux', ""correcteur d'acidité : acide citrique"", 'colorant : caramel', 'carmin de cochenille et bleu brillant', ',amande en poudre', 'œuf entier ', '6,4%', 'beurre AOP ', '4,8%', ""jaune d'oeuf "", '3,7%', 'extrait aromatique rhum orange ', '3,2%', ' ', 'rhum', ""infusion d'écorces d'oranges douces"", 'alcool', 'poudre à lever: carbonates de sodium', 'sel', 'acidifiant: acide tartrique', "" Traces éventuelles d'autres fruits à coques""]","['Non végétalien', 'Non végétarien']",?,408,12,66,"8,1","0,43","0,172",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,12 g,en quantité modérée,4.1 g,en quantité modérée,33 g,en quantité élevée,0.43 g,en quantité modérée,,-14%,1707 kj(408 kcal),-14%,-42%,"4,1",-59%,+3%,33,+12%,+25%,-27%,-27%,15,-24%,D,-24%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,"['Œufs', 'Gluten', 'Anhydride sulfureux et sulfites']",4,125 g,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E150 - Caramel', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E500 - Carbonates de sodium', 'E334 - Acide L-tartrique']",,
887,Croissant,0242130013127,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Graines de tournesol - Suntat,8690804359408,['Suntat'],['France'],[],[],?,382,24,"5,2",14,"0,02","0,008",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,24 g,en quantité élevée,3.7 g,en quantité modérée,1.5 g,en faible quantité,0.02 g,en faible quantité,,-33%,1598 kj(382 kcal),-33%,-47%,"3,7",-25%,-61%,"1,5",-38%,-36%,-99%,-99%,2,-85%,B,-85%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,,,,,
889,Chocolat lait et noisettes,8718537535903,,['France'],[],[],?,565,"37,1","47,7","7,9","0,2","0,08",,,,,,,,,,,,,,2364 kj(565 kcal),,,19,,,"45,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Saucisse de morteau,2295153045208,,['France'],[],[],?,265,"20,5","0,3","20,4","2,56","1,024",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,20.5 g,en quantité élevée,9 g,en quantité élevée,0.3 g,en faible quantité,2.56 g,en quantité élevée,,-16%,1109 kj(265 kcal),-17%,-25%,9,-15%,-46%,"0,3",-22%,+21%,+15%,+15%,21,-4%,E,-4%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,,,,,,,,,,
891,Crevette,0209306013787,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,baba au limoncello,3381661000644,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Jus de poire du pays briatd,3760008740021,,['France'],[],[],?,?,?,?,?,0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
894,Escalope dinde,2865524024011,,['France'],[],[],?,?,?,?,?,0,0,,,['Bleu Blanc Cœur'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,RICKY MULTIVITAMIN,4260066328203,,['France'],[],[],?,5,0,"0,9",0,"0,01","0,004",,,,,,,,,,,,,,21 kj(5 kcal),,,0,,,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Snacks,8412139003746,,['France'],[],[],?,451,"17,6","67,2","4,5","3,2","1,28",,,,,,,,,,,,,,1887 kj(451 kcal),,,"1,9",,,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Fuli Rice Cracaker,4713072176271,,['France'],[],[],?,613.4,"45,4","45,1","6,1","0,223","0,089",,,,,,,,,,,,,,2566 kj(613 kcal),,,22,,,"16,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Magret de canard du sud ouest,2172048004666,,['France'],[],[],?,?,?,?,?,0,0,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,"['FR 16.128.002 CE', 'Épenède (Charente, France)']",,,,,,,,,,,,
899,Jambon en croûte,0294371068886,,['France'],[],[],?,198,"7,3",17,16,"1,8","0,72",,,,,,,,,,,,,,828 kj(198 kcal),,,"3,1",,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,5 croissants + 5 choco tourneso -  - 10pcs,0208539019610,,['France'],"['farine de blé ', 'GLUTEN', ' blé malté ', 'GLUTEN', ': eau', ' huiles et graisses végétales palme', 'tournesol', 'tournesol totalement hydrogénée', ' sucre', ' levure', ' sel', ' ŒUF', ' levain de blé dévitalisée déshydraté ', 'GLUTEN', "" GLUTEN de blé extrait de malt d'orge "", 'GLUTEN', ' émulsifiant E471', ' agent de traitement de la farine: acide ascorbique', ' enzymes', ' Farine de blé ', 'GLUTEN', ' BR malté ', 'GLUTEN', ' eau', 'huiles et graisses végétales ', 'palme', 'tournesol', 'tournesol totalement hydrogénée', ' sucre', ' pâte de cacao', ' levure', ' OEUF', ' sel', ' levain de BLÉ dévitalisée déshydratée', ' GLUTEN de blé', "" extrait de malt d'orge "", 'GLUTEN', ' beurre de cacao', ' émulsifiant: E471', 'lécithines de SOJA', ' agent de traitement de la farine: acide ascorbique', ' enzymes']","['Huile de palme', 'Non végétalien']",?,?,?,?,?,,,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre', 'Pains briochés']",,,,,,,,,,,,,,,,,,,,,,,,,,,71.4%,16.0%,8.3%,3.7%,0.6%,0.0%,82,,,,,['Auchan'],"['Œufs', 'Gluten', 'Soja']",4,10 pcs,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E322i - Lécithine']",,['Huile de palme']
901,Saucisson,2288901048743,,['France'],[],[],?,406,"32,2","3,3","24,9","3,55","1,42",,,,,,,,,,,,,,1699 kj(406 kcal),,,"15,7",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Creme De Noix,3760056679182,,['France'],[],[],?,588,"45,01","31,56","9,89",0,0,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,2460 kj(588 kcal),,,"3,87",,,"26,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Marron entier premium,8240614080292,,['France'],[],[],?,145,"0,9","27,8","3,9","0,01","0,004",,,,,,,,,,,,,,607 kj(145 kcal),,,"0,2",,,"5,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Filet mignon en croûte -,0294916071241,,['France'],[],[],?,286,18,18,18,"1,2","0,48",,,,,,,,,,,,,,1197 kj(286 kcal),,,"7,2",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Sauce Bolognaise,3770010283119,,['France'],[],[],?,149,10,"6,1","7,8","1,4","0,56",,,,,,,,,,,,,,623 kj(149 kcal),,,"3,5",,,"2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Paupiettes de Veau,0247530082650,,['France'],[],[],?,271,"22,6","2,3","14,5","0,99","0,396",,,,,,,,,,,,,,1134 kj(271 kcal),,,9,,,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Cannette farcie,0215562112171,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
