,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,link,markets,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,nova_score,additives,manufacturing,ingredients_origins,generic_name,origin_detail
1137,Mini dragees - Casino - 16g,3222475001659,['France'],[],[],?,?,?,?,?,,16 g,['Casino'],,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 59599G', 'Tourcoing (Nord, France)']",,,,,,
1138,"Le libanais, houmous et olives - Croquez",3760198781323,['France'],[],[],?,274,"15,1","28,5","6,1",,,['Croquez'],,,,,,,,,,,,,,,1146 kj(274 kcal),,,"2,8",,,"3,4",,,"1,6",,"0,64",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1139,LoL ives - Lol-Ive,3760294080092,['France'],[],[],?,136,"13,2","2,1","1,4",,,['Lol-Ive'],,,,,,,,,,,,,,,569 kj(136 kcal),,,"2,34",,,"2,1",,,"1,99",,"0,796",,,,,,,,,,,,,,,,,,,,,
1140,Emincés en sauce/chats adultes - U,3256221672022,['France'],[],[],?,0,?,?,?,,,['U'],,,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,
1141,Fit balls bio - C'Top Bio - 144g,3760093911580,['France'],[],[],?,345,"8,7",55,"5,3",,144 g,"[""C'Top Bio""]",,,,,,,,,,,,,,,1443 kj(345 kcal),,,"0,9",,,47,,,"0,3",,"0,12",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté']",,,,,,,
1142,Mimolette,2891796018304,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Le tendre marcel - Tendre & Plus,3265980123287,['France'],[],[],?,133,5,0,22,,,['Tendre & Plus'],,,,,,,,,,,,,,,556 kj(133 kcal),,,"1,8",,,0,,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,
1144,Vigne rouge - Naturland,7001375007772,['France'],[],[],?,?,?,?,?,,,['Naturland'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Figurines de Pâques,4061458037006,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,
1146,200g,04982809,['France'],[],[],?,?,?,?,?,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,
1147,So Simple Fruit Muesli Morning Bars,5000108592853,['France'],[],[],?,410,"9,7","69,1","6,7",,,,,,,,,,,,,,,,,,1715 kj(410 kcal),,,"1,1",,,"20,2",,,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,
1148,Fromage de tete tradition,2454813016792,['France'],[],[],?,115,"5,7",0,16,D,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",,,,5.7 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,,-41%,481 kj(115 kcal),-39%,-58%,2,-62%,-100%,0,-100%,+5%,"1,7",-2%,"0,68",-2%,4,-66%,C,-66%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,['Sans colorants'],"['FR 84.007.006 CE', 'Avignon (Vaucluse, France)']",,,,,,
1149,Compote Duo pomme cerise de la Haute vallée du tarn - 400g,3760020024185,['France'],[],[],?,0,?,?,?,,400 g,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Pâtes au chanvre,4030414000606,['France'],[],[],?,355,"1,7","69,9","12,5",,,,,,,,,,,,,,,,,,1485 kj(355 kcal),,,"0,2",,,"3,5",,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1151,Le p'tit lucien - 180g,3760259731045,['France'],[],[],?,0,?,?,?,,180 g,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Saucisson cuit,2293337013128,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Bande flan,2840593019021,['France'],[],[],?,192,"7,4",29,"3,1",,,,,,,,,,,,,,,,,,803 kj(192 kcal),,,"4,8",,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Volaille fermière bio merguez,2444014033063,['France'],[],[],?,162,"9,5","0,9",18,,,,,,,,,,,,,,,,,,678 kj(162 kcal),,,"2,8",,,0,,,"1,7",,"0,68",,,,,,,,,,,,,,['Bio'],,,,,,,
1155,Abbaye du Barroux - 300g,0600012870372,['France'],[],[],?,399,"20,22","47,14","6,83",,300 g,,,,,,,,,,,,,,,,1669 kj(399 kcal),,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1156,Collagen powder,5060102601630,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Essential BCAA 2:1:1 - Myprotein,5056185744586,['France'],[],[],?,?,?,?,?,,,['Myprotein'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Fromage frais fermier campagne,3760259731052,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Myrtilles - Fruits Rouges & Co,3385630113007,['France'],[],[],?,0,?,?,?,B,,['Fruits Rouges & Co'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Myrtilles']",,,,,,,,,,,,,-100%,0 kj(0 kcal),-100%,,,,,,,,,,,,,,,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1160,Cidre de Bretagne,3271470761921,['France'],[],[],?,?,?,?,?,B,,,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidre de Bretagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],,
1161,Pop corn,3760082520441,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,cafetales cocla,3700809376524,['France'],[],[],?,1,0,"0,3","0,2",,,,,,,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1163,Pineau des charentes rosé,3219522200028,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Saumon fumé - 100g,5060374371569,['France'],[],[],?,190,11,"0,2","22,3",E,100 g,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,11 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,2.8 g,en quantité élevée,,+3%,795 kj(190 kcal),+3%,+5%,"2,1",+2%,-60%,0,-100%,+1%,"2,8",-1%,"1,12",-1%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,
1165,Sorbet artisanal fraise,3426510001004,['France'],[],[],?,137,0,37,0,,,,,,,,,,,,,,,,,,573 kj(137 kcal),,,0,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Mûres - Fruits Rouges & Co - 125g,3385630052023,['France'],[],[],?,?,?,?,?,,125 g,['Fruits Rouges & Co'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Fraich'taboulé familial,3760036573165,['France'],[],[],?,103.11,"6,16","9,44","1,6",B,,,"['Plats préparés', 'Taboulés']",,,,6.16 g,en quantité modérée,0.74 g,en faible quantité,2.19 g,en faible quantité,0.62 g,en quantité modérée,,-39%,431 kj(103 kcal),-39%,-5%,"0,74",+3%,-56%,"2,19",-33%,-64%,"0,62",-34%,"0,248",-34%,3,+10%,C,+10%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,
1168,Walima,3760197947898,['France'],[],[],?,?,?,?,?,,,['Walima'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Plaisie brut 3 noix et raisins,3168930181231,['France'],[],[],?,534,34,39,14,,,,,,,,,,,,,,,,,,2234 kj(534 kcal),,,"5,8",,,27,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,
1170,PC Speculoos Cookie Butter Crushed Cookie Spread,0060383146610,['France'],[],[],?,578.94736842105,"42,105","52,632","5,263",,,,,,,,,,,,,,,,,,2422 kj(578 kcal),,,"7,895",,,"31,579",,,"0,395",,"0,158",,,,,,,,,,,,,,,,,,,,,
1171,Chocolate soya,8410981018215,['France'],[],[],?,46,"1,9","5,5","3,6",,,,,,,,,,,,,,,,,,192 kj(46 kcal),,,"0,4",,,"4,4",,,"0,13",,"0,052",,,,,,,,,,,,,,,['FSC-C014047'],,,,,,
1172,Thé mangue - Fitvia,4260515891005,['France'],[],[],?,4,1,1,0,,,['Fitvia'],,,,,,,,,,,,,,,17 kj(4 kcal),,,0,,,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1173,Moulage poule1lait,3395328128626,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Nid d'abeille,03113822,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Nectar Framboise,3760131160444,['France'],[],[],?,48,0,12,0,,,,,,,,,,,,,,,,,,201 kj(48 kcal),,,0,,,11,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1176,paint au chocolat pur beurre,7636774023612,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Confiture de citron,3760082198794,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Crackers soufflés algues et tomates,3467740039191,['France'],[],[],?,364,"7,5",60,18,,,,,,,,,,,,,,,,,,1523 kj(364 kcal),,,"0,8",,,"3,4",,,"2,95",,"1,18",,,,,,,,,,,,,,,,,,,,,
1179,"Nick's Schokoladen-drink, Pulver",0856991004257,['France'],[],[],?,225,"5,6","47,5","7,6",,,,,,,,,,,,,,,,,,941 kj(225 kcal),,,"3,1",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Grandes escalopes de dinde,0213566036677,['France'],[],[],?,111,"1,2",0,25,D,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,1.2 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,,-8%,464 kj(111 kcal),-8%,-9%,"0,3",-26%,-100%,0,-100%,+9%,"0,2",-64%,"0,08",-64%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,
1181,Lait de coco,29000654,['France'],[],[],?,20,"0,9","2,7","0,1",,,,,,,,,,,,,,,,,,84 kj(20 kcal),,,"0,9",,,"1,9",,,"0,13",,"0,052",,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,
1182,Sorbetto framboos,8710401367245,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Product'],,,,,,,,
1183,Belgian chocolat,8710401534524,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Product'],,,,,,,,
1184,Pain aux graines de champions,0201161006034,['France'],[],[],?,291,"3,6",50,12,,,,,,,,,,,,,,,,,,1218 kj(291 kcal),,,"0,5",,,"1,2",,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,
1185,Yogurt,8710401533848,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Container'],,,,,,,,
1186,Carré de porc marinés,2692404025581,['France'],[],[],?,166,"8,6","4,1",18,,,,,,,,,,,,,,,,,,695 kj(166 kcal),,,"2,7",,,"1,7",,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,
1187,Mango,8710401367290,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bag'],,,,,,,,
1188,Muesli croustillant Cacao Sésame,3664037000708,['France'],[],[],?,390,"11,1","56,4","10,5",,,,,,,,,,,,,,,,,,1632 kj(390 kcal),,,"1,7",,,"14,7",,,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1189,Grillons de canard,3293540491088,['France'],[],[],?,547,"52,4","1,1",18,,,,,,,,,,,,,,,,,,2289 kj(547 kcal),,,18,,,"0,1",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
1190,Apple sun dried fruit,4850009990446,['France'],[],[],?,162,"0,195","39,42","0,565",,,,,,,,,,,,,,,,,,678 kj(162 kcal),,,0,,,"19,31",,,"0,128",,"0,051",,,,,,,,,,,,,,,,,,,,,
1191,Chaussons aux pommes,6543010000003,['France'],[],[],?,512,21,47,34,B,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,21 g,en quantité élevée,15 g,en quantité élevée,14 g,en quantité élevée,0.44 g,en quantité modérée,,+63%,2142 kj(512 kcal),+62%,+17%,15,+30%,+42%,14,+32%,+772%,"0,44",-26%,"0,176",-26%,20,+18%,E,+18%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,
1192,Les Cinq Baies,3770003737261,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,
1193,Anfangsmilch 1 - Bioland,7640104951421,['France'],[],[],?,?,?,?,?,,,['Bioland'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Glace,8718446006303,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Filet de poulet Plein Champ,2245333032085,['France'],[],[],?,138,"5,7","1,1",20,,,,['en:Filets de Poulet'],,,,5.7 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,0.16 g,en faible quantité,,+17%,577 kj(138 kcal),+17%,+114%,"1,8",+153%,+65%,0,-100%,-12%,"0,16",-75%,"0,064",-75%,-3,,A,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,
1196,Saucisson cuit a l'ail,3250399342954,['France'],[],[],?,257,"21,3","1,3",15,E,,,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,,,21.3 g,en quantité élevée,7.8 g,en quantité élevée,1.1 g,en faible quantité,2.07 g,en quantité élevée,,-6%,1075 kj(257 kcal),-7%,-4%,"7,8",-9%,+18%,"1,1",+54%,-6%,"2,07",-2%,"0,828",-2%,19,-2%,E,-2%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,"['Nutriscore', ""Saucisson à l'ail""]",,,,,,,
1197,Organic Raw Hemp,4742824017470,['France'],[],[],?,525,"35,5","27,6","24,8",,,,,,,,,,,,,,,,,,2197 kj(525 kcal),,,"2,5",,,3,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,
1198,Saucisse maroilles - 5x 50g,4051979065893,['France'],[],[],?,?,?,?,?,,5 x 50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Semper fidelis,3760257020202,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Mon Cordon,2208633037655,['France'],[],[],?,137,"1,6","8,7",20,,,,,,,,,,,,,,,,,,573 kj(137 kcal),,,"0,7",,,"1,5",,,"1,2",,"0,48",,,,,,,,,,,,,,"['Point Vert', 'Nutriscore', 'Nutriscore A']",,,,,,,
1201,Saucisses maroilles - 5x 50g,3445425016897,['France'],[],[],?,261,21,"0,9",17,,5 x 50 g,,,,,,,,,,,,,,,,1092 kj(261 kcal),,,"8,8",,,"0,4",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
1202,Saucisses,2490250026635,['France'],[],[],?,234,"18,3","1,1","16,3",,,,,,,,,,,,,,,,,,979 kj(234 kcal),,,"6,4",,,"0,7",,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,
1203,Pommes Pêches,3288310848216,['France'],[],[],?,61,"0,5",14,"0,01",,,,,,,,,,,,,,,,,,255 kj(61 kcal),,,"0,2",,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Sorbet plein fruit - Casino Bio,3222477557628,['France'],[],[],?,104,0,26,0,C,,['Casino Bio'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets']",,['Casino'],,0 g,en faible quantité,0 g,en faible quantité,24 g,en quantité élevée,0.16 g,en faible quantité,,-15%,435 kj(104 kcal),-15%,-100%,0,-100%,-9%,24,-1%,-100%,"0,16",+433%,"0,064",+433%,6,+14%,C,+14%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore', 'Nutriscore C']",,,,,,,
1205,Eau gazeuse,3068320090924,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Tom Yum Paste,7613312267066,['France'],[],[],?,235,"5,1",45,"1,6",,,,,,,,,,,,,,,,,,983 kj(235 kcal),,,"1,3",,,36,,,"9,4",,"3,76",,,,,,,,,,,,,,,,,,,,,
1207,Tarte aux pommes,0203631016406,['France'],[],[],?,203,"7,8",30,"1,7",,,,,,,,,,,,,,,,,,849 kj(203 kcal),,,"5,6",,,19,,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,
1208,Melon,3250392067274,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Tourte Riesling,3384310001450,['France'],[],[],?,263,"13,5","22,5","11,6",,,,,,,,,,,,,,,,,,1100 kj(263 kcal),,,"8,2",,,"0,8",,,"1,68",,"0,672",,,,,,,,,,,,,,,,,,,,,
1210,Petit gaperon d'Auvergne - 200g,3449080004329,['France'],[],[],?,0,?,?,?,,200 g,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Fondant au Chocolat,17098069,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Saucisse francfort bio,2443810035363,['France'],[],[],?,187,13,"0,6",17,,,,,,,,,,,,,,,,,,782 kj(187 kcal),,,"5,2",,,"0,6",,,"1,7",,"0,68",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
1213,Tome noire Pyrénées,2201573023689,['France'],[],[],?,?,?,?,?,,,,,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Sweet Red Bean Porridge - Bibigo - 280g,0807176720448,['France'],[],[],?,104,"0,5","20,9",4,C,280 g,['Bibigo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,0.5 g,en faible quantité,0.1 g,en faible quantité,7.7 g,en quantité modérée,0.5 g,en quantité modérée,,-74%,435 kj(104 kcal),-74%,-94%,"0,1",-95%,-69%,"7,7",-54%,-57%,"0,5",+40%,"0,2",+40%,2,-63%,B,-63%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,
1215,Tahina - 454g,5281033081265,['France'],[],[],?,15,18,3,8,,454 g,,,,,,,,,,,,,,,,63 kj(15 kcal),,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Pomme beterrave,3770009325288,['France'],[],[],?,45,"0,1",11,"0,1",,,,,,,,,,,,,,,,,,188 kj(45 kcal),,,"0,1",,,10,,,"0,1",,"0,04",,,,,,,,,,,,,,['Bio'],,,,,,,
1217,Plateau Barbecue x12,3497800200391,['France'],[],[],?,262,22,"1,5",14,,,,,,,,,,,,,,,,,,1096 kj(262 kcal),,,"9,3",,,"0,8",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,
1218,gorgonzola doux aop marca oro,2481055024995,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Guimauves lait/blanc/noir,2600689035492,['France'],[],[],?,404,"10,6","73,7","3,6",,,,,,,,,,,,,,,,,,1690 kj(404 kcal),,,"6,5",,,"56,7",,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Le mélange primeur,1159257309530,['France'],[],[],?,1,0,"0,3","0,2",,,,,,,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1221,Pain rustique,0200231006820,['France'],[],[],?,?,?,?,?,,,,,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Roquefort AOP U,2871738021128,['France'],[],[],?,?,32,?,19,,,,,,,,,,,,,,,,,,,,,24,,,,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,
1223,Yukari furikake,19027654,['France'],[],[],?,214,"2,2",34,10,,,,,,,,,,,,,,,,,,895 kj(214 kcal),,,"0,2",,,11,,,40,,16,,,,,,,,,,,,,,,,,,,,,
1224,Calissons d’Aix En Provence - Le Roy René,3102621012695,['France'],[],[],?,440,18,60,"7,4",B,,['Le Roy René'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', ""Calissons d'Aix""]",,,,18 g,en quantité modérée,1.6 g,en quantité modérée,54 g,en quantité élevée,,,,-2%,1841 kj(440 kcal),-2%,+1%,"1,6",-8%,-3%,54,+8%,-3%,,,,,,,,,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,
1225,Perrugina,2853223022896,['France'],[],[],?,199,13,"1,5",19,,,,,,,,,,,,,,,,,,833 kj(199 kcal),,,"3,9",,,0,,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,
1226,Moelleux cacao,0208781032474,['France'],[],[],?,382,"3,6",70,"6,4",,,,,,,,,,,,,,,,,,1598 kj(382 kcal),,,"1,8",,,49,,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,
1227,THON ROUGE DE LIGNE FUMÉ,3770012678081,['France'],[],[],?,144,"4,9",0,"23,3",,,,,,,,,,,,,,,,,,602 kj(144 kcal),,,"1,3",,,0,,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,
1228,Mimolette,2093187008271,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1229,Suisse choco x4,0207823018698,['France'],[],[],?,363,16,45,"6,1",,,,,,,,,,,,,,,,,,1519 kj(363 kcal),,,10,,,19,,,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,
1230,Huile d’olive,5202423600019,['France'],[],[],?,828,"91,6",0,0,,,,,,,,,,,,,,,,,,3464 kj(828 kcal),,,"69,2",,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1231,Compotée tomates séchées - 90g,3700600300391,['France'],[],[],?,419,21,42,11,,90 g,,,,,,,,,,,,,,,,1753 kj(419 kcal),,,"3,8",,,20,,,"7,4",,"2,96",,,,,,,,,,,,,,,,,,,,,
1232,Compote pomme banane,5900852045363,['France'],[],[],?,60,"0,2","13,6","0,4",,,,,,,,,,,,,,,,,,251 kj(60 kcal),,,0,,,11,,,0,,0,,,,,,,,,,,,,,,,,,,,,
1233,Poivre blanc Absinthe - 70g,3760075770754,['France'],[],[],?,?,?,?,?,,70 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,,,,,,0 g,en faible quantité,,,,,,,,,,,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,
1234,Tomme des Pyrenees IGO,2488000021450,['France'],[],[],?,346,28,"1,5",22,,,,,,,,,,,,,,,,,,1448 kj(346 kcal),,,20,,,"0,5",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,
1235,Compote pomme banane cassis myrtille,5900852045332,['France'],[],[],?,59,"0,2","12,5","0,5",B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,,,0.2 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité modérée,0 g,en faible quantité,,-9%,247 kj(59 kcal),-10%,-39%,0,-100%,-13%,"11,3",-13%,+33%,0,-100%,0,-100%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,
1236,Miel d acacia,3263620200312,['France'],[],[],?,?,?,?,?,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,0 g,en faible quantité,,,,,,,,,,0,-100%,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1237,Melange japonais,2600153009974,['France'],[],[],?,399,"6,9","73,3","10,1",,,,,,,,,,,,,,,,,,1669 kj(399 kcal),,,"1,5",,,"2,6",,,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,
