,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,link,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
717,Solpâk pêche abricot,3760153920002,,,,,['Sans conservateurs'],,,['France'],[],[],?,,34,,"0,5",,"8,6",,"0,5",,,,,,,,,,,,,,,,,,,,,,142 kj(34 kcal),,"0,1",,"8,3",,"0,01",,"0,004",,,,,,,,,,,
718,Cookies Chocolat + amandes sans gluten - Nature & Cie - 150g,3760154261715,D,150 g,['Nature & Cie'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sans gluten']","['Bio', 'en:gluten-free', 'Fabriqué en France']",,,['France'],"['BISCUITS AUX PĒPITES DE CHOCOLAT ET AMANDES Ingrédients farine de mais*', 'amande 18% ', ""poudre d'amande*"", 'amande*', 'beurre *', 'sucre de canne*', 'pépites de chocolat noir* 11 % ', 'pâte de cacao*', 'sucre de canne*', 'beurre de cacao*', 'émulsifiant : lécithine de tournesol', 'extrait de vanille*', 'amidon de mais*', 'oeuf', 'épaississant : gomme de guar*', 'émulsifiant : lécithine de tournesol', ""poudre à lever : carbonate d'ammonium"", 'extrait de vanille*', 'sel', ' ', ""*Ingrédients issus de l'agriculture biologique""]",['Non végétalien'],?,,500,+7%,29,+46%,53,-18%,"7,1",+40%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,['4 sachets de 37.5g'],,"['E322i - Lécithine', 'E412 - Gomme de guar', ""E503i - Carbonate d'ammonium""]",4,29 g,en quantité élevée,12 g,en quantité élevée,21 g,en quantité élevée,0.425 g,en quantité modérée,2092 kj(500 kcal),+7%,12,+63%,21,-13%,"0,425",-9%,"0,17",-9%,16,+3%,D,+3%,,"['Œufs', 'Lait', 'Fruits à coque']",,,,
719,Gros oeufs bio - La Ferme Mont St-Père - 6Œufs,3760155080025,B,6 Œufs,['La Ferme Mont St-Père'],"[""Produits d'élevages"", 'Œufs', 'Oeufs labellisés', 'Oeufs labellisés biologiques', 'Produits labellisés']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Point Vert', 'Triman']",['France'],"['FR 72.269.557 CE', 'Saint-Calais (Sarthe, France)']",['France'],['Gros Œufs Bio'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,?,,?,,?,,?,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,"['Carton', 'boîte']",,,1,,,,,,,,,,,,,,,,,,,,,,,,['Œufs'],['France'],,,
720,Cerneaux De Noix Nature Bio Sous Vide Du Moulin?,3760157581018,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",['Bio'],,,['France'],[],[],?,,?,,?,,?,,?,,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Myrtilles Sechees Bio* - NaturAttitud - 100g,3760159375561,,100 g,['NaturAttitud'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Myrtilles séchées']","['Bio', 'Bio européen', 'FR-BIO-10', 'Agriculture non UE', 'AB Agriculture Biologique']",,"['EMB 47027B', 'Bias (Lot-et-Garonne, France)']",['France'],"['Myrtilles séchées* 60%', 'jus de pomme concentré* 39%', ""huile de tournesol* 1 % *produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,359,+7%,"2,43",-65%,"77,2",+33%,"2,93",-29%,,,,,,,,,"['Sachet', 'Plastique']",,,3,2.43 g,en faible quantité,0.1 g,en faible quantité,51.4 g,en quantité élevée,0 g,en faible quantité,1502 kj(359 kcal),+7%,"0,1",-96%,"51,4",+19%,0,-100%,0,-100%,8,+67%,C,+67%,,,,,,
722,Pate a tartiner Praliné du Piémont - Le Comptoir De Mathilde - 250g,3760170099750,D,250 g,['Le Comptoir De Mathilde'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['en:palm-oil-free'],,,['France'],"[""NOISETTES du Piémont 55% sucre 45% Peut contenir des traces d'arachides"", ""d'autres fruits à coque"", 'de lait', ""d'eoufs"", 'de soja et de gluten']",['Sans huile de palme'],?,,564,+3%,36,+6%,49,-5%,"8,3",+22%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,4,36 g,en quantité élevée,2.5 g,en quantité modérée,48 g,en quantité élevée,0 g,en faible quantité,2360 kj(564 kcal),+3%,"2,5",-67%,48,+1%,0,-100%,0,-100%,18,-13%,D,-13%,,"['Fruits à coque', 'Arachides']",,,,
723,Le Riz au Lait nature - Sacre willy - 130g,3760178253109,B,130 g,['Sacre willy'],"['Desserts', 'Puddings', 'Riz au lait']",,,,['France'],"['lait 70%', 'riz 11%', 'sucre', 'crème']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,128,-12%,"5,3",+41%,"17,3",-23%,"2,7",-21%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,['Pot'],,,3,5.3 g,en quantité modérée,3 g,en quantité modérée,14 g,en quantité élevée,0.08 g,en faible quantité,536 kj(128 kcal),-11%,3,+32%,14,+4%,"0,08",-38%,"0,032",-38%,5,+24%,C,+24%,,['Lait'],,,,
724,Le Riz au Lait Vanille - Sacre willy,3760178253130,B,,['Sacre willy'],"['Desserts', 'Puddings', 'Riz au lait', 'Riz au lait saveur vanille']",['Fabriqué en France'],,,['France'],"['Lait des Alpes 70%', 'Riz de Camargue 11%', 'Sucre', 'Crème', 'Vanille de Madagascar 0,2%']",['Non végétalien'],?,,126,-5%,5,+37%,17,-18%,3,-8%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,3,5 g,en quantité modérée,1 g,en faible quantité,10 g,en quantité modérée,0.1 g,en faible quantité,527 kj(126 kcal),-4%,1,-57%,10,-20%,"0,1",-22%,"0,04",-22%,2,-44%,B,-44%,,"['Œufs', 'Lait']",,,,
725,Biscottes artisanales farines complètes - La Chanteracoise,3760178790543,B,,['La Chanteracoise'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'en:wholemeal-rusk', 'en:zwieback']","['Bio', 'Agriculture UE/Non UE', 'Sans colorants']",,,['France'],[],[],?,,377,-3%,"11,5",+84%,"52,4",-19%,"10,8",-18%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,,,11.5 g,en quantité modérée,1.7 g,en quantité modérée,2 g,en faible quantité,1.6 g,en quantité élevée,1577 kj(377 kcal),-3%,"1,7",+67%,2,-54%,"1,6",+26%,"0,64",+26%,12,+170%,D,+170%,,,,,,
726,Pate a tartiner au chocolat - Artisanale,3760185900225,D,,['Artisanale'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['Bio'],,,['France'],"['Sucre', 'Graisse végétale ', 'tournesol', 'Poudre de lait écrémé', 'Pâte de noisettes', 'Poudre de cacao', 'Emulsifiant', 'Lécithine de soja', 'Vanilline']","['Sans huile de palme', 'Non végétalien']",?,,553,+1%,"33,6",-1%,"54,44",+6%,"6,6",-3%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,['E322i - Lécithine'],4,33.6 g,en quantité élevée,5.9 g,en quantité élevée,52 g,en quantité élevée,0.125 g,en faible quantité,2314 kj(553 kcal),+1%,"5,9",-23%,52,+9%,"0,125",+21%,"0,05",+21%,21,+1%,E,+1%,,['Soja'],,,,
727,Force Bio pur jus de cranberry frais - 1L,3760186970081,B,1 L,['Force Bio'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons à la canneberge', 'Jus de canneberge']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans additifs', 'Sans conservateurs', 'AB Agriculture Biologique']",,,['France'],"['Eau', 'sucre de canne', 'jus de cranberry à base de concentré ', '25 %', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,48,+50%,"0,2",+6%,"11,6",+36%,"0,1",-41%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Boisson à la Cranberry,"['Brique', 'Carton', 'Frais']",,,4,0.2 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité élevée,0.03 g,en faible quantité,201 kj(48 kcal),+47%,0,-100%,"11,6",+88%,"0,03",+42%,"0,012",+42%,15,+3858%,E,+3858%,,,,,,
728,Esprit Fermier - Nature au lait entier - Bordier - 125g,3760191058309,B,125 g,"['Bordier', 'Le yaourt Bordier']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts entiers']",,,"['FR 56.198.501 CE', 'Rohan (Morbihan, France)']",['France'],"['lait entier ', '97,6%', 'lait écrémés en poudre', ' ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",332,-11%,79,-13%,"4,2",+18%,"6,2",-43%,"4,2",+20%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,Yaourt nature au lait entier,"['Pot', 'Verre']",,,3,4.2 g,en quantité modérée,2.4 g,en quantité modérée,6.2 g,en quantité modérée,0.1 g,en faible quantité,332 kj(79 kcal),-13%,"2,4",+5%,"6,2",-40%,"0,1",-10%,"0,04",-10%,1,-60%,B,-60%,,['Lait'],,,,
729,Brousse de brebis - Lou Passou - 250g,3760196070641,B,250 g,['Lou Passou'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['FR 12.063.003 CE', 'Cavalerie (Aveyron, France)']",['France'],"['Lactosérum et Lait de brebis pasteurisés', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,175,-47%,13,-51%,"4,4",+264%,10,-51%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Fromage de lactosérum,"['Sous-vide', 'Plastique']",,,4,13 g,en quantité modérée,10 g,en quantité élevée,3.5 g,en faible quantité,0.15 g,en faible quantité,732 kj(175 kcal),-47%,10,-44%,"3,5",+372%,"0,15",-88%,"0,06",-88%,6,-56%,C,-56%,,['Lait'],,,,
730,Sushi Saumon,3760199050480,,,,,,,,['France'],[],[],?,,167,,"4,91",,"25,15",,"6,09",,,,,,,,,,,,,,,,,,,,,,699 kj(167 kcal),,2,,10,,,,,,,,,,,,,,,
731,Menu two composizione sushi salmone,3760199050664,,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Pomme douce - Cidou - 1.75,3760225492444,,1.75,['Cidou'],"['Boissons', 'Boissons sans alcool']",['Sans sucre ajouté'],,,['France'],"['grape juice from concentrate ', '35%', 'apple juice from concentrate ', '30%', 'pear puree from concentrate ', '20%', 'water', 'acidifying: citric antioxidant: ascorbic acide']",[],?,,43,+13%,"0,1",-26%,10,+16%,"0,3",+32%,,,,,,,,,,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,180 kj(43 kcal),+8%,"0,1",+272%,9,+22%,0,-100%,0,-100%,12,+71%,E,+71%,,,,,,
733,Recette N°05 - Chocolat extra Noir 80% - +CARRÉ SUISSE - 100g,3760231780047,D,100 g,['+CARRÉ SUISSE'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['en:FSC', 'en:gluten-free', 'en:fsc-c104754', 'FSC Mix', 'Point Vert', 'Pur beurre de cacao']",['Trinité-et-Tobago'],,['France'],"['Pâte de cacao 100 % cultivé à Trinidad et Tobago ', 'fèves de variété Trinitario', 'sucre de canne', 'beurre de cacao', 'gousses de vanille']",[],?,,607,+9%,49,+24%,25,-35%,10,+31%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,['Carton'],,,3,49 g,en quantité élevée,30 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,2540 kj(607 kcal),+9%,30,+30%,19,-40%,0,-100%,0,-100%,21,-1%,E,-1%,,,,,,
734,Soupe de poissons - Le Marmiton,3760241200535,E,,['Le Marmiton'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,['France'],"['Eau', 'poissons Pavillon France 40%', 'concentré de tomates', ' Légumes ', 'carotte et poireau', 'huile de colza', 'sel', 'épices et herbes aromatiques', ' Traces possibles de crustacés et mollusques']",[],?,,82,+71%,"4,8",+153%,"2,2",+21%,"7,1",+37%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,3,4.8 g,en quantité modérée,1.1 g,en faible quantité,1 g,en faible quantité,1.15 g,en quantité modérée,343 kj(82 kcal),+72%,"1,1",+145%,1,+54%,"1,15",+30%,"0,46",+30%,3,+244%,C,+244%,,,,,,
735,Eau vertueuse de Velleminfroy,3760244111067,,,,,,,,['France'],[],[],?,,0,,0,,0,,"2,6",,,,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,0,,0,,0,,0,,,,,,,,,,,
736,Cheddar En tranches - Nature & Moi,3760249760048,,,"['Nature & Moi', 'nature&moi']",,"['Végétarien', 'Végétalien']",,,['France'],"['*AR Apport de référence pour un adulte-type ', '8400 kT -']","['Végétalien', 'Végétarien']",?,,277,,21,,22,,0,,,,,,,,,,['Tranche'],,,,,,,,,,,,1159 kj(277 kcal),,"18,4",,0,,"2,1",,"0,84",,,,,,,,,,,
737,Amande decortiquees - Keo,3760250010453,E,,['Keo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,,,['France'],"['amandes', "" Traces possibles d'arachide et autres fruits à coque"", 'Origine: U', 'S', 'A']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,620,-1%,"52,3",+1%,"1,5",-89%,"27,9",+25%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,1,52.3 g,en quantité élevée,4 g,en quantité modérée,1.08 g,en faible quantité,0.02 g,en faible quantité,2594 kj(620 kcal),-1%,4,-0%,"1,08",-72%,"0,02",-15%,"0,008",-15%,-5,,A,,,['Fruits à coque'],,,,
738,Pesto rosso - Italians Do It Better,3760253401180,C,,['Italians Do It Better'],"['Epicerie', 'Sauces', 'Sauces Pesto', 'Sauces Pesto Rosso']",,,,['France'],"[""Huile d'olive "", '52%', ' tomates séchées ', '24%', 'pignons de pin', 'basilic concentré', 'tomate', 'sel', 'parmiggiano reggiano aop', 'origan', 'vinaigre', 'ail', 'peperoncino', 'citrique', 'ac', ""lactique d'origine naturelle""]",[],?,,601,+66%,58,+74%,14,+66%,"4,5",+12%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,3,58 g,en quantité élevée,6.9 g,en quantité élevée,13 g,en quantité élevée,2.5 g,en quantité élevée,2515 kj(601 kcal),+68%,"6,9",+41%,13,+132%,"2,5",+21%,1,+21%,23,+45%,E,+45%,,['Parmiggiano reggiano'],,,,
739,"Epicerie / Epicerie Sucrée / Gâteaux, Biscuits, Encas - Sémilia",3760253540001,,,['Sémilia'],,"['Bio', 'Bio européen', 'en:gluten-free', 'en:palm-oil-free']",,,['France'],"['1hQ', ' : Sucre cahhQ* ', '50,6 0%', '&qaSSQ cacao* ', '39,5 0%', 'beurre cacao* ', '95 50% 0', ' farine de riz*', 'farihQ de ', 'sucre de des traces de']",['Sans huile de palme'],?,,444,,"16,1",,"67,3",,"5,6",,,,,,,,,,,,,,,,,,,,,,1858 kj(444 kcal),,"9,4",,"27,9",,0,,0,,,,,,,,,,,
740,Steaks Pois Chiche - Poivrons - Cumin - Hari & Co - 4 * 90g,3760257090076,,4 * 90 g,['Hari & Co'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Steaks végétaux']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-15', 'Riche en fibres', 'Riche en protéines', 'Sans additifs', 'Nutriscore', 'Nutriscore A', 'Triman']",,,['France'],"['Pois chiches ', '50 %', ' ', 'semoule de maïs', 'semoule de blé', 'flocons de blé""', 'poivrons rouges ', '5%', 'huile de tournesol*', 'chou-fleur*', 'farine de blé""', 'concentré de tomates', 'oignons*', 'sel marin', 'ail*', 'herbes de Provence', 'cumin ', '0,05 %', 'poivre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,166,-19%,"4,8",-46%,"22,9",+36%,"7,6",-28%,,,,,,,,Préparation végétale à base de pois chiches,"['Surgelé', 'Carton']",,,3,4.8 g,en quantité modérée,0.5 g,en faible quantité,2.4 g,en faible quantité,0.7 g,en quantité modérée,695 kj(166 kcal),-18%,"0,5",-66%,"2,4",+2%,"0,7",-33%,"0,28",-33%,-4,-3020%,A,-3020%,,['Gluten'],"['Drôme', 'France']",,,
741,"Good goût kidz 99,9% de pomme Gala - 360g",3760269310384,B,360g,['Good Gout'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Aliment pour enfant', 'Good gout kidz', 'Gourde de fruit', 'Gourde à base de fruits', 'Purée de pomme']","['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",,,['France'],"['99,9% pomme Gala bio', 'jus de citron bio concentré', ""et rien d'autre""]",[],?,,55,-75%,"0,6",-88%,"11,4",-67%,"0,3",-94%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,Purée de fruit,"['Carton', 'Gourdes', 'Plastique', 'température ambiante']",https://www.goodgout.fr/enfant/gouter-pack-de-4-gourdes-pomme-gala-113.html,,1,0.6 g,en faible quantité,0.05 g,en faible quantité,8.8 g,en quantité modérée,0.01 g,en faible quantité,230 kj(55 kcal),-75%,"0,05",-96%,"8,8",-24%,"0,01",-97%,"0,004",-97%,-5,,A,,,,,,,
742,Lachips de Blé Noir - Les Galettes de Floranges - 100g,3770000704198,B,100 g,['Les Galettes de Floranges'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['Fabriqué en France', 'Sans conservateurs', 'Fabrication artisanale', 'Farine de blé français']",['France'],,['France'],"['Farine de blé noir', 'sel de Guérande', 'beurre', 'eau']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,325,-30%,"0,9",-95%,"69,4",+17%,"9,6",-3%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Lachips de Blé Noir,"['Sachet', 'Plastique']",,,3,0.9 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,5.5 g,en quantité élevée,1360 kj(325 kcal),-31%,"0,1",-98%,0,-100%,"5,5",+175%,"2,2",+175%,14,-9%,D,-9%,,['Lait'],"['France', 'Bretagne']",,,
743,Pur jus de grenade pink ! - Biofrutti - 700ml,3770000858204,C,700 ml,['Biofrutti'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de grenade']","['Bio', 'Bio européen', 'FR-BIO-01', 'Sans sucre ajouté']",,,['France'],['Jus de Grenade'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,50,-11%,0,-100%,"12,1",-9%,"0,3",-27%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,1,0 g,en faible quantité,0 g,en faible quantité,11.8 g,en quantité élevée,0 g,en faible quantité,209 kj(50 kcal),-11%,0,-100%,"11,8",-4%,0,-100%,0,-100%,5,-28%,C,-28%,,,,,,
744,Orange magique digestion - Biofrutti,3770000858655,D,,['Biofrutti'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",['Bio'],,,['France'],"['Jus de carotte', 'jus de pomme', 'jus de concombre', 'jus de céleri', 'jus de brocoli']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,35,-24%,0,-100%,"8,5",-20%,"0,9",+130%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,1,0 g,en faible quantité,0 g,en faible quantité,4.9 g,en quantité modérée,0 g,en faible quantité,146 kj(35 kcal),-24%,0,-100%,"4,9",-49%,0,-100%,0,-100%,-1,-126%,B,-126%,['Magasins U'],,,,,
745,Mini galettes de riz - Good Goût,3770002327937,B,,['Good Goût'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",['en:gluten-free'],,,['France'],[],[],?,,500,+16%,"24,9",+111%,"60,3",-15%,"7,5",+2%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,24.9 g,en quantité élevée,15 g,en quantité élevée,27.6 g,en quantité élevée,0.1 g,en faible quantité,2092 kj(500 kcal),+16%,15,+135%,"27,6",+117%,"0,1",-45%,"0,04",-45%,22,+161%,E,+161%,,,,,,
746,Couscous d'epautre courgettes olives,3770004096862,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],[],[],?,,329,,"2,6",,"58,5",,"12,1",,,,,,,,,,,,,,,,,,,,,,1377 kj(329 kcal),,"0,6",,"5,2",,"1,6",,"0,64",,,,,,,,,,,
747,Le pot au lait Nature - i-grec,3770005734152,B,,['I-grec'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de vache']","['Concours général agricole', ""Médaille d'argent du Concours général agricole"", ""Médaille d'argent du concours général agricole 2018""]",,,['France'],"['Lait frais entier de vache pasteurisé', 'poudre de lait', 'ferments lactiques']",['Non végétalien'],?,,81,-15%,"2,1",-39%,"8,1",-28%,"7,4",+104%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,,3,2.1 g,en faible quantité,1.5 g,en quantité modérée,5.8 g,en quantité modérée,0.12 g,en faible quantité,339 kj(81 kcal),-14%,"1,5",-31%,"5,8",-44%,"0,12",+4%,"0,048",+4%,-1,-139%,A,-139%,,['Lait'],,,,
748,Cookies chocolat noir & cacao - Atelier Sans Gluten - 6,3770006165276,C,6,['Atelier Sans Gluten'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['en:gluten-free'],,,['France'],"['Mix farines ', '28,4%', ' ', 'riz', 'mais', 'fécule de pomme de terre', 'beurre ', '22%', 'sucre', 'chocolat noir ', '16,5%', ' ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'sucre de canne', ""poudre d'amandes"", ""blanc d'œuf"", 'œuf', 'poudre de cacao 100 % Pérou ', '2,5%', 'poudre à lever : bicarbonate de sodium', 'sel', 'fibre de psyllium', 'arôme naturel de vanille', ' Dans notre atelier', 'nous utilisons des fruits à coques et des produits à base de soja et de lait']",['Non végétalien'],?,,508,+7%,28,+35%,57,-11%,5,-23%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['paquet de 6 biscuits'],,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",4,28 g,en quantité élevée,17 g,en quantité élevée,30 g,en quantité élevée,1.2 g,en quantité modérée,2125 kj(508 kcal),+7%,17,+68%,30,+2%,"1,2",+104%,"0,48",+104%,27,+36%,E,+36%,['CARREFOUR'],"['Œufs', 'Lait', 'Soja']",['France'],,,
749,"Jus 100% Oranges Pressées avec Pulpe - Juste Pressé - 0,9L e",3770006565168,D,"0,9 L e","['Juste Pressé', 'Blue Phœnix']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",['Pur jus'],,,['France'],"[""100% jus d'orange avec pulpe""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",225,+23%,?,,"0,5",+184%,10,+3%,"0,5",-21%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,"['Verre', 'PET', 'Plastique', '♳']",,,1,0.5 g,en faible quantité,0.1 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,225 kj(54 kcal),+24%,"0,1",+289%,9,-2%,0,-100%,0,-100%,2,-33%,C,-33%,,,,,,
750,Boisson instantanée avec édulcorants goût framboise - Boléro - 9gr,3800048200052,,9gr,['Boléro'],"['Boissons', 'Boissons édulcorées']",,,,['France'],"['R/BE/CH: BOISSON INSTANTANÉE AVEC ÉDULCORANTS GOÛT FRÀNBOISE', "" DISSOUDRE I IE CONTENU DANS 1 D'EAU INGRÉDIENTS ACIDIFIANTS ACIDE CITRIQUE"", 'ACIDE MAITODEXTRINE', ' ARÔMES ARÔMES NATUREIS', ' ÉDULCORANTS: SUCRAIOSE', 'GLYCOSIDES DE ', 'EXTRAITS DE STÉVIA', ' CORRECTEUR CITRATE TRISODIQUE', ' ANTIAGGIOMÊRANT: PHOSPHATE TRICALCIQUE', ' ÉPAISSISSANTS GOMME GUAR', 'GOMME ARABIQUE OU GOMME DtAC', 'AClhs ACIDE VASCORBIQUE', ' CONCENTRÉ COLORANT DE CAROTTE']",[],?,,2,-87%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,"['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E412 - Gomme de guar', ""E414 - Gomme d'acacia""]",4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,8 kj(2 kcal),-86%,0,-100%,0,-100%,0,-100%,0,-100%,1,-77%,B,-77%,,,,,,
