,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,traceability_code,markets,additives,nova_score,packaging,ingredients_origins,manufacturing,allergens,link,generic_name,palm_ingredients
1462,Pur jus de pomme citron/Gingembre,3770009929073,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Miel de Printemps,3770014649119,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1464,Nos gaufrettes,02017123,['France'],[],[],?,521,26,65,"5,5",,,,,,,,,,,,,2180 kj(521 kcal),,,26,,,38,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Burger vacuno con fibra - Campofrio,8410320234283,['France'],[],[],?,150,6,8,15,,,,,,,,,,,,,628 kj(150 kcal),,,"2,5",,,1,,,"1,8",,"0,72",,,,,,,,,,,,,,['Campofrio'],,,,,,,,,,,,
1466,Jarreton,0210554023817,['France'],[],[],?,173,11,"0,7",20,,,,,,,,,,,,,724 kj(173 kcal),,,"3,7",,,"0,7",,,"5,55",,"2,22",,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Boudin blanc à l'ancienne,2273698024476,['France'],[],[],?,237,20,4,"10,4",,,,,,,,,,,,,992 kj(237 kcal),,,"8,3",,,"2,4",,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,
1468,Freeway orange,4056489237006,['France'],[],[],?,34,0,"8,3","0,1",,,,,,,,,,,,,142 kj(34 kcal),,,0,,,"8,3",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Sour cherry nectar,8690565420539,['France'],[],[],?,36,0,9,0,,,,,,,,,,,,,151 kj(36 kcal),,,0,,,"8,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,Cantucci alle mandorle,8012107006405,['France'],[],[],?,447,"15,5","67,3","11,8",,,,,,,,,,,,,1870 kj(447 kcal),,,"5,8",,,"22,4",,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Petit beurre pépites de chocolat,61187016,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Confiture fraise,3425478313105,['France'],[],[],?,254,0,62,0,,,,,,,,,,,,,1063 kj(254 kcal),,,0,,,62,,,,,,,,,,,,,,,,,,,,,"['EMB 20271A', 'Sarrola-Carcopino (Corse, France)']",,,,,,,,,,
1473,Farine de blé,3522080000765,['France'],[],[],?,359,"0,7",74,12,,,,,,,,,,,,,1502 kj(359 kcal),,,"0,2",,,"1,9",,,,,,,,,,,,,,,,,,,,,"['EMB 42102B', 'Grammond (Loire, France)']",,,,,,,,,,
1474,Soupe gout poulet,0084685000722,['France'],[],[],?,382,14,"43,6","10,1",,"['Plats préparés', 'Soupes']",14 g,en quantité modérée,6.8 g,en quantité élevée,9.5 g,en quantité modérée,5.53 g,en quantité élevée,,+570%,1598 kj(382 kcal),+574%,+622%,"6,8",+1026%,+658%,"9,5",+449%,+359%,"5,53",+539%,"2,212",+539%,22,+1241%,E,+1241%,,,,,,,,,,,,,,,,,,,,,
1475,La pasta di campofilone marilungo,8015216410033,['France'],[],[],?,376,"5,2",67,14,,,,,,,,,,,,,1573 kj(376 kcal),,,"1,7",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Pastilles de chocolat,0838948010269,['France'],[],[],?,160,"10,5","14,4","1,6",,,,,,,,,,,,,669 kj(160 kcal),,,"6,6",,,"13,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Creme de Salidou,3561770000272,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Filets de poulet,0215839043887,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,,,,,,
1479,Candon,3148950059666,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Boudin noir à l’ancienne,2871725019749,['France'],[],[],?,266,23,"2,4",11,,,,,,,,,,,,,1113 kj(266 kcal),,,"8,7",,,"1,8",,,"1,5",,"0,6",,,,,,,,,,,,,,,,"['EMB 72331A', 'Sceaux-sur-Huisne (Sarthe, France)', 'FR 72.331.001 CE', 'Sceaux-sur-Huisne (Sarthe, France)']",,,,,,,,,,
1481,Saucisse sèche pur porc sous vide,2610291029260,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Croquets de Provence,3571306072017,['France'],[],[],?,448,19,54,12,,,,,,,,,,,,,1874 kj(448 kcal),,,"2,6",,,"6,3",,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Courgettes Filet,8040569612612,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Brioche caramel pécan,0297148019029,['France'],[],[],?,374,26,30,6,,,,,,,,,,,,,1565 kj(374 kcal),,,11,,,12,,,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,,
1485,La pasta di campofilone marilungo,8015216710034,['France'],[],[],?,376,"5,2",67,14,,,,,,,,,,,,,1573 kj(376 kcal),,,"1,7",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Mrs balls chutney,6009522307684,['France'],[],[],?,660,"0,1",37,"0,8",,,,,,,,,,,,,2761 kj(660 kcal),,,"0,1",,,"32,5",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Jambon boisé à l’ancienne,2602659032678,['France'],[],[],?,123,33,"0,5",23,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",33 g,en quantité élevée,1.7 g,en quantité modérée,0.5 g,en faible quantité,2.1 g,en quantité élevée,,-19%,515 kj(123 kcal),-19%,+436%,"1,7",-29%,+1%,"0,5",+3%,+3%,"2,1",+8%,"0,84",+8%,11,+13%,D,+13%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,
1488,Boule blanche 400 gr,0202963005904,['France'],[],[],?,265,"0,8",62,11,,,,,,,,,,,,,1109 kj(265 kcal),,,0,,,"1,3",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Sharwoods discover korea,5000354917097,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Reign energy folie melon,0815154022552,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Daube de porc noir de Bigorre,3760039286413,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['AOC'],,,,,,,,,,,
1492,Crème de pistache,8010540005276,['France'],[],[],?,571.86,"38,38","50,74","7,72",,,,,,,,,,,,,2393 kj(571 kcal),,,"13,1",,,"46,77",,,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Abricot sec,2609842024939,['France'],[],[],?,283,"0,5","62,6","3,4",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,,,,+8%,1184 kj(283 kcal),+8%,+3%,"0,02",-67%,+8%,"53,4",+18%,+10%,,,,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,
1494,Glace Fleur d’hibiscus citronnée,3760280991937,['France'],[],[],?,117,"0,1","27,3","0,2",,,,,,,,,,,,,490 kj(117 kcal),,,0,,,"21,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Papier aluminum - Top Budget,3410280108575,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top Budget'],,,,,,,,,,,,
1496,Jambon cuit déclassé,2910833009041,['France'],[],[],?,156,"7,5",1,21,,,,,,,,,,,,,653 kj(156 kcal),,,"2,7",,,1,,,2,,"0,8",,,,,,,,,,,,,,,,"['FR 38.012.001 CE', 'Aoste (Isère, France)']",,,,,,,,,,
1497,Creme dessert fermiere cafe de colombie,3760284321709,['France'],[],[],?,92,"2,8","13,7","2,8",,,,,,,,,,,,,385 kj(92 kcal),,,"1,8",,,12,,,"0,117",,"0,047",,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Fritons de Chalosse,3443800000707,['France'],[],[],?,429,39,3,16,,,,,,,,,,,,,1795 kj(429 kcal),,,15,,,"0,3",,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Impact whey protein - Myprotein,5056307362803,['France'],[],[],?,387,"5,9","8,4",75,,,,,,,,,,,,,1619 kj(387 kcal),,,"3,5",,,"7,5",,,"0,57",,"0,228",,,,,,,,,,,,,,['Myprotein'],,,,,,,,,,,,
1500,Bardane,3760194880075,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Cinque stelle cioccolato,8005840008836,['France'],[],[],?,?,14,34,4,,,,,,,,,,,,,,,,12,,,25,,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Aliolova,7862103914058,['France'],[],[],?,110,12,35,0,,,,,,,,,,,,,460 kj(110 kcal),,,"1,5",,,0,,,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Pâté de jambon au piment d'Espelette,3760278680133,['France'],[],[],?,262,"21,4","0,9","16,4",,,,,,,,,,,,,1096 kj(262 kcal),,,"8,2",,,"0,4",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Pavé poivre chiffonnade,8433635000039,['France'],[],[],?,295,21,"3,6",23,,,,,,,,,,,,,1234 kj(295 kcal),,,"7,8",,,"2,6",,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Cake moelleux au chocolat,3760281661860,['France'],[],[],?,409,"20,8","50,2","3,8",D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",20.8 g,en quantité élevée,3.7 g,en quantité modérée,33.1 g,en quantité élevée,1.1 g,en quantité modérée,,-4%,1711 kj(409 kcal),-3%,-15%,"3,7",-62%,+16%,"33,1",+5%,-38%,"1,1",+203%,"0,44",+203%,19,-2%,E,-2%,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,,,,,,
1506,Confit d'oignons,50564385,['France'],[],[],?,204,"4,8","39,4","0,7",,,,,,,,,,,,,854 kj(204 kcal),,,"0,6",,,"33,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Hakawa,5285000870708,['France'],[],[],?,457,17,68,7,,,,,,,,,,,,,1912 kj(457 kcal),,,"3,5",,,62,,,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Sel de l'himalaya,3700238330319,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Moelleux chocolat,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Le paté du gascon au foie gras de canard,3700468421788,['France'],[],[],?,405,40,"0,4",12,,,,,,,,,,,,,1695 kj(405 kcal),,,40,,,"0,4",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Comte,0239995023354,['France'],[],[],?,431,35,24,27,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+3%,1803 kj(431 kcal),+3%,+1%,24,+6%,+5095%,"0,5",+87%,+0%,"0,9",+7%,"0,36",+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1512,brioche tressée aux perles de sucre,18522273,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Delbard,3700332150936,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Le petit salé de porc supérieur,2211321026374,['France'],[],[],?,226,18,"0,9",15,,,,,,,,,,,,,946 kj(226 kcal),,,"6,9",,,"0,6",,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,
1515,Chocolat,3514962701204,['France'],[],[],?,12,13,22,5,,,,,,,,,,,,,50 kj(12 kcal),,,9,,,10,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Yaourt de chevre fermier,3108020000004,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Laternen-Lauf,4013900501184,['France'],[],[],?,568,37,52,"5,4",,,,,,,,,,,,,2377 kj(568 kcal),,,29,,,51,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Caramel au sel marin,0067997023214,['France'],[],[],?,150,6,23,1,,,,,,,,,,,,,628 kj(150 kcal),,,4,,,20,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Merguez boeuf mouton,0203034021915,['France'],[],[],?,340,31,"1,8",13,,,,,,,,,,,,,1423 kj(340 kcal),,,15,,,"1,8",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Saucisson sec de montagne cendré,2453599028531,['France'],[],[],?,383,26,"0,7",36,,,,,,,,,,,,,1602 kj(383 kcal),,,"9,3",,,"0,6",,,5,,2,,,,,,,,,,,,,,,,"['FR 42.334.001 CE', 'Violay (Loire, France)']",,,,,,,,,,
1521,Premium red saffron,5060605220017,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Gruesome gummy eyeballs bonbon gélifiés à la fraise,1000034760603,['France'],[],[],?,337,0,78,0,,,,,,,,,,,,,1410 kj(337 kcal),,,0,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Mousse pur canard,0209091012798,['France'],[],[],?,402,"39,4","3,2","8,7",,,,,,,,,,,,,1682 kj(402 kcal),,,"14,5",,,"2,4",,,"1,66",,"0,664",,,,,,,,,,,,,,,,"['FR 56.246.008 CE', 'Sourn (Morbihan, France)']",,,,['Barquette en plastique'],,,,,,
1524,Graine de tournesol,8697436527731,['France'],[],[],?,633,53,24,28,,,,,,,,,,,,,2648 kj(633 kcal),,,"6,3",,,"1,1",,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Saucisse frankfort,2274732019298,['France'],[],[],?,241,"19,7","2,1",14,,,,,,,,,,,,,1008 kj(241 kcal),,,"7,4",,,"1,5",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,
1526,Kaki,8412276798239,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,crousty MIX,2600239022248,['France'],[],[],?,505,26,61,"6,2",,,,,,,,,,,,,2113 kj(505 kcal),,,15,,,47,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Saucisses de Toulouse aux lentilles - Jean Larnaudie - 400g,0205671025127,['France'],"['Saucisses de Toulouse 36% ', 'viande de porc*', 'sel', 'poivre', 'boyau naturel de porc', 'lentilles 35%', 'bouillon ', 'eau', 'os et couenne de porc', 'concentré de tomates', 'sel', 'eau', 'carottes', 'oignons', 'graisse de canard', 'sel', 'concentré de tomates', 'arômes ', 'dont lait', 'arôme poivre', 'ail', 'muscade', 'girofle', 'herbes de Provence', 'arômes naturels', 'dextrose', ""pulpe d'ail "", 'ail', 'sel', 'acidifiant:E330', ""extrait d'épice"", '*origine : UE']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",634,152,9,"7,6",9,C,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés en conserve', 'Plats à base de lentilles', 'Saucisses aux lentilles']",9 g,en quantité modérée,3.7 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,+22%,+10%,634 kj(152 kcal),+11%,+36%,"3,7",+50%,-5%,"< 0,5",-38%,+12%,1,+6%,"0,4",+6%,1,-44%,B,-44%,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,400g,['Jean Larnaudie'],['Point Vert'],"['FR 11.076.050 CE', 'Castelnaudary (Aude, France)']",,['E330 - Acide citrique'],4,['Conserve'],,,,,,
1529,Glutino,0678523070307,['France'],[],[],?,448.2759,"15,517","75,862","3,448",,,,,,,,,,,,,1876 kj(448 kcal),,,"6,897",,,"44,828",,,"0,69",,"0,276",,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Calorie Free Sauce Peach,5902444701213,['France'],[],[],?,6,0,"1,3",0,,,,,,,,,,,,,25 kj(6 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,0720495922181,0720495922181,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Mini Ravioli,0064144877485,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Filet de poulet fermier Monoprix label rouge - 235.0g,0206844037527,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,235.0 g,,['Label Rouge'],,,,,"['Film en plastique', 'barquette']",,,,,,
1534,Gnaw Bio,5060463492335,['France'],[],[],?,580,"40,8","42,9","9,6",,,,,,,,,,,,,2427 kj(580 kcal),,,"22,2",,,"41,4",,,"0,2",,"0,08",,,,,,,,,,,,,,['Gnaw'],['Bio'],,,,,,,,,,,
1535,Peche-Abricot,3396745100141,['France'],[],[],?,162,"0,1","40,2",0,,,,,,,,,,,,,678 kj(162 kcal),,,0,,,"40,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Yog. mio Biscotto GR. 125X2 Nest,3023290007983,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Supplex cao,2258940000125,['France'],[],[],?,376,3,69,15,,,,,,,,,,,,,1573 kj(376 kcal),,,"1,6",,,65,,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Beurre moulé demi-sel,32465563,['France'],[],[],?,726,80,"0,6","0,8",,,,,,,,,,,,,3038 kj(726 kcal),,,57,,,"0,6",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Volaille le gaulois bio,8609980007621,['France'],[],[],?,107,"0,8","0,1",25,,,,,,,,,,,,,448 kj(107 kcal),,,"0,3",,,"0,1",,,"1,3",,"0,52",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,,,,,,,
1540,Test C,3435070026266,['France'],[],[],?,51,"0,1","7,5","4,2",,,,,,,,,,,,,213 kj(51 kcal),,,0,,,"7,5",,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Tartiflette au Reblochon de Savoie,3250392919337,['France'],[],[],?,163,"9,9","10,9","6,6",,,,,,,,,,,,,682 kj(163 kcal),,,"6,2",,,"0,9",,,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Test V 2,9782012602779,['France'],[],[],?,51,"0,1","7,5","4,2",,,,,,,,,,,,,213 kj(51 kcal),,,0,,,"7,5",,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Test C 2,9782081241923,['France'],[],[],?,51,"0,1","7,5","4,2",,,,,,,,,,,,,213 kj(51 kcal),,,0,,,"7,5",,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Test P,9782732430508,['France'],[],[],?,51,"0,1","7,5","4,2",,,,,,,,,,,,,213 kj(51 kcal),,,0,,,"7,5",,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Poudre de curcuma,9001604711522,['France'],[],[],?,385,"9,9",58,"7,8",,,,,,,,,,,,,1611 kj(385 kcal),,,"2,8",,,"2,1",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AT-BIO-301']",,,,,,,,,,,
1546,Riz Thaï Jasmin,3760294960684,['France'],[],[],?,346,"0,8",76,"8,7",,,,,,,,,,,,,1448 kj(346 kcal),,,"0,4",,,"0,5",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Spécialité de pommes et châtaignes - Danival,3301594002539,['France'],[],[],?,104,0,"23,5","0,5",,,,,,,,,,,,,435 kj(104 kcal),,,0,,,"18,5",,,0,,0,,,,,,,,,,,,,,['Danival'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
1548,Sprats fumes,0248155017126,['France'],[],[],?,266,21,0,"1,6",,,,,,,,,,,,,1113 kj(266 kcal),,,"7,1",,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,ESPRESTO PASSIONATO,10101004,['France'],[],[],?,3,0,"0,6","0,2",,,,,,,,,,,,,13 kj(3 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,
1550,Nuts white choc fudge,5060594774096,['France'],[],[],?,580,46,24,18,,,,,,,,,,,,,2427 kj(580 kcal),,,10,,,18,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Filet de cabillaud - Picard,3270160742028,['France'],[],[],?,77,"0,6","0,5","0,41",E,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",0.6 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,3 g,en quantité élevée,,-34%,322 kj(77 kcal),-32%,-80%,"0,1",-75%,-91%,"0,5",+0%,-97%,3,+536%,"1,2",+536%,10,,C,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,['Picard'],,,['Picard'],,,,,,,,,
1552,Barebells coconut-choco,7340001802894,['France'],[],[],?,362,14,27,36,,,,,,,,,,,,,1515 kj(362 kcal),,,"9,2",,,"2,8",,,"0,28",,"0,112",,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Poulet jaune - Maître Coq,0215596045858,['France'],[],[],?,17,"9,5",0,21,D,"['Viandes', 'Volailles', 'Poulets']",9.5 g,en quantité modérée,2.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,-89%,71 kj(17 kcal),-89%,+63%,"2,5",+67%,-100%,0,-100%,+3%,"0,18",-79%,"0,072",-79%,-3,-313%,A,-313%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Maître Coq'],,,,,,,,,,,,
1554,4 fondants de butternut et petits legumes au chutney d’oignons - Thiriet,3292590839406,['France'],[],[],?,111,"7,5",8,"2,1",,,,,,,,,,,,,464 kj(111 kcal),,,"3,3",,,"4,6",,,"0,87",,"0,348",,,,,,,,,,,,,,['Thiriet'],,,['Thiriet'],,,,,,,,,
1555,Pâtes Mini Tag,3770010768173,['France'],[],[],?,354.8,"0,8","72,4","11,9",,,,,,,,,,,,,1484 kj(354 kcal),,,"0,15",,,"12,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,extra virgin olive oil - Coosur,8410660038961,['France'],['Extra virgin olive oil'],[],3382,822,"91,4",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive d'Espagne"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.4 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-6%,-7%,3382 kj(822 kcal),-7%,-6%,"12,8",-12%,,0,,,0,,0,,6,-3%,C,-3%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,['Coosur'],,,,,,,,,,,,
1557,Vinaigrette de bleuet,0816656000017,['France'],[],[],?,70,6,2,"0,1",,,,,,,,,,,,,293 kj(70 kcal),,,"0,5",,,0,,,"0,375",,"0,15",,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Follard,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Bruschettone,03939629182,['France'],[],[],?,200,"1,1","39,9","6,6",,,,,,,,,,,,,837 kj(200 kcal),,,"0,1",,,"0,2",,,"2,53",,"1,012",,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Nouilles Henan,6925487994878,['France'],[],[],?,354.6,"1,1","74,6","10,3",,,,,,,,,,,,,1484 kj(354 kcal),,,0,,,4,,,"7,87",,"3,148",,,,,,,,,,,,,,,,,,,,,,,,,,
1561,2974815001997,2974815001997,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
