,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,traceability_code,markets,additives,nova_score,packaging,ingredients_origins,manufacturing,allergens,link,generic_name,palm_ingredients
1201,Miel de lavande de province - U,3256228118196,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['U'],,,,,,,"['France', 'Provence']",,,,,
1202,Financier pistache - Baramel,3594480002243,['France'],"['Blancs d\'oeufs sucre de canne non raffiné""', 'beurre*', 'pistaches*', '11,3%', ' farine de blé“', 'amandes*', ""miel d'acacia*"", '1,2%', 'eau', 'vanille gousse de Madagascar* ', '0,04%', "" *issu de l'agriculture bioiogique Certifié par ECOCERT France""]",['Non végétalien'],?,477,31,39,"9,3",D,"['Biscuits et gâteaux', 'Gâteaux', 'Financiers']",31 g,en quantité élevée,14 g,en quantité élevée,27 g,en quantité élevée,0.1 g,en faible quantité,,+6%,1996 kj(477 kcal),+6%,+16%,14,+10%,-10%,27,-17%,+14%,"0,1",-70%,"0,04",-70%,18,-17%,D,-17%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,['Baramel'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,,3,,,,"['Gluten', 'Lait', 'Fruits à coque']",,,
1203,PUCK,5760466956284,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Boisson saveur pêche,3250392922443,['France'],[],[],?,13,"0,5","3,2","0,5",,,,,,,,,,,,,54 kj(13 kcal),,,"0,1",,,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Turron Chocolate Crujiente,0725711226111,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Pate a tartiner - 130g,3700662754354,['France'],[],[],?,561,"36,4","48,3","8,5",,,,,,,,,,,,,2347 kj(561 kcal),,,"4,3",,,"42,8",,,,,,,,,,,,,,,,,,130 g,,,,,,,,,,,,,
1207,Yop mix fraise framboise vanille,3329770075825,['France'],[],[],?,66.44,"0,8","10,6",3,,,,,,,,,,,,,278 kj(66 kcal),,,"0,5",,,"10,5",,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Mini beignets fourrés,0201167022632,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Grainéa,3564706617537,['France'],[],[],?,453,17,67,"6,6",,,,,,,,,,,,,1895 kj(453 kcal),,,"7,4",,,30,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Pâte à tartiner Bio,03656594,['France'],[],[],?,543,33,53,"8,1",,,,,,,,,,,,,2272 kj(543 kcal),,,13,,,53,,,"0,12",,"0,048",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,
1211,Amande enrobée chocolat,2600274023095,['France'],[],[],?,540,37,37,9,,,,,,,,,,,,,2259 kj(540 kcal),,,14,,,33,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Comté AOP DOUX ⁰,2481131035884,['France'],[],[],?,?,?,?,?,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1213,Fromage blanc des limousins,3760043160105,['France'],[],[],?,122,"6,4",10,6,,,,,,,,,,,,,510 kj(122 kcal),,,"4,4",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Mendiants amandes caramelisées raisin et cranberries,3274648200079,['France'],[],[],?,658,37,50,"6,6",,,,,,,,,,,,,2753 kj(658 kcal),,,22,,,48,,,"0,18",,"0,072",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1215,Glacé biscuit,8711513294559,['France'],[],[],?,463,"8,3","88,3","8,1",,,,,,,,,,,,,1937 kj(463 kcal),,,4,,,"51,4",,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,,,
1216,"Hamburger ""nature""",2600164028216,['France'],[],[],?,212,"15,4","0,9","18,3",,,,,,,,,,,,,887 kj(212 kcal),,,6,,,0,,,"1,05",,"0,42",,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Tarte franboise 4 personnes,2030500214162,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Salsa di basilico,8004501400279,['France'],[],[],?,340.7,"35,7","3,1","1,9",,,,,,,,,,,,,1425 kj(340 kcal),,,"5,17",,,"3,1",,,"3,91",,"1,564",,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Pain complet tranché,0286038007543,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Compote abricots de provence,3443545820004,['France'],[],[],?,66.2,"0,15","15,6","0,63",,,,,,,,,,,,,277 kj(66 kcal),,,0,,,"12,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Filet de saumon,2114550017284,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Marcel & fils,3760313530416,['France'],[],[],?,461.1,"28,1","39,7","12,3",,,,,,,,,,,,,1929 kj(461 kcal),,,3,,,"9,5",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,
1223,Gouda au cumin,0261943022508,['France'],[],[],?,362,"30,3","0,5","23,3",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",30.3 g,en quantité élevée,20.6 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,-3%,1515 kj(362 kcal),-3%,-2%,"20,6",-2%,+122%,"0,5",+131%,-2%,"1,9",+4%,"0,76",+4%,17,+3%,D,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1224,Croquette chat,3344952024248,['France'],[],[],?,?,?,?,?,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture pour chats', 'Nourriture sèche pour animaux', 'Croquettes pour chat']",,,,,,,0 g,en faible quantité,,,,,,,,,,,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Filet de poulet,2400004085276,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1226,Trader Joe's,00653053,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Trader Joe's""]",,,,,,,,,,,,
1227,Bubee citron-menthe,5999886580032,['France'],[],[],?,24.7,0,6,0,,,,,,,,,,,,,103 kj(24 kcal),,,0,,,6,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Pate fruit,3608580012382,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Demi lapin découpé bleu blanc cœur,2427269033132,['France'],[],[],?,138,"5,7","0,6",21,,,,,,,,,,,,,577 kj(138 kcal),,,"1,7",,,"0,2",,,"0,15",,"0,06",,,,,,,,,,,,,,,,"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",,,,,,,,,,
1230,Actimel - Danone - 10x100g,303349121313137,['France'],"['Lait fermenté avec Lactobacillus casei', 'sucre liquide et sucre ', 'saccharose: 9%', 'jus de fruits à base de concentrés ', '2,1%', ' ', 'ananas', 'pêche', 'orange', 'fraise', 'dextrose ', '0,6%', 'épaissisants ', 'amidon transformé', 'pectine', 'arôme naturel', 'vitamines D et B6', ' Contient : lait']",[],334,79,"1,5","12,7","2,8",,,,,,,,,,,,,334 kj(79 kcal),,,1,,,"12,5",,,"0,1",,"0,04",,,,,,,,,,,,,10 x100 g,['Danone'],"['Nutriscore', 'Nutriscore B']","['DE M-319 EC-EG', 'ES 15.00181/V CE']",['Leclerc'],"['E14XX - Amidons modifiés', 'E440 - Pectines']",4,"['Bouteille plastique', 'Etui carton', 'Opercule en métal', 'Etui en carton', 'Bouteille en plastique']",,,['Lait'],,,
1231,Aubergines à la provencale,3574315350428,['France'],[],[],?,74,"4,5","6,3","1,1",,,,,,,,,,,,,310 kj(74 kcal),,,"0,6",,,"3,9",,,"0,91",,"0,364",,,,,,,,,,,,,,,,,,,,,,,,,,
1232,A la truffe noire,8025386005335,['France'],[],[],?,894,99,0,0,,,,,,,,,,,,,3740 kj(894 kcal),,,18,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
