,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,traceability_code,link,ingredients_origins,palm_ingredients,origin_detail,producer_info,brand_owner
1453,Bellarom Café Classic 36x,20208400,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,"['Agriculture durable', 'en:UTZ Certified', 'Café certifié UTZ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Pommes Choupette -dalinette,3562140975503,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,30,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,Ravioli Légumes du Potager - buitoni - 230g,8053041000203,230 g,['Buitoni'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,['Pâtes cuisinées'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],['Italie'],,,,,,,
1456,Reblochon de Savoie,2233402002190,,,,['France'],[],,,[],,?,332,1389 kj(332 kcal),"27,6","16,9","0,1","0,1","20,8","1,19","0,476",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],27.6 g,en quantité élevée,16.9 g,en quantité élevée,0.1 g,en faible quantité,1.19 g,en quantité modérée,,+2%,+3%,+3%,-10%,-73%,-56%,+4%,-11%,-11%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
1457,Bierre triple abbaye de vauclair,3261570005896,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,3415900030267,3415900030267,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,Lutti mini arlequin,3116740035800,,['Lutti'],,['France'],[],,,[],,?,352,1473 kj(352 kcal),"0,1",0,81,41,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Purée de pomme de terre - Auchan - 600g,3596710465460,600 g,['Auchan'],['Auchan'],['France'],"[""Pommes de terre issues de l'agriculture biologique""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,55,230 kj(55 kcal),"0,5","0,1",11,"0,9","1,5","0,01","0,004",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Plats préparés', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Nutriscore', 'Nutriscore A']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.01 g,en faible quantité,,-78%,-78%,-80%,-93%,-76%,-60%,-73%,-98%,-98%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,
1461,lemonade - 330ml,17182478,330 ml,,,['France'],"['Eau pétillante', 'sucre de canne', 'jus concentré de citron', '7,1%', "",jus concentré d'orange"", '4%', ',aromes naturels']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,46,192 kj(46 kcal),0,0,"10,9","10,9","0,5","0,1","0,04",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits', 'Sodas au citron']",,0 g,en faible quantité,0 g,en faible quantité,10.9 g,en quantité élevée,0.1 g,en faible quantité,,+109%,+83%,-100%,-100%,+82%,+86%,+524%,+609%,+609%,15,+79%,E,+79%,,,,,,,,,['Canette'],,,,,,,,
1462,Gâteau marbré ( marble cake),3259426039812,,,,"['France', 'La Réunion']",[],,,[],,?,430,1799 kj(430 kcal),23,"2,5",49,28,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Amandelen - Ekoplaza,8711521922130,,['Ekoplaza'],['Ekoplaza'],"['France', 'Pays-Bas']","['biologische amandelen ', 'ongebrand']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2379,?,2379 kj(569 kcal),"49,7","3,7","7,4","3,9",21,"< 0,01","0,004",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']","['Bio', 'Bio européen', 'NL-BIO-01']",49.7 g,en quantité élevée,3.7 g,en quantité modérée,3.9 g,en faible quantité,0.01 g,en faible quantité,-7%,,-8%,-4%,-11%,-38%,-6%,-5%,-96%,-96%,-5,-676%,A,-676%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,
1464,PIRULO - Nestlé,7613036287555,,['Nestlé'],,"['France', 'Espagne']",[],,,[],,?,76,318 kj(76 kcal),"1,8","1,5","14,1","9,6","0,7","0,06","0,024",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés']",,1.8 g,en faible quantité,1.5 g,en quantité modérée,9.6 g,en quantité modérée,0.06 g,en faible quantité,,-73%,-73%,-89%,-86%,-52%,-63%,-76%,-57%,-57%,3,-82%,C,-82%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,
1465,Pruneaux d'agen,3663559100316,,,,['France'],[],,,[],,?,241,1008 kj(241 kcal),"0,3","0,1",54,35,2,"0,01","0,004",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,0.3 g,en faible quantité,0.1 g,en faible quantité,35 g,en quantité élevée,0.01 g,en faible quantité,,0%,-0%,-17%,-12%,+1%,-4%,+7%,-28%,-28%,4,+83%,C,+83%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,,,
1466,Pâté de campagne breton IGP - Franprix - 160g,3263858873012,160 g,['Franprix'],['Franprix'],['France'],[],,,[],,?,312,1305 kj(312 kcal),"26,7","9,7","1,6","0,7","16,3","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22272F', ""Saint-Agathon (Côtes-d'Armor, France)""]",,,,,,
1467,Tomates Cerises,26043432,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Crousti Moelleuse originale - Marie,3248830000235,,['Marie'],,['France'],"['Pâte moelleuse 56,6% : farine de blé', 'eau', 'huile de colza', 'levure boulangère', 'sel', 'sucre', ' Garniture 43,4% : mozzarella 10,2%', 'eau', 'emmental 7,6%', 'cheddar 5,1%', 'édam 5,1%', 'concentré de tomates 4,8%', 'oignons préfrits ', 'dont huile de tournesol', 'sucre', 'amidon de maïs', 'ail', ""huile d'olive vierge"", 'basilic', 'persil', 'sel', ' Informations en gras destinées aux personnes allergiques', ' Traces possibles de : poisson', 'crustacés', 'mollusques', 'oeuf', 'moutarde', 'céleri']",,['Lait'],['Non végétalien'],,?,253,1059 kj(253 kcal),"8,6","4,5",31,"2,3",12,"0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Sorbet plein fruit litchi framboise - HDG,3267180390117,,['HDG'],,['France'],"['Purée de framboise 31%', 'purée de litchi 23%', 'eau', 'sucre', 'dextrose', 'sirop de glucose déshydraté', 'stabilisants : pectine amidée', 'farine de graines de caroube', 'farine de graines de guar', ' Susceptible de contenir : oeufs', 'lait et produits laitiers', 'fruits à coque', 'soja', 'sulfites et arachides']","['E440ii - Pectine amidée', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']","['Lait', 'Fruits à coque', 'Arachides', 'Soja', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien']",4,?,125,523 kj(125 kcal),"0,3",0,"29,7","26,1","0,6",0,0,C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets multifruits']",['Sans colorants'],0.3 g,en faible quantité,0 g,en faible quantité,26.1 g,en quantité élevée,0 g,en faible quantité,,+7%,+6%,-21%,-100%,+9%,+17%,+5%,-100%,-100%,5,+16%,C,+16%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,,,
1470,Velouté de pommes abricot - Charles & Alice - 388g,3297760092551,388 g,['Charles & Alice'],,['France'],[],,,[],,?,56,234 kj(56 kcal),"0,5","0,1",12,10,"0,7","0,002","0,001",,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Vittel up goût pêche,7613036760522,,['Vittel'],,['France'],[],,,[],,?,8,33 kj(8 kcal),0,0,"1,7","1,7",0,0,0,,"['Boissons', 'Eaux', 'Eaux aromatisées', ""Boisson à l'eau minérale aromatisée sucrée""]",,0 g,en faible quantité,0 g,en faible quantité,1.7 g,en faible quantité,0 g,en faible quantité,,-11%,-11%,-100%,-100%,-20%,-14%,-100%,-100%,-100%,4,+18%,C,+18%,,,,,,,,,,,,,,,,,
1472,Pissaladiere,0207692026114,,,,['France'],[],,,[],,?,126,527 kj(126 kcal),"2,2","0,3","20,1","3,2","4,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Lay's Méditerranéenne 100% huile d'olive aux herbes de Provence format familial - 220g,3168930157441,220 g,"[""Lay's"", 'Lays']",,['France'],"[""Pommes de terre,huile d'olive "", '30%', ',plantes aromatiques ', 'sarriette', 'romarin', 'thym', 'basilic', 'marjolaine', 'origan', ',sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,2119,508,2119 kj(508 kcal),31,"4,7",49,"0,5","6,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chips de pomme de terre à l'huile d'olive et aux herbes de Provence,,,,,,,,,
1474,Ravioli Fromage Burrata et Epinards - Buitoni,8053041000302,,['Buitoni'],,['France'],[],,,[],,?,268,1121 kj(268 kcal),"9,2","4,4",36,"6,6","9,2","1,1","0,44",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Pâtes farcies au fromage', 'Ravioli au fromage']",,9.2 g,en quantité modérée,4.4 g,en quantité modérée,6.6 g,en quantité modérée,1.1 g,en quantité modérée,,+6%,+6%,+15%,+9%,+7%,+116%,-10%,+4%,+4%,12,+63%,D,+63%,,,,,,,,,,,,,,,,,
1475,Chips & snacks crujiented - Frit Ravich,8410564030214,,['Frit Ravich'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Emmental en tranches - Naturalia,3700036906051,,['Naturalia'],,['France'],[],,,[],,?,363,1519 kj(363 kcal),29,20,"0,5","0,5",25,"0,8","0,32",,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Lindt excellence à la pointe de sel,3046920032261,,"['Lindt', 'Lindt Excellence']",,['France'],[],,,[],,?,528,2209 kj(528 kcal),32,19,50,45,"6,3","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Bacon bio - montagne noire - 80g,3339720414079,80 g,['montagne noire'],,['France'],"['Filet de porc ', 'origine UE', 'sel', 'sirop de glucose""', 'dextrose', 'épices conservateur nitrite de sodium', 'antioxydant lactate de sodium', ' l']",['E325 - Lactate de sodium'],['Fruits à coque'],"['Non végétalien', 'Non végétarien']",4,?,117,490 kj(117 kcal),"2,3","0,9",0,0,24,"2,7","1,08",,"['Viandes', 'Charcuteries', 'Porc', 'Bacon', 'Bacon fumé']","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",2.3 g,en faible quantité,0.9 g,en faible quantité,0 g,en faible quantité,2.7 g,en quantité élevée,,-11%,-10%,-38%,-37%,-100%,-100%,+8%,-1%,-1%,11,-4%,D,-4%,,,,,,,,,['Barquette'],,"['EMB 11262N', 'Narbonne (Aude, France)']",,,,,,
1479,2 Cupcakes pop corn caramel - Picard,3270160821969,,['Picard'],['Picard'],['France'],[],,,[],,?,399,1669 kj(399 kcal),24,8,41,22,"4,3","0,53","0,212",,"['Desserts', 'Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,24 g,en quantité élevée,8 g,en quantité élevée,22 g,en quantité élevée,0.53 g,en quantité modérée,,+1%,+1%,+19%,+113%,-16%,-18%,-17%,-28%,-28%,17,+10%,D,+10%,,,,,,,,,['Sachet'],,,,,,,,
1480,Blédina Mini lactés 6x55g Myrtille dès 6 mois - 330g,3041091397362,330 g,"['Blédina', 'Les mini lactes']",,['France'],"['LAIT écrémé et petit-lait fermentés réhydratés 68,0 % ', 'LAIT', ' - Myrtille 10,0 % - Crème 9,00 % ', 'LAIT', ' - Eau - Sucre - Amidon transformé de maïs - Arômes naturels - Epaississant : Farine de graines de caroube - Acidifiant : Acide citrique - Emulsifiant : Monodiglycérides de colza']","['E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E330 - Acide citrique']",['Lait'],['Non végétalien'],4,364,87,364 kj(87 kcal),"3,3",2,"10,7","7,4","2,6","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dessert lacté à la myrtille, aromatisé, adapté à bébé.",,,,,,,,,
1481,BCAA Select+ 2.0 - Zec+ - 500,4260492772007,500,['Zec+'],"['Zec+', 'Online Shops']","['France', 'Suisse']","['BCAA ', 'instantisiert', ' ', 'L-Leucin', 'L-Isoteucin', 'L-Valin undEmulgator Sonnenblumenlecithin', 'Säuerungsmittel: Citronensäure', 'Dextrin', 'Aroma', 'Sülsungsmittel: Acesulfam K und Sucralose', 'Farbstoff: Kupfer-Chlorophyllin', 'Pyridoxin-Hydrochlorid']","['E330 - Acide citrique', 'E1400 - Dextrines', 'E950 - Acésulfame K', 'E955 - Sucralose']",,"['Végétalien', 'Végétarien']",4,?,370,1548 kj(370 kcal),"1,5","0,1",4,"1,5","71,6","0,5","0,2",,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Acides aminés ramifiés']","['Végétarien', 'Végétalien']",1.5 g,en faible quantité,0.1 g,en faible quantité,1.5 g,en faible quantité,0.5 g,en quantité modérée,,+161%,+161%,+1003%,+1100%,+196%,+611%,+256%,+457%,+457%,1,,B,,,,,,,,,,['Zylindrischer Behälter'],['Deutschland'],,http://zecplus.de/bcaa-select-plus-2-0,,,,,
1482,Blanc de Dinde doré au four - Auchan - 180g,3596710469369,180 g,['Auchan'],['Auchan'],['France'],[],,,[],,?,109,456 kj(109 kcal),"2,4","0,7","0,9","0,9",21,"1,8","0,72",D,"['Viandes', 'Charcuteries', 'Volailles', 'Dindes', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de dinde', 'Blancs de dinde doré au four']","['Nutriscore', 'Fabriqué en France', 'Nutriscore C']",2.4 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,1.8 g,en quantité élevée,,+8%,+7%,+76%,+64%,-13%,-1%,+0%,+5%,+5%,3,+2%,C,+2%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,
1483,Mybioscore - Biscuits noisettes et raisins bio - bio la vie,3423720022010,,['bio la vie'],,['France'],"['BISCUITS NOISETTES & RAISINS Ingrédients Farine de blé T80*', ""flocons d'avoine*"", 'raisins*', '15%', ' ', 'raisin sultanine*', 'huile de tournesol*', 'noisettes* ', '9%', 'huile de tournesol oléique désodorisée* ', 'antioxydant : extrait de romarin*', 'pâte de dattes* ', 'poudres à lever ', 'bicarbonạte de sodium', ""bicarbonate d'ammonium"", 'sel de mer non raffiné', "" *Ingrédients issus de l'agriculture biologique - Certifié par Ecocert France SAS"", ' Allergènes: gluten', 'noisette', ' Peut contenir des traces de : lait', 'ceut', 'sésame', 'soja', 'fruits à coques', ' Fabriqué en France - Auvergne-Rhône-Alpes']","['E392 - Extrait de romarin', ""E503ii - Carbonate acide d'ammonium""]","['Gluten', 'Fruits à coque']",[],3,?,422,1766 kj(422 kcal),"15,3","1,9","58,4","13,2","9,7","0,42","0,168",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Fabriqué en France', 'Sans huile de palme', 'Nutriscore', 'Nutriscore A', 'AB Agriculture Biologique']",15.3 g,en quantité modérée,1.9 g,en quantité modérée,13.2 g,en quantité élevée,0.42 g,en quantité modérée,,-11%,-11%,-26%,-81%,-9%,-55%,+49%,-29%,-29%,-1,-105%,A,-105%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,
1484,Le couscous,3252970010207,,,,['France'],[],,,[],,?,360,1506 kj(360 kcal),2,"0,4",70,3,"12,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Légumes et Quinoa - d'aucy - 500g,3248451000676,500g,"[""d'aucy""]",,['France'],"['Cegumes et légumineuses ', 'brocolis 17%', 'courgettes 11%', 'carottes jaunes 9%', 'courges butternut 7,5%', 'fèves de soja 7%', 'quinoa Dlanc et rouge 23,5% ', 'eau', 'quinoa', ' ', 'eau', 'huile de colza', 'sauce soja 1% ', 'eau', 'soja', 'blé', 'sel', 'mix thai ', 'maltodextrine de blé et/ou maïs', 'arômes naturels', 'sel', 'dextrose', 'épice', 'arôme naturel', 'coriandre', 'citronnelle', 'miel', 'ail en poudre', 'gingembre', 'amidon de riz', 'pâte de curry ', 'piment vert', 'échalote', 'galangal', 'sauce nuoc mam ', 'poisson', 'citron vert', 'épices', 'huile de tournesol', 'coriandre', 'ail', 'citronnelle', 'eau', 'concentré citron', 'sel', 'sel', 'piment de Cayenne', ' Peut contenir des traces de céleri', 'de lait et leurs dérivés']",,"['Poisson', 'Gluten', 'Soja']","['Non végétalien', 'Non végétarien']",4,?,88,368 kj(88 kcal),4,"0,3","8,4","1,6","3,4","0,6","0,24",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", 'Mélanges de légumes surgelés']",,4 g,en quantité modérée,0.3 g,en faible quantité,1.6 g,en faible quantité,0.6 g,en quantité modérée,,+60%,+63%,+168%,+1%,+46%,-39%,+68%,+184%,+184%,-4,,A,,,,,,,,,,,,,,,,,,
1486,Raviolotti au Pecorino Romano - Lustucru - 250g,3240931544960,250 g,['Lustucru'],,['France'],[],,,[],,?,278,1163 kj(278 kcal),13,"6,3",28,"4,5",11,"1,5","0,6",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Plats préparés frais', 'Pâtes fraîches', 'Ravioli', 'Ravioli frais']",,13 g,en quantité modérée,6.3 g,en quantité élevée,4.5 g,en faible quantité,1.5 g,en quantité modérée,,+12%,+11%,+72%,+90%,-17%,+50%,+11%,+33%,+33%,15,+124%,D,+124%,,,,,,,,,,,,,,,,,
1487,Noix de coco,5038896003299,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Fraise,3347762001362,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Beurre tendre Demi sel 80%mg - Elle & Vire - 500g (2x 250g),3451790897429,500g (2 x 250 g),"['Elle & Vire', 'Savencia']",,['France'],[],,,[],,?,725,3033 kj(725 kcal),80,56,"0,7","0,7","0,6",2,"0,8",E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",,80 g,en quantité élevée,56 g,en quantité élevée,0.7 g,en faible quantité,2 g,en quantité élevée,,+1%,+1%,+1%,+4%,-6%,+14%,-12%,-3%,-3%,27,+2%,E,+2%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,['Fresh'],,,,,,,,
1490,Frites Allumettes,20954505,,,,['France'],[],,,[],,?,124,519 kj(124 kcal),"3,7","0,4","19,3","0,2","2,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Pom'potes bio pomme mangue banane - Materne - 90g,3021760405437,90g,['Materne'],,['France'],"['pomme 82,8%', 'mangue 12,0 % ', 'banane 5,0% arôme naturel', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,[],1,?,62,259 kj(62 kcal),"0,5","0,2",13,12,"0,5","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",0.5 g,en faible quantité,0.2 g,en faible quantité,12 g,en quantité modérée,0.01 g,en faible quantité,,0%,-2%,+37%,+53%,-4%,-4%,+23%,+7%,+7%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,,,,,
1492,Jozo Pepermolen 50GR,8715800000649,,,,"['Belgique', 'France']",[],,,[],,?,85,356 kj(85 kcal),0,0,16,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Sirop Multifruits -  - 60cl,3014400223003,60 cl,,,['France'],"['Sirop de Multifruits Ingrédients sucre', 'jus de fruits à base de concentrés 30% ', 'pomme', 'ne passion', 'banane', 'sureau', 'mangue', 'ORT pêche', 'ananas', 'eau', 'arômes', 'acidifiant: ur acide citrique', ""extrait d'orange"", 'concentré de carthame']",,,[],4,?,53,222 kj(53 kcal),0,0,"12,8","12,8",0,"0,04","0,016",,['Sirop multifruits'],,0 g,en faible quantité,0 g,en faible quantité,12.8 g,en quantité élevée,0.04 g,en faible quantité,,,,,,,,,,,2,,B,,,,,,,,,,,,,,,,,,
1494,Boudin noir aux oignons,2463697021914,,,,['France'],[],,,[],,?,293,1226 kj(293 kcal),"27,5","10,6","0,8","0,8","10,6","1,26","0,504",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons', 'Boudin noir sauté', 'Boudins aux oignons']",,27.5 g,en quantité élevée,10.6 g,en quantité élevée,0.8 g,en faible quantité,1.26 g,en quantité modérée,,+24%,+24%,+43%,+51%,-70%,-40%,-18%,-19%,-19%,18,+22%,D,+22%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,
1495,Tomates  séchées Coelsanus - 340g,8002170555566,340g,['Coelsanus'],,['France'],"['Tomates séchées 54%', 'huile de tournesol', 'sucre', 'sel', 'origan', ""correcteurs d'acidité : acide citrique et acide lactique"", ' antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E270 - Acide lactique', 'E300 - Acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,98,410 kj(98 kcal),"5,3","0,7",82,"6,4","1,7","2,3","0,92",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée', ""Tomate séchée à l'huile""]",['Sans gluten'],5.3 g,en quantité modérée,0.7 g,en faible quantité,6.4 g,en quantité modérée,2.3 g,en quantité élevée,,-55%,-54%,-67%,-62%,+572%,-24%,-53%,-13%,-13%,1,-80%,B,-80%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,Tomates séchées,['bocal en verre'],['Italie'],,,,,,,
1496,Nectar de Fruit de la Passion - Solevita,4056489028376,,['Solevita'],,['France'],[],,,[],,?,64,268 kj(64 kcal),"0,5","0,1",15,15,"0,5",0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de fruit de la passion']",,0.5 g,en faible quantité,0.1 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,,+19%,+17%,+324%,+239%,+18%,+24%,+92%,-100%,-100%,19,+14%,E,+14%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,
1497,Poulet pané epice - Marks & Spencer - 242g,00473958,242 g,['Marks & Spencer'],,['France'],[],,,[],,?,224,937 kj(224 kcal),"7,6","1,7","29,4","3,7","8,5","0,6","0,24",,"['Sandwichs', 'Wraps']",,7.6 g,en quantité modérée,1.7 g,en quantité modérée,3.7 g,en faible quantité,0.6 g,en quantité modérée,,-3%,-2%,-16%,-24%,+14%,+52%,-3%,-48%,-48%,-1,-125%,A,-125%,,,,,,,,,,,,,,,,,
1498,Mini girasoli farce a la ricotta tomate et mozzarella - Franprix,3263858877218,,['Franprix'],['Franprix'],['France'],[],,,[],,?,249,1042 kj(249 kcal),"6,5","1,8",38,"3,6","8,3","1,1","0,44",,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'IT-BIO-002', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
