,name,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,bar_code,generic_name,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,additives,allergens,brand_owner,manufacturing,link
1450,Fleur de sel de Camargue,['France'],[],[],?,?,,?,,?,,?,,,3760171230770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,Chipolatas persillés,['France'],[],[],?,205,858 kj(205 kcal),15,"5,8","0,6","0,6",17,"1,8","0,72",2238521029783,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",15 g,en quantité modérée,5.8 g,en quantité élevée,0.6 g,en faible quantité,1.8 g,en quantité élevée,,-14%,-14%,-21%,-20%,-49%,-5%,+10%,0%,0%,14,-16%,D,-16%,['Sans colorants'],"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,E,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,
1452,almentra fancesa,['France'],"['SELECTASINGREDIENTES:Almendras', 'gelatina', 'azicar,sabor a vainillay colorantesl', 'amarillo tartrazina # 5,aranja # 6', 'verde menta', 'rojoocea rosado dioxido detanio comestibie', ' Contienegranos y frutos sepsNo contiene grasas transINGREDENTSAlmonds', 'jelly sugar', 'vanand colorng ue', 'tartyeliow #5', 'arangemint', 'ponceau red,tanium dioide edibieContains grains and nuNo frans fatsREGISTRO SANITARRSAD16179413FABRICADO EN COLOMBIA POR/MADE IN COLOMBIA BYDULCELSALCarera 278 # 5A31']",[],?,?,,?,,?,,?,,,02154617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,Orange,['France'],[],[],?,48,201 kj(48 kcal),"0,1",0,"10,9","9,3","0,6",0,0,3301931000358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Varma Koppen äppel &kanelsoppa,['France'],[],[],?,53,222 kj(53 kcal),"0,5","0,1",13,12,"0,5","0,01","0,004",7322550036340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,Huile d'olive de Corse - Château NasicA - 500mL,['France'],"[""Huile d'olive de catégorie supérieure obtenue uniquement par des procédés mécaniques""]",[],3389,823,3389 kj(823 kcal),"91,59","12,6",0,0,0,"< 0,002","0,001",3770011606009,,500mL,['Verre'],['Château NasicA'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive de Corse""]",91.6 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0.0025 g,en faible quantité,,-1%,-3%,-1%,-5%,,,,+151%,+151%,6,0%,C,0%,['AOP'],,,C,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
1456,Cookies Cranberries,['France'],[],[],?,412,1724 kj(412 kcal),"17,53",11,"57,3",30,"6,25","0,25","0,1",3760124880199,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,
1457,Huile d'olive aux piments d'espelette,['France'],[],[],?,885,3703 kj(885 kcal),"97,2","11,6",2,1,"0,48","0,26","0,104",3760226282235,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,
1458,Aceite de oliva virgen extra 100% Arbequina con guindillas botella 500 ml - Agustin Fornos,['France'],[],[],?,?,,?,,?,,?,,,8437014671056,,,,['Agustin Fornos'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,
1459,Eau Voss,['France'],[],[],?,?,,?,,?,,?,,,6615500611744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Lindt,['France'],[],[],?,?,,?,,?,,?,,,3046920001557,,,,['Lindt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,Beef Jerry BBQ,['France'],[],[],?,313,1310 kj(313 kcal),"3,3","1,3","43,7","27,4","26,6","3,5","1,4",5060030540483,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,
1462,Sauce soja sesame,['France'],[],[],?,120,502 kj(120 kcal),0,0,8,4,11,10,4,3760135730247,,,,,"['Epicerie', 'Sauces', 'en:Sesame sauces', 'Sauce au sésame']",0 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,10 g,en quantité élevée,,-50%,-49%,-100%,-100%,-19%,-38%,+309%,+313%,+313%,11,-5%,D,-5%,,,,,,,,,,,,,,,,,,
1463,Pains 6 céréales + 3 graines,['France'],[],[],?,307,1284 kj(307 kcal),"5,7","0,8",49,"1,1",12,"1,5","0,6",3000000008249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Sardinillas en Tomate,['France'],[],[],?,182,761 kj(182 kcal),"6,5","1,7","0,53","0,53","16,9","1,2","0,48",8411317301193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Bonbel Käse,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,2356492002977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Chamoy mango slices - 8oz,['France'],[],[],?,357,1494 kj(357 kcal),0,0,86,68,0,"0,7","0,28",0832112009400,,8 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Rigol'othe,['France'],[],[],?,?,,?,,?,,?,,,3760290870116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Bananes - Côté Marché,['France'],[],[],?,?,,?,,?,,?,,,2250100001485,,,['Sachet'],['Côté Marché'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,,,,A,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,['Lidl'],,,,,,
1469,Abaondance aop,['France'],[],[],?,405,1695 kj(405 kcal),30,20,"0,1","0,1",24,"1,5","0,6",2488012027884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,Croquants Cheddar aux graines de Lin,['France'],[],[],?,575,2406 kj(575 kcal),41,13,45,3,12,"2,3","0,92",3760112143701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Roasted lentils,['France'],[],[],?,456,1908 kj(456 kcal),"20,4","1,7","41,1","1,1","19,3","1,1","0,44",5060280600586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Sosiski,['France'],[],[],?,258,1079 kj(258 kcal),21,"8,1","1,2","1,1",16,"2,1","0,84",0293887036549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Raisins sec moscatel,['France'],[],[],?,299,1251 kj(299 kcal),5,4,60,59,3,0,0,8422193000162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Saucisson corse,['France'],[],[],?,378,1582 kj(378 kcal),27,10,2,"0,7",30,5,2,2642821040018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,Tormaresca Neprica - Rosso Puglia Igt 2009,['France'],[],[],?,?,,?,,?,,?,,,8026530000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,NAN.3 - Nestlé,['France'],[],[],?,?,,?,,?,,?,,,7613033497742,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Le framboisier,['France'],[],[],?,489,2046 kj(489 kcal),24,"9,5",61,25,"6,4","0,19","0,076",3276220001722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Saucisse de francfort,['France'],[],[],?,187,782 kj(187 kcal),13,"5,2","0,6","0,6",17,"1,7","0,68",2238525027686,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,
1479,Fromage pasteurisé - Leerdammer,['France'],[],[],?,356,1490 kj(356 kcal),"27,5","18,5","0,5","0,5",27,"1,5","0,6",0285385017717,,,,['Leerdammer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Vache en pain d'épice,['France'],[],[],?,303,1268 kj(303 kcal),"0,67","0,16","66,52","32,15","5,45","1,82","0,728",3052350648934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Asiago Pressato DOP - Italiamo,['France'],[],[],?,366,1531 kj(366 kcal),30,21,0,0,24,17,"6,8",4056489042372,,,,['Italiamo'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Asiago']",30 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,17 g,en quantité élevée,,+12%,+13%,+17%,+24%,-100%,-100%,+14%,+1504%,+1504%,19,+47%,E,+47%,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
1482,Câpres Surfines - Bahadourian - 700g,['France'],[],[],?,94,393 kj(94 kcal),1,0,20,0,3,5,2,3500680011145,,700 g,,['Bahadourian'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,3760170230009,['France'],[],[],?,?,,?,,?,,?,,,3760170230009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Loprofin Macaroni Spirale 500Gr Min Afn=6,['France'],[],[],?,363,1519 kj(363 kcal),"1,2","0,2","87,4",0,"0,5","0,08","0,032",5016533627558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Clementine,['France'],[],[],?,?,,?,,?,,?,,,8432317121260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,2 escalopes à la milanaise,['France'],[],[],?,122,510 kj(122 kcal),"0,7","0,2","6,3","2,3","22,7","0,78","0,312",2860241023880,,,,,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",0.7 g,en faible quantité,0.2 g,en faible quantité,2.3 g,en faible quantité,0.78 g,en quantité modérée,,-8%,-7%,-55%,-62%,-8%,+25%,+7%,-14%,-14%,-1,-246%,A,-246%,,,,D,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,,,,,,,
1487,Chewing gum Stimorol classique,['France'],[],[],?,166,695 kj(166 kcal),"0,3","0,1",64,"0,5","0,8","0,1","0,04",7622210080769,,,,['Stimorol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Think mango think woraporn,['France'],[],[],?,152,636 kj(152 kcal),0,0,56,20,0,"1,2","0,48",8851101111100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Carpaccio de boeuf,['France'],[],[],?,211,883 kj(211 kcal),15,"2,9",0,0,19,"0,7","0,28",2434432023357,,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Carpaccio de boeuf']",15 g,en quantité modérée,2.9 g,en quantité modérée,0 g,en faible quantité,0.7 g,en quantité modérée,,+3%,+4%,+6%,+15%,-100%,-100%,-1%,-3%,-3%,2,+9%,B,+9%,['Fabriqué en France'],"['FR 49.323.032 CE', ""Saint-Sylvain-d'Anjou (Maine-et-Loire, France)""]",,,,,,,,,,,,,,,,
1490,Sweet potato chips,['France'],[],[],?,?,,?,,?,,?,,,5425039302294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Saint-Nectaire,['France'],[],[],?,?,,?,,?,,?,,,0203839019612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Poulet fermier élevé en plein air,['France'],[],[],?,156,653 kj(156 kcal),8,"2,2",0,0,21,"0,13","0,052",2209330008320,,,,,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers']",8 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.13 g,en faible quantité,,+12%,+13%,+29%,+36%,-100%,-100%,+2%,-19%,-19%,-2,,A,,['Label Rouge'],,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
1493,B'A douceur extrême,['France'],[],[],?,115,481 kj(115 kcal),"5,2","3,4",12,12,5,"0,06","0,024",3428282960022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Magret de canard du sud ouest - Monoprix Gourmet,['France'],[],[],?,365,1527 kj(365 kcal),33,11,"0,6","0,6",16,"0,1","0,04",0206024060543,,,,['Monoprix Gourmet'],"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,,+7%,+8%,+13%,+10%,-52%,-10%,-11%,-94%,-94%,14,-24%,D,-24%,,,,E,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['Monoprix'],,,,,,
1495,Roti de porc,['France'],[],[],?,139,582 kj(139 kcal),"5,2","2,1","0,9","0,8","22,2","1,98","0,792",2471248020798,,,,,"['Viandes', 'Porc', 'Rôtis de porc']",5.2 g,en quantité modérée,2.1 g,en quantité modérée,0.8 g,en faible quantité,1.98 g,en quantité élevée,,-3%,-2%,+3%,+0%,+10%,+28%,-1%,+15%,+15%,11,+54%,D,+54%,,,,E,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,
1496,Rilette pur canard au foie de canard - 90g,['France'],[],[],?,463,1937 kj(463 kcal),46,16,0,0,13,"1,58","0,632",3461956706793,,90 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Pudding - Moser Roth - 2x 100g,['France'],[],[],?,174,728 kj(174 kcal),"9,5",6,"18,4","15,6","3,4","0,18","0,072",4061458124256,,2 x 100 g,,['Moser Roth'],,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'Fabriqué en Allemagne', 'en:UTZ Certified']",['DE BY-77723 EG'],,,,,,,,,,,,,,,,
1498,Mix omega,['France'],[],[],?,583,2439 kj(583 kcal),"47,6","7,6","8,9","0,5","23,1","0,02","0,008",8022424008242,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,
1499,Scarmozina nature - L'Italie des Fromages - 250g,['France'],"['LAIT de vache thermisé ', 'origine: Italie', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,334,1397 kj(334 kcal),26,18,1,1,25,1,"0,4",8059070742695,,250 g,,"[""L'Italie des Fromages"", 'Galileo', 'Podere dei Leoni']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Scamorza']",26 g,en quantité élevée,18 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,,+8%,+9%,+12%,+15%,+12%,+139%,+8%,-20%,-20%,13,-3%,D,-3%,['Fabriqué en Italie'],['IT D5C37 CE'],3,C,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Italie'],,['Lait'],,,
1500,Porridge carrot cake bowl,['France'],[],[],?,391,1636 kj(391 kcal),13,"1,4","50,2","7,6","15,6",0,0,3770014104137,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,
1501,Saucisse sèche pur porc,['France'],[],[],?,387,1619 kj(387 kcal),"27,5","11,4","3,6","0,8","31,2","5,08","2,032",0237062035163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Pain platine - 400g,['France'],[],[],?,?,,?,,?,,?,,,2030500468060,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Fortwenger,['France'],[],[],?,543,2272 kj(543 kcal),"31,4","11,8","56,1","43,7","7,8","0,04","0,016",3279130101797,,,,['Fortwenger'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Feutre alimentaire orange,['France'],[],[],?,?,,?,,?,,?,,,3700392471125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Miel d'ici,['France'],[],[],?,?,,?,,?,,?,,,3445738003652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Chorizo tradition,['France'],[],[],?,?,,?,,?,,?,,,2287595022503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Lenteja Pardina Ubidea,['France'],[],[],?,422,1766 kj(422 kcal),2,"0,18",61,5,24,0,0,8423594000164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Limonade Bon val,['France'],[],[],?,40,167 kj(40 kcal),1,"0,1","9,5","9,5","0,1","0,1","0,04",5411831002746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,2518095002505,['France'],[],[],?,?,,?,,?,,?,,,2518095002505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Vermicelles de sucre,['France'],[],[],?,404,1690 kj(404 kcal),"2,5","0,2","94,7","89,6","0,2","0,01","0,004",5711243102875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Cool alpacas,['France'],[],[],?,521,2180 kj(521 kcal),28,17,60,59,"6,1","0,12","0,048",8718800415550,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,
1512,Ethiquable - Infusion Plaisir Du Soir Bio,['France'],[],[],?,?,,?,,?,,?,,,3760091722218,,,,['Ethiquable'],,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
1513,Caramel,['France'],[],[],?,?,,?,,?,,?,,,3014400195072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Chocolat noir aux éclats de fèves de cacao caramélisés -,['France'],[],[],?,554,2318 kj(554 kcal),41,26,34,29,"7,7","0,02","0,008",3701228900536,,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",41 g,en quantité élevée,26 g,en quantité élevée,29 g,en quantité élevée,0.02 g,en faible quantité,,-1%,-1%,-1%,+4%,-1%,+5%,-5%,-37%,-37%,22,+7%,E,+7%,,,,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,
1515,Bûchette ail et fines herbes fermière Bio,['France'],[],[],?,?,,?,,?,,?,,,3357300143003,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,
1516,Saint nectaire - Auchan,['France'],[],[],?,?,,?,,?,,?,,,2092597024864,,,,['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,,,,,,,,,,,,,,,,,,,,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Auchan'],,,,,,
1517,Petit basque,['France'],[],[],?,413,1728 kj(413 kcal),36,26,0,0,22,"1,8","0,72",0236093042249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,"Moutarde à l'ancienne ""viollette"" au moût de raisin",['France'],[],[],?,171,715 kj(171 kcal),"10,5","0,7","7,7","7,7","6,6","2,3","0,92",3760023000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Judías verdes anchas,['France'],[],[],?,12,50 kj(12 kcal),"0,1","0,002","1,6","1,1","1,2","0,8","0,32",8431464240183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Sport gel,['France'],[],[],?,278,1163 kj(278 kcal),0,0,"68,9","44,7",0,"0,26","0,104",8054956340422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Piccolo Grissini,['France'],[],[],?,420,1757 kj(420 kcal),"7,5","0,9",78,"2,2","9,4","2,1","0,84",3193840913160,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",7.5 g,en quantité modérée,0.9 g,en faible quantité,2.2 g,en faible quantité,2.1 g,en quantité élevée,,-0%,-0%,-31%,-60%,+17%,-12%,-18%,+11%,+11%,14,+9%,D,+9%,,,,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,
1522,Gummi Candy,['France'],[],[],?,332,1389 kj(332 kcal),"0,2","0,2",75,54,"5,3","0,2","0,08",8436036180195,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,
1523,Jambon à l'ancienne,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",2602657037323,,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,5,-49%,C,-49%,,,,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Picard'],,,,,,
1524,Vacuno de raza wagyu solomillo,['France'],[],[],?,?,,?,,?,,?,,,8437011109422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Tomme des Pyrénées,['France'],[],[],?,346,1448 kj(346 kcal),28,20,"1,5","0,5",22,"1,8","0,72",2488705016799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,,,,,,
1526,Coca cola zero - The Coca-Cola Company - 330ml,['France'],[],[],"1,4",0.3,"1,4 kj(0 kcal)",0,0,0,0,0,"0,2","0,08",19353603,,330 ml,,"['The Coca-Cola Company', 'Coca-Cola']","['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en quantité modérée,-30%,-70%,-30%,-100%,-100%,-100%,-100%,-100%,+1190%,+1190%,1,+2%,B,+2%,,,,,,,,,,,,,,,,,,
1527,Crêpe bio,['France'],[],[],?,280,1172 kj(280 kcal),"7,8","1,1",44,19,"7,5","0,08","0,032",3336413247167,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
1528,smoothie - Don Simon,['France'],[],[],?,57,238 kj(57 kcal),0,0,"12,6","12,6","0,6","0,01","0,004",08787378,,,,['Don Simon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Pomme de Terre CHARLOTTE,['France'],[],[],?,?,,?,,?,,?,,,3760279110288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Frese,['France'],[],[],?,339,1418 kj(339 kcal),"1,78","0,1","69,4","2,75","11,8","0,7","0,28",8006287001893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2303682007137,['France'],[],[],?,?,,?,,?,,?,,,2303682007137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,12 escargots de Bourgogne - Escal,['France'],[],[],?,?,,?,,?,,?,,,3261080922423,,,,['Escal'],"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,,,,,,,,,,,,,,,,,,,,,,,,,C,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,
1533,Dulano,['France'],[],[],?,?,,?,,?,,?,,,4056489044109,,,,['Dulano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Triple - Vivat - 75cl,['France'],[],[],?,?,,?,,?,,?,,,3760077520708,,75 cl,,['Vivat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,8425852012773,['France'],[],[],?,?,,?,,?,,?,,,8425852012773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Truffes fantaisie - 200g,['France'],[],[],?,590,2469 kj(590 kcal),43,34,44,42,"3,8","0,11","0,044",3173287226702,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,
1537,Tropezienne - Leclerc,['France'],[],[],?,291,1218 kj(291 kcal),16,11,34,18,"3,9","0,57","0,228",1900000016690,,,,['Leclerc'],"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",16 g,en quantité modérée,11 g,en quantité élevée,18 g,en quantité élevée,0.57 g,en quantité modérée,,+6%,+6%,+57%,+61%,-13%,-11%,-8%,+14%,+14%,18,+19%,D,+19%,,,,,,,,,,,,,,,,,,
1538,Cheese Dip,['France'],[],[],?,?,,?,,?,,?,,,8711258018182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Autumn - 125g,['France'],[],[],?,?,,?,,?,,?,,,0604619941961,,125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Yamato Premium Dashi,['France'],[],[],?,46,192 kj(46 kcal),0,0,"9,2","8,8","2,3","8,1","3,24",4979574003099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
