,name,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,bar_code,generic_name,quantity,packaging,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,nova_score,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,additives,allergens,brand_owner,manufacturing,link
634,Ensalada Mezclum - 150g,['France'],[],[],?,15,63 kj(15 kcal),"0,5","0,1","1,3","0,6","1,5","0,13","0,052",8437014941838,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Vellutata di Zucchine con patate e grano saraceno,['France'],[],"['Végétalien', 'Végétarien']",?,38,159 kj(38 kcal),1,"0,1","5,1","2,6","1,2","0,76","0,304",8055118489577,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,
636,Higher Living Green Tea Lemon,['France'],[],[],?,?,,?,,?,,?,,,5060319129309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Creme de rie - 2x 60g,['France'],[],[],?,?,,?,,?,,?,,,6132077700232,,2 x 60 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Cabillaud sauce salicorne / sarrasin et duo de quinoa - 300g,['France'],[],[],?,115,481 kj(115 kcal),"3,7","1,6",10,"0,5","9,5","0,76","0,304",3356067787314,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],"['FR 62.865.007 CE', 'Vitry-en-Artois (Pas-de-Calais, France)']",,,,,,,,,,,,,,,,
639,Eau a la framboise,['France'],[],[],?,?,,?,,?,,?,,,5034839006334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,"Wino Livor Tempranillo Ijalba 12, 5% 750ML CZ PW",['France'],[],[],?,?,,?,,?,,?,,,8423309013007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Christmas chocolate figures,['France'],[],[],?,548,2293 kj(548 kcal),32,20,58,57,"5,7","0,24","0,096",8715661007528,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,
642,Pralines,['France'],[],[],?,0,0 kj(0 kcal),28,19,55,44,15,0,0,3663350079538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Colorant alimentaire - 25g,['France'],[],[],?,?,,?,,?,,?,,,5060475070323,,25 g,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Bliss sirop de fraise,['France'],[],[],?,41,172 kj(41 kcal),"0,1","0,1","10,3","10,2","0,3","0,01","0,004",5420009702685,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",,,,,,,,,,-85%,-85%,+0%,+322%,-85%,-85%,+197%,-39%,-39%,,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,
645,Aloe Vera King Peach,['France'],[],[],?,40,167 kj(40 kcal),0,0,10,9,0,0,0,9120068791250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,vinaigre à la pulpe d'agrumes et gingembre,['France'],[],[],?,104,435 kj(104 kcal),0,0,20,18,"0,06","0,02","0,008",3760212720093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Cacao Gourmand,['France'],[],[],?,558,2335 kj(558 kcal),40,"20,4","36,8","34,3","7,8","0,05","0,02",3290048000170,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Fabriqué en France']",,,,,,,,,,,,,,,,,
648,Chocolat,['France'],[],[],?,501,2096 kj(501 kcal),41,"25,6",34,0,"6,4",0,0,47195127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Mukti instant tea pre-mix,['France'],[],[],?,368,1540 kj(368 kcal),"5,4","3,3","69,2","35,4","13,4",0,0,5060145890138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Pur jus de raisin bio,['France'],[],[],?,73,305 kj(73 kcal),0,0,"18,1","15,9",0,0,0,8437018891085,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
651,Mon Mélange. .. Riz Et Céréales Bio,['France'],[],[],?,?,,?,,?,,?,,,3760162880946,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
652,2225661019941,['France'],[],[],?,?,,?,,?,,?,,,2225661019941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Lard paysan,['France'],[],[],?,?,,?,,?,,?,,,2485078028732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,1/2 palette,['France'],[],[],?,?,,?,,?,,?,,,2485064071704,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,
655,Jambonneau,['France'],[],[],?,?,,?,,?,,?,,,2485082065402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,jarret avent de porc demi sel,['France'],[],[],?,250,1046 kj(250 kcal),"3,2","1,2","0,5","0,5",21,"2,3","0,92",2689273040081,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,
657,Jambon sec périgordine de Salaisons,['France'],[],[],?,230,962 kj(230 kcal),13,5,"0,5","0,3",29,"5,7","2,28",3449350001911,,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",13 g,en quantité modérée,5 g,en quantité modérée,0.3 g,en faible quantité,5.7 g,en quantité élevée,,-2%,-2%,+2%,+3%,-15%,-20%,0%,+14%,+14%,16,-4%,D,-4%,,"['FR 24.381.001 CE', 'Saint-Barthélemy-de-Bussière (Dordogne, France)']",,E,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,
658,Torsade Chocolat,['France'],[],[],?,?,,?,,?,,?,,,0207129017654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Dots,['France'],[],[],?,?,,?,,?,,?,,,0206091022635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Persillade - Bonarea,['France'],[],[],?,257,1075 kj(257 kcal),"24,5","2,6","6,9","5,5","1,5","3,8","1,52",00250031000037848889,,,,['Bonarea'],,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,
661,Galettes bretonnes - 200g,['France'],[],[],?,503,2105 kj(503 kcal),"27,2","17,2","56,5","22,6","6,8","0,8","0,32",3760255820576,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Potage 7 légumes - La Tablée du Potager,['France'],[],[],?,24,100 kj(24 kcal),"0,5","0,1","4,2","0,9","0,7","0,63","0,252",3422440003958,,,,['La Tablée du Potager'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
