,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,packaging,additives,allergens,ingredients_origins,manufacturing,palm_ingredients,generic_name,brand_owner,link,producer_info,origin_detail
819,Salmon & potato,8594062082927,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,Saumon fumé dégustation (elevage) - Labeyrie,3033610076926,,['France'],[],[],?,198,828 kj(198 kcal),12,"2,5","0,6","0,6",22,"2,9","1,16",['Labeyrie'],E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,,+7%,+7%,+14%,+21%,+21%,+80%,-0%,+3%,+3%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
821,Sablés caramel au beurre salé,3086711060011,,['France'],[],[],?,421,1761 kj(421 kcal),15,"9,2",64,34,"6,6","0,57","0,228",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés au beurre']",,15 g,en quantité modérée,9.2 g,en quantité élevée,34 g,en quantité élevée,0.57 g,en quantité modérée,,-14%,-14%,-34%,-36%,+1%,+33%,+2%,-15%,-15%,23,-0%,E,-0%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,
822,Carquiñoli - bonÀrea,8413585027270,,"['France', 'Espagne']",[],[],?,427,1787 kj(427 kcal),"9,2","1,5",75,31,"9,6","0,4","0,16",['bonÀrea'],C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,9.2 g,en quantité modérée,1.5 g,en quantité modérée,31 g,en quantité élevée,0.4 g,en quantité modérée,,-5%,-5%,-44%,-76%,+12%,-2%,+30%,-15%,-15%,13,-23%,D,-23%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,
823,10004020810 Nitro Pure Whey Protéine Saveur Caramel Capuccino - BiotechUSA,5999076213313,['en:gluten-free'],['France'],[],[],?,366,1531 kj(366 kcal),"4,3","2,1","3,7","3,5",78,"0,3","0,12",['BiotechUSA'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,MELANGE DE MELASSE ET PUREEE NOISETTE - Koska,8690710142156,,['France'],[],[],?,500,2092 kj(500 kcal),30,"5,5","46,1","38,7","11,2","0,3","0,12",['Koska'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Madeleine,6111242330832,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,,,,,,,,,,,,,,,,,,,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,,,
826,Queso semicurado de oveja - Campo Real,8428580000111,,"['France', 'Espagne']",[],[],?,425,1778 kj(425 kcal),34,"24,73","3,22","1,36","26,5","1,78","0,712",['Campo Real'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']",,34 g,en quantité élevée,24.7 g,en quantité élevée,1.36 g,en faible quantité,1.78 g,en quantité élevée,,+17%,+18%,+10%,+18%,+257%,+400%,+32%,-28%,-28%,17,-2%,D,-2%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,,
827,Thé noir africains,3700893600666,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Tikka Masala,5000354907494,,['France'],[],[],?,118,494 kj(118 kcal),8,"4,5","9,1",6,"1,6","0,83","0,332",,B,"['Epicerie', 'Sauces', 'Sauces indiennes', 'Sauces tikka masala']",,8 g,en quantité modérée,4.5 g,en quantité modérée,6 g,en quantité modérée,0.83 g,en quantité modérée,,-7%,-8%,+3%,+52%,+1%,+23%,-14%,+6%,+6%,9,+83%,C,+83%,53.8%,21.4%,9.3%,8.8%,4.0%,2.8%,86,,,,,,,,,,,,,,
829,Soupe à l'indienne -,3059942032942,,['France'],"['eau', 'oignon 20 %', 'carotte', 'Courgette', 'lentilles cuites 3,4%', 'poivron rouge', 'amidon transformé de maïs', 'lait de Coco reconstitué 2,2 %', 'huile de tournesol oléique', 'crème', 'sel', 'lait écrémé en poudre', 'lactose et protéines de lait', ""mélange d'épices curry 0,3 % "", 'contient céleri', 'coriandre', 'arômes ', 'contient lait', ' Peut contenir des traces de blé ', 'gluten', "" et d'oeuf""]",['Non végétalien'],?,48,201 kj(48 kcal),2,"0,5","5,5","1,1","1,3","0,68","0,272",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E14XX - Amidons modifiés'],"['Céleri', 'Lait']",,,,,,,,
830,Petits sablés aux noisettes - 170g,3392360001122,,['France'],[],[],?,533,2230 kj(533 kcal),30,14,59,25,"8,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 g,,,,,,,,,,,,,
831,2 Galettes frangipane,,,['France'],[],[],?,420,1757 kj(420 kcal),29,16,33,10,"6,5","0,61","0,244",,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,29 g,en quantité élevée,16 g,en quantité élevée,10 g,en quantité modérée,0.61 g,en quantité modérée,,-0%,-0%,+10%,+8%,-15%,-22%,+2%,-12%,-12%,19,-1%,E,-1%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,
832,Yummy - Prozis,5600499504963,,['France'],[],[],?,158,661 kj(158 kcal),0,0,39,"3,7","0,6","0,18","0,072",['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Krush 100%,6001299010071,,['France'],[],[],?,47,197 kj(47 kcal),0,0,11,"0,4",0,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Fortimel Compact Chocolat 4X125ML - 4x 125ml,8716900552656,,['France'],[],[],?,240,1004 kj(240 kcal),"9,3","0,9","29,7",15,"9,4","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 125 ml,,,,,,,,,,,,,
835,Epaule cuite sans os,3280594670309,,['France'],[],[],?,109,456 kj(109 kcal),"3,4","1,3","2,5","2,5",17,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Escargots des fêtes,63235975,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Pastilles Cachou à mâchouiller - Le Comptoir de Mathilde,3700961305394,,['France'],[],[],?,313,1310 kj(313 kcal),"0,2","0,1",65,22,"6,9","0,76","0,304",['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,Tempero para frango - Pingo Doce - 200g,5601009927432,,['France'],[],[],?,530,2218 kj(530 kcal),"0,1","0,1","8,8","2,4","2,8","12,9","5,16",['Pingo Doce'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,
839,Pate de la mere Gaud au poivre vert - 130g,3282627003221,,['France'],[],[],?,210,879 kj(210 kcal),15,"5,2","3,6",1,"13,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 g,,,,,,,,,,,,,
840,Demi baguettes aux graines de sésame - Auchan,2090000170436,,['France'],[],[],?,?,,?,,?,,?,,,['Auchan'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,,,,,,,,,,,,,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,['Auchan'],,,,,,,,,,,
841,Buche creme beurre cafe 6/8 parts D - Auchan,2090000178982,,['France'],[],[],?,394,1648 kj(394 kcal),"24,2","15,7","39,5","35,1","3,9","0,2","0,08",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,
842,Jamón Bodega,8423304300027,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Chocolat noir fèves de cacao - Bovetti - 25g,3501940339009,['Fabriqué en France'],['France'],"['CHOCOLAT NOIR AUX ECLATS DE FEVES DE CACAO Cacao 73% min dans le chocolat Ingrédients chocolat noir ', 'masse de cacao', 'sucre', 'beurre de cacao', ' extrait de vanille', 'fèves de cacao caramélisées 6% ', 'fève de cacao', ' Sucre', 'sirop de sucre caramélisé']",[],?,554,2318 kj(554 kcal),42,26,30,26,"8,5","0,02","0,008",['Bovetti'],E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",3,42 g,en quantité élevée,26 g,en quantité élevée,26 g,en quantité élevée,0.02 g,en faible quantité,,-1%,-1%,+1%,+4%,-13%,-5%,+4%,-37%,-37%,21,+2%,E,+2%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,25 g,,,,,,,,,,,,,
844,M &M-CANDY COOL POP FAN- W / M &M-.,0609454651372,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Instant caramel poire - Erhard,3428420050974,,['France'],[],[],?,278,1163 kj(278 kcal),13,9,35,30,"4,3","0,38","0,152",['Erhard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Eliquid - Premium - 10ml,3760230720556,['Fabriqué en France'],['France'],"['Propylène glycole S0% Glycerine Végétale S0%', 'Arôme', 'Nicotine', ' leneur en nicotine: 33,6 uq / bounec LOT N° B864/20/09/20/ DLU 10/2020 PHARM-LUX:16 bis rue du Champ Pinson 17137', 'Nieul sur Mer', 'France ', '+33546550212 10ml 6 Nicotine MG/ML PRODUIT DU VAPOTAGE']",[],?,?,,?,,?,,?,,,['Premium'],,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10ml,,,['Bouteille'],,,,,,,,,,
847,Thé parfumé Jardin du Luxembourg - Dammann Frères,3259920060299,,['France'],[],[],?,?,,?,,?,,?,,,['Dammann Frères'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Clémentines vrac,2227722026172,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Snowy Road Mini Bites,00848527,,['France'],[],[],?,459,1920 kj(459 kcal),"17,7","13,7","71,3","53,1",3,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Cubes fruits confits,3612645628012,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Isarome,3040400246476,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Compte aop,2480475024202,,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
853,Charitea green,42287001,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Houmous - Boni - 170g,5400141207767,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Point Vert']","['Belgique', 'France']","['51,3% pois chiches*', 'eau', 'huile de tournesol*', 'sirop de blé', 'tahin ', 'contient du sésame', 'plantes aromatiques', 'sel marin,0', '6% jus de citron*', 'correcteur d’acidité ', 'E330', 'épaississant* ', 'E412', ' Contient du gluten et du sésame', ' Peut contenir des traces de soja', 'de fruits à coque', 'de céleri', 'de moutarde et de lupin']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,249,1042 kj(249 kcal),18,"1,9",13,"6,3","5,3","1,5","0,6",['Boni'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",4,18 g,en quantité modérée,1.9 g,en quantité modérée,6.3 g,en quantité modérée,1.5 g,en quantité modérée,,-5%,-5%,-11%,-23%,+23%,+370%,-18%,+44%,+44%,6,+20%,C,+20%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,170 g,,['Colruyt'],,"['E330 - Acide citrique', 'E412 - Gomme de guar']","['Gluten', 'Graines de sésame']",,,,,,,,
855,Feuilletés escargots St Jacques - Auchan,3596710468416,"['Nutriscore', 'Nutriscore E']",['France'],[],[],?,440,1841 kj(440 kcal),32,22,30,2,"8,4","1,5","0,6",['Auchan'],,['Plats préparés'],,32 g,en quantité élevée,22 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,,+173%,+175%,+348%,+865%,+124%,-4%,+20%,+59%,+59%,21,+433%,E,+433%,,,,,,,,,,['Auchan'],,,,,,,,,,,
856,Granachu,3800103422870,,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,4",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,"Lakrits, Zen - 100g",8029716765432,,"['France', 'Suède']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,['Godis'],,,,,,,,,,
858,Patate douce,2418395019428,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Fusili Noix du Perigord - Bovetti,3501940503004,,['France'],[],[],?,376,1573 kj(376 kcal),"5,1","0,6",69,"2,1",12,"0,01","0,004",['Bovetti'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Torsades', 'Fusilli de blé dur']",,5.1 g,en quantité modérée,0.6 g,en faible quantité,2.1 g,en faible quantité,0.01 g,en faible quantité,,+7%,+6%,+215%,+86%,+4%,-26%,-2%,-7%,-7%,-1,,A,,,,,,,,,,,,,,,,,,,,,,
860,"Ginger Chew Coconut, Renee Voltaire - 120g",7340130503273,,"['France', 'Suède']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 g,,,['Godis'],,,,,,,,,,
861,Miel de montagne de Savoie - Terre de l'Alpe - 500g,3760165986164,,['France'],[],[],?,?,,?,,?,,?,,,"[""Terre de l'Alpe""]",B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,500 g,,,,,,"['France', 'Savoie']",,,,,,,
862,"Café en grains ""Pike Place"" - Starbucks - 250g",0762111310675,,['France'],['STARBUCKS MEDIUM ROAST WHOLE BEAN 100% ARABICA COFFEE'],[],?,?,,?,,?,,?,,,['Starbucks'],E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",,,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,250g,,,,,,,,,,,,,
863,Harrys Bio 100% mie nature,3882257000920,['Bio'],['France'],[],[],?,256,1071 kj(256 kcal),"4,3","0,4","46,8",8,"7,1","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Connétable,3263670983487,"['Pêche durable', 'Pêche durable MSC']",['France'],[],[],?,?,,?,,?,,?,,,['Connétable'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Cuisse de dinde - 885g,2231096034572,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885 g,,,,,,,,,,,,,
866,Pain d épices,3760264070412,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,,,,,,,,,,,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,,
867,Collection cognac - 94g,3395250305812,,['France'],[],[],?,489,2046 kj(489 kcal),"38,8","22,3","38,7","31,5","7,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94 g,,,,,,,,,,,,,
868,8003030888985,8003030888985,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Cake boudin blanc oignon,3573400006912,,['France'],[],[],?,294,1230 kj(294 kcal),21,"6,4",17,"2,4","8,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.034.001 CE', 'Avelin (Nord, France)']",,,,,,,,,,,,
870,Soupe Potimarron,3760249310090,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,21,88 kj(21 kcal),"1,07","0,13","3,34","2,41","0,54","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,"Tomate, Aubergine et Olives",3760115647053,,['France'],[],[],?,86,360 kj(86 kcal),"7,01","0,97","4,7","3,19","1,04","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,menthe poivrée - la compagnie des sens - 10ml,3700998801135,['Bio'],['France'],"['menthol', 'mentholé 1,8-cinéole', 'isomenthone', 'acétate de mentholé', 'néomenthol']",[],?,?,,?,,?,,?,,,['la compagnie des sens'],,['Huiles essentielles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 ml,,,['Bouteille'],,,,,,,,,,
873,Bûche glacée framboise chocolat blanc,3563350002416,['Sans colorants'],['France'],[],[],?,175,732 kj(175 kcal),"7,1","4,8","26,4","24,4","1,4","0,042","0,017",,D,"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,7.1 g,en quantité modérée,4.8 g,en quantité modérée,24.4 g,en quantité élevée,0.042 g,en faible quantité,,-12%,-12%,-12%,-11%,-8%,-1%,-40%,-66%,-66%,11,-3%,D,-3%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,,,,,,,,,,
874,Croqu infusion,3700389711432,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons chaudes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,YOLO,7290014761070,,['France'],[],[],?,183,766 kj(183 kcal),"7,8","4,8","22,8","20,2","5,3","0,102","0,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Refrief bayo beans,80095538,,['France'],[],[],?,125,523 kj(125 kcal),"5,2",0,"15,1","1,5","4,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Fleur de sel de Camargue - Provence d'Antan - 125g,3554742060008,,['France'],['FLEUR DE SEL DE CAMARGUE 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"[""Provence d'Antan""]",B,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",2,,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,125g,,,,,,,,,,,,,
878,Cacao bio - Quai Sud,3662051008021,['Bio'],['France'],[],[],?,370,1548 kj(370 kcal),8,"4,5",67,44,10,"0,025","0,01",['Quai Sud'],E,"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",,8 g,en quantité modérée,4.5 g,en quantité modérée,44 g,en quantité élevée,0.025 g,en faible quantité,,+6%,+6%,-42%,-44%,+158%,+311%,-42%,-77%,-77%,17,+84%,D,+84%,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,,,,,,,,,,,,
879,Gaufres étoiles - 336g,3368951148378,,['France'],[],[],?,498,2084 kj(498 kcal),27,18,58,21,5,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336 g,,,,,,,,,,,,,
880,"COQUELET -  - 0,639kg",0215314027098,,['France'],[],[],?,?,,?,,?,,?,,,,,['Coquelets'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,639 kg",,,,,,,,,,,,,
881,Nougat tendre crème brûlée,3760133674901,,['France'],[],[],?,516,2159 kj(516 kcal),"31,1",4,"47,5","42,5","11,6","0,021","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Ravioles artisanales,3500390021120,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,315,1318 kj(315 kcal),"14,3","9,7","32,7","0,56","13,2","1,04","0,416",,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles']",,14.3 g,en quantité modérée,9.7 g,en quantité élevée,0.56 g,en faible quantité,1.04 g,en quantité modérée,,+24%,+23%,+42%,+60%,+13%,-66%,+20%,-21%,-21%,16,+28%,D,+28%,,,,,,,,,,,,,,,,,,,,,
883,La tradition - Larnaudie - 280g,3113010142442,,['France'],"['Foie gras de canard', 'sel ', '1,3%', 'poivre ', '0,2%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,575,2406 kj(575 kcal),"60,1","25,1","2,1",2,"6,3","1,08","0,432",['Larnaudie'],B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers', 'Foies gras mi-cuits']",3,60.1 g,en quantité élevée,25.1 g,en quantité élevée,2 g,en faible quantité,1.08 g,en quantité modérée,,+10%,+10%,+11%,+8%,-10%,+26%,-9%,-7%,-7%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,280 g,,,,,,,,,,,,,
884,4008355000733,4008355000733,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,FILETS DE SAUMON ATLANTIQUE,2869653086001,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,,
886,huile végétale biologique Amande douce - De Saint Hilaire - 50ml,3760098406296,"['Bio', 'Ecocert']",['France'],"[""Huile de 'Prunus Amygdalus Dulcis' - huile vierge première pression à froid"", ""\r100% des ingrédients sont issus de l'agriculture biologique Cosmétique Écologique et Biologique tertifié par Ecocert Greenlife selon e référentiel Ecocert disponible http::cosmetiques"", 'ecocert', 'com 02/2020 C13C074 N° de lot: * *******4sc L s C']",[],?,?,,?,,?,,?,,,['De Saint Hilaire'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', ""Huiles d'amande""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50ml,,,['flacon en verre'],,,['Non renseigné'],['Espagne France'],,,,http://www.de-sainthilaire.com,,
887,10 minis chaussons aux pommes - Casino,3222471160916,,['France'],[],[],?,?,,?,,?,,?,,,['Casino'],B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,,,,,,,,,,,,,,,,,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,['Casino'],,,,,,,,,,,
888,Foie gras de canard entier -,3067163638737,,['France'],"['Foie gras de canard du Sud-Ouest*', 'sel', 'Porto', 'poivre', 'sucre', 'conservateur: nitrite de sodium', ' Bouillon de cuisson: eau', 'bouillon de volaille ', 'sel', 'viande et graisse de poulet', 'extrait de plante aromatique', 'saccharose', 'épice et plante aromatique', 'sel', ' *Origine du foie gras de canard: France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,550,2301 kj(550 kcal),57,25,"2,7","1,5","7,1","0,93","0,372",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",3,57 g,en quantité élevée,25 g,en quantité élevée,1.5 g,en faible quantité,0.93 g,en quantité modérée,,+4%,+4%,+5%,+8%,+13%,+14%,-6%,-22%,-22%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
889,Saucisson 100% boeuf Angus - 100g,3770011170036,,['France'],[],[],?,419,1753 kj(419 kcal),"33,1","11,6","0,1","0,1","30,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,,
890,Truffes fantaisies caramel,3520000000000,,['France'],[],[],?,603,2523 kj(603 kcal),"46,5",34,37,"35,1","5,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Carb9ne Vegetalr,8056364775179,"['en:gluten-free', 'Sans lactose']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
