,name,bar_code,eco_score,generic_name,brand,categories,labels,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,palm_ingredients,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,manufacturing,ingredients_origins,brand_owner,link
834,Potato Crisps - Mackies,5012262010425,,,['Mackies'],"['Snacks', 'Snacks salés']","['Végétarien', 'Végétalien']",,,,,"['France', 'Allemagne']","['potatoes', 'high oleic sunflower oil', 'crispy bacon seasoning ', 'rice flour', 'yeast extract powder', 'sugar', 'salt', 'natural flavouring', 'spice ', 'black pepper', 'clove', 'white pepper', 'red chilli pepper', 'colour: paprika extract', ' allergen information: may also contain wheat barley', 'oats', 'gluten', 'milk & mustard', ' * suitable for vegetarians & vegans']","['Végétalien', 'Végétarien']",2046,+4%,495,+7%,26,+7%,57,+19%,"6,8",-20%,,,,,,,,4,,,2046 kj(495 kcal),"2,2","0,5","0,67","0,268",['mixed plastic film-packet'],26 g,en quantité élevée,2.2 g,en quantité modérée,0.5 g,en faible quantité,0.67 g,en quantité modérée,+6%,-48%,-85%,-56%,-56%,2,-84%,B,-84%,,,,,,
835,noix de Saint Jacques - Marès - 250g,3760282770004,,Noix St Jacques,['Marès'],"['Produits de la mer', 'Surgelés', 'Mollusques', 'Noix de Saint-Jacques', 'Entrées et snacks surgelés', 'Coquilles Saint-Jacques surgelées']",,,,,,['France'],"['Noix de Saint-Jacques surgelées', ' Espèce : Zygochlamys patagonica', "" Pêchées dans l'Atlantique Sud-Ouest"", 'en Argentine', ' Chaluts']","['Non végétalien', 'Non végétarien']",362,,86,-23%,"1,4",-77%,"0,2",-96%,18,+99%,,,,,,,,,,['Mollusques'],362 kj(86 kcal),"0,4","0,2","0,79","0,316",['Surgelés'],1.4 g,en faible quantité,0.4 g,en faible quantité,0.2 g,en faible quantité,0.79 g,en quantité modérée,-26%,-90%,-84%,+10%,+10%,-1,-130%,A,-130%,250 g,,,['Argentine'],,https://mares.global/produits/noix-de-saint-jacques/
836,Isla délice poulet doré au four,2512696446805,,,['Isla Délice'],,"['Halal', 'Association Rituelle de la Grande Mosquée de Lyon']",,,,,['France'],[],[],?,,82,,3,,4,,16,,,,,,,,,,,,343 kj(82 kcal),1,3,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,
837,La fragua,8436006910586,,,['La Fragua'],,,,,,,['France'],[],[],?,,99,,5,,"11,6",,"2,1",,,,,,,,,,,,414 kj(99 kcal),"0,9","3,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,
838,Silhouet' Chardonnay 0% effervescent,3663852003239,,,,,,,,,,['France'],[],[],?,,1,,0,,"0,3",,0,,,,,,,,,,,,4 kj(1 kcal),0,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,
839,6 croissants et 6 p.chocolat,0203108019350,,,,,,,,,,['France'],[],[],?,,462,,24,,50,,10,,,,,,,,,,,,1933 kj(462 kcal),16,11,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,
840,Sirop de coco -,4260096393141,,,,,"['Végétarien', 'Végétalien']",,,,,"['France', 'Allemagne']",['Kokosblütensirup'],"['Végétalien', 'Végétarien']",?,,308,,"0,5",,75,,"0,9",,,,,,,,,,,,1289 kj(308 kcal),"0,1",71,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
841,Roggenmehl Vollkorn - Deenree - 1kg,4021851526514,A,,['Deenree'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de seigle']",,,,,,"['France', 'Allemagne']",[],[],?,,326,-1%,"1,7",+15%,61,-4%,"9,5",+6%,61.8%,2.4%,14.7%,15.3%,5.9%,0.0%,95,,,,1364 kj(326 kcal),,1,,,['Papier'],1.7 g,en faible quantité,,,1 g,en faible quantité,,,-1%,,-51%,,,,,,,1kg,,,,,
842,Pane carasau spicchio guttiau,8011676100248,,,,,['Fabriqué en Italie'],,,,,['France'],[],[],?,,410,,"12,35",,"72,4",,"12,36",,,,,,,,,,,,1715 kj(410 kcal),"12,14","1,78","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,
843,Farine,3522080000529,,,,,['Bio'],,,,,['France'],[],[],?,,347,,"1,9",,72,,"9,9",,,,,,,,,,,,1452 kj(347 kcal),0,"2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,
844,"Noix de Saint Jacques, piquillos aux lardons, sauté de haricots coco & chou-fleur - 270g",3700569001834,,,,,,,,,,['France'],"['Chou-fleur 32%', 'haricot coco cuit 25% ', 'eau', 'haricot coco 10%', 'noix de SAINT-JACQUES ', 'MOLLUSQUES', ' 18%', 'lardon cuit fumé 9,6% [poitrine de porc 8,0% ', 'origine : France', 'eau', 'sel', 'sirop de glucose', 'arômes naturels', ""extrait d'épices"", 'extrait de romarin', 'ferments]', 'poivron piquillo 7,8% ', 'sel', 'acidifiant : acide citrique', 'oignon 5,1%', 'huile de colza 2,5%', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",570,,136,,"7,3",,"6,6",,"9,7",,,,,,,,,4,,['Mollusques'],570 kj(136 kcal),"1,9",2,"0,7","0,28",,,,,,,,,,,,,,,,,,,270 g,"['E392 - Extrait de romarin', 'E330 - Acide citrique']",,,,
845,Madeleine Pépites Chocolat - St Michel - 25g,3178530417432,B,,['St Michel'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']","['Bio', 'Bio européen', 'Plein air', 'Œufs de poules élevées en plein air', 'Oeufs de France', 'Sans huile de palme', 'AB Agriculture Biologique', 'Farine de blé français']",,,,,['France'],"['Farine de blé 25%', 'sucre de canne', 'oeufs 16%', 'huile de colza', 'pépites de chocolat 12% ', 'sucre de canne', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de tournesol', 'sirop de riz', 'beurre', 'arômes naturels ', 'contient alcool', ""poudre à lever : carbonates d'ammonium"", 'sel', 'épaississant : gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,447,+0%,24,+2%,51,-2%,"5,8",+2%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,4,,"['Œufs', 'Gluten', 'Lait']",1870 kj(447 kcal),7,32,"0,7","0,28","['Plastic', 'Film en plastique']",24 g,en quantité élevée,7 g,en quantité élevée,32 g,en quantité élevée,0.7 g,en quantité modérée,0%,+5%,+13%,-8%,-8%,20,+9%,E,+9%,25 g,"['E322i - Lécithine', ""E503 - Carbonates d'ammonium"", 'E415 - Gomme xanthane']",,['France'],,
846,Pancakes - Betty Bossi,7613413548644,,,['Betty Bossi'],"['Aides culinaires', 'Aides à la pâtisserie']","['en:gluten-free', 'Sans sucre ajouté', 'Sans lactose']",,,,,"['France', 'Suisse']","[""farine d'avoine sans gluten 67%"", 'fécule de pomme de terre', 'flocons de bananes 9 % ', 'bananes', 'amidon de maïs', 'acidifiant ', 'E 450', 'poudre à lever ', 'E 500', 'sel de cuisine', 'arôme naturel de vanille']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,358,-8%,"4,8",-52%,66,+3%,"9,9",+107%,,,,,,,,4,,,1498 kj(358 kcal),1,"6,6","0,63","0,252",,4.8 g,en quantité modérée,1 g,en faible quantité,6.6 g,en quantité modérée,0.63 g,en quantité modérée,-8%,-75%,-85%,+68%,+68%,2,-87%,B,-87%,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,,,
847,Pomme de terres,3333340007208,,,,,,,,,,['France'],[],[],?,,336,,"0,34",,"16,4",,"1,8",,,,,,,,,,,,1406 kj(336 kcal),"0,09","0,59","0,098","0,039",,,,,,,,,,,,,,,,,,,,,,,,
848,Mini gratin de pomme de terre façon salardaise - 400g,3492500060511,,,,,,,,,,['France'],[],[],?,,152,,"9,9",,"12,95",,"1,85",,,,,,,,,,,,636 kj(152 kcal),"3,95","3,02","0,61","0,244",,,,,,,,,,,,,,,,,,,400 g,,,,,
849,Mousseline de carottes a la creme fraiche,3700428484228,,,,,,,,,,['France'],[],[],?,,85,,7,,"2,9",,1,,,,,,,,,,,,356 kj(85 kcal),4,"2,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
850,Terrine de porc aux noisettes grillées - Charles Antona - 135g,3425475103037,,,['Charles Antona'],"['Produits à la viande', 'Terrines', 'Terrines de porc']",,,,,,['France'],[],[],?,,376,+23%,35,+32%,"2,7",+35%,13,-10%,,,,,,,,,,,1573 kj(376 kcal),11,"1,4","1,7","0,68",,35 g,en quantité élevée,11 g,en quantité élevée,1.4 g,en faible quantité,1.7 g,en quantité élevée,+24%,+12%,+122%,+10%,+10%,21,+13%,E,+13%,135 g,,,,,
851,Poivrons piquillos au cabillaud,0370568087899,,,,,,,,,,['France'],[],[],?,,109,,"4,9",,"8,2",,"7,8",,,,,,,,,,,,456 kj(109 kcal),"0,9",4,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,
852,Pan Grattato,8014006000560,,,,,,,,,,['France'],[],[],?,,357,,"1,6",,70,,13,,,,,,,,,,,,1494 kj(357 kcal),"0,4","4,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,
