,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
32,Farine fermentante - Carrefour - 1kg,5400101008571,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines fermentante']",['France'],"['Farine de blé', 'poudres à lever 2% : diphosphates - carbonates de sodium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1446,-1%,341,-1%,1446 kj(341 kcal),+0%,1,-25%,"0,2",-15%,70,+1%,2,+31%,11,+1%,"1,3",+5339%,"0,52",+5339%,0,,B,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,1 kg,,,1 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,1.3 g,en quantité modérée,['Carrefour'],['Carrefour'],Farine de blé fermentante,Fabriqué en Allemagne pour NOUVELLE ELCA SAS 264 Rue Emile Friant 57260 DIEUZE pour Interdis.,,,['Gluten'],4,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,,,,
33,Poires Williams - Carrefour - 412g,5400101169104,,,['France'],"['Poires Williams demi-fruits', 'jus de raisin à base de concentré', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",228,,54,,228 kj(54 kcal),,?,,,,13,,11,,?,,,,,,,,,,,,,,,,,412 g,,,,,,,,,,,['Carrefour'],['Carrefour'],Poires Williams demi-fruits au jus de raisin à base de concentré,Fabriqué en France par EMB 30341 D pour Interdis,"['EMB 30341D', 'Vauvert (Gard, France)']","Ce produit est fabriqué en France à partir de poires cultivées en France, Espagne ou Italie.",,,['E330 - Acide citrique'],,,,,
34,Chocolat au Lait & Noisettes Melk Chocolade & hazelnoten - Carrefour - 400g (2x 200g),5400101173118,,,['France'],"['Sucre', 'poudre de lait', 'beurre de cacao', 'noisettes brisées 12%', 'pâte de cacao', 'lactose', 'émulsifiant : lécithines ', 'soja', 'arôme', 'cacao : 30% minimum dans le chocolat au lait', ""Peut contenir des traces d'autres fruits à coque"", ""de céréales contenant du gluten et d'œufs""]",['Non végétalien'],2354,,565,,2354 kj(565 kcal),,36,,19,,49,,47,,"8,8",,"0,15",,"0,06",,,,,,,,,,,,,400 g (2 x 200 g),,,,,,,,,,,['Carrefour'],['Carrefour'],Chocolat au lait aux noisettes brisées,Fabriqué en Belgique par Baronie Belgium NV pour Interdis - TSA 91431 - 91343 Massy Cedex - France,,Ce chocolat a été fabriqué en Belgique à partir de noisettes de Turquie et de cacao non UE.,"['Lait', 'Fruits à coque', 'Soja']",4,['E322 - Lécithines'],,,,,
35,Petits pois et jeunes carottes à l'étuvée - Carrefour - 330g,5400101173514,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",['France'],"['Légumes ', 'carottes 32%', 'petits pois 30%', 'eau', 'sucre', 'sel', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",263,+11%,63,+9%,263 kj(63 kcal),+9%,"0,6",+21%,"0,2",+59%,"8,8",+8%,"3,7",+9%,"3,4",+10%,"0,57",-3%,"0,228",-3%,-9,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,330 g,,['Cultivé en France'],0.6 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.57 g,en quantité modérée,['Carrefour'],['Carrefour'],Petits pois et jeunes carottes à l'étuvée,Fabriqué en France par EMB 56 251 E pour Interdis,,Ces petits pois et ces carottes sont cultivés et fabriqués en France.,,4,,,,,,
36,Moutarde de Dijon - Carrefour - 265g,5400101259102,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'antioxydant : di_sulfite_ de potassium', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",619,-4%,149,-6%,619 kj(149 kcal),-7%,12,+4%,"0,8",+5%,"3,2",-12%,"2,7",+20%,"7,2",+0%,"6,5",+10%,"2,6",+10%,9,-17%,C,-17%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,265 g,,,12 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,6.5 g,en quantité élevée,['Carrefour'],['Carrefour'],Moutarde de Dijon.,Fabriqué en France par EMB 21200 pour Interdis.,"['EMB 21200', ""Couchey (Côte-d'Or, France)"", 'EMB 21200B', ""Couchey (Côte-d'Or, France)""]",,"['Moutarde', 'Anhydride sulfureux et sulfites']",3,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,
37,Paris brest,3021990099444,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,,,,,,,,,,,,,,,,,,,,,,,,,
38,Poppits Nature 100 GR - Zweifel,7610095131003,,,['France'],[],"['Végétalien', 'Végétarien']",?,,535,,2238 kj(535 kcal),,32,,"3,4",,57,,1,,"3,4",,"1,3",,"0,52",,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,['Zweifel'],,,,,,,,,,,,,
39,Vitamine C - Solaray - 100comprimés,0076280118780,,['Compléments alimentaires'],['France'],"['Vitamine C ', 'Acide ascorbique naturel', ""Cynorrhodon et cerise d'acérola"", 'cellulose', 'stéarate de magnésium', 'et acide stéarique']",['Végétarien'],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 comprimés,['comprimés'],"['Végétarien', 'Sans conservateur artificiel', 'Sans colorants']",,,,,,,,,['Solaray'],,,,,,,4,"['E460 - Cellulose', 'E572 - Stéarate de magnésium']",,['USA'],https://www.noria-distribution.com/produit/vitamine-c-1000-mg-100-comprimes/,,
40,Ramayana - Les Jardins de Gaïa,3582810470824,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,['Les Jardins de Gaïa'],,,,,,,,,,,,,
41,Nectar mangue-passion,3307930001884,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Arôme citron - La pateliere,3278584146033,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La pateliere'],,,,,,,,,,,,,
43,Confiture abricot - Valade - 720g,3174061050315,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],"['Abricots* 55%', 'sucre de canne', 'jus de citron concentré', 'gélifiant: pectine de fruits', ""correcteur d'acidité : citrate de calcium"", "" Ingrédients issus de l'agriculture biologique"", ' Préparée avec 55g de fruit 100g de produit fini', ' Teneur totale en sucres : 48g pour 100g']",[],?,,197,-10%,824 kj(197 kcal),-10%,"0,5",+121%,"0,1",+134%,48,-10%,"45,4",-10%,0,-100%,"0,1",+355%,"0,04",+355%,11,+22%,D,+22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,720 g,"['bocal verre', 'capsule métal', 'à recycler']",['Bio'],0.5 g,en faible quantité,0.1 g,en faible quantité,45.4 g,en quantité élevée,0.1 g,en faible quantité,['Valade'],,,,,,,4,"['E440 - Pectines', 'E333 - Citrates de calcium']",,,,,
44,Pain nordique aux graines,3591270015872,,,['France'],[],[],?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pause Fruitée Pomme - Banane - Andros,3608580882381,,,['France'],[],[],?,,59,,247 kj(59 kcal),,"0,3",,0,,13,,13,,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,['Andros'],,,,,,,,,,,,,
46,Delhaize,5400112253205,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],['Delhaize'],,,,,,,,,,,,
47,Mini-muffins aux chips de chocolat,8410391330129,,,['France'],[],[],?,,427,,1787 kj(427 kcal),,19,,"4,2",,"58,1",,"33,9",,5,,"0,73",,"0,292",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
48,Mini rochers à la noix de coco - Auchan - 220g,3596710463183,,,['France'],"['Noix de coco 31%', 'sucre', 'sirop de glucose', ""blnac d'oeuf"", 'dextrose', 'farine de riz']",[],?,,454,,1900 kj(454 kcal),,23,,21,,56,,51,,"3,7",,"0,07",,"0,028",,,,,,,,,,,,,220g,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,['Auchan'],['Auchan'],,,,,,4,,,,,,
49,Burgers witg mushroom sauce,5407003033458,,,['France'],[],[],?,,101,,423 kj(101 kcal),,"4,8",,"2,1",,"8,9",,"2,4",,"4,7",,"1,05",,"0,42",,,,,,,,,,,,,,,['Sans arômes ajoutés'],,,,,,,,,,,,,,,,,,,,,,
50,BIO coupelle d'ananas - Auchan,3596710463190,,,['France'],[],[],?,,67,,280 kj(67 kcal),,"0,5",,"0,1",,16,,14,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,['Bio'],,,,,,,,,['Auchan'],['Auchan'],,,,,,,,,,,,
51,Cornichons malossol - Franprix,3263851860019,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons malossol']",['France'],"[""cornichons - eau - vinaigre d'alcool - sel - SUCre - graines de moutarde - aromates "", 'ail - laurier', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,20,-26%,84 kj(20 kcal),-21%,0,-100%,0,-100%,3,-13%,"2,5",-4%,"0,9",-11%,"1,775",+3%,"0,71",+3%,2,-8%,B,-8%,,,,,,,,,"['Bocal en verre', 'Capsule en métal']",,0 g,en faible quantité,0 g,en faible quantité,2.5 g,en faible quantité,1.77 g,en quantité élevée,['Franprix'],['Franprix'],,,"['EMB 72090D', 'Connerré (Sarthe, France)']",,['Moutarde'],3,,,,,,
52,Assortiment de 28 mignardises - Monoprix - 280g,3350033580923,,"['Biscuits et gâteaux', 'Gâteaux']",['France'],"[""7 petits gâteaux au chocolat avec inclusions de pépites de chocolat et éclats de fèves de cacao torréfiées : sucre roux de canne-blanc d'oeufs-beurre 16% - chocolat de couverture 12% "", 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant: lécithines de soja', ' - farine de blé 12% - pépites de chocolat 9,9% ', 'pâte de cacao', 'sucre', 'beurre de cacao', '- humectant: glycérol - cacao en poudre - éclats de fèves de cacao décortiquées et torréfiées 1,6% - poudres à lever: diphosphates et carbonates de sodium - oeufs - amidon de blé - arôme ', 'contient alcool', ' Traces de fruits à coque et graines de sésame', "" \r7 petits gâteaux aux agrumes : blancs d'œufs - sucre roux de canne - beurre 19% - poudre d'amandes - farine de blé 11% - clémentine 6% - sirop de glucose - fructose-humectant: glycérol - jus de citron concentré 0,6% - extrait de mandarine 0,4% - poudres à lever: diphosphates et carbonates de sodium - oeufs - sel - amidon de blé - correcteur d'acidité : acide citrique - conservateur: anhydride sulfureux-arôme "", 'contient alcool', "" Traces d'autres fruits à coque"", 'soja et graines de sésame', "" \r7 petits financiers saveur framboise : sucre roux de canne - blancs d'oeufs - beurre 19% - farine de blé 13% - poudre d'amandes 13% - humectant : glycérol - framboises 3,7% - sucre-arôme naturel de framboise 0,9% - jus de citron concentré - poudres à lever: diphosphates et carbonates de sodium - oeufs-sel - amidon de blé - arôme "", 'contient alcool', "" Traces d'autres fruits à coque"", 'soja et graines de sésame', "" \r7 petits financiers aux amandes: sucre roux de canne - blancs d'oeufs - beurre 21% - poudre d'amandes 16% - farine de blé 12% - stabilisant: sorbitols - oeufs - sel - poudres à lever: diphosphates et carbonates de sodium - arôme naturel d'amande amère - amidon de blé - arôme "", 'contient alcool', "" Traces d'autres fruits à coque"", 'soja et graines de sésame']",['Non végétalien'],?,,443,+10%,1854 kj(443 kcal),+10%,25,+28%,13,+70%,47,-5%,33,+18%,"7,6",+40%,"0,43",-29%,"0,172",-29%,23,+28%,E,+28%,,,,,,,,280 g,,,25 g,en quantité élevée,13 g,en quantité élevée,33 g,en quantité élevée,0.43 g,en quantité modérée,['Monoprix'],['Monoprix'],,,"['EMB 23040', 'Celle-sous-Gouzon (Creuse, France)']",,"['Œufs', 'Gluten']",4,"['E322i - Lécithine', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol']",,,,,
53,Croissant beurre,2030505413768,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,,,,,,,,,,,,,,,,,,,
54,Crottin de chèvee,3589110392146,,,['France'],[],[],?,,307,,1284 kj(307 kcal),,25,,18,,"2,5",,1,,18,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Madeleine pepites de chocolat,3255290253651,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",['France'],[],[],?,,463,+4%,1937 kj(463 kcal),+4%,25,+6%,"4,7",-30%,52,-0%,32,+13%,"6,7",+18%,"0,95",+25%,"0,38",+25%,20,+9%,E,+9%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans colorants']",25 g,en quantité élevée,4.7 g,en quantité modérée,32 g,en quantité élevée,0.95 g,en quantité modérée,,,,,,,,,,,,,,
56,Coupe du tsar de saumon fumé tradition,3019897178294,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],?,,187,+1%,782 kj(187 kcal),+1%,11,+5%,"1,8",-13%,"0,5",+1%,"0,5",+50%,22,-0%,"2,4",-15%,"0,96",-15%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,11 g,en quantité modérée,1.8 g,en quantité modérée,0.5 g,en faible quantité,2.4 g,en quantité élevée,,,,,,,,,,,,,,
57,Miel,3491560134101,,,['France'],[],[],?,,301,,1259 kj(301 kcal),,"0,2",,0,,82,,82,,"0,3",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Foie Gras de Canard Entier du Sud-Ouest,3067162164190,,,['France'],[],[],?,,544,,2276 kj(544 kcal),,56,,24,,"2,2",,"0,9",,"7,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Spaguetti,5201020911061,,,['France'],[],[],?,,358,,1498 kj(358 kcal),,"1,5",,"0,2",,75,,"1,8",,11,,0,,0,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
60,Ptit Basque,0299685061660,,,['France'],[],[],?,,413,,1728 kj(413 kcal),,"35,9",,"25,5",,"0,2",,"0,2",,"22,3",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Rosé,3262850042334,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Ile flottante coco choco,3023290030165,,,['France'],[],[],?,,124,,519 kj(124 kcal),,"2,8",,"1,7",,19,,17,,"5,4",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chou Carotte,3399130020512,,,['France'],[],[],?,,77,,322 kj(77 kcal),,"5,7",,"0,7",,"5,5",,"4,1",,"0,5",,"0,4",,"0,16",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
64,Kivu - Colruyt,5400141130546,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colruyt'],['Colruyt'],,,,,,,,,,,,
65,2 minutes noodles - Maggi,8901058851335,,"[""en:Aliments d'origine végétale"", 'en:Aliments et boissons à base de végétaux', 'en:Céréales et dérivés', 'en:Céréales et pommes de terre', 'en:Nouilles']",['France'],[],[],?,,427,+13%,1787 kj(427 kcal),+12%,"15,7",+135%,"6,8",+185%,"63,5",+1%,"2,2",-74%,8,-11%,"1,232",+133%,"0,493",+133%,16,+209%,D,+209%,,,,,,,,,,,15.7 g,en quantité modérée,6.8 g,en quantité élevée,2.2 g,en faible quantité,1.23 g,en quantité modérée,['Maggi'],,,,,,,,,,,,,
66,Miel D'acacia Liquide,3088540506012,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,
67,Groseille gelée extra - Saveurs Attitudes,3299430030726,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de groseilles']",['France'],[],[],?,,258,+5%,1079 kj(258 kcal),+5%,"0,3",+19%,"0,1",+48%,"60,4",-0%,"59,5",+4%,"0,6",+41%,"0,004",-65%,"0,002",-65%,12,+2%,D,+2%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['Bio'],0.3 g,en faible quantité,0.1 g,en faible quantité,59.5 g,en quantité élevée,0.0041 g,en faible quantité,['Saveurs Attitudes'],,,,,,,,,,,,,
68,Knorr- Minestrone (500 GR),8001080002146,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Pastilles miel eucalyptus,3760204930189,,,['France'],[],[],?,,376,,1573 kj(376 kcal),,0,,0,,94,,66,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Confiture fraise mangue - Tamara,2009010003054,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cerises', 'Confitures de fraises']","['France', 'Espagne']",[],[],?,,249,+12%,1042 kj(249 kcal),+12%,"0,5",+105%,"0,1",+122%,60,+11%,60,+16%,"0,5",-22%,"0,01",-62%,"0,004",-62%,8,-19%,C,-19%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['Bio'],0.5 g,en faible quantité,0.1 g,en faible quantité,60 g,en quantité élevée,0.01 g,en faible quantité,['Tamara'],,,,,,,,,,,,,
71,Détox sud africaine - Palais des Thés,3700256725982,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,,
72,biscuit coco - Gerblé,20673468,,,['France'],[],[],?,,427,,1787 kj(427 kcal),,15,,"1,5",,72,,"0,5",,"6,2",,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,['Gerblé'],,,,,,,,,,,,,
73,Cotes de provence,3399890000137,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,['France'],
74,Club JAMBON DE PARIS EMMENTAL - Entracte,3283040869340,,,['France'],[],[],?,,253,,1059 kj(253 kcal),,10,,"3,4",,23,,"3,8",,12,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,['Entracte'],,,,,,,,,,,,,
75,Choucroute -,3760038210051,B,"['Plats préparés', 'Choucroutes']",['France'],"['choux*', 'sel marin', "" *Produit issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,3,,,,,,
76,Proteica ver - Nutrisport,8424644421755,,['Compléments alimentaires'],"['France', 'Espagne']",[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nutrisport'],,,,,,,,,,,,,
77,Pacita,3254381058519,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Anti oxydant,3770009487092,,,['France'],[],[],?,,38,,159 kj(38 kcal),,"0,5",,"0,1",,"7,4",,"6,1",,"0,2",,0,,0,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,
79,"Baguette Brie ""Petit Prix"" - Crous Languedoc Roussillon - 210g",00015721,C,"['Sandwichs', 'Sandwichs au fromage', 'Sandwichs au brie']",['France'],"['PAIN BAGUETTE 57,1% : Farine de FROMENT', 'eau', 'levure', 'sel', ' Garniture 42,9% : BRIE pasteurisé 88,9%', 'BEURRE léger 11,1% ', 'eau', 'BEURRE', 'amidon modifié E1422', 'amidon de pomme de terre', 'acidifiant: acide lactique', 'sel 0,4%', 'émulsifiant: E471', 'épaississant E 466', 'conservateur : sorbate de potassium', 'colorant: béta-carotène', 'arôme naturel', ' ', '% exprimés sur le garniture']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,278,+10%,1163 kj(278 kcal),+11%,"11,4",+4%,8,+95%,"33,1",+29%,"1,6",-51%,"12,9",+16%,"1,5",+4%,"0,6",+4%,16,+57%,D,+57%,72.9%,13.3%,5.8%,4.9%,2.5%,0.7%,68,210 g,['Barquette plastique'],,11.4 g,en quantité modérée,8 g,en quantité élevée,1.6 g,en faible quantité,1.5 g,en quantité modérée,"['Crous Languedoc Roussillon', ""Crous Resto'""]",['Crous Languedoc Roussillon'],,,,,"['Gluten', 'Lait']",4,"['E1422 - Adipate de diamidon acétylé', 'E270 - Acide lactique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E466 - Carboxyméthylcellulose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",,,,,
80,Lait écrémé UHT 0.1% de matière grasse - Milbona - 1000ml,20244538,B,"['Produits laitiers', 'Laits', 'Laits écrémés']","['France', 'Espagne', 'Suisse']","['Lait écrémé', '0,1% de matière grasse UHT homogénéisé']",['Non végétalien'],145,-67%,?,,145 kj(35 kcal),-53%,"0,1",-75%,,,5,-50%,,,"3,3",-47%,,,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,1000 ml,,"['en:FSC', 'Fabriqué en Suisse']",0.1 g,en faible quantité,,,,,,,['Milbona'],['Lidl'],,,['FSC-C014047'],,['Lait'],1,,,,,['Suisse'],
