,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
704,Chicken cooked,8008110010157,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,206,,862 kj(206 kcal),,17,,"4,7",,"2,3",,0,,11,,"2,4",,"0,96",,,,,,,,,,,,,"['en:gluten-free', 'Halal']",,,,,,,
705,Pollen ciste,3760023951105,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,6,,1,,61,,32,,14,,0,,0,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,
706,Tarte au fromages de chimay,3770001225135,,,,,,,,,"['FR 59.502.030 CE', 'Rieux-en-Cambrésis (Nord, France)']",,['France'],[],[],,,,,,,,,,?,,253,,1059 kj(253 kcal),,"10,4",,"6,51",,"21,2",,3,,"12,1",,"1,03",,"0,412",,,,,,,,,,,,,['Point Vert'],,,,,,,
707,Sweet potato chips,8718754502719,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,535,,2238 kj(535 kcal),,38,,"33,5",,57,,"10,7",,"3,5",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,
708,Jambon  de mont-joly,0068553030134,,,,,,,,,,,"['Canada', 'France']",[],[],,,,,,,,,,?,,88.8889,,372 kj(88 kcal),,"2,222",,"1,111",,0,,0,,"17,778",,"2,722",,"1,089",,,,,,,,,,,,,,,,,,,,
709,lait noisettes brisées,3173283038347,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,543,,2272 kj(543 kcal),,33,,16,,52,,51,,"8,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,
710,Cranberries séchées en moitié,2600298016271,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",,,,,['France'],[],[],,0.5 g,en faible quantité,0.5 g,en faible quantité,65 g,en quantité élevée,0 g,en faible quantité,?,,355,+5%,1485 kj(355 kcal),+5%,"0,5",-29%,"0,5",+102%,"83,2",+5%,65,-2%,"0,1",-64%,0,-100%,0,-100%,9,+25%,C,+25%,,,,,,,,,,,,,,,
711,Cerneaux de noix du Dauphiné,3335103829010,D,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,"['EMB 26347', ""Tain-l'Hermitage (Drôme, France)""]",,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,?,,709,+3%,2966 kj(709 kcal),+3%,0,-100%,0,-100%,45,+361%,3,-6%,3,-80%,0,-100%,0,-100%,2,-22%,B,-22%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,
712,Pastasaus - Carrefour,5400101009455,,,,,['Carrefour'],,,,,['Carrefour'],['France'],[],[],,,,,,,,,,?,,39,,163 kj(39 kcal),,"0,5",,"0,1",,"8,5",,"4,9",,1,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,
713,Mogettes cuisinées - Parole Gourmande,3574314021183,,,,,['Parole Gourmande'],,,,,,['France'],[],[],,,,,,,,,,?,,89,,372 kj(89 kcal),,"0,1",,"0,1",,12,,"1,4",,"6,4",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,
714,Houmous oriental,3412940900147,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,,['France'],[],[],,12.2 g,en quantité modérée,1.7 g,en quantité modérée,2.5 g,en faible quantité,1 g,en quantité modérée,?,,190,-28%,795 kj(190 kcal),-28%,"12,2",-40%,"1,7",-31%,14,+32%,"2,5",+87%,"4,6",-29%,1,-4%,"0,4",-4%,5,+0%,C,+0%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,
715,Tahini (Sesame Tahini),0814968020020,D,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']",,,,,['France'],[],[],,17 g,en quantité modérée,2.5 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,?,,190,-70%,795 kj(190 kcal),-70%,17,-70%,"2,5",-70%,4,-37%,0,-100%,7,-69%,0,-100%,0,-100%,0,-100%,B,-100%,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,['Sans conservateurs'],,,,,,,
716,Mais grillé,6111242042728,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,509,,2130 kj(509 kcal),,"23,9",,"10,3",,"66,6",,"0,9",,"6,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,
717,Leinsaat gold - Bauck Hof,4015637823522,,,,['Karton'],['Bauck Hof'],,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,494,,2067 kj(494 kcal),,37,,"3,6",,"7,7",,"1,2",,22,,"0,1",,"0,04",,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,
718,Havre dryck - Oatly - 1l,7394376615733,B,,1 l,['Paper'],['Oatly'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]",,,,,"['France', 'Suède', 'Royaume-Uni']","['Havrebas ', 'vatten', 'havre 10%', 'rapsolja', 'kalciumkarbonat', 'kalciumfosfater', 'salt', 'vitaminer ', 'D2', 'riboflavin', 'B12', 'kaliumjodid']",['Sans huile de palme'],3,1.5 g,en quantité modérée,0.2 g,en faible quantité,4.1 g,en quantité modérée,0.1 g,en faible quantité,?,,50,+4%,209 kj(50 kcal),+4%,"1,5",+16%,"0,2",-3%,"6,7",-15%,"4,1",-20%,1,+30%,"0,1",+6%,"0,04",+6%,0,-100%,B,-100%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,,,,,['Gluten'],,,
719,Raclette savoie - Lait plaisirs - 300g,3760099538798,C,,300 g,,['Lait plaisirs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages en tranches']",,,,,['France'],[],[],,29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,364,+7%,1523 kj(364 kcal),+7%,29,+8%,20,+10%,"0,5",-51%,"0,5",-27%,27,+17%,"1,6",-6%,"0,64",-6%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Bio', 'Bio européen', 'IGP', 'FR-BIO-09', 'AB Agriculture Biologique']",,,,,,,
720,Plateau raclette - Maison Milhau,3289012419261,,,,,['Maison Milhau'],,,,,,['France'],[],[],,,,,,,,,,?,,321,,1343 kj(321 kcal),,"17,3",,"6,7",,"1,2",,"1,2",,"27,8",,"5,4",,"2,16",,,,,,,,,,,,,,,,,,,,
721,Instant oats dino eggs oatmeal,0055577103661,,,,,,,,,,,['France'],"['whole grain rolled oats', 'sugar', 'dinosaur egg shaped pieces ', 'sugar', 'dextrose', 'hydrogenated palm oil', 'vegetable oil [palm kernel oil', 'palm oil]', 'magnesium stearate', 'modified corn starch', 'sunflower lecithin', ""confectioner's glaze"", 'carnauba wax', 'colour', 'spirulina extract', 'natural flavour', 'salt', 'natural flavours', ' contains oat ingredients', ' may contain wheat', ' consumer relations']",['Huile de palme'],4,,,,,,,,,?,,395,,1653 kj(395 kcal),,"7,9",,"3,9",,"73,7",,29,,"7,9",,0,,0,,,,,,,,,,,,,,,"['E572 - Stéarate de magnésium', 'E322i - Lécithine', 'E903 - Cire de carnauba']",,,,,
722,Purée pommes pruneaux - La Vie Claire,3266191025292,B,,,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes pruneau']",,,,,['France'],"['pommes* 70%', 'pruneaux* 30%', "" Ingrédients agricoles issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0.1 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,?,,79,-2%,331 kj(79 kcal),+2%,"0,2",-40%,"0,1",+30%,17,0%,17,+16%,"0,4",-30%,0,-100%,0,-100%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,,,,,,
723,Choucroute garnie superieur intermarché,3252832603264,C,,,,,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",,,"['EMB 10297', 'Pont-Sainte-Marie (Aube, France)']",,['France'],[],[],,11 g,en quantité modérée,4.4 g,en quantité modérée,0.9 g,en faible quantité,18 g,en quantité élevée,?,,129,+13%,540 kj(129 kcal),+15%,11,+30%,"4,4",+38%,"0,9",-59%,"0,9",+55%,"6,4",+17%,18,+1264%,"7,2",+1264%,15,+165%,D,+165%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,
724,Lot De 6 Nectar Poire Oh,6194007892202,D,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']",,,,,['France'],[],[],,0.1 g,en faible quantité,0.01 g,en faible quantité,11.7 g,en quantité élevée,0.00425 g,en faible quantité,?,,56,+4%,234 kj(56 kcal),+3%,"0,1",-49%,"0,01",-71%,15,+16%,"11,66",-3%,"0,09",-68%,"0,004",-41%,"0,002",-41%,16,+5%,E,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
725,Grosse Boonen cannellini,8024749001465,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,91,,381 kj(91 kcal),,"0,4",,0,,15,,"0,6",,8,,"0,01",,"0,004",,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,
726,Zoete aardappel spread - Boni,5400141212709,,,,['unité'],['Boni'],,,,,,"['Belgique', 'France']",[],[],,,,,,,,,,?,,238,,996 kj(238 kcal),,19,,"1,6",,14,,"7,9",,2,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,
727,Bloc de foie gras de canard,3432770044019,B,,,,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,,,,['France'],[],[],,56 g,en quantité élevée,25 g,en quantité élevée,1.3 g,en faible quantité,2 g,en quantité élevée,?,,531,+8%,2222 kj(531 kcal),+9%,56,+11%,25,+16%,"1,5",-29%,"1,3",-2%,"5,2",-15%,2,+64%,"0,8",+64%,24,+18%,E,+18%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,
728,Crevettes tropicales roses décortiqués fermes et croquante - Monoprix Gourmet,3350033083769,,,,,['Monoprix Gourmet'],,,,,,['France'],[],[],,,,,,,,,,?,,88,,368 kj(88 kcal),,1,,"0,3",,0,,0,,18,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,
729,Beignet pomme -,,,Beignets fourrés à la purée de pomme,,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,,,['France'],[],[],,12 g,en quantité modérée,1.8 g,en quantité modérée,19 g,en quantité élevée,0.63 g,en quantité modérée,?,,305,-14%,1276 kj(305 kcal),-14%,12,-24%,"1,8",-48%,42,-7%,19,+17%,"6,3",-1%,"0,63",-15%,"0,252",-15%,7,-42%,C,-42%,,,,,,,,,,,,,,,
730,haricots verts - D'Aucy,3017800229415,B,,,"['Conserve', 'Boîte en métal']","[""D'Aucy""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",,,,,['France'],"['Haricots verts', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.3 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en quantité modérée,?,,23,-4%,96 kj(23 kcal),-3%,"0,3",+20%,0,-100%,"1,8",-32%,"0,5",-35%,"1,9",+28%,"0,6",-10%,"0,24",-10%,-4,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,,,,,,,
731,Préparation pour taboulé betterave et aneth,3760248980195,,,,,,['Préparation pour taboulé'],,,,,['France'],[],[],,9.4 g,en quantité modérée,1.3 g,en faible quantité,3.2 g,en faible quantité,1 g,en quantité modérée,?,,114,,477 kj(114 kcal),,"9,4",,"1,3",,"4,7",,"3,2",,"1,4",,1,,"0,4",,6,,C,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-15']",,,,,,,
732,Natural Bar,2025640999994,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,487,,2038 kj(487 kcal),,"26,7",,"18,9",,"53,2",,"35,8",,"6,5",,"0,07",,"0,028",,,,,,,,,,,,,"['en:gluten-free', 'Sans additifs']",,,,,,,
733,Fuze tea,5449000193124,,,,,"['Fuze Tea', 'Fuzetea']",,,,,,['France'],[],[],,,,,,,,,,?,,18,,75 kj(18 kcal),,0,,0,,"4,1",,"3,9",,0,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,
734,Jambon traditionnel fumé au bois de hêtre - Saint Alby,2205874003562,,,,"['Barquette', 'Film en plastique']",['Saint Alby'],,,,,,['France'],[],[],,,,,,,,,,?,,125,,523 kj(125 kcal),,"4,5",,"1,5",,1,,"0,5",,20,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,
735,Champignon meringués vanille,3279050007179,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,401,,1678 kj(401 kcal),,"1,3",,"0,09",,"91,7",,"91,7",,"5,5",,"0,234",,"0,094",,,,,,,,,,,,,,,,,,,,
736,Cannelle en poudre - Member's Mark - 18oz,0078742145518,B,,18 oz,['Plastic'],"[""Member's Mark"", 'Tones']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",,,,,"['France', 'États-Unis']",['GROUND CINNAMON'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,,,,,,,
737,Classic Hummus Bio - Taverna-Bio - 170g,8719172050608,B,,170 g,['PET'],['Taverna-Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,['Auchan'],"['France', 'Pologne']","['ciecierzyca organiczna 52%', 'woda', 'olej rzepakowy organiczny', 'Tahini – organiczna pasta z ziaren sezamu 14%', 'organiczny czosnek w proszku', 'organiczna sól', 'regulator kwasowości: kwasek cytrynowy', 'pieprz organiczny', ' Może zawierać orzechy i orzechy ziemne']","['Végétalien', 'Végétarien']",,24.4 g,en quantité élevée,2.8 g,en quantité modérée,0 g,en faible quantité,0.48 g,en quantité modérée,1181,+7%,285,+8%,1181 kj(285 kcal),+7%,"24,4",+21%,"2,8",+14%,"7,9",-25%,0,-100%,7,+8%,"0,48",-54%,"0,192",-54%,3,-40%,C,-40%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,"['Végétarien', 'Végétalien']",,['E330 - Acide citrique'],,['Graines de sésame'],,,
738,Crazy dribble chips paprika,5414359961311,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,527,,2205 kj(527 kcal),,"32,9",,"3,4",,"51,8",,"2,8",,6,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,
739,Noix - Kirkland,0096619329625,,,,,['Kirkland'],,,,,,['France'],[],[],,,,,,,,,,?,,600,,2510 kj(600 kcal),,60,,6,,3,,3,,15,,0,,0,,,,,,,,,,,,,,,,,,,,
740,La charcuterie de porc - La Vie Claire,3266191053790,,,,,['La Vie Claire'],,,,"['EMB 85059B', 'Châtaigneraie (Vendée, France)', 'FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",,['France'],[],[],,,,,,,,,,?,,337,,1410 kj(337 kcal),,29,,11,,"0,5",,"0,5",,18,,"1,2",,"0,48",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
741,Marrons glacés - L'Artisan Provençal,3760008041944,,,,,"[""L'Artisan Provençal""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,,,,['France'],"['Marrons', 'sucre', 'sirop de glucose', 'vanille en gousses']",[],4,1.2 g,en faible quantité,0.2 g,en faible quantité,48 g,en quantité élevée,0 g,en faible quantité,?,,313,-1%,1310 kj(313 kcal),-2%,"1,2",+34%,"0,2",+28%,73,-2%,48,-5%,"0,9",-12%,0,-100%,0,-100%,13,+10%,D,+10%,,,,,,,,,,,,,,,
742,Mayonnaise,5414152005014,D,,,,,"['Epicerie', 'Sauces', 'Mayonnaises']",,,,,['France'],[],[],,85 g,en quantité élevée,10.3 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,771,+26%,3226 kj(771 kcal),+26%,85,+28%,"10,3",+67%,"0,3",-89%,0,-100%,"1,3",+6%,"0,9",-32%,"0,36",-32%,22,+23%,E,+23%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,
743,Taralli di Putignano,8001644010013,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,464,,1941 kj(464 kcal),,"16,5",,"2,6",,"68,5",,"2,3",,9,,"2,55",,"1,02",,,,,,,,,,,,,,,,,,,,
744,Muffins - Bonneterre,3396411236167,,,,,['Bonneterre'],"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,,,,['France'],"['Gâteau aux pépites de chocolat Gebakje met chocoladestukjes et a amandes caramélisées Ingrédients Farine de blé""', 'huile de colza""', 'Ingrediënten: Tarwemeel""', 'koolzaadolie""', 'Sucre de canne""', 'œufs""', 'pépites de chocolat* rietsuiker""', 'eieren""', 'chocoladestukjes* 12,5% ', 'pâte de cacao""', 'sucre""', 'beumre de cacao""', 'émulsifiant : lécithines de toumesol""', 'emulgator: zonnebloemlecithine""', 'sirop de blé""', 'amandes caramélisées* 5% ', 'amandes""', 'sucre de canne""', 'poudres à lever: phosphates de calcium', 'carbonates en gekaramelliseerde amandelen 12,5% ', 'cacaomassa“', 'suiker""', 'cacaoboter""', 'tarwestroop""', 'gekaramelliseerde amandelen* 5% ', 'amandelen""', 'rietsuiker""', 'rijsmiddelen : calciumfosfaten', 'de sodium - arome naturel ', 'contient alcool', 'natriumcarbonaten', ' natuurlijk aroma amidon de maïs""', 'sel de mer', "" * Ingrédients issus de l'Agriculture Biologique"", "" Ingrediênten uit de Biologische Landbouw Peut contenir des traces de lait et d'autres fruits à coque"", "" Nous invitons les personnes souhaitant plus d'informations à contacter notre Service Consommateurs au 01"", '49', '78', '25', '50', ' ', 'bevat alcohol*', 'maiszetmeel""', 'zeezout', ' Kan sporen bevatten van melk en andere noten']",['Non végétalien'],4,25 g,en quantité élevée,4.2 g,en quantité modérée,31 g,en quantité élevée,0.92 g,en quantité modérée,?,,442,+12%,1849 kj(442 kcal),+11%,25,+24%,"4,2",+12%,47,-4%,31,+15%,"6,3",+21%,"0,92",+24%,"0,368",+24%,19,+23%,E,+23%,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans huile de palme', 'AB Agriculture Biologique']",,"['E322i - Lécithine', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E502 - Carbonates']",,"['Œufs', 'Lait', 'Fruits à coque']",,,
745,Feuilleté gourmand ris de veau champignons de Paris et cèpes - Toupargel,3512030016113,,,,,['Toupargel'],,,,,,['France'],[],[],,,,,,,,,,?,,247,,1033 kj(247 kcal),,14,,"9,4",,"22,5",,"2,1",,"7,1",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,
746,Proscuitto Crudo,8004225240137,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,238,,996 kj(238 kcal),,14,,"4,7",,0,,0,,28,,6,,"2,4",,,,,,,,,,,,,,,,,,,,
747,For Chicken gravy granules - Bisto - 170g,5000354404184,,,170 g,,['Bisto'],,,,,,"['France', 'Royaume-Uni']","['Potato Starch', 'Maltodextrin', 'Palm Oil', 'Salt', 'Wheat Flour ', 'with added \rCalcium', 'Iron', 'Niacin', 'Thiamin', 'Flavourings ', 'contain Barley', 'Milk', 'Wheat', 'Sugar,\rFlavour Enhancers ', 'E621', 'E635', 'Colour ', 'E150c', 'Emulsifier ', 'E322', ' ', 'contains Soya']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,415,,1736 kj(415 kcal),,"15,6",,"10,5",,"65,5",,21,,"2,3",,"8,12",,"3,248",,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E322 - Lécithines']",,"['Gluten', 'Lait', 'Soja']",,,
748,Frutos secos - Frit Ravich,8410564021762,D,,,,['Frit Ravich'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Noix', 'Noix décortiquées']",,,,,"['France', 'Espagne']",[],[],,68 g,en quantité élevée,7 g,en quantité élevée,1.1 g,en faible quantité,0 g,en faible quantité,?,,712,+2%,2979 kj(712 kcal),+3%,68,+4%,7,+16%,"6,9",-8%,"1,1",-66%,16,+5%,0,-100%,0,-100%,4,+515%,C,+515%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,['en:gluten-free'],,,,,,,
749,Sardines a l'huile d'olive,20891756,D,,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,,,['France'],[],[],,16 g,en quantité modérée,4.9 g,en quantité modérée,0 g,en faible quantité,0.75 g,en quantité modérée,?,,249,+1%,1042 kj(249 kcal),+1%,16,-10%,"4,9",+28%,0,-100%,0,-100%,26,+22%,"0,75",-17%,"0,3",-17%,5,-11%,C,-11%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,
750,Cocktail d'Olive,3700483801510,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,109,,456 kj(109 kcal),,"10,6",,"2,16",,"4,1",,"0,6",,"1,2",,"3,9",,"1,56",,,,,,,,,,,,,,,,,,,,
751,Confiture extra Reines-claudes - Collines en Limousin,3517830340284,B,,,,['Collines en Limousin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de Reine-Claude']",,,,,['France'],"['Reines-claudes 60%', 'sucre 40%', 'pectine ', 'gélifiant', "" si les fruits n'en contenaient pas suffisamment"", ' Teneur totale en sucre 55g pour 100g']",[],4,0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,?,,218,0%,912 kj(218 kcal),+1%,0,-100%,0,-100%,54,+2%,53,+3%,0,-100%,0,-100%,0,-100%,11,+9%,D,+9%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,['E440 - Pectines'],,,,,
752,Yaourt maison arome citron,3700613100278,,,,,,,,,"['FR 25.614.003 CE', 'Vieux-Charmont (Doubs, France)']",,['France'],[],[],,,,,,,,,,?,,108,,452 kj(108 kcal),,"3,8",,"2,5",,"14,5",,"14,5",,"3,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
753,Movies jellies,8412147570131,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,334,,1397 kj(334 kcal),,0,,0,,78,,55,,4,,"0,1",,"0,04",,,,,,,,,,,,,['Halal'],,,,,,,
754,Crock & Gusta - Scotti,8001860228148,,,,,"['Scotti', 'Riso Scotti']",,,,,,['France'],[],[],,,,,,,,,,?,,376,,1573 kj(376 kcal),,"4,3",,"0,6",,71,,"0,7",,"6,8",,"1,2",,"0,48",,,,,,,,,,,,,['en:gluten-free'],,,,,,,
755,Gallette di grano khorasan Kamut - Unes,8000633023232,B,,,,"['Unes', 'Il Viaggiator Goloso']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de blé soufflé', 'Galettes de blé khorasan soufflé']",,,,,['France'],['Kamut'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2.7 g,en faible quantité,0.6 g,en faible quantité,1.3 g,en faible quantité,0.1 g,en faible quantité,?,,368,-6%,1540 kj(368 kcal),-6%,"2,7",-60%,"0,6",-81%,66,+2%,"1,3",-71%,15,+29%,"0,1",-8%,"0,04",-8%,-1,-161%,A,-161%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,"['Bio', 'Bio européen', 'IT-BIO-014']",,,,['Gluten'],,,
