,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
1514,Le Speziose sauce savoureuse Curcuma et Poivre - Monari Federzoni,8003185009471,,,,,['Monari Federzoni'],,,,,,['France'],[],[],,,,,,,,,,?,,214,,895 kj(214 kcal),,0,,0,,50,,47,,"0,6",,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-007', 'Sans conservateurs']",,,,,,,
1515,Turrón De Chocolate Con Arándanos Solé - 100g,8411066003126,,,100 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,518,,2167 kj(518 kcal),,29,,10,,55,,"48,6",,"5,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,
1516,(seriously) Good Bolognese - Heinz,8715700111490,,,,,['Heinz'],,,,,,['France'],[],[],,,,,,,,,,?,,87,,364 kj(87 kcal),,"5,1",,"1,2",,"5,8",,"4,6",,"3,9",,1,,"0,4",,,,,,,,,,,,,,,,,,,,
1517,Joghurt müsli schoko banane - Muller - 150g,42367956,D,"Joghurt mit 6,6% Schoko-Banane-Knuspermüsli (mit 6% Schokolade und 13,6% Bananenanteil), 3,8% Fett im Milchanteil",150 g,"['Kunststoff', '06 PS']",['Muller'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la banane', 'Yaourts aux copeaux de chocolat']",,,['DE SN-016 EG'],['Edeka'],"['France', 'Allemagne']","['Joghurt aus pasteurisierter Milch', 'Schoko-Banane-Knuspermüsli ', 'Haferflocken', 'Zucker', 'Dinkel ', 'Weizen', 'Sonnenblumenöl', 'Mais', 'Bananenpüree', 'Weizenflocken', 'Kokosflocken', 'Bananengranulat gefriergetrocknet', 'Banane', ' Kakaomasse', 'Reis', 'Weizen ', 'Mehl', 'Vollkornmehl', 'Kokosöl', 'Honig', 'Haselnüsse geröstet', 'Speisesalz', 'Roggen ', 'Mehl', 'Vollkornmehl', 'Kakaobutter', 'fettarmes Kakaopulver', 'Gerstenmalz', 'Reismehl', 'Gerste ', 'Mehl', 'Vollkornmehl', 'Weizenkeime', 'Emulgator Sojalecithine', 'Aroma']",['Non végétalien'],4,4.5 g,en quantité modérée,2.7 g,en quantité modérée,6.5 g,en quantité modérée,0.17 g,en faible quantité,411,+11%,98,+5%,411 kj(98 kcal),+5%,"4,5",+70%,"2,7",+54%,"8,9",-34%,"6,5",-47%,"4,5",+35%,"0,17",+62%,"0,068",+62%,2,-44%,B,-44%,78.7%,11.7%,3.1%,4.1%,1.8%,0.5%,54,['Fabriqué en Allemagne'],['Deutschland'],,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja', 'de:Weizenkeime']",https://www.muellermilch.de/produkte/joghurt-mit-der-ecke/joghurt-mit-der-ecke-muesli/schoko-banane/,,
1518,Xylitol - Prozis,5600854625203,,,,['Pot'],['Prozis'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1519,Café grains expresso - U - 500g,3256227235498,,,500 g,['Sachet'],['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,['Magasins U'],['France'],['100% café Arabica en grains torréfié'],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Conditionné en France'],,,,,,,
1520,Muffins fourrés goût chocolat cacao noisette - U - 300g,3256227654015,D,,300 g,,['U'],"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Gâteaux au chocolat', 'Muffins au chocolat']",,,,['Magasins U'],['France'],"['Farine de ble', 'sucre', 'oeufs', 'huile végétale de colza', 'fourrage goût cacao noisettes 13% [sucre', 'huile végétale de colza et beurre de cacao', 'noisettes 1,7%', 'cacao maigre 0,9%', 'lait entier en poudre', 'lactoserum en poudre', 'émulsifiant : lécithine de tournesol', 'arôme]', 'pépites de chocolat 9% [sucre', 'masse de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille]', 'stabilisant : glycérol et gomme xanthane', 'amidon transformé de maïs', 'lactoserum en poudre', 'poudres à lever : diphosphate disodique et carbonates de sodium', 'amidon de ble', 'arômes naturels ', 'contient alcool', 'sel', 'protéines de blé ', 'gluten', 'poudre de lait écrémé', 'protéines de lait', 'conservateur : sorbate de potassium', 'agent de traitement de la farine : acide ascorbique', 'farine de ble malté', "" traces éventuelles d'autres fruits à coque et d'arachides""]",['Non végétalien'],4,23 g,en quantité élevée,3.8 g,en quantité modérée,33 g,en quantité élevée,1 g,en quantité modérée,1926,+8%,460,+11%,1926 kj(460 kcal),+10%,23,+5%,"3,8",-10%,56,+14%,33,+18%,"5,4",+3%,1,+27%,"0,4",+27%,17,+2%,D,+2%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,,"['E322i - Lécithine', 'E422 - Glycérol', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,
1521,Molinillo ajustable sal de mar aparato - Ducros,3166298907708,,,,,['Ducros'],,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
1522,Le paté landais delicatement poivré - Lartigue,3760067667291,,,,,['Lartigue'],,,,,,['France'],[],[],,,,,,,,,,?,,410,,1715 kj(410 kcal),,39,,"15,8",,"2,8",,"1,5",,"11,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,
1523,Monster Energy Cans 50CL 4-pack,5060166694609,,,,,['Monster Energy'],,,,,,['France'],[],[],,,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,12,,11,,0,,"0,19",,"0,076",,,,,,,,,,,,,"[""Fabriqué dans l'UE""]",,,,,,,
