,name,bar_code,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,traceability_code,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,nova_score,quantity,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,manufacturing,link,palm_ingredients,origin_detail,producer_info
1460,New York Bakery Plain Bagels,5018297007782,['ldpe-bag'],,,,,['France'],[],[],?,,258,,"1,2",,"50,1",,"10,1",,,,1079 kj(258 kcal),"0,2","5,6","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,Dorset cereals fabulous high fibre - 540g,5018357006755,"['Carton', 'Plastique']",['Dorset cereals'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,['Nose'],['France'],"['Fruit sec', 'noix et graines ', '50%', ' [raisin ', '27%', ' les dattes', 'les graines de tournesol ', '5', '5%', 'noix de coco grillée ', '5', '5%', 'noisette grillé ]', 'flocons de blé grillé ', ' blé', 'orge', 'extrait de malt', ""flocons d'avoine grillé "", ""flocons d'avoine "", ""extrait de malt d'orge""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1492,-16%,?,,"9,4",-28%,"60,1",-1%,8,-19%,,"['Gluten', 'Fruits à coque', 'Avoine', 'Dattes', 'Tournesol']",1492 kj(357 kcal),"4,5","27,6","0,1","0,04",,1,540 g,B,9.4 g,en quantité modérée,4.5 g,en quantité modérée,27.6 g,en quantité élevée,0.1 g,en faible quantité,-14%,+36%,+63%,-43%,-43%,0,-100%,B,-100%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,['Angleterre'],Muesli riche en fibres,,,,,
1462,"Müsli, Simply Fruity Breakfast Cereal (dunkelgrün) - Dorset cereals",5018357007653,,['Dorset cereals'],,,,['France'],"['Dried and sweetened dried fruit ', '30%', ' [sultanas ', '12%', 'raisins', 'sweetened dried papaya ', '9%', ' ', 'sugar', 'papaya', 'preservativef stûphur dioxide', 'sweetened dried pineapple ', '3%', ' ', 'sugar', 'pineapple', 'citric acid', ' preservative: sulphur dioxlde', ']', 'barlgy flakes', 'oat fla', 'kes', 'wheat flakes', 'toasted andmaÌted wheat flakes ', 'wheat', 'barley malt extract']",[],?,,337,,"2,4",,68,,"7,3",,,['Gluten'],1410 kj(337 kcal),"0,4",26,"0,1","0,04",['E330 - Acide citrique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Tesco Free Range Eggs Large Box Of 6,5018374888303,"['pet-tub', 'card-carton']",['Tesco'],"[""Produits d'élevages"", 'Œufs']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Tesco'],"['France', 'Royaume-Uni']",[],[],?,,131,-1%,9,-4%,"0,1",-85%,"12,6",+2%,,,548 kj(131 kcal),"2,5","0,1","0,4","0,16",,,,C,9 g,en quantité modérée,2.5 g,en quantité modérée,0.1 g,en faible quantité,0.4 g,en quantité modérée,-2%,+4%,-79%,+52%,+52%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,
1464,whisky - TOMATIN - 70cl,5018481022003,,['TOMATIN'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys', 'Whisky écossais']",,['E.Leclerc'],['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,70cl,C,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,
1465,5018735224948,5018735224948,,,,,,['France'],"['fortified wheat flour ', 'wheat flour', 'calcium carbonate', 'iron', 'niacin ', 'b3', 'thiamin ', 'b1', 'water', 'raisins ', '14%', 'partially inverted sugar syrup ', 'partially inverted sugar syrup', 'colour: e150c', 'malted barley flour ', '5%', 'barley malt extract ', '4,5%', 'maize starch', 'dried whey ', 'from cows milk', 'vegetable fat ', 'rape palm', 'salt', 'yeast', 'preservative: calcium propion allergy advice: for allergens', 'including cere containing gluten', 'see ingredients in bold produced in a factory which handles and oats', 'soya remove fruit pips and stalks', 'some may warning: although every care has been taken to e v suitable for vegetarians', 'remain']",['Non végétalien'],?,,304,,"2,8",,"58,7",,"9,3",,,"['Gluten', 'Avoine']",1272 kj(304 kcal),"0,2","17,1","0,54","0,216","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Minced garlic and ginger paste,5019124199007,,,,,,['France'],[],[],?,,18,,"1,2",,"40,7",,"6,8",,,,75 kj(18 kcal),0,"1,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Quorn mince,5019503000993,"['card-sleeve', 'pp-tray', 'mixed plastic-film']",['Quorn'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande']","['en:gluten-free', 'Riche en protéines', 'Riche en protéines végétales']",,['France'],"['MycoproteinTM ', '93%', 'Rehydrated Free Range Egg White', 'Natural Caramelised Sugar', 'Firming Agents: Calcium Chloride', 'Calcium Acetate', ' Gluten Free Barley Malt Extract', ',Egg']",[],?,,105,-45%,2,-77%,"4,5",-57%,"14,5",+2%,,['Œufs'],439 kj(105 kcal),"0,5","0,6","0,3","0,12","['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E263 - Acétate de calcium']",,,,2 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en faible quantité,0.3 g,en quantité modérée,-45%,-63%,-63%,-72%,-72%,-3,-386%,A,-386%,,,,,,,,,Émincés végétariens à base de mycoprotéine,,,,,
1468,Whisky Black & White Sin Caja - James Buchanan&Co.,50196081,,['James Buchanan&Co.'],,,,['France'],[],[],?,,222,,?,,?,,0,,,,929 kj(222 kcal),0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Cheddar,5021427908118,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",,,['France'],[],[],?,,410,+4%,"34,4",+4%,"0,1",-93%,25,+6%,,,1715 kj(410 kcal),"21,7","0,1","1,8","0,72",,,,D,34.4 g,en quantité élevée,21.7 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,+3%,+3%,-80%,+2%,+2%,17,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,
1470,Biscuit cacao almond butter - Nature Valley,0065633118515,,['Nature Valley'],,,,['France'],[],[],?,,473.68421052632,,"26,316",,"55,263",,"7,895",,,,1982 kj(473 kcal),"6,579","23,684","0,987","0,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Filets de poulet rôti - Le Gaulois,2431628020206,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,['France'],[],[],?,,151,+4%,"5,8",+8%,"0,1",-83%,24,+2%,,,632 kj(151 kcal),"1,4","0,1","1,4","0,56",,,,D,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,+4%,+3%,-77%,+4%,+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,
1472,C&E Vitamindrink,27001233,,,,,,['France'],[],[],?,,48,,"0,5",,11,,"0,5",,,,201 kj(48 kcal),"0,1",11,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Compote pause fruitee - Paquito,3250392569839,,['Paquito'],,,,['France'],[],[],?,,86,,2,,"15,3",,"0,8",,,,360 kj(86 kcal),"0,2","13,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Menthe - Les Anis De Flavigny,3360102120011,,['Les Anis De Flavigny'],,"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,Confiture extra myrtille sauvage - L'épicurien,3441260033419,,"[""L'épicurien""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,['France'],[],[],?,,226,+3%,"0,5",+92%,55,+3%,"0,5",+28%,,,946 kj(226 kcal),"0,1",53,0,0,,,,D,0.5 g,en faible quantité,0.1 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,+3%,+126%,+4%,-100%,-100%,11,+19%,D,+19%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
1476,Les bols nomades a l'indienne - Carte Nature,3700477660789,,['Carte Nature'],,['Bio'],,['France'],[],[],?,,124,,"4,9",,11,,"6,5",,,,519 kj(124 kcal),"3,2",2,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Organic Instant White Miso Soup Paste - Clearspring organic japanese - 60g,5021554988175,,['Clearspring organic japanese'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'NL-BIO-01']",,['France'],[],"['Végétalien', 'Végétarien']",?,,170,,"4,1",,26,,"6,9",,,,711 kj(170 kcal),"0,6",21,"13,4","5,36",,,60 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Clearspring Virgin Coconut Oil,5021554988595,,['Clearspring'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,,['France'],[],[],?,,893,+4%,100,+3%,0,-100%,0,-100%,,,3736 kj(893 kcal),87,0,,,,,,,100 g,en quantité élevée,87 g,en quantité élevée,0 g,en faible quantité,,,+4%,+3%,-100%,,,,,,,,,,,,,,,,,,,,
1479,Yaourt greque - Rachel's - 450g,5021638100714,,"[""Rachel's""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque', 'Yaourts allégés en matière grasse']","['Bio', 'Bio européen', 'Agriculture UE', 'GB-ORG-05', 'en:Soil Association Organic']",['Tesco'],"['France', 'Royaume-Uni']","['Organic Fat Free Natural yogurt ', 'from Milk']",['Non végétalien'],?,,270,+335%,"0,1",-82%,"8,7",+11%,"6,1",+33%,['UK VD011 EC'],['Lait'],1130 kj(270 kcal),"0,1","8,7","0,2","0,08",,1,450g,,0.1 g,en faible quantité,0.1 g,en faible quantité,8.7 g,en quantité modérée,0.2 g,en faible quantité,+367%,-67%,+21%,+36%,+36%,1,,B,,,,,,,,,['Royaume-Uni'],,['Wales'],,,,
1480,Clipper Faitrade Drinking Chocolate - 250g,5021991938795,"['ldpe-lid', 'mixed plastic-tube']",['Clipper'],,"['Commerce équitable', 'Fairtrade-maxhavelaar']",,['France'],"['Sugar', 'cocoa powder ', '40%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,395,,"8,4",,"64,9",,"8,8",,,,1653 kj(395 kcal),"5,2","60,1","0,1","0,04",,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Lemon & Ginger Tea Bio - Clipper - 45g,5021991938917,,['Clipper'],,['Bio'],['Delhaize'],"['Belgique', 'France']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,45 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Caramel Hot Chocolate - Whittard,5022032097143,,['Whittard'],,,,['France'],"['sucre', '38%', 'Sel', 'Contient solides de Cocoo 38% minimum']",[],?,,397,,"8,1",,"67,1",,"8,5",,,,1661 kj(397 kcal),"4,9","58,9","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Peanut Butter Flavour Hot Chocolat - Whittard,5022032114963,,['Whittard'],,,,['France'],[],[],?,,392,,8,,67,,8,,,,1640 kj(392 kcal),5,60,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Indian sélection vegetarian,5022235008069,,,,,,['France'],[],[],?,,158,,"10,2",,"11,5",,"3,5",,,,661 kj(158 kcal),"0,7","4,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Tesco Finest Granola Squares - Naked - 360ml,5022313997728,['pet-bottle'],"['Naked', 'Tesco']",,,['Tesco'],"['France', 'Royaume-Uni']",[],[],?,,52,,0,,12,,"0,5",,,,218 kj(52 kcal),0,11,0,0,,,360 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Instant Hot Chocolate - Galaxy,5023471105512,,['Galaxy'],,['Pur beurre de cacao'],,['France'],"['Sugar', 'Whey Permeate ', 'from milk', 'Fat Reduced Cocoa Powder', 'Coconut 011', 'Dried Glucose Syrup', 'Galaxy Chocolate ', '3%', ' ', 'sugar', 'cocoa butter', 'skimmed milk powder', 'cocoa mass', 'lactose ', 'from milk', 'vegetable fat ', 'palm', 'whey powder', 'from milk', 'milkfat', 'emulsifiers: soya lecithin', 'water', 'natural vanilla extract', 'Skimmed Milk Powdert Stabilisers ', 'guar gum', 'E466', 'E340ii', 'E339ii', 'E452i', 'Barley Malt Extract', 'Salt', 'Flavourings', 'Anti-caking Agent ', 'E551', 'Acidity Regulator ', 'E331', 'Milk Proteins', 'Emulsifiers ', 'E471', ',']","['Huile de palme', 'Non végétalien']",?,,408,,"7,5",,"78,9",,"3,5",,,['Lait'],1707 kj(408 kcal),"6,2","72,5",2,"0,8","['E322i - Lécithine', 'E412 - Gomme de guar', 'E466 - Carboxyméthylcellulose', 'E340ii - Phosphate dipotassique', 'E339ii - Phosphate disodique', 'E452i - Polyphosphate de sodium', 'E551 - Dioxyde de silicium', 'E331 - Citrates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Organix: Goodies Biscuits Gingerbread Men - 135G,5024121222207,['card-box'],['Organix'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,424,,"11,5",,"68,7",,8,,,,1774 kj(424 kcal),"3,8","18,8","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Organicanix: Raspberry & Blueberry Ricecake - 50G,5024121899300,,,,['en:gluten-free'],,['France'],[],[],?,,386,,"1,1",,"85,5",,"7,8",,,,1615 kj(386 kcal),"0,3","13,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Flapjack abricot amande - Brynmor - 80g,5024278003025,['Plastique'],['Brynmor'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",['Sans gluten'],,['France'],"['Gluten free oats ', '41%', 'golden syrup', 'vegetable oil ', 'palm', 'rapeseed', 'sugar', 'apricots ', '8%', 'almonds ', '5%', 'salt', 'rice flour', 'natural flavouring']",[],1896,+26%,451,+22%,22,+69%,56,+71%,"6,3",-78%,,"['Fruits à coque', 'Arachides', 'Graines de sésame']",1896 kj(451 kcal),"9,2",32,"0,39","0,156",,4,80 g,,22 g,en quantité élevée,9.2 g,en quantité élevée,32 g,en quantité élevée,0.39 g,en quantité modérée,+22%,+56%,+141%,-20%,-20%,18,+75%,D,+75%,,,,,,,,,Flapjack abricot amande,,,,,
1490,"L'eau des Vikings - Blue keld - 0,5L",5026356000421,,['Blue keld'],,,,['France'],[],[],?,,1,,"0,5",,"0,5",,"0,5",,,,4 kj(1 kcal),"0,1","0,5",0,0,,,"0,5L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Muffin Cranberry et Myrtille - Tu Vita - 110g,5027870200663,"['Sachet', 'Plastique']",['Tu Vita'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits', 'Muffins aux myrtilles']","['Végétarien', 'Sans OGM', 'Sans matière grasse hydrogénée']",['Intermarché'],['France'],"['Farine de blé', 'sucre', 'huile végétale ', 'de colza', 'Eau', 'Humectants : Glycérine & sirop de glucose', 'Myrtilles ', '3%', 'Amidon de blé', 'Avoine ', '3%', 'Lait écrémé en poudre', 'poudres à lever : pyrophosphate acide de sodium et bicarbonate de potassium', 'Dextrose', ""Emulsifiants : Esters Polyglycériques d'acides gras"", ""Mono et diglycérides d'acides gras et Stéaroyl-2-lactylate de sodium"", 'Amidon de maïs', 'Lactosérum en poudre', 'Arômes naturels', 'Conservateurs : Sorbate de potassium', 'Agent stabilisant : Gomme de xanthane', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",1601,,381,+8%,"16,3",-4%,"54,6",+16%,"2,8",-42%,,"['Œufs', 'Gluten', 'Lait', 'Avoine']",1601 kj(381 kcal),"1,3","24,6","0,418","0,167","['E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E501ii - Carbonate acide de potassium', ""E475 - Esters polyglycériques d'acides gras"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",4,110 g,C,16.3 g,en quantité modérée,1.3 g,en faible quantité,24.6 g,en quantité élevée,0.418 g,en quantité modérée,+7%,-59%,-4%,-31%,-31%,10,-25%,C,-25%,77.5%,13.0%,4.2%,3.1%,2.2%,0.0%,58,,,['Royaume-Uni'],,,,
1492,Almond milk body yogurt - The Body Shop,5028197973797,,['The Body Shop'],,"['Végétarien', 'Végétalien', 'Fabriqué en Allemagne']",,['France'],"['100% vegan', ' forever against animal testing', ' dermatologically tested', ' formulated without mineral oil and paraffin', ' enriched with community trade organicalmond ik', ' 48h moisturising', 'instantly absorbing & non-sticky gel-cream', ' can be applied on damp skin åfter your shower', ' specially formulated for sensime in body moisturiser', ' ® soin hydratant pour le corps', ' ® feuchtigkeitspfege ür den ine', ' bodycrème', ' ldratante corpo', ' hidratante corporal', ' d hidratante par lm o body moisturiser', ' nd body moisturiser', ' d vartalovoide', ' body moisturier s záyanoc o cremă hidratantă pentru corp', "" made in germany for/fabrioqué en allemagne pour/ fabricado en alemania para 15197 207 the body shop int'l ltd"", 'littlehampton', 'bnt7 6ls', 'uk', ' 12m pp']","['Végétalien', 'Végétarien']",?,,1,,1,,1,,1,,,,4 kj(1 kcal),1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Rose limonade,5029366739015,,,,,,['France'],"['Eau gazéifiée', 'sucre', 'sirop de glucose', 'Jus de citron clarifié à base de concentré ', '7%', 'extrait de gingembre fermenté ', 'eau', 'sirop de glucose', 'gingembre', 'jus de poire concentré', 'levure', 'juš de poiré concentré', 'arômes naturels ', 'citron', 'orange', 'acide tartrique', 'acide citrique', 'colorant alimentaire ', 'extrait de chou rouge', 'huile de rose de Bulgarie,']",[],?,,41,,"0,01",,"9,2",,"0,01",,,,172 kj(41 kcal),0,"7,5","0,01","0,004","['E334 - Acide L-tartrique', 'E330 - Acide citrique']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Fentimans - Ginger Ale - 125ML,5029396738712,,['Fentimans'],['Boissons'],,,['France'],"['1251/ BOISSON BOTANIQUE natur•els ', 'gingembre', 'orange', 'infusion I extraits de plantes de combava', 'citronnelle', 'racine']",[],?,,41,-27%,0,-100%,"9,8",-13%,0,-100%,,,172 kj(41 kcal),0,"9,3",0,0,,,,,0 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,0 g,en faible quantité,-29%,-100%,-1%,-100%,-100%,13,+70%,E,+70%,,,,,,,,,,,,,,
1495,Wild English Elderflower - Fentimans - 275ml,5029396739078,"['glass bottle', 'Glass']",['Fentimans'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'en:elderflower drink', 'en:sparkling drink']",,,"['France', 'Royaume-Uni']",[],[],?,,32,+19%,0,-100%,"6,9",+2%,0,-100%,,,134 kj(32 kcal),0,"6,9","0,001",0,,,275 ml,,0 g,en faible quantité,0 g,en faible quantité,6.9 g,en quantité élevée,0.001 g,en faible quantité,+16%,-100%,+4%,-93%,-93%,10,+8%,E,+8%,,,,,,,,['Royaume-Uni'],,,,,,
1496,Curried Lentils,5030101025102,,,,,,['France'],[],[],?,,117,,"3,6",,"13,8",,"5,4",,,,490 kj(117 kcal),"0,3",1,"0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Gâteau pokémon - Lightbody,5030765034953,,['Lightbody'],,,,['France'],"['Sucre', 'farine de blé ', 'farine de blé', 'carbonate de calcium', 'fer niacine', 'thiamine', 'eufs pasteurisés', 'huile de colza', 'sirop de glucose', 'humectant ', 'glycérine', 'huile de palme', 'cacao maigre en poudre', 'beurre doux ', 'lait', 'crème fleurette ', 'lait', 'stéarine de palme', 'poudre de lactosérum', 'amidon de maïs', 'sirop de sucre inverti', 'poudre de lait écrémé', 'beurre de cacao', 'poudres à lever ', 'diphosphates,bicarbonate de sodium', 'pâte de cacao', 'émulsifiants ', ""mono et diglycérides d'acides gras"", 'lécithine de soja', 'polyricinoléate de polyglycérol', 'cellulose modifiée', 'lécithine de tournesol', ""esters de saccharose d'acides gras"", 'colorants ', 'anthocyanes', 'bêta-carotène', 'charbon végétal', 'rouge de betterrave', 'riboflavine', 'conservateur ', 'sorbate de potassium', 'matières grasses de lait', 'huile de palmiste', 'stabilisant ', 'adragante', 'lactose', ""correcteurs d'acidité "", 'acide citrique', 'acide tartrique', 'arôme', 'concentré ', 'spiruline', ""poudre de blanc d'oeuf"", ' Ganache au Chocolat au Lait 8%']","['Huile de palme', 'Non végétalien']",?,,429,,"18,1",,"62,2",,"0,01",,,"['Gluten', 'Lait', 'Soja']",1795 kj(429 kcal),"5,4","48,8","0,2","0,08","['E422 - Glycérol', 'E570 - Acide stéarique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E460 - Cellulose', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes', 'E160ai - Bêta-carotène', 'E153 - Charbon végétal médicinal', 'E101i - Riboflavine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E334 - Acide L-tartrique']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Huile de palme', 'Stéarine de palme']",,
1498,Cashew nut butter - 170g,5032722305892,,,,['Bio'],,['France'],[],[],?,,582,,"43,9",,"30,2",,"18,2",,,,2435 kj(582 kcal),"7,8","5,9","0,03","0,012",,,170 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Pipers Crisp Co Sea Salt - Pipers Crisps - 40g,5033060100125,,['Pipers Crisps'],,"['en:gluten-free', ""À l'huile de tournesol""]",,['France'],"['Potatoes', 'Sunflower oil', 'Anglesey Sea Salt PDO']",[],?,,532,,"30,7",,"57,2",,"5,1",,,,2226 kj(532 kcal),"3,3","0,5","0,94","0,376",,,40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Pipers Biggleswade Sweet Chilli Crisps - Farmers - 40g,5033060100163,,['Farmers'],,,,['France'],"['Pommes de terre', 'huile de tournesol', 'poudre de chili doux ', 'épices dont chili', 'sucre', 'sel', 'poudre de vinaigre de cidre', 'vinaigre de cidre ', 'farine de riz', ""poudre d'ail"", 'poudre de vinaigre de cifron', 'colournaturelle:papria chili', ""infusion d'huile de colza chili"", 'arôme naturel']",[],?,,521,,"30,5",,"53,3",,"5,8",,,,2180 kj(521 kcal),"3,6","2,8","1,5","0,6",,4,40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Pipers Crisp Wild Thyme & Rosemary,5033060100347,,,,,,['France'],[],[],?,,509,,30,,"56,2",,"6,4",,,,2130 kj(509 kcal),"1,8",2,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Curly Wurly - Cadbury,5034660505181,,['Cadbury'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,,"['France', 'États-Unis']","['Glucose syrup', 'sugar', 'palm oil', 'skimmed mlik powder', 'cocoa butter', 'cocoa mass', 'whey permeate powder ', 'from milk', 'milk fat', 'emulsifiers ', 'E471', 'sunflower lecithin', 'E442', 'E476', 'salt', 'flavourings', 'sodium hydrogen carbonate', ' CHOCOLATE?', ' MILK SOLIDS 14 0% MINIMUM', ' CONTAINS VEGETABLE FATS IN ADDITION TO COCOA BUTTER', ' For nutrition lift flap']","['Huile de palme', 'Non végétalien']",?,,453,+8%,18,+22%,70,+5%,"3,1",-26%,,['Lait'],1895 kj(453 kcal),"9,5",49,"0,58","0,232","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E442 - Phosphatides d'ammonium"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium']",4,,,18 g,en quantité modérée,9.5 g,en quantité élevée,49 g,en quantité élevée,0.58 g,en quantité modérée,+8%,+47%,-1%,+295%,+295%,26,+43%,E,+43%,,,,,,,,,,,,,,
1503,Handcooked ham & english mustard Flavour potato crips - Real - 35g e,5035336003161,"['Sachet', 'Plastique']",['Real'],['Chips aromatisées au jambon et à la moutard anglaise'],['Végétarien'],,['France'],"['Pommes de terre', 'huile de tournesol', 'saveur jambon et moutarde anglaise ', 'dextrose', ""poudre d'extrait de levure"", 'sel', 'sucre', 'lactose ', 'lait', 'arômes', ""poudre d'oignon"", 'colorant ', 'extrait de paprika', 'acide citrique', ""extraits d'épices""]","['Non végétalien', 'Végétarien']",?,,496,,"25,7",,"57,1",,"7,4",,,['Lait'],2075 kj(496 kcal),"2,2","3,6","1,42","0,568","['E160c - Extrait de paprika', 'E330 - Acide citrique']",4,35 g e,,25.7 g,en quantité élevée,2.2 g,en quantité modérée,3.6 g,en faible quantité,1.42 g,en quantité modérée,,,,,,14,,D,,,,,,,,,,Chips,['Royaume-Uni'],,,,
