,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,additives,allergens,nova_score,markets,manufacturing,ingredients_origins,link,palm_ingredients,origin_detail
1531,Unoro olio extra vergine di oliva,8007153001542,['France'],[],[],?,0,0 kj(0 kcal),"91,6",14,"0,75",0,0,"0,75","0,3",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,91.6 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0.75 g,en quantité modérée,,-100%,-100%,-4%,0%,,,,+1487995%,+1487995%,-1,-116%,A,-116%,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
1532,Saucisson sec au conte,3498940012035,['France'],[],[],?,436,1824 kj(436 kcal),36,14,"1,1","1,1",27,"4,74","1,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Palette à l'emmental,3254562971057,['France'],[],[],?,144,602 kj(144 kcal),"8,3",5,"0,5","0,4",17,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Saucisse francfort,3481910541185,['France'],[],[],?,307,1284 kj(307 kcal),29,13,1,"0,7",10,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Paesano - Olio extra vergine di oliva - non filtrée - 0.75l,51010683,['France'],[],[],?,?,,?,,?,,?,,,['PAESANO'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,,,,,,,,,,,,,,,,,,,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,0.75 l,['glass bottle'],,,,,,,,,,
1536,Confiture de gingembre,3210605156409,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Baguette mais tournesol,4250093347278,['France'],[],[],?,274,1146 kj(274 kcal),"5,7","0,5","44,2","0,9","9,4","1,47","0,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Kit kat eclats croustillants,7613037433074,['France'],[],[],?,496,2075 kj(496 kcal),"24,4","14,3",62,"46,8","5,7","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Exquisit,4337185764257,['France'],[],[],?,244,1021 kj(244 kcal),"0,1",0,60,53,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Oeuf,3372140000330,['France'],[],[],?,145,607 kj(145 kcal),"2,7","2,7","0,7","0,6","12,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Tarte fraise creme fourttee,2030000020928,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Chateau de rhodes,3760101750378,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Bières kekette,3760138351623,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Homebrand Spaghetti Pasta,9300633445713,['France'],[],[],?,362,1515 kj(362 kcal),"1,8","0,4","70,3","2,7","12,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Raisin sec,3068230015680,['France'],[],[],?,591,2473 kj(591 kcal),45,"5,4",20,"9,3",22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,+linha,5601066601924,['France'],[],[],?,2,8 kj(2 kcal),"9,7","1,4",72,24,"6,1","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Nuvole cioccolato fondente,3023290222409,['France'],[],[],?,162,678 kj(162 kcal),"5,5","3,7",21,20,"5,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,00327251,00327251,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Kiluva Circal,8436027342250,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,3250391429080,3250391429080,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Jambon beurre - bistrot vite - 125g,2006050023462,['France'],"[""BISTRO'VITE-SANDWICH JAMBON BEURRE-Sandwich au pain de mie jambon cuit standard "", '34%', ' et de beurre ', '10%', ' Îngrédients: jambon cuit standard 34% [jambon de porc ', 'origine: UE', 'eau sel', 'lactose', 'bouillon de porc', 'dextrose', 'stabilisant: E451', 'gélifiant: E407', 'aróme naturel', 'sirop de glucose', 'antioxydant: E316', 'conservateur: E250', 'ferments]', 'farine de blé', 'eau', 'beurre', 'son de blé 2%', 'huile de colza', 'levure', 'sucre', 'sel', ""vinaigre d'alcool"", 'gluten de blé', "" Traces éventuelles d'œuf"", 'de moutarde', 'de poisson et de soja']","['Non végétalien', 'Non végétarien']",?,?,,12,,26,"3,2","9,8","1,9","0,76",['bistrot vite'],"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au jambon', 'Sandwichs Jambon Beurre']",['Atc'],12 g,en quantité modérée,,,3.2 g,en faible quantité,1.9 g,en quantité élevée,,,,+14%,,+1%,+12%,-6%,+19%,+19%,,,,,D,74.7%,14.5%,6.6%,2.4%,1.4%,0.4%,44,,125 g,"['Plastique', 'Barquette', 'Film en plastique']",,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,['Aldi'],,['Union européenne'],,,
1552,Bio curcuma macinata,8004708045198,['France'],[],[],?,?,,?,,?,,?,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,miettes morue salée sechée - 1kg,5602312205187,['France'],"['Ingredienten: KABELJAUW,', 'Gadus morhua', 'zout', ' Gevangen in de noordoostelijke Atlantische Oceaan ', 'FAO27', 'Noorse Zee ', 'lla met trawinetten', ' Geproduceerd door: R']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1kg,,,,,,,['Portugal'],,,,
1554,Gâteau de riz -,3027030012718,['France'],[],[],?,109,456 kj(109 kcal),"1,4","0,8",21,14,"3,2","0,1","0,04",,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Gâteaux', 'Desserts lactés', 'Gâteaux de riz']",,1.4 g,en faible quantité,0.8 g,en faible quantité,14 g,en quantité élevée,0.1 g,en faible quantité,,-25%,-26%,-54%,-52%,-16%,-14%,-4%,-4%,-4%,3,-20%,C,-20%,,,,,,,,,,,,,,,,,,,,,
1555,Aceto Balsámico di modena IGP,8032979063054,['France'],[],[],?,?,,?,,?,,?,,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,,,,,,,,,,,,,,,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,['Italie'],,,
1556,Rhum arrangé ananas Victoria & gingembre,3172910021035,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Danette,3033491420702,['France'],[],[],?,127,531 kj(127 kcal),"3,7","2,3",19,"16,5","3,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Émincés de poulet - Cora,3257987191260,['France'],"['Pâtes alimentaires tagliatelle cuites 48% ', 'eau - semoule de blé dur', ' - émincé de filet de poulet traité en salaison 18% [filet de poulet ', 'origine : UE', ' 17% - eau - amidon de maïs - sel dextrose] - eau - champignon de Paris 10% ', 'champignon de Paris - eau - sel - acidifiant: acide citrique-antioxydant : acide ascorbique', ' - crème fraîche - huile de tournesol - Porto rouge - fond de volaille aromatisé ', ""maltodextrine - arômes naturels - graisse et viande de volaille - sel - fécule de pomme de terre - lactose - extrait d'oignon"", ' - farine de blé - Brandy - cèpe en poudre 0,2% - sel - épaississant : gomme xanthane - poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",530,126,530 kj(126 kcal),"2,7","1,1",17,"0,5","7,3","0,44","0,176",['Cora'],"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet']","['Nutriscore', 'Nutriscore A']",2.7 g,en faible quantité,1.1 g,en faible quantité,0.5 g,en faible quantité,0.44 g,en quantité modérée,-9%,-15%,-14%,-54%,-35%,+24%,-74%,-9%,-48%,-48%,-1,-170%,A,-170%,D,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E415 - Gomme xanthane']","['Gluten', 'Lait']",4,,,,,,
1559,Ko-Lee Go Noodles Thai Hot & Spicy Tom Yum,5023751112155,['France'],[],[],?,89,372 kj(89 kcal),"4,29","1,7","10,85","0,51","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Chocolat,3441801840537,['France'],[],[],?,527,2205 kj(527 kcal),36,19,43,37,7,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Snack up - Canaillou - 120,3250391906147,['France'],[],[],?,?,,?,,?,,?,,,['Canaillou'],"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture sèche pour animaux', 'Nourriture pour chiens', 'Croquettes pour chien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,['Plastique'],,,,,,,,,,
1562,ricoré au lait - nestlé - 400g,19216881,['France'],[],[],?,?,,?,,?,,?,,,['nestlé'],['Déjeuner'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,['Pot alu'],,,,,,,,,,
1563,berocca energie - bayer - 30comprimés,3534510000696,['France'],"['Anformations nutritionnelles : 9 vitamines Pour 1 comprimé % des VNR 11,8 mg 15 mg 50mg 23 mg 8,23 mg 150 ug 400ug 10 ug 500 mg Que contient Berocca Energie ? BI B2 B3/PP B5 B6 B8 B9 B12 1072 1071 312 383 587 300 200 400 625 Ingrédients ', 'provenance UE et non-UE', "" Correcteurs d'acidité : acide citrique"", 'carbonates de sodium - acide ascorbique-sulfate de magnésium agent de charge : isomalt - carbonate de calcium carbonate de magnésium - agent de charge:2 sorbitol - arôme orange - nicotinamide - chlorure de sodium - colorants : bêta-carotène', 'rouge de Die betterave - citrate de zinc-pantothenate de Po He calcium-édulcorants : aspartame', 'acésulfame de potassium-riboflavine-5-phosphate de sodium 3 minéraux Calcium Magnésium 100 mg Zinc VNR:']","[""Pourrait contenir de l'huile de palme""]",?,?,,?,,?,,?,,,['Bayer'],['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 comprimés,"['Plastique', 'carton']",,"['E330 - Acide citrique', 'E953 - Isomalt', 'E160ai - Bêta-carotène', 'E951 - Aspartame', 'E950 - Acésulfame K']",,4,,['France'],,,,
1564,sauce basilic - Panzani - 400g,08298825,['France'],[],[],?,?,,?,,?,,?,,,['Panzani'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400g,['Verre'],,,,,,,,,,
1565,00018586,00018586,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,sauce bolognaise - champlar,10108772,['France'],[],[],?,?,,?,,?,,?,,,['Champlar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Barre-repas,3665069002791,['France'],[],[],?,387,1619 kj(387 kcal),13,"1,3",46,28,21,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Thé vert biologique gingembre citron et citron vert - Plantasia,3554740201212,['France'],[],[],?,0,0 kj(0 kcal),"0,1",0,"0,2","0,05","0,05",,,['Plantasia'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Thé vert supérieur de Chine,3558825551001,['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Yogurt Vipiteno Ananas,8007735007306,['France'],[],[],?,103,431 kj(103 kcal),"3,7","2,6",13,12,"3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Pommes de terre bio Aldi,2006050023967,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Shandong wheatsun Food,6925487975136,['France'],[],[],?,346,1448 kj(346 kcal),"1,1",0,8,4,"11,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,06411535,06411535,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,Whole Mixed peppercorns,0071072003633,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Huile d’olive didon,6191523803385,['France'],[],[],?,1212,5071 kj(1212 kcal),100,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,3401599453920,3401599453920,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,Dextro Energy Cranberry Ltd. edition 46 g,42209928,['France'],[],[],?,367,1536 kj(367 kcal),1,1,90,81,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Biscuit glacé,5601312048701,['France'],[],[],?,524,2192 kj(524 kcal),28,14,61,30,6,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Cotswold Health Products Pure Carob Powder,5027393000146,['France'],[],[],?,265,1109 kj(265 kcal),"0,5","0,125",32,13,"4,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Pain Multigraines,3662191003962,['France'],[],[],?,204,854 kj(204 kcal),"3,9","0,4",35,"1,1","6,3","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Thym Laurier 20 grammes,3760031710091,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Fleischkäse,4001956312885,['France'],[],[],?,267,1117 kj(267 kcal),"23,5","9,2",1,1,"12,8","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Pâté campagne supérieur 212g,2212400015227,['France'],[],[],?,306,1280 kj(306 kcal),26,10,4,1,14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Buldak Cheese,8801073141780,['France'],[],[],?,550,2301 kj(550 kcal),18,9,7,7,13,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,Champignons noirs séchés,3760204870218,['France'],[],[],?,205,858 kj(205 kcal),"1,5","0,3","35,7","0,3","12,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,Paris Brest 8 parts,2030503403983,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,Tisane THYM CITRON-SUREAU,7640102404578,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Poitrine de dinde,7290014046269,['France'],[],[],?,106,444 kj(106 kcal),2,"0,7",4,0,18,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Sardines sans huile,3019081241438,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,TRANCHETTE DE FILET DE POULET CUIT ROTI SURGELE - Rest'or chef - 1KG,3499150317125,['France'],"['Filet de poulet sans peau ', '94%', 'amidon de riz', 'dextrose', 'sel', 'stabilisant : E451', 'épaississant : carraghénane']",[],470,111,470 kj(111 kcal),"1,9","0,7","2,3","0,7",21,"1,1","0,44","[""Rest'or chef""]","['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,1.9 g,en faible quantité,0.7 g,en faible quantité,0.7 g,en faible quantité,1.1 g,en quantité modérée,-3%,-15%,-13%,-34%,-6%,+380%,+188%,-8%,+47%,+47%,0,,B,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,TRANCHETTE DE FILET DE POULET CUIT ROTI SURGELE,1KG,['Sachet'],,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['ABSENCE'],4,,,,http://www.restorchef.com,,
1591,Raisins secs golden jumbo,3700056703968,['France'],[],[],?,336,1406 kj(336 kcal),"0,4","0,2",82,59,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,Fanta Lattina CL. 33,5449000006332,['France'],[],[],?,48,201 kj(48 kcal),0,0,"11,8","11,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,Aceto di mele,8015352319856,['France'],[],[],?,16,67 kj(16 kcal),0,0,10,"0,1","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,2 Escalopes de dindes,0211110028017,['France'],[],[],?,?,,?,,?,,?,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
1595,Blätterteig (pâte feuilletée) - Alnatura,4104420213715,['France'],[],[],?,364,1523 kj(364 kcal),22,13,31,"1,1","6,5","0,9","0,36",['Alnatura'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,Poivre noir entier,3102870039955,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Vache qui rit 8 portion,3073781100686,['France'],[],[],?,239,1000 kj(239 kcal),"18,5","3,9","6,5","1,4","11,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Ülker Pötibör bisküvi,8690504017264,['France'],[],[],?,451,1887 kj(451 kcal),14,"6,8",72,21,"8,1","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Graine de courge,3418659104203,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Fruits a tartiner - Lidl,4056489189008,['France'],[],[],?,163,682 kj(163 kcal),"0,1","0,1",39,"36,2","0,4","0,2","0,08",['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Natura chiama uova fresche di vario calibro biologiche,8003100890689,['France'],[],[],?,128,536 kj(128 kcal),"8,7","3,2","0,5",0,"12,4","0,3","0,12",,"[""Produits d'élevages"", 'Œufs', 'Œufs frais']",,8.7 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,0.3 g,en quantité modérée,,-8%,-8%,-4%,+49%,-22%,-100%,+1%,+33%,+33%,0,,B,,D,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,
1602,Chocolat au lait et granulés de noisettes,5415248100118,['France'],[],[],?,552,2310 kj(552 kcal),"34,2","19,3","52,8","51,3","6,8","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,pain de mie - Mannapain - 550g,02591278,['France'],[],[],?,?,,?,,?,,?,,,['Mannapain'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Pain grillé en tranches multicéréale']",['Sans huile de palme'],,,,,,,,,,,,,,,,,,,,,,,B,40.0%,33.6%,15.5%,9.5%,1.4%,0.0%,97,,550g,['Plastique'],,,,,,,,,,
1604,Oignon,3450970178020,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,8029689006488,8029689006488,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Puppy Bones,5400116901713,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Sel du marais,3770001563022,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Cereabel senza zuccheri aggiunti,8000590105309,['France'],[],[],?,426,1782 kj(426 kcal),16,5,66,"1,5",10,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Hot Chilli Pepper Large Gr. 140gr,5030101015011,['France'],[],[],?,309,1293 kj(309 kcal),"3,5","0,6",50,16,10,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Oedles,0025675302334,['France'],[],[],?,337,1410 kj(337 kcal),"2,4","2,2",79,52,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Chocolat Extra Fin au Lait Sucré avec du Maltitol,6194005447725,['France'],[],[],?,100,418 kj(100 kcal),"34,6","16,07",15,"8,33","7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Mines à cuire,3760077742421,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Latte più giornIGParzialmente scremato,8002670160253,['France'],[],[],?,?,,?,,?,,?,"0,5","0,2",,"['Produits laitiers', 'Laits', 'Laits écrémés']",,,,,,,,0.5 g,en quantité modérée,,,,,,,,,+178%,+178%,,,,,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,
1614,Rasberry cheesecake - Leone - 300gr,3830053875778,['France'],[],[],?,168,703 kj(168 kcal),"9,2","6,9",15,"3,2","9,2","0,22","0,088",['Leone'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Glace en pot']",,9.2 g,en quantité modérée,6.9 g,en quantité élevée,3.2 g,en faible quantité,0.22 g,en faible quantité,,-29%,-29%,-30%,-15%,-40%,-86%,+151%,+3%,+3%,3,-79%,C,-79%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,300 gr,,,,,,,,['Italie'],,,
1615,Jus d’Orange,3516130001895,['France'],[],[],?,40,167 kj(40 kcal),0,0,"9,5",9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Caramel syrup for coffee,9420055047385,['France'],[],[],?,323,1351 kj(323 kcal),0,0,78,78,0,"0,075","0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Oeuf,3282620110216,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,8421364000710,8421364000710,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Succo di limone - Selex,8003100884794,['France'],[],[],?,31,130 kj(31 kcal),0,0,"7,4","1,6","0,3",,,['Selex'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,0 g,en faible quantité,0 g,en faible quantité,1.6 g,en faible quantité,,,,+15%,+16%,-100%,-100%,+107%,-4%,-11%,,,,,,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
1620,Granulés lapin nain,3663889003509,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Noix de macadamia - 100g,3760135236619,['France'],[],[],?,741,3100 kj(741 kcal),74,12,6,"4,6","9,4",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de Macadamia']",,74 g,en quantité élevée,12 g,en quantité élevée,4.6 g,en faible quantité,,,,+2%,+2%,+2%,+6%,-27%,-1%,+13%,,,,,,,D,93.0%,1.3%,2.5%,1.5%,1.7%,0.0%,37,,100 g,,,,,,,,,,,
