,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
1466,Gravy Browing,0733553091552,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Ensalada Variada - Coviran,8422823518111,['Coviran'],"['France', 'Espagne']",[],,[],,?,20,84 kj(20 kcal),"0,1","0,1",3,2,1,"0,13","0,052",,,['Salades'],0.1 g,en faible quantité,0.1 g,en faible quantité,2 g,en faible quantité,0.13 g,en faible quantité,,-86%,-86%,-99%,-92%,-68%,-9%,-80%,-84%,-84%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,
1468,Fresh Cola limited edition,87333152,,['France'],[],,[],,?,389,1628 kj(389 kcal),"1,9","1,9",92,69,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Mix de champignons biologiques,3700789600503,,['France'],[],,[],,?,21,88 kj(21 kcal),"0,36","0,07","1,33","1,06","2,62",0,0,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,Fromage frais  0% -,3286151301907,,['France'],[],,[],,?,41,172 kj(41 kcal),0,0,"4,5","4,2","5,4","0,1","0,04",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",0 g,en faible quantité,0 g,en faible quantité,4.2 g,en faible quantité,0.1 g,en faible quantité,,-72%,-73%,-100%,-100%,-17%,-12%,-20%,-70%,-70%,-3,-173%,A,-173%,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['FR 01.154.001 CE', 'Étrez (Ain, France)']",,,,,
1471,Katsuo Dashi Powder (bonito Soup Stock Powder),4903065061770,,['France'],[],,[],,?,230,962 kj(230 kcal),"0,8","0,4",33,"20,2","24,9","43,5","17,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Orange maltaise - Auchan,3254560413245,['Auchan'],['France'],[],,[],,?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,
1473,Aubergines frites - Tamtad,8690518058000,['Tamtad'],['France'],[],,[],,?,157,657 kj(157 kcal),12,"0,14",10,0,"2,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Bontanova,8024370004705,,['France'],[],,[],,?,71,297 kj(71 kcal),"0,9","0,5",12,12,"2,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,Quinoa Pops,4061458065849,,['France'],[],,[],,?,382,1598 kj(382 kcal),"5,2","1,1","66,2","1,2",13,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Life - Quaker,0030000562376,['Quaker'],"['France', 'États-Unis']","['Whole grain oat flour', 'sugar', 'corn flour', 'whole wheat flour', 'rice flour', 'salt', 'calcium carbonate', 'disodium phosphate', 'reduced iron', 'niacinamide*', 'zinc oxide', 'bht ', 'preservative', 'yellow 5', 'yellow 6', 'thiamin mononitrate*', 'riboflavin*', 'pyridoxine hydrochloride*', 'folic acid*']","['E339ii - Phosphate disodique', 'E321 - Butylhydroxytoluène', 'E102 - Tartrazine', 'E110 - Jaune orangé S']",['Sans huile de palme'],4,?,375,1569 kj(375 kcal),"3,13",0,"78,13","18,75","9,38","1,27","0,508",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",3.13 g,en quantité modérée,0 g,en faible quantité,18.8 g,en quantité élevée,1.27 g,en quantité modérée,,+8%,+7%,-45%,-100%,+33%,+230%,-1%,+322%,+322%,8,+391%,C,+391%,,,,,,,,,,,,,,,,The Quaker Oats Company,,,,
1477,Confiture clémentine-pomme aux éclats de noix & noisette - J'Aime Boc'Oh,3770008034211,"[""J'Aime Boc'Oh""]",['France'],[],,[],,?,219,916 kj(219 kcal),3,0,55,54,1,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",3 g,en quantité modérée,0 g,en faible quantité,54 g,en quantité élevée,0 g,en faible quantité,,+1%,+1%,+903%,-100%,+6%,+7%,+82%,-100%,-100%,11,+15%,D,+15%,,,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
1478,Poudre du fruit de baobab,6101528000016,,['France'],[],,[],,?,16,67 kj(16 kcal),0,0,4,0,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Warp boeuf emmental - Carrefour,3560071165901,['Carrefour'],['France'],[],,[],,?,238,996 kj(238 kcal),13,"5,9",18,"1,4",11,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 49331H', 'Segré (Maine-et-Loire, France)']",,['Carrefour'],,,
1480,Ye Olde Oak Yoo American Jumbo Hot Dogs 560G,5010431600903,,['France'],"['saucisse hotdogs style americain 560g ', '116816', ' ngredients: grosses saucisses à hot dog de style américain: 82 oulet ', 'découpé mécaniquement', 'eau', 'amidon de pomme de tere et', 'collagène de boeuf', 'boyau', 'protéines hydrolysées de soje à le saveur fumée', 'stabilisant ', 'e451', '1', 'épices', 'amidon de mais', 'suce épaississents ', 'e412', 'antloxydant ', 'e316', 'conservateur ', 'e250', 'liquide de conservation: eau', 'arôme fumé', 'info allergie pour les allergènes', 'voir les ingrédients en curactères gras', 'contient du soja', 'peut également contenir des traces de lait', 'gluten', 'ceuf', 'céleri', 'mout arde', ""mode d'emplui: ve ser le contenu de la boite"", 'y compris le liquide', 'dans une casserole et laisser chauffer entement pendant environ 5 minutes', 'egoutter et servir', 'ate pas utiliser si les sachet sont ouvert ou endommagesvaleur de références pour un adulte en moyenne: energie ', 'kj', ' 8400 energie ', 'kcal', ' 2000', ""conserver dans un endroit sec et frais à l'abri de la kumière"", 'ne pas conserver dans la boite']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],4,?,132,552 kj(132 kcal),"7,5","2,3","4,6","0,3",12,"2,4","0,96",['Contient du soja'],,,,,,,,,,,,,,,,,,,,,,,,,['steel-tin'],,,,,,,,,,,,,,,,,,,
1481,GoGo SQUEEZ,3021760405321,,['France'],[],,[],,?,67,280 kj(67 kcal),"0,5","0,2",14,13,"0,5","0,01","0,004",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Bonbons gélifiés à la cerise,20458386,,['France'],"['gb/e cherry flavoured heart-shaped jelly sweets', 'ingredients glucose syrup', 'sugar', '10% cherry juice from concentrate', 'pork gelatine', 'acids: citric acid', 'lactic acid', 'fruit and vegetable concentrates ', 'elderberry', 'blackcurrant', 'black carrot', 'sweet potato', 'radish', 'apple', 'natural flavouring', 'glazing agents: beeswax white and yellow', 'carnauba wax,']","['E428 - Gélatine', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E903 - Cire de carnauba']","['Non végétalien', 'Non végétarien']",4,?,335,1402 kj(335 kcal),"0,1","0,1",77,45,"5,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,PENNE 4 fromages aux petits légumes - Iglo - 450g,5414807000913,['Iglo'],"['Belgique', 'France']","['4-kazensaus 44% ', 'water', 'kazen 16% ', 'melk', ' [Emmenthal 39%', 'Italiaanse harde kaas 28%', 'Mozzarella 22%', 'Gorgonzola 11%', 'room ', 'melk', 'zonnebloemolie', 'magere melkpoeder', 'tarwemeel', 'gemodificeerd maiszetmeel', 'zout', 'groentebouillon ', 'zout', 'gistextract', 'aardappelzetmeel', 'zonnebloemolie', 'groente-extracten ', 'selder', 'ui', 'prei', 'tomaat', 'wortel', 'uipoeder', 'knoflook', 'kruiden', 'specerijen', 'peper]', 'Gekookte pasta 38% [harde tarwesemolina', 'water]', 'Groenten in wisselende verhoudingen 16% [broccoli 57%%', 'erwten 29%', 'tomatenblokjes 14%]', 'Geraspte Emmenthat 2% ', 'melk', ' Sauce 4 Fromages 44% ', 'eau', 'fromages 16% ', 'lait', ' [Emmental 39%', 'fromage dur Italien 28%', 'Mozzarella 22%', 'Gorgonzola 11%', 'crème ', 'lait', 'huile de tournesol', 'lait maigre en poudre', 'farine de blé', 'amidon modifié de maïs', 'sel', 'bouillon de légumes ', 'sel', 'extrait de levure', 'amidon de pommes de terre', 'huile de tournesol', 'extraits de légumes ', 'céleri', 'oignons', 'poireaux', 'tomates', 'carottes', ""poudre d'oignons"", 'ail', 'plantes aromatiques', 'épices', 'poivre]', 'Pâtes cuites 38% [farine de blé dur', 'eau]', 'Légumes en quantités variables 16% [brocolis 57%', 'petits pois 29%', 'dés de tomates 14%', 'Emmental rapé 2% ', 'lait']",['E14XX - Amidons modifiés'],['Non végétalien'],4,?,154,644 kj(154 kcal),"7,11","3,11","15,8","1,6",6,"0,444","0,178","['Sans colorants', 'Sans conservateurs']",450 g,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Céleri', 'Gluten', 'Lait']",,,,,,,,,,,,,['Delhaize'],,,
1484,Soda aromatisé à l'anis,3700004202031,,['France'],[],,[],,?,120,502 kj(120 kcal),0,0,"28,78","24,85",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Pimenton El Colorin De La Vera Lata Picante 125GR,8429127251089,['El Colorín'],"['France', 'Espagne']",[],,[],,?,428,1791 kj(428 kcal),"15,4","2,4","56,5","9,1","15,8","0,1","0,04","['en:gluten-free', 'Point Vert']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Paprika']",15.4 g,en quantité modérée,2.4 g,en quantité modérée,9.1 g,en quantité modérée,0.1 g,en faible quantité,,+222%,+190%,+151%,+153%,+290%,+215%,+143%,-19%,-19%,,,,,,,,,,B,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,
1486,Fix Letscho Soße - Bautz´ner - 400ml,4012860007774,['Bautz´ner'],"['France', 'Allemagne']",[],,[],,?,?,,?,,?,,?,,,,400ml,,,,,,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,,,,,,,,,,,,,,,
1487,Davidstow Cornish Cheddar Matire - Waitrose,5000169356678,['Waitrose'],['France'],[],,[],,?,416,1741 kj(416 kcal),"34,9","21,7","0,1","0,1","25,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,GINGER BEER - Bundaberg - 375ml,9311493003050,['Bundaberg'],['France'],"['EAU GAZÉIFIÉE', 'SUCRE', 'RACINE DE GINGEMBRE', 'ARÔMES NATURELS', 'ACIDIFIANT ', 'ACIDE CITRIQUE', 'LEVURE', 'CONSERVATEURS ', 'E202', 'E211', 'ANTIOXYDANT ', 'ACIDE ASCORBIQUE']","['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,184,44,184 kj(44 kcal),0,0,"10,8","10,8",0,"0,011","0,004",,375 ml,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,10.8 g,en quantité élevée,0.011 g,en faible quantité,-59%,-48%,-50%,-100%,-100%,-45%,-41%,-100%,-71%,-71%,15,+26%,E,+26%,,,,,,,,,,,,,,,,,,,,
1489,Diet indian tonic water - Schweppes,9315596006338,['Schweppes'],"['Australie', 'France']","['carbonated water', 'food acid ', '330', '331', 'flavour ', 'orange & lemon peel extracts', 'citrus oils', 'botanical extracts', 'sweeteners ', '951', '950', 'quinine', ' phenylketonurics: contains phenylalanine', ' contains quinine', ' de in australia from local and importedi vices are trade madic']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E951 - Aspartame', 'E950 - Acésulfame K']",[],4,?,7,29 kj(7 kcal),0,0,0,0,0,"0,031","0,012",,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.031 g,en faible quantité,,-75%,-75%,-100%,-100%,-100%,-100%,-100%,+238%,+238%,1,-89%,B,-89%,,,,,,,,,,,,,,,,,"['Woolworths', 'Coles']",,,
1490,Spaghetti alle Cinque P - Coop,7613331175175,['Coop'],['France'],[],,[],,?,188,787 kj(188 kcal),10,"5,6",18,2,"6,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Olive et ail frais presses,3547130084298,,['France'],[],,[],,?,900,3766 kj(900 kcal),"99,8","15,1",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Condiment tartufo bianco,8006614282650,,['France'],[],,[],,?,182,761 kj(182 kcal),0,0,40,39,1,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Pur jus de pomme-fraise,3760270310281,,['France'],[],,[],,?,37,155 kj(37 kcal),0,0,"8,9","7,5",0,"0,036","0,014",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Deli ziege + Pasta,4311527571758,,['France'],[],,[],,?,178,745 kj(178 kcal),"13,5","2,4","10,1","2,8","3,6","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Al-rifai Tins Classic Mix -,5281026350514,,['France'],[],,[],,?,515,2155 kj(515 kcal),0,0,45,8,20,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Flétan fumé,3346890003231,,['France'],[],,[],,?,163,682 kj(163 kcal),"8,7","1,5",0,0,"21,1",3,"1,2",,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Flétan fumé']",8.7 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,3 g,en quantité élevée,,-11%,-11%,-35%,-43%,-100%,-100%,+38%,+14%,+14%,13,+6%,D,+6%,,,,,,,,,,,,,,,,,,,,
1497,Cake avec pepites de chocolat - Carrefour,3560071092542,['Carrefour'],['France'],[],,[],,?,453,1895 kj(453 kcal),27,16,43,35,"7,2","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 17300W', 'Rochelle (Charente-Maritime, France)']",,['Carrefour'],,,
1498,Crema spalmabile nocciole - Selex,8003100844446,['Selex'],['France'],[],,[],,?,528,2209 kj(528 kcal),"29,2",10,"58,4",57,"6,1","0,13","0,052",['Sans gluten'],,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",29.2 g,en quantité élevée,10 g,en quantité élevée,57 g,en quantité élevée,0.13 g,en faible quantité,,-4%,-4%,-14%,+30%,+14%,+19%,-11%,+26%,+26%,25,+21%,E,+21%,,,,,,D,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,
1499,Mini baroun de chevre,3438020603685,,['France'],[],,['Sans huile de palme'],,?,276,1155 kj(276 kcal),"21,8","11,6","1,3",1,"18,6","2,2","0,88","['Sans arômes artificiels', 'Sans colorants', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Taboulé blanc orientale,3760194320038,,['France'],[],,[],,?,129,540 kj(129 kcal),"11,5","1,7","21,9","2,6","4,2","1,22","0,488","['Sans colorants', 'Sans conservateurs']",,"['Plats préparés', 'Taboulés']",11.5 g,en quantité modérée,1.7 g,en quantité modérée,2.6 g,en faible quantité,1.22 g,en quantité modérée,,-23%,-23%,+78%,+138%,+3%,-20%,-5%,+29%,+29%,5,+84%,C,+84%,,,,,,B,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,
1501,Slim citron,6130695113090,,['France'],[],,[],,?,41,172 kj(41 kcal),0,0,"10,2","10,2","0,1","0,032","0,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Chocolat et gele,7616500160088,,['France'],[],,[],,?,437,1828 kj(437 kcal),13,"8,2",77,63,"2,4","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Yogourt au birchermuesli - Volg,7610198012551,['Volg'],['France'],[],,[],,?,101,423 kj(101 kcal),3,"1,8",15,13,3,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Beurre (salé),0066096123306,,"['Canada', 'France']","['per 2 tsp ', '10g', ' /pour2', 'aue g', ' amount teneur calories/calories 70 12% fat/lipides 8 g saturated/saturés 5 g  trans/trans 0', '3 g %27% cholesterol / cholestérol 20 mg 7% sodium/sodium 75 mg %3% carbohydrate / glucides 0 g fibre/fibres 0g 0% sugars/sucres 0 g protein/protéines 0g vitamin a/ vitamine a % 0% vitamin c/ vitamine c 0% calcium/calcium 0% iron/fer ingredncere', 'sel contiert 2037656 2609']",,[],,?,700,2929 kj(700 kcal),80,50,0,0,0,"1,875","0,75",,,,,,,,,,,,,,,,,,,,,,,,,,['Brique'],,,,,,,,,,,,,,,,,,,
1505,Spaghetti au blé complet bio - Bio Sonne - 500g,20236182,['Bio Sonne'],"['République tchèque', 'France', 'Allemagne']",[],,[],,1471,348,1471 kj(348 kcal),2,"0,5",67,3,12,"0,01","0,004","['Bio', 'Bio européen', 'DE-ÖKO-001', 'en:EG-Öko-Verordnung', 'Agriculture UE', 'de:dlg-silberner-preis-2020']",500g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Pâtes alimentaires', 'Spaghetti', 'Nouilles de blé complet']",2 g,en faible quantité,0.5 g,en faible quantité,3 g,en faible quantité,0.01 g,en faible quantité,-2%,-1%,-1%,+14%,+35%,-3%,+1%,+2%,-59%,-59%,-6,,A,,"['Beutel', 'Kunststoff', '05', 'PP']",,['Erfurt'],,,,,,,,,,,,,,['Norma'],,,
1506,Champagne Brut,3556860000164,,['France'],[],,[],,?,55,230 kj(55 kcal),0,0,1,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Kasekuchen,4316268530033,,['France'],[],,[],,?,253,1059 kj(253 kcal),"11,7","3,4","29,9","16,8","6,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Mortadella Skiver 100 GR.,8004767009452,,['France'],[],,[],,?,238,996 kj(238 kcal),24,"9,4","0,7","0,7",16,"2,53","1,012","['en:gluten-free', 'Fabriqué en Italie', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Haricots blancs,3700238304501,,['France'],[],,[],,?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Zuegg Confett. leggera Fragole GR. 230 -,80322825,,['France'],"['100% da Frutt Valores nutricionais médios por 100 a |por 10g ', 'porção] 420K¡/']",,[],,?,99,414 kj(99 kcal),0,0,"23,61","21,6","0,44","0,096","0,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Veloute de chataignes - M. de Turenne,3339332500634,['M. de Turenne'],['France'],"['Eau', 'châtaignes ', '14%', 'oignons', ' pomme de terre', 'crème fraîche ', 'protéine de lait', 'amidon de maïs ', 'sel', 'bouillon de legumes ', 'sel de mer', 'farine de riz complète', 'légumes ', '11%', ' ', 'oignons ', '3,5%', 'carotte ', '3', '4%', 'céleri', 'oignons grillés', 'panais', ' extrait de levure', 'huile de tournesol', 'curcuma', ' persil', 'macis', 'poivre', 'laurier', 'feuilles de livèche']",,['Non végétalien'],4,214,51,214 kj(51 kcal),"1,5","0,8","8,2","0,5","0,5","0,27","0,108",['Bio'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",1.5 g,en faible quantité,0.8 g,en faible quantité,0.5 g,en faible quantité,0.27 g,en faible quantité,+34%,+31%,+31%,-3%,+32%,+72%,-73%,-41%,-58%,-58%,1,-25%,B,-25%,,,,"['Céleri', 'Lait']",,B,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,
1512,275G Bouillon Crustaces Ariake - 275g,3760169640024,['Ariake'],['France'],"['Crustacés ', '50', '7%', ' : extrait de langoustine ', 'langoustine eau', 'crevette ', 'crevette', 'eau', 'sel', ' chair de poisson', 'extrait de levure', 'légumes ', 'tomate', 'oignon', 'sel', 'sucre', 'fibres de blé', 'antioxydants: extraits riches en tocophérols']",['E306 - Extrait riche en tocophérols'],"['Non végétalien', 'Non végétarien']",,?,3.93,16 kj(3 kcal),"0,01","0,01","0,43","0,17","0,54","0,6","0,24","['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",275 g,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Crustacés', 'Gluten']",,,,,,,,,,,,,,,,
1513,L'Odyssée chaucolatée de l'ourson guimauve,3663350071822,,['France'],[],,[],,?,406,1699 kj(406 kcal),11,"6,5",74,56,"3,7","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Wafers al cacao - Crich,8008620005001,['Crich'],['France'],[],,[],,?,505,2113 kj(505 kcal),26,23,61,26,"6,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Frites Our chef - McCain,3256830002357,['McCain'],['France'],[],,[],,?,127,531 kj(127 kcal),"4,5","0,5",18,"0,5",2,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Mini Rolls with Spinach and Cheese,8690612502997,,['France'],[],,[],,?,326,1364 kj(326 kcal),"14,5","6,3","42,4","11,1","5,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Crème de légumes - Knorr,8711200369874,['Knorr'],['France'],[],,[],,?,67,280 kj(67 kcal),"3,3",2,"7,9","3,5","0,9","0,66","0,264",['Fabriqué en Italie'],,"['Plats préparés', 'Soupes']",3.3 g,en quantité modérée,2 g,en quantité modérée,3.5 g,en faible quantité,0.66 g,en quantité modérée,,+18%,+18%,+70%,+231%,+37%,+102%,-59%,-24%,-24%,3,+83%,C,+83%,,,,,,,,,,,,,,,,,,,,
1518,Knorr Bouillon de viande 66 tablettes - 10g (660g),8712100709685,['Knorr'],"['Belgique', 'France']","['Sel', 'exhausteurs de goût ', 'E621', 'E631', 'E627', 'graisse de palme', 'graisse de palme totalement hydrogénée', 'extrait de levure', 'arômes', 'extrait de viande de boeuf ', '2,1%', 'maltodextrine', ""huile d'olive vierge extra"", 'sirop de caramel', 'graine de CÉLERI']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,20,5,20 kj(5 kcal),"0,5","0,3","0,5","0,5","0,5","1,1","0,44",,10 g (660 g),,,,,,,,,,,,,,,,,,,,,,,,['Wrapper'],,,['Céleri'],,,,,,,,,,Bouillon de viande en tablettes,,,,['Huile de palme'],,
1519,Poireaux coupes 40/60 surgelé,3307070065975,,['France'],[],,[],,?,27,113 kj(27 kcal),"0,5","0,1","2,9","2,2","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,"Energy Cake Bananenchips, Mit Mohn Und Sesam",4260144928608,,['France'],[],,[],,?,474,1983 kj(474 kcal),"22,1",12,"58,1",11,"8,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Tourte riesling - Produits de la Cigogne,3527480042254,['Produits de la Cigogne'],['France'],[],,[],,?,216,904 kj(216 kcal),12,"6,5",14,3,13,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Lin doré - La Vie Claire - 500g,3266191125299,"['La Vie Claire', 'Graines de Gascogne']",['France'],['Lin doré'],,[],,2013,487,2013 kj(487 kcal),36,"4,1","5,9","2,7",22,"0,093","0,037","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Lins', 'Graine de lin doré']",36 g,en quantité élevée,4.1 g,en quantité modérée,2.7 g,en faible quantité,0.093 g,en faible quantité,,-0%,+1%,-2%,+20%,-42%,+99%,+12%,+16%,+16%,0,-100%,B,-100%,['Sachet kraft et plastique'],"['France', 'Gers']",,,,C,87.9%,0.0%,4.6%,2.5%,3.1%,1.9%,35,,,,['La Vie Claire'],,,
1523,Camarons - Heudebert,3487253060239,['Heudebert'],['France'],[],,[],,?,94,393 kj(94 kcal),"0,3","0,233","0,03","0,03","0,023",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
