,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
1435,Argolinhas de coco,5601902200335,['France'],[],[],?,418.79998779297,1752 kj(418 kcal),"9,6","4,2","75,9","35,5","6,16","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436,Danette chocolat base noisette,990530101022527693,['France'],[],[],?,111,464 kj(111 kcal),"3,6","0,7","17,6","12,3","1,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,Castellane,3307484001378,['France'],[],[],?,415,1736 kj(415 kcal),17,"2,3",57,"6,7","6,7","2,05","0,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,Pur jus de pomme,3397515000005,['France'],[],[],?,40,167 kj(40 kcal),5,1,12,11,5,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Terre y fruits,3760177748453,['France'],[],[],?,343.89999389648,1439 kj(343 kcal),"7,14","7,14","57,82","55,7","12,01","0,252","0,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,Black Raw (best mass all time),0716165280972,['France'],[],[],?,187,782 kj(187 kcal),0,0,"0,8","0,6",36,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,Saveur d'été,2244330041595,['France'],[],[],?,207,866 kj(207 kcal),"15,3","4,6",1,"0,9","17,2","0,448","0,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,Cuisses de poulet,0215063016404,['France'],[],[],?,203,849 kj(203 kcal),15,"4,3",0,0,17,"0,21","0,084",,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,15 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,0.21 g,en faible quantité,,+6%,+6%,+21%,+28%,-100%,-100%,-8%,-72%,-72%,1,-72%,B,-72%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1443,8 minis beignets fourres chocolats noisettes,0202900022964,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,Ananas extra sweet,2868501018508,['France'],[],[],?,42.381000518799,177 kj(42 kcal),"0,5","0,01",9,"7,1","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,Mélange relaxant,3770008012219,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,Halwa chamia,6194004001560,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,Moutarde poivre noir de Madagascar - Reine de Dijon,3563490017028,['France'],[],[],?,169,707 kj(169 kcal),12,"0,8",4,"2,7","7,8","5,5","2,2",['Reine de Dijon'],,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,12 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,5.5 g,en quantité élevée,,-1%,-0%,+11%,-2%,-42%,-30%,+19%,+17%,+17%,12,+3%,D,+3%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,
1448,Olive bruschetta,5203447640098,['France'],[],[],?,371,1552 kj(371 kcal),40,5,"1,7","0,1","1,2","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,K.c. Chan food factory,0132621194445,['France'],[],[],?,10,42 kj(10 kcal),0,0,1,1,2,"1,575","0,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Gnocchi à poèler,8008375019650,['France'],[],[],?,160,669 kj(160 kcal),"0,5","0,2",35,"0,5",3,"1,5","0,6",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchis cuits', 'Gnocchi à poêler']",,0.5 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,1.5 g,en quantité modérée,,-21%,-21%,-88%,-85%,+5%,-72%,-49%,+14%,+14%,6,+3%,C,+3%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,,,,,,,,,
1451,Huile d’olive,3330147800902,['France'],[],[],?,819,3427 kj(819 kcal),91,"12,8",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,Korean Barbecue,0010082890093,['France'],[],[],?,140,586 kj(140 kcal),3,0,16,15,12,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,Sandwich jambon ramoneur,7613404290262,['France'],[],[],?,269,1125 kj(269 kcal),14,"1,5",25,"2,8",10,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Feuilles d'estragon,4337182068143,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,Paillettes chocolat bio,3278584960080,['France'],[],[],?,508,2125 kj(508 kcal),21,13,71,60,"5,7",0,0,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456,Soda Orange,5901586002929,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,Miel de lavande de provence bio - Les ruchers du soleil,3770012710057,['France'],[],[],?,?,,?,,?,,?,,,['Les ruchers du soleil'],,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1458,Sun Ripened bandana,0627404022010,['France'],[],[],?,356,1490 kj(356 kcal),1,0,92,48,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,Raisin bio,3700530900401,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Miel de lavande -,3770006057045,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1461,Emmental de Savoie,0219743020668,['France'],[],[],?,396,1657 kj(396 kcal),31,0,"0,5","0,5",29,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,jambon à l'ancienne salé à la veine,2264752048415,['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76",,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+6%,+6%,+28%,+20%,+1%,+3%,-1%,-3%,-3%,12,+23%,D,+23%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,
1463,Araignee de porc marinee,3547448748080,['France'],[],[],?,114,477 kj(114 kcal),"4,4",0,"1,1","0,4","17,4","1,36","0,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Filets de canard de Barbarie,2605372076486,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,
1465,Surimi msc et crabe,3418840700887,['France'],[],[],?,434,1816 kj(434 kcal),44,"3,7",49,"1,1","4,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Les aiguillettes canard,2993535002169,['France'],[],[],?,92,385 kj(92 kcal),"0,9","0,2",0,0,21,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Parmesan,3760056260175,['France'],[],[],?,123,515 kj(123 kcal),6,6,17,"0,9",55,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Panito Taralli With Rosemary,8018699019410,['France'],[],[],?,440,1841 kj(440 kcal),14,"2,1",71,"0,5","5,7","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Poivrons doux,3450970111584,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,De la rosa,0724869001397,['France'],[],[],?,233,975 kj(233 kcal),9,1,36,29,4,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Gouda,0239920013184,['France'],[],[],?,364,1523 kj(364 kcal),30,21,"0,5","0,5",23,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Pizza chorizo,0204612045590,['France'],[],[],?,211,883 kj(211 kcal),11,"4,2",18,"2,1","9,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Pavé  au lin,0242729013514,['France'],[],[],?,276,1155 kj(276 kcal),"3,2","0,4",50,"1,5","9,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Pizza la Vegétarienne,0204619045593,['France'],[],[],?,189,791 kj(189 kcal),"7,2","2,8",22,"1,8","8,1",1,"0,4",,,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas végétariennes']",,7.2 g,en quantité modérée,2.8 g,en quantité modérée,1.8 g,en faible quantité,1 g,en quantité modérée,,-17%,-18%,-14%,-29%,-18%,-39%,-21%,-20%,-20%,3,-61%,C,-61%,,,,,,,,,,,,,,,,,
1475,Pavé en Tournedos,0219883035362,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,ACETO BALSAMICO DI MODENA IGP,8032697850011,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,['Italie'],,,,,,,,
1477,Filet de saumon,3700462045966,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Kouign amann,3602826544347,['France'],[],[],?,414,1732 kj(414 kcal),18,12,57,30,"4,1",1,"0,4",,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",,18 g,en quantité modérée,12 g,en quantité élevée,30 g,en quantité élevée,1 g,en quantité modérée,,-8%,-8%,-29%,-27%,+9%,+11%,+3%,+24%,+24%,25,+8%,E,+8%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,,,,,,,,,
1479,Biozisch - Voelkel,4015533037566,['France'],[],[],?,19,79 kj(19 kcal),"0,5","0,1","4,5","4,5","0,1",,,['Voelkel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Jus de pomme pétillant,3760265310036,['France'],[],[],?,?,,?,,?,,?,,,,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme', 'Jus de pomme pétillants']",,,,,,,,,,,,,,,,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,
1481,Pâté de Pomme de Terre,0201960013844,['France'],[],[],?,190,795 kj(190 kcal),11,7,19,"1,1","3,4","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Asperges blanches -,8420683050048,['France'],[],[],?,8.8999996185303,37 kj(8 kcal),"0,1","0,1","2,4","0,9","1,3","0,6","0,24",,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges en conserve', 'Asperges blanches en conserve']",,0.1 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.6 g,en quantité modérée,,-51%,-48%,-56%,+134%,+28%,-32%,-4%,-26%,-26%,-3,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,
1483,Carpaccio - Férial,3661112904630,['France'],[],[],?,102,427 kj(102 kcal),"7,1","1,4","0,4","0,3","9,2","0,2","0,08","['Férial', 'Marque Repère']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,
1484,Room crème,5410751765472,['France'],[],[],?,299,1251 kj(299 kcal),27,19,"11,8","11,8","2,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Saumon fumé bio,3760023266018,['France'],[],[],?,?,,?,,?,,?,,,,,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,
1486,Pasta italiana,8005900130484,['France'],[],[],?,355,1485 kj(355 kcal),"1,5","0,3",72,"3,2",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Glace,3475880123120,['France'],[],[],?,222,929 kj(222 kcal),12,"7,3",25,24,"4,2","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Chewy candies,8411402285384,['France'],[],[],?,335,1402 kj(335 kcal),"2,4",1,"75,9","46,4","2,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Boudin Basque,2297409022179,['France'],[],[],?,248,1038 kj(248 kcal),20,"6,8",1,1,18,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,2052305034448,2052305034448,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,2051765038379,2051765038379,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Moutarde au basilic,3441260004662,['France'],[],[],?,203,849 kj(203 kcal),14,1,"9,4","5,2","9,2","5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Amamdes Grillée au Curry,2600334027223,['France'],[],[],?,634,2653 kj(634 kcal),55,4,"5,7","1,8",24,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Crema di balsamico,8053676829408,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Amigos de Mexico poivrons et oignons grillés,3351700074158,['France'],[],[],?,37,155 kj(37 kcal),"0,2",0,"7,8","4,7","0,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Olives sauce pistou,2282656020931,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Jambon sec sup aveyron,2693025073401,['France'],[],[],?,159,665 kj(159 kcal),6,"2,2","0,5","0,5",26,"5,7","2,28",,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,6 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,5.7 g,en quantité élevée,,-32%,-32%,-53%,-55%,-15%,+33%,-10%,+14%,+14%,13,-22%,D,-22%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,
1498,Delice d’anchoiade,03857069,['France'],[],[],?,582,2435 kj(582 kcal),61,"5,4","1,2","0,5","7,6","6,2","2,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Rillettes de maquereau,3760276024014,['France'],[],[],?,269,1125 kj(269 kcal),22,11,"2,9",1,12,"1,07","0,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Lait de coco -,8711000344880,['France'],[],[],?,186,778 kj(186 kcal),18,16,"3,5",2,"1,5",,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",,18 g,en quantité élevée,16 g,en quantité élevée,2 g,en faible quantité,,,,+18%,+19%,+15%,+18%,+26%,+19%,+18%,,,,,,,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,,,,,,,,,
1501,"Tartinade ""houmous alsacien""",3760037490911,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Terrine de campagne à l’ancienne au piment d’Espelette,3441700283381,['France'],[],[],?,292,1222 kj(292 kcal),22,10,"4,5","2,2",19,"1,3","0,52",,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,22 g,en quantité élevée,10 g,en quantité élevée,2.2 g,en faible quantité,1.3 g,en quantité modérée,,-10%,-9%,-22%,-7%,+97%,+153%,+36%,-19%,-19%,17,-12%,D,-12%,,,,,,,,,,,,,,,,,
1503,Le boudin noir de papi,3760261831085,['France'],[],[],?,205,858 kj(205 kcal),15,"6,3","1,9",1,15,"0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,GustoPiù,8014347005439,['France'],[],[],?,77,322 kj(77 kcal),0,0,"20,1","11,1","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Filet de dinde -,2276702035680,['France'],[],[],?,105,439 kj(105 kcal),"1,4","0,4",0,0,23,"0,19","0,076",,,D,"['Viandes', 'Volailles', 'Dindes', 'Filets de dinde']",,1.4 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.19 g,en faible quantité,,-3%,-4%,-6%,-26%,-100%,-100%,+5%,-85%,-85%,-4,-282%,A,-282%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1506,Saucisson,2785015003403,['France'],[],[],?,407,1703 kj(407 kcal),"33,3","11,5","0,6","0,5","26,2",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Miel de lavande,3700816506303,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1508,Ptit’oc,3166780040173,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Pain au deigle,0203501006568,['France'],[],[],?,238,996 kj(238 kcal),"0,9","0,1",46,"1,4",8,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Quenelles fraîches nature,3235811030046,['France'],[],[],?,291,1218 kj(291 kcal),21,3,18,0,7,1,"0,4",,,C,"['Plats préparés', 'Quenelles', 'Quenelles nature']",,21 g,en quantité élevée,3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,+29%,+31%,+46%,-29%,+12%,-100%,+4%,-5%,-5%,5,-36%,C,-36%,76.7%,10.9%,5.4%,4.0%,2.4%,0.6%,65,,,,,,,,,,
1511,Picodon,3589127392566,['France'],[],[],?,335,1402 kj(335 kcal),26,19,2,"1,5",20,"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Sirop de sureau,3760174258221,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Banane de conard ville,0207210011547,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Malloreddus,8010341009305,['France'],[],[],?,350,1464 kj(350 kcal),"1,2","0,2",70,"3,7",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,4061459400205,4061459400205,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,4099200011677,4099200011677,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Guimauves lait/blanc/noir,7689689044012,['France'],[],[],?,404,1690 kj(404 kcal),"10,6","6,5","73,7","56,7","3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Huile de Sésame,3760179730937,['France'],[],[],?,900,3766 kj(900 kcal),100,16,0,,0,0,0,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",,100 g,en quantité élevée,16 g,en quantité élevée,,,0 g,en faible quantité,,+5%,+5%,+4%,+9%,-100%,,-100%,-100%,-100%,,,,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,
1519,4099200011660,4099200011660,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,4099200120201,4099200120201,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Sorbet bio pomme,3770011610112,['France'],[],[],?,99,414 kj(99 kcal),"0,28","0,06","80,62","25,43","0,28","0,525","0,21",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,9000275772115,9000275772115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Jambonneau cuit,2212902025656,['France'],[],[],?,168,703 kj(168 kcal),"8,4","2,5","0,8","0,8",23,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,horno de lena,8437016768013,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Fromage fermier au lait cru de brebis,3760102910016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Cat citron,3271330011074,['France'],[],[],?,36,151 kj(36 kcal),0,0,"8,6","8,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,4 maxi gourmands choc blanc / fruits rouges,3565270001524,['France'],[],[],?,287,1201 kj(287 kcal),15,9,35,29,"2,8","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Mix smokey bbq,5411361083550,['France'],[],[],?,118,494 kj(118 kcal),"3,8","0,6","15,2","12,8","3,7","5,64","2,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Theobroma Longue Barre De Chocolat Noir 60% Avec Sel,0831436001107,['France'],[],[],?,48.571428571429,203 kj(48 kcal),"37,143","22,857","57,143","42,857","5,714","0,571","0,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Découpes de produits,2629962072092,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Uoluic,46973931,['France'],[],[],?,100,418 kj(100 kcal),0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Oreilles de judas séchées,6970791451517,['France'],[],[],?,271,1134 kj(271 kcal),"0,9",0,"49,1",0,"10,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Quesito oaxaca,8437018762019,['France'],[],[],?,246,1029 kj(246 kcal),18,"10,4","1,6","0,5","19,5","2,37","0,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Pear drink,8698720868349,['France'],[],[],?,54,226 kj(54 kcal),0,0,"13,5","13,14",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Chorizo,8421395033978,['France'],[],[],?,421,1761 kj(421 kcal),"18,4","14,4","2,7","2,4","23,8","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Jambon serano grande reserve 15 mois,2228510018836,['France'],[],[],?,183,766 kj(183 kcal),"2,9",1,"0,4","0,3","0,3","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Coeur de filet merlu blanc,3770003403135,['France'],[],[],?,91,381 kj(91 kcal),"2,34",0,0,,"17,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
