,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
57,Bonbons Seve de Pin - Classic Line - 350g,4001504490836,['France'],[],[],?,?,,?,,?,,?,,,['Classic Line'],,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,350 g,,,,,,,,,
58,Muscat du Cap Corse,3760226570356,['France'],[],[],?,?,,?,0,?,,?,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins doux', 'Vins mutés de type vin doux naturel', 'Vins français', 'Muscats', 'Muscat du Cap-Corse']",,,,,,,,,,,,,,,,,,,,,,,,50.3%,7.1%,29.9%,8.8%,2.6%,1.4%,45,,['France'],,,,,,,,
59,Sarl charcuterie de thoard 04510 aiglun,2200006033653,['France'],[],[],?,1480,6192 kj(1480 kcal),0,0,0,0,"14,6","0,29","0,116",,"['FR 04.001.007 CE', 'Aiglun (Alpes-de-Haute-Provence, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Gouden Carolus Whisky Infused Donker 75 CL Fles,5425006243155,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Oeufs Bio,3700864026068,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Olives noires denoyautees bio facon grece,3425480160117,['France'],[],[],?,335,1402 kj(335 kcal),"33,63","4,04","0,1",0,"2,18","7,75","3,1",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",['Bio'],33.6 g,en quantité élevée,4.04 g,en quantité modérée,0 g,en faible quantité,7.75 g,en quantité élevée,,+55%,+56%,+59%,+44%,-96%,-100%,+74%,+116%,+116%,17,+39%,D,+39%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,
63,Espelines,3760183976499,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Shafran indie,3909062010101,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Cookie bio au chanvre & aux noix,3770010956365,['France'],[],[],?,495,2071 kj(495 kcal),35,23,37,23,"8,1","0,86","0,344",,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Bio'],35 g,en quantité élevée,23 g,en quantité élevée,23 g,en quantité élevée,0.86 g,en quantité modérée,,+4%,+4%,+68%,+128%,-42%,-22%,+25%,+46%,+46%,24,+21%,E,+21%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,
66,Gaspacho,3760227110964,['France'],[],[],?,53,222 kj(53 kcal),"3,1","0,4","4,3","3,1","1,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
