,name,bar_code,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,generic_name,eco_score,packaging,labels,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,link,producer_info,palm_ingredients,brand_owner,origin_detail
1636,Ail,3664636002486,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Diet Meal Replacement Shake  Strawberries and Cream,5060385443873,,,,['France'],[],,,[],,,,,,,,,,?,,347,,1452 kj(347 kcal),,"5,7",,"1,3",,28,,"1,7",,42,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
1638,Tapenade Noire - Naturalia,3700036906976,['Naturalia'],"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,['France'],[],,,[],,31.1 g,en quantité élevée,4.44 g,en quantité modérée,0.667 g,en faible quantité,,,?,,314.44444444444,+14%,1316 kj(314 kcal),+14%,"31,111",+16%,"4,444",+27%,"4,556",+46%,"0,667",+43%,"2,111",+20%,,,,,,,,,,,,B,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,
1639,Béarnaise - Bioster,3760128281602,['Bioster'],"['Epicerie', 'Sauces', 'Sauces béarnaises', 'Sauces bérnaises']",,['France'],[],,,[],,77.9 g,en quantité élevée,8.1 g,en quantité élevée,0.2 g,en faible quantité,1.3 g,en quantité modérée,?,,711,+62%,2975 kj(711 kcal),+66%,"77,9",+77%,"8,1",+44%,"0,6",-88%,"< 0,2",-92%,"1,9",+62%,"1,3",-20%,"0,52",-20%,21,+29%,E,+29%,,,,C,"['Bocal', 'Verre']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,,,,,,
1640,Amandes assaisonnées - Manola,3760091579843,['Manola'],,,['France'],[],,,[],,,,,,,,,,?,,611,,2556 kj(611 kcal),,53,,"4,2",,11,,"5,5",,20,,"1,94",,"0,776",,,,,,,,,,,,,,,,,,,,,,,,,
1641,Ricola miel et plantes,7610700010099,['Ricola'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,74 g,en quantité élevée,0 g,en faible quantité,?,,395,+11%,1653 kj(395 kcal),+10%,0,-100%,0,-100%,98,+18%,74,+28%,0,-100%,0,-100%,0,-100%,14,-3%,D,-3%,,,,E,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
1642,sauce tomate au basilic - Sacla,8001060037366,['Sacla'],,,['France'],[],,,[],,,,,,,,,,?,,29.60000038147,,124 kj(29 kcal),,"0,1",,0,,49,,41,,"1,3",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
1643,Noix,8718537368969,,,,['France'],[],,,[],,,,,,,,,,?,,697,,2916 kj(697 kcal),,"67,2",,"6,9",,"3,2",,"2,3",,"16,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Thon - Connétable - 2x 160g,3263670000849,['Connétable'],"['Produits de la mer', 'Poissons', 'Thons']",,['France'],[],,,[],,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,?,,122,-33%,510 kj(122 kcal),-33%,2,-80%,"0,7",-60%,0,-100%,0,-100%,26,+21%,1,-3%,"0,4",-3%,0,-100%,B,-100%,2 x 160 g,"['FR 29.046.500 CE', 'Douarnenez (Finistère, France)']",,D,"['Boîte en métal', 'Etui en carton']",,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,
1645,Biscuits muesli et graines - Casino,3222477412439,['Casino'],,['Casino'],['France'],[],,,[],,,,,,,,,,?,,492,,2059 kj(492 kcal),,25,,"8,6",,54,,31,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
