,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,generic_name,palm_ingredients,link
1093,Chili Con Carne,3760065601402,,,,['France'],[],[],,,,,,,,,?,,99,,414 kj(99 kcal),,"3,6",,"1,1",,"6,2",,"2,7",,9,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Noir et éclats de noisettes - Le Chocolat des Français - 80g,3701198800706,D,['Le Chocolat des Français'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux noisettes', 'Chocolats noirs aux noisettes']",['France'],"['Masse de cacao*', 'sucre de canne roux*', 'beurre de cacao*', 'éclats de noisettes* ', '10%', ' Peut contenir des traces de gluten', 'eufs', 'soja', 'lait', 'arachides et fruits à coque']",['Non végétalien'],45.2 g,en quantité élevée,23.8 g,en quantité élevée,23.5 g,en quantité élevée,0.02 g,en faible quantité,?,,578,+1%,2418 kj(578 kcal),+2%,"45,2",+10%,"23,8",+29%,"27,3",-29%,"23,5",-30%,"8,7",+8%,"0,02",-39%,"0,008",-39%,22,+4%,E,+4%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,80 g,"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,3,,,,,,,
1095,Origan,5711812000281,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Amandes émondées,8413762800511,,,,['France'],[],[],,,,,,,,,?,,567,,2372 kj(567 kcal),,"49,2",,"6,3",,16,,"4,7",,"25,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Céréales au chaucolat,19221458,,,,['France'],[],[],,,,,,,,,?,,394,,1648 kj(394 kcal),,"4,5",,2,,78,,22,,"8,5",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Nut butter cookies - Gâto,5060551190105,,['Gâto'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,"Miel ""flore sauvage"" des pyrénées",3351690000137,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Agneau epaule au beurre et aux fines herbes -,0258966087836,,,"['Viandes', ""Viandes d'agneau"", ""Epaule d'agneau""]",['France'],[],[],23 g,en quantité élevée,12.5 g,en quantité élevée,0.5 g,en faible quantité,0.43 g,en quantité modérée,?,,316,+111%,1322 kj(316 kcal),+112%,23,+226%,"12,49",+358%,"0,5",-62%,"0,5",-28%,28,+48%,"0,43",-57%,"0,172",-57%,14,+398%,D,+398%,,,,,,,,,,,,,,,,,,,,,
1101,Douceur de rhubarbe,3700776300003,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,La salade de fruit - 100g,3346041397950,,,,['France'],[],[],,,,,,,,,?,,391,,1636 kj(391 kcal),,"0,2",,0,,97,,67,,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,100 g,['Fabriqué en France'],"['EMB 76575B', 'Saint-Étienne-du-Rouvray (Seine-Maritime, France)']",,,,,,,,,,,
1103,Melange Tonus,2600285021196,,,,['France'],[],[],,,,,,,,,?,,460,,1925 kj(460 kcal),,22,,"2,1",,42,,26,,20,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Mont d'or aop médaille d'or 2019,3542861350155,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or""]",['France'],[],[],25 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,303,+2%,1268 kj(303 kcal),+3%,25,+1%,16,-4%,0,-100%,0,-100%,18,+2%,"1,4",-1%,"0,56",-1%,14,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
1105,Miel de cuba - Mellidor,3503740200206,,['Mellidor'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Pain multicereales - Soezie - 1kg,5415196002588,,['Soezie'],,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"2,9",,"0,3",,"71,4",,"0,9",,"11,8",,0,,0,,,,,,,,,,,,,1 kg,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,,,,,,
1107,Étoiles de Noel,26081823,,,,['France'],[],[],,,,,,,,,?,,478,,2000 kj(478 kcal),,22,,11,,64,,38,,"5,9",,"0,36",,"0,144",,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,
1108,Pâte à tartiner chocolat noir noisettes,3700983202633,D,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,,,,,,,
1109,Soda,4589862270951,,,,['France'],[],[],,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,7",,"8,7",,0,,"0,005",,"0,002",,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Berlingots Nantais - 180g,3760009685833,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],1 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,1 g,en quantité modérée,?,,396,+11%,1657 kj(396 kcal),+10%,1,-46%,0,-100%,10,-88%,6,-90%,0,-100%,1,+726%,"0,4",+726%,9,-38%,C,-38%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,180 g,,,,,,,,,,,,,
1111,Raclette bio - Auchan,3596710474615,,['Auchan'],,['France'],[],[],,,,,,,,,?,,349,,1460 kj(349 kcal),,28,,19,,"0,9",,"0,5",,23,,"1,8",,"0,72",,,,,,,,,,,,,,['Bio'],,,,,,['Auchan'],,,,"raclette au lait pasteurisé, en tranches, biologique",,
1112,Pois chiche secs,5603670102309,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,,,,,,,,,
1113,Cacahuate miel - 300g,8414485242947,,,,['France'],[],[],,,,,,,,,?,,598,,2502 kj(598 kcal),,44,,6,,25,,21,,24,,1,,"0,4",,,,,,,,,,,,,300 g,,,,,,,,,,,,,
1114,Whey advanced,0634065622060,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Crépinette,2276829036478,,,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,"15,1",,"6,2",,"2,1",,0,,"16,5",,"1,5",,"0,6",,,,,,,,,,,,,,,"['FR 33.036.007 CE', 'Bazas (Gironde, France)']",,,,,,,,,,,
1116,Paté aux pommes de terre,3348700021602,,,,['France'],[],[],,,,,,,,,?,,235,,983 kj(235 kcal),,15,,9,,22,,"2,4",,"3,5",,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Saucisse sèche,3272550100104,,,,['France'],[],[],,,,,,,,,?,,399,,1669 kj(399 kcal),,"27,5",,"10,5",,"0,7",,"0,3",,"37,2",,"5,02",,"2,008",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
1118,Fleur de sel de Guérande,3268260314481,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Figurines de Saint Nicolas - Boni,5400141281699,E,['Boni'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Belgique', 'France']",[],[],34 g,en quantité élevée,21 g,en quantité élevée,52 g,en quantité élevée,0.21 g,en faible quantité,?,,552,-0%,2310 kj(552 kcal),0%,34,-1%,21,+7%,53,+2%,52,+6%,7,-2%,"0,21",-10%,"0,084",-10%,25,-2%,E,-2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,
1120,Cougnolle au chocolat - 4x 100g,5410766053694,,,,['France'],[],[],,,,,,,,,?,,339,,1418 kj(339 kcal),,"11,14",,"6,35",,"51,73",,"18,26",,"7,88",,"0,84",,"0,336",,,,,,,,,,,,,4 x 100 g,,,,,,,,,,,,,
1121,marshmarlow bonhomme de neige - Hema,8713745809198,,['Hema'],,['France'],[],[],,,,,,,,,?,,330,,1381 kj(330 kcal),,0,,0,,79,,64,,"3,5",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,
1122,1Bifteck - Charal,0292471016011,,['Charal'],,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,
1123,Cluster's amandes - Nestlé,9365953485849,,['Nestlé'],,['France'],[],[],,,,,,,,,?,,393,,1644 kj(393 kcal),,"7,3",,"1,4",,"67,1",,"19,9",,"10,3",,"1,03",,"0,412",,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Barre protéinée banane - 50g,3700195678455,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,363,,1519 kj(363 kcal),,"11,52",,"1,28",,"46,96",,"19,86",,"26,16",,"0,48",,"0,192",,,,,,,,,,,,,50 g,"['Végétarien', 'en:gluten-free', 'Sans arômes artificiels', 'Végétalien', 'Sans lactose']",,,,,,,,,,,,
1125,Rice crackers saveur fromage,2609246446535,,,,['France'],[],[],,,,,,,,,?,,445,,1862 kj(445 kcal),,12,,"3,2",,76,,"3,3",,"7,8",,"1,3",,"0,52",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
1126,Pâté de lapin à l'ancienne,2673680021719,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de lapin']",['France'],[],[],27.8 g,en quantité élevée,10.7 g,en quantité élevée,1 g,en faible quantité,1.98 g,en quantité élevée,?,,324,+15%,1356 kj(324 kcal),+16%,"27,8",+24%,"10,7",+26%,"4,1",+89%,1,+24%,"14,9",-4%,"1,98",+28%,"0,792",+28%,22,+29%,E,+29%,76.8%,15.8%,3.6%,2.5%,1.1%,0.3%,38,,,,,,,,,,,,,,
1127,Tapenade noire,3330149400131,C,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['France'],[],[],32 g,en quantité élevée,5.5 g,en quantité élevée,0.5 g,en faible quantité,4.5 g,en quantité élevée,?,,324,+18%,1356 kj(324 kcal),+18%,32,+19%,"5,5",+57%,4,+28%,"0,5",+7%,"2,3",+31%,"4,5",+44%,"1,8",+44%,19,+28%,E,+28%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,,
1128,Cascione farcie - 180g,3760269070622,,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,"18,3",,"11,4",,27,,"0,9",,"15,5",,"1,1",,"0,44",,,,,,,,,,,,,180 g,['Fabriqué en Italie'],,,,,,,,,,,,
1129,Rognon de boeuf,2692668023811,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,
1130,2 Filets poulet fermier Loué,0217230034709,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Tofu,87282504,,,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,10,,"1,5",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Le Pot au lait fraise rhubarbe,3770005734268,,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,"1,9",,"1,4",,"13,8",,"11,7",,"6,4",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Terrine bourguignonne au vin rouge,3525168343075,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Baking potatoes,5010251731986,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Noix du bresil - Seeberger,4008258122716,,['Seeberger'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Potatoes Red - 2500.0g,5010251373193,A,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']","['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,2500.0 g,,,"['Bag', 'bag(s)']",,,,,,,,,,
1137,Fromage,0202002016731,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Tripes - 700g,3428190015944,,,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,8,,"2,78",,1,,1,,"18,6",,"2,04",,"0,816",,,,,,,,,,,,,700 g,,,,,,,,,,,,,
1139,Jelly Babies,7622210752413,,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,"0,1",,"0,1",,78,,74,,"3,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Shallots,5010251744726,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Bag'],,,,,,,,,,
1141,Filets De Thon,3263851285416,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Bradley baking apples,5010251952329,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Satsuma,5010251740216,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Chouricao - 150g,5600318110245,,,,['France'],[],[],,,,,,,,,?,,258,,1079 kj(258 kcal),,16,,6,,4,,"3,4",,25,,"2,5",,1,,,,,,,,,,,,,150 g,['en:gluten-free'],,,,,,,,,,,,
1145,Comte extra fruité 6/10 mois,0207721021196,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,0,-100%,0 kj(0 kcal),-100%,34,-2%,22,-3%,0,-100%,0,-100%,26,-3%,"0,8",-5%,"0,32",-5%,8,-38%,C,-38%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1146,Saucisson,2209237053799,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['FR 67.447.004 CE', 'Schiltigheim (Bas-Rhin, France)']",,,,,,,,,,,
1147,Sella and Mosca La Cala Vermentino Doc 750ML,8006725100218,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Chorizo - Seigneurie,2446691017510,,['Seigneurie'],,['France'],[],[],,,,,,,,,?,,477,,1996 kj(477 kcal),,"42,1",,"14,6",,"3,5",,"1,15",,"25,1",,"4,32",,"1,728",,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Boule blanche tranchée,0230010007878,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['France'],[],[],1.6 g,en faible quantité,0.4 g,en faible quantité,1.7 g,en faible quantité,2.2 g,en quantité élevée,?,,302,-8%,1264 kj(302 kcal),-8%,"1,6",-74%,"0,4",-66%,61,+11%,"1,7",-57%,"9,9",+4%,"2,2",+72%,"0,88",+72%,12,+135%,D,+135%,,,,,,,,,,,,,,,,,,,,,
1150,Aiguillettes de dinde - L'Étal du Volailler,4056489138563,D,"[""L'Étal du Volailler""]","['Viandes', 'Volailles', 'Dindes']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,7 g,en quantité modérée,1.6 g,en quantité élevée,?,,100,-25%,418 kj(100 kcal),-26%,"0,5",-85%,"0,1",-89%,22,+485%,7,+724%,23,+10%,"1,6",+78%,"0,64",+78%,4,+242%,C,+242%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,['Lidl'],,,,,,
1151,Fromage de tete tradition sans colorant,2286119016868,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",['France'],[],[],5.7 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,115,-41%,481 kj(115 kcal),-39%,"5,7",-58%,2,-62%,0,-100%,0,-100%,16,+5%,"1,7",-2%,"0,68",-2%,4,-66%,C,-66%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,['Sans colorants'],"['FR 84.007.006 CE', 'Avignon (Vaucluse, France)']",,,,,,,,,,,
1152,Tamtad Stuffed Green Peppers,8690518051506,,,,['France'],[],[],,,,,,,,,?,,128,,536 kj(128 kcal),,7,,"0,14",,14,,0,,"2,4",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Aranzulas,8435564901661,,,,['France'],[],[],,,,,,,,,?,,153,,640 kj(153 kcal),,"4,3",,"1,9",,"0,6",,"0,3",,28,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1154,16 mini feuilletés Escargot à la bourguignonne - Française de Gastronomie - 170g,3576280390010,C,['Française de Gastronomie'],"['Viandes', 'Préparations de viande', 'Escargots', 'Escargots de Bourgogne', 'Escargots préparés']",['France'],[],[],34 g,en quantité élevée,21 g,en quantité élevée,0.7 g,en faible quantité,1.3 g,en quantité modérée,1855,+31%,447,+36%,1855 kj(447 kcal),+34%,34,+10%,21,+0%,26,+690%,"0,7",-36%,"8,2",-10%,"1,3",-6%,"0,52",-6%,20,+6%,E,+6%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,170 g,,,,,,,,,,,,,
1155,Gruner tee,5400337021221,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Biscuits au bleu de chèvre - Les Deux Gourmands,3770003262213,,['Les Deux Gourmands'],,['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,22,,13,,39,,3,,11,,"0,252",,"0,101",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
1157,Poivre noir,3760133674659,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Abondance AOP,2488763030119,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",['France'],[],[],33 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,397,-1%,1661 kj(397 kcal),-1%,33,0%,21,-3%,"0,5",-22%,"0,5",+78%,25,-0%,"1,5",-5%,"0,6",-5%,15,-5%,D,-5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,
1159,Ail Poudre,3760138825278,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Souris d'agneau dore au four,0211937052875,,,"['Viandes', ""Viandes d'agneau""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,
1161,Baby tomatoes -,5010251724728,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates fraîches']","['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,,,['Fruit'],,,,,,,,,,
1162,Goudberen - Haribo,4001686307984,,['Haribo'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Le Cabri  (fromage de chèvre),2865980027427,,,,['France'],[],[],,,,,,,,,?,,218,,912 kj(218 kcal),,"16,2",,"11,3",,"2,9",,2,,"14,5",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Cuisses de poulet - La Nouvelle Agriculture,0213312024736,D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,?,,198,+4%,828 kj(198 kcal),+3%,14,+13%,"3,5",+4%,0,-100%,0,-100%,18,-2%,"0,18",-76%,"0,072",-76%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1165,Perene de campagne,2601776012464,,,,['France'],[],[],,,,,,,,,?,,251,,1050 kj(251 kcal),,1,,"0,2",,52,,"0,9",,"7,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Huile speciale pizza,3760218931615,,,,['France'],[],[],,,,,,,,,?,,828,,3464 kj(828 kcal),,100,,14,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Viande haché tex mex - Socopa,3039050335326,,['Socopa'],,['France'],[],[],,,,,,,,,?,,204,,854 kj(204 kcal),,15,,"5,8",,3,,1,,13,,"0,87",,"0,348",,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,
1168,Tartinables inedits aux amandes pour l'aperitif,3760043592012,,,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,24,,"2,8",,"4,5",,"1,3",,"5,8",,"1,7",,"0,68",,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,
1169,Poulet - Maître Coq,0215231055761,,['Maître Coq'],,['France'],[],[],,,,,,,,,?,,181,,757 kj(181 kcal),,9,,"2,5",,1,,0,,24,,1,,"0,4",,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']","['FR 85.065.001 CE', 'Chavagnes-en-Paillers (Vendée, France)']",,,,,,,,,,,
1170,Epi d'or,0284906033915,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Navettes à la fleur d'oranger,3760231340814,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
1172,Roasted Fresh Cod - 40g,6931792201013,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,40 g,,,,,,,,,,,,,
1173,Sugo Alla Napoletana,8032181031070,,,,['France'],[],[],,,,,,,,,?,,43,,180 kj(43 kcal),,"1,2",,"0,2",,"6,1",,"5,7",,"1,2",,"0,93",,"0,372",,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Tripes chorizo et poivrons - Bigard - 300g,3273230260316,,['Bigard'],"['Poissons et viandes et oeufs', 'Abats', 'Produits tripiers', 'Tripes']",['France'],"['Tripes de bovins 51% ', 'panses', 'bonnets', 'feuillets', 'caillettes de bovins en proportions naturelles', 'eau', 'pieds de bovins désossés 5%', 'oignons', 'tomates', 'jus de tomate', 'poivrons 2 %', 'chorizo 2% ', 'viande de porc ', 'Origine France', 'épices', 'plantes aromatiques', 'sirop de glucose', 'sel', 'antioxydant: ascorbate de sodium', 'conservateur:nitrite de sodium', 'gélatine de porc', 'sel', 'ail', 'paprika', 'acidifiant: acide citrique', 'affermissant: chlorure de calcium', 'arôme']","['Non végétalien', 'Non végétarien']",2.8 g,en faible quantité,1.1 g,en faible quantité,0.7 g,en faible quantité,1 g,en quantité modérée,?,,90,-10%,377 kj(90 kcal),-10%,"2,8",-15%,"1,1",-23%,"0,7",-6%,"0,7",+78%,15,-9%,1,-13%,"0,4",-13%,1,-24%,B,-24%,,,,,,,,300 g,"['Nutriscore', 'Nutriscore B']","['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E428 - Gélatine', 'E330 - Acide citrique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']",,4,,,,,,,
1175,Champiñón cultivado pie entero,8436536961010,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Cola Cao Turbo Cacao Soluble Instantáneo,8410014228352,,['Cola Cao'],,['France'],[],[],,,,,,,,,?,,292,,1222 kj(292 kcal),,"1,7",,"1,2",,10,,"9,6",,"3,3",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
