,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,eco_score,traceability_code,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,nova_score,quantity,markets,allergens,generic_name,additives,link,origin_detail,manufacturing,brand_owner,palm_ingredients,producer_info
54,Noix de cajou grillées salées,3770003891086,['France'],[],[],?,593,2481 kj(593 kcal),46,"7,6","21,9","7,7","20,4","1,8","0,72",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,46 g,en quantité élevée,7.6 g,en quantité élevée,7.7 g,en quantité modérée,,-1%,-1%,-0%,-11%,-14%,+19%,+9%,E,,1.8 g,en quantité élevée,+187%,+187%,12,+59%,D,+59%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,
55,Tomates broyées,0058807379034,['France'],[],[],?,48,201 kj(48 kcal),"0,16",0,"9,6","4,8","1,6","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Vinaigre balsamique,0056789057476,"['Canada', 'France']",[],[],?,166.6667,697 kj(166 kcal),0,0,40,"33,333","0,667",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Cèpes morceaux France,3434410076343,['France'],[],[],?,31,130 kj(31 kcal),"0,5","0,1","3,2","1,2",24,2,"0,8",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Spaghettis makaroni,4751028520778,['France'],[],[],?,352,1473 kj(352 kcal),"1,5","0,6","70,8","3,3","12,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Gingembre,3662317000073,['France'],[],[],?,5.5,23 kj(5 kcal),"0,05","0,02","0,5",0,"0,17",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tresse crème,3266742124269,['France'],[],[],?,305,1276 kj(305 kcal),"7,7","3,5","52,2","15,8","5,5","0,678","0,271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Muesli aux noisettes,13505323,['France'],[],[],?,369,1544 kj(369 kcal),"7,8","0,7",59,10,"9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pétales Choco Petit Déj’ - Greenweez,3701269701536,['France'],[],[],?,370,1548 kj(370 kcal),"1,8","0,9","77,4","12,7","8,1","0,8","0,32",['Greenweez'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales au chocolat', 'Pétales de blé chocolatés']","['Bio', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",1.8 g,en faible quantité,0.9 g,en faible quantité,12.7 g,en quantité élevée,,-12%,-12%,-82%,-72%,+9%,-49%,+2%,C,,0.8 g,en quantité modérée,+58%,+58%,4,-60%,C,-60%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,,,,,
63,E.Leclerc jus d'orange 1L,2641041022897,['France'],[],[],?,40,167 kj(40 kcal),0,0,"7,9","0,8","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Abricot sec,2609842025455,['France'],[],[],?,283,1184 kj(283 kcal),"0,5","0,02","62,6","53,4","3,4",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,,+8%,+8%,+3%,-67%,+8%,+18%,+10%,D,,,,,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,
