,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,packaging,traceability_code,additives,nova_score,allergens,generic_name,manufacturing,ingredients_origins,link,brand_owner,palm_ingredients
1060,Apfel-Glühmix,8030301001125,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,,,,
1061,Perles de konjac,3227820824587,['France'],[],[],?,23,96 kj(23 kcal),0,0,"3,5",0,0,"0,022","0,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Pellini Espresso Bar n82 Vivace -,8001685788483,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,2054102041988,2054102041988,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Maggi,07926143,['France'],[],[],?,?,,?,,?,,?,,,,['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Fit N'right Pineapple,4800024572004,['France'],[],[],?,0,0 kj(0 kcal),0,0,10,6,0,"0,037","0,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Chutney de lentilles,3760173440115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,aiguillette de  poulet,2268496044153,['France'],[],[],?,?,,?,,?,,?,,,,,C,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1068,Terrine de campagne - Carrefour,2227153014762,['France'],[],[],?,338,1414 kj(338 kcal),30,12,"2,9","1,6",15,"1,5","0,6",,['Carrefour'],,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,30 g,en quantité élevée,12 g,en quantité élevée,1.6 g,en faible quantité,1.5 g,en quantité modérée,,+5%,+5%,+6%,+11%,+27%,+84%,+7%,-6%,-6%,20,+3%,E,+3%,,,,,,,,['Carrefour'],,,,,,,,,,,
1069,Sensations Colours - Lay's,8710398512819,['France'],[],[],?,507,2121 kj(507 kcal),32,"2,6",46,"0,5","7,7","1,2","0,48",,"[""Lay's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Rillettes de porc au jambon sec,20594077,['France'],[],[],?,353,1477 kj(353 kcal),32,"13,2",1,"0,7","16,6","0,9","0,36",,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,32 g,en quantité élevée,13.2 g,en quantité élevée,0.7 g,en faible quantité,0.9 g,en quantité modérée,,-11%,-10%,-13%,-6%,+98%,+106%,+5%,-30%,-30%,17,-13%,D,-13%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
1071,Moelleux chocolat,,['France'],[],[],?,305,1276 kj(305 kcal),15,"5,8",37,22,"4,9","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Tube de bonbons acidulés,5060412309646,['France'],[],[],?,384,1607 kj(384 kcal),0,0,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,"Saumon cuit farci, prétranché",2360402019009,['France'],[],[],?,208,870 kj(208 kcal),"14,4","2,8","1,1","0,7","18,4","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Le porc carrefour 2côtes sans os,2433243013588,['France'],[],[],?,?,,?,,?,,?,,,,['Carrefour'],,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,
1075,Ditalini Pasta di Semola di Grano Duro - Tre Mulini - 500g,8017596006011,"['France', 'Allemagne', 'Italie']",[],[],?,?,,?,,?,,?,,,500 g,['Tre Mulini'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tüte'],,,,,,,,,,
1076,Cookie aux Pépites de Chocolat,3491955014520,['France'],[],[],?,478,2000 kj(478 kcal),"19,6","11,3","69,5",64,"5,3","0,14","0,056",,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']",,19.6 g,en quantité modérée,11.3 g,en quantité élevée,64 g,en quantité élevée,0.14 g,en faible quantité,,-3%,-3%,-22%,-9%,+17%,+103%,-15%,-79%,-79%,25,+11%,E,+11%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,,,,,,,,,,,,
1077,Tartelette au citron décongelée X 2 - Carrefour - 160g,0202275016407,['France'],"['Sucre Farine de blé ', 'GLUTEN', 'beurre ', 'LAIT', 'ŒUFS frais', 'eau', 'sucre roux', 'jus concentré de citron 4%', 'décor ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant lécithine de SOJA', 'arôme naturel', 'colorants: E170', 'E172', ' poudre à flan ', 'amidons modifié arôme', ',sel', 'levure chimique ', 'amidon de blé ', 'GLUTEN', ' poudre à lever: 8450i E500ii', 'colorant: E160a']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,,?,,?,,?,,,160 g,['Carrefour'],,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Plastique'],,"['E170 - Carbonates de calcium', 'E172 - Oxyde et hydroxyde de fer', 'E14XX - Amidons modifiés', 'E160a - Carotènes mélangés']",4,"['Œufs', 'Gluten', 'Lait', 'Soja']",Tartelette au citron,,,,,
1078,Les paupiettes du chef,0213485047952,['France'],[],[],?,283,1184 kj(283 kcal),24,"8,2","0,6","0,4",16,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Cassoulet,83323966,['France'],[],[],?,115,481 kj(115 kcal),"4,7","1,9","8,9","0,6","7,3","0,8","0,32",,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Charolais -,2298829036012,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Viandes', 'Bœuf']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Pastille au miel,3760035837329,['France'],[],[],?,376,1573 kj(376 kcal),"0,1","0,1","93,7","65,9","0,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Poulet fermier Bio,0213041112964,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 52.230.000 CE', 'Gudmont-Villiers (Haute-Marne, France)']",,,,,,,,,
1083,Jolie tisane fruitée bio - Terre d'Oc,3700324425387,['France'],[],[],?,?,,?,,?,,?,,,,"[""Terre d'Oc""]",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Mandarin-Orangen - aro - 312g,4018905503669,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,312 g,['Aro'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits', 'Fruits en conserve', 'Agrumes', 'Mandarines']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,
1085,Fruchtcocktail - real Quality - 420g,4334011161051,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,420 g,['real Quality'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,
1086,Noix de st-jacques sans corail 90/120 - 300g,3061432132247,['France'],[],[],?,?,,?,,?,,?,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 62160', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,,,,,,,,
1087,Gomadofu à poêler à l'emmental - Senfas,3412940400036,['France'],[],[],?,141,590 kj(141 kcal),"6,9",2,"12,2","0,8","6,8",1,"0,4",,['Senfas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,"Salade coleslaw - 0,477kg",0218894026895,['France'],[],[],?,163,682 kj(163 kcal),"15,5","1,1","3,6","0,9",12,"0,8","0,32","0,477 kg",,B,"['Plats préparés', 'Entrées', 'Coleslaw']",,15.5 g,en quantité modérée,1.1 g,en faible quantité,0.9 g,en faible quantité,0.8 g,en quantité modérée,,+25%,+28%,+55%,+25%,-42%,-82%,+981%,+1%,+1%,1,-71%,B,-71%,37.1%,36.0%,10.3%,10.1%,5.2%,1.4%,92,,,,,,,,,,,,
1089,Saucisse seche,2863440064944,['France'],[],[],?,434,1816 kj(434 kcal),37,14,"0,7","0,5",26,"4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Aloe Dink natural 100% BIO,4260434335703,['France'],[],[],?,47,197 kj(47 kcal),"1,35",0,"0,34","0,17","7,87","0,01","0,004",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Houmous Tex-Mex,3760148501124,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,,,,,,,,,,,,,,,,,,,,,,,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,
1092,Tommette des alpes La colombiere,2246585021452,['France'],[],[],?,358,1498 kj(358 kcal),30,22,0,0,22,"1,3","0,52",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de montagne', 'Tommes']",,30 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,-1%,-1%,+2%,+9%,-100%,-100%,-3%,-20%,-20%,14,-10%,D,-10%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 38.159.001 CE', 'Eydoche (Isère, France)']",,,,,,,,,
1093,Coquillettes aux oeufs - Moulin des moines,3347430130196,['France'],[],[],?,?,,?,,?,,?,,,,['Moulin des moines'],,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Schwarzwurzeln - Beste Ernte - 320g,42260219,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,320 g,['Beste Ernte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,
1095,Schwarzwurzeln - Gartenkrone - 320g,23236493,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,320 g,['Gartenkrone'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,
1096,Fenchel Salami - Ökoland - 150g,4031829235218,['France'],"['100g Produkt sind hergestellt aus 112g Schweinefleisch und 38g Rindfleisch*', 'Meersalz', 'Gewürze ', '0,5% Fenchel*', ' ', 'mit Knoblauch *', 'Dextrose* Trockenglukosesirup*', 'Acerolakirsche* nicht essbare Hülle ökoland GmbH Nord DE']",[],?,441,1845 kj(441 kcal),37,15,"1,8","0,8",25,"4,4","1,76",150g,['Ökoland'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE NI-10840 EG'],,,,,,,,,
1097,Sucre perlé,3700392445553,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Doonys chocolat,0202381018371,['France'],[],[],?,441,1845 kj(441 kcal),28,13,41,16,"6,7","1,6","0,64",,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,28 g,en quantité élevée,13 g,en quantité élevée,16 g,en quantité élevée,1.6 g,en quantité élevée,,+8%,+8%,+23%,+23%,-8%,-5%,+13%,+68%,+68%,25,+28%,E,+28%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,
1099,Antipasti poivrons grilles - Ponti,8001010003076,['France'],[],[],?,?,,?,,?,,?,,,,['Ponti'],,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Geleia marmelo,5607238019955,['France'],[],[],?,257,1075 kj(257 kcal),"0,1",0,"63,5",63,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Aubergine basilic,3760043592043,['France'],[],[],?,273,1142 kj(273 kcal),25,"2,4","4,8","1,4","5,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,1883 Saltet Karamel,3217690047759,['France'],[],[],?,328,1372 kj(328 kcal),"0,1","0,1","1,5","0,1","0,1","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Anchovisfilets -  - 50g,23188747,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,50 g,,B,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois""]",,,,,,,,,,,,,,,,,,,,,,,,64.2%,0.0%,6.1%,25.8%,3.1%,0.8%,78,,['Glas'],,,,,,,,,,
1104,Foie gras de canard entier - Larnaudie,3113010143814,['France'],"['Foie gras de canard', 'sel', 'Armagnac ', '0,5%', 'poivre ', '0,25%', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,616,2577 kj(616 kcal),"65,2","26,5","1,1","0,9","6,4","1,11","0,444",,['Larnaudie'],B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",['Sans nitrite de sodium'],65.2 g,en quantité élevée,26.5 g,en quantité élevée,0.9 g,en faible quantité,1.11 g,en quantité modérée,,+16%,+17%,+20%,+15%,-55%,-33%,-15%,-7%,-7%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,3,,,,,,,
1105,Whiskey Jameson the Cooper's Croze,5011007022396,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Oliven mit Mandeln&Zwiebelpaste - Dittmann - 85g,4002239481007,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,85 g,['Dittmann'],A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives farcies']","['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,['Glas'],,,,,,,,,,
1107,Confiture de figues - Prisca,5605466905316,['France'],[],[],?,228,954 kj(228 kcal),3,"0,1",55,45,"0,6",0,0,,['Prisca'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,3 g,en quantité modérée,0.1 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,+556%,+50%,-1%,-15%,-18%,-100%,-100%,6,-37%,C,-37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
1108,Jambon à l'ancienne -,2252519031428,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,20,8,,,,"['Viandes', 'Porc']",,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,20 g,en quantité élevée,,-36%,-35%,-72%,-67%,-44%,-19%,+16%,+947%,+947%,12,+8%,D,+8%,,,,,,,,,,"['FR 80.798.003 CE', 'Villers-Bocage (Somme, France)']",,,,,,,,,
1109,Mela e carota da agricoltura biologica,8010253008670,['France'],[],[],?,59,247 kj(59 kcal),"0,5","0,1",14,12,"0,5","0,02","0,008",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,"Pavés race limousine - Charal - 0,304kg",0292430053729,['France'],[],[],?,?,,?,,?,,?,,,"0,304kg",['Charal'],,"['Viandes', 'Bœuf']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Fish cakes,6009702321677,['France'],[],[],?,192,803 kj(192 kcal),"8,91","1,27","20,14","0,5","7,28","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Banana milk jelly,8809266300518,['France'],[],[],?,330,1381 kj(330 kcal),0,0,"71,1","44,2","8,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Double concentrée de tomates,1645295596457,['France'],[],[],?,81,339 kj(81 kcal),"0,5",0,14,14,"4,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,"Escalope de dinde - Carrefour - 0,3kg",2227489028402,['France'],[],[],?,?,,?,,?,,?,,,"0,3 kg",['Carrefour'],D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Carrefour'],,,,,,,,,,,
1115,Ras El Hanoute,3550703000069,['France'],[],[],?,6,25 kj(6 kcal),"0,1",0,2,"0,9",20,1,"0,4",,,,"['Epicerie', 'Condiments', ""Mélanges d'herbes et d'épices"", 'Ras el hanout']","['Sans colorants', 'Sans conservateurs']",0.1 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,1 g,en quantité modérée,,-96%,-96%,-98%,-100%,-88%,-83%,+250%,-72%,-72%,-1,-116%,A,-116%,,,,,,,,,,,,,,,,,,,
1116,Kit sablés décorés- Baking kit,3700847001655,['France'],[],[],?,391,1636 kj(391 kcal),"4,8",1,"81,3","52,5","4,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Pâté de canard au jus de truffe brumale,3269616001048,['France'],[],[],?,305,1276 kj(305 kcal),"27,6","10,3","0,8","0,47","13,4","1,83","0,732",,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Sucre d'érable granulé,0858681000907,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Fuit iberico,8421395511209,['France'],[],[],?,443,1854 kj(443 kcal),35,"12,7","4,1","1,1","27,8","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Poulet - 1234kg,0212133088620,['France'],[],[],?,?,,?,,?,,?,,,1234 kg,,D,"['Viandes', 'Volailles', 'Poulets']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1121,Morille spéciale calibrée,3293023100155,['France'],[],[],?,263,1100 kj(263 kcal),"1,2","0,1","19,6","3,2","29,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Pizza savoyarde,0211903039039,['France'],[],[],?,363,1519 kj(363 kcal),15,"8,3",36,"1,4",20,"6,5","2,6",,,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,15 g,en quantité modérée,8.3 g,en quantité élevée,1.4 g,en faible quantité,6.5 g,en quantité élevée,,+59%,+58%,+79%,+111%,+34%,-52%,+94%,+420%,+420%,22,+183%,E,+183%,,,,,,,,,,,,,,,,,,,
1123,Premium Vegan Essential Multivitamin,4260593950014,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,knacks de poulet - Yehiam,7290012612626,['France'],[],[],?,221,925 kj(221 kcal),17,6,5,0,12,2,"0,8",,['Yehiam'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,3538880000027,3538880000027,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Salade composée - 0.200kg,3301071180200,['France'],[],[],?,?,,?,,?,,?,,,0.200 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Cinq parfums cuisine asiatique,3760162880502,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Rôti Cru d'Alsace - ail et persil - Moritz,0290724036014,['France'],"['Palette de porc sans os traitée en salaison', 'sel', 'Antioxydant: ascorbate de sodium', ' Dextrose de blé', 'persil et ail', '1% environ', ' Conservateur: nitrite de sodium', ' SANS COLORANT']",[],?,164,686 kj(164 kcal),9,"3,9","0,2",0,"20,7","1,8","0,72",,['Moritz'],,"['Viandes', 'Porc']",['Sans colorants'],9 g,en quantité modérée,3.9 g,en quantité modérée,0 g,en faible quantité,1.8 g,en quantité élevée,,-15%,-13%,-20%,-9%,-78%,-100%,+5%,-6%,-6%,12,+8%,D,+8%,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,
1129,White chocolate with pistachios,6294007310338,['France'],[],[],?,599,2506 kj(599 kcal),46,21,41,38,11,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Filet tournedos - La Vie Claire,2121424001683,['France'],[],[],?,?,,?,,?,,?,,,,['La Vie Claire'],,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Assortiment de guimauves,2600689015876,['France'],[],[],?,404,1690 kj(404 kcal),"10,6","6,5","73,7","56,7","3,6","0,05","0,02",,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Rillettes sardines,3760021080395,['France'],[],[],?,248,1038 kj(248 kcal),21,12,"2,3","0,8",13,"0,92","0,368",,,D,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de sardine', 'en:preparations-made-from-fish-meat']",,21 g,en quantité élevée,12 g,en quantité élevée,0.8 g,en faible quantité,0.92 g,en quantité modérée,,+9%,+9%,+17%,+63%,+8%,-28%,-6%,-12%,-12%,17,+39%,D,+39%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,,,,
1133,Grillade poitevine,3760261570229,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Processed Peas - Dunnes Stores - 420g,5099874077152,"['France', 'Irlande']","['Processed Peas ', '63%', 'Water', 'Sugar', 'Salt', 'Colours: Riboflavin', 'Green S']",[],?,100,418 kj(100 kcal),1,"0,1",18,2,5,"0,5","0,2",420 g,['Dunnes Stores'],A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",,1 g,en faible quantité,0.1 g,en faible quantité,2 g,en faible quantité,0.5 g,en quantité modérée,,+32%,+30%,+45%,-34%,+78%,-40%,+4%,-10%,-10%,-6,,A,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,['Dunnes Stores'],['Can'],,"['E101i - Riboflavine', 'E142 - Vert acide brillant BS', '', 'Risque modéré de sur-exposition']",4,,,['Ireland'],['Irlande'],,,
1135,Tisane les 3 menthes,3760261570007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Poitrine fumée,2238074035095,['France'],[],[],?,232,971 kj(232 kcal),17,"6,7","0,5","0,5",19,"1,8","0,72",,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Reblochon de Savoie,2883873042180,['France'],[],[],?,328,1372 kj(328 kcal),"27,4","18,8","0,5","0,1","19,9","1,3","0,52",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,27.4 g,en quantité élevée,18.8 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+2%,+2%,0%,+36%,-56%,-1%,-3%,-3%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
