,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,markets,manufacturing,labels,ingredients_origins,link,palm_ingredients,producer_info
1239,"Pomme de terre, tomate, champignon, veau fermier d'Aquitaine et du limousin - Babybio - 2",3288131520520,,['Babybio'],"['Aliments pour bébé', 'Dès 8 mois']",['France'],"['Légumes 80% ', 'pommes de terre du Val de Loire 40%', ""purée de tomates d'llalie 15%"", '""champignons de Paris” de Hollande 12%', 'carottes des Landes', ""oignons d'Espagne"", 'eau de cuisson', ""viande de veau fermier d'Aquitaine et du Limousin 8"", '5%', 'huiles végétales vierges ', 'colza', 'tournesol', 'persil de France']",,,[],1,,,,,,,,,188,-29%,?,,188 kj(45 kcal),-50%,"1,4",-27%,"0,2",-60%,"4,4",-65%,"1,5",-63%,"3,1",+13%,"0,031",-73%,"0,012",-73%,,,,,,,,,,,,,2,"['Carton', 'Plastique']",,['Magasins U'],['France'],"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE', 'Fabriqué en France', 'AB Agriculture Biologique']","['France', 'Italie', 'Pays-Bas']",,,
1240,Babybio Bol Menu Chou Romanesco Poulet Parmesan Bio Dès 8 Mois - 2 X,3288131520537,,['Babybio'],,['France'],"['pommes de d*Espagne?', ' poulet écrémé en végétales? paprtka?', ' cutntn? Contient du lait']",,['Lait'],[],,,,,,,,,,?,,62,,259 kj(62 kcal),,"1,3",,"0,4",,"7,1",,"2,5",,"4,6",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,['Bio'],,,,
1241,Mijoté de légumes Poulet & Quinoa - Babybio,3288131520605,,['Babybio'],,['France'],[],,,[],,,,,,,,,,?,,45,,188 kj(45 kcal),,"1,1",,"0,3",,"5,6",,"1,9",,"2,8",,"0,06",,"0,024",,,,,,,,,,,,,,,,,['Magasins U'],,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,
1242,"Patate Douce, tomate, colin, quinoa - Babybio - 2x 200g",3288131520674,,['Babybio'],"['Aliments pour bébé', 'Dès 12 mois']",['France'],"[""Légumes* 72% [patates douce d'Espagne* 25%"", 'purée de tomates d’Italie* 16%', 'carottes des Landes*', ""poivrons d'Espagne*"", 'courgettes de Provence*', ""oignons d'Espagne*"", 'eau de cuisson', ""colin sauvage d'Alaska 8,5%"", 'quinoa* 4%', 'huiles végétales* ', 'colza*', 'tournesol*', 'coriandre de France*', ""ail d'Espagne*"", ""\r*90% des ingrédients d'origine agricole ont été obtenus selon les principes de l'agriculture biologique"", '\rContient du poisson']",,['Poisson'],[],3,,,,,,,,,?,,53,-54%,222 kj(53 kcal),-46%,"1,1",-54%,"0,1",-86%,"7,3",-42%,"3,3",-14%,"2,7",-8%,"0,05",-76%,"0,02",-76%,,,,,,,,,,,,"Purée de légumes, colin et quinoa - avec morceaux. Aliment pour bébés",2 x 200 g,"['Etui', 'Carton', 'Barquette', 'Opercule', 'Plastique']","['FR 23.131.001 CE', 'Mérinchal (Creuse, France)']",['Magasins U'],,"['Peu ou pas de sel', 'Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Sans sel ajouté', 'Sans lait', 'Sans épaississant', 'Terracycle']",,http://www.babybio.fr/produits-details.php?id_produit=52067,,
1243,Pot Au Feu Boeuf - Babybio,3288131520742,,['Babybio'],,['France'],[],,,[],,,,,,,,,,?,,46,,192 kj(46 kcal),,"1,1",,"0,2",,"5,8",,"1,7",,"2,5",,"0,04",,"0,016",,,,,,,,,,,,,,,,,['Magasins U'],,"['Bio', 'Bio européen', 'Sans gluten', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,
1244,Tendresse de petits légumes riz - Babybio - 2X 200g,3288131520919,,['Babybio'],"['Aliments pour bébé', 'Dès 12 mois', 'Plats du soir pour bébé']",['France'],"['Légumes 64 % ', 'carottes des Landes', ""poivrons d'Espagne"", ""potimarrons de la Drôme et de l'Ardèche"", 'panais du Centre Val-de-Loire', ""oignons d'Espagne"", 'eau de cuisson', ""riz d'Italie 7 %"", 'huiles végétales vierges ', ""colza d'Italie"", 'tournesol de France']",,,[],1,,,,,,,,,244,-13%,?,,244 kj(58 kcal),-16%,"1,2",-47%,"0,1",-82%,"9,8",+7%,"2,9",+5%,"1,1",-51%,"0,025",-87%,"0,01",-87%,,,,,,,,,,,,Repas pour bébé,2 X 200 g,"['Plastique', 'carton recyclé']",,['Magasins U'],,"['Peu ou pas de sel', 'Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans sel ajouté', 'Sans lait', 'Sans épaississant', 'Cuisson vapeur']",['France'],,,
1245,ASSIETTE BONNE NUIT PATATE DOUCE BLE 260G - Babybio - 260g,3288131530864,,['Babybio'],"['Plats préparés', 'Aliments pour bébé', 'Légumes préparés', 'Purées', 'Purées de légumes', 'Plats du soir pour bébé', 'Dès 15 mois']",['France'],"['Légumes* 66% ', ""patates douces d'Espagne* 37%"", 'carottes des Landes* 17%', 'courgettes de Provence* 7%', ""oignons d'Espagne*"", 'eau de cuisson', 'blé* 4%', 'huiles végétales vierges* ', 'colza*', 'tournesol*', 'persil de France*', ""ail d'Espagne*"", "" *Ingrédients issus de l'agriculture biologique"", ' Contient du gluten']",,['Gluten'],[],3,,,,,,,,,?,,46,-43%,192 kj(46 kcal),-43%,1,-52%,"0,1",-84%,"7,8",-11%,3,+49%,"0,9",-67%,"0,03",-84%,"0,012",-84%,,,,,,,,,,,,Purée de légumes et céréales pour bébé dès 15 mois,260 g,"['Conserve', 'Assiette', 'Plastique']",,['Magasins U'],['France'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Fabriqué en France']","['France', 'Espagne', 'Landes', 'Provence']",http://www.babybio.fr/produits-details.php?id_produit=53086,,
1246,Pomme d aquitaine - Babybio,3288131540177,B,['Babybio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']","['France', 'Espagne']",[],,,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,11.7 g,en quantité modérée,0.01 g,en faible quantité,?,,59,-12%,247 kj(59 kcal),-11%,"0,3",-8%,"0,1",+18%,"12,9",-12%,"11,7",-12%,"0,4",-4%,"0,01",+1%,"0,004",+1%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,['Magasins U'],,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture UE', 'FR-BIO-01', 'Sans sucre ajouté']",,,,
1247,Compote Pomme d'Aquitaine et carotte - Babybio,3288131540559,,['Babybio'],,['France'],"['Purée de fruits et légume bio ""Pomme et crurçtte"" - aliment pour bébés', "" INGREDIENTS nommes d'Aquitaine* 80%"", 'carotte$ 19,6%', 'jus de citron*', "" *Ingrédients issus de l'agriculture biologique ** Contient des sucres naturt{ement présents""]",,,[],,,,,,,,,,?,,58,,243 kj(58 kcal),,"0,3",,"0,1",,"12,4",,"10,9",,"0,4",,"0,03",,"0,012",,,,,,,,,,,,,,,,,['Magasins U'],,['Bio'],,,,
1248,Pomme d'aquitaine et patatz douce - Babybio,3288131540597,,['Babybio'],,['France'],"[""Pommes d'Aquitaine 65%"", ""issues de l'agriculture biologique"", ""patates douces d'Espagne 34,6% "", 'contient des sucres naturellement présents', ""concentré de citron issus de l'agriculture biologique""]",,,[],,,,,,,,,,?,,67,,280 kj(67 kcal),,"0,3",,"0,1",,"14,5",,"12,1",,"0,7",,"0,03",,"0,012",,,,,,,,,,,,,,,,,['Magasins U'],,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Sans sucre ajouté']",,,,
1249,GOURDE PDTERRE COURGETTE VEAU 120 G - Babybio,3288131550718,,['Babybio'],,['France'],"['Purée de légumes et viande de veau bio - aliment pour bébés INGRÉDIENTS 68% Légumes* ', 'pommes de terre de France 44%', 'courgettes de Provence* 16%', 'oignons eau de cuisson', 'viande de veau fermier dtAquitaine* et du Limousin* 8,5%', 'huile d’olive vierge extra* ', ""ail d'Espagne*"", 'ciboulette de France* ', 'thym de France*']",,,[],,,,,,,,,,?,,64,,268 kj(64 kcal),,"1,8",,"0,4",,"8,2",,"0,8",,"3,1",,"0,024",,"0,01",,,,,,,,,,,,,,,,,,,"['Bio', 'Pommes de terre de France']",,,,
1250,Soupe petits pois courgettes de Provence - Babybio - 190g,3288131570402,,['Babybio'],"['Aliments pour bébé', 'Plats du soir pour bébé', 'Dès 6 mois']",['France'],"['Légumes 48% ', ""petits pois d'Espagne 12%"", 'courgettes de Provence 10%', 'panais du Val de Loire 8%', 'haricots verts de France', 'pommes de terre de France 6%', ""oignons d'Espagne"", 'eau de cuisson', 'riz 5%', 'persil de France']",,,[],1,,,,,,,,,?,,44,-37%,184 kj(44 kcal),-37%,"0,3",-87%,0,-100%,8,-13%,"1,5",-46%,"1,6",-29%,"0,02",-90%,"0,008",-90%,,,,,,,,,,,,,190 g,,,"['Magasins U', 'Monoprix']",,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Pommes de terre de France']",,,,
1251,Soupe potimarron panais - Babybio - 190g,3288131570419,,['Babybio'],,['France'],[],,,[],,,,,,,,,,?,,37,,155 kj(37 kcal),,"0,2",,"0,1",,"7,5",,"1,6",,"0,9",,0,,0,,,,,,,,,,,,,,190 g,,,['Magasins U'],,"['Bio', 'en:gluten-free']",,,,
1252,Hachis Parmentier avec Boeuf fermier d'Aquitaine et du Limousin - Babybio - 190g,3288131570754,D,['Babybio'],"['Viandes', 'Plats préparés', 'Aliments pour bébé', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Dès 8 mois', 'Plats principaux pour bébé', 'Menus Viandes pour bébé', 'Hachis parmentier']",['France'],[],,,[],,,,,,,,,,?,,52,-22%,218 kj(52 kcal),-22%,"0,9",-59%,"0,51",-20%,"0,8",-90%,"0,7",-61%,"2,5",-10%,"0,018",-91%,"0,007",-91%,,,,,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,,190 g,,,['Magasins U'],,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,
1253,Fruit Kid'Z Pomme Raisin - Kalibio - 20cl,3288131600024,C,['Kalibio'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']",['France'],"['Pur jus de de pomme 66%', 'pure jus de raisin 30%', 'acérola 4%']",,,[],1,0 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0.01 g,en faible quantité,?,,69,+44%,289 kj(69 kcal),+44%,~ 0,-100%,~ 0,-100%,17,+53%,17,+63%,"0,2",-53%,"< 0,01",+25%,"0,004",+25%,10,+123%,E,+123%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,jus de fruits en brique,20 cl,['Briques'],,,['France'],"['Bio', 'Bio européen', 'Fabriqué en France']",,http://www.kalibio.com,,
1254,3X20CL Jus Fruits Kid'z Kalibio - 3x 20cl,3288131600031,,['Kalibio'],['Boissons'],['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,46,-18%,192 kj(46 kcal),-20%,"0,1",-71%,"0,1",-15%,"11,5",+2%,11,+17%,"0,1",-80%,0,-100%,0,-100%,15,+96%,E,+96%,,,,,,,,,3 x 20 cl,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,
1255,Cool Fruits - Pomme Fraise Myrtille - KaliBio - 90g,3288131600147,B,['KaliBio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",['France'],"['Pommes* 67%', 'fraises* 20%', 'concentré de fruits* ', 'concentré de raisin*', 'concentré de citron*', 'myrtilles* 3%', ""jus d'acérola* - * ingrédients issus de l'agriculture biologique""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,11 g,en quantité modérée,,,270,-1%,64,+3%,270 kj(64 kcal),+2%,?,,,,15,+10%,11,-12%,"0,25",-38%,,,,,,,,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,Concentré de fruits,90 g,"['Gourde', 'Plastique']",,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'Fabriqué en France', 'AB Agriculture Biologique']","['France', 'Union européenne', 'Hors Union Européenne']",,,
1256,Cool Fruits Pomme Banane - Kalibio - 90g,3288131600192,B,['Kalibio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes à boire', 'Compotes pommes banane', 'Compotes à b']",['France'],"['Pommes 77%', 'bananes 20%', ""jus d'acérola""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0.1 g,en faible quantité,13.9 g,en quantité élevée,0.0533 g,en faible quantité,268,-1%,63,-5%,268 kj(63 kcal),-3%,"0,2",-35%,"< 0,1",+40%,14,-4%,"13,95",+8%,"0,5",+8%,"0,053",+477%,"0,021",+477%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,Compote à la pomme et à la banane,90 g,"['Gourde', 'Plastique']",,,['France'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,
1257,Mini Jungle - Kalibio - 2*80g - 160g,3288131600314,D,['Kalibio'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",['France'],"['Farine de blé', 'chocolat au lait 25% ', 'sucre de canne non raffiné', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'sucre de canne roux', 'huile de palme non hydrogénée', 'œufs entiers en poudre', 'sel de mer non raffiné', ""poudre à lever : carbonate d'ammonium""]","[""E503i - Carbonate d'ammonium""]","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Végétarien']",3,26 g,en quantité élevée,13 g,en quantité élevée,29.3 g,en quantité élevée,0.269 g,en faible quantité,2120,+2%,?,,2120 kj(507 kcal),+3%,26,+11%,13,+10%,"60,7",-3%,"29,3",-10%,"6,4",-2%,"0,269",-51%,"0,108",-51%,21,-2%,E,-2%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Biscuits au chocolat,2*80 g - 160 g,"['Carton', 'Plastique', 'Sachets fraicheurs']",,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Huile de palme'],
1258,Star O'Miel - Céréales soufflées enrobées au miel - Kalibio - 375g,3288131600437,B,['Kalibio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",['France'],"['Farine complète de blé* 25,7%', 'farine de blé', 'sucre de canne blond', 'riz*', 'avoine*', 'miel* 4,1%', 'orge*', ""sirop de malt d'orge*"", 'caramel* ', 'sucre de canne roux*', 'eau', 'sel de mer']",,"['Gluten', 'Avoine']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,3.2 g,en quantité modérée,0.8 g,en faible quantité,26.2 g,en quantité élevée,0.356 g,en quantité modérée,1667,-2%,394,-1%,1667 kj(394 kcal),-0%,"3,2",-63%,"0,8",-64%,"80,9",+21%,"26,2",+57%,"7,8",-16%,"0,356",-0%,"0,142",-0%,1,-81%,B,-81%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,Céréales soufflées enrobées au miel,375 g,"['Boite', 'Carton', 'sous atmosphère protectrice']",,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']","['Union européenne', 'Hors Union Européenne']",,,
1259,Cool fruits et legumes - Vitabio,3288131600710,,['Vitabio'],,['France'],[],,,[],,,,,,,,,,?,,57,,238 kj(57 kcal),,"0,3",,0,,11,,10,,"1,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,['Magasins U'],,"['Bio', 'Fabriqué en France', 'Sans sucre ajouté']",,,,
1260,P'tit Déj au lait et céréales - Vitabio,3288131600901,,['Vitabio'],,['France'],"['malin à emporter Gourman partout I C?toaration lactée bio aux céréales et au cacao entier en poudre reconstitué* 84%', 'sucre de 2- ', ' farine de riz* 1,5%', ""cacao maigre* 2210E 'Ingrédients jssesd? @Cereales licteas Citer"", 'ic lacteal cereals•Cocoa ingredientes', ' Leche entera Wihole milk powder* ', ""durum Wheat da' 84%"", ""azùcar de cafia' Inarec""]",,,[],,,,,,,,,,?,,109,,456 kj(109 kcal),,3,,"1,9",,"16,5",,12,,4,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,['Bio'],,,,
1261,Cool fruits - vitabio - 6*90g,3288132630204,A,['Vitabio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']",['France'],"['Pomme 69%', 'fraise 20,7%', 'sirop de sucres issus de fruits ', 'jus de myrtille 3%', 'acérola 3%', 'concentré de citron']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.2 g,en faible quantité,0.001 g,en faible quantité,13.5 g,en quantité élevée,0.004 g,en faible quantité,?,,62,0%,259 kj(62 kcal),-2%,"0,2",-45%,"0,001",-99%,"13,5",-1%,"13,5",+8%,"0,3",-26%,"0,004",-57%,"0,002",-57%,-5,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,6*90g,['Carton'],,['Magasins U'],['France'],"['Bio', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans conservateurs']",,,,
1262,Cool Fruits Pomme Pêche Abricot + Acérola et Pomme Poire + Acérola - Vitabio - 540g (6 * 90g),3288132630211,B,['Vitabio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes à boire', 'Compotes pommes pêche', 'Compotes pommes poires', 'Compotes pommes abricot']",['France'],"[""Pomme Pêche Abricot + Acérola : Pomme d'Aquitaine* 63,6 %"", 'pêche* 18,8 %', 'abricot* 9,5 %', 'sirop de sucres issus de fruits*', 'acérola* 3 %', 'concentré de citron*', ""\rPomme Poire + Acérola : Pomme d'Aquitaine* 57%"", 'poire* 40%', 'acérola* 3 %', ""\r*Ingrédients issus de l'agriculture biologique""]",,,[],1,0.2 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0.004 g,en faible quantité,286,+11%,?,,286 kj(68 kcal),+11%,"0,2",-29%,~ 0,-100%,15,+9%,15,+17%,"0,4",-6%,"0,004",-30%,"0,002",-30%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,compotes à boire multifruits pomme pêche abricot et pomme poire,540 g (6 * 90 g),"['Carton', 'Boîte', 'Plastique', 'Gourde']",,['Magasins U'],['France'],"['Bio', 'Ecocert', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs', 'Terracycle']","['France', 'Aquitaine']",http://www.vitabio.fr/enfants-cool-fruits.php,,
1263,Cool fruits - Vitabio - 540g (6 * 90g),3288132630228,B,['Vitabio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes à boire', 'Compotes pommes banane', 'Compotes pommes mangue ananas']",['France'],"['- Pomme* 40 %', 'mangue* 35 %', ""jus d'ananas* 22 %"", 'Acérola 3 %', '\r- Pomme* 77 %', 'banane* 20 %', 'Acérola 3 %']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.175 g,en faible quantité,0 g,en faible quantité,12.1 g,en quantité modérée,0.05 g,en faible quantité,?,,62,-6%,259 kj(62 kcal),-6%,"0,175",-43%,0,-100%,"13,75",-6%,"12,1",-6%,"0,4",-14%,"0,05",+441%,"0,02",+441%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,540 g (6 * 90 g),"['boîte', 'Carton', 'Plastique']",,['Magasins U'],['France'],"['Bio', 'Ecocert', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique', 'Terracycle']",,,,
1264,"Le Mothais Sur Feuille, La Pièce De",3288151526236,,,,['France'],[],,,[],,,,,,,,,,?,,319,,1335 kj(319 kcal),,25,,"18,5",,"1,5",,0,,22,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,
1265,Chabichou du Poitou AOP - Fromagerie Poitou chèvre - 150g,3288157080916,C,['Fromagerie Poitou chèvre'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages pasteurisés', 'Chabichous']",['France'],['Fromage de chèvre'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,25 g,en quantité élevée,,,,,,,?,,?,,,,25,+10%,,,?,,,,?,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,Fromage de chèvre pasteurisé,150 g,['Plastique'],"['FR 79.184.001 CE', 'Mothe-Saint-Héray (Deux-Sèvres, France)']",['Carrefour'],['Poitou'],['AOP'],"['France', 'Poitou']",,,
1266,Bonbon anglais,3288191260503,,,,['France'],[],,,[],,,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,"11,5",,"11,5",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Sega tropique,3288194352007,,,,['France'],[],,,[],,,,,,,,,,?,,24,,100 kj(24 kcal),,0,,0,,"5,9",,"5,9",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1268,La fet,3288194392003,,,,['France'],[],,,[],,,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,"11,5",,"11,5",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Citro ! Citronnade Fruit de la passion,3288194902042,,['Citro !'],['Boissons'],['France'],"['EAU DE SOURCE ', ' 91 0%', ' ', "" NATUREL DE CITRON AVEC D'AUTRES CONSERVATEURS: E202 - 242""]","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,[],,0 g,en faible quantité,0 g,en faible quantité,6.1 g,en quantité modérée,0 g,en faible quantité,?,,25,-55%,105 kj(25 kcal),-56%,0,-100%,0,-100%,"6,1",-46%,"6,1",-35%,0,-100%,0,-100%,0,-100%,9,+17%,D,+17%,,,,,,,,,,,,,,,,,,
1270,Citro! - Saveur menthe - Edena,3288194902059,,['Edena'],['Boissons'],['France'],"['EAU DE SOURCE ', ' 91% ', ' ', 'sucre de canne de la RÉUNION', 'acidifiant : ACIDE CITRIQUE', ""arôme NATUREL DE CITRON AVEC D'AUTRES ARÔMES arôme naturel DE MENTHE"", 'STABILISANTS : gomme ester', ""GOMME D'ACACIA"", ' Conservateurs: E202', 'E242']","['E330 - Acide citrique', 'E445 - Esters glycériques de résine de bois', ""E414 - Gomme d'acacia"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E242 - Dicarbonate de diméthyle']",,[],4,0 g,en faible quantité,0 g,en faible quantité,6.1 g,en quantité modérée,0 g,en faible quantité,?,,25,-55%,105 kj(25 kcal),-56%,0,-100%,0,-100%,"6,1",-46%,"6,1",-35%,0,-100%,0,-100%,0,-100%,9,+17%,D,+17%,,,,,,,,,,,,,,,,,,
1271,Compote pomme vanille,3288310840326,,,,['France'],[],,,[],,,,,,,,,,?,,87,,364 kj(87 kcal),,"0,5",,"0,2",,20,,18,,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,
1272,Compote pomme abricot 400Gr,3288310840333,,,,['France'],[],,,[],,,,,,,,,,?,,78,,326 kj(78 kcal),,"0,5",,"0,2",,19,,18,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,
1273,Compote pomme ananas -,3288310843594,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes ananas']",['France'],[],,,[],,0.5 g,en faible quantité,0.2 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,?,,71,+22%,297 kj(71 kcal),+23%,"0,5",+45%,"0,2",+63%,16,+27%,15,+29%,"0,5",+13%,0,-100%,0,-100%,-2,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,
1274,Courgettes cuisinées au piment d'espelette - Charles & Alice - 375g,3288310843761,,['Charles & Alice'],"['Plats préparés', 'Légumes préparés', 'Plats préparés à réchauffer au micro-ondes']",['France'],"['Courgettes pré-frites 42,5% ', 'courgettes', 'huile de tournesol', 'tomates', 'eau', 'oignons', 'céleri', 'basilic', 'sucre', 'concentré de tomates', 'sel', 'amidon transformé de maïs', ""huile d'olive vierge extra 0,7%"", 'ail', ""correcteur d'acidité : acide citrique"", ""piment d'espelette 0,05%"", 'poivre']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']",['Céleri'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,9.4 g,en quantité modérée,1.1 g,en faible quantité,5 g,en quantité modérée,1 g,en quantité modérée,536,+58%,129,+43%,536 kj(129 kcal),+44%,"9,4",+105%,"1,1",+54%,"8,6",+25%,5,+58%,1,-51%,1,+38%,"0,4",+38%,3,+663%,C,+663%,,,,,,,,,375 g,"['Pot', 'Plastique']","['EMB 84080E', 'Monteux (Vaucluse, France)']",['Noz'],"['Provence', 'France']","['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,
