,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,origin_detail,manufacturing,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,markets,ingredients_origins,link,brand_owner,producer_info,generic_name,palm_ingredients
1595,Qualità premium filetti di tonno all'olio di oliva,8005850113438,['France'],[],[],?,359,1502 kj(359 kcal),32,"5,1","1,8",0,17,"1,1","0,44",,,D,"['Produits de la mer', 'Poissons', 'Thons', 'Filets de poissons', 'Filets de thon', ""it:Filetti di tonno all'olio di Oliva""]",32 g,en quantité élevée,5.1 g,en quantité élevée,0 g,en faible quantité,,+55%,+61%,+141%,+138%,+392%,-100%,-30%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,1.1 g,en quantité modérée,+11%,+11%,13,+195%,D,+195%,,,,,,,,
1596,Focaccia artisanale,3760255300924,['France'],[],[],?,236,987 kj(236 kcal),"9,1","2,8",30,"1,7","7,5","0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Lapin chocolat,3273070400255,['France'],[],[],?,542,2268 kj(542 kcal),32,20,57,56,6,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Les petites germées- poireau alfalfa radis - La Vie Claire,3266191108292,['France'],[],[],?,46,192 kj(46 kcal),"1,8",0,"1,8","1,8","4,6",0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,['La Vie Claire'],,,,,,,,,,,,,,,,,,,,
1599,Confiture carotte vanille passion,3770005999254,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Street good oignons caramélisés et bacon,3660603082086,['France'],[],[],?,373,1561 kj(373 kcal),35,"2,9",12,"9,9","1,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Green and bkack,5627910584724,['France'],[],[],?,607,2540 kj(607 kcal),50,30,24,14,10,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Origano foglie,8004708082094,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Pain au levain,0206968009455,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,3770014151049,3770014151049,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Soupe de lentilles,3566141050047,['France'],[],[],?,16,67 kj(16 kcal),"0,077","0,013","3,2","1,39","1,31","0,228","0,091",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de lentilles']",0.077 g,en faible quantité,0.013 g,en faible quantité,1.39 g,en faible quantité,,-79%,-80%,-97%,-97%,-67%,-6%,-63%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,0.228 g,en faible quantité,-58%,-58%,1,,B,,,,,,,,,
1606,Les aromatisés,3665707000417,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Wrap n’ Rawl,3770013074011,['France'],[],[],?,341,1427 kj(341 kcal),13,"1,6",37,18,12,23,"9,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Pollen de fleurs - La Maison du Miel - 700g,3540869002120,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Produits de la ruche', 'Pollens']",,,,,,,,,,,,,,,,,,,,,,700 g,,['La Maison du Miel'],,,,,,,,,,,,,,,,,,,,
1609,Preparation bio cookies,3770009798600,['France'],[],[],?,417,1745 kj(417 kcal),"9,4","9,4","76,8","76,8","6,2",3,"1,2","['EMB 35106A', 'Ercé-en-Lamée (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Panaché,5411616007669,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Crême Vanille,3387270612001,['France'],[],[],?,105,439 kj(105 kcal),"3,05","2,2","16,7","12,9","2,7","0,11","0,044","['EMB 42299B', 'Savigneux (Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Dessert Erhard Glace Pistache N°2,3428420019230,['France'],[],[],?,218,912 kj(218 kcal),11,6,26,21,"3,6","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Green riced vegetables,5411361091067,['France'],[],[],?,24,100 kj(24 kcal),"0,2","0,1","1,7","0,7","2,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,"Oliva Virgen Extra, Aceite De 2LT Gomeoliva",8421555333856,['France'],[],[],?,888,3715 kj(888 kcal),100,14,0,0,0,0,0,,"['Bio', 'Bio européen']",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,+5%,0%,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,0 g,en faible quantité,-100%,-100%,6,-2%,C,-2%,,,,,,,,
1615,Terroir Grinou Merlot & Cabernet Tradition - 750ml,3439141111202,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français']",,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,750 ml,['Glass'],['Terroir Grinou'],,,,,,,,,,,,,,,,http://www.grinou.com,,,,
1616,Fettine di latte classiche,8057737590306,['France'],[],[],?,?,,?,,?,,?,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Piment oiseau rouge,6009665701486,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,La vache qui rit,3073788829740,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Mousse au canard au porto,29012404,['France'],[],[],?,469,1962 kj(469 kcal),46,17,"4,1",1,"9,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Le vin papappareil,3529219110012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
