,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,labels,traceability_code,link,manufacturing,ingredients_origins,brand_owner,origin_detail,producer_info
20,Mini Double Caramel Chocolate - Magnum - 360ml 300g,8712100880261,B,,360 ml 300 g,"['Karton', 'Kunststoff', 'Caixa', 'Cartão', 'Saquetas', 'Plástico', 'PP', 'Polipropileno', '♷']",['Magnum'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés']","['Jumbo', 'Continente', 'Delhaize']","['Belgique', 'France', 'Allemagne', 'Portugal']","['Schokoladeneis: Entrahmte Milch', 'Zucker', 'Kokosfett', 'Kakaomasse', 'Glukosesirup', 'Kakaobutter', 'fettarmer Kakao', 'Vollmilchpulver', 'Butterreinfett', 'Glukose-Fruktose-Sirup', 'Magermilchpulver oder - konzentrat', 'Stabilisatoren ', 'E410', 'E407', 'Emulgatoren ', 'E471', 'E442', 'E476', 'Magermilchpulver', 'modifizierte Stärke', 'Aromen', '\r Vanilleeis: Entrahmte Milch', 'Zucker', 'Kokosfett', 'Kakaomasse', 'Glukose-Fruktose-Sirup', 'Kakaobutter', 'Vollmilchpulver', 'Butterreinfett', 'Glukosesirup', 'fettarmer Kakao', 'Molkenerzeugnis', 'Stabilisatoren ', 'E407', 'E410', 'E412', 'Emulgatoren ', 'E471', 'E442', 'E476', 'modifizierte Stärke', 'Farbstoffe ', 'E150b', 'E160a', 'Magermilchpulver', 'vermahlene Vanilleschoten', 'Speisesalz', 'Aromen']","['E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E442 - Phosphatides d'ammonium"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E150b - Caramel de sulfite caustique', 'E160a - Carotènes mélangés']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,23 g,en quantité élevée,17 g,en quantité élevée,32 g,en quantité élevée,0.1 g,en faible quantité,?,,365,+32%,1527 kj(365 kcal),+31%,23,+41%,17,+53%,33,+13%,32,+25%,4,+37%,"0,1",-28%,"0,04",-28%,21,+28%,E,+28%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['Rainforest Alliance'],,,,,,,
21,Mayonnaise au truffe,8712144008591,D,,,,,"['Epicerie', 'Sauces', 'Mayonnaises']",,['France'],[],,,[],,79.6 g,en quantité élevée,9.48 g,en quantité élevée,1.6 g,en faible quantité,0.8 g,en quantité modérée,?,,730,+19%,3054 kj(730 kcal),+19%,"79,58",+20%,"9,48",+53%,"1,98",-26%,"1,6",+10%,"1,2",-2%,"0,8",-40%,"0,32",-40%,21,+17%,E,+17%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,"['Bio', 'en:gluten-free']",,,,,,,
22,Smoked norwegian - Salmon Slices - Foppen - 341g,8712224129277,E,,341 g,,['Foppen'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,"['France', 'Espagne']","['préparation de SAUMON ', 'Salmo Salat', ' 95', '1%', 'sel', 'vinaigre distillé', 'transglutaminase', 'aneth 0,6%', 'poivre noir', '0', '6%', 'paprika', 'persil', ' sauce 14,7%: eau', 'vinaigre', 'sucre', 'miel 9%', 'huile de colza', 'amidon de mais modifié', 'farine de moutarde 2,5%', 'sel', 'aneth 1,6%', 'épaississant: gomme xanthane', 'conservateur: sorbate de potassium', 'épices', 'arômes naturels', ' colorant: caroténoïdes']","['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes']","['Poisson', 'Moutarde']",['Non végétalien'],4,12.8 g,en quantité modérée,2.6 g,en quantité modérée,4.7 g,en faible quantité,2.7 g,en quantité élevée,?,,210,+14%,879 kj(210 kcal),+14%,"12,8",+22%,"2,6",+26%,"5,5",+1013%,"4,7",+1307%,"17,7",-20%,"2,7",-4%,"1,08",-4%,15,+15%,D,+15%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,
23,Fortimel Fortimel Juicy Orange - 4 x 200 ML,8712400154499,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,150,,628 kj(150 kcal),,0,,0,,"33,5",,"13,5",,"3,9",,"0,02",,"0,008",,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,
24,Bebelac Baby Milk Bebelac 2,8712400766340,,,,,['Bebelac Baby Milk Bebelac 2'],,,['France'],"['Skimmed milk', 'Lactose ', 'from milk', 'Vegetable oils ', 'Palm oil', 'Low Erucic Acid Rapeseed k,coconut oil', 'Sunflower oil', 'Dietary fibres ', 'Galacto-oligosaccharide ', 'from milk', 'Fructo-oligosaccharide', 'Calcium carbonate', 'Potassium chloride', 'Choline chloride', 'L-ascorbic acid', 'Taurine', 'Soy lecithin', 'Sodium L-ascorbate', 'Ferrous sulphate', 'L-Tryptophan', 'Inositol', 'DL-ç tocopheryl acetate', 'I-lsoleucine', 'Zinc sulphate', ""Uridine 5'-monophosphate sodium salt"", ""Cytidine 5'-monophosphate"", 'IKysteine hydrochloride', ""Adenosine 5'-monophosphate"", ""Inosine 5'-monophosphate sodium salt Nicotinamide"", ""Guanosine 5'-monophosphate sodium salt"", 'L-Carnitine', 'Calcium D-pantothenate', 'Ptemylmonoglutamic acid', 'Cupric sulphate', 'Retinyl palmitate', 'DL-a-tocopherol', 'D-Biotin,Thlamin hydrochloride', 'Cholecalciferol', 'Cyanocobalamin', 'Pyridoxin hydrochloride', 'Manganese sulphate', 'Potassium iodide', 'Phytomenadione', 'Sodium selenite', ' CONTAINS: Milk and Soya']",,"['Lait', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,452,,1891 kj(452 kcal),,"20,3",,9,,0,,0,,"15,1",,0,,0,,,,,,,,,,,,,,"[""À l'huile de tournesol""]",,,,,,,
25,Maïs doux bio - Bionova,8712423020450,B,,,,['Bionova'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve', 'Maïs doux en conserve']",,['France'],"['maïs doux*', 'eau', 'sel marin', 'jus de citron*', '*Agriculture Biologique', ' Prêt à consommer', ' Ne pas faire cuire', 'réchauffer seulement', ' Garder au frais']",,,[],3,1.4 g,en faible quantité,0.4 g,en faible quantité,8.1 g,en quantité modérée,0.2 g,en faible quantité,?,,69,-22%,289 kj(69 kcal),-24%,"1,4",-14%,"0,4",+27%,"11,6",-19%,"8,1",+68%,"2,5",-10%,"0,2",-55%,"0,08",-55%,-7,,A,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
26,Cornichons Aigres Doux - Bionova - 330g,8712423020528,,,330g,,['Bionova'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons aigres-doux']",,['France'],"['cornichon', 'vinaigre', 'sucre de canne', 'vinaigre herbes', 'sel marin', 'aneth', 'graines de moutarde', 'herbes aromatiques']",,['Moutarde'],[],3,0.2 g,en faible quantité,0.1 g,en faible quantité,5.2 g,en quantité modérée,1.7 g,en quantité élevée,?,,34,-3%,142 kj(34 kcal),+4%,"0,2",-35%,"0,1",+101%,"6,1",+18%,"5,2",+16%,"0,4",-57%,"1,7",+22%,"0,68",+22%,3,+210%,C,+210%,,,,,,,,,['Bio'],,,,,,,
27,Soupe Noodles Tomate Cup NISSIN 63G - 63g,8712429161300,C,,63 g,"['Cup', 'Plastique', 'Gobelet']",['Nissin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Plats préparés déshydratés', 'Nouilles instantanées', 'Soupes de nouilles instantanées']",,['France'],"['Nouilles 70,2 % ', 'farine de blé', 'huile de palme', 'sel', 'exhausteur de goût : E621', 'agents de traitement de la farine ', 'E500', 'E451', 'antioxydant E306', ""correcteur d'acidité : acide citrique"", 'poudre de tomates 9,7%', 'sucre', 'maltodextrine', 'sel', 'exhausteur de goût E621', 'carotte', 'épaississant : E415', 'tomates 1,1 %', 'oignon rouge', 'oignon vert', 'épices', 'extrait de levure', 'huile de colza', 'sirop de glucose', 'arôme', ' feuilles de céleri', 'feuilles de persil', 'antiagglomérant : E551', 'huile de palme', ""correcteur d'acidité: acide citrique"", 'colorant extrait de paprika', 'protéines de lait,']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E551 - Dioxyde de silicium', 'E160c - Extrait de paprika']","['Céleri', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,2.9 g,en faible quantité,1.5 g,en quantité modérée,2.5 g,en faible quantité,1.2 g,en quantité modérée,?,,77,-65%,322 kj(77 kcal),-66%,"2,9",-60%,"1,5",-55%,"10,6",-63%,"2,5",+44%,"1,6",-64%,"1,2",-39%,"0,48",-39%,6,,C,,61.6%,18.9%,5.5%,9.0%,3.5%,1.5%,81,['Huile de palme'],,,,,,,,
28,Demae Ramen - Nissin - 100g,8712429381401,,,100g,,['Nissin'],,,['France'],[],,"['Gluten', 'Lait', 'Graines de sésame', 'Soja']",[],,,,,,,,,,?,,87,,364 kj(87 kcal),,4,,"1,8",,"10,1",,"0,6",,"2,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
29,Cacahuetes grillees & salées biologiques,8712439070104,D,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes grillées', 'Cacahuètes salées']",,['France'],[],,,[],,49 g,en quantité élevée,7 g,en quantité élevée,4 g,en faible quantité,0.65 g,en quantité modérée,?,,609,+0%,2548 kj(609 kcal),+1%,49,+1%,7,-3%,16,+29%,4,-24%,26,+2%,"0,65",-44%,"0,26",-44%,5,-17%,C,-17%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,['Bio'],,,,,,,
30,"Knorr Fix, Für Stoofvlees",8712566058143,,,,,['Knorr'],,['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,113,,473 kj(113 kcal),,"5,1",,"1,7",,"4,5",,1,,12,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
31,Yellow Label Tea - Lipton - 56g,8712566109470,B,,56 g,"['Carton', 'Plastique']",['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Boissons sans alcool']",,['France'],['100% Thé noir'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,17,+21%,< 4,+100%,17 kj(4 kcal),+70%,0,-100%,0,-100%,0,-100%,0,-100%,"< 0,5",+156%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Rainforest Alliance'],,,,,,,
32,Double chicken - Knorr - 92gr,8712566169290,,,92gr,,"['Knorr', 'Knorq']",,,"['Belgique', 'France']","['Vermicelles 77% ', 'semoule de BLÉ dur', 'sel iodé', 'exhausteurs de goût ', 'E621', 'E631', 'E627', 'chlorure de potassium', 'amidon de pomme de terre', 'arôme ', 'dont OEUF', 'RAVE', 'extrait de levure', 'curcuma', 'antioxygène 892', '1 issus de liagriculture durable', ' peut contenir', ' lait', 'moutarde', ' Droog bewaren', '/ Conserver au sec']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E100 - Curcumine']","['Œufs', 'Gluten']",['Non végétalien'],4,,,,,,,,,?,,123,,515 kj(123 kcal),,"0,5",,"0,1",,"5,4",,"0,5",,"1,2",,"0,9",,"0,36",,,,,,,,,,,,,,['Sans colorants'],,,,,,,
33,Secrets de Grand-Mère Potiron Carottes fondantes et pincée de romarin Knorr - 1L,8712566191635,,Soupe Potiron Carottes,1 L,['Brique'],"['Knorr', 'Unilever']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Soupes', 'Soupe Potiron Carottes']",['Casino'],['France'],"['légumes : 61% ', 'potiron : 41%', 'carotte : 14%', 'oignon', 'eau', 'sucre', 'crème fraîche', 'huile de tournesol', 'sel', 'lactosérum ', 'lait', 'épices et aromate ', 'ail', 'romarin', 'poivre', 'lait en poudre écrémé']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1.9 g,en faible quantité,0.5 g,en faible quantité,4 g,en faible quantité,0.63 g,en quantité modérée,176,-19%,42,-26%,176 kj(42 kcal),-26%,"1,9",-2%,"0,5",-17%,"5,5",-4%,4,+131%,"0,8",-64%,"0,63",-27%,"0,252",-27%,-3,-283%,A,-283%,,,,,,,,,"['en:FSC', 'Sans conservateurs']",,,,,,,
34,Moutarde au vin blanc au parmesan et au basicic Maille - 215g,8712566198771,B,Moutarde,215 g,"['bocal verre', 'couvercle métal']","['Maille', 'Unilever']","['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['Carrefour'],['France'],"['Eau', 'graines de moutarde', 'vin blanc : 15%', 'parmesan râpé : 8%', 'sel', 'jus de citron concentré', 'basilic : 2%', 'sucre', 'acidifiant : acide citrique', 'arômes', 'conservateur : E224 ', 'sulfites']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien']",4,13 g,en quantité modérée,2.5 g,en quantité modérée,4.5 g,en faible quantité,5.1 g,en quantité élevée,?,,180,+6%,753 kj(180 kcal),+6%,13,+20%,"2,5",+205%,5,-28%,"4,5",+17%,8,+22%,"5,1",+8%,"2,04",+8%,14,+21%,D,+21%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,
35,Soupe de légumes verts avec boulettes - Knorr,8712566220809,,,,,['Knorr'],,['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,48,,201 kj(48 kcal),,"2,2",,"1,1",,"5,1",,"1,6",,"1,8",,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,
36,"Douceur de légumes du soleil avec une pointe d'origan - Knorr - 0,5l",8712566245819,,,"0,5l",['brique en carton'],['Knorr'],"['Plats préparés', 'Soupes']",['Super U'],['France'],"['eau', 'légumes 36% ', 'tomate 13%', 'aubergine 10%', 'pomme de terre', 'oignon', 'crème fraîche', 'fromage fondu ', 'fromages', 'lait écrémé', 'eau', 'beurre', 'protéines de lait', 'sel', 'amidon modifié', 'sel', 'sucre', ""huile d'olive vierge extra"", 'épices et aromates ', 'ail', 'curcuma', 'poivre', 'thym', 'origan', 'beurre']",['E14XX - Amidons modifiés'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2.5 g,en faible quantité,1.1 g,en faible quantité,2 g,en faible quantité,0.67 g,en quantité modérée,?,,45,-21%,188 kj(45 kcal),-21%,"2,5",+29%,"1,1",+82%,"4,4",-23%,2,+16%,1,-55%,"0,67",-23%,"0,268",-23%,3,+83%,C,+83%,,,,,,,,,"['en:FSC', 'Sans exhausteur de goût', 'Sans colorants artificiels', 'Sans conservateurs']",,,,,,,
37,Veloute de tomates et pointe de mascarpone - Knorr - 500ml,8712566266951,A,,500ml,"['Brique', 'Carton']",['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Tomates et dérivés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de tomates']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,,
38,Papillote poulet thym citron - Knorr - 20g,8712566301089,,,20 g,['sachet de cuisson'],['Knorr'],,,['France'],"['épices et aromates : 42%', 'sel,fécule de pommes de terre', 'extrait de levure', ""blanc d'œuf"", 'sucre', 'citron : 3,5%maltodextrine', ""huile d'olive arômes"", 'pommes', 'dextrose', 'ananas', 'colorant']",,['Œufs'],['Non végétalien'],4,,,,,,,,,?,,330,,1381 kj(330 kcal),,20,,6,,2,,"1,5",,35,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
39,Glace cannelle - Unilever,8712566360185,,,,,['Unilever'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
40,Oméga 3&6 Doux - Fruit d'Or - 400g,8712566373802,C,"Margarine allégée (60% MG) enrichie en vitamines A et D, aux huiles 100% végétales",400 g,"['Barquette', 'Plastique']","[""Fruit d'Or""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines allégées', 'Pâtés végétaux']",['LIDL'],['France'],"['Huiles végétales 60% ', 'tournesol', 'palme', 'lin', 'colza', 'eau', 'sel 0,4%', 'émulsifiants : lécithine', ""mono - et diglycérides d'acides gras"", 'poudre de babeurre ', 'LAIT', 'conservateur : sorbate de potassium', ""correcteur d'acidité : acide citrique"", 'arômes', 'colorant : caroténoïdes', 'vitamines A et D']","['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E160 - Caroténoïdes']",['Lait'],"['Huile de palme', 'Non végétalien']",4,60 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,0.41 g,en quantité modérée,2222,+11%,539,+15%,2222 kj(539 kcal),+15%,60,+17%,15,+2%,"< 0,5",-2%,"< 0,5",+90%,"< 0,5",+99%,"0,41",-29%,"0,164",-29%,10,-9%,C,-9%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,['Huile de palme'],"['Huile de palme durable', 'Omega-3']",,,,,,,
41,Magnum Mini Classic - 300g,8712566398898,B,Glace vanille enrobée de chocolat au lait (33%).,300 g,"['Surgelé', 'Plastique', 'Boîte', 'Carton']",['Magnum'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Bâtonnets glacés au chocolat', 'Bâtonnets glacés à la vanille']",['Franprix'],['France'],"['LAIT écrémé réhydraté', 'sucre', 'beurre de cacao*', 'pâte de cacao*', 'LACTOSE et protéines de LAIT', 'huile de coco', 'sirop de glucose', 'LAIT en poudre entier', 'sirop de glucose-fructose', 'BEURRE concentré', 'émulsifiants ', 'E476', 'E471', 'lécithine de SOJA', 'stabilisants ', 'E407', 'E412', 'E410', 'gousses de vanille épuisées broyées', 'arôme naturel de vanille avec autres arômes naturels', 'arôme', 'colorant ', 'E160a', ' *Vérifié Rainforest Alliance']","[""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E160a - Carotènes mélangés']","['Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,22 g,en quantité élevée,16 g,en quantité élevée,29 g,en quantité élevée,0.15 g,en faible quantité,1400,+7%,?,,1400 kj(335 kcal),+2%,22,+6%,16,+15%,31,+2%,29,+7%,"3,7",+0%,"0,15",-13%,"0,06",-13%,20,+6%,E,+6%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['en:gluten-free', 'Point Vert', ""Fabriqué dans l'UE"", 'Rainforest Alliance']",,http://www.mymagnum.be/fr-BE/product/detail/1097445/magnum-glaces-mini-classic-multipack,,,,,
42,"Großmutters Geheimnis Deftiger Erbseneintopf, Eint... - Knorr - 122g",8712566427048,B,,122 g,['Tüten'],"['Knorr', 'Unilever']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Lentilles en conserve']",,"['France', 'Allemagne']",[],,,[],,1.5 g,en faible quantité,0.5 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,?,,70,-18%,293 kj(70 kcal),-17%,"1,5",+78%,"0,5",+118%,9,-21%,1,+59%,4,-34%,1,+42%,"0,4",+42%,2,,B,,18.0%,39.2%,18.8%,10.4%,5.3%,8.4%,93,,,,,,,,,
43,Sauce curry - Knorr - 750ml,8712566429745,A,Sauce au curry,750 ml,"['Boite', 'Carton']",['Knorr'],"['Epicerie', 'Sauces', 'Sauces au curry']",,['France'],"['Farine de froment', 'graisse de palme', 'curry 7,1% ', 'coriandre', 'cumin', 'curcuma', 'poivre', 'anis', 'cannelle', ' graines de fenouil', 'gingembre', 'racine de livèche', 'poivre de cayenne', 'piment', 'sel', 'amidon de pomme de terre', 'poudre de pomme', 'arome', 'sirop de glucose', 'protéines végétales hydrolysées', 'sucre', 'curcuma', 'malto-dextrine', 'protéines de lait', 'chlorure de potassium', 'oignon en poudre', 'jus de citron en poudre', 'sirop de sucre caramélisé', 'sauce soja ', 'graine de soja', 'froment', 'ail en poudre', 'poivre', 'extrait de levure', 'racine de persil']",,"['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Végétarien']",4,3.9 g,en quantité modérée,2.4 g,en quantité modérée,5.7 g,en quantité modérée,0.85 g,en quantité modérée,?,,93,-60%,389 kj(93 kcal),-58%,"3,9",-79%,"2,4",-29%,"9,9",-6%,"5,7",-5%,"4,4",+175%,"0,85",-49%,"0,34",-49%,5,-57%,C,-57%,21.5%,33.8%,17.7%,14.0%,7.6%,5.3%,96,['Huile de palme'],"['Agriculture durable', 'Végétarien', 'Union Végétarienne Européenne', 'Sans exhausteur de goût', 'Sans conservateurs']",,,,,,,
44,Yellow Label Tea - lipton - 50g,8712566472758,A,Thé noir dont 5% de feuilles de thé pressées,50 g,"['sachet papier', 'boite papier', 'sachet individuel']","['Lipton', 'Unilever']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Boissons sans sucre ajouté']",,['France'],['thé noir 100%'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,< 17,+21%,?,,< 17 kj(4 kcal),+70%,0,-100%,0,-100%,0,-100%,0,-100%,"< 0,5",+156%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,"[""Fabriqué dans l'UE"", 'PEFC', 'Rainforest Alliance']",,,,,,,
45,Knorr Soupe Douceur de Légumes d'Automne 83g 3 Portions - 83g,8712566490530,B,Soupe déshydratée.,83 g,['Sachet'],['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes de légumes', 'Soupes déshydratées']",['Super U'],"['France', 'Suisse']","['pomme de terre¹ : 22%', 'courge¹ : 13%', 'graisse palme', 'amidon modifié de maïs ', 'carotte¹ : 6,3%', 'sel', 'CRÈME : 5,1%', 'amidon de pomme de terre', 'CELERI-RAVE¹ : 4,1%', 'sucre', 'poireau¹ : 3%', 'maltodextrine', 'tomate¹ : 2,5%', 'oignon¹ : 2,5%', 'chou¹ : 2,4%', 'graisse de poule ', 'graisse de poule', 'antioxydant : extraits de romarin', 'lactose ', 'LAIT', 'protéines de LAIT', 'farine de BLÉ', 'protéines végétales hydrolysées', 'arômes', 'chlorure de potassium', 'extrait de levure', 'persil¹', 'antioxydant : E 320', ' Peut contenir : moutarde', 'œuf', 'soja', "" ¹Ingrédients issus de l'agriculture durable : 56%"", ' Teneur en légumes¹ : 55,8%']","['E14XX - Amidons modifiés', 'E392 - Extrait de romarin', 'E320 - Butylhydroxyanisol']","['Céleri', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1.9 g,en faible quantité,1.1 g,en faible quantité,2 g,en faible quantité,0.72 g,en quantité modérée,183,-76%,?,,183 kj(44 kcal),-68%,"1,9",-23%,1,+8%,"5,5",-75%,2,-46%,"0,9",-76%,"0,73",-76%,"0,292",-76%,4,+30%,C,+30%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,"['Agriculture durable', 'Point Vert', 'Sans colorants', 'Sans exhausteur de goût', 'Sans conservateurs']",,,,,,,
