,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
1742,2 galettes de céréales - épinards & pignons de pin - La Vie Claire - 2 * 90g (180g),3266191054810,,,2 * 90 g (180 g),"['Barquette', 'Plastique']",['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Substituts de viande', ""Plats préparés d'origine végétale"", 'Steaks végétaux']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Flocons de blé complet hydratés* 40 g', 'riz complet cuit* 31,2 g', ""flocons d'avoine complète hydratés 20 g"", 'farine de blé complet* 10,5 g', 'épinards* 9,3 g', 'oignons*', 'huile de tournesol désodorisée*', 'pignons de pin* 3,5 g', 'ail*', 'sel de mer', 'herbes de Provence*', 'poivre', ' \rQuantités mises en oeuvre pour 100 g de galette', "" \r*Ingrédients agricoles issus de l'Agriculture Biologique""]",,"['Gluten', 'Avoine']","['Végétalien', 'Végétarien']",3,9.1 g,en quantité modérée,1 g,en faible quantité,2.6 g,en faible quantité,1 g,en quantité modérée,972,+15%,?,,972 kj(232 kcal),+14%,"9,1",+2%,1,-32%,28,+66%,"2,6",+10%,"6,7",-36%,1,-5%,"0,4",-5%,-3,-2290%,A,-2290%,,,,,,,,['France'],,['La Vie Claire'],,,,,,
1743,Fromage Blanc au Lait de Brebis - La Vie Claire - 400g,3266191055343,B,,400 g,,['La Vie Claire'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de brebis', 'Fromages blancs natures']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'en:lait-francais-french-milk']",['France'],"['Lait de brebis demi-écrémé pasteurisé', 'ferments lactiques sélectionnés', 'présure végétale']",,,[],3,3.3 g,en quantité modérée,2.4 g,en quantité modérée,3.6 g,en faible quantité,0.09 g,en faible quantité,?,,75,-20%,314 kj(75 kcal),-20%,"3,3",-35%,"2,4",-30%,"5,4",+3%,"3,6",-9%,"6,1",-3%,"0,09",-13%,"0,036",-13%,-1,-207%,A,-207%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,['La Vie Claire'],['France'],,,,,
1744,Tofu multigraines - La Vie Claire - 200g (2 * 100g),3266191057972,B,,200 g (2 * 100 g),,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']","['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:The Vegan Society', 'AB Agriculture Biologique']",['France'],"['Tofu* 94% ', 'eau', 'soja*', 'gélifiants : chlorure de calcium', 'chlorure de magnésium ', 'nigari', 'graines* 6% ', 'sésame*', 'lin*', 'moutarde*', 'pavot', 'tournesol*', 'tamari* ', 'eau', 'soja', 'sel', 'saké distillé', 'Aspergillus oryzae']",,"['Moutarde', 'Graines de sésame', 'Soja']","['Végétalien', 'Végétarien']",4,9.3 g,en quantité modérée,1.6 g,en quantité modérée,0.7 g,en faible quantité,0.76 g,en quantité modérée,?,,151,+2%,632 kj(151 kcal),+1%,"9,3",+7%,"1,6",+12%,"0,8",-63%,"0,7",+13%,"14,9",+7%,"0,76",+11%,"0,304",+11%,-2,,A,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,,,['La Vie Claire'],,,,,,
1745,Pétales de fruits rouges - La Vie Claire,3266191081021,,,,,['La Vie Claire'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['Riz* 49,8% ', 'épeautre* 37,6%', 'sucre de canne* cranberries* 3,5%', 'cranberries', 'sucre de canne', 'huile de tournesol*', 'fraises* 2,5 % ', ""sirop de malt d'orge déshydraté*"", 'sel', "" Ingrédients agricoles issus de l'Agriculture Biologique"", ' Peut contenir des traces de fruits à coque', 'soja', 'graines de sésame lait et arachide']",,['Gluten'],[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"1,8",,"0,3",,72,,9,,"8,6",,"0,8",,"0,32",,,,,,,,,,,,,,,['La Vie Claire'],,,,,,
1746,Galettes Bretonnes - La Vie Claire - 125g,3266191085609,C,,125 g,"['Sachet', 'Plastique', 'Boîte', 'Carton']",['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits sablés']","['Bio', 'Bio européen', 'Point Vert', 'Pur beurre', 'AB Agriculture Biologique']",['France'],"['Farine de blé*', 'sucre de canne roux*', 'beurre de baratte* 25,5%', 'œufs en poudre*', 'sel marin non raffiné', 'arôme naturel de vanille', ""poudre à lever : carbonate d'ammonium"", 'lait écrémé en poudre', 'sucre', "" *Ingrédients agricoles issus de l'Agriculture Biologique""]","[""E503i - Carbonate d'ammonium""]","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,21 g,en quantité élevée,14 g,en quantité élevée,25 g,en quantité élevée,0.6 g,en quantité modérée,2060,+10%,492,+10%,2060 kj(492 kcal),+10%,21,+29%,14,+128%,68,+2%,25,-21%,"6,5",-12%,"0,6",+27%,"0,24",+27%,21,+24%,E,+24%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,['La Vie Claire'],,,,,,
1747,16 mini cakes - La Vie Claire - 560g,3266191085654,,,560 g,['Sachet plastique'],['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Sans huile de palme', 'AB Agriculture Biologique']",['France'],"['farine de blé T65', 'sucre de canne non raffine', 'pepites de chocolate* 16%,\rite de cacao* ', 'sucre de canne* ', 'beurre de cacao* ', 'émulsifiant: lécithine de tournesol', 'arôme \rrel de vanille*', 'oeufs* entiers', 'huile de tournesol* ', 'sirop de blé* ', 'eau', 'poudre à lever \rdon de blé* ', 'bicarbonate de sodium', 'bitartrate de potassium', ""bicarbonate d'ammonium"", '\rarin', 'extrait de vanille* ', 'sirop de sucre de canne* ', 'sirop de glucose* ', 'extrait de vanille*', "" \r*ingrédients issus de l'agriculture biologique""]","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",,['Non végétalien'],4,21.1 g,en quantité élevée,5.1 g,en quantité élevée,28 g,en quantité élevée,0.4 g,en quantité modérée,?,,430,+7%,1799 kj(430 kcal),+7%,"21,1",+8%,"5,1",-33%,"54,2",+9%,28,+0%,"5,7",+5%,"0,4",-34%,"0,16",-34%,16,-11%,D,-11%,,,,,,,,['France'],,['La Vie Claire'],,,,,,
1748,Mon Petit Goûter au Cacao - La Vie Claire - 185g,3266191085739,C,Biscuits fourrés au cacao maigre,185 g,"['Boîte', 'Carton', 'Plastique']","['La Vie Claire', ""Les Super Kid's""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés', 'Goûters fourrés']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Riche en fibres', 'Fabriqué en France', 'Fabriqué en Italie', 'AB Agriculture Biologique']",['France'],"['Farine de blé T65 50%', 'sucre de canne roux', 'huile de tournesol oléique', 'poudre de cacao maigre 6%', 'poudre de lait écrémé', 'beurre de cacao', 'œufs entiers', 'beurre', 'sel de mer', ""poudres à lever : carbonates d'ammonium"", 'carbonates de sodium', ""épaississant : gomme d'acacia"", 'émulsifiant : lécithine de tournesol', 'amidon de blé', ' Peut contenir des traces de noisettes']","[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', ""E414 - Gomme d'acacia"", 'E322i - Lécithine']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,19 g,en quantité modérée,5.4 g,en quantité élevée,33 g,en quantité élevée,0.6 g,en quantité modérée,?,,480,+1%,2008 kj(480 kcal),+0%,19,-1%,"5,4",-40%,67,-1%,33,+5%,"8,6",+37%,"0,6",+16%,"0,24",+16%,16,-16%,D,-16%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['France'],,['La Vie Claire'],,,,,,
1749,Soja cuisine - la vie claire - 20cl,3266191090061,A,,20 cl,['Tetra Pak'],['la vie claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Crèmes végétales', 'Crèmes végétales pour cuisiner', 'Crèmes végétales à base de soja pour cuisiner']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'IT-BIO-009']",['France'],"['Tonyu* ', 'eau', 'soja* 6%', 'huile de tournesol*', 'maltodextrine de maïs*', 'épaississants : gomme de xanthane', 'gomme de guar', 'carraghénane', 'émulsifiant : lécithine de tournesol', 'arôme naturel', 'sel marin', ""\r*Ingrédients agricoles issus de l'Agriculture Biologique""]","['E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",['Soja'],['Sans huile de palme'],4,21 g,en quantité élevée,2.5 g,en quantité modérée,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,215,+38%,900 kj(215 kcal),+39%,21,+43%,"2,5",+46%,4,+48%,"0,5",-71%,"2,5",-14%,"0,1",-7%,"0,04",-7%,3,+86%,C,+86%,50.8%,26.4%,8.8%,8.6%,5.3%,0.0%,91,,,['La Vie Claire'],,,,,,
1750,Spécialité végétale ail et fines herbes - La Vie Claire - 125g,3266191102160,,,125 g,,['La Vie Claire'],,"['Bio', 'Végétarien', 'Végétalien']",['France'],"['Tofu lactofermenté* 91 % ', 'eau filtrée', 'graines de soja dépelliculées*', 'ferments sélectionnés', ""huile d'olive de première pression à froid*"", 'infusion de persil* ', 'huile de colza de première pression à froid*', 'persil*', 'sel marin non raffiné', 'persil?', 'ail* fines herbes* 0,4% ', 'ail*', 'basilic*', 'romarin*', 'poireau*', ""persil'"", 'mariolaine*', 'livèche*', 'algues', ""infusion d'ail* 0,2% "", 'huile de colza* de première pression à froid', 'ail*', ""*Ingrédients agricoles issus de l'Agriculture Biologique"", ' Peut contenir des traces de noix', 'noisettes', 'amandes et moutarde']",,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,164,,686 kj(164 kcal),,"12,9",,"1,75",,1,,"0,1",,"10,7",,"1,6",,"0,64",,,,,,,,,,,,,,,['La Vie Claire'],,,,,,
1751,Chocolat Noir 85%de Cacao Aux Eclats D'orange - La Vie Claire,3266191104102,B,,,,['La Vie Claire'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', ""Chocolats noirs à l'orange""]","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Pâte de cacao“', 'beurre de cacao“', 'préparation aux oranges“ 12%', ""oranges'"", 'jus de pomme concentré“', 'farine de riz“', 'gélifiant : pectine de citron', 'sucre de canne“', ""extrait d'agave“"", 'vanille“', ""huile essentielle d'orange“"", ' “Ingrédients agricoles issus de l’Agriculture Biologique', ' Ce chocolat ne contient pas de lécithine de soja', ' Peut contenir des traces de lait', 'noisettes', 'mules et aradiides']",['E440 - Pectines'],,[],4,48 g,en quantité élevée,28 g,en quantité élevée,14 g,en quantité élevée,0.03 g,en faible quantité,?,,576,+10%,2410 kj(576 kcal),+10%,48,+40%,28,+35%,22,-49%,14,-62%,10,+49%,"0,03",-23%,"0,012",-23%,15,-30%,D,-30%,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,,,['La Vie Claire'],,,,,,
1752,Farine de riz complet - La Vie Claire,3266191121093,B,,,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['PAR FR', 'BIO', 'OI AGRICULTURE IE - e est la céréale la plus digeste et la pla Cette farine de riz complet permet de réalis galettes', 'pâtes', 'gâteaux de i iz etc', ' Traces possibles de céréales contenant du gluten', 'soja', 'fruits à coques', 'sésame 04', '72', '67B0', '08 3 - 266191']",,,[],,2.8 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,0.02 g,en faible quantité,?,,352,-1%,1473 kj(352 kcal),-0%,"2,8",+61%,"0,7",+61%,"73,9",-4%,"0,9",+66%,"6,4",-7%,"0,02",+68%,"0,008",+68%,1,,B,,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,,['La Vie Claire'],,,,,,
1753,"Claviere, Saucisse de Montbeliard fumees en Tuye, le paquet de 2",3266470066213,E,,,,['Claviere'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Montbéliard']",,['France'],"['Viande de porc', 'sel', 'dextrose', 'épices et plante arorrztique', 'conservateur : nitrite de sodium', 'ferments', ' Boyau naturel de porc', "" 106 g de 'fiande mise en ?uvre pour 100g de roduit fini"", ' Viande de porc origine France', ' ,lzurs énergétiques pour 100 g : 1440k /']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,31.1 g,en quantité élevée,12.4 g,en quantité élevée,1 g,en faible quantité,2.3 g,en quantité élevée,?,,348,+6%,1456 kj(348 kcal),+6%,"31,1",+10%,"12,4",+11%,"1,2",+38%,1,+43%,"15,8",-2%,"2,3",+5%,"0,92",+5%,24,+8%,E,+8%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,"['FR 39.198.004 CE', 'Dole (Jura, France)']",,,,,,,
1754,Véritable jambon persillé de Bourgogne - Clavière - 200g,3266470097163,C,,200 g,"['Barquette', 'Plastique']",['Clavière'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambon persillé']","['Viande Française', 'Concours général agricole', 'Sans polyphosphates', 'Viande Porcine Française', 'Sans colorants', 'Sans arômes ajoutés', ""Médaille d'or du Concours général agricole"", ""Médaille d'or du concours général agricole 2019"", 'Médaille de bronze du Concours général agricole', 'Médaille de bronze du concours général agricole 2015']",['France'],"['Jambon de porc 42% - épaule de porc 40% - vin blanc ', 'contient sulfites', ' - bouillon de légumes ', 'eau-sel - oignon - poireau - panais - ail - carotte-livèche - persil-thym-laurier', ' - bouillon ', 'eau - couenne de porc', ' - couenne de porc - persil 3,8% - vinaigre - sel - gélatine de porc - échalote - ail-dextrose - poivre - muscade - antioxydant: ascorbate de sodium - conservateur: nitrite de sodium']","['E428 - Gélatine', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,4.3 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,2.2 g,en quantité élevée,512,-14%,122,-16%,512 kj(122 kcal),-16%,"4,3",-32%,"1,6",-30%,"0,5",+0%,"0,5",+7%,"20,3",-8%,"2,2",+29%,"0,88",+29%,11,+85%,D,+85%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],"['FR 39.198.004 CE', 'Dole (Jura, France)']",['Carrefour Market'],['France'],,,,,
1755,Croq jambon de dinde x2 - Le gaulois - 200g,3266980076122,C,"Préparation à base de jambon de dinde et de fromage fondu, panée et cuite. Le Croq' Jambon de Dinde",200 g,"['Frais', 'Carton', 'Plastique']",['Le gaulois'],"['Viandes', 'Plats préparés', 'Préparations de viande', 'Volailles', 'Produits panés', 'Réfrigérés', 'Dindes', 'Plats préparés réfrigérés', 'Préparations à la dinde', 'Cordons bleus', 'Cordons bleus de dinde']","['Viande Française', 'Fabriqué en France', 'en:palm-oil-free', 'Volaille-francaise']",['France'],"['Ingrédients ', 'à la mise en oeuvre', ' :Jambon de dinde cuit standard : 64 % ', 'viande de dinde : 45%', 'eau', 'fibre de BLÉ', 'dextrose', 'sel', 'arôme naturel', 'extraits végetaux ', 'bette', 'carotte', 'ferments', 'gélifiant : carraghénanes', 'antioxydant : ascorbate de sodium', 'panure : 21 % ', 'eau', 'farine de BLÉ', 'amidon transformé de BLÉ', 'GLUTEN de BLÉ', 'amidon natif de BLÉ', 'levure', 'sel', 'épices', 'FROMAGE fondu : 15 % ', 'FROMAGES : 8%', 'eau', 'poudre de LAIT écrémé', 'protéines de LAIT', 'BEURRE', 'sels émulsifiants : citrates de sodium', 'Huile de tournesol']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,9.3 g,en quantité modérée,2.3 g,en quantité modérée,1.4 g,en faible quantité,1.7 g,en quantité élevée,830,-9%,198,-12%,830 kj(198 kcal),-11%,"9,3",-24%,"2,3",-28%,12,-17%,"1,4",-20%,15,+19%,"1,7",+28%,"0,68",+28%,8,+13%,C,+13%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,['France'],"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",,['France'],,,,,LDC DPE - Le Clos du bois - 72300 Sablé/Sarthe
1756,grignottes mexicaine en sac - Le gaulois - 250g,3266980119874,D,,250 g,['Frais'],['Le gaulois'],"['Viandes', 'Volailles', 'Poulets']","['Viande Française', 'Sans conservateurs', 'Volaille-francaise']","['France', 'Suisse']","['Manchons de poulet', 'marinade à la Mexicaine ', 'eau', 'huile de tournesol', 'fécule de pomme de terre', 'épices ', 'dont chili', 'piment de Cayenne', 'sel', 'maltodextrine de blé', 'sucre', 'tomate en poudre', 'oignons en poudre', 'extrait de levure', ""extraits d'épices"", 'arômes', 'ail en poudre', 'poivron rouge', 'persil', 'gélifiant : carraghénanes', '106 g de manchons de poulet mis en œuvre pour 100 g de produit fini']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,"['Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,3 g,en quantité modérée,0.7 g,en faible quantité,1.2 g,en quantité modérée,815,+18%,195,+29%,815 kj(195 kcal),+29%,11,+89%,3,+100%,"2,5",+25%,"0,7",+59%,21,+3%,"1,2",+40%,"0,48",+40%,3,+113%,C,+113%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,LDC DPE - Le Clos du bois - 72300 Sablé/Sarthe
1757,Lardons de volaille fumés - Le gaulois - 150g,3266980133153,C,,150 g,"['Frais', 'Plastique']",['Le gaulois'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Volailles', 'Allumettes de porc', 'Allumettes de volaille', 'Lardons de porc', 'Lardons de volaille']","['Viande-francaise', 'Point Vert', 'Nouveau', 'Fumé au bois de hêtre', 'Volaille-francaise']",['France'],"['Viande de dinde origine France 74%', 'peau de poulet', 'sel', 'eau', 'dextrose de blé', 'sirop de glucose de blé', 'antioxydants : ascorbate de sodium et acide ascorbique', 'arôme de fumée', 'conservateurs :nitrite de sodium et nitrate de potassium', ' Fumée au bois de hêtre', ' Fabriqué dans un atelier utilisant du soja et du lait']","['E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,5 g,en quantité modérée,0.6 g,en faible quantité,3.1 g,en quantité élevée,950,,229,+31%,950 kj(229 kcal),+30%,17,+65%,5,+56%,"0,9",+11%,"0,6",-14%,18,-2%,"3,1",+20%,"1,24",+20%,16,+13%,D,+13%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,['France'],"['FR 56.222.002 CE', 'Saint-Jean-Brévelay (Morbihan, France)', 'EMB 56222', 'Saint-Jean-Brévelay (Morbihan, France)']","['Intermarché', 'Magasins U']",['France'],,,,,CELVIA Elaborés - Z.I de St JEAN - 56660 St- Jean- Brevelay
1758,Maxis Croq' Fromage - Le gaulois - 1000g,3266980133597,,,1000 g,"['emballage plastique', 'Frais']",['Le gaulois'],"['Viandes', 'Volailles', 'Produits panés']","['Viande Française', 'Sans conservateurs', 'Volaille-francaise']",['France'],"['Ingrédients ', 'à la mise en œuvre', ' :Viande de volaille traitée en salaison : 62 % ', 'viande de dinde origine France : 33%', 'eau', 'peaux de poulet', 'fibre de BLÉ', 'dextrose de blé', 'protéines de SOJA', 'sel', 'panure : 23% ', 'eau', 'farine de BLÉ', 'sel', 'levure', 'épices', 'FROMAGE fondu : 15% ', 'FROMAGES : 6%', 'eau', 'amidons modifiés,BEURRE', 'LAIT écrémé en poudre', 'LACTOSÉRUM', 'sels de fonte : citrates de sodium', 'gélifiant : carraghénanes', 'Huile de tournesol']","['E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Soja']","['Non végétalien', 'Non végétarien']",4,16 g,en quantité modérée,4.5 g,en quantité modérée,1.7 g,en faible quantité,1.4 g,en quantité modérée,1018,+13%,244,+14%,1018 kj(244 kcal),+14%,16,+51%,"4,5",+108%,13,-16%,"1,7",+15%,11,-13%,"1,4",+24%,"0,56",+24%,11,+168%,D,+168%,,,,,,,,,"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,LDC DPE - Le Clos du bois - 72300 Sablé/Sarthe
1759,Boudins Blancs Nature x3 - Le gaulois - 300g,3266980146061,D,,300 g,"['Barquette', 'Plastique', 'Frais']",['Le gaulois'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']","['Viande-francaise', 'Volaille-francaise']",['France'],"['Ingrédients ', 'à la mise en oeuvre', ' :LAIT frais pasteurisé : 42%', 'viande de dinde origine France : 26%', 'peaux de poulet', 'graisse de canard', 'amidon de pomme de terre', 'sel', 'Porto modifié ', 'dont arôme naturel', 'protéines de LAIT', 'LACTOSÉRUM', 'LACTOSE', 'poivre', 'arômes', 'poudre de LAIT écrémé', 'acidifiant : lactate de potassium', ' Boyau naturel de porc']",['E326 - Lactate de potassium'],['Lait'],"['Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,5.4 g,en quantité élevée,2.7 g,en faible quantité,1.3 g,en quantité modérée,882,-12%,213,-12%,882 kj(213 kcal),-14%,17,-16%,"5,4",-31%,"4,9",+14%,"2,7",+37%,"9,5",-8%,"1,3",-13%,"0,52",-13%,12,-25%,D,-25%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,['France'],"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)', 'EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",['Leclerc'],,,,,,LDC DPE - Le Clos du bois - 72300 Sablé/Sarthe
1760,beignets asiatique x2 - Le gaulois - 200g,3266980257996,B,"Préparation à base de farce Samoussa et viande de dinde, panée et cuite",200 g,"['Carton', 'Frais']",['Le gaulois'],"['Viandes', 'Volailles', 'Produits panés', 'Poulets']","['Viande-francaise', 'Sans conservateurs', 'en:palm-oil-free', 'Volaille-francaise']",['France'],"['Ingrédients ', 'à la mise en oeuvre', ' :Farce Samoussa : 41% ', 'viande de poulet 16%', 'oignon', 'vermicelle de pois réhydraté', 'carotte', 'eau', 'sucre', 'épices', 'arôme', 'sel', 'huile de tournesol', 'amidon modifié de manioc', 'concentré de tomate', 'panure : 31% ', 'eau', 'farine de BLÉ', 'farine de BLÉ dur', 'sel', 'levure', 'dextrine de manioc', 'dextrose de blé', 'poudres à lever : diphosphates de sodium', 'bicarbonate de sodium', 'colorants : extrait de paprika', 'caroténoïdes mélangés', 'viande de dinde : 28%', ' Huile de tournesol', ' Peut contenir des traces de lait']","['E14XX - Amidons modifiés', 'E1400 - Dextrines', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E160c - Extrait de paprika', 'E160a - Carotènes mélangés']",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,9.2 g,en quantité modérée,1.8 g,en quantité modérée,2.6 g,en faible quantité,1 g,en quantité modérée,816,-9%,195,-9%,816 kj(195 kcal),-9%,"9,2",-13%,"1,8",-17%,17,+10%,"2,6",+76%,11,-13%,1,-12%,"0,4",-12%,1,-76%,B,-76%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['France'],"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",['Cora'],['France'],,,,,LDC DPE - Le Clos du bois - 72300 Sablé/Sarthe
1761,Escalope de dinde - Le gaulois - 2,3266980467098,D,,2,,['Le gaulois'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],,,[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,456,-3%,108,-11%,456 kj(108 kcal),-10%,"1,3",-2%,"0,4",-1%,0,-100%,0,-100%,24,+5%,"0,15",-73%,"0,06",-73%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,
