,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,ingredients_origins,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,packaging,manufacturing,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,markets,palm_ingredients,link
24,Les Petits Feuilletés - Blini,3760197632794,['Blini'],['France'],"['Pâte feuilletée ', '61%*', "" garnie d'une préparation à base d'emmental râpé et de mozzarella : Eau"", 'farine de blé', 'margarine ', 'matières grasses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono- et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'fromage emmental râpé 8,4%*', 'préparation déshydratée ', 'lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane ', ' poivre', 'muscade', 'fromage mozzarella 1,8%* ', 'lait', 'sel', 'ferments lactiques', ""correcteur d'acidité acide citrique"", 'antiagglomérant : amidon', 'coagulant', 'sel', 'oeuf entier', ""jaune et blanc d'oeuf"", 'arôme naturel', 'poivre', "" *Pourcentages exprimés sur l'entrée feuilletée garnie"", ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT : céréales contenant du gluten', 'lait et oeufs', ' PEUT CONTENIR DES TRACES DE : crustacés', 'poissons', 'fruits à coque ', 'amandes', 'noix', 'noisettes', 'pistaches', 'céleri', 'moutarde', 'graines de sésame et mollusques']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,286,1197 kj(286 kcal),17,"9,6",26,"3,3","6,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,
25,Les éclairs Pâtissiers,3760197632831,,['France'],[],[],?,267,1117 kj(267 kcal),11,5,35,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mon Mi-Cuit gourmand au chocolat noir coeur coulant - Labeyrie pâtissier - 470g,3760197632893,"['Labeyrie pâtissier', 'Labeyrie']",['France'],"['œuf entier 27%', 'chocolat noir 23% ', 'sucre', 'pâte de cacao', 'cacao maigre en poudre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme vanille', 'sucre', 'beurre 13%', 'farine de blé', 'eau']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1634,?,1634 kj(391 kcal),"20,8","12,1","43,3","31,6","6,4","0,1","0,04",,470 g,"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux et pâtisseries surgelés']",,,20.8 g,en quantité élevée,12.1 g,en quantité élevée,31.6 g,en quantité élevée,0.1 g,en faible quantité,+13%,,+16%,+21%,+32%,+12%,+24%,+27%,-63%,-63%,,,,,,,,['E322i - Lécithine'],"['Œufs', 'Gluten', 'Lait', 'Soja']",4,"['Etui', 'Carton', 'Film', 'Plastique', 'Surgelé']","['Castelsarrasin', 'Tarn-et-Garonne', 'Languedoc-Roussillon-Midi-Pyrénées', 'France']","['EMB 82033H', 'Castelsarrasin (Tarn-et-Garonne, France)']",21,+34%,E,+34%,,,,
27,Feuilleté jambon emmentale - Blini,3760197633074,['Blini'],['France'],"['Eau', 'farine de blé', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono - et diglycérides d'acides gras correcteur d'acidité : acide citrique"", 'jambon cuit standard 9,3%* ', 'jambon de porc 6,2%*', 'eau', 'plasma', 'sirop de glucose', 'sel', 'gélatine', 'stabilsanis diphosphates', 'triphosphates', ' gélifiant : algues Euchema transformées', 'arôme naturel', 'conservateurs : nitrite de sodium', 'érythorbate de sodium', 'frome emmental râpé 7%*', 'préparation déshydratée pour sauce ', 'lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant: gomme xanthane', 'polvre muscade', 'crème 2,3%* ', 'crème 2,2%*', 'stabilisant : carraghénanes', 'œuf entier liquide', 'sel', 'euf entier en poudre', 'arôme naturel', ' *Pourcentages exprimés sur le panier feuilleté garni', ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques: CONTIENT : céréales contenant du gluten', 'euf et lait', ' PEUT CONTENIR DES TRACES DE : crustacés', 'poissons', 'soja', 'fruits à coque ', 'amandes', 'noix', 'noisettes', 'pistaches', 'céleri', 'moutarde', 'graines de sésame et mollusques']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,248,1038 kj(248 kcal),15,"8,6",21,"2,1","6,7","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E428 - Gélatine', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,,,,,,,,,,['Huile de palme'],
28,Panier Feuilleté Chèvre Thym - Blini - 320g,3760197633081,['Blini'],['France'],"['Eau', 'fromage de chèvre 24%*', 'farine de blé', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono- et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'préparation déshydratée pour sauce ', 'lactosérum', 'amidon modifié', 'graisse végétale de colza', 'amidon de blé', 'poudre de lait écrémé', 'sirop de glucose', 'épaississant : alginate de sodium', 'protéines de lait', 'arômes naturels', 'poivre', 'muscade', 'sel', 'thym 0,3%*', 'oeuf entier en poudre', '  * Pourcentages exprimés sur le panier feuilleté']","['Huile de palme', 'Non végétalien']",?,268,1121 kj(268 kcal),"16,3","6,4","22,3","3,1","7,4",1,"0,4",,320 g,"['Surgelés', 'Plats préparés', 'Feuilleté salé', 'Plats préparés surgelés']",,,16.3 g,en quantité modérée,6.4 g,en quantité élevée,3.1 g,en faible quantité,1 g,en quantité modérée,,-8%,-8%,-8%,-38%,-8%,+31%,-7%,-11%,-11%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E401 - Alginate de sodium']","['Œufs', 'Gluten', 'Lait']",4,"['Surgelé', 'Carton', 'Boîte', 'Plastique']",['France'],"['FR 27.428.003 CE', 'Neubourg (Eure, France)']",13,-18%,D,-18%,"Panier de pâte feuilletee (50%*) garnie d'une préparation à base de fromage de chèvre et de thym. Surgelés, crus a cuire.",['Leclerc'],['Huile de palme'],
29,4 Paniers Feuilletés Légumes du Soleil Poulet - Blini - 320g e,3760197633098,['Blini'],['France'],"['Farine de blé', 'eau', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono- et diglycérides d'acides gras"", ""correcteur d'acidité : acide citrique"", 'viande de poulet cuite traitée en salaison 10 % ', 'viande de poulet 98 %', 'sel', 'purée de tomate 9,5 %', 'oignons préfrits 7 % ', 'oignons', 'huile de tournesol', 'poivrons rouges grillés 4 %', 'poivrons rouges 98 %', ""huile d'olive vierge extra"", 'tomates mi-séchées 3,2 %', 'courgettes 2,8%', 'cubes de tomates pelées concassées jus 2,7 %', 'tomates 57 %', 'jus de tomates', 'sel', ""correcteur d'acidité : acide citrique"", 'stabilisant : chlorure de calcium', 'poivrons jaunes grillés 2,2 % ', 'poivrons jaunes 98 %', 'huile de tournesol', 'ail sel', 'basilic', 'amidon modifié de blé', 'œuf entier en poudre', 'poivre']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,250,1046 kj(250 kcal),"16,4",7,"19,5","2,4","5,3","1,32","0,528",E,320 g e,"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Feuilleté salé', 'Plats préparés surgelés', 'Plats au poulet']",,,16.4 g,en quantité modérée,7 g,en quantité élevée,2.4 g,en faible quantité,1.32 g,en quantité modérée,,-14%,-14%,-7%,-32%,-20%,+2%,-33%,+18%,+18%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés']","['Œufs', 'Gluten']",4,"['Carton', 'surgelé', 'Plastique', 'boîte']",,,14,-12%,D,-12%,"Paniers de pâte feuilletée (50 %) garnie de légumes et de viande de poulet cuite traitée en salaison, surgelés, prêts à cuire.",,['Huile de palme'],
30,Les delicieux macarons - La macaronade gourmande,3760197633227,['La macaronade gourmande'],['France'],[],[],?,400,1674 kj(400 kcal),"14,3","3,7","59,2","40,8","7,1","0,1","0,04",D,,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,14.3 g,en quantité modérée,3.7 g,en quantité modérée,40.8 g,en quantité élevée,0.1 g,en faible quantité,,-6%,-6%,-20%,-18%,+6%,-19%,-17%,-30%,-30%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,16,-9%,D,-9%,,,,
31,Macarons,3760197633234,,['France'],[],[],?,401,1678 kj(401 kcal),"13,4","3,2","61,5","41,8","7,1","0,13","0,052",D,,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,13.4 g,en quantité modérée,3.2 g,en quantité modérée,41.8 g,en quantité élevée,0.13 g,en faible quantité,,-6%,-6%,-25%,-29%,+11%,-17%,-17%,-9%,-9%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,17,-3%,D,-3%,,,,
32,"12 Macarons, Myrtille, Fruit De La Passion, Frambo. ..",3760197633241,,['France'],[],[],?,400,1674 kj(400 kcal),"13,9","3,2","59,8","42,3",7,"0,13","0,052",D,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,13.9 g,en quantité modérée,3.2 g,en quantité modérée,42.3 g,en quantité élevée,0.13 g,en faible quantité,,-6%,-6%,-22%,-29%,+8%,-16%,-18%,-9%,-9%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,16,-9%,D,-9%,,,,
33,Mini pizzas x20 blini,3760197633371,['Blini'],['France'],[],[],?,210,879 kj(210 kcal),"8,3","2,7",25,"1,6","7,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Les macarons collection chocolats - Labeyrie,3760197633401,['Labeyrie'],['France'],"['• Verwijder de plastic zak en plaats ze op een taartschotel', ' ma 12 PE']",[],?,421,1761 kj(421 kcal),"17,5","5,7","56,5","39,6","7,4","0,13","0,052",D,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,17.5 g,en quantité modérée,5.7 g,en quantité élevée,39.6 g,en quantité élevée,0.13 g,en faible quantité,,-1%,-1%,-2%,+26%,+2%,-21%,-14%,-9%,-9%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,18,+2%,D,+2%,,,,
35,Café gourmande mignardises - Labeyrie,3760197633418,['Labeyrie'],['France'],[],[],?,422,1766 kj(422 kcal),"23,7","10,7","43,8","29,1",8,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Le Risotto au Canard - Labeyrie,3760197633715,['Labeyrie'],['France'],[],[],?,121,506 kj(121 kcal),"6,5","4,2","9,9",1,"5,6","0,81","0,324",,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Risottos']",,,6.5 g,en quantité modérée,4.2 g,en quantité modérée,1 g,en faible quantité,0.81 g,en quantité modérée,,-46%,-44%,+60%,+136%,-73%,-35%,-7%,-12%,-12%,,,,,,,,,,,,,,5,+9%,C,+9%,,,,
37,Ma Tarte Gourmande au citron Pâtissier - Labeyrie,3760197633753,['Labeyrie'],['France'],"['œufs', 'purée de citrons jaunes sucrée 22%* ', 'citrons 70%', 'sucre', 'farine de blé', 'sucre', 'beurre', 'beurre concentré 5%* ', 'soit 6,1%* en beurre reconstitué', 'eau', 'amidon', 'sirop de glucose', ""zeste d'oranges"", 'lait écrémé en poudre', 'poudres à lever : diphosphates', 'carbonates de sodium ', 'contient blé', 'gélifiant : pectines', 'sel', 'acidifiant : acide citrique', ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT : œufs', 'Lait et Céréales contenant du gluten', ' PEUT CONTENIR DES TRACES DE : Fruits à coque ', 'Amandes', 'Noisettes', 'Noix et Pistaches', ' et Soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,362,1515 kj(362 kcal),"19,2","10,7","40,6","21,7",6,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E440 - Pectines', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,
38,Ma Tarte Gourmande façon crème brûlée Pâtissier,3760197633760,,['France'],[],[],?,365,1527 kj(365 kcal),"19,1","9,9","40,7","18,9","7,3","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Crème glacée caramel au beurre salé - Labeyrie - 550ml / 357,5g e",3760197633951,['Labeyrie'],['France'],"['Lait entier pasteurisé', 'caramel au beurre salé au sel de Guérande 23 % ', 'sirop de glucose', 'sucre', 'beurre 2,5 %', 'eau', 'crème', 'sel de Guérande 0,3 %', 'crème pasteurisée', 'lactose et protéines de lait', ""jaune d'œuf pasteurisé sucré "", ""jaune d'œuf"", 'sucre', 'dextrose', 'préparation stabilisante ', 'amidon', ""fibres d'agrumes"", 'sucre', 'colorant : caramel ordinaire']",['Non végétalien'],?,225,941 kj(225 kcal),"11,7","7,6","26,3","21,3","3,4","0,5","0,2",B,"550 ml / 357,5 g e","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au caramel']","['Point Vert', 'Fabriqué en France', 'Triman']",,11.7 g,en quantité modérée,7.6 g,en quantité élevée,21.3 g,en quantité élevée,0.5 g,en quantité modérée,,-4%,-4%,+2%,+0%,-8%,-13%,+6%,+53%,+53%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['E150a - Caramel E150a'],"['Œufs', 'Lait']",4,"['Bac', 'Surgelé', 'Plastique', 'Carton']","['Etupes', 'Doubs', 'Bourgogne Franche-Comté', 'France']","['EMB 25228', 'Étupes (Doubs, France)']",15,+1%,D,+1%,"Crème glacée au caramel au beurre, salé au sel de Guérande",,,
40,Glace Vanille Bourbon - Labeyrie,3760197633968,['Labeyrie'],['France'],[],[],?,244,1021 kj(244 kcal),?,"7,9",?,"17,4","4,5","0,15","0,06",,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",,,,,7.9 g,en quantité élevée,17.4 g,en quantité élevée,0.15 g,en faible quantité,,+21%,+20%,,+41%,,-26%,+84%,+24%,+24%,,,,,,,,,,,,['France'],"['EMB 25228', 'Étupes (Doubs, France)']",,,,,,,,
41,"Sorbet Plein Fruit à la Fraise - Labeyrie - 357,5g",3760197633975,['Labeyrie'],['France'],"['Fraises 63 %', 'sucre', 'eau', 'sirop de glucose déshydraté', 'dextrose', 'préparation stabilisante ', ""fibres d'agrumes"", 'stabilisant : pectines', 'jus de citron']",[],?,116,485 kj(116 kcal),"0,2",0,"27,2","22,8","0,4","0,01","0,004",C,"357,5 g","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']",['Point Vert'],,0.2 g,en faible quantité,0 g,en faible quantité,22.8 g,en quantité élevée,0.01 g,en faible quantité,,-1%,-0%,-15%,-100%,0%,-2%,-5%,-55%,-55%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,['E440 - Pectines'],,4,"['Plastique', 'surgelé', 'Carton', 'Bac']",,,4,-19%,C,-19%,,,,http://www.labeyrie.com/les-collections/les-recettes-sucrees/les-glaces-degustation/sorbet-de-fraises-63-de-pulpe-de-fraise
42,"Sorbet Clémentine - Labeyrie - 550ml / 357,5g e",3760197633982,['Labeyrie'],['France'],"['Jus de clémentine 60 %*', 'sucre', 'eau', 'sirop de glucose déshydraté', 'dextrose', ""fibres d'agrumes"", 'stabilisant : pectines', ' *Pourcentage exprimé sur le sorbet']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,123,515 kj(123 kcal),"0,1",0,"29,5","23,8","0,4","0,01","0,004",C,"550 ml / 357,5 g e","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la clémentine']","['Point Vert', 'Fabriqué en France', 'Tidy man']",,0.1 g,en faible quantité,0 g,en faible quantité,23.8 g,en quantité élevée,0.01 g,en faible quantité,,+1%,+1%,-65%,-100%,+4%,-2%,-12%,-67%,-67%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,['E440 - Pectines'],,4,"['Bac', 'surgelé', 'Plastique']","['France', 'Étupes']","['EMB 25228', 'Étupes (Doubs, France)']",5,-5%,C,-5%,Sorbet plein fruit à la clémentine,['Leclerc'],,
43,"Sorbet Citron Vert - Labeyrie - 550ml / 357,5g e",3760197633999,['Labeyrie'],['France'],"['Eau', 'jus de citron vert à base de concentré 21 %* ', 'jus de citron vert à base de concentré 21 %*', 'conservateur: disulfite de potassium', 'sucre morceaux de citron vert semi-confit 5 %* ', ' cubes de citron vert 2,5 %*', 'sucre eau', 'amidon modifié', 'colorants : curcumine', 'complexes cuivre-chlorophylles et complexes cuivre-chlorophylines', 'antioxydant : acide ascorbique', 'sirop de glucose déshydraté', ""fibres d'agrumes"", 'stablisant : pectine']",[],?,111,464 kj(111 kcal),0,0,"27,5","24,8","0,1","0,01","0,004",C,"550 ml / 357,5 g e","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au citron vert']","['Point Vert', 'Fabriqué en France', 'Tidy man']",['Caraïbes'],0 g,en faible quantité,0 g,en faible quantité,24.8 g,en quantité élevée,0.01 g,en faible quantité,,-9%,-8%,-100%,-100%,-6%,+4%,-67%,-73%,-73%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E100 - Curcumine', 'E141i - Complexes cuivriques de chlorophylles', 'E300 - Acide ascorbique', 'E440 - Pectines']",['Anhydride sulfureux et sulfites'],4,"['Bac', 'Plastique', 'Surgelé', 'Carton']","['France', 'Etupes']","['EMB 25228', 'Étupes (Doubs, France)']",6,+8%,C,+8%,,['Leclerc'],,
44,"Crème glacée marron - Labeyrie - 375,5g (550ml)",3760197634002,['Labeyrie'],['France'],"['Lait entier pasteurisé', 'crème de marrons 25 % ', 'châtaignes 12 %', 'sucre', 'sirop de glucose', 'marrons confits 0,2 %', 'eau', 'arôme naturel de vanille', 'crème pasteurisée', 'beurre concentré', 'sirop de glucose déshydraté', 'lactose et protéines de lait', 'sucre', 'préparation stabilisante ', 'amidon', ""fibres d'agrumes"", 'sucre', 'pâte de marrons glacés 1,5 % ', 'sirop de glucose', 'marrons 0,4 %', 'sucre', 'arômes', 'cacao', 'rhum ', 'rhum ', ""contient de l'alcool"", 'colorant : caramel ordinaire']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",879,?,879 kj(210 kcal),"8,8","5,3","29,7","20,5","2,5","0,13","0,052",B,"375,5 g (550 ml)","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces aux marrons']",,,8.8 g,en quantité modérée,5.3 g,en quantité élevée,20.5 g,en quantité élevée,0.13 g,en faible quantité,,,+3%,+35%,+24%,+0%,-14%,-1%,+48%,+48%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['E150a - Caramel E150a'],['Lait'],4,"['Plastique', 'Surgelé']",['France'],"['EMB 25228', 'Étupes (Doubs, France)']",11,+13%,D,+13%,,,,
45,2 soufflés au Roquefort - Labeyrie - 155g,3760197634064,['Labeyrie'],['France'],"['Lait', 'roquefort fondu 19%', 'eau', ""jaune d'oeuf"", 'préparation déshydratée pour sauce ', 'lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane', 'poivre noir', 'muscade', ""blanc d'oeuf en poudre "", ""blanc d'oeuf"", 'stabilisant : gomme xanthane', ""correcteur d'acidité : acide citrique"", 'agent moussant : citrate de triéthyle', 'poivre noir']",['Non végétalien'],757,?,757 kj(181 kcal),"11,8","2,6","9,3","5,5","9,5","1,09","0,436",,155 g,"['Surgelés', 'Entrées et snacks surgelés']",,,11.8 g,en quantité modérée,2.6 g,en quantité modérée,5.5 g,en quantité modérée,1.09 g,en quantité modérée,-19%,,-19%,-8%,-59%,-42%,+78%,+13%,+4%,+4%,,,,,,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E1505 - Citrate de triéthyle']","['Œufs', 'Lait']",4,"['Carton', 'Surgelé']","['Castelsarrasin', 'Tarn-et-Garonne', 'Midi-Pyrénées', 'France']","['FR 82.033.006 CE', 'Castelsarrasin (Tarn-et-Garonne, France)']",4,-56%,C,-56%,"2 soufflés au Roquefort fondu, crus surgelés",['Cora'],,
46,Labeyrie soufflé de foie gras de canard,3760197634088,['Labeyrie'],['France'],"['Ole Gras de d', 'crus surgelés', ' nts : lait', 'eau', ""jaune d'œuf"", 'bloc de foie gras de canard 10%* s de canard 88%', 'eau', 'sel', 'armagnac modifié ', 'armagnac', 'sel', 'Slaturel', 'épices', 'sucre', 'antioxydant : ascorbate de sodium', 'nitrite de sodium', 'fromage emmental râpé', 'ateur ation déshydratée pour sauce ', 'lactosérum', 'amidon modifié', 'lait en poudre', 'sel', 'épaississant : gomme xanthane', 'poivre noir', 'Ide', ""blanc d'œuf en poudre "", ""blanc d'œuf"", 'stabilisant : gomme vane', ""correcteur d'acidité : acide citrique"", 'agent moussant : te de triéthg\\eÒ', 'arôme naturel', 'mélange de baies ', 'piment', 'poivre QPivre noir', 'poivre vert', 'coriandre', 'armagnac modifié gtédients et reprises gigues : ?céréates contenant du gtuten', 'céleri', 'moutarde', ' graines de']",['Non végétalien'],?,191,799 kj(191 kcal),"13,6","6,1","8,2","5,1","8,9","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E330 - Acide citrique']","['Céleri', 'Œufs', 'Lait', 'Moutarde']",4,,,,,,,,,,,
