,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,ingredients_origins,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,packaging,manufacturing,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,markets,palm_ingredients,link
1078,Pomme d'Amour - Pâte à Choux - 160g,3760237400895,['Pâte à Choux'],['France'],"['Pomme', 'Sucre', 'Sirop de glucose ', 'sulfites', 'colorant E120', 'Stabilisant : E336', 'pâte à sucre aromatisée ', 'sucre 76 %', 'sirop de glucose', 'huiles et graisses végétales ', 'palme', 'tournesol', 'illipé', 'sirop de sucre inverti', 'stabilisant: E420ii', 'eau', 'humectant: E422', 'émulsifiant: E471', 'stabilisant: E415', 'arôme ', 'lactose', 'poudre de lait', 'colorant : E132', 'lait concentré sucré ', 'lait entier', 'sucre', 'émulsifiant : E322', 'acidifiant: E330', 'Décors de confiserie ', 'sucre', 'farine de riz', ""huile d'arachide"", 'amidon de pomme de terre', 'colorants E1** et E171', ""agent d'enrobage: E904""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,128,536 kj(128 kcal),"< 0,5",0,30,29,"< 0,5",0,0,,160 g,"['Snacks', 'Snacks sucrés', ""Pommes d'amour""]",,,0.5 g,en faible quantité,0 g,en faible quantité,29 g,en quantité élevée,0 g,en faible quantité,,-71%,-71%,-98%,-100%,-48%,-18%,-92%,-100%,-100%,,,,,,,,"['E120 - Acide carminique', 'E336 - Tartrates de potassium', 'E420ii - Sirop de sorbitol', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane', ""E132 - Indigotine carmin d'indigo"", 'E322 - Lécithines', 'E330 - Acide citrique', 'E171 - Oxyde de titane', 'E904 - Gomme-laque']","['Lait', 'Arachides', 'Anhydride sulfureux et sulfites']",4,['Plastique'],,,7,-63%,C,-63%,Pomme 25 ans - Pomme d'amour colorée en rouge - Pomme d'Amour,,,
1079,Côtes de Gascogne 2016 - Oustalet - 75cl,3760237472687,['Oustalet'],['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,B,75 cl,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Gascogne']","['IGP', 'Point Vert', 'Déconseillé aux femmes enceintes', ""Médaille d'or au Concours International Gilbert & Gaillard 2017""]",['France'],,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['Anhydride sulfureux et sulfites'],3,"['Bouteille', 'Verre']",['France'],"['EMB 33189', 'Gornac (Gironde, France)']",,,,,,,,
1080,Ongles & Cheveux - Vitalité et croissance,3760237620125,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,La Pesée - L'Agrivoise - 33cl,3760237730114,"[""L'Agrivoise""]",['France'],"['Eau', 'malts ', 'gluten', 'houblons', 'levures']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,33 cl,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Gluten'],4,"['Bouteille', 'Verre']","['Ardèche', 'France']",,,,,,,,,
1082,Cuisses de canard,3760237750235,,['France'],[],[],?,1,4 kj(1 kcal),1,1,11,1,1,1,"0,4",D,,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard', 'Filets de canard']",,,1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-100%,-100%,-94%,-81%,+2328%,+492%,-95%,-28%,-28%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,4,-62%,C,-62%,,,,
1083,Poêlée estivale,3760237860934,,['France'],[],[],?,49,205 kj(49 kcal),"0,6",0,"2,3",2,"7,8","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Poelées estivale,3760237860941,,['France'],[],[],?,208,870 kj(208 kcal),"0,6",0,"2,3",2,"7,8","0,51","0,204",,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 49.035.001 CE', 'Bouchemaine (Maine-et-Loire, France)']",,,,,,,,
1085,3760238010000,3760238010000,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cultures Caves'],,
1086,3760238010048,3760238010048,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Cultures Caves'],,
1087,Pain chocolat 2 barres,3760238021167,,['France'],[],[],?,355,1485 kj(355 kcal),"19,3","0,1","36,9","0,1","7,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 76.540.123 CE', 'Rouen (Seine-Maritime, France)']",,,,,,,,
1088,Chausson pomme - Atelier Du Traiteur,3760238021211,['Atelier Du Traiteur'],['France'],"['PATE 62% : farine blés beurre eau', 'sel', ' GARNITURE 36% compote de pomme', 'purée de pommes', 'sirop de glucose-fructose', ' décoration 1% : dorure a jeoeuf', ' contient des produits à base de lait', 'dans une usine qui utilise desf', 'utS-À', 'G', 'QAUÊ et du soiê', ' Valeurs nuumonneUes moyennes pour zoog']",[],?,318,1331 kj(318 kcal),"19,4","12,4","31,5","11,3","3,7",0,0,B,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,19.4 g,en quantité modérée,12.4 g,en quantité élevée,11.3 g,en quantité modérée,0 g,en faible quantité,,+1%,+1%,+8%,+8%,-5%,+7%,-5%,-100%,-100%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,['Lait'],4,,,,14,-18%,D,-18%,,,,
1089,Flan Pur Beurre - Créa Frais - 110g,3760238021266,['Créa Frais'],['France'],[],[],?,?,,?,,?,,?,,,,110 g,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Flans gélifiés']","['Point Vert', 'Pur beurre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Frais', 'Plastique', 'Sachet']",['France'],"['FR 76.540.123 CE', 'Rouen (Seine-Maritime, France)']",,,,,,,,
