,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,markets,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,brand_owner
1626,Cheesecake morango - Continente,5601312504795,,,,['Continente'],,,,"['France', 'Portugal']",[],,[],,?,,76,,318 kj(76 kcal),,"1,6",,"1,1",,13,,13,,"2,4",,"0,1",,"0,04",,,,,,,,,,,['Continente'],,,,,,,,,,,,,,,,,
1627,Manteiga dos Acores - Continente - 250g,5601312504986,,250g,['Frais'],['Continente'],,,,"['France', 'Portugal']",[],,[],,?,,733,,3067 kj(733 kcal),,81,,58,,"0,6",,"0,6",,"0,5",,"1,8",,"0,72",,,,,,,,,,,['Continente'],,,,,,,,,,,,,,,,,
1628,Skyr - Pêssego Maracujá - Continente,5601312505907,,,,['Continente'],,,,"['France', 'Portugal']",[],,[],,?,,61,,255 kj(61 kcal),,"0,4",,"0,1",,"7,1",,"6,3",,"7,3",,"0,15",,"0,06",,,,,,,,,,,['Continente'],,,,,,,,,,,,,,,,,
1629,"Pickles Ferbar,",5601319000818,,,['Bocal'],,,,,['France'],[],,[],,?,,22,,92 kj(22 kcal),,"0,2",,"0,1",,"3,4",,"0,8",,2,,"3,51",,"1,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Piri piri,5601319001112,,,,,,,,['France'],[],,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,"Goiabada Ferbar 600Gr.,",5601319037234,,,,['Ferbar'],,,,['France'],[],,[],,?,,311,,1301 kj(311 kcal),,"0,25",,"0,1",,77,,68,,"0,7",,"0,01",,"0,004",,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,
1632,Porto - Romariz - 75cl,5601355101272,D,75 cl,,['Romariz'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins doux', 'Vins mutés de type vin doux naturel', 'Vins portugais', 'Porto']",,,"['Belgique', 'France']",[],,[],,?,,?,,,,?,,,,?,,,,?,,,,,,50.3%,7.1%,29.9%,8.8%,2.6%,1.4%,45,,,['Delhaize'],,,,,,,,,,,,,,,,,
1633,Ruffles original,5601363007924,,,,['Ruffles'],,,,['France'],[],,[],,?,,533,,2230 kj(533 kcal),,"33,7",,3,,"44,8",,"0,6",,"6,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Sabor a presunto,5601363007931,,,,,,,,['France'],[],,[],,?,,525,,2197 kj(525 kcal),,"32,5",,3,,"49,6",,"1,8",,"6,5",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Cheetos BITS,5601363008112,,,,,,,,['France'],[],,[],,?,,564,,2360 kj(564 kcal),,37,,"4,8",,"52,8",,"3,3",,"4,8",,"1,4",,"0,56",,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,
1636,Chips Bitz - Doritos,5601363008563,,,,['Doritos'],['en:Chips et frites'],,,['France'],[],,[],,?,,529,+8%,2213 kj(529 kcal),+8%,"30,8",+7%,"3,6",+18%,"59,5",+18%,"5,1",+156%,"5,5",+5%,"1,5",+11%,"0,6",+11%,,,,,,,,,,,,30.8 g,en quantité élevée,3.6 g,en quantité modérée,5.1 g,en quantité modérée,1.5 g,en quantité modérée,16,+32%,D,+32%,,,,
1637,Batata Frita Pala Pala Rodela,5601363100380,,,,,,,,['France'],[],,[],,?,,545,,2280 kj(545 kcal),,"35,4",,"4,8",,"48,1",,"0,6",,"6,4",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Ruffles sabor presunto,5601363103398,,,,['Ruffles'],,,,['France'],"['Batatas fritas com sabor a presunto /ngredientes: Batatas', 'palmoleîna', 'aroma a presunto [lactose', 'intensificadores de sabor ', 'glutamato monoss6dico', 'inosinato e guanilato diss6dicos', 'preparaçoes e substâncias aromatizantes', 'proteina de soja hidrolizada', 'queijo em pô ', 'de leite', 'aroma de fumol,']",['Lait'],['Non végétalien'],4,?,,532,,2226 kj(532 kcal),,"33,8",,"15,6",,"48,5",,"1,9",,"6,4",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Açúcar Branco Sidul -  - 1kg,5601370031127,,1kg,,,,,,"['France', 'Portugal']",[],,[],,?,,400,,1674 kj(400 kcal),,0,,0,,100,,100,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Macarico Assaisonnement Poulet,5601378033567,,,,['Macarico'],,,,['France'],[],,[],,?,,44,,184 kj(44 kcal),,"0,6",,"0,2",,"6,3",,"6,1",,"1,8",,"12,38",,"4,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Olives vertes - Macarico - 520g,5601378510303,,520 g,,['Macarico'],,,,['France'],"['Olives', 'eau', 'sel', ""correcteurs d'acidité: acide lactique"", 'calcium lactate', 'acide citrique et antioxydants : acide ascorbique']",,[],,?,,161,,674 kj(161 kcal),,"15,6",,"2,6",,"1,8",,"0,3",,"1,4",,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,"['E270 - Acide lactique', 'E327 - Lactate de calcium', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",,,
1642,Macarico Petit Seau Lupins,5601378850423,,,,['Maçarico'],,,,['France'],"['{odo e consËËnte: de mo]lngrdenÈ Lupins', 'ard sdTn Dedaraçào Maçaf devüto:frça518kj1124kcat dentro& 15 keep refrFaWl and bithin 15 days']",,[],,?,,124,,519 kj(124 kcal),,"5,3",,"0,8",,"0,2",,"0,2",,"15,1",,7,,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Macarico Moutarde Forte - 250g,5601378890801,B,250 g,"['Squeezer', 'Plastique']",['Maçarico'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['Portugal'],,['France'],"['Eau', 'vinaigre', 'farine de blé', 'sucre', 'farine de moutarde', 'sel et épices', ' Contient sulfites et céleri']","['Céleri', 'Gluten', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,122,-28%,510 kj(122 kcal),-28%,"2,2",-80%,"0,2",-76%,22,+219%,"6,7",+74%,"2,7",-59%,"3,5",-26%,"1,4",-26%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Point Vert'],,['Intermarché'],,2.2 g,en faible quantité,0.2 g,en faible quantité,6.7 g,en quantité modérée,3.5 g,en quantité élevée,11,-5%,D,-5%,,Mostarda,,
1644,Pickles - Maçarico - 350g (210g égoutté),5601378940520,,350 g (210 g égoutté),"['Bocal', 'Verre']",['Maçarico'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes']",['Portugal'],,['France'],"['Légumes ', '60 %', ' en proportions variables : chou-fleur', 'carotte', 'concombre', 'petit oignon et poivron', 'vinaigre de vin ', 'dont sulfites', ' et sel']",['Anhydride sulfureux et sulfites'],['Sans huile de palme'],3,45,-55%,?,,45 kj(11 kcal),-65%,"0,3",-22%,"0,1",+3%,"0,3",-92%,"0,3",-89%,"0,5",-51%,"3,5",+102%,"1,4",+102%,,,,,,,,,,['Netto'],,0.3 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,3.5 g,en quantité élevée,5,+137%,C,+137%,,Légumes au vinaigre,,
1645,5601387000932,5601387000932,,,,,,,,['France'],[],,[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Guarana brasil,5601447164604,,,,,,,,['France'],[],,[],,?,,32,,134 kj(32 kcal),,0,,0,,"7,9",,"7,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,"Guarana Brasil 33Cl, - 33cL",5601447165700,,33 cL,,,,,,['France'],[],,[],,?,,32,,134 kj(32 kcal),,0,,0,,"7,9",,"7,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,"Frisumo Orange Soda - Laranja és Livre, Escolha",5601447215702,,,,,,,,['France'],[],,[],,?,,23,,96 kj(23 kcal),,0,,0,,"5,8",,"5,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Green apple,5601447334601,,,,,,,,['France'],[],,[],,?,,20,,84 kj(20 kcal),,0,,0,,"4,9",,"4,9",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Micau Pudim Touchino Do Ceu 230G - 200g,5601451110260,,200 g,,['Micau'],,,,['France'],"['Sucre', 'amidon de maïs', 'oeuf en poudre', 'graisse végétale palmiste', 'amidon modifié', 'sirop de glucose', 'émulsifiant ', 'E472b', 'épaississants ', 'E407', 'E41 0', 'protéines de lait', 'sel', 'arôme et colorants ', 'El 60b', 'El 01', ' Contient des ingrédients à la base de lait et œuf,']","['Œufs', 'Lait']","['Huile de palme', 'Non végétalien']",4,?,,417,,1745 kj(417 kcal),,"6,2",,"4,7",,81,,58,,"9,3",,"0,42",,"0,168",,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,
1651,Gelatina Micau Morango,5601451140427,,,,,,,,['France'],[],,[],,?,,394,,1648 kj(394 kcal),,"0,5",,"0,2",,87,,86,,11,,"0,66",,"0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Haricots rouges - CISTER - 425ml,5601474215225,B,425ml,['Conserve'],['CISTER'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",,,['France'],[],,[],,?,,94,-40%,393 kj(94 kcal),-41%,"0,8",-5%,"0,3",+117%,"10,8",-50%,"0,2",-86%,"7,8",-32%,"0,18",-54%,"0,072",-54%,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,,0.8 g,en faible quantité,0.3 g,en faible quantité,0.2 g,en faible quantité,0.18 g,en faible quantité,-8,,A,,,Haricots rouges,,
1653,Crackers com farinha de trigo integral,5601489136157,,,,,,,,['France'],[],,[],,?,,433,,1812 kj(433 kcal),,"12,3",,"6,2",,"66,1",,2,,"11,3",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Crackers - 240g,5601489293249,,240 g,,,,,,['France'],[],,[],,?,,428,,1791 kj(428 kcal),,"9,5",,"1,4",,74,,"2,2",,10,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Palmiers -,5601489300152,C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",,,['France'],[],,[],,?,,535,+4%,2238 kj(535 kcal),+4%,30,+10%,15,-4%,59,-2%,20,-9%,6,+1%,"1,3",+29%,"0,52",+29%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,,,,,30 g,en quantité élevée,15 g,en quantité élevée,20 g,en quantité élevée,1.3 g,en quantité modérée,25,+8%,E,+8%,,,,
1656,Chouriço carné extra,5601494003567,,,,,,,,['France'],[],,[],,?,,1403,,5870 kj(1403 kcal),,25,,9,,1,,"0,7",,19,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Pizza Margarita,5601502701041,B,,,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas margherita']",,,['France'],[],,[],,?,,241,+6%,1008 kj(241 kcal),+6%,"7,5",+0%,"3,2",-9%,33,+13%,3,+12%,"9,3",-1%,1,-21%,"0,4",-21%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,,,,,7.5 g,en quantité modérée,3.2 g,en quantité modérée,3 g,en faible quantité,1 g,en quantité modérée,5,-30%,C,-30%,,,,
1658,Limiano,5601511000890,,,,,,,,['France'],[],,[],,?,,288,,1205 kj(288 kcal),,22,,15,,"0,5",,"0,5",,22,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,"Piri-piri Extra Picante Paladin ""Sacana""",5601517311419,,,,,,,,['France'],[],,[],,?,,35,,146 kj(35 kcal),,"0,8",,"0,1",,"4,8",,"3,2",,"0,2",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Piri-piri Com Limão Paladin,5601517311440,,,,,,,,['France'],[],,[],,?,,127,,531 kj(127 kcal),,1,,"0,5",,26,,26,,"0,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,Mostarda Com Mel Paladin,5601517380040,,,,['Paladin'],,,,['France'],[],,[],,?,,280,,1172 kj(280 kcal),,16,,"4,8",,33,,30,,"0,6",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Molho Para Batatas Fritas Paladin,5601517390025,,,,,,,,['France'],[],,[],,?,,397,,1661 kj(397 kcal),,39,,"4,6",,7,,"6,2",,"0,8",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,Molho De Iogurte Paladin,5601517390049,,,,['Paladin'],,,,['France'],"['CNGREDIENTES: AGUA OLEO DE GRASSOU ACÙCAR IOGURTE ', '6%', ' ', 'CONTEM LEITE', 'VINAGRE DE ALCOOL ESTABILIZADORES ', 'AMIDO MODIFICADO E GOMA MALTODEXTRINA SAL DO LEITE REGULADOR DE ACIDEZ ', 'Acm LÂCTICO', 'CONCENTRADO DE ERVAS ', 'SORBATO DE POTÂSS!O', ' ESZ', 'RA ANTIOXDANTE ', 'EDTA DE CALCIO DISSODCO']",,[],,?,,259,,1084 kj(259 kcal),,20,,"2,8",,16,,10,,2,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,['E385 - Éthylène diamine tétra-acétate de calcium disodium'],,,
1664,Molho Paladin Mil Milhas,5601517390056,,,,['Paladin'],,,,['France'],[],,[],,?,,273,,1142 kj(273 kcal),,23,,"3,1",,15,,12,,"0,9",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Goiabada -  - 600g,5601522278110,,600g,['Pet'],,['en:Doce'],['Brasil'],,['France'],[],,[],,?,,310,,1297 kj(310 kcal),,0,,0,,76,,69,,0,,0,,0,,,,,,,,,,,,,0.0001 g,en faible quantité,0.0001 g,en faible quantité,69 g,en quantité élevée,0.0001 g,en faible quantité,13,,D,,,,,
1666,Tapioca - 250g,5601522335103,,250 g,,,,,,['France'],[],,[],,?,,335,,1402 kj(335 kcal),,0,,0,,85,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Riz Carolino - Louro,5601537332739,C,,,['Louro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",,,['France'],['Riz'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,350,+4%,1464 kj(350 kcal),+3%,"1,1",-8%,"0,2",-26%,78,+7%,0,-100%,"6,8",-6%,0,-100%,0,-100%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,1.1 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0,,B,,,,,
1668,"Tempero Para Frangos Incopil 200Gr, - 200g",5601542109319,,200 g,,,,,,['France'],[],,[],,?,,56,,234 kj(56 kcal),,"0,2",,"0,1",,"10,4",,"4,9",,"2,8",,14,,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Pate a l ail,5601542201471,,,,,,,,['France'],[],,[],,?,,71,,297 kj(71 kcal),,"0,2",,"0,1",,"13,8",,"11,6",,"3,9",,"14,3",,"5,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Cereal Mix integral - Salutem,5601557006450,,,,['Salutem'],,,,['France'],[],,[],,?,,415,,1736 kj(415 kcal),,15,,2,,"52,8",,19,,13,,"0,58",,"0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Tofu nature - Salutem,5601557042847,,,,['Salutem'],,,,['France'],[],,[],,?,,123,,515 kj(123 kcal),,"6,8",,"0,7",,"2,6",,"0,1",,"12,9",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,Multi Cereals Crocante - Salutem - 500g,5601557043363,,500 g,,['Salutem'],,,,['France'],[],,[],,?,,446,,1866 kj(446 kcal),,"14,2",,6,,"66,8",,"25,7",,"9,3",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,Graines de chia - Salutem - 125g,5601557050033,D,125 g,['Sachet plastique'],['Salutem'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,,"['France', 'Portugal']","['Graines de chia ', 'salvia hispanica']",,[],1,"1838,4",+6%,?,,"1838,4 kj(439 kcal)",-2%,"32,6",+6%,"3,5",+12%,1,-92%,1,+81%,"21,6",+7%,"0,01",-57%,"0,004",-57%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,['pt:amérique du sud'],,,32.6 g,en quantité élevée,3.5 g,en quantité modérée,1 g,en faible quantité,0.0102 g,en faible quantité,-2,-322%,A,-322%,,Graines de chia,,
1674,Bolacha Integral con Bagas de Goji,5601557051320,,,,,,,,['France'],[],,[],,?,,433,,1812 kj(433 kcal),,16,,"6,6",,66,,"0,5",,9,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Barres à l'avoine - Salutem,5601557053782,,,,['Salutem'],,,,['France'],[],,[],,?,,461,,1929 kj(461 kcal),,"20,3",,"7,9",,55,,"8,7",,9,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Barritas de Aveia - Salutem,5601557055618,,,,['Salutem'],,,,['France'],[],,[],,?,,435,,1820 kj(435 kcal),,20,,"7,9",,55,,"8,7",,9,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Bom Successo Arroz Agulha Gladio Riz - 1000g,5601692071214,,1000 g,,,,,,"['France', 'Suisse']",[],,[],,1424,,?,,1424 kj(340 kcal),,"1,3",,"0,5",,"75,2",,"0,1",,"7,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,La Perla Sardinen In Sonnenblumenöl - Manna,5601721110013,,,,['Manna'],,,,['France'],[],,[],,?,,262,,1096 kj(262 kcal),,20,,"3,7",,"0,9",,0,,20,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Pate de Sardine 4x22g MANNA - 88g,5601721731218,B,88 g,['Aluminium et Papier'],['Manna'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits de la mer', 'Céréales et dérivés', 'Poissons', 'Sardines', 'Pâtes alimentaires']",['Portugal'],['PT C 237 1 P CE'],"['Belgique', 'France', 'Allemagne', 'Pays-Bas', 'Pologne', 'Portugal', 'Royaume-Uni']","['Sardina ', '40%', ' ', 'Sardina pilchardus', 'Caballa ', '20%', ' ', 'Scomber spp', 'Aceite vegetal ', 'girasol', 'Agua', 'Concentrado de tomate', 'Proteina de soya', 'Condimento mostaza', 'Especias y Sal']","['Poisson', 'Soja']","['Non végétalien', 'Non végétarien']",,?,,300,+30%,1255 kj(300 kcal),+31%,25,+57%,"4,9",+37%,"1,9",+234%,0,-100%,16,-23%,"0,8",-13%,"0,32",-13%,56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,['en:gluten-free'],"['Portugal', 'pt:Algarve']",['Dia'],https://www.consul.pt/newpagec5d1b24c,25 g,en quantité élevée,4.9 g,en quantité modérée,0 g,en faible quantité,0.8 g,en quantité modérée,4,-22%,C,-22%,,Pate de Sardine,,
1680,Loreto açores,5601771028078,,,,,,,,['France'],[],,[],,?,,323,,1351 kj(323 kcal),,25,,17,,"0,5",,"0,5",,24,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Azeite Serrata Seleção - 750ml,5601941000460,,750 ml,,,,,,['France'],[],,[],,?,,819,,3427 kj(819 kcal),,91,,14,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Batata frita palha - A Saloinha,5601950001175,,,,['A Saloinha'],,,,['France'],[],,[],,?,,532,,2226 kj(532 kcal),,36,,15,,46,,"0,6",,6,,"0,2",,"0,08",,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,
1683,Herdade do Esporão - 75cl,5601989001412,,75 cl,,['Herdade do Esporão'],"['Boissons', 'Boissons alcoolisées']",,,"['France', 'Suisse']",[],,[],,?,,3,-94%,13 kj(3 kcal),-94%,1,+25%,0,-100%,1,-79%,1,-49%,5,+620%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Azeite Português Extra Virgem Esporão Selecção,5601989997760,,,,['Esporao'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles']",,,"['France', 'États-Unis']",[],,[],,?,,800,-7%,3347 kj(800 kcal),-7%,"93,33",-3%,"13,33",-12%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,93.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,10,+29%,C,+29%,,,,HERDADE DO ESPORAO
1685,Vinho regional Lisboa 2016 - Reserva dos Amigos - 750ml,5601996102140,C,750ml,"['Bouteille', 'Verre']","['Reserva dos Amigos', 'Vidigal Wines']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins portugais', 'Vins rouges']",['Portugal'],,['France'],['contient sulfites'],['Anhydride sulfureux et sulfites'],[],3,?,,?,,,,?,,,,?,,,,?,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,"['Fabriqué au Portugal', 'CVR Lisboa', 'IG Lisboa']",['Portugal'],['Leclerc'],,,,,,,,,,,,,,,Vin rouge,,
1686,Mail de porc un frigo bolota - Casa Do Porco Preto,5601998101615,,,,['Casa Do Porco Preto'],"['Produits à la viande', 'Produits carnés portugais', 'pt:Paio de Beja']",,,['France'],"['ascorbato de sodio ', 'E-300', 'B301', 'conservantes: nìtmt', ' nitrito de sodio ', 'B252', 'B250', ' Origen Uni6n Eumpea', ' ', 'NGREDIENTS: Viande de porc Ibérique sel', 'poivron da protéines ', '<0,6%', 'ail', 'lactose ', '< dextrose', 'dextrina', ""Ibrigan,lez 'vdants: acide asca ascorbate de sodium 36nservateurs:nitré potassium et de nitrite de s±LV252"", 'E-250', ' Origine EumRéenne', ' Peso liquido • Peso n']",['Lait'],['Non végétalien'],4,?,,427,+122%,1787 kj(427 kcal),+127%,36,+230%,14,+264%,"2,8",-65%,1,-29%,27,+143%,"4,3",+261%,"1,72",+261%,,,,,,,,,,,,36 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,4.3 g,en quantité élevée,24,+248%,E,+248%,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,
1687,Azeite de Moura Virgem Extra - 750ml,5601999200041,C,750 ml,"['Garrafa', 'Vidro']","['Azeite de Moura', 'Cooperativa Agrícola Moura Barrancos']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,"['France', 'Portugal']",['azeite virgem extra'],,[],,?,,821,-4%,3435 kj(821 kcal),-4%,"91,2",-4%,"13,1",-6%,0,,0,,0,,0,-100%,0,-100%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['AOP'],"['Portugal', 'pt:Moura']",,,91.2 g,en quantité élevée,13.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,6,-2%,C,-2%,,Azeite virgem extra,,
1688,Ervilha,5602003012056,,,,,,,,['France'],[],,[],,?,,83,,347 kj(83 kcal),,"0,4",,"0,2",,"11,3",,"2,8",,6,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Figues seches,5602013365241,,,,,,,,['France'],[],,[],,?,,234,,979 kj(234 kcal),,"0,6",,"0,1",,"58,3",,"58,3",,"2,3",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Quitango Sauce Chili Citron,5602102238739,,,,,,,,['France'],[],,[],,?,,23,,96 kj(23 kcal),,"0,4",,"0,1",,4,,"3,1",,1,,11,,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Quinta d’avo - Marovina,5602102238814,,,,['Marovina'],,,,['France'],['Ollillli pllREE'],,[],,?,,88,,368 kj(88 kcal),,"0,2",,0,,"3,7",,"2,2",,"0,9",,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Tempero Grelhados Carne,5602102238906,,,,,,,,['France'],[],,[],,?,,29,,121 kj(29 kcal),,"0,2",,"0,1",,"3,8",,"3,7",,"1,47",,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Huile d’olive aux piments - Quinta d’Avó,5602102239002,,,,['Quinta d’Avó'],['Matières grasses'],,,['France'],"[""Huile d'olive "", '96%', ' et piments de cayenne ', '4%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,?,,885,+10%,3703 kj(885 kcal),+11%,100,+13%,14,-39%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,['en:gluten-free'],,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,6,-47%,C,-47%,,,,
1694,Pate de piri-piri,5602102240244,,,,,,,,['France'],[],,[],,?,,24,,100 kj(24 kcal),,"1,1",,"0,1",,"2,1",,"1,5",,"1,4",,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Goiabada - 300g,5602109000148,,300 g,,,,,,['France'],[],,[],,?,,310,,1297 kj(310 kcal),,0,,0,,78,,68,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Brisa maracuja,5602120240011,,,,,,,,['France'],[],,[],,?,,55,,230 kj(55 kcal),,0,,0,,"13,3",,"13,3",,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
